time,Minnesota,pts.away,score,pts.home,Washington
6:57.0,,,41-38,,I. Mahinmi misses 2-pt shot at rim
6:57.0,,,41-38,,Offensive rebound by I. Mahinmi
6:56.0,,,41-38,,Offensive rebound by O. Porter
6:51.0,,,41-40,2,O. Porter makes 2-pt shot from 2 ft
6:44.0,J. Teague misses 2-pt shot from 1 ft,,41-40,,
6:44.0,Offensive rebound by K. Towns,,41-40,,
6:38.0,K. Towns makes 2-pt shot at rim,2,43-40,,
6:23.0,,,43-40,,O. Porter misses 3-pt shot from 26 ft
6:16.0,,,43-40,,Offensive rebound by T. Satoransky
6:16.0,,,43-42,2,T. Satoransky makes 2-pt shot at rim
6:08.0,Turnover by T. Gibson (bad pass; steal by T. Satoransky),,43-42,,
6:02.0,,,43-42,,Turnover by O. Porter (lost ball; steal by J. Teague)
6:02.0,,,43-42,,Personal foul by T. Satoransky (drawn by J. Teague)
6:02.0,,,43-42,,B. Beal enters the game for J. Meeks
6:02.0,,,43-42,,M. Morris enters the game for K. Oubre
5:57.0,Turnover by A. Wiggins (bad pass; steal by I. Mahinmi),,43-42,,
5:37.0,,,43-44,2,T. Satoransky makes 2-pt shot at rim
5:18.0,A. Wiggins misses 2-pt shot at rim,,43-44,,
5:15.0,,,43-44,,Defensive rebound by O. Porter
5:02.0,,,43-46,2,B. Beal makes 2-pt shot from 9 ft
4:49.0,T. Gibson misses 2-pt shot from 16 ft,,43-46,,
4:47.0,,,43-46,,Defensive rebound by T. Satoransky
4:40.0,,,43-46,,T. Satoransky misses 2-pt shot from 17 ft
4:35.0,Defensive rebound by K. Towns,,43-46,,
4:25.0,A. Wiggins misses 3-pt shot from 25 ft,,43-46,,
4:21.0,,,43-46,,Defensive rebound by M. Morris
4:03.0,,,43-46,,O. Porter misses 2-pt shot from 16 ft (block by T. Gibson)
4:03.0,Defensive rebound by N. Bjelica,,43-46,,
3:52.0,T. Gibson makes 2-pt shot at rim (assist by N. Bjelica),2,45-46,,
3:33.0,,,45-48,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by T. Satoransky)
3:21.0,N. Bjelica misses 2-pt shot from 8 ft,,45-48,,
3:18.0,,,45-48,,Defensive rebound by I. Mahinmi
3:07.0,,,45-48,,Shooting foul by N. Bjelica (drawn by T. Satoransky)
3:07.0,,,45-49,1,T. Satoransky makes free throw 1 of 2
3:07.0,,,45-49,,M. Gortat enters the game for I. Mahinmi
3:07.0,J. Crawford enters the game for N. Bjelica,,45-49,,
3:07.0,,,45-50,1,T. Satoransky makes free throw 2 of 2
2:53.0,K. Towns misses 2-pt shot from 2 ft (block by M. Gortat),,45-50,,
2:53.0,Offensive rebound by Team,,45-50,,
2:43.0,J. Teague misses 3-pt shot from 26 ft,,45-50,,
2:41.0,Offensive rebound by T. Gibson,,45-50,,
2:41.0,,,45-50,,Personal foul by O. Porter (drawn by T. Gibson)
2:41.0,T. Gibson misses free throw 1 of 2,,45-50,,
2:41.0,Offensive rebound by Team,,45-50,,
2:41.0,T. Gibson misses free throw 2 of 2,,45-50,,
2:38.0,,,45-50,,Defensive rebound by O. Porter
2:18.0,,,45-53,3,M. Morris makes 3-pt shot from 25 ft (assist by T. Satoransky)
2:07.0,,,45-53,,Personal foul by M. Gortat (drawn by K. Towns)
2:07.0,K. Towns makes free throw 1 of 2,1,46-53,,
2:07.0,K. Towns makes free throw 2 of 2,1,47-53,,
1:50.0,,,47-53,,B. Beal misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by J. Crawford,,47-53,,
1:35.0,J. Teague makes 2-pt shot from 1 ft,2,49-53,,
1:24.0,Personal foul by T. Gibson (drawn by M. Morris),,49-53,,
