time,Miami,pts.away,score,pts.home,Cleveland
6:56.0,,,7-16,2,K. Love makes 2-pt shot from 19 ft (assist by L. James)
6:45.0,D. Waiters makes 3-pt shot from 25 ft,3,10-16,,
6:28.0,,,10-16,,Shooting foul by J. Johnson (drawn by J. Calderon)
6:28.0,,,10-16,,J. Calderon misses free throw 1 of 2
6:28.0,,,10-16,,Offensive rebound by Team
6:28.0,,,10-17,1,J. Calderon makes free throw 2 of 2
6:12.0,D. Waiters makes 2-pt shot at rim (assist by J. Richardson),2,12-17,,
6:04.0,Personal foul by K. Olynyk (drawn by K. Love),,12-17,,
6:04.0,,,12-18,1,K. Love makes free throw 1 of 2
6:04.0,,,12-19,1,K. Love makes free throw 2 of 2
5:54.0,J. Richardson misses 3-pt shot from 26 ft,,12-19,,
5:51.0,,,12-19,,Defensive rebound by J. Smith
5:34.0,Personal foul by K. Olynyk (drawn by K. Love),,12-19,,
5:34.0,,,12-20,1,K. Love makes free throw 1 of 2
5:34.0,,,12-21,1,K. Love makes free throw 2 of 2
5:23.0,Turnover by D. Waiters (bad pass; steal by L. James),,12-21,,
5:18.0,,,12-24,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
5:11.0,Miami full timeout,,12-24,,
4:55.0,J. Johnson makes 2-pt shot from 1 ft (assist by D. Waiters),2,14-24,,
4:39.0,,,14-24,,K. Love misses 2-pt shot from 11 ft
4:39.0,Defensive rebound by T. Johnson,,14-24,,
4:33.0,Turnover by T. Johnson (bad pass; steal by L. James),,14-24,,
4:30.0,,,14-26,2,L. James makes 2-pt shot from 1 ft
4:16.0,D. Waiters misses 3-pt shot from 25 ft,,14-26,,
4:12.0,,,14-26,,Defensive rebound by K. Love
4:03.0,,,14-26,,K. Love misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by J. Johnson,,14-26,,
3:53.0,Turnover by J. Johnson (lost ball; steal by L. James),,14-26,,
3:45.0,,,14-26,,Shooting foul by J. Richardson (drawn by K. Love)
3:45.0,,,14-27,1,K. Love makes free throw 1 of 2
3:45.0,,,14-27,,D. Wade enters the game for J. Calderon
3:45.0,W. Ellington enters the game for J. Richardson,,14-27,,
3:45.0,,,14-28,1,K. Love makes free throw 2 of 2
3:29.0,T. Johnson misses 3-pt shot from 23 ft,,14-28,,
3:26.0,,,14-28,,Defensive rebound by L. James
3:13.0,,,14-28,,J. Smith misses 2-pt shot from 12 ft
3:13.0,,,14-28,,Offensive rebound by Team
3:13.0,Loose ball foul by K. Olynyk (drawn by K. Love),,14-28,,
3:13.0,,,14-28,,K. Love misses free throw 1 of 2
3:13.0,,,14-28,,Offensive rebound by Team
3:13.0,,,14-28,,J. Green enters the game for J. Crowder
3:13.0,B. Adebayo enters the game for K. Olynyk,,14-28,,
3:13.0,,,14-29,1,K. Love makes free throw 2 of 2
3:03.0,W. Ellington misses 3-pt shot from 28 ft,,14-29,,
2:58.0,,,14-29,,Defensive rebound by D. Wade
2:55.0,,,14-29,,L. James misses 2-pt shot from 1 ft
2:51.0,,,14-29,,Offensive rebound by L. James
2:49.0,,,14-31,2,L. James makes 2-pt shot from 2 ft
2:37.0,D. Waiters makes 3-pt shot from 28 ft (assist by J. Johnson),3,17-31,,
2:16.0,,,17-33,2,J. Smith makes 2-pt shot at rim (assist by J. Green)
2:01.0,J. Johnson misses 2-pt shot from 2 ft,,17-33,,
1:58.0,,,17-33,,Defensive rebound by K. Love
1:53.0,,,17-35,2,D. Wade makes 2-pt shot from 1 ft (assist by K. Love)
1:32.0,D. Waiters makes 2-pt shot from 17 ft,2,19-35,,
1:22.0,,,19-35,,Turnover by L. James (bad pass)
1:22.0,,,19-35,,K. Korver enters the game for J. Smith
1:22.0,,,19-35,,J. Crowder enters the game for L. James
1:22.0,,,19-35,,C. Frye enters the game for K. Love
1:12.0,D. Waiters makes 3-pt shot from 25 ft (assist by J. Johnson),3,22-35,,
1:00.0,,,22-35,,Turnover by D. Wade (bad pass; steal by W. Ellington)
0:54.0,D. Waiters misses 2-pt shot from 1 ft,,22-35,,
0:51.0,,,22-35,,Defensive rebound by C. Frye
0:49.0,,,22-35,,D. Wade misses 2-pt shot from 2 ft (block by T. Johnson)
0:45.0,Defensive rebound by W. Ellington,,22-35,,
0:40.0,B. Adebayo makes 2-pt shot from 1 ft (assist by D. Waiters),2,24-35,,
0:30.0,,,24-35,,C. Frye misses 3-pt shot from 27 ft
0:30.0,Defensive rebound by T. Johnson,,24-35,,
0:07.0,W. Ellington misses 3-pt shot from 22 ft,,24-35,,
0:04.0,,,24-35,,Defensive rebound by K. Korver
0:00.0,,,24-35,,K. Korver misses 3-pt shot from 28 ft (block by B. Adebayo)
0:00.0,,,24-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,24-38,3,K. Korver makes 3-pt shot from 26 ft (assist by D. Wade)
11:28.0,B. Adebayo makes 2-pt shot from 1 ft (assist by W. Ellington),2,26-38,,
11:11.0,,,26-38,,D. Wade misses 2-pt shot from 11 ft
11:08.0,Defensive rebound by B. Adebayo,,26-38,,
10:54.0,J. Johnson misses 3-pt shot from 23 ft,,26-38,,
10:51.0,,,26-38,,Defensive rebound by J. Green
10:45.0,,,26-38,,J. Crowder misses 2-pt shot from 21 ft
10:43.0,Defensive rebound by B. Adebayo,,26-38,,
10:38.0,Shooting foul by J. Crowder (drawn by D. Waiters),,26-38,,
10:38.0,D. Waiters makes free throw 1 of 2,1,27-38,,
10:38.0,D. Waiters makes free throw 2 of 2,1,28-38,,
10:21.0,,,28-38,,D. Wade misses 2-pt shot from 7 ft
10:21.0,Defensive rebound by Team,,28-38,,
10:21.0,,,28-38,,Loose ball foul by J. Crowder (drawn by T. Johnson)
10:21.0,,,28-38,,J. Smith enters the game for J. Crowder
10:21.0,G. Dragic enters the game for D. Waiters,,28-38,,
10:13.0,J. Johnson makes 2-pt shot at rim (assist by B. Adebayo),2,30-38,,
10:13.0,Shooting foul by K. Korver (drawn by J. Johnson),,30-38,,
10:13.0,J. Johnson misses free throw 1 of 1,,30-38,,
10:12.0,Offensive rebound by B. Adebayo,,30-38,,
10:12.0,Shooting foul by C. Frye (drawn by B. Adebayo),,30-38,,
10:12.0,B. Adebayo makes free throw 1 of 2,1,31-38,,
10:12.0,B. Adebayo makes free throw 2 of 2,1,32-38,,
10:04.0,,,32-41,3,D. Wade makes 3-pt shot from 28 ft
9:42.0,G. Dragic misses 3-pt shot from 26 ft,,32-41,,
9:38.0,,,32-41,,Defensive rebound by J. Green
9:33.0,,,32-41,,J. Green misses 2-pt shot from 3 ft (block by J. Johnson)
9:33.0,,,32-41,,Offensive rebound by Team
9:29.0,,,32-43,2,D. Wade makes 2-pt shot at rim (assist by K. Korver)
9:12.0,Turnover by T. Johnson (bad pass; steal by D. Wade),,32-43,,
9:07.0,,,32-45,2,J. Green makes 2-pt shot from 1 ft (assist by J. Smith)
8:44.0,J. Johnson makes 2-pt shot from 12 ft,2,34-45,,
8:25.0,,,34-45,,Turnover by D. Wade (bad pass; steal by W. Ellington)
8:20.0,T. Johnson misses 3-pt shot from 25 ft,,34-45,,
8:16.0,,,34-45,,Defensive rebound by J. Green
8:04.0,Personal foul by T. Johnson (drawn by C. Frye),,34-45,,
8:04.0,J. Winslow enters the game for T. Johnson,,34-45,,
7:56.0,,,34-47,2,K. Korver makes 2-pt shot from 1 ft (assist by D. Wade)
7:47.0,Miami full timeout,,34-47,,
7:47.0,,,34-47,,L. James enters the game for D. Wade
7:27.0,J. Johnson makes 3-pt shot from 25 ft,3,37-47,,
7:10.0,,,37-47,,Offensive foul by C. Frye (drawn by W. Ellington)
7:10.0,,,37-47,,Turnover by C. Frye (offensive foul)
7:10.0,,,37-47,,K. Love enters the game for C. Frye
7:10.0,J. Richardson enters the game for B. Adebayo,,37-47,,
6:56.0,J. Winslow misses 2-pt shot from 1 ft,,37-47,,
6:56.0,,,37-47,,Defensive rebound by Team
6:56.0,Loose ball foul by J. Winslow (drawn by K. Love),,37-47,,
6:42.0,,,37-49,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
6:29.0,G. Dragic misses 2-pt shot from 11 ft,,37-49,,
6:29.0,,,37-49,,Defensive rebound by L. James
6:05.0,,,37-51,2,L. James makes 2-pt shot at rim
5:58.0,Shooting foul by J. Green (drawn by G. Dragic),,37-51,,
5:58.0,G. Dragic makes free throw 1 of 2,1,38-51,,
5:58.0,D. Waiters enters the game for W. Ellington,,38-51,,
5:58.0,G. Dragic misses free throw 2 of 2,,38-51,,
5:55.0,,,38-51,,Defensive rebound by K. Love
5:51.0,,,38-54,3,K. Korver makes 3-pt shot from 23 ft (assist by L. James)
5:38.0,J. Johnson misses 2-pt shot from 1 ft,,38-54,,
5:38.0,Offensive rebound by J. Winslow,,38-54,,
5:34.0,J. Winslow misses 2-pt shot from 5 ft (block by J. Green),,38-54,,
5:34.0,,,38-54,,Defensive rebound by K. Love
5:26.0,,,38-56,2,K. Love makes 2-pt shot from 1 ft
5:26.0,,,38-56,,Shooting foul by J. Richardson (drawn by K. Love)
5:26.0,H. Whiteside enters the game for J. Winslow,,38-56,,
5:26.0,,,38-57,1,K. Love makes free throw 1 of 1
5:07.0,D. Waiters misses 3-pt shot from 27 ft,,38-57,,
5:03.0,,,38-57,,Defensive rebound by J. Smith
4:57.0,,,38-60,3,K. Love makes 3-pt shot from 26 ft (assist by J. Green)
4:44.0,Turnover by D. Waiters (bad pass; steal by K. Love),,38-60,,
4:39.0,,,38-62,2,L. James makes 2-pt shot from 1 ft
4:24.0,Shooting foul by J. Green (drawn by H. Whiteside),,38-62,,
4:24.0,H. Whiteside misses free throw 1 of 2,,38-62,,
4:24.0,Offensive rebound by Team,,38-62,,
4:24.0,,,38-62,,D. Wade enters the game for J. Green
4:24.0,H. Whiteside makes free throw 2 of 2,1,39-62,,
4:13.0,,,39-62,,K. Love misses 3-pt shot from 25 ft
4:09.0,,,39-62,,Offensive rebound by K. Love
4:06.0,,,39-64,2,K. Love makes 2-pt shot from 6 ft
4:01.0,Miami full timeout,,39-64,,
3:44.0,J. Richardson makes 2-pt shot from 13 ft,2,41-64,,
3:28.0,,,41-64,,Turnover by L. James (bad pass; steal by H. Whiteside)
3:21.0,H. Whiteside misses 2-pt shot from 1 ft,,41-64,,
3:14.0,Offensive rebound by J. Johnson,,41-64,,
3:14.0,J. Johnson misses 2-pt shot at rim,,41-64,,
3:13.0,,,41-64,,Defensive rebound by K. Korver
3:12.0,,,41-64,,Turnover by K. Love (bad pass; steal by J. Richardson)
3:05.0,D. Waiters makes 2-pt shot from 2 ft,2,43-64,,
3:05.0,,,43-64,,Cleveland full timeout
3:05.0,B. Adebayo enters the game for H. Whiteside,,43-64,,
2:53.0,,,43-66,2,K. Love makes 2-pt shot at rim (assist by L. James)
2:33.0,J. Johnson misses 2-pt shot from 1 ft,,43-66,,
2:32.0,,,43-66,,Defensive rebound by K. Love
2:25.0,,,43-66,,K. Korver misses 3-pt shot from 22 ft
2:25.0,Defensive rebound by B. Adebayo,,43-66,,
2:12.0,J. Richardson makes 3-pt shot from 24 ft (assist by D. Waiters),3,46-66,,
1:46.0,,,46-66,,L. James misses 3-pt shot from 23 ft
1:46.0,,,46-66,,Offensive rebound by L. James
1:45.0,,,46-66,,Turnover by Team (shot clock)
1:34.0,Turnover by D. Waiters (lost ball; steal by L. James),,46-66,,
1:22.0,,,46-68,2,D. Wade makes 2-pt shot from 1 ft (assist by L. James)
1:10.0,Turnover by J. Richardson (turnover),,46-68,,
0:58.0,,,46-70,2,L. James makes 2-pt shot from 1 ft
0:43.0,D. Waiters misses 3-pt shot from 25 ft,,46-70,,
0:43.0,,,46-70,,Defensive rebound by L. James
0:36.0,,,46-73,3,J. Smith makes 3-pt shot from 23 ft (assist by D. Wade)
0:30.0,B. Adebayo makes 2-pt shot at rim (assist by J. Richardson),2,48-73,,
0:30.0,Shooting foul by J. Smith (drawn by B. Adebayo),,48-73,,
0:30.0,,,48-73,,C. Frye enters the game for K. Love
0:30.0,T. Johnson enters the game for J. Richardson,,48-73,,
0:30.0,J. Winslow enters the game for G. Dragic,,48-73,,
0:30.0,B. Adebayo makes free throw 1 of 1,1,49-73,,
0:12.0,,,49-75,2,L. James makes 2-pt shot from 1 ft
0:00.0,D. Waiters misses 3-pt shot from 25 ft,,49-75,,
0:00.0,,,49-75,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-75,,L. James misses 2-pt shot from 18 ft
11:37.0,Defensive rebound by J. Richardson,,49-75,,
11:23.0,D. Waiters misses 3-pt shot from 25 ft,,49-75,,
11:20.0,,,49-75,,Defensive rebound by J. Crowder
11:08.0,Personal foul by H. Whiteside (drawn by K. Love),,49-75,,
11:02.0,,,49-75,,Shooting foul by H. Whiteside (drawn by K. Love)
11:02.0,,,49-76,1,K. Love makes free throw 1 of 2
11:02.0,,,49-77,1,K. Love makes free throw 2 of 2
10:47.0,G. Dragic misses 3-pt shot from 26 ft,,49-77,,
10:44.0,,,49-77,,Defensive rebound by J. Crowder
10:38.0,,,49-77,,K. Love misses 3-pt shot from 31 ft
10:34.0,Defensive rebound by J. Richardson,,49-77,,
10:25.0,J. Winslow misses 2-pt shot from 1 ft,,49-77,,
10:22.0,,,49-77,,Defensive rebound by J. Smith
10:12.0,,,49-77,,Offensive foul by J. Crowder (drawn by G. Dragic)
10:12.0,,,49-77,,Turnover by J. Crowder (offensive foul)
9:58.0,,,49-77,,Personal foul by J. Crowder (drawn by D. Waiters)
9:45.0,D. Waiters misses 3-pt shot from 28 ft,,49-77,,
9:40.0,,,49-77,,Defensive rebound by J. Smith
9:25.0,,,49-80,3,J. Smith makes 3-pt shot from 28 ft (assist by J. Calderon)
9:12.0,H. Whiteside misses 2-pt shot from 2 ft,,49-80,,
9:09.0,,,49-80,,Defensive rebound by K. Love
9:07.0,,,49-82,2,L. James makes 2-pt shot from 7 ft (assist by K. Love)
9:07.0,Violation by H. Whiteside (def goaltending),,49-82,,
8:53.0,D. Waiters misses 2-pt shot at rim,,49-82,,
8:53.0,Offensive rebound by H. Whiteside,,49-82,,
8:48.0,H. Whiteside misses 2-pt shot at rim (block by L. James),,49-82,,
8:48.0,,,49-82,,Defensive rebound by L. James
8:46.0,,,49-82,,Shooting foul by J. Winslow (drawn by K. Love)
8:46.0,,,49-83,1,K. Love makes free throw 1 of 2
8:46.0,,,49-83,,K. Love misses free throw 2 of 2
8:43.0,Defensive rebound by H. Whiteside,,49-83,,
8:34.0,Shooting foul by J. Calderon (drawn by G. Dragic),,49-83,,
8:34.0,G. Dragic makes free throw 1 of 2,1,50-83,,
8:34.0,G. Dragic makes free throw 2 of 2,1,51-83,,
8:24.0,,,51-83,,Shooting foul by J. Winslow (drawn by K. Love)
8:24.0,,,51-83,,Cleveland full timeout
8:24.0,J. Johnson enters the game for J. Winslow,,51-83,,
8:24.0,,,51-83,,K. Love misses free throw 1 of 2
8:24.0,,,51-83,,Offensive rebound by Team
8:24.0,,,51-84,1,K. Love makes free throw 2 of 2
8:05.0,J. Richardson misses 2-pt shot from 12 ft,,51-84,,
8:02.0,,,51-84,,Defensive rebound by L. James
7:58.0,,,51-84,,J. Smith misses 3-pt shot from 22 ft
7:53.0,Defensive rebound by H. Whiteside,,51-84,,
7:42.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,53-84,,
7:22.0,Personal foul by H. Whiteside (drawn by K. Love),,53-84,,
7:22.0,,,53-85,1,K. Love makes free throw 1 of 2
7:22.0,,,53-86,1,K. Love makes free throw 2 of 2
7:14.0,J. Richardson makes 3-pt shot from 27 ft (assist by G. Dragic),3,56-86,,
7:06.0,,,56-86,,Turnover by K. Love (bad pass; steal by J. Johnson)
7:06.0,,,56-86,,Personal foul by J. Calderon (drawn by G. Dragic)
6:59.0,Shooting foul by J. Calderon (drawn by G. Dragic),,56-86,,
6:59.0,G. Dragic makes free throw 1 of 2,1,57-86,,
6:59.0,G. Dragic makes free throw 2 of 2,1,58-86,,
6:46.0,,,58-86,,L. James misses 2-pt shot from 22 ft
6:43.0,Defensive rebound by G. Dragic,,58-86,,
6:30.0,Turnover by J. Johnson (bad pass; steal by J. Calderon),,58-86,,
6:16.0,,,58-86,,K. Love misses 2-pt shot from 1 ft (block by H. Whiteside)
6:12.0,Defensive rebound by G. Dragic,,58-86,,
6:11.0,J. Richardson makes 2-pt shot from 1 ft (assist by G. Dragic),2,60-86,,
5:48.0,,,60-86,,D. Wade enters the game for J. Calderon
5:45.0,Jump ball: K. Love vs. H. Whiteside (J. Johnson gains possession),,,,Jump ball: K. Love vs. H. Whiteside (J. Johnson gains possession)
5:45.0,,,60-86,,Turnover by J. Calderon (bad pass; steal by H. Whiteside)
5:33.0,G. Dragic makes 2-pt shot from 15 ft (assist by D. Waiters),2,62-86,,
5:15.0,,,62-86,,Turnover by K. Love (bad pass)
5:04.0,D. Waiters misses 3-pt shot from 26 ft,,62-86,,
5:01.0,Offensive rebound by H. Whiteside,,62-86,,
4:59.0,H. Whiteside makes 2-pt shot from 2 ft,2,64-86,,
4:38.0,,,64-89,3,L. James makes 3-pt shot from 25 ft
4:15.0,D. Waiters makes 2-pt shot from 2 ft,2,66-89,,
3:55.0,,,66-89,,Turnover by J. Crowder (bad pass; steal by G. Dragic)
3:50.0,J. Richardson makes 2-pt shot from 7 ft (assist by G. Dragic),2,68-89,,
3:50.0,,,68-89,,Cleveland full timeout
3:50.0,,,68-89,,J. Green enters the game for K. Love
3:50.0,,,68-89,,C. Frye enters the game for J. Crowder
3:32.0,,,68-89,,J. Smith misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by H. Whiteside,,68-89,,
3:17.0,D. Waiters makes 2-pt shot from 20 ft (assist by G. Dragic),2,70-89,,
2:50.0,,,70-91,2,C. Frye makes 2-pt shot from 15 ft
2:41.0,Turnover by D. Waiters (step out of bounds),,70-91,,
2:41.0,,,70-91,,K. Korver enters the game for J. Smith
2:41.0,T. Johnson enters the game for G. Dragic,,70-91,,
2:25.0,Personal foul by J. Richardson (drawn by J. Green),,70-91,,
2:25.0,,,70-92,1,J. Green makes free throw 1 of 2
2:25.0,,,70-93,1,J. Green makes free throw 2 of 2
2:06.0,Turnover by J. Johnson (lost ball; steal by L. James),,70-93,,
1:59.0,,,70-93,,L. James misses 2-pt shot from 7 ft
1:59.0,Defensive rebound by H. Whiteside,,70-93,,
1:59.0,,,70-93,,Technical foul by L. James
1:59.0,D. Waiters misses technical free throw,,70-93,,
1:59.0,Offensive rebound by Team,,70-93,,
1:59.0,,,70-93,,J. Smith enters the game for L. James
1:59.0,W. Ellington enters the game for J. Richardson,,70-93,,
1:46.0,J. Johnson makes 2-pt shot from 2 ft (assist by D. Waiters),2,72-93,,
1:28.0,,,72-93,,C. Frye misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by H. Whiteside,,72-93,,
1:12.0,Turnover by H. Whiteside (lost ball; steal by D. Wade),,72-93,,
0:47.0,,,72-93,,J. Smith misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by H. Whiteside,,72-93,,
0:29.0,H. Whiteside makes 2-pt shot from 1 ft (assist by W. Ellington),2,74-93,,
0:06.0,,,74-93,,J. Smith misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by H. Whiteside,,74-93,,
0:00.0,D. Waiters misses 3-pt shot from 25 ft,,74-93,,
0:00.0,Offensive rebound by Team,,74-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,W. Ellington misses 3-pt shot from 28 ft,,74-93,,
11:36.0,,,74-93,,Defensive rebound by D. Wade
11:21.0,,,74-93,,C. Frye misses 2-pt shot from 23 ft
11:18.0,Defensive rebound by D. Waiters,,74-93,,
11:15.0,K. Olynyk makes 2-pt shot from 1 ft (assist by D. Waiters),2,76-93,,
10:59.0,,,76-95,2,D. Wade makes 2-pt shot from 2 ft
10:42.0,D. Waiters misses 2-pt shot from 2 ft,,76-95,,
10:40.0,Offensive rebound by J. Johnson,,76-95,,
10:39.0,W. Ellington misses 3-pt shot from 24 ft,,76-95,,
10:37.0,,,76-95,,Defensive rebound by C. Frye
10:29.0,,,76-95,,Offensive foul by J. Green (drawn by T. Johnson)
10:29.0,,,76-95,,Turnover by J. Green (offensive foul)
10:18.0,Turnover by K. Olynyk (bad pass; steal by J. Smith),,76-95,,
10:18.0,Personal foul by K. Olynyk (drawn by J. Smith),,76-95,,
10:01.0,,,76-97,2,D. Wade makes 2-pt shot from 14 ft
9:45.0,T. Johnson misses 2-pt shot from 15 ft,,76-97,,
9:42.0,,,76-97,,Defensive rebound by C. Frye
9:34.0,,,76-99,2,D. Wade makes 2-pt shot from 14 ft
9:34.0,Miami full timeout,,76-99,,
9:34.0,J. Richardson enters the game for D. Waiters,,76-99,,
9:15.0,T. Johnson misses 2-pt shot from 12 ft,,76-99,,
9:13.0,,,76-99,,Defensive rebound by D. Wade
8:59.0,,,76-102,3,K. Korver makes 3-pt shot from 32 ft (assist by D. Wade)
8:34.0,J. Richardson makes 3-pt shot from 26 ft (assist by T. Johnson),3,79-102,,
8:18.0,J. Winslow enters the game for J. Johnson,,79-102,,
8:12.0,,,79-104,2,J. Smith makes 2-pt shot at rim
8:12.0,,,79-104,,Shooting foul by T. Johnson (drawn by J. Smith)
8:12.0,,,79-104,,J. Smith misses free throw 1 of 1
8:10.0,Defensive rebound by K. Olynyk,,79-104,,
7:56.0,Turnover by J. Winslow (bad pass; steal by C. Frye),,79-104,,
7:53.0,,,79-106,2,J. Green makes 2-pt shot at rim (assist by C. Frye)
7:40.0,K. Olynyk misses 2-pt shot from 19 ft,,79-106,,
7:37.0,,,79-106,,Defensive rebound by J. Smith
7:32.0,,,79-106,,D. Wade misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by K. Olynyk,,79-106,,
7:19.0,K. Olynyk makes 3-pt shot from 23 ft (assist by J. Winslow),3,82-106,,
7:19.0,,,82-106,,Cleveland full timeout
7:19.0,B. Adebayo enters the game for J. Richardson,,82-106,,
7:02.0,,,82-106,,D. Wade misses 2-pt shot from 18 ft
7:00.0,Defensive rebound by K. Olynyk,,82-106,,
6:48.0,T. Johnson misses 3-pt shot from 27 ft,,82-106,,
6:45.0,,,82-106,,Defensive rebound by D. Wade
6:37.0,,,82-106,,Turnover by C. Frye (traveling)
6:26.0,J. Winslow makes 3-pt shot from 25 ft (assist by B. Adebayo),3,85-106,,
6:05.0,,,85-106,,J. Smith misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by T. Johnson,,85-106,,
5:45.0,J. Winslow misses 2-pt shot at rim,,85-106,,
5:39.0,,,85-106,,Defensive rebound by D. Wade
5:30.0,,,85-106,,D. Wade misses 2-pt shot from 4 ft
5:26.0,Defensive rebound by W. Ellington,,85-106,,
5:09.0,Shooting foul by D. Wade (drawn by B. Adebayo),,85-106,,
5:09.0,B. Adebayo makes free throw 1 of 2,1,86-106,,
5:09.0,U. Haslem enters the game for K. Olynyk,,86-106,,
5:09.0,B. Adebayo makes free throw 2 of 2,1,87-106,,
4:59.0,,,87-106,,K. Korver misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by J. Winslow,,87-106,,
4:49.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Winslow),2,89-106,,
4:22.0,,,89-108,2,D. Wade makes 2-pt shot at rim
4:05.0,J. Winslow misses 3-pt shot from 26 ft,,89-108,,
4:03.0,,,89-108,,Defensive rebound by C. Frye
3:45.0,,,89-108,,D. Wade misses 2-pt shot from 16 ft
3:43.0,Defensive rebound by B. Adebayo,,89-108,,
3:33.0,J. Winslow makes 2-pt shot from 2 ft,2,91-108,,
3:13.0,,,91-108,,J. Smith misses 3-pt shot from 27 ft
3:13.0,Defensive rebound by Team,,91-108,,
3:13.0,D. Walton enters the game for T. Johnson,,91-108,,
2:52.0,B. Adebayo makes 2-pt shot from 15 ft,2,93-108,,
2:34.0,,,93-108,,D. Wade misses 2-pt shot from 5 ft (block by D. Walton)
2:30.0,Defensive rebound by D. Walton,,93-108,,
2:27.0,Turnover by J. Winslow (traveling),,93-108,,
2:27.0,,,93-108,,Cleveland full timeout
2:27.0,,,93-108,,J. Calderon enters the game for J. Smith
2:27.0,,,93-108,,C. Osman enters the game for D. Wade
