time,Boston,pts.away,score,pts.home,LA Lakers
5:36.0,,,10-7,,B. Ingram misses free throw 1 of 2
5:36.0,,,10-7,,Offensive rebound by Team
5:36.0,,,10-7,,K. Kuzma enters the game for B. Lopez
5:36.0,M. Morris enters the game for J. Tatum,,10-7,,
5:36.0,M. Smart enters the game for A. Baynes,,10-7,,
5:36.0,,,10-8,1,B. Ingram makes free throw 2 of 2
5:19.0,M. Morris misses 2-pt shot from 14 ft,,10-8,,
5:16.0,,,10-8,,Defensive rebound by B. Ingram
4:57.0,,,10-8,,K. Kuzma misses 3-pt shot from 26 ft
4:57.0,,,10-8,,Offensive rebound by J. Randle
4:47.0,Jump ball: J. Randle vs. K. Irving (J. Clarkson gains possession),,,,Jump ball: J. Randle vs. K. Irving (J. Clarkson gains possession)
4:39.0,,,10-8,,Turnover by J. Clarkson (lost ball; steal by J. Brown)
4:29.0,M. Morris makes 2-pt shot from 10 ft,2,12-8,,
4:15.0,,,12-8,,A. Caruso misses 2-pt shot from 16 ft
4:11.0,Defensive rebound by K. Irving,,12-8,,
4:00.0,A. Horford misses 2-pt shot from 10 ft,,12-8,,
3:57.0,,,12-8,,Defensive rebound by J. Randle
3:46.0,,,12-8,,J. Randle misses 2-pt shot from 5 ft
3:44.0,Defensive rebound by A. Horford,,12-8,,
3:36.0,J. Brown misses 3-pt shot from 27 ft,,12-8,,
3:33.0,Offensive rebound by A. Horford,,12-8,,
3:31.0,M. Morris misses 3-pt shot from 26 ft,,12-8,,
3:27.0,Offensive rebound by A. Horford,,12-8,,
3:25.0,Turnover by A. Horford (bad pass; steal by J. Clarkson),,12-8,,
3:19.0,,,12-8,,Shooting foul by M. Smart (drawn by K. Kuzma)
3:19.0,,,12-8,,K. Kuzma misses free throw 1 of 2
3:19.0,,,12-8,,Offensive rebound by Team
3:19.0,,,12-8,,L. Nance enters the game for J. Randle
3:19.0,D. Theis enters the game for A. Horford,,12-8,,
3:19.0,,,12-9,1,K. Kuzma makes free throw 2 of 2
3:08.0,K. Irving makes 2-pt shot from 2 ft,2,14-9,,
2:51.0,,,14-9,,B. Ingram misses 2-pt shot from 5 ft (block by M. Morris)
2:47.0,Defensive rebound by K. Irving,,14-9,,
2:46.0,M. Morris misses 3-pt shot from 22 ft,,14-9,,
2:46.0,,,14-9,,Defensive rebound by B. Ingram
2:41.0,,,14-11,2,K. Kuzma makes 2-pt shot from 6 ft (assist by J. Clarkson)
2:41.0,Boston full timeout,,14-11,,
2:41.0,T. Rozier enters the game for J. Brown,,14-11,,
2:23.0,K. Irving misses 2-pt shot from 17 ft,,14-11,,
2:19.0,,,14-11,,Defensive rebound by B. Ingram
2:02.0,,,14-11,,J. Clarkson misses 3-pt shot from 22 ft
2:00.0,Defensive rebound by T. Rozier,,14-11,,
1:45.0,M. Morris makes 2-pt shot from 4 ft (assist by D. Theis),2,16-11,,
1:32.0,,,16-13,2,J. Clarkson makes 2-pt shot from 2 ft (assist by L. Nance)
1:17.0,M. Smart makes 2-pt shot from 5 ft,2,18-13,,
1:04.0,,,18-15,2,J. Clarkson makes 2-pt shot from 4 ft
0:49.0,M. Smart misses 3-pt shot from 22 ft,,18-15,,
0:47.0,Offensive rebound by D. Theis,,18-15,,
0:37.0,D. Theis misses 3-pt shot from 24 ft,,18-15,,
0:37.0,Offensive rebound by D. Theis,,18-15,,
0:31.0,M. Smart makes 3-pt shot from 26 ft (assist by K. Irving),3,21-15,,
0:06.0,,,21-15,,J. Clarkson misses 2-pt shot from 10 ft
0:06.0,Defensive rebound by M. Morris,,21-15,,
0:01.0,,,21-15,,Personal take foul by A. Caruso (drawn by K. Irving)
0:00.0,K. Irving misses 3-pt shot from 23 ft,,21-15,,
0:00.0,Offensive rebound by Team,,21-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Smart makes 2-pt shot from 18 ft (assist by D. Theis),2,23-15,,
11:17.0,,,23-15,,Shooting foul by D. Theis (drawn by J. Clarkson)
11:17.0,,,23-16,1,J. Clarkson makes free throw 1 of 2
11:17.0,,,23-17,1,J. Clarkson makes free throw 2 of 2
10:54.0,Shooting foul by L. Nance (drawn by M. Smart),,23-17,,
10:54.0,M. Smart makes free throw 1 of 2,1,24-17,,
10:54.0,M. Smart makes free throw 2 of 2,1,25-17,,
10:43.0,,,25-20,3,K. Kuzma makes 3-pt shot from 26 ft (assist by A. Caruso)
10:29.0,M. Smart misses 3-pt shot from 25 ft,,25-20,,
10:28.0,,,25-20,,Defensive rebound by K. Kuzma
10:23.0,,,25-20,,K. Kuzma misses 2-pt shot from 21 ft
10:20.0,Defensive rebound by D. Theis,,25-20,,
10:01.0,M. Morris makes 2-pt shot from 1 ft,2,27-20,,
9:49.0,,,27-20,,J. Clarkson misses 2-pt shot from 4 ft
9:48.0,Defensive rebound by M. Morris,,27-20,,
9:43.0,J. Eddie misses 3-pt shot from 25 ft,,27-20,,
9:38.0,,,27-20,,Defensive rebound by J. Clarkson
9:35.0,,,27-23,3,K. Kuzma makes 3-pt shot from 24 ft (assist by J. Hart)
9:13.0,M. Morris misses 3-pt shot from 24 ft,,27-23,,
9:10.0,,,27-23,,Defensive rebound by J. Hart
8:54.0,,,27-23,,K. Kuzma misses 2-pt shot from 2 ft
8:51.0,Defensive rebound by J. Eddie,,27-23,,
8:45.0,T. Rozier misses 3-pt shot from 27 ft,,27-23,,
8:43.0,,,27-23,,Defensive rebound by L. Nance
8:27.0,,,27-25,2,J. Clarkson makes 2-pt shot from 4 ft
8:26.0,Boston full timeout,,27-25,,
8:26.0,J. Tatum enters the game for J. Eddie,,27-25,,
8:18.0,Turnover by D. Theis (traveling),,27-25,,
8:04.0,,,27-27,2,L. Nance makes 2-pt shot from 2 ft (assist by K. Kuzma)
7:46.0,D. Theis makes 2-pt shot from 2 ft (assist by M. Smart),2,29-27,,
7:30.0,,,29-29,2,L. Nance makes 2-pt shot from 1 ft (assist by K. Kuzma)
7:19.0,M. Morris makes 3-pt shot from 26 ft (assist by M. Smart),3,32-29,,
7:02.0,,,32-31,2,K. Kuzma makes 2-pt shot from 3 ft
7:02.0,Violation by D. Theis (def goaltending),,32-31,,
6:49.0,T. Rozier misses 3-pt shot from 26 ft,,32-31,,
6:47.0,,,32-31,,Defensive rebound by L. Nance
6:39.0,,,32-31,,A. Caruso misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by Team,,32-31,,
6:37.0,,,32-31,,Loose ball foul by L. Nance (drawn by M. Smart)
6:37.0,,,32-31,,K. Caldwell-Pope enters the game for A. Caruso
6:37.0,A. Horford enters the game for D. Theis,,32-31,,
6:37.0,K. Irving enters the game for M. Smart,,32-31,,
6:19.0,J. Tatum misses 2-pt shot from 3 ft,,32-31,,
6:17.0,,,32-31,,Defensive rebound by L. Nance
6:13.0,,,32-33,2,J. Hart makes 2-pt shot at rim
5:55.0,M. Morris makes 2-pt shot from 1 ft,2,34-33,,
5:45.0,,,34-33,,K. Caldwell-Pope misses 3-pt shot from 24 ft
5:42.0,Defensive rebound by T. Rozier,,34-33,,
5:33.0,Offensive foul by M. Morris (drawn by K. Kuzma),,34-33,,
5:33.0,Turnover by M. Morris (offensive foul),,34-33,,
5:18.0,Personal foul by T. Rozier (drawn by J. Clarkson),,34-33,,
5:18.0,,,34-33,,B. Ingram enters the game for J. Hart
5:18.0,J. Brown enters the game for T. Rozier,,34-33,,
5:02.0,,,34-33,,K. Kuzma misses 2-pt shot from 18 ft
4:59.0,Defensive rebound by A. Horford,,34-33,,
4:53.0,J. Brown makes 2-pt shot from 2 ft (assist by A. Horford),2,36-33,,
4:52.0,,,36-33,,LA Lakers full timeout
4:52.0,,,36-33,,J. Randle enters the game for K. Kuzma
4:52.0,M. Smart enters the game for M. Morris,,36-33,,
4:33.0,,,36-33,,J. Clarkson misses 3-pt shot from 26 ft
4:29.0,,,36-33,,Offensive rebound by B. Ingram
4:29.0,,,36-33,,Offensive foul by B. Ingram (drawn by J. Brown)
4:29.0,,,36-33,,Turnover by B. Ingram (offensive foul)
4:14.0,K. Irving makes 3-pt shot from 28 ft (assist by M. Smart),3,39-33,,
3:55.0,,,39-33,,L. Nance misses 2-pt shot from 4 ft
3:51.0,,,39-33,,Offensive rebound by J. Clarkson
3:51.0,,,39-35,2,J. Clarkson makes 2-pt shot at rim
3:40.0,J. Brown makes 2-pt shot from 2 ft (assist by M. Smart),2,41-35,,
3:21.0,,,41-37,2,J. Clarkson makes 2-pt shot from 20 ft
3:02.0,K. Irving makes 3-pt shot from 28 ft,3,44-37,,
2:34.0,,,44-37,,J. Clarkson misses 2-pt shot from 17 ft
2:34.0,,,44-37,,Offensive rebound by B. Ingram
2:34.0,,,44-37,,Turnover by J. Randle (offensive goaltending)
2:33.0,,,44-37,,J. Hart enters the game for L. Nance
2:23.0,Shooting foul by K. Caldwell-Pope (drawn by K. Irving),,44-37,,
2:23.0,K. Irving makes free throw 1 of 3,1,45-37,,
2:23.0,K. Irving makes free throw 2 of 3,1,46-37,,
2:23.0,K. Irving makes free throw 3 of 3,1,47-37,,
2:09.0,,,47-37,,B. Ingram misses 2-pt shot from 17 ft
2:07.0,,,47-37,,Offensive rebound by Team
2:07.0,Loose ball foul by J. Tatum,,47-37,,
2:07.0,Technical foul by J. Tatum,,47-37,,
2:07.0,,,47-37,,J. Clarkson misses technical free throw
2:07.0,,,47-37,,Offensive rebound by Team
1:56.0,,,47-37,,J. Randle misses 2-pt shot from 3 ft
1:54.0,,,47-37,,Offensive rebound by J. Randle
1:54.0,,,47-37,,Shooting foul by M. Smart (drawn by J. Randle)
1:54.0,,,47-38,1,J. Randle makes free throw 1 of 2
1:54.0,,,47-39,1,J. Randle makes free throw 2 of 2
1:40.0,M. Smart makes 3-pt shot from 26 ft (assist by A. Horford),3,50-39,,
1:19.0,,,50-39,,K. Caldwell-Pope misses 2-pt shot from 8 ft
1:17.0,Defensive rebound by K. Irving,,50-39,,
1:11.0,M. Smart makes 3-pt shot from 22 ft (assist by A. Horford),3,53-39,,
0:54.0,,,53-41,2,J. Randle makes 2-pt shot from 2 ft
0:41.0,J. Tatum misses 3-pt shot from 26 ft,,53-41,,
0:39.0,,,53-41,,Defensive rebound by J. Clarkson
0:35.0,,,53-41,,J. Hart misses 3-pt shot from 25 ft
0:33.0,,,53-41,,Offensive rebound by Team
0:33.0,Loose ball foul by J. Brown (drawn by K. Caldwell-Pope),,53-41,,
0:33.0,,,53-42,1,K. Caldwell-Pope makes free throw 1 of 2
0:33.0,,,53-43,1,K. Caldwell-Pope makes free throw 2 of 2
0:27.0,K. Irving misses 3-pt shot from 26 ft,,53-43,,
0:25.0,,,53-43,,Defensive rebound by J. Randle
0:03.0,,,53-45,2,J. Clarkson makes 2-pt shot from 2 ft
0:00.0,M. Smart misses 3-pt shot from 30 ft,,53-45,,
0:00.0,Offensive rebound by Team,,53-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,J. Tatum misses 3-pt shot from 25 ft,,53-45,,
11:40.0,,,53-45,,Defensive rebound by T. Ennis
11:28.0,,,53-45,,B. Lopez misses 2-pt shot from 6 ft
11:26.0,Defensive rebound by A. Horford,,53-45,,
11:22.0,Turnover by J. Tatum (lost ball; steal by B. Ingram),,53-45,,
11:06.0,,,53-45,,Shooting foul by A. Horford (drawn by B. Ingram)
11:06.0,,,53-46,1,B. Ingram makes free throw 1 of 2
11:06.0,,,53-47,1,B. Ingram makes free throw 2 of 2
10:49.0,A. Horford misses 2-pt shot from 7 ft,,53-47,,
10:48.0,,,53-47,,Defensive rebound by K. Caldwell-Pope
10:45.0,,,53-47,,Offensive charge foul by J. Randle (drawn by A. Baynes)
10:45.0,,,53-47,,Turnover by J. Randle (offensive foul)
10:29.0,A. Baynes misses 2-pt shot from 13 ft,,53-47,,
10:26.0,,,53-47,,Defensive rebound by Team
10:15.0,,,53-47,,B. Ingram misses 2-pt shot from 16 ft
10:11.0,,,53-47,,Offensive rebound by J. Randle
10:03.0,,,53-49,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
10:03.0,,,53-49,,Shooting foul by A. Baynes (drawn by J. Randle)
10:03.0,M. Smart enters the game for J. Tatum,,53-49,,
10:03.0,,,53-49,,J. Randle misses free throw 1 of 1
10:00.0,Defensive rebound by A. Horford,,53-49,,
9:45.0,K. Irving misses 2-pt shot from 15 ft,,53-49,,
9:41.0,,,53-49,,Defensive rebound by B. Lopez
9:34.0,,,53-51,2,T. Ennis makes 2-pt shot at rim
9:34.0,Boston full timeout,,53-51,,
9:22.0,A. Horford makes 3-pt shot from 26 ft (assist by M. Smart),3,56-51,,
9:09.0,,,56-51,,T. Ennis misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by A. Baynes,,56-51,,
8:55.0,Offensive charge foul by A. Baynes (drawn by K. Caldwell-Pope),,56-51,,
8:55.0,Turnover by A. Baynes (offensive foul),,56-51,,
8:41.0,,,56-54,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Ingram)
8:22.0,A. Baynes misses 3-pt shot from 24 ft,,56-54,,
8:21.0,,,56-54,,Defensive rebound by Team
8:08.0,,,56-54,,K. Caldwell-Pope misses 3-pt shot from 26 ft
8:04.0,,,56-54,,Offensive rebound by B. Lopez
8:04.0,,,56-56,2,B. Lopez makes 2-pt shot from 2 ft
8:04.0,,,56-56,,Shooting foul by A. Baynes (drawn by B. Lopez)
8:04.0,,,56-57,1,B. Lopez makes free throw 1 of 1
7:48.0,A. Horford misses 2-pt shot from 4 ft (block by B. Lopez),,56-57,,
7:48.0,,,56-57,,Defensive rebound by J. Randle
7:48.0,Personal foul by A. Baynes (drawn by J. Randle),,56-57,,
7:48.0,M. Morris enters the game for A. Baynes,,56-57,,
7:39.0,,,56-57,,B. Lopez misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by J. Brown,,56-57,,
7:27.0,K. Irving makes 2-pt shot from 15 ft,2,58-57,,
7:17.0,,,58-59,2,B. Lopez makes 2-pt shot from 12 ft (assist by B. Ingram)
7:07.0,,,58-59,,Personal foul by T. Ennis (drawn by K. Irving)
6:53.0,K. Irving makes 2-pt shot from 16 ft,2,60-59,,
6:44.0,,,60-59,,T. Ennis misses 2-pt shot from 1 ft
6:42.0,,,60-59,,Offensive rebound by J. Randle
6:42.0,,,60-59,,J. Randle misses 2-pt shot from 2 ft (block by A. Horford)
6:38.0,Defensive rebound by M. Smart,,60-59,,
6:34.0,J. Brown misses 3-pt shot from 27 ft,,60-59,,
6:32.0,,,60-59,,Defensive rebound by K. Caldwell-Pope
6:27.0,,,60-62,3,K. Caldwell-Pope makes 3-pt shot from 27 ft
6:11.0,M. Smart makes 2-pt shot from 9 ft (assist by A. Horford),2,62-62,,
5:57.0,,,62-62,,J. Randle misses 2-pt shot from 18 ft
5:53.0,Defensive rebound by A. Horford,,62-62,,
5:47.0,J. Brown misses 3-pt shot from 26 ft,,62-62,,
5:45.0,,,62-62,,Defensive rebound by J. Randle
5:40.0,,,62-62,,Offensive foul by B. Lopez (drawn by J. Brown)
5:40.0,,,62-62,,Turnover by B. Lopez (offensive foul)
5:32.0,A. Horford makes 3-pt shot from 26 ft (assist by K. Irving),3,65-62,,
5:09.0,,,65-64,2,J. Randle makes 2-pt shot from 2 ft
4:51.0,K. Irving misses 2-pt shot from 7 ft,,65-64,,
4:48.0,Offensive rebound by A. Horford,,65-64,,
4:46.0,A. Horford misses 2-pt shot from 4 ft,,65-64,,
4:46.0,,,65-64,,Defensive rebound by J. Randle
4:41.0,,,65-66,2,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle)
4:32.0,M. Smart makes 3-pt shot from 27 ft (assist by J. Brown),3,68-66,,
4:17.0,,,68-66,,B. Ingram misses 2-pt shot from 8 ft
4:15.0,Defensive rebound by M. Morris,,68-66,,
4:07.0,M. Morris misses 2-pt shot from 15 ft,,68-66,,
4:05.0,,,68-66,,Defensive rebound by J. Randle
3:57.0,,,68-68,2,B. Lopez makes 2-pt shot from 6 ft
3:46.0,K. Irving makes 2-pt shot from 2 ft (assist by A. Horford),2,70-68,,
3:46.0,,,70-68,,LA Lakers full timeout
3:46.0,,,70-68,,J. Clarkson enters the game for T. Ennis
3:46.0,,,70-68,,A. Caruso enters the game for B. Lopez
3:46.0,,,70-68,,L. Nance enters the game for B. Ingram
3:46.0,T. Rozier enters the game for J. Brown,,70-68,,
3:28.0,,,70-70,2,J. Randle makes 2-pt shot at rim
3:10.0,A. Horford makes 2-pt shot from 1 ft,2,72-70,,
3:10.0,,,72-70,,Violation by J. Randle (def goaltending)
2:51.0,,,72-70,,J. Randle misses 2-pt shot from 9 ft
2:47.0,,,72-70,,Offensive rebound by K. Caldwell-Pope
2:40.0,,,72-72,2,J. Randle makes 2-pt shot from 1 ft
2:21.0,K. Irving makes 2-pt shot at rim,2,74-72,,
2:10.0,,,74-72,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by M. Morris,,74-72,,
1:58.0,A. Horford misses 3-pt shot from 26 ft,,74-72,,
1:55.0,,,74-72,,Defensive rebound by L. Nance
1:53.0,Violation by M. Morris (kicked ball),,74-72,,
1:53.0,,,74-72,,J. Hart enters the game for J. Randle
1:53.0,J. Tatum enters the game for K. Irving,,74-72,,
1:53.0,D. Theis enters the game for A. Horford,,74-72,,
1:53.0,,,74-72,,K. Kuzma enters the game for A. Caruso
1:46.0,,,74-72,,K. Kuzma misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by M. Morris,,74-72,,
1:35.0,M. Smart misses 3-pt shot from 25 ft,,74-72,,
1:35.0,,,74-72,,Defensive rebound by K. Kuzma
1:16.0,,,74-74,2,J. Clarkson makes 2-pt shot from 4 ft
0:53.0,Turnover by J. Tatum (turnover),,74-74,,
0:41.0,,,74-74,,J. Clarkson misses 2-pt shot from 3 ft
0:41.0,,,74-74,,Offensive rebound by Team
0:41.0,Loose ball foul by T. Rozier (drawn by L. Nance),,74-74,,
0:41.0,,,74-75,1,L. Nance makes free throw 1 of 2
0:41.0,,,74-76,1,L. Nance makes free throw 2 of 2
0:29.0,Turnover by M. Smart (bad pass; steal by L. Nance),,74-76,,
0:19.0,,,74-76,,LA Lakers full timeout
0:19.0,,,74-76,,A. Caruso enters the game for K. Caldwell-Pope
0:09.0,,,74-76,,J. Clarkson misses 2-pt shot from 12 ft
0:06.0,,,74-76,,Offensive rebound by J. Clarkson
0:02.0,,,74-76,,Turnover by J. Clarkson (bad pass)
0:02.0,Turnover by D. Theis (bad pass; steal by A. Caruso),,74-76,,
0:00.0,,,74-76,,A. Caruso misses 3-pt shot from 69 ft
0:00.0,,,74-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,74-78,2,L. Nance makes 2-pt shot from 2 ft (assist by J. Clarkson)
11:26.0,J. Tatum makes 3-pt shot from 24 ft (assist by K. Irving),3,77-78,,
11:07.0,,,77-78,,A. Caruso misses 2-pt shot from 1 ft (block by M. Morris)
11:03.0,Defensive rebound by D. Theis,,77-78,,
10:59.0,M. Morris makes 2-pt shot from 2 ft,2,79-78,,
10:59.0,Shooting foul by J. Clarkson (drawn by M. Morris),,79-78,,
10:59.0,M. Morris misses free throw 1 of 1,,79-78,,
10:56.0,,,79-78,,Defensive rebound by K. Kuzma
10:33.0,,,79-78,,Turnover by L. Nance (lost ball; steal by T. Rozier)
10:28.0,T. Rozier makes 2-pt shot from 2 ft,2,81-78,,
10:28.0,,,81-78,,LA Lakers full timeout
10:09.0,,,81-80,2,K. Kuzma makes 2-pt shot from 15 ft
9:49.0,K. Irving makes 2-pt shot from 18 ft,2,83-80,,
9:30.0,Violation by D. Theis (kicked ball),,83-80,,
9:20.0,,,83-80,,J. Clarkson misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by M. Morris,,83-80,,
9:04.0,K. Irving misses 2-pt shot from 1 ft,,83-80,,
8:59.0,Offensive rebound by D. Theis,,83-80,,
8:59.0,D. Theis makes 2-pt shot at rim,2,85-80,,
8:53.0,,,85-82,2,J. Clarkson makes 2-pt shot at rim
8:35.0,K. Irving makes 3-pt shot from 25 ft,3,88-82,,
8:24.0,,,88-82,,Shooting foul by K. Irving (drawn by A. Caruso)
8:24.0,,,88-82,,A. Caruso misses free throw 1 of 2
8:24.0,,,88-82,,Offensive rebound by Team
8:24.0,,,88-82,,A. Caruso misses free throw 2 of 2
8:22.0,Defensive rebound by M. Morris,,88-82,,
8:06.0,K. Irving misses 3-pt shot from 22 ft,,88-82,,
8:04.0,,,88-82,,Defensive rebound by L. Nance
7:59.0,,,88-85,3,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Clarkson)
7:35.0,Shooting foul by J. Hart (drawn by J. Tatum),,88-85,,
7:35.0,J. Tatum misses free throw 1 of 2,,88-85,,
7:35.0,Offensive rebound by Team,,88-85,,
7:35.0,,,88-85,,B. Ingram enters the game for A. Caruso
7:35.0,M. Smart enters the game for K. Irving,,88-85,,
7:35.0,J. Tatum makes free throw 2 of 2,1,89-85,,
7:16.0,,,89-88,3,K. Kuzma makes 3-pt shot from 26 ft (assist by B. Ingram)
6:59.0,M. Smart misses 3-pt shot from 26 ft,,89-88,,
6:56.0,,,89-88,,Defensive rebound by L. Nance
6:40.0,,,89-90,2,L. Nance makes 2-pt shot from 3 ft (assist by K. Kuzma)
6:40.0,Boston full timeout,,89-90,,
6:40.0,J. Brown enters the game for M. Morris,,89-90,,
6:40.0,A. Horford enters the game for D. Theis,,89-90,,
6:18.0,A. Horford makes 2-pt shot from 4 ft (assist by M. Smart),2,91-90,,
5:58.0,,,91-90,,Turnover by B. Ingram (bad pass; steal by M. Smart)
5:54.0,J. Brown misses 2-pt shot from 1 ft,,91-90,,
5:51.0,,,91-90,,Defensive rebound by B. Ingram
5:46.0,,,91-93,3,K. Kuzma makes 3-pt shot from 26 ft (assist by L. Nance)
5:29.0,A. Horford misses 3-pt shot from 26 ft,,91-93,,
5:29.0,,,91-93,,Defensive rebound by B. Ingram
5:15.0,,,91-93,,Shooting foul by J. Brown (drawn by K. Kuzma)
5:15.0,,,91-94,1,K. Kuzma makes free throw 1 of 3
5:15.0,,,91-95,1,K. Kuzma makes free throw 2 of 3
5:15.0,K. Irving enters the game for T. Rozier,,91-95,,
5:15.0,,,91-95,,K. Kuzma misses free throw 3 of 3
5:13.0,Defensive rebound by J. Tatum,,91-95,,
5:00.0,J. Brown misses 3-pt shot from 22 ft,,91-95,,
4:56.0,,,91-95,,Defensive rebound by L. Nance
4:47.0,,,91-97,2,K. Kuzma makes 2-pt shot from 7 ft (assist by J. Clarkson)
4:28.0,K. Irving makes 2-pt shot from 16 ft,2,93-97,,
4:11.0,,,93-97,,J. Clarkson misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by J. Tatum,,93-97,,
4:01.0,K. Irving misses 3-pt shot from 25 ft (block by B. Ingram),,93-97,,
3:57.0,,,93-97,,Defensive rebound by L. Nance
3:53.0,,,93-97,,B. Ingram misses 2-pt shot from 2 ft
3:52.0,,,93-97,,Offensive rebound by J. Hart
3:52.0,,,93-99,2,J. Hart makes 2-pt shot at rim
3:52.0,Boston full timeout,,93-99,,
3:52.0,T. Rozier enters the game for J. Brown,,93-99,,
3:40.0,J. Tatum misses 2-pt shot from 2 ft,,93-99,,
3:38.0,,,93-99,,Defensive rebound by L. Nance
3:37.0,,,93-99,,Shooting foul by M. Smart (drawn by L. Nance)
3:37.0,,,93-99,,L. Nance misses free throw 1 of 2
3:37.0,,,93-99,,Offensive rebound by Team
3:37.0,,,93-99,,L. Nance misses free throw 2 of 2
3:35.0,Defensive rebound by A. Horford,,93-99,,
