time,Portland,pts.away,score,pts.home,Dallas
9:10.0,,,27-33,2,D. McDermott makes 2-pt shot at rim (assist by Y. Ferrell)
8:50.0,M. Leonard makes 2-pt shot from 15 ft (assist by C. McCollum),2,29-33,,
8:33.0,,,29-33,,A. Harrison misses 3-pt shot from 25 ft
8:32.0,,,29-33,,Offensive rebound by S. Mejri
8:27.0,,,29-33,,A. Harrison misses 2-pt shot from 13 ft
8:24.0,Defensive rebound by Z. Collins,,29-33,,
8:16.0,S. Napier makes 3-pt shot from 25 ft (assist by C. McCollum),3,32-33,,
7:58.0,,,32-33,,D. McDermott misses 2-pt shot from 10 ft
7:55.0,Defensive rebound by C. McCollum,,32-33,,
7:47.0,C. McCollum misses 2-pt shot from 19 ft,,32-33,,
7:44.0,,,32-33,,Defensive rebound by Y. Ferrell
7:36.0,,,32-33,,Y. Ferrell misses 2-pt shot from 16 ft
7:34.0,Defensive rebound by Z. Collins,,32-33,,
7:26.0,M. Leonard misses 3-pt shot from 24 ft,,32-33,,
7:22.0,,,32-33,,Defensive rebound by M. Kleber
7:06.0,,,32-35,2,Y. Ferrell makes 2-pt shot from 16 ft (assist by D. McDermott)
6:47.0,P. Connaughton makes 3-pt shot from 25 ft (assist by C. McCollum),3,35-35,,
6:47.0,,,35-35,,Dallas full timeout
6:47.0,,,35-35,,K. Collinsworth enters the game for Y. Ferrell
6:47.0,C. Swanigan enters the game for M. Leonard,,35-35,,
6:39.0,,,35-37,2,M. Kleber makes 2-pt shot from 12 ft (assist by D. McDermott)
6:22.0,P. Connaughton makes 2-pt shot from 1 ft (assist by S. Napier),2,37-37,,
6:01.0,,,37-37,,A. Harrison misses 3-pt shot from 22 ft
5:58.0,Defensive rebound by C. Swanigan,,37-37,,
5:49.0,Z. Collins misses 3-pt shot from 25 ft,,37-37,,
5:49.0,,,37-37,,Defensive rebound by Team
5:49.0,Loose ball foul by C. Swanigan (drawn by S. Mejri),,37-37,,
5:49.0,,,37-37,,D. Powell enters the game for A. Harrison
5:49.0,,,37-37,,D. Nowitzki enters the game for M. Kleber
5:49.0,,,37-37,,Y. Ferrell enters the game for S. Mejri
5:49.0,E. Turner enters the game for P. Connaughton,,37-37,,
5:34.0,,,37-37,,D. McDermott misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by Z. Collins,,37-37,,
5:22.0,Z. Collins misses 3-pt shot from 24 ft,,37-37,,
5:20.0,,,37-37,,Defensive rebound by D. McDermott
