time,Brooklyn,pts.away,score,pts.home,Orlando
1:56.0,,,23-24,,B. Biyombo enters the game for A. Gordon
1:56.0,,,23-24,,M. Hezonja enters the game for N. Vucevic
1:56.0,T. Booker misses free throw 2 of 2,,23-24,,
1:51.0,,,23-24,,Defensive rebound by J. Isaac
1:43.0,,,23-24,,S. Mack misses 2-pt shot from 9 ft
1:43.0,,,23-24,,Offensive rebound by Team
1:43.0,Loose ball foul by Q. Acy (drawn by J. Isaac),,23-24,,
1:43.0,,,23-25,1,J. Isaac makes free throw 1 of 2
1:43.0,,,23-26,1,J. Isaac makes free throw 2 of 2
1:32.0,S. Dinwiddie misses 2-pt shot from 10 ft,,23-26,,
1:29.0,,,23-26,,Defensive rebound by B. Biyombo
1:19.0,,,23-28,2,B. Biyombo makes 2-pt shot from 4 ft (assist by M. Hezonja)
1:09.0,A. Crabbe makes 3-pt shot from 26 ft (assist by J. Harris),3,26-28,,
0:59.0,,,26-28,,Shooting foul by S. Dinwiddie (drawn by J. Simmons)
0:59.0,,,26-29,1,J. Simmons makes free throw 1 of 2
0:59.0,,,26-30,1,J. Simmons makes free throw 2 of 2
0:44.0,T. Booker misses 2-pt shot from 4 ft,,26-30,,
0:42.0,,,26-30,,Defensive rebound by J. Isaac
0:37.0,,,26-30,,S. Mack misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by T. Booker,,26-30,,
0:29.0,Offensive charge foul by T. Booker (drawn by J. Isaac),,26-30,,
0:29.0,Turnover by T. Booker (offensive foul),,26-30,,
0:11.0,Personal foul by S. Dinwiddie (drawn by J. Simmons),,26-30,,
0:11.0,,,26-30,,J. Simmons misses free throw 1 of 1
0:11.0,,,26-30,,Offensive rebound by Team
0:11.0,Turnover by S. Dinwiddie (turnover),,26-30,,
0:11.0,,,26-30,,Turnover by B. Biyombo (offensive goaltending)
0:03.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,28-30,,
0:03.0,Shooting foul by J. Isaac (drawn by S. Dinwiddie),,28-30,,
0:03.0,R. Hollis-Jefferson enters the game for T. Booker,,28-30,,
0:03.0,S. Dinwiddie misses free throw 1 of 1,,28-30,,
0:00.0,Offensive rebound by A. Crabbe,,28-30,,
0:00.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by A. Crabbe),2,30-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,30-30,,J. Simmons misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by C. LeVert,,30-30,,
11:38.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,30-30,,
11:38.0,Offensive rebound by R. Hollis-Jefferson,,30-30,,
11:32.0,J. Harris makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson),2,32-30,,
11:23.0,,,32-30,,J. Isaac misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by S. Dinwiddie,,32-30,,
11:14.0,J. Harris misses 3-pt shot from 26 ft,,32-30,,
11:14.0,,,32-30,,Defensive rebound by B. Biyombo
11:00.0,,,32-32,2,B. Biyombo makes 2-pt shot from 10 ft (assist by J. Simmons)
10:46.0,J. Harris misses 2-pt shot from 2 ft,,32-32,,
10:44.0,Offensive rebound by R. Hollis-Jefferson,,32-32,,
10:42.0,T. Mozgov makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson),3,35-32,,
10:26.0,,,35-32,,Shooting foul by T. Mozgov (drawn by J. Simmons)
10:26.0,,,35-33,1,J. Simmons makes free throw 1 of 2
10:26.0,,,35-34,1,J. Simmons makes free throw 2 of 2
10:14.0,C. LeVert makes 2-pt shot from 2 ft,2,37-34,,
10:14.0,Shooting foul by J. Isaac (drawn by C. LeVert),,37-34,,
10:14.0,C. LeVert makes free throw 1 of 1,1,38-34,,
10:05.0,,,38-36,2,S. Mack makes 2-pt shot from 15 ft
9:53.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,40-36,,
9:41.0,Def 3 sec tech foul by T. Mozgov,,40-36,,
9:41.0,,,40-37,1,J. Simmons makes technical free throw
9:38.0,,,40-37,,J. Simmons misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by T. Mozgov,,40-37,,
9:24.0,S. Dinwiddie misses 3-pt shot from 25 ft,,40-37,,
9:20.0,Offensive rebound by C. LeVert,,40-37,,
9:13.0,Turnover by T. Mozgov (out of bounds lost ball),,40-37,,
8:56.0,,,40-37,,B. Biyombo misses 2-pt shot from 16 ft
8:52.0,Defensive rebound by S. Dinwiddie,,40-37,,
8:49.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by C. LeVert),2,42-37,,
8:49.0,,,42-37,,Orlando full timeout
8:36.0,,,42-37,,M. Hezonja misses 2-pt shot from 8 ft
8:34.0,Defensive rebound by T. Mozgov,,42-37,,
8:23.0,Turnover by C. LeVert (lost ball; steal by J. Isaac),,42-37,,
8:00.0,,,42-37,,J. Isaac misses 2-pt shot from 20 ft
7:57.0,Defensive rebound by C. LeVert,,42-37,,
7:50.0,C. LeVert makes 3-pt shot from 25 ft (assist by J. Harris),3,45-37,,
7:38.0,,,45-39,2,S. Mack makes 2-pt shot from 12 ft
7:26.0,C. LeVert misses 3-pt shot from 25 ft,,45-39,,
7:24.0,,,45-39,,Defensive rebound by S. Mack
7:12.0,Personal foul by C. LeVert (drawn by J. Simmons),,45-39,,
7:12.0,,,45-39,,A. Gordon enters the game for J. Isaac
7:12.0,,,45-39,,D. Augustin enters the game for S. Mack
7:12.0,,,45-39,,T. Ross enters the game for M. Hezonja
7:12.0,J. Allen enters the game for S. Dinwiddie,,45-39,,
7:12.0,A. Crabbe enters the game for J. Harris,,45-39,,
7:12.0,D. Russell enters the game for T. Mozgov,,45-39,,
7:07.0,,,45-39,,J. Simmons misses 2-pt shot from 2 ft
7:03.0,Defensive rebound by J. Allen,,45-39,,
6:48.0,D. Russell misses 2-pt shot from 11 ft,,45-39,,
6:44.0,Offensive rebound by J. Allen,,45-39,,
6:43.0,J. Allen misses 2-pt shot from 2 ft,,45-39,,
6:43.0,Offensive rebound by D. Russell,,45-39,,
6:41.0,D. Russell misses 2-pt shot at rim,,45-39,,
6:41.0,Offensive rebound by Team,,45-39,,
6:41.0,,,45-39,,Technical foul by J. Simmons
6:41.0,A. Crabbe makes technical free throw,1,46-39,,
6:35.0,,,46-39,,Personal block foul by A. Gordon (drawn by C. LeVert)
6:35.0,C. LeVert makes free throw 1 of 2,1,47-39,,
6:35.0,C. LeVert makes free throw 2 of 2,1,48-39,,
6:24.0,,,48-41,2,A. Gordon makes 2-pt shot from 2 ft (assist by D. Augustin)
6:13.0,R. Hollis-Jefferson makes 2-pt shot from 12 ft,2,50-41,,
6:03.0,,,50-41,,Turnover by D. Augustin (bad pass; steal by D. Russell)
6:00.0,Shooting foul by D. Augustin (drawn by D. Russell),,50-41,,
6:00.0,D. Russell misses free throw 1 of 2,,50-41,,
6:00.0,Offensive rebound by Team,,50-41,,
6:00.0,,,50-41,,N. Vucevic enters the game for B. Biyombo
6:00.0,,,50-41,,E. Fournier enters the game for J. Simmons
6:00.0,D. Russell makes free throw 2 of 2,1,51-41,,
5:42.0,,,51-44,3,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin)
5:26.0,,,51-44,,Personal foul by E. Fournier (drawn by D. Russell)
5:26.0,D. Carroll enters the game for C. LeVert,,51-44,,
5:17.0,J. Allen misses 2-pt shot from 3 ft,,51-44,,
5:17.0,,,51-44,,Defensive rebound by Team
5:06.0,,,51-44,,N. Vucevic misses 3-pt shot from 7 ft
5:06.0,Defensive rebound by Team,,51-44,,
5:06.0,,,51-44,,Personal foul by A. Gordon (drawn by R. Hollis-Jefferson)
5:06.0,R. Hollis-Jefferson makes free throw 1 of 2,1,52-44,,
5:06.0,R. Hollis-Jefferson makes free throw 2 of 2,1,53-44,,
4:52.0,,,53-44,,N. Vucevic misses 2-pt shot from 8 ft (block by J. Allen)
4:46.0,Defensive rebound by D. Carroll,,53-44,,
4:40.0,Turnover by R. Hollis-Jefferson (bad pass; steal by E. Fournier),,53-44,,
4:34.0,,,53-46,2,D. Augustin makes 2-pt shot from 2 ft (assist by E. Fournier)
4:27.0,D. Russell makes 2-pt shot from 11 ft,2,55-46,,
4:15.0,,,55-46,,N. Vucevic misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by D. Carroll,,55-46,,
4:05.0,D. Carroll misses 3-pt shot from 25 ft,,55-46,,
4:05.0,,,55-46,,Defensive rebound by A. Gordon
3:54.0,,,55-48,2,N. Vucevic makes 2-pt shot from 3 ft (assist by A. Gordon)
3:54.0,Brooklyn full timeout,,55-48,,
3:54.0,T. Booker enters the game for R. Hollis-Jefferson,,55-48,,
3:42.0,A. Crabbe misses 3-pt shot from 24 ft,,55-48,,
3:39.0,,,55-48,,Defensive rebound by A. Gordon
3:31.0,,,55-48,,Shooting foul by D. Russell (drawn by D. Augustin)
3:31.0,,,55-49,1,D. Augustin makes free throw 1 of 2
3:31.0,,,55-50,1,D. Augustin makes free throw 2 of 2
3:17.0,D. Russell misses 2-pt shot from 6 ft,,55-50,,
3:13.0,,,55-50,,Defensive rebound by E. Fournier
3:10.0,,,55-52,2,E. Fournier makes 2-pt shot from 2 ft
2:46.0,D. Carroll misses 3-pt shot from 25 ft,,55-52,,
2:44.0,Offensive rebound by Team,,55-52,,
2:34.0,D. Russell misses 2-pt shot from 13 ft,,55-52,,
2:30.0,,,55-52,,Defensive rebound by E. Fournier
2:27.0,,,55-54,2,A. Gordon makes 2-pt shot from 1 ft (assist by T. Ross)
2:10.0,A. Crabbe misses 2-pt shot from 8 ft (block by T. Ross),,55-54,,
2:10.0,Offensive rebound by Team,,55-54,,
2:02.0,A. Crabbe misses 2-pt shot from 17 ft,,55-54,,
2:02.0,Offensive rebound by Team,,55-54,,
1:49.0,Turnover by J. Allen (bad pass),,55-54,,
1:38.0,,,55-54,,E. Fournier misses 2-pt shot from 2 ft (block by D. Carroll)
1:35.0,Defensive rebound by T. Booker,,55-54,,
1:31.0,A. Crabbe makes 2-pt shot from 1 ft (assist by T. Booker),2,57-54,,
1:15.0,,,57-57,3,A. Gordon makes 3-pt shot from 26 ft
1:03.0,Turnover by D. Russell (lost ball; steal by D. Augustin),,57-57,,
1:00.0,,,57-59,2,D. Augustin makes 2-pt shot from 2 ft
0:52.0,A. Crabbe misses 3-pt shot from 26 ft,,57-59,,
0:48.0,,,57-59,,Defensive rebound by N. Vucevic
0:48.0,Personal foul by J. Allen (drawn by D. Augustin),,57-59,,
0:33.0,,,57-59,,E. Fournier misses 2-pt shot from 13 ft
0:28.0,Defensive rebound by T. Booker,,57-59,,
0:25.0,Shooting foul by E. Fournier (drawn by D. Carroll),,57-59,,
0:25.0,D. Carroll makes free throw 1 of 2,1,58-59,,
0:25.0,,,58-59,,J. Isaac enters the game for A. Gordon
0:25.0,,,58-59,,J. Simmons enters the game for E. Fournier
0:25.0,R. Hollis-Jefferson enters the game for T. Booker,,58-59,,
0:25.0,D. Carroll makes free throw 2 of 2,1,59-59,,
0:03.0,,,59-61,2,N. Vucevic makes 2-pt shot from 6 ft
0:00.0,,,59-61,,Personal block foul by D. Augustin (drawn by D. Carroll)
0:00.0,D. Carroll makes free throw 1 of 2,1,60-61,,
0:00.0,D. Carroll makes free throw 2 of 2,1,61-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,61-61,,N. Vucevic misses 2-pt shot from 11 ft
11:37.0,Defensive rebound by T. Mozgov,,61-61,,
11:30.0,,,61-61,,Personal foul by D. Augustin (drawn by D. Russell)
11:21.0,D. Russell misses 2-pt shot from 6 ft (block by N. Vucevic),,61-61,,
11:21.0,Offensive rebound by Team,,61-61,,
11:21.0,,,61-61,,Personal foul by D. Augustin (drawn by D. Carroll)
11:15.0,D. Russell makes 2-pt shot from 9 ft,2,63-61,,
10:55.0,,,63-61,,T. Ross misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by D. Russell,,63-61,,
10:38.0,T. Mozgov makes 2-pt shot from 1 ft (assist by C. LeVert),2,65-61,,
10:11.0,,,65-61,,E. Fournier misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by R. Hollis-Jefferson,,65-61,,
10:06.0,Shooting foul by E. Fournier (drawn by R. Hollis-Jefferson),,65-61,,
10:06.0,R. Hollis-Jefferson makes free throw 1 of 2,1,66-61,,
10:06.0,R. Hollis-Jefferson makes free throw 2 of 2,1,67-61,,
9:49.0,,,67-61,,Shooting foul by C. LeVert (drawn by D. Augustin)
9:49.0,,,67-62,1,D. Augustin makes free throw 1 of 2
9:49.0,,,67-63,1,D. Augustin makes free throw 2 of 2
9:34.0,C. LeVert misses 2-pt shot from 19 ft,,67-63,,
9:30.0,,,67-63,,Defensive rebound by A. Gordon
9:25.0,Shooting block foul by T. Mozgov (drawn by A. Gordon),,67-63,,
9:25.0,,,67-64,1,A. Gordon makes free throw 1 of 2
9:25.0,,,67-64,,A. Gordon misses free throw 2 of 2
9:22.0,Defensive rebound by R. Hollis-Jefferson,,67-64,,
9:18.0,D. Carroll misses 2-pt shot from 1 ft (block by N. Vucevic),,67-64,,
9:18.0,Offensive rebound by Team,,67-64,,
9:12.0,T. Mozgov makes 2-pt shot from 1 ft (assist by D. Russell),2,69-64,,
8:59.0,,,69-66,2,E. Fournier makes 2-pt shot from 2 ft (assist by D. Augustin)
8:40.0,D. Carroll makes 3-pt shot from 25 ft,3,72-66,,
8:40.0,Shooting foul by N. Vucevic (drawn by D. Carroll),,72-66,,
8:40.0,,,72-66,,S. Mack enters the game for D. Augustin
8:40.0,D. Carroll makes free throw 1 of 1,1,73-66,,
8:25.0,,,73-68,2,N. Vucevic makes 2-pt shot from 1 ft (assist by A. Gordon)
8:06.0,D. Russell makes 2-pt shot from 16 ft,2,75-68,,
7:52.0,,,75-68,,T. Ross misses 2-pt shot from 2 ft (block by T. Mozgov)
7:49.0,Defensive rebound by D. Carroll,,75-68,,
7:47.0,C. LeVert makes 2-pt shot from 1 ft (assist by D. Carroll),2,77-68,,
7:47.0,,,77-68,,Orlando full timeout
7:31.0,,,77-68,,T. Ross misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by T. Mozgov,,77-68,,
7:21.0,D. Russell misses 2-pt shot from 3 ft,,77-68,,
7:18.0,,,77-68,,Defensive rebound by N. Vucevic
7:13.0,,,77-68,,T. Ross misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson)
7:13.0,Defensive rebound by C. LeVert,,77-68,,
7:13.0,,,77-68,,Technical foul by T. Ross
7:13.0,D. Russell makes technical free throw,1,78-68,,
6:59.0,,,78-68,,Personal foul by T. Ross (drawn by T. Mozgov)
6:59.0,T. Mozgov makes free throw 1 of 2,1,79-68,,
6:59.0,T. Mozgov makes free throw 2 of 2,1,80-68,,
6:45.0,,,80-70,2,E. Fournier makes 2-pt shot from 10 ft
6:36.0,D. Russell misses 2-pt shot from 20 ft,,80-70,,
6:32.0,,,80-70,,Defensive rebound by A. Gordon
6:27.0,,,80-70,,N. Vucevic misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by C. LeVert,,80-70,,
6:02.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft,2,82-70,,
5:51.0,,,82-72,2,E. Fournier makes 2-pt shot from 2 ft (assist by S. Mack)
5:51.0,Brooklyn full timeout,,82-72,,
5:51.0,Q. Acy enters the game for T. Mozgov,,82-72,,
5:51.0,T. Booker enters the game for C. LeVert,,82-72,,
5:51.0,A. Crabbe enters the game for R. Hollis-Jefferson,,82-72,,
5:35.0,D. Carroll makes 2-pt shot from 3 ft (assist by T. Booker),2,84-72,,
5:18.0,,,84-72,,N. Vucevic misses 2-pt shot from 10 ft
5:14.0,Defensive rebound by Q. Acy,,84-72,,
4:58.0,D. Russell misses 3-pt shot from 24 ft,,84-72,,
4:55.0,Offensive rebound by T. Booker,,84-72,,
4:53.0,Turnover by T. Booker (bad pass),,84-72,,
4:53.0,,,84-72,,J. Simmons enters the game for T. Ross
4:44.0,,,84-72,,Shooting foul by Q. Acy (drawn by A. Gordon)
4:44.0,,,84-73,1,A. Gordon makes free throw 1 of 2
4:44.0,S. Dinwiddie enters the game for D. Russell,,84-73,,
4:44.0,,,84-74,1,A. Gordon makes free throw 2 of 2
4:22.0,D. Carroll misses 2-pt shot from 13 ft,,84-74,,
4:18.0,,,84-74,,Defensive rebound by S. Mack
4:15.0,,,84-74,,A. Gordon misses 2-pt shot from 1 ft
4:15.0,,,84-74,,Offensive rebound by A. Gordon
4:07.0,,,84-76,2,A. Gordon makes 2-pt shot at rim
4:02.0,D. Carroll makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,87-76,,
3:44.0,,,87-76,,Shooting foul by Q. Acy (drawn by A. Gordon)
3:44.0,,,87-76,,A. Gordon misses free throw 1 of 2
3:44.0,,,87-76,,Offensive rebound by Team
3:44.0,J. Harris enters the game for D. Carroll,,87-76,,
3:44.0,,,87-77,1,A. Gordon makes free throw 2 of 2
3:36.0,Shooting foul by S. Mack (drawn by S. Dinwiddie),,87-77,,
3:36.0,S. Dinwiddie makes free throw 1 of 2,1,88-77,,
3:36.0,S. Dinwiddie makes free throw 2 of 2,1,89-77,,
3:25.0,,,89-80,3,A. Gordon makes 3-pt shot from 25 ft (assist by S. Mack)
3:07.0,T. Booker misses 2-pt shot from 11 ft,,89-80,,
3:05.0,,,89-80,,Defensive rebound by N. Vucevic
2:58.0,,,89-80,,S. Mack misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by T. Booker,,89-80,,
2:47.0,A. Crabbe misses 3-pt shot from 27 ft,,89-80,,
2:45.0,,,89-80,,Defensive rebound by N. Vucevic
2:39.0,,,89-82,2,E. Fournier makes 2-pt shot from 2 ft (assist by S. Mack)
2:21.0,Turnover by A. Crabbe (step out of bounds),,89-82,,
2:03.0,,,89-82,,N. Vucevic misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by Q. Acy,,89-82,,
1:53.0,Turnover by S. Dinwiddie (bad pass; steal by E. Fournier),,89-82,,
1:53.0,Personal foul by Q. Acy (drawn by E. Fournier),,89-82,,
1:53.0,,,89-82,,B. Biyombo enters the game for N. Vucevic
1:53.0,,,89-83,1,E. Fournier makes free throw 1 of 2
1:53.0,,,89-84,1,E. Fournier makes free throw 2 of 2
1:34.0,Q. Acy makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,92-84,,
1:13.0,,,92-86,2,A. Gordon makes 2-pt shot from 2 ft
1:13.0,,,92-86,,Shooting foul by S. Dinwiddie (drawn by A. Gordon)
1:13.0,,,92-86,,J. Isaac enters the game for E. Fournier
1:13.0,,,92-87,1,A. Gordon makes free throw 1 of 1
0:57.0,S. Dinwiddie makes 2-pt shot from 11 ft,2,94-87,,
0:38.0,,,94-87,,Turnover by S. Mack (bad pass; steal by J. Harris)
0:33.0,Q. Acy misses 3-pt shot from 24 ft,,94-87,,
0:28.0,Offensive rebound by T. Booker,,94-87,,
0:09.0,T. Booker makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,96-87,,
0:00.0,,,96-87,,A. Gordon misses 2-pt shot from 12 ft
0:00.0,,,96-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,C. LeVert misses 3-pt shot from 25 ft,,96-87,,
11:39.0,,,96-87,,Defensive rebound by J. Isaac
11:21.0,,,96-89,2,J. Isaac makes 2-pt shot from 2 ft
11:07.0,,,96-89,,E. Fournier enters the game for T. Ross
11:01.0,S. Dinwiddie misses 2-pt shot from 14 ft,,96-89,,
10:59.0,,,96-89,,Defensive rebound by B. Biyombo
10:55.0,Personal foul by S. Dinwiddie (drawn by D. Augustin),,96-89,,
10:40.0,,,96-89,,Turnover by J. Simmons (bad pass; steal by J. Allen)
10:35.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,98-89,,
10:23.0,,,98-91,2,D. Augustin makes 2-pt shot from 4 ft
10:13.0,,,98-91,,Personal foul by J. Simmons (drawn by C. LeVert)
10:04.0,C. LeVert makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,101-91,,
9:44.0,,,101-93,2,J. Simmons makes 2-pt shot from 2 ft (assist by E. Fournier)
9:31.0,J. Harris misses 3-pt shot from 24 ft,,101-93,,
9:28.0,,,101-93,,Defensive rebound by J. Simmons
9:23.0,Shooting block foul by J. Allen (drawn by J. Simmons),,101-93,,
9:23.0,,,101-94,1,J. Simmons makes free throw 1 of 2
9:23.0,,,101-95,1,J. Simmons makes free throw 2 of 2
9:04.0,C. LeVert misses 2-pt shot from 4 ft,,101-95,,
9:01.0,,,101-95,,Defensive rebound by B. Biyombo
8:55.0,,,101-97,2,D. Augustin makes 2-pt shot from 2 ft
8:54.0,Brooklyn full timeout,,101-97,,
8:42.0,T. Booker makes 2-pt shot from 9 ft,2,103-97,,
8:28.0,,,103-97,,E. Fournier misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by T. Booker,,103-97,,
8:03.0,J. Harris misses 3-pt shot from 25 ft,,103-97,,
