time,LA Clippers,pts.away,score,pts.home,Portland
2:22.0,,,18-21,,S. Napier enters the game for E. Turner
2:22.0,,,18-21,,E. Davis enters the game for C. McCollum
2:22.0,,,18-21,,Z. Collins enters the game for A. Aminu
2:22.0,,,18-21,,P. Connaughton enters the game for J. Nurkic
2:22.0,M. Harrell enters the game for D. Jordan,,18-21,,
2:22.0,W. Johnson enters the game for T. Wallace,,18-21,,
2:22.0,A. Rivers misses free throw 1 of 2,,18-21,,
2:22.0,Offensive rebound by Team,,18-21,,
2:22.0,A. Rivers makes free throw 2 of 2,1,19-21,,
1:59.0,,,19-21,,Turnover by S. Napier (bad pass; steal by A. Rivers)
1:51.0,A. Rivers misses 2-pt shot from 2 ft,,19-21,,
1:49.0,,,19-21,,Defensive rebound by S. Napier
1:37.0,Personal foul by W. Johnson (drawn by D. Lillard),,19-21,,
1:27.0,,,19-23,2,D. Lillard makes 2-pt shot from 2 ft
1:11.0,L. Williams misses 2-pt shot from 19 ft,,19-23,,
1:09.0,,,19-23,,Defensive rebound by E. Davis
1:02.0,,,19-23,,Turnover by Z. Collins (out of bounds lost ball)
1:02.0,D. Gallinari enters the game for T. Harris,,19-23,,
0:48.0,L. Williams makes 2-pt shot from 3 ft,2,21-23,,
0:32.0,Shooting block foul by M. Harrell (drawn by D. Lillard),,21-23,,
0:32.0,,,21-24,1,D. Lillard makes free throw 1 of 2
0:32.0,,,21-25,1,D. Lillard makes free throw 2 of 2
0:10.0,Shooting foul by Z. Collins (drawn by M. Harrell),,21-25,,
0:10.0,M. Harrell makes free throw 1 of 2,1,22-25,,
0:10.0,,,22-25,,C. McCollum enters the game for Z. Collins
0:10.0,C. Williams enters the game for L. Williams,,22-25,,
0:10.0,M. Harrell makes free throw 2 of 2,1,23-25,,
0:10.0,S. Thornwell enters the game for D. Gallinari,,23-25,,
0:03.0,Personal foul by A. Rivers (drawn by D. Lillard),,23-25,,
0:03.0,,,23-25,,D. Lillard misses free throw 1 of 2
0:03.0,,,23-25,,Offensive rebound by Team
0:03.0,L. Williams enters the game for C. Williams,,23-25,,
0:03.0,,,23-26,1,D. Lillard makes free throw 2 of 2
0:00.0,M. Harrell misses 2-pt shot from 21 ft,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,23-28,2,Z. Collins makes 2-pt shot from 1 ft
11:30.0,,,23-28,,Def 3 sec tech foul by E. Davis
11:30.0,D. Gallinari misses technical free throw,,23-28,,
11:30.0,Offensive rebound by Team,,23-28,,
11:22.0,L. Williams makes 2-pt shot from 9 ft,2,25-28,,
11:09.0,,,25-28,,C. McCollum misses 2-pt shot from 2 ft
11:07.0,Defensive rebound by T. Wallace,,25-28,,
10:56.0,M. Harrell misses 2-pt shot from 2 ft,,25-28,,
10:55.0,,,25-28,,Defensive rebound by E. Davis
10:48.0,,,25-28,,E. Davis misses 2-pt shot at rim
10:48.0,Defensive rebound by Team,,25-28,,
10:36.0,M. Harrell makes 2-pt shot from 1 ft (assist by C. Williams),2,27-28,,
10:18.0,,,27-28,,S. Napier misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by T. Wallace,,27-28,,
10:10.0,D. Gallinari makes 3-pt shot from 23 ft (assist by C. Williams),3,30-28,,
9:53.0,,,30-31,3,S. Napier makes 3-pt shot from 27 ft (assist by Z. Collins)
9:41.0,T. Wallace misses 2-pt shot from 4 ft,,30-31,,
9:39.0,,,30-31,,Defensive rebound by E. Davis
9:33.0,,,30-33,2,Z. Collins makes 2-pt shot at rim (assist by S. Napier)
9:11.0,Shooting foul by C. McCollum (drawn by D. Gallinari),,30-33,,
9:11.0,D. Gallinari misses free throw 1 of 2,,30-33,,
9:11.0,Offensive rebound by Team,,30-33,,
9:11.0,D. Gallinari makes free throw 2 of 2,1,31-33,,
8:53.0,,,31-33,,S. Napier misses 2-pt shot from 21 ft
8:50.0,,,31-33,,Offensive rebound by S. Napier
8:48.0,,,31-35,2,E. Davis makes 2-pt shot from 1 ft (assist by S. Napier)
8:36.0,L. Williams misses 2-pt shot at rim (block by E. Davis),,31-35,,
8:34.0,,,31-35,,Defensive rebound by S. Napier
8:30.0,,,31-35,,P. Connaughton misses 3-pt shot from 25 ft
8:27.0,,,31-35,,Offensive rebound by E. Davis
8:26.0,,,31-37,2,Z. Collins makes 2-pt shot at rim (assist by E. Davis)
8:26.0,LA Clippers full timeout,,31-37,,
8:26.0,S. Thornwell enters the game for C. Williams,,31-37,,
8:09.0,L. Williams misses 2-pt shot from 1 ft,,31-37,,
8:07.0,Offensive rebound by L. Williams,,31-37,,
8:04.0,S. Thornwell misses 2-pt shot from 5 ft,,31-37,,
8:01.0,,,31-37,,Defensive rebound by E. Davis
7:55.0,,,31-39,2,Z. Collins makes 2-pt shot from 1 ft (assist by C. McCollum)
7:41.0,S. Thornwell misses 2-pt shot from 2 ft (block by E. Davis),,31-39,,
7:40.0,,,31-39,,Defensive rebound by C. McCollum
7:34.0,,,31-41,2,E. Davis makes 2-pt shot at rim (assist by Z. Collins)
7:18.0,L. Williams makes 2-pt shot from 15 ft,2,33-41,,
6:52.0,,,33-43,2,Z. Collins makes 2-pt shot from 6 ft
6:44.0,T. Wallace misses 2-pt shot from 10 ft,,33-43,,
6:42.0,,,33-43,,Defensive rebound by E. Davis
6:29.0,,,33-43,,C. McCollum misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by S. Thornwell,,33-43,,
6:22.0,,,33-43,,Personal foul by P. Connaughton (drawn by D. Gallinari)
6:22.0,D. Jordan enters the game for M. Harrell,,33-43,,
6:22.0,T. Harris enters the game for T. Wallace,,33-43,,
6:22.0,A. Rivers enters the game for S. Thornwell,,33-43,,
6:22.0,,,33-43,,D. Lillard enters the game for C. McCollum
6:17.0,Shooting foul by S. Napier (drawn by L. Williams),,33-43,,
6:17.0,L. Williams makes free throw 1 of 2,1,34-43,,
6:17.0,,,34-43,,E. Turner enters the game for S. Napier
6:17.0,,,34-43,,J. Nurkic enters the game for E. Davis
6:17.0,L. Williams makes free throw 2 of 2,1,35-43,,
6:05.0,,,35-45,2,D. Lillard makes 2-pt shot from 3 ft (assist by E. Turner)
5:48.0,D. Jordan misses 2-pt shot from 1 ft,,35-45,,
5:48.0,,,35-45,,Defensive rebound by J. Nurkic
5:44.0,,,35-47,2,Z. Collins makes 2-pt shot from 2 ft (assist by E. Turner)
5:44.0,,,35-47,,Shooting foul by A. Rivers (drawn by Z. Collins)
5:44.0,,,35-48,1,Z. Collins makes free throw 1 of 1
5:33.0,L. Williams misses 3-pt shot from 24 ft,,35-48,,
5:31.0,,,35-48,,Defensive rebound by J. Nurkic
5:19.0,,,35-51,3,E. Turner makes 3-pt shot from 23 ft (assist by D. Lillard)
4:57.0,,,35-51,,Personal foul by D. Lillard (drawn by D. Gallinari)
4:50.0,T. Harris makes 2-pt shot from 16 ft,2,37-51,,
4:37.0,Personal foul by D. Gallinari (drawn by D. Lillard),,37-51,,
4:31.0,,,37-53,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
4:31.0,,,37-53,,Shooting foul by T. Harris (drawn by J. Nurkic)
4:31.0,,,37-54,1,J. Nurkic makes free throw 1 of 1
4:18.0,L. Williams makes 2-pt shot from 2 ft,2,39-54,,
4:04.0,,,39-54,,P. Connaughton misses 2-pt shot from 15 ft
4:02.0,Defensive rebound by D. Jordan,,39-54,,
3:54.0,T. Harris makes 2-pt shot from 8 ft,2,41-54,,
3:51.0,,,41-54,,Portland full timeout
3:34.0,,,41-54,,P. Connaughton misses 3-pt shot from 26 ft
3:29.0,,,41-54,,Offensive rebound by J. Nurkic
3:26.0,,,41-57,3,P. Connaughton makes 3-pt shot from 25 ft (assist by J. Nurkic)
3:11.0,,,41-57,,Shooting block foul by Z. Collins (drawn by D. Gallinari)
3:11.0,D. Gallinari makes free throw 1 of 2,1,42-57,,
3:11.0,,,42-57,,A. Aminu enters the game for Z. Collins
3:11.0,D. Gallinari makes free throw 2 of 2,1,43-57,,
2:58.0,,,43-59,2,J. Nurkic makes 2-pt shot at rim
2:43.0,,,43-59,,Personal foul by J. Nurkic (drawn by D. Jordan)
2:43.0,D. Jordan misses free throw 1 of 2,,43-59,,
2:43.0,Offensive rebound by Team,,43-59,,
2:43.0,,,43-59,,C. McCollum enters the game for P. Connaughton
2:43.0,D. Jordan misses free throw 2 of 2,,43-59,,
2:38.0,Offensive rebound by D. Jordan,,43-59,,
2:31.0,L. Williams misses 2-pt shot from 16 ft,,43-59,,
2:29.0,,,43-59,,Defensive rebound by D. Lillard
2:19.0,Personal foul by L. Williams (drawn by E. Turner),,43-59,,
2:19.0,T. Wallace enters the game for L. Williams,,43-59,,
2:12.0,,,43-59,,C. McCollum misses 2-pt shot from 14 ft
2:09.0,Defensive rebound by T. Harris,,43-59,,
1:52.0,A. Rivers misses 2-pt shot from 6 ft,,43-59,,
1:50.0,,,43-59,,Defensive rebound by D. Lillard
1:46.0,,,43-59,,Shooting foul by A. Rivers (drawn by D. Lillard)
1:46.0,,,43-60,1,D. Lillard makes free throw 1 of 2
1:46.0,,,43-61,1,D. Lillard makes free throw 2 of 2
1:30.0,T. Harris misses 2-pt shot from 6 ft,,43-61,,
1:27.0,Offensive rebound by D. Jordan,,43-61,,
1:27.0,D. Jordan makes 2-pt shot at rim,2,45-61,,
1:13.0,,,45-61,,A. Aminu misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by T. Wallace,,45-61,,
0:59.0,Turnover by D. Gallinari (bad pass; steal by J. Nurkic),,45-61,,
0:57.0,,,45-61,,Turnover by A. Aminu (bad pass)
0:40.0,A. Rivers misses 2-pt shot from 2 ft (block by J. Nurkic),,45-61,,
0:40.0,Offensive rebound by Team,,45-61,,
0:33.0,T. Harris misses 2-pt shot from 4 ft,,45-61,,
0:32.0,Offensive rebound by D. Jordan,,45-61,,
0:32.0,D. Jordan makes 2-pt shot at rim,2,47-61,,
0:29.0,,,47-64,3,D. Lillard makes 3-pt shot from 24 ft
0:06.0,T. Harris makes 2-pt shot from 1 ft,2,49-64,,
0:00.0,,,49-64,,D. Lillard misses 3-pt shot from 26 ft
0:00.0,,,49-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,49-64,,Turnover by C. McCollum (bad pass; steal by D. Gallinari)
11:26.0,Turnover by A. Rivers (bad pass; steal by E. Turner),,49-64,,
11:14.0,,,49-64,,C. McCollum misses 2-pt shot from 19 ft
11:10.0,,,49-64,,Offensive rebound by J. Nurkic
11:00.0,,,49-64,,A. Aminu misses 2-pt shot from 20 ft
10:58.0,Defensive rebound by D. Gallinari,,49-64,,
10:49.0,T. Harris misses 2-pt shot from 2 ft,,49-64,,
10:47.0,,,49-64,,Defensive rebound by J. Nurkic
10:31.0,,,49-64,,D. Lillard misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by D. Jordan,,49-64,,
10:25.0,A. Rivers misses 2-pt shot from 2 ft,,49-64,,
10:23.0,,,49-64,,Defensive rebound by J. Nurkic
10:16.0,,,49-64,,A. Aminu misses 3-pt shot from 25 ft
10:13.0,,,49-64,,Offensive rebound by J. Nurkic
10:09.0,,,49-64,,J. Nurkic misses 2-pt shot from 6 ft
10:06.0,Defensive rebound by D. Jordan,,49-64,,
10:00.0,Turnover by T. Wallace (lost ball; steal by A. Aminu),,49-64,,
9:53.0,,,49-64,,E. Turner misses 3-pt shot from 22 ft
9:53.0,,,49-64,,Offensive rebound by Team
9:53.0,Loose ball foul by D. Jordan (drawn by J. Nurkic),,49-64,,
9:44.0,,,49-64,,Shooting foul by D. Gallinari (drawn by E. Turner)
9:44.0,,,49-65,1,E. Turner makes free throw 1 of 2
9:44.0,,,49-66,1,E. Turner makes free throw 2 of 2
9:28.0,T. Wallace misses 3-pt shot from 25 ft,,49-66,,
9:27.0,,,49-66,,Defensive rebound by Team
9:14.0,,,49-68,2,C. McCollum makes 2-pt shot from 14 ft (assist by D. Lillard)
8:53.0,D. Gallinari makes 2-pt shot from 21 ft (assist by A. Rivers),2,51-68,,
8:37.0,,,51-71,3,D. Lillard makes 3-pt shot from 31 ft (assist by J. Nurkic)
8:21.0,,,51-71,,Personal foul by A. Aminu (drawn by D. Gallinari)
8:21.0,L. Williams enters the game for A. Rivers,,51-71,,
8:21.0,S. Thornwell enters the game for T. Wallace,,51-71,,
8:13.0,,,51-71,,Personal foul by C. McCollum (drawn by T. Harris)
8:03.0,L. Williams misses 2-pt shot from 10 ft,,51-71,,
7:59.0,,,51-71,,Defensive rebound by A. Aminu
7:50.0,,,51-73,2,A. Aminu makes 2-pt shot from 1 ft (assist by J. Nurkic)
7:50.0,,,51-73,,Shooting foul by D. Jordan (drawn by A. Aminu)
7:50.0,,,51-74,1,A. Aminu makes free throw 1 of 1
7:36.0,Turnover by D. Gallinari (bad pass; steal by E. Turner),,51-74,,
7:33.0,,,51-74,,E. Turner misses 2-pt shot from 2 ft
7:32.0,,,51-74,,Offensive rebound by A. Aminu
7:32.0,,,51-74,,A. Aminu misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by D. Jordan,,51-74,,
7:23.0,D. Gallinari makes 3-pt shot from 25 ft (assist by L. Williams),3,54-74,,
7:08.0,,,54-74,,C. McCollum misses 2-pt shot from 7 ft
7:06.0,Defensive rebound by D. Gallinari,,54-74,,
6:59.0,D. Jordan misses 2-pt shot at rim,,54-74,,
6:57.0,,,54-74,,Defensive rebound by J. Nurkic
6:46.0,,,54-77,3,E. Turner makes 3-pt shot from 24 ft (assist by A. Aminu)
6:33.0,,,54-77,,Personal foul by J. Nurkic (drawn by L. Williams)
6:33.0,,,54-77,,Portland full timeout
6:33.0,M. Harrell enters the game for D. Gallinari,,54-77,,
6:24.0,S. Thornwell misses 2-pt shot from 1 ft (block by J. Nurkic),,54-77,,
6:23.0,,,54-77,,Defensive rebound by D. Lillard
6:14.0,,,54-77,,C. McCollum misses 2-pt shot from 13 ft
6:12.0,,,54-77,,Offensive rebound by J. Nurkic
6:11.0,,,54-77,,J. Nurkic misses 2-pt shot from 4 ft
6:11.0,Defensive rebound by Team,,54-77,,
6:11.0,,,54-77,,Loose ball foul by J. Nurkic (drawn by D. Jordan)
6:11.0,,,54-77,,E. Davis enters the game for J. Nurkic
6:00.0,Shooting foul by E. Davis (drawn by D. Jordan),,54-77,,
6:00.0,D. Jordan misses free throw 1 of 2,,54-77,,
6:00.0,Offensive rebound by Team,,54-77,,
6:00.0,D. Jordan makes free throw 2 of 2,1,55-77,,
5:47.0,,,55-77,,D. Lillard misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by M. Harrell,,55-77,,
5:39.0,L. Williams misses 2-pt shot from 1 ft (block by C. McCollum),,55-77,,
5:38.0,Offensive rebound by Team,,55-77,,
5:32.0,S. Thornwell misses 2-pt shot from 6 ft,,55-77,,
5:32.0,Offensive rebound by Team,,55-77,,
5:32.0,,,55-77,,Loose ball foul by E. Davis (drawn by D. Jordan)
5:32.0,D. Jordan misses free throw 1 of 2,,55-77,,
5:32.0,Offensive rebound by Team,,55-77,,
5:32.0,A. Rivers enters the game for S. Thornwell,,55-77,,
5:32.0,D. Jordan makes free throw 2 of 2,1,56-77,,
5:17.0,,,56-77,,E. Turner misses 3-pt shot from 22 ft
5:12.0,Defensive rebound by L. Williams,,56-77,,
4:53.0,M. Harrell makes 2-pt shot from 6 ft,2,58-77,,
4:35.0,,,58-79,2,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard)
4:11.0,Shooting foul by D. Lillard (drawn by T. Harris),,58-79,,
4:11.0,T. Harris misses free throw 1 of 2,,58-79,,
4:11.0,Offensive rebound by Team,,58-79,,
4:11.0,,,58-79,,P. Connaughton enters the game for C. McCollum
4:11.0,,,58-79,,Z. Collins enters the game for A. Aminu
4:11.0,T. Wallace enters the game for D. Jordan,,58-79,,
4:11.0,T. Harris misses free throw 2 of 2,,58-79,,
4:09.0,,,58-79,,Defensive rebound by Z. Collins
3:56.0,,,58-79,,Turnover by D. Lillard (bad pass)
3:45.0,L. Williams misses 2-pt shot from 2 ft,,58-79,,
3:43.0,,,58-79,,Defensive rebound by E. Davis
3:36.0,,,58-81,2,E. Turner makes 2-pt shot at rim (assist by D. Lillard)
3:16.0,T. Harris makes 2-pt shot from 2 ft,2,60-81,,
3:16.0,Shooting foul by E. Davis (drawn by T. Harris),,60-81,,
3:16.0,,,60-81,,S. Napier enters the game for E. Turner
3:16.0,T. Harris misses free throw 1 of 1,,60-81,,
3:16.0,,,60-81,,Defensive rebound by E. Davis
3:04.0,,,60-81,,P. Connaughton misses 2-pt shot from 1 ft (block by L. Williams)
3:02.0,Defensive rebound by A. Rivers,,60-81,,
2:56.0,M. Harrell makes 2-pt shot from 1 ft (assist by A. Rivers),2,62-81,,
2:42.0,,,62-81,,D. Lillard misses 2-pt shot from 4 ft
2:39.0,Defensive rebound by A. Rivers,,62-81,,
2:30.0,T. Wallace misses 2-pt shot from 5 ft,,62-81,,
2:28.0,,,62-81,,Defensive rebound by P. Connaughton
2:09.0,,,62-81,,D. Lillard misses 2-pt shot from 2 ft
2:06.0,Defensive rebound by T. Harris,,62-81,,
2:02.0,T. Harris misses 2-pt shot from 3 ft,,62-81,,
2:02.0,,,62-81,,Defensive rebound by Team
2:02.0,LA Clippers full timeout,,62-81,,
2:02.0,,,62-81,,C. Swanigan enters the game for E. Davis
1:53.0,,,62-81,,P. Connaughton misses 2-pt shot from 17 ft (block by M. Harrell)
1:50.0,Defensive rebound by T. Wallace,,62-81,,
1:46.0,T. Wallace makes 2-pt shot at rim,2,64-81,,
1:19.0,,,64-83,2,Z. Collins makes 2-pt shot at rim (assist by C. Swanigan)
1:06.0,L. Williams misses 2-pt shot from 19 ft,,64-83,,
1:03.0,,,64-83,,Defensive rebound by Z. Collins
0:58.0,,,64-83,,Shooting foul by T. Harris (drawn by S. Napier)
0:58.0,,,64-84,1,S. Napier makes free throw 1 of 2
0:58.0,,,64-85,1,S. Napier makes free throw 2 of 2
0:47.0,L. Williams misses 3-pt shot from 24 ft,,64-85,,
0:44.0,Offensive rebound by A. Rivers,,64-85,,
0:39.0,A. Rivers makes 2-pt shot from 1 ft,2,66-85,,
0:39.0,Shooting foul by C. Swanigan (drawn by A. Rivers),,66-85,,
0:39.0,A. Rivers misses free throw 1 of 1,,66-85,,
0:39.0,,,66-85,,Defensive rebound by C. Swanigan
0:29.0,,,66-87,2,C. Swanigan makes 2-pt shot from 4 ft (assist by Z. Collins)
0:11.0,T. Harris misses 2-pt shot from 15 ft,,66-87,,
0:08.0,,,66-87,,Defensive rebound by D. Lillard
0:00.0,,,66-87,,Z. Collins misses 3-pt shot from 24 ft
0:00.0,,,66-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,Shooting foul by Z. Collins (drawn by M. Harrell),,66-87,,
11:53.0,M. Harrell makes free throw 1 of 2,1,67-87,,
11:53.0,M. Harrell misses free throw 2 of 2,,67-87,,
11:51.0,,,67-87,,Defensive rebound by P. Connaughton
11:28.0,,,67-87,,Z. Collins misses 2-pt shot from 12 ft
11:25.0,Defensive rebound by M. Harrell,,67-87,,
11:21.0,Turnover by A. Rivers (bad pass),,67-87,,
11:07.0,,,67-89,2,C. McCollum makes 2-pt shot from 19 ft
10:52.0,Turnover by M. Harrell (bad pass; steal by P. Connaughton),,67-89,,
10:40.0,,,67-89,,C. Swanigan misses 2-pt shot from 4 ft
10:38.0,Defensive rebound by B. Marjanovic,,67-89,,
10:30.0,Shooting foul by C. McCollum (drawn by B. Marjanovic),,67-89,,
10:30.0,B. Marjanovic makes free throw 1 of 2,1,68-89,,
10:30.0,B. Marjanovic makes free throw 2 of 2,1,69-89,,
10:11.0,,,69-91,2,S. Napier makes 2-pt shot from 1 ft (assist by Z. Collins)
10:11.0,,,69-91,,Shooting foul by B. Marjanovic (drawn by S. Napier)
10:11.0,,,69-92,1,S. Napier makes free throw 1 of 1
9:59.0,T. Wallace misses 2-pt shot from 2 ft (block by Z. Collins),,69-92,,
9:59.0,Offensive rebound by Team,,69-92,,
9:59.0,T. Harris enters the game for A. Rivers,,69-92,,
9:55.0,B. Marjanovic misses 2-pt shot from 1 ft,,69-92,,
9:55.0,Offensive rebound by B. Marjanovic,,69-92,,
9:55.0,B. Marjanovic makes 2-pt shot from 1 ft,2,71-92,,
9:55.0,Shooting foul by C. Swanigan (drawn by B. Marjanovic),,71-92,,
9:55.0,B. Marjanovic misses free throw 1 of 1,,71-92,,
9:55.0,,,71-92,,Defensive rebound by C. Swanigan
9:40.0,,,71-92,,Z. Collins misses 2-pt shot at rim
9:38.0,Defensive rebound by B. Marjanovic,,71-92,,
9:32.0,L. Williams makes 2-pt shot from 3 ft,2,73-92,,
9:32.0,Shooting foul by S. Napier (drawn by L. Williams),,73-92,,
9:32.0,L. Williams makes free throw 1 of 1,1,74-92,,
9:12.0,,,74-92,,C. Swanigan misses 3-pt shot from 26 ft
9:11.0,Defensive rebound by M. Harrell,,74-92,,
9:08.0,L. Williams makes 2-pt shot from 1 ft,2,76-92,,
9:08.0,,,76-92,,Portland full timeout
9:08.0,,,76-92,,J. Nurkic enters the game for S. Napier
9:08.0,,,76-92,,E. Turner enters the game for C. Swanigan
9:08.0,,,76-92,,D. Lillard enters the game for P. Connaughton
8:57.0,,,76-92,,D. Lillard misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by B. Marjanovic,,76-92,,
8:46.0,T. Harris makes 2-pt shot from 14 ft,2,78-92,,
8:24.0,,,78-92,,E. Turner misses 2-pt shot from 15 ft
8:22.0,Defensive rebound by B. Marjanovic,,78-92,,
8:15.0,L. Williams makes 2-pt shot from 16 ft,2,80-92,,
7:58.0,,,80-94,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
7:44.0,B. Marjanovic misses 2-pt shot from 3 ft,,80-94,,
7:41.0,,,80-94,,Defensive rebound by J. Nurkic
7:30.0,,,80-94,,A. Aminu enters the game for Z. Collins
7:22.0,,,80-96,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
7:09.0,L. Williams misses 2-pt shot at rim,,80-96,,
7:06.0,,,80-96,,Defensive rebound by A. Aminu
6:56.0,,,80-96,,D. Lillard misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by B. Marjanovic,,80-96,,
