time,New Orleans,pts.away,score,pts.home,Orlando
2:18.0,,,25-15,,W. Iwundu enters the game for D. Augustin
2:18.0,,,25-16,1,N. Vucevic makes free throw 1 of 2
2:18.0,,,25-16,,N. Vucevic misses free throw 2 of 2
2:18.0,Defensive rebound by J. Nelson,,25-16,,
2:05.0,A. Davis makes 2-pt shot from 1 ft (assist by D. Miller),2,27-16,,
1:43.0,,,27-18,2,N. Vucevic makes 2-pt shot from 1 ft (assist by M. Hezonja)
1:25.0,D. Miller makes 3-pt shot from 25 ft,3,30-18,,
1:07.0,,,30-18,,N. Vucevic misses 2-pt shot from 22 ft
1:04.0,Defensive rebound by D. Cunningham,,30-18,,
0:56.0,D. Cunningham misses 3-pt shot from 25 ft,,30-18,,
0:51.0,,,30-18,,Defensive rebound by W. Iwundu
0:47.0,,,30-18,,M. Hezonja misses 3-pt shot from 26 ft
0:43.0,Defensive rebound by D. Cunningham,,30-18,,
0:37.0,J. Holiday misses 3-pt shot from 24 ft,,30-18,,
0:34.0,,,30-18,,Defensive rebound by S. Mack
0:26.0,,,30-18,,Shooting foul by D. Miller (drawn by N. Vucevic)
0:26.0,,,30-19,1,N. Vucevic makes free throw 1 of 2
0:26.0,I. Clark enters the game for J. Holiday,,30-19,,
0:26.0,D. Cousins enters the game for D. Cunningham,,30-19,,
0:26.0,,,30-19,,B. Biyombo enters the game for M. Hezonja
0:26.0,,,30-20,1,N. Vucevic makes free throw 2 of 2
0:05.0,D. Cousins misses 3-pt shot from 25 ft,,30-20,,
0:02.0,Offensive rebound by A. Davis,,30-20,,
0:02.0,A. Davis makes 2-pt shot at rim,2,32-20,,
0:02.0,Technical foul by Team,,32-20,,
0:02.0,A. Davis misses technical free throw,,32-20,,
0:02.0,,,32-20,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,32-20,,S. Mack misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by D. Miller,,32-20,,
11:26.0,D. Cunningham misses 2-pt shot from 3 ft (block by B. Biyombo),,32-20,,
11:24.0,Offensive rebound by D. Cunningham,,32-20,,
11:24.0,D. Cunningham misses 2-pt shot from 2 ft,,32-20,,
11:24.0,Offensive rebound by D. Cousins,,32-20,,
11:24.0,D. Cousins makes 2-pt shot at rim,2,34-20,,
11:24.0,,,34-20,,Violation by B. Biyombo (def goaltending)
11:08.0,,,34-20,,A. Afflalo misses 2-pt shot from 22 ft
11:04.0,Defensive rebound by D. Cousins,,34-20,,
10:49.0,I. Clark misses 3-pt shot from 25 ft,,34-20,,
10:46.0,,,34-20,,Defensive rebound by B. Biyombo
10:38.0,,,34-20,,S. Mack misses 2-pt shot from 5 ft
10:37.0,Defensive rebound by D. Cousins,,34-20,,
10:29.0,D. Cunningham makes 2-pt shot from 16 ft (assist by I. Clark),2,36-20,,
10:07.0,,,36-20,,A. Afflalo misses 2-pt shot from 3 ft
10:05.0,Defensive rebound by D. Cousins,,36-20,,
9:57.0,D. Cousins makes 2-pt shot from 2 ft,2,38-20,,
9:49.0,,,38-20,,Shooting foul by J. Nelson (drawn by S. Mack)
9:49.0,,,38-20,,S. Mack misses free throw 1 of 2
9:49.0,,,38-20,,Offensive rebound by Team
9:49.0,,,38-20,,J. Simmons enters the game for A. Afflalo
9:49.0,,,38-21,1,S. Mack makes free throw 2 of 2
9:36.0,Turnover by J. Nelson (bad pass; steal by M. Hezonja),,38-21,,
9:32.0,,,38-23,2,M. Hezonja makes 2-pt shot from 1 ft
9:18.0,Shooting foul by B. Biyombo (drawn by D. Cousins),,38-23,,
9:18.0,D. Cousins misses free throw 1 of 2,,38-23,,
9:18.0,Offensive rebound by Team,,38-23,,
9:18.0,D. Cousins makes free throw 2 of 2,1,39-23,,
9:02.0,,,39-23,,M. Hezonja misses 2-pt shot from 9 ft
8:58.0,Defensive rebound by J. Nelson,,39-23,,
8:55.0,Shooting foul by B. Biyombo (drawn by I. Clark),,39-23,,
8:55.0,I. Clark misses free throw 1 of 2,,39-23,,
8:55.0,Offensive rebound by Team,,39-23,,
8:55.0,I. Clark makes free throw 2 of 2,1,40-23,,
8:55.0,,,40-23,,Technical foul by B. Biyombo
8:55.0,I. Clark makes technical free throw,1,41-23,,
8:42.0,,,41-23,,Turnover by S. Mack (bad pass; steal by D. Cousins)
8:33.0,Turnover by J. Nelson (traveling),,41-23,,
8:21.0,,,41-25,2,J. Simmons makes 2-pt shot from 17 ft
7:58.0,J. Nelson misses 2-pt shot from 9 ft,,41-25,,
7:57.0,,,41-25,,Defensive rebound by J. Simmons
7:49.0,,,41-27,2,J. Simmons makes 2-pt shot from 2 ft
7:25.0,D. Cousins misses 2-pt shot from 3 ft (block by B. Biyombo),,41-27,,
7:25.0,,,41-27,,Defensive rebound by J. Simmons
7:21.0,,,41-27,,Shooting foul by I. Clark (drawn by W. Iwundu)
7:21.0,,,41-28,1,W. Iwundu makes free throw 1 of 2
7:21.0,,,41-28,,M. Speights enters the game for M. Hezonja
7:21.0,R. Rondo enters the game for I. Clark,,41-28,,
7:21.0,A. Davis enters the game for J. Nelson,,41-28,,
7:21.0,E. Moore enters the game for D. Cunningham,,41-28,,
7:21.0,,,41-28,,W. Iwundu misses free throw 2 of 2
7:18.0,Defensive rebound by D. Cousins,,41-28,,
7:07.0,E. Moore makes 3-pt shot from 25 ft (assist by D. Miller),3,44-28,,
6:58.0,,,44-28,,Orlando full timeout
6:58.0,,,44-28,,E. Payton enters the game for S. Mack
6:58.0,,,44-28,,D. Augustin enters the game for W. Iwundu
6:48.0,,,44-28,,M. Speights misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by Team,,44-28,,
6:39.0,Offensive charge foul by D. Cousins (drawn by M. Speights),,44-28,,
6:39.0,Turnover by D. Cousins (offensive foul),,44-28,,
6:24.0,,,44-28,,Shooting foul by A. Davis (drawn by M. Speights)
6:24.0,,,44-28,,Technical foul by M. Speights
6:24.0,E. Moore misses technical free throw,,44-28,,
6:24.0,,,44-28,,Defensive rebound by Team
6:24.0,,,44-28,,M. Speights misses free throw 2 of 2
6:24.0,Defensive rebound by D. Cousins,,44-28,,
6:24.0,,,44-29,1,M. Speights makes free throw 1 of 2
6:24.0,J. Holiday enters the game for D. Miller,,44-29,,
6:07.0,Turnover by R. Rondo (bad pass),,44-29,,
6:07.0,Personal foul by E. Moore (drawn by E. Payton),,44-29,,
6:07.0,D. Miller enters the game for E. Moore,,44-29,,
5:57.0,,,44-31,2,J. Simmons makes 2-pt shot from 19 ft (assist by B. Biyombo)
5:41.0,D. Miller misses 3-pt shot from 25 ft,,44-31,,
5:39.0,,,44-31,,Defensive rebound by M. Speights
5:33.0,,,44-33,2,E. Payton makes 2-pt shot from 2 ft (assist by J. Simmons)
5:24.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,46-33,,
5:16.0,,,46-36,3,M. Speights makes 3-pt shot from 25 ft (assist by E. Payton)
5:01.0,R. Rondo makes 2-pt shot from 2 ft,2,48-36,,
5:00.0,,,48-36,,Orlando full timeout
4:36.0,,,48-36,,Turnover by D. Augustin (bad pass; steal by J. Holiday)
4:31.0,J. Holiday misses 3-pt shot from 25 ft,,48-36,,
4:31.0,,,48-36,,Defensive rebound by Team
4:20.0,,,48-38,2,E. Payton makes 2-pt shot from 15 ft
3:55.0,A. Davis misses 3-pt shot from 25 ft,,48-38,,
3:51.0,,,48-38,,Defensive rebound by D. Augustin
3:31.0,,,48-40,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton)
3:16.0,D. Cousins makes 2-pt shot from 7 ft,2,50-40,,
3:02.0,,,50-42,2,E. Payton makes 2-pt shot from 14 ft
3:02.0,,,50-42,,Shooting foul by A. Davis (drawn by E. Payton)
3:02.0,,,50-42,,N. Vucevic enters the game for B. Biyombo
3:02.0,,,50-43,1,E. Payton makes free throw 1 of 1
2:45.0,D. Miller misses 3-pt shot from 26 ft,,50-43,,
2:40.0,,,50-43,,Defensive rebound by J. Simmons
2:30.0,,,50-43,,N. Vucevic misses 2-pt shot from 10 ft
2:27.0,Defensive rebound by D. Cousins,,50-43,,
2:22.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,52-43,,
2:16.0,,,52-45,2,E. Payton makes 2-pt shot from 8 ft
2:16.0,,,52-45,,Shooting foul by R. Rondo (drawn by E. Payton)
2:16.0,,,52-46,1,E. Payton makes free throw 1 of 1
1:59.0,,,52-46,,Personal foul by M. Speights (drawn by D. Cousins)
1:59.0,,,52-46,,A. Payne enters the game for M. Speights
1:57.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,54-46,,
1:57.0,Technical foul by A. Davis,,54-46,,
1:57.0,,,54-46,,D. Augustin misses technical free throw
1:57.0,,,54-46,,Offensive rebound by Team
1:57.0,D. Cunningham enters the game for A. Davis,,54-46,,
1:44.0,,,54-48,2,N. Vucevic makes 2-pt shot from 12 ft (assist by E. Payton)
1:27.0,Offensive charge foul by D. Cousins (drawn by N. Vucevic),,54-48,,
1:27.0,Turnover by D. Cousins (offensive foul),,54-48,,
1:27.0,A. Davis enters the game for D. Cousins,,54-48,,
1:16.0,,,54-48,,Turnover by E. Payton (bad pass; steal by J. Holiday)
1:12.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,56-48,,
1:12.0,,,56-48,,Technical foul by E. Payton
1:12.0,J. Holiday misses technical free throw,,56-48,,
1:12.0,,,56-48,,Defensive rebound by Team
0:54.0,,,56-48,,J. Simmons misses 2-pt shot from 9 ft
0:51.0,Defensive rebound by A. Davis,,56-48,,
0:44.0,J. Holiday makes 2-pt shot from 2 ft (assist by R. Rondo),2,58-48,,
0:36.0,Personal foul by J. Holiday (drawn by N. Vucevic),,58-48,,
0:36.0,,,58-49,1,N. Vucevic makes free throw 1 of 2
0:36.0,,,58-49,,A. Afflalo enters the game for J. Simmons
0:36.0,,,58-50,1,N. Vucevic makes free throw 2 of 2
0:30.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,60-50,,
0:08.0,,,60-50,,N. Vucevic misses 2-pt shot from 9 ft
0:05.0,Defensive rebound by A. Davis,,60-50,,
0:00.0,Turnover by J. Holiday (lost ball; steal by A. Afflalo),,60-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,60-50,,M. Speights misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by R. Rondo,,60-50,,
11:20.0,D. Cousins misses 2-pt shot from 14 ft,,60-50,,
11:18.0,,,60-50,,Defensive rebound by N. Vucevic
11:12.0,,,60-50,,E. Payton misses 2-pt shot from 9 ft
11:05.0,,,60-50,,Offensive rebound by N. Vucevic
11:05.0,,,60-52,2,N. Vucevic makes 2-pt shot at rim
10:56.0,D. Cousins makes 2-pt shot at rim (assist by J. Holiday),2,62-52,,
10:56.0,Shooting foul by M. Speights (drawn by D. Cousins),,62-52,,
10:56.0,D. Cousins makes free throw 1 of 1,1,63-52,,
10:38.0,,,63-52,,M. Speights misses 2-pt shot from 5 ft
10:37.0,,,63-52,,Offensive rebound by N. Vucevic
10:37.0,,,63-52,,Shooting foul by D. Cousins (drawn by N. Vucevic)
10:37.0,,,63-53,1,N. Vucevic makes free throw 1 of 2
10:37.0,,,63-54,1,N. Vucevic makes free throw 2 of 2
10:19.0,A. Davis misses 2-pt shot from 18 ft,,63-54,,
10:16.0,,,63-54,,Defensive rebound by E. Payton
10:11.0,,,63-56,2,J. Simmons makes 2-pt shot from 2 ft (assist by E. Payton)
9:58.0,,,63-56,,Personal foul by J. Simmons (drawn by J. Holiday)
9:54.0,Turnover by J. Holiday (traveling),,63-56,,
9:42.0,,,63-56,,N. Vucevic misses 2-pt shot from 7 ft
9:39.0,,,63-56,,Offensive rebound by E. Payton
9:37.0,,,63-56,,Turnover by E. Payton (lost ball; steal by J. Holiday)
9:33.0,E. Moore misses 3-pt shot from 22 ft,,63-56,,
9:27.0,Offensive rebound by E. Moore,,63-56,,
9:23.0,J. Holiday makes 3-pt shot from 26 ft (assist by D. Cousins),3,66-56,,
9:07.0,,,66-56,,E. Payton misses 2-pt shot from 6 ft
9:03.0,,,66-56,,Offensive rebound by N. Vucevic
9:01.0,,,66-56,,Turnover by N. Vucevic (bad pass; steal by E. Moore)
8:59.0,,,66-56,,Violation by J. Simmons (kicked ball)
8:43.0,J. Holiday misses 2-pt shot from 4 ft,,66-56,,
8:40.0,Offensive rebound by A. Davis,,66-56,,
8:33.0,D. Cousins makes 2-pt shot from 21 ft,2,68-56,,
8:16.0,,,68-59,3,M. Speights makes 3-pt shot from 25 ft (assist by J. Simmons)
7:57.0,R. Rondo makes 2-pt shot from 2 ft,2,70-59,,
7:50.0,,,70-61,2,J. Simmons makes 2-pt shot from 7 ft (assist by E. Payton)
7:42.0,J. Holiday makes 2-pt shot from 2 ft,2,72-61,,
7:28.0,,,72-61,,M. Speights misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by Team,,72-61,,
7:11.0,D. Cousins misses 3-pt shot from 22 ft,,72-61,,
7:08.0,,,72-61,,Defensive rebound by J. Simmons
6:54.0,,,72-61,,J. Simmons misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by A. Davis,,72-61,,
6:44.0,D. Cousins misses 3-pt shot from 26 ft,,72-61,,
6:42.0,,,72-61,,Defensive rebound by Team
6:42.0,,,72-61,,Orlando full timeout
6:42.0,,,72-61,,B. Biyombo enters the game for M. Speights
6:28.0,,,72-61,,D. Augustin misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by J. Holiday,,72-61,,
6:03.0,R. Rondo misses 3-pt shot from 24 ft,,72-61,,
5:59.0,,,72-61,,Defensive rebound by D. Augustin
5:50.0,,,72-61,,N. Vucevic misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by A. Davis,,72-61,,
5:42.0,Turnover by R. Rondo (bad pass; steal by N. Vucevic),,72-61,,
5:37.0,,,72-61,,N. Vucevic misses 2-pt shot from 8 ft (block by J. Holiday)
5:32.0,Defensive rebound by D. Cousins,,72-61,,
5:25.0,A. Davis misses 2-pt shot from 9 ft,,72-61,,
5:22.0,,,72-61,,Defensive rebound by E. Payton
5:15.0,,,72-61,,E. Payton misses 2-pt shot from 10 ft
5:07.0,,,72-61,,Offensive rebound by B. Biyombo
5:07.0,,,72-61,,B. Biyombo misses 2-pt shot at rim
5:06.0,Defensive rebound by D. Cousins,,72-61,,
5:05.0,New Orleans full timeout,,72-61,,
4:55.0,,,72-61,,Personal foul by B. Biyombo (drawn by D. Cousins)
4:45.0,D. Cousins makes 2-pt shot from 1 ft,2,74-61,,
4:27.0,,,74-61,,N. Vucevic misses 3-pt shot from 25 ft
4:27.0,,,74-61,,Offensive rebound by E. Payton
4:19.0,,,74-64,3,J. Simmons makes 3-pt shot from 24 ft (assist by E. Payton)
4:09.0,Turnover by D. Cousins (traveling),,74-64,,
4:09.0,D. Cunningham enters the game for D. Cousins,,74-64,,
4:09.0,D. Miller enters the game for R. Rondo,,74-64,,
3:46.0,,,74-66,2,N. Vucevic makes 2-pt shot from 12 ft
3:31.0,J. Holiday makes 2-pt shot from 8 ft,2,76-66,,
3:19.0,Personal foul by D. Miller (drawn by N. Vucevic),,76-66,,
3:19.0,,,76-66,,M. Hezonja enters the game for N. Vucevic
3:19.0,,,76-66,,A. Afflalo enters the game for D. Augustin
3:05.0,,,76-66,,J. Simmons misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by A. Davis,,76-66,,
2:54.0,J. Holiday makes 2-pt shot from 1 ft,2,78-66,,
2:54.0,Shooting foul by M. Hezonja (drawn by J. Holiday),,78-66,,
2:54.0,J. Holiday makes free throw 1 of 1,1,79-66,,
2:42.0,,,79-66,,M. Hezonja misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by D. Miller,,79-66,,
2:34.0,E. Moore misses 3-pt shot from 22 ft,,79-66,,
2:27.0,Offensive rebound by D. Cunningham,,79-66,,
2:27.0,D. Cunningham misses 2-pt shot at rim,,79-66,,
2:26.0,,,79-66,,Defensive rebound by J. Simmons
2:24.0,,,79-68,2,J. Simmons makes 2-pt shot from 6 ft
2:14.0,J. Holiday misses 3-pt shot from 25 ft,,79-68,,
2:11.0,,,79-68,,Defensive rebound by B. Biyombo
2:02.0,,,79-68,,Turnover by B. Biyombo (lost ball; steal by E. Moore)
1:57.0,J. Holiday makes 2-pt shot from 1 ft (assist by E. Moore),2,81-68,,
1:42.0,,,81-70,2,E. Payton makes 2-pt shot from 10 ft
1:35.0,,,81-70,,Personal foul by J. Simmons (drawn by E. Moore)
1:35.0,E. Moore misses free throw 1 of 2,,81-70,,
1:35.0,Offensive rebound by Team,,81-70,,
1:35.0,,,81-70,,S. Mack enters the game for J. Simmons
1:35.0,E. Moore misses free throw 2 of 2,,81-70,,
1:32.0,,,81-70,,Defensive rebound by B. Biyombo
1:24.0,,,81-70,,B. Biyombo misses 2-pt shot from 13 ft
1:21.0,Defensive rebound by A. Davis,,81-70,,
1:17.0,New Orleans full timeout,,81-70,,
1:17.0,I. Clark enters the game for E. Moore,,81-70,,
1:06.0,D. Cunningham makes 3-pt shot from 22 ft (assist by J. Holiday),3,84-70,,
0:49.0,,,84-70,,Shooting foul by D. Miller (drawn by A. Afflalo)
0:49.0,,,84-71,1,A. Afflalo makes free throw 1 of 2
0:49.0,,,84-72,1,A. Afflalo makes free throw 2 of 2
0:40.0,J. Holiday makes 2-pt shot from 21 ft,2,86-72,,
0:32.0,,,86-72,,Shooting foul by A. Davis (drawn by E. Payton)
0:32.0,,,86-72,,E. Payton misses free throw 1 of 2
0:32.0,,,86-72,,Offensive rebound by Team
0:32.0,,,86-72,,E. Payton misses free throw 2 of 2
0:30.0,Defensive rebound by D. Cunningham,,86-72,,
0:13.0,A. Davis makes 2-pt shot from 13 ft,2,88-72,,
0:00.0,,,88-72,,E. Payton misses 2-pt shot from 16 ft
0:00.0,,,88-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by D. Cousins (bad pass; steal by N. Vucevic),,88-72,,
11:43.0,,,88-72,,N. Vucevic misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by Team,,88-72,,
11:42.0,,,88-72,,Loose ball foul by A. Payne (drawn by D. Cunningham)
11:25.0,I. Clark makes 2-pt shot from 13 ft,2,90-72,,
11:09.0,,,90-72,,J. Simmons misses 2-pt shot from 2 ft
11:03.0,,,90-72,,Offensive rebound by N. Vucevic
11:03.0,,,90-74,2,N. Vucevic makes 2-pt shot at rim
10:48.0,J. Nelson makes 3-pt shot from 26 ft (assist by D. Cousins),3,93-74,,
10:30.0,,,93-74,,Shooting foul by I. Clark (drawn by D. Augustin)
10:30.0,,,93-75,1,D. Augustin makes free throw 1 of 2
10:30.0,,,93-76,1,D. Augustin makes free throw 2 of 2
10:12.0,D. Miller makes 3-pt shot from 22 ft (assist by D. Cousins),3,96-76,,
9:51.0,,,96-78,2,N. Vucevic makes 2-pt shot from 6 ft
9:40.0,Shooting foul by N. Vucevic (drawn by D. Cousins),,96-78,,
9:40.0,D. Cousins makes free throw 1 of 2,1,97-78,,
9:40.0,D. Cousins makes free throw 2 of 2,1,98-78,,
9:28.0,,,98-78,,N. Vucevic misses 2-pt shot from 22 ft
9:25.0,Defensive rebound by I. Clark,,98-78,,
9:10.0,D. Cousins misses 2-pt shot from 20 ft,,98-78,,
9:08.0,,,98-78,,Defensive rebound by J. Simmons
9:03.0,,,98-78,,J. Simmons misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by J. Nelson,,98-78,,
8:53.0,I. Clark makes 2-pt shot from 2 ft (assist by J. Nelson),2,100-78,,
8:53.0,,,100-78,,Orlando full timeout
8:41.0,,,100-78,,Turnover by N. Vucevic (traveling)
8:24.0,D. Cousins makes 2-pt shot from 13 ft,2,102-78,,
8:11.0,,,102-78,,A. Payne misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by J. Nelson,,102-78,,
7:48.0,D. Miller makes 3-pt shot from 25 ft (assist by D. Cousins),3,105-78,,
7:47.0,,,105-78,,Orlando full timeout
7:47.0,,,105-78,,W. Iwundu enters the game for N. Vucevic
7:47.0,,,105-78,,S. Mack enters the game for D. Augustin
7:47.0,,,105-78,,M. Hezonja enters the game for J. Simmons
7:34.0,,,105-78,,J. Artis misses 2-pt shot from 8 ft
7:33.0,Defensive rebound by Team,,105-78,,
7:33.0,,,105-78,,Loose ball foul by A. Payne (drawn by D. Cunningham)
7:22.0,D. Miller misses 3-pt shot from 25 ft,,105-78,,
7:19.0,,,105-78,,Defensive rebound by W. Iwundu
7:13.0,,,105-80,2,W. Iwundu makes 2-pt shot from 2 ft
7:00.0,,,105-80,,Personal foul by A. Payne (drawn by D. Cousins)
6:50.0,I. Clark misses 2-pt shot from 18 ft,,105-80,,
6:45.0,Offensive rebound by D. Cunningham,,105-80,,
6:39.0,Turnover by D. Miller (bad pass; steal by W. Iwundu),,105-80,,
6:20.0,Personal foul by D. Cousins (drawn by S. Mack),,105-80,,
