time,Brooklyn,pts.away,score,pts.home,Dallas
3:42.0,,,15-20,,D. Powell enters the game for S. Mejri
3:42.0,S. Kilpatrick enters the game for S. Dinwiddie,,15-20,,
3:42.0,C. LeVert enters the game for J. Harris,,15-20,,
3:42.0,J. Allen enters the game for T. Booker,,15-20,,
3:42.0,Q. Acy enters the game for T. Zeller,,15-20,,
3:23.0,C. LeVert misses 2-pt shot from 4 ft,,15-20,,
3:22.0,,,15-20,,Defensive rebound by M. Kleber
3:12.0,,,15-20,,W. Matthews misses 3-pt shot from 24 ft
3:07.0,,,15-20,,Offensive rebound by M. Kleber
3:00.0,,,15-22,2,D. Powell makes 2-pt shot from 21 ft (assist by H. Barnes)
2:39.0,S. Kilpatrick misses 3-pt shot from 24 ft,,15-22,,
2:35.0,,,15-22,,Defensive rebound by H. Barnes
2:27.0,,,15-25,3,M. Kleber makes 3-pt shot from 22 ft (assist by Y. Ferrell)
2:10.0,,,15-25,,Shooting block foul by M. Kleber (drawn by Q. Acy)
2:10.0,Q. Acy makes free throw 1 of 2,1,16-25,,
2:10.0,,,16-25,,J. Barea enters the game for W. Matthews
2:10.0,,,16-25,,D. Harris enters the game for H. Barnes
2:10.0,,,16-25,,D. Nowitzki enters the game for M. Kleber
2:10.0,I. Whitehead enters the game for D. Carroll,,16-25,,
2:10.0,Q. Acy misses free throw 2 of 2,,16-25,,
2:08.0,,,16-25,,Defensive rebound by Y. Ferrell
1:55.0,,,16-25,,D. Powell misses 2-pt shot from 3 ft
1:52.0,Defensive rebound by C. LeVert,,16-25,,
1:46.0,I. Whitehead makes 2-pt shot from 2 ft,2,18-25,,
1:32.0,,,18-25,,D. Powell misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by S. Kilpatrick,,18-25,,
1:11.0,S. Kilpatrick misses 2-pt shot from 1 ft,,18-25,,
1:09.0,,,18-25,,Defensive rebound by Y. Ferrell
1:02.0,,,18-25,,Y. Ferrell misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by Q. Acy,,18-25,,
0:42.0,I. Whitehead misses 2-pt shot from 14 ft,,18-25,,
0:41.0,,,18-25,,Defensive rebound by D. Powell
0:30.0,,,18-25,,J. Barea misses 2-pt shot from 11 ft
0:28.0,Defensive rebound by C. LeVert,,18-25,,
0:20.0,C. LeVert makes 3-pt shot from 25 ft,3,21-25,,
0:05.0,Personal foul by I. Whitehead (drawn by D. Powell),,21-25,,
0:00.0,,,21-27,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,21-27,,Violation by D. Powell (kicked ball)
11:34.0,Offensive foul by Q. Acy (drawn by Y. Ferrell),,21-27,,
11:34.0,Turnover by Q. Acy (offensive foul),,21-27,,
11:22.0,,,21-29,2,D. Powell makes 2-pt shot from 3 ft (assist by J. Barea)
11:10.0,Q. Acy makes 3-pt shot from 23 ft (assist by I. Whitehead),3,24-29,,
10:59.0,Personal foul by I. Whitehead (drawn by D. Nowitzki),,24-29,,
10:44.0,,,24-29,,D. Nowitzki misses 2-pt shot from 12 ft
10:42.0,Defensive rebound by Q. Acy,,24-29,,
10:34.0,J. Allen makes 2-pt shot from 4 ft (assist by S. Kilpatrick),2,26-29,,
10:26.0,,,26-31,2,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea)
10:11.0,I. Whitehead misses 2-pt shot from 7 ft,,26-31,,
10:09.0,Offensive rebound by I. Whitehead,,26-31,,
10:03.0,I. Whitehead makes 2-pt shot from 6 ft,2,28-31,,
9:53.0,,,28-31,,J. Barea misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by J. Allen,,28-31,,
9:40.0,Turnover by S. Kilpatrick (lost ball; steal by D. Harris),,28-31,,
9:34.0,,,28-31,,D. Harris misses 2-pt shot from 1 ft
9:31.0,,,28-31,,Offensive rebound by D. Powell
9:26.0,,,28-33,2,Y. Ferrell makes 2-pt shot from 1 ft (assist by D. Powell)
9:05.0,C. LeVert misses 2-pt shot from 9 ft,,28-33,,
9:05.0,,,28-33,,Defensive rebound by J. Barea
8:49.0,,,28-36,3,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea)
8:49.0,Brooklyn full timeout,,28-36,,
8:49.0,S. Dinwiddie enters the game for J. Allen,,28-36,,
8:49.0,T. Booker enters the game for I. Whitehead,,28-36,,
8:41.0,S. Kilpatrick makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,31-36,,
8:19.0,,,31-36,,D. Harris misses 3-pt shot from 24 ft
8:16.0,,,31-36,,Offensive rebound by Y. Ferrell
8:08.0,,,31-36,,D. Nowitzki misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by S. Kilpatrick,,31-36,,
8:00.0,S. Kilpatrick misses 2-pt shot from 9 ft,,31-36,,
7:57.0,,,31-36,,Defensive rebound by D. Nowitzki
7:44.0,,,31-36,,Y. Ferrell misses 2-pt shot from 18 ft
7:41.0,Defensive rebound by T. Booker,,31-36,,
7:20.0,C. LeVert makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,33-36,,
6:58.0,,,33-38,2,Y. Ferrell makes 2-pt shot from 10 ft (assist by D. Powell)
6:48.0,Offensive charge foul by S. Kilpatrick (drawn by Y. Ferrell),,33-38,,
6:48.0,Turnover by S. Kilpatrick (offensive foul),,33-38,,
6:48.0,,,33-38,,W. Matthews enters the game for D. Powell
6:48.0,,,33-38,,H. Barnes enters the game for Y. Ferrell
6:48.0,,,33-38,,D. Smith enters the game for D. Harris
6:48.0,,,33-38,,S. Mejri enters the game for D. Nowitzki
6:48.0,J. Harris enters the game for S. Kilpatrick,,33-38,,
6:48.0,D. Carroll enters the game for C. LeVert,,33-38,,
6:24.0,,,33-38,,D. Smith misses 2-pt shot from 14 ft
6:20.0,Defensive rebound by Q. Acy,,33-38,,
6:15.0,J. Harris misses 3-pt shot from 23 ft,,33-38,,
6:12.0,,,33-38,,Defensive rebound by W. Matthews
6:06.0,,,33-38,,J. Barea misses 2-pt shot from 17 ft
6:04.0,Defensive rebound by Team,,33-38,,
6:04.0,,,33-38,,Loose ball foul by S. Mejri (drawn by Q. Acy)
6:04.0,,,33-38,,M. Kleber enters the game for S. Mejri
5:45.0,Turnover by T. Booker (out of bounds lost ball),,33-38,,
5:40.0,,,33-38,,Turnover by W. Matthews (out of bounds lost ball)
5:24.0,T. Booker makes 2-pt shot from 7 ft (assist by J. Harris),2,35-38,,
5:13.0,,,35-38,,Turnover by J. Barea (bad pass; steal by Q. Acy)
5:03.0,T. Booker makes 2-pt shot at rim (assist by J. Harris),2,37-38,,
5:02.0,,,37-38,,Dallas full timeout
5:02.0,,,37-38,,Y. Ferrell enters the game for J. Barea
5:02.0,C. LeVert enters the game for Q. Acy,,37-38,,
4:52.0,Personal foul by T. Booker (drawn by M. Kleber),,37-38,,
4:40.0,,,37-38,,Y. Ferrell misses 2-pt shot from 19 ft
4:36.0,Defensive rebound by T. Booker,,37-38,,
4:16.0,Shooting foul by Y. Ferrell (drawn by C. LeVert),,37-38,,
4:16.0,C. LeVert misses free throw 1 of 2,,37-38,,
4:16.0,Offensive rebound by Team,,37-38,,
4:16.0,C. LeVert makes free throw 2 of 2,1,38-38,,
4:02.0,,,38-38,,D. Smith misses 2-pt shot from 16 ft
3:59.0,Defensive rebound by J. Harris,,38-38,,
3:48.0,D. Carroll misses 3-pt shot from 25 ft,,38-38,,
3:46.0,,,38-38,,Defensive rebound by W. Matthews
3:42.0,,,38-38,,W. Matthews misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by S. Dinwiddie,,38-38,,
3:24.0,T. Booker misses 2-pt shot from 5 ft,,38-38,,
3:21.0,,,38-38,,Defensive rebound by H. Barnes
3:16.0,,,38-38,,Shooting foul by C. LeVert (drawn by Y. Ferrell)
3:16.0,,,38-39,1,Y. Ferrell makes free throw 1 of 2
3:16.0,T. Zeller enters the game for T. Booker,,38-39,,
3:16.0,,,38-40,1,Y. Ferrell makes free throw 2 of 2
3:06.0,C. LeVert makes 3-pt shot from 26 ft (assist by T. Zeller),3,41-40,,
2:52.0,,,41-40,,D. Smith misses 2-pt shot from 15 ft
2:50.0,Defensive rebound by C. LeVert,,41-40,,
2:44.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by C. LeVert),3,44-40,,
2:41.0,,,44-40,,Dallas full timeout
2:41.0,,,44-40,,D. Nowitzki enters the game for Y. Ferrell
2:26.0,,,44-40,,Shooting foul by D. Carroll (drawn by H. Barnes)
2:26.0,,,44-41,1,H. Barnes makes free throw 1 of 2
2:26.0,,,44-42,1,H. Barnes makes free throw 2 of 2
2:20.0,C. LeVert misses 3-pt shot from 22 ft,,44-42,,
2:17.0,,,44-42,,Defensive rebound by D. Nowitzki
2:08.0,,,44-42,,D. Smith misses 2-pt shot from 2 ft
2:05.0,,,44-42,,Offensive rebound by M. Kleber
2:03.0,,,44-44,2,M. Kleber makes 2-pt shot at rim
1:51.0,T. Zeller makes 2-pt shot from 1 ft (assist by C. LeVert),2,46-44,,
1:34.0,,,46-44,,M. Kleber misses 3-pt shot from 23 ft
1:31.0,Defensive rebound by D. Carroll,,46-44,,
1:12.0,D. Carroll misses 2-pt shot from 8 ft,,46-44,,
1:08.0,Offensive rebound by D. Carroll,,46-44,,
1:07.0,J. Harris makes 2-pt shot from 1 ft (assist by T. Zeller),2,48-44,,
0:49.0,,,48-44,,D. Nowitzki misses 2-pt shot from 21 ft
0:46.0,Defensive rebound by T. Zeller,,48-44,,
0:32.0,S. Dinwiddie misses 3-pt shot from 27 ft,,48-44,,
0:30.0,Offensive rebound by D. Carroll,,48-44,,
0:27.0,D. Carroll misses 2-pt shot from 2 ft,,48-44,,
0:27.0,,,48-44,,Defensive rebound by H. Barnes
0:05.0,,,48-47,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by H. Barnes)
0:00.0,S. Dinwiddie misses 3-pt shot from 32 ft,,48-47,,
0:00.0,Offensive rebound by Team,,48-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Shooting foul by M. Kleber (drawn by T. Zeller),,48-47,,
11:47.0,T. Zeller misses free throw 1 of 2,,48-47,,
11:47.0,Offensive rebound by Team,,48-47,,
11:47.0,T. Zeller misses free throw 2 of 2,,48-47,,
11:43.0,,,48-47,,Defensive rebound by H. Barnes
11:27.0,,,48-49,2,M. Kleber makes 2-pt shot from 16 ft (assist by D. Smith)
11:10.0,J. Harris misses 2-pt shot from 18 ft,,48-49,,
11:07.0,,,48-49,,Defensive rebound by H. Barnes
10:57.0,,,48-52,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Nowitzki)
10:49.0,Offensive foul by T. Zeller (drawn by D. Smith),,48-52,,
10:49.0,Turnover by T. Zeller (offensive foul),,48-52,,
10:43.0,,,48-52,,D. Nowitzki misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by T. Booker,,48-52,,
10:32.0,D. Carroll makes 2-pt shot from 1 ft,2,50-52,,
10:14.0,,,50-52,,Shooting foul by S. Dinwiddie (drawn by D. Smith)
10:14.0,,,50-53,1,D. Smith makes free throw 1 of 2
10:14.0,,,50-54,1,D. Smith makes free throw 2 of 2
10:05.0,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,52-54,,
10:05.0,Shooting foul by D. Nowitzki (drawn by J. Harris),,52-54,,
10:05.0,J. Harris makes free throw 1 of 1,1,53-54,,
9:50.0,,,53-54,,M. Kleber misses 3-pt shot from 23 ft
9:47.0,Defensive rebound by J. Harris,,53-54,,
9:42.0,,,53-54,,Personal foul by M. Kleber (drawn by S. Dinwiddie)
9:30.0,D. Carroll makes 3-pt shot from 24 ft (assist by T. Zeller),3,56-54,,
9:19.0,Personal block foul by T. Booker (drawn by D. Nowitzki),,56-54,,
9:11.0,,,56-56,2,D. Smith makes 2-pt shot from 10 ft
8:57.0,S. Dinwiddie makes 3-pt shot from 24 ft,3,59-56,,
8:45.0,Personal foul by S. Dinwiddie (drawn by D. Smith),,59-56,,
8:36.0,,,59-56,,Turnover by D. Smith (out of bounds lost ball)
8:31.0,D. Carroll makes 2-pt shot from 22 ft (assist by T. Booker),2,61-56,,
8:31.0,Shooting foul by W. Matthews (drawn by D. Carroll),,61-56,,
8:31.0,,,61-56,,D. Harris enters the game for D. Nowitzki
8:31.0,D. Carroll makes free throw 1 of 1,1,62-56,,
8:15.0,,,62-56,,Shooting foul by S. Dinwiddie (drawn by D. Smith)
8:15.0,,,62-57,1,D. Smith makes free throw 1 of 2
8:15.0,,,62-58,1,D. Smith makes free throw 2 of 2
8:06.0,S. Dinwiddie makes 2-pt shot at rim,2,64-58,,
7:48.0,,,64-60,2,D. Smith makes 2-pt shot from 23 ft
7:36.0,T. Booker misses 2-pt shot from 4 ft,,64-60,,
7:33.0,Offensive rebound by T. Zeller,,64-60,,
7:31.0,Turnover by T. Zeller (lost ball; steal by D. Harris),,64-60,,
7:23.0,,,64-60,,Turnover by M. Kleber (bad pass; steal by T. Zeller)
7:19.0,,,64-60,,Violation by W. Matthews (kicked ball)
7:19.0,,,64-60,,Y. Ferrell enters the game for D. Smith
7:08.0,S. Dinwiddie misses 3-pt shot from 24 ft,,64-60,,
7:05.0,,,64-60,,Defensive rebound by Y. Ferrell
6:53.0,,,64-60,,Shooting foul by J. Harris (drawn by H. Barnes)
6:53.0,,,64-60,,Dallas full timeout
6:53.0,,,64-61,1,H. Barnes makes free throw 1 of 2
6:53.0,,,64-62,1,H. Barnes makes free throw 2 of 2
6:46.0,,,64-62,,Personal block foul by W. Matthews (drawn by D. Carroll)
6:46.0,D. Carroll misses free throw 1 of 2,,64-62,,
6:46.0,Offensive rebound by Team,,64-62,,
6:46.0,D. Carroll makes free throw 2 of 2,1,65-62,,
6:29.0,,,65-64,2,H. Barnes makes 2-pt shot from 8 ft
6:12.0,J. Harris misses 3-pt shot from 24 ft,,65-64,,
6:10.0,,,65-64,,Defensive rebound by D. Harris
6:07.0,Personal foul by J. Harris (drawn by H. Barnes),,65-64,,
6:07.0,,,65-65,1,H. Barnes makes free throw 1 of 2
6:07.0,,,65-66,1,H. Barnes makes free throw 2 of 2
5:48.0,S. Dinwiddie makes 2-pt shot from 8 ft,2,67-66,,
5:48.0,Shooting foul by M. Kleber (drawn by S. Dinwiddie),,67-66,,
5:48.0,Q. Acy enters the game for T. Booker,,67-66,,
5:48.0,,,67-66,,D. Powell enters the game for M. Kleber
5:48.0,S. Dinwiddie misses free throw 1 of 1,,67-66,,
5:45.0,,,67-66,,Defensive rebound by D. Powell
5:32.0,,,67-66,,H. Barnes misses 2-pt shot from 1 ft
5:31.0,Defensive rebound by J. Harris,,67-66,,
5:21.0,T. Zeller makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,69-66,,
5:21.0,Shooting foul by D. Harris (drawn by T. Zeller),,69-66,,
5:21.0,T. Zeller makes free throw 1 of 1,1,70-66,,
4:59.0,,,70-66,,Turnover by D. Harris (bad pass; steal by T. Zeller)
4:55.0,Turnover by D. Carroll (bad pass; steal by D. Powell),,70-66,,
4:55.0,Personal foul by T. Zeller (drawn by D. Powell),,70-66,,
4:55.0,,,70-67,1,D. Powell makes free throw 1 of 2
4:55.0,,,70-67,,J. Barea enters the game for D. Harris
4:55.0,J. Allen enters the game for T. Zeller,,70-67,,
4:55.0,,,70-67,,D. Powell misses free throw 2 of 2
4:52.0,Defensive rebound by Q. Acy,,70-67,,
4:31.0,S. Dinwiddie misses 3-pt shot from 27 ft,,70-67,,
4:27.0,Offensive rebound by D. Carroll,,70-67,,
4:26.0,D. Carroll misses 2-pt shot from 2 ft,,70-67,,
4:26.0,,,70-67,,Defensive rebound by D. Powell
4:20.0,,,70-70,3,D. Powell makes 3-pt shot from 23 ft (assist by H. Barnes)
4:19.0,Brooklyn full timeout,,70-70,,
4:19.0,C. LeVert enters the game for S. Dinwiddie,,70-70,,
4:19.0,S. Kilpatrick enters the game for J. Harris,,70-70,,
4:06.0,J. Allen makes 2-pt shot at rim (assist by C. LeVert),2,72-70,,
3:57.0,,,72-70,,D. Harris enters the game for Y. Ferrell
3:53.0,,,72-72,2,D. Powell makes 2-pt shot at rim (assist by H. Barnes)
3:31.0,Q. Acy misses 3-pt shot from 25 ft,,72-72,,
3:28.0,,,72-72,,Defensive rebound by D. Powell
3:17.0,,,72-72,,J. Barea misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by C. LeVert,,72-72,,
3:10.0,D. Carroll makes 3-pt shot from 24 ft (assist by C. LeVert),3,75-72,,
2:53.0,,,75-72,,Offensive foul by D. Harris (drawn by Q. Acy)
2:53.0,,,75-72,,Turnover by D. Harris (offensive foul)
2:53.0,Technical foul by Q. Acy,,75-72,,
2:53.0,,,75-73,1,H. Barnes makes technical free throw
2:44.0,C. LeVert misses 2-pt shot from 2 ft,,75-73,,
2:42.0,,,75-73,,Defensive rebound by D. Harris
2:26.0,,,75-76,3,W. Matthews makes 3-pt shot from 26 ft (assist by D. Powell)
2:03.0,D. Carroll makes 3-pt shot from 24 ft (assist by Q. Acy),3,78-76,,
1:43.0,,,78-76,,W. Matthews misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by Team,,78-76,,
1:41.0,I. Whitehead enters the game for D. Carroll,,78-76,,
1:27.0,Turnover by I. Whitehead (step out of bounds),,78-76,,
1:27.0,,,78-76,,Y. Ferrell enters the game for W. Matthews
1:27.0,,,78-76,,D. Nowitzki enters the game for H. Barnes
1:17.0,,,78-76,,J. Barea misses 3-pt shot from 25 ft
1:14.0,,,78-76,,Offensive rebound by Y. Ferrell
1:12.0,,,78-76,,Y. Ferrell misses 3-pt shot from 24 ft
1:09.0,Defensive rebound by C. LeVert,,78-76,,
0:57.0,S. Kilpatrick misses 3-pt shot from 24 ft,,78-76,,
0:53.0,,,78-76,,Defensive rebound by D. Nowitzki
0:37.0,,,78-76,,Turnover by D. Powell (traveling)
0:30.0,C. LeVert makes 2-pt shot from 2 ft,2,80-76,,
0:08.0,,,80-76,,D. Nowitzki misses 2-pt shot from 10 ft
0:06.0,Defensive rebound by S. Kilpatrick,,80-76,,
0:00.0,S. Kilpatrick misses 2-pt shot from 5 ft,,80-76,,
0:00.0,,,80-76,,Defensive rebound by D. Nowitzki
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,80-76,,D. Harris misses 2-pt shot from 1 ft
11:35.0,,,80-76,,Offensive rebound by D. Powell
11:33.0,,,80-76,,J. Barea misses 3-pt shot from 23 ft
11:30.0,Defensive rebound by J. Allen,,80-76,,
11:25.0,I. Whitehead misses 2-pt shot from 5 ft,,80-76,,
11:20.0,Offensive rebound by J. Allen,,80-76,,
11:20.0,J. Allen misses 2-pt shot at rim,,80-76,,
11:20.0,,,80-76,,Defensive rebound by J. Barea
11:18.0,,,80-78,2,J. Barea makes 2-pt shot from 1 ft
10:58.0,I. Whitehead makes 2-pt shot from 1 ft,2,82-78,,
10:42.0,Personal block foul by C. LeVert (drawn by J. Barea),,82-78,,
10:29.0,,,82-80,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
10:16.0,C. LeVert makes 2-pt shot from 11 ft,2,84-80,,
10:03.0,,,84-80,,J. Barea misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by J. Allen,,84-80,,
10:01.0,,,84-80,,Personal take foul by D. Harris (drawn by C. LeVert)
9:55.0,C. LeVert misses 2-pt shot from 16 ft,,84-80,,
9:53.0,,,84-80,,Defensive rebound by D. Nowitzki
9:49.0,,,84-82,2,D. Harris makes 2-pt shot from 2 ft (assist by J. Barea)
9:49.0,,,84-82,,Shooting foul by S. Kilpatrick (drawn by D. Harris)
9:49.0,,,84-82,,D. Harris misses free throw 1 of 1
9:47.0,Defensive rebound by J. Allen,,84-82,,
9:39.0,Q. Acy misses 3-pt shot from 24 ft,,84-82,,
9:36.0,,,84-82,,Defensive rebound by J. Barea
9:28.0,,,84-82,,J. Barea misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by Q. Acy,,84-82,,
9:10.0,C. LeVert misses 2-pt shot from 2 ft (block by D. Powell),,84-82,,
9:09.0,Offensive rebound by Team,,84-82,,
9:09.0,,,84-82,,Y. Ferrell enters the game for J. Barea
9:09.0,,,84-82,,H. Barnes enters the game for D. Nowitzki
9:03.0,C. LeVert misses 2-pt shot from 12 ft,,84-82,,
9:00.0,,,84-82,,Defensive rebound by H. Barnes
8:55.0,,,84-82,,Turnover by D. Smith (bad pass; steal by J. Allen)
8:54.0,,,84-82,,Personal take foul by D. Harris (drawn by C. LeVert)
8:54.0,,,84-82,,W. Matthews enters the game for D. Harris
8:40.0,J. Allen makes 2-pt shot at rim (assist by I. Whitehead),2,86-82,,
8:18.0,,,86-84,2,H. Barnes makes 2-pt shot from 8 ft
8:10.0,Turnover by I. Whitehead (traveling),,86-84,,
8:10.0,T. Booker enters the game for S. Kilpatrick,,86-84,,
8:10.0,S. Dinwiddie enters the game for Q. Acy,,86-84,,
7:57.0,,,86-84,,H. Barnes misses 2-pt shot from 18 ft
7:54.0,Defensive rebound by J. Allen,,86-84,,
7:42.0,I. Whitehead misses 3-pt shot from 25 ft,,86-84,,
7:39.0,Offensive rebound by C. LeVert,,86-84,,
7:39.0,S. Dinwiddie misses 2-pt shot from 20 ft (block by Y. Ferrell),,86-84,,
7:39.0,Offensive rebound by S. Dinwiddie,,86-84,,
7:27.0,S. Dinwiddie misses 2-pt shot from 1 ft,,86-84,,
7:25.0,,,86-84,,Defensive rebound by D. Powell
7:25.0,Loose ball foul by T. Booker (drawn by D. Powell),,86-84,,
7:25.0,,,86-84,,M. Kleber enters the game for D. Powell
7:25.0,T. Zeller enters the game for I. Whitehead,,86-84,,
7:25.0,J. Harris enters the game for J. Allen,,86-84,,
7:12.0,,,86-84,,W. Matthews misses 2-pt shot from 11 ft
7:12.0,Defensive rebound by T. Booker,,86-84,,
6:57.0,T. Booker makes 2-pt shot from 7 ft,2,88-84,,
6:57.0,,,88-84,,Dallas full timeout
6:57.0,,,88-84,,S. Mejri enters the game for M. Kleber
6:57.0,D. Carroll enters the game for C. LeVert,,88-84,,
6:40.0,,,88-84,,H. Barnes misses 2-pt shot from 8 ft
6:37.0,Defensive rebound by D. Carroll,,88-84,,
6:30.0,J. Harris misses 3-pt shot from 24 ft,,88-84,,
6:27.0,,,88-84,,Defensive rebound by D. Smith
6:21.0,,,88-84,,Shooting foul by S. Dinwiddie (drawn by Y. Ferrell)
6:21.0,,,88-85,1,Y. Ferrell makes free throw 1 of 2
6:21.0,,,88-86,1,Y. Ferrell makes free throw 2 of 2
5:58.0,T. Zeller misses 2-pt shot from 9 ft,,88-86,,
5:53.0,,,88-86,,Defensive rebound by H. Barnes
5:49.0,Personal foul by S. Dinwiddie (drawn by S. Mejri),,88-86,,
5:49.0,,,88-87,1,S. Mejri makes free throw 1 of 2
5:49.0,,,88-87,,S. Mejri misses free throw 2 of 2
5:47.0,Defensive rebound by T. Booker,,88-87,,
5:41.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,90-87,,
5:41.0,Shooting foul by Y. Ferrell (drawn by S. Dinwiddie),,90-87,,
5:41.0,S. Dinwiddie makes free throw 1 of 1,1,91-87,,
5:27.0,,,91-87,,D. Smith misses 2-pt shot from 3 ft
5:25.0,Defensive rebound by D. Carroll,,91-87,,
5:23.0,Offensive charge foul by D. Carroll (drawn by S. Mejri),,91-87,,
5:23.0,Turnover by D. Carroll (offensive foul),,91-87,,
5:14.0,,,91-87,,D. Smith misses 2-pt shot from 14 ft
5:11.0,Defensive rebound by J. Harris,,91-87,,
5:02.0,S. Dinwiddie misses 2-pt shot from 14 ft,,91-87,,
5:00.0,Offensive rebound by S. Dinwiddie,,91-87,,
5:00.0,S. Dinwiddie makes 2-pt shot at rim,2,93-87,,
5:00.0,,,93-87,,H. Barnes misses technical free throw
5:00.0,,,93-87,,Offensive rebound by Team
