time,Phoenix,pts.away,score,pts.home,Sacramento
7:34.0,,,9-11,,Personal foul by Z. Randolph (drawn by T. Chandler)
7:22.0,D. Booker misses 2-pt shot from 11 ft (block by G. Temple),,9-11,,
7:18.0,,,9-11,,Defensive rebound by S. Labissiere
7:10.0,,,9-13,2,S. Labissiere makes 2-pt shot from 11 ft (assist by Z. Randolph)
6:54.0,T. Warren makes 2-pt shot from 14 ft (assist by D. Booker),2,11-13,,
6:42.0,,,11-13,,G. Hill misses 2-pt shot from 17 ft
6:39.0,Defensive rebound by T. Chandler,,11-13,,
6:37.0,Turnover by T. Chandler (bad pass; steal by F. Mason),,11-13,,
6:30.0,,,11-13,,Z. Randolph misses 2-pt shot from 20 ft
6:24.0,,,11-13,,Offensive rebound by S. Labissiere
6:23.0,,,11-15,2,S. Labissiere makes 2-pt shot from 2 ft
6:08.0,D. Booker misses 3-pt shot from 23 ft,,11-15,,
6:08.0,Offensive rebound by T. Chandler,,11-15,,
6:04.0,T. Ulis makes 3-pt shot from 25 ft (assist by T. Chandler),3,14-15,,
5:38.0,,,14-15,,G. Hill misses 2-pt shot from 6 ft
5:38.0,Defensive rebound by T. Chandler,,14-15,,
5:27.0,T. Ulis misses 2-pt shot from 3 ft,,14-15,,
5:27.0,Offensive rebound by T. Chandler,,14-15,,
5:20.0,T. Chandler makes 2-pt shot at rim,2,16-15,,
5:06.0,,,16-15,,Z. Randolph misses 2-pt shot from 3 ft
5:06.0,,,16-15,,Offensive rebound by S. Labissiere
5:06.0,,,16-15,,S. Labissiere misses 2-pt shot at rim
5:06.0,Defensive rebound by Team,,16-15,,
5:06.0,,,16-15,,Loose ball foul by S. Labissiere (drawn by T. Chandler)
5:06.0,,,16-15,,Sacramento full timeout
5:06.0,J. Jackson enters the game for T. Warren,,16-15,,
4:47.0,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker),3,19-15,,
4:28.0,,,19-15,,Shooting foul by T. Chandler (drawn by S. Labissiere)
4:28.0,,,19-16,1,S. Labissiere makes free throw 1 of 2
4:28.0,,,19-16,,B. Bogdanovic enters the game for F. Mason
4:28.0,,,19-17,1,S. Labissiere makes free throw 2 of 2
4:08.0,J. Jackson misses 2-pt shot from 11 ft,,19-17,,
4:06.0,Offensive rebound by T. Ulis,,19-17,,
4:05.0,Shooting foul by G. Hill (drawn by T. Chandler),,19-17,,
4:05.0,T. Chandler makes free throw 1 of 2,1,20-17,,
4:05.0,,,20-17,,W. Cauley-Stein enters the game for S. Labissiere
4:05.0,T. Chandler makes free throw 2 of 2,1,21-17,,
3:49.0,,,21-19,2,G. Temple makes 2-pt shot from 14 ft
3:24.0,J. Jackson misses 2-pt shot from 7 ft,,21-19,,
3:23.0,,,21-19,,Defensive rebound by Z. Randolph
3:17.0,,,21-19,,Shooting foul by M. Chriss (drawn by Z. Randolph)
3:17.0,,,21-20,1,Z. Randolph makes free throw 1 of 2
3:17.0,,,21-20,,B. Hield enters the game for G. Temple
3:17.0,A. Len enters the game for M. Chriss,,21-20,,
3:17.0,D. Bender enters the game for T. Chandler,,21-20,,
3:17.0,I. Canaan enters the game for T. Ulis,,21-20,,
3:17.0,,,21-21,1,Z. Randolph makes free throw 2 of 2
2:59.0,D. Booker misses 2-pt shot from 16 ft,,21-21,,
2:53.0,Offensive rebound by A. Len,,21-21,,
2:53.0,A. Len misses 2-pt shot at rim,,21-21,,
2:52.0,,,21-21,,Defensive rebound by B. Bogdanovic
2:47.0,,,21-23,2,B. Bogdanovic makes 2-pt shot from 18 ft
2:40.0,D. Booker makes 2-pt shot from 6 ft (assist by J. Jackson),2,23-23,,
2:40.0,Shooting foul by B. Bogdanovic (drawn by D. Booker),,23-23,,
2:40.0,Phoenix full timeout,,23-23,,
2:40.0,,,23-23,,K. Koufos enters the game for Z. Randolph
2:40.0,D. Booker makes free throw 1 of 1,1,24-23,,
2:22.0,,,24-23,,G. Hill misses 3-pt shot from 23 ft
2:18.0,Defensive rebound by J. Jackson,,24-23,,
2:10.0,,,24-23,,Personal foul by B. Bogdanovic (drawn by I. Canaan)
2:10.0,I. Canaan makes free throw 1 of 2,1,25-23,,
2:10.0,I. Canaan makes free throw 2 of 2,1,26-23,,
1:57.0,,,26-25,2,B. Hield makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
1:37.0,Shooting foul by K. Koufos (drawn by A. Len),,26-25,,
1:37.0,A. Len makes free throw 1 of 2,1,27-25,,
1:37.0,T. Warren enters the game for D. Booker,,27-25,,
1:37.0,T. Daniels enters the game for J. Jackson,,27-25,,
1:37.0,A. Len misses free throw 2 of 2,,27-25,,
1:32.0,Offensive rebound by T. Warren,,27-25,,
1:23.0,D. Bender makes 3-pt shot from 25 ft (assist by I. Canaan),3,30-25,,
1:05.0,,,30-25,,B. Bogdanovic misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by I. Canaan,,30-25,,
0:47.0,D. Bender makes 3-pt shot from 24 ft (assist by I. Canaan),3,33-25,,
0:37.0,,,33-25,,G. Hill misses 2-pt shot from 19 ft
0:32.0,Defensive rebound by T. Warren,,33-25,,
0:28.0,T. Warren makes 2-pt shot from 7 ft,2,35-25,,
0:06.0,,,35-25,,G. Hill misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by A. Len,,35-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,T. Daniels makes 2-pt shot from 13 ft (assist by A. Len),2,37-25,,
11:21.0,,,37-25,,B. Hield misses 2-pt shot from 16 ft
11:21.0,Defensive rebound by T. Warren,,37-25,,
11:14.0,T. Warren makes 2-pt shot from 6 ft,2,39-25,,
10:58.0,,,39-27,2,K. Koufos makes 2-pt shot from 4 ft
10:48.0,Turnover by D. Bender (traveling),,39-27,,
10:39.0,Personal foul by I. Canaan (drawn by F. Mason),,39-27,,
10:29.0,,,39-29,2,W. Cauley-Stein makes 2-pt shot from 6 ft
10:09.0,T. Daniels misses 3-pt shot from 23 ft,,39-29,,
10:05.0,,,39-29,,Defensive rebound by F. Mason
9:59.0,,,39-29,,F. Mason misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by Team,,39-29,,
9:46.0,T. Daniels misses 3-pt shot from 24 ft,,39-29,,
9:46.0,,,39-29,,Defensive rebound by W. Cauley-Stein
9:24.0,,,39-29,,B. Bogdanovic misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by D. Bender,,39-29,,
9:18.0,T. Warren makes 2-pt shot from 7 ft (assist by I. Canaan),2,41-29,,
9:00.0,,,41-31,2,K. Koufos makes 2-pt shot from 12 ft (assist by F. Mason)
8:49.0,T. Daniels misses 3-pt shot from 25 ft,,41-31,,
8:49.0,,,41-31,,Defensive rebound by B. Hield
8:46.0,Personal foul by T. Daniels (drawn by B. Hield),,41-31,,
8:40.0,,,41-33,2,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by F. Mason)
8:14.0,D. Bender misses 3-pt shot from 23 ft,,41-33,,
8:09.0,Offensive rebound by I. Canaan,,41-33,,
8:07.0,I. Canaan misses 3-pt shot from 23 ft,,41-33,,
8:07.0,,,41-33,,Defensive rebound by F. Mason
8:02.0,,,41-33,,B. Bogdanovic misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by A. Len,,41-33,,
7:50.0,T. Warren makes 2-pt shot from 14 ft (assist by I. Canaan),2,43-33,,
7:38.0,,,43-35,2,K. Koufos makes 2-pt shot from 1 ft (assist by F. Mason)
7:19.0,T. Warren misses 2-pt shot from 21 ft,,43-35,,
7:19.0,,,43-35,,Defensive rebound by W. Cauley-Stein
7:09.0,,,43-35,,F. Mason misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by A. Len,,43-35,,
7:03.0,Turnover by D. Bender (out of bounds lost ball),,43-35,,
7:03.0,,,43-35,,Sacramento full timeout
7:03.0,T. Ulis enters the game for I. Canaan,,43-35,,
6:45.0,,,43-35,,B. Hield misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by T. Warren,,43-35,,
6:30.0,T. Warren makes 2-pt shot from 12 ft (assist by D. Bender),2,45-35,,
6:16.0,,,45-35,,B. Hield misses 2-pt shot from 13 ft
6:12.0,,,45-35,,Offensive rebound by K. Koufos
6:08.0,,,45-35,,F. Mason misses 2-pt shot from 5 ft (block by A. Len)
6:06.0,Defensive rebound by T. Ulis,,45-35,,
5:44.0,D. Bender misses 2-pt shot from 4 ft,,45-35,,
5:42.0,,,45-35,,Defensive rebound by K. Koufos
5:39.0,,,45-37,2,F. Mason makes 2-pt shot from 1 ft
5:23.0,,,45-37,,G. Temple enters the game for B. Bogdanovic
5:23.0,T. Chandler enters the game for T. Warren,,45-37,,
5:23.0,D. Booker enters the game for A. Len,,45-37,,
5:23.0,J. Jackson enters the game for T. Daniels,,45-37,,
5:11.0,Turnover by Team (shot clock),,45-37,,
5:11.0,M. Chriss enters the game for D. Bender,,45-37,,
5:11.0,Technical foul by J. Jackson,,45-37,,
5:11.0,,,45-38,1,B. Hield makes technical free throw
5:03.0,,,45-38,,B. Hield misses 2-pt shot from 20 ft
4:59.0,Defensive rebound by J. Jackson,,45-38,,
4:56.0,M. Chriss makes 2-pt shot from 1 ft (assist by J. Jackson),2,47-38,,
4:33.0,,,47-38,,Turnover by K. Koufos (lost ball; steal by J. Jackson)
4:21.0,Turnover by J. Jackson (bad pass; steal by W. Cauley-Stein),,47-38,,
4:01.0,,,47-38,,W. Cauley-Stein misses 2-pt shot from 2 ft
3:58.0,Defensive rebound by M. Chriss,,47-38,,
3:51.0,J. Jackson makes 2-pt shot at rim (assist by T. Ulis),2,49-38,,
3:50.0,,,49-38,,Sacramento full timeout
3:50.0,,,49-38,,G. Hill enters the game for B. Hield
3:50.0,,,49-38,,Z. Randolph enters the game for K. Koufos
3:26.0,,,49-40,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple)
3:12.0,M. Chriss makes 3-pt shot from 23 ft (assist by T. Ulis),3,52-40,,
2:52.0,,,52-42,2,G. Temple makes 2-pt shot from 1 ft (assist by Z. Randolph)
2:42.0,Offensive foul by T. Chandler (drawn by G. Hill),,52-42,,
2:42.0,Turnover by T. Chandler (offensive foul),,52-42,,
2:42.0,T. Warren enters the game for J. Jackson,,52-42,,
2:28.0,Personal foul by M. Chriss (drawn by Z. Randolph),,52-42,,
2:28.0,Personal foul by T. Ulis (drawn by F. Mason),,52-42,,
2:28.0,,,52-43,1,G. Hill makes free throw 1 of 1
2:21.0,,,52-43,,Turnover by Z. Randolph (traveling)
2:01.0,T. Warren misses 2-pt shot from 12 ft,,52-43,,
1:58.0,,,52-43,,Defensive rebound by Z. Randolph
1:44.0,,,52-43,,W. Cauley-Stein misses 2-pt shot from 10 ft
1:41.0,Defensive rebound by T. Chandler,,52-43,,
1:38.0,Turnover by T. Ulis (bad pass; steal by W. Cauley-Stein),,52-43,,
1:33.0,,,52-46,3,G. Temple makes 3-pt shot from 24 ft (assist by F. Mason)
1:32.0,Phoenix full timeout,,52-46,,
1:32.0,,,52-46,,K. Koufos enters the game for W. Cauley-Stein
1:32.0,I. Canaan enters the game for T. Ulis,,52-46,,
1:30.0,,,52-46,,Personal foul by F. Mason (drawn by M. Chriss)
1:19.0,D. Booker makes 2-pt shot from 7 ft (assist by M. Chriss),2,54-46,,
0:54.0,,,54-46,,F. Mason misses 2-pt shot from 7 ft
0:53.0,Defensive rebound by Team,,54-46,,
0:53.0,,,54-46,,Loose ball foul by Z. Randolph (drawn by M. Chriss)
0:53.0,M. Chriss makes free throw 1 of 2,1,55-46,,
0:53.0,M. Chriss misses free throw 2 of 2,,55-46,,
0:49.0,Offensive rebound by T. Warren,,55-46,,
0:34.0,D. Booker misses 3-pt shot from 24 ft,,55-46,,
0:30.0,,,55-46,,Defensive rebound by K. Koufos
0:08.0,,,55-46,,G. Hill misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by D. Booker,,55-46,,
0:00.0,D. Booker misses 2-pt shot from 1 ft,,55-46,,
0:00.0,Offensive rebound by T. Warren,,55-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by M. Chriss (bad pass; steal by F. Mason),,55-46,,
11:34.0,,,55-48,2,S. Labissiere makes 2-pt shot from 1 ft (assist by G. Temple)
11:13.0,Turnover by D. Booker (bad pass; steal by Z. Randolph),,55-48,,
11:09.0,,,55-48,,Turnover by Z. Randolph (bad pass)
10:50.0,D. Booker misses 3-pt shot from 24 ft,,55-48,,
10:47.0,,,55-48,,Defensive rebound by G. Hill
10:36.0,,,55-48,,G. Temple misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by T. Chandler,,55-48,,
10:29.0,T. Warren makes 2-pt shot from 17 ft (assist by T. Ulis),2,57-48,,
10:13.0,,,57-50,2,Z. Randolph makes 2-pt shot from 4 ft (assist by S. Labissiere)
10:07.0,,,57-50,,Personal foul by G. Hill (drawn by D. Booker)
10:01.0,D. Booker misses 3-pt shot from 26 ft,,57-50,,
9:57.0,,,57-50,,Defensive rebound by Z. Randolph
9:39.0,,,57-52,2,Z. Randolph makes 2-pt shot from 10 ft
9:25.0,Turnover by T. Warren (bad pass; steal by G. Temple),,57-52,,
9:22.0,,,57-54,2,G. Temple makes 2-pt shot at rim
9:01.0,M. Chriss makes 3-pt shot from 24 ft (assist by D. Booker),3,60-54,,
8:47.0,,,60-54,,Turnover by G. Temple (bad pass; steal by M. Chriss)
8:44.0,M. Chriss makes 2-pt shot at rim,2,62-54,,
8:23.0,,,62-56,2,Z. Randolph makes 2-pt shot from 20 ft
8:08.0,D. Booker makes 2-pt shot from 10 ft,2,64-56,,
7:52.0,,,64-59,3,G. Hill makes 3-pt shot from 24 ft (assist by G. Temple)
7:30.0,T. Warren misses 2-pt shot from 13 ft,,64-59,,
7:28.0,Offensive rebound by T. Warren,,64-59,,
7:27.0,T. Warren makes 2-pt shot from 2 ft,2,66-59,,
7:21.0,,,66-59,,Shooting foul by D. Booker (drawn by G. Hill)
7:21.0,,,66-60,1,G. Hill makes free throw 1 of 2
7:21.0,,,66-60,,B. Bogdanovic enters the game for F. Mason
7:21.0,,,66-61,1,G. Hill makes free throw 2 of 2
7:07.0,,,66-61,,Personal foul by G. Hill (drawn by T. Chandler)
7:03.0,Shooting foul by S. Labissiere (drawn by M. Chriss),,66-61,,
7:03.0,M. Chriss misses free throw 1 of 2,,66-61,,
7:03.0,Offensive rebound by Team,,66-61,,
7:03.0,M. Chriss misses free throw 2 of 2,,66-61,,
7:01.0,,,66-61,,Defensive rebound by B. Bogdanovic
6:47.0,,,66-61,,G. Hill misses 3-pt shot from 22 ft
6:42.0,Defensive rebound by T. Warren,,66-61,,
6:38.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Ulis),3,69-61,,
6:28.0,,,69-64,3,B. Bogdanovic makes 3-pt shot from 24 ft
6:27.0,Phoenix full timeout,,69-64,,
6:10.0,T. Warren makes 2-pt shot from 17 ft (assist by M. Chriss),2,71-64,,
5:46.0,,,71-66,2,Z. Randolph makes 2-pt shot from 4 ft
5:21.0,D. Booker misses 2-pt shot from 6 ft,,71-66,,
5:18.0,,,71-66,,Defensive rebound by G. Temple
5:18.0,,,71-66,,Shooting foul by T. Warren (drawn by G. Hill)
5:18.0,,,71-67,1,G. Hill makes free throw 1 of 2
5:18.0,D. Bender enters the game for M. Chriss,,71-67,,
5:18.0,T. Daniels enters the game for D. Booker,,71-67,,
5:18.0,I. Canaan enters the game for T. Ulis,,71-67,,
5:18.0,,,71-68,1,G. Hill makes free throw 2 of 2
4:59.0,I. Canaan makes 3-pt shot from 28 ft (assist by T. Warren),3,74-68,,
4:38.0,,,74-68,,Z. Randolph misses 2-pt shot from 16 ft
4:38.0,Defensive rebound by T. Chandler,,74-68,,
4:25.0,T. Daniels misses 3-pt shot from 26 ft,,74-68,,
4:21.0,,,74-68,,Defensive rebound by G. Temple
4:16.0,,,74-68,,Turnover by G. Temple (bad pass; steal by I. Canaan)
4:12.0,I. Canaan makes 2-pt shot from 2 ft,2,76-68,,
4:07.0,,,76-68,,Sacramento full timeout
4:07.0,,,76-68,,W. Cauley-Stein enters the game for S. Labissiere
4:07.0,A. Len enters the game for T. Chandler,,76-68,,
4:03.0,,,76-68,,Offensive foul by G. Hill (drawn by I. Canaan)
4:03.0,,,76-68,,Turnover by G. Hill (offensive foul)
3:44.0,T. Daniels makes 3-pt shot from 22 ft (assist by D. Bender),3,79-68,,
3:27.0,,,79-70,2,Z. Randolph makes 2-pt shot from 17 ft
3:10.0,T. Warren makes 2-pt shot from 21 ft (assist by D. Bender),2,81-70,,
2:59.0,,,81-70,,Shooting foul by A. Len (drawn by Z. Randolph)
2:59.0,,,81-71,1,Z. Randolph makes free throw 1 of 2
2:59.0,,,81-71,,B. Hield enters the game for G. Temple
2:59.0,,,81-72,1,Z. Randolph makes free throw 2 of 2
2:41.0,A. Len makes 2-pt shot from 1 ft (assist by I. Canaan),2,83-72,,
2:26.0,,,83-72,,Z. Randolph misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by D. Bender,,83-72,,
2:20.0,Technical foul by T. Chandler,,83-72,,
2:20.0,,,83-72,,F. Mason enters the game for G. Hill
2:20.0,,,83-72,,K. Koufos enters the game for Z. Randolph
2:20.0,,,83-73,1,B. Hield makes technical free throw
2:14.0,T. Warren misses 2-pt shot from 2 ft,,83-73,,
2:14.0,,,83-73,,Defensive rebound by B. Hield
2:01.0,,,83-75,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
1:34.0,T. Daniels makes 3-pt shot from 23 ft,3,86-75,,
1:20.0,,,86-77,2,B. Bogdanovic makes 2-pt shot from 14 ft
1:02.0,T. Daniels misses 3-pt shot from 26 ft,,86-77,,
0:57.0,,,86-77,,Defensive rebound by B. Hield
0:56.0,,,86-77,,F. Mason misses 2-pt shot from 2 ft
0:56.0,J. Jackson enters the game for T. Warren,,86-77,,
0:56.0,,,86-77,,Defensive rebound by Team
0:56.0,Personal foul by T. Warren (drawn by F. Mason),,86-77,,
0:43.0,,,86-80,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by B. Hield)
0:38.0,I. Canaan makes 2-pt shot from 3 ft,2,88-80,,
0:24.0,,,88-80,,W. Cauley-Stein misses 2-pt shot from 5 ft (block by A. Len)
0:21.0,,,88-80,,Offensive rebound by W. Cauley-Stein
0:19.0,,,88-83,3,B. Hield makes 3-pt shot from 24 ft (assist by K. Koufos)
0:03.0,I. Canaan misses 3-pt shot from 25 ft,,88-83,,
0:03.0,Offensive rebound by A. Len,,88-83,,
0:00.0,T. Daniels misses 2-pt shot from 11 ft,,88-83,,
0:00.0,Offensive rebound by Team,,88-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,88-85,2,K. Koufos makes 2-pt shot from 6 ft (assist by W. Cauley-Stein)
11:23.0,J. Jackson makes 2-pt shot from 1 ft (assist by I. Canaan),2,90-85,,
11:14.0,,,90-88,3,B. Hield makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
10:54.0,D. Bender makes 3-pt shot from 22 ft (assist by J. Jackson),3,93-88,,
10:42.0,,,93-88,,Shooting foul by I. Canaan (drawn by W. Cauley-Stein)
10:42.0,,,93-89,1,W. Cauley-Stein makes free throw 1 of 2
10:42.0,,,93-89,,W. Cauley-Stein misses free throw 2 of 2
10:39.0,Defensive rebound by I. Canaan,,93-89,,
10:25.0,J. Jackson misses 2-pt shot from 4 ft,,93-89,,
10:22.0,,,93-89,,Defensive rebound by W. Cauley-Stein
10:17.0,,,93-89,,Turnover by F. Mason (lost ball; steal by J. Jackson)
10:07.0,D. Bender misses 3-pt shot from 22 ft,,93-89,,
10:04.0,,,93-89,,Defensive rebound by B. Hield
9:47.0,,,93-91,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
9:24.0,T. Daniels misses 3-pt shot from 25 ft (block by B. Bogdanovic),,93-91,,
9:23.0,,,93-91,,Defensive rebound by K. Koufos
9:23.0,Personal foul by T. Daniels (drawn by K. Koufos),,93-91,,
9:23.0,D. Booker enters the game for T. Daniels,,93-91,,
9:15.0,Personal foul by D. Booker (drawn by B. Bogdanovic),,93-91,,
9:06.0,Personal foul by J. Jackson (drawn by F. Mason),,93-91,,
9:06.0,,,93-91,,Sacramento full timeout
9:06.0,T. Warren enters the game for J. Jackson,,93-91,,
8:53.0,,,93-91,,W. Cauley-Stein misses 2-pt shot from 3 ft (block by D. Bender)
8:48.0,,,93-91,,Offensive rebound by W. Cauley-Stein
8:47.0,,,93-94,3,F. Mason makes 3-pt shot from 26 ft (assist by W. Cauley-Stein)
8:32.0,D. Booker misses 2-pt shot from 10 ft,,93-94,,
8:32.0,,,93-94,,Defensive rebound by W. Cauley-Stein
8:06.0,,,93-94,,B. Hield misses 2-pt shot from 22 ft
8:06.0,Defensive rebound by A. Len,,93-94,,
8:00.0,D. Booker misses 3-pt shot from 25 ft,,93-94,,
8:00.0,,,93-94,,Defensive rebound by W. Cauley-Stein
7:39.0,Personal foul by D. Booker (drawn by B. Bogdanovic),,93-94,,
7:39.0,,,93-94,,B. Bogdanovic misses free throw 1 of 2
7:39.0,,,93-94,,Offensive rebound by Team
7:39.0,M. Chriss enters the game for I. Canaan,,93-94,,
7:39.0,T. Chandler enters the game for A. Len,,93-94,,
7:39.0,T. Ulis enters the game for D. Bender,,93-94,,
7:39.0,,,93-95,1,B. Bogdanovic makes free throw 2 of 2
7:27.0,D. Booker misses 3-pt shot from 25 ft,,93-95,,
7:23.0,Offensive rebound by M. Chriss,,93-95,,
7:13.0,T. Ulis misses 2-pt shot from 15 ft,,93-95,,
7:09.0,Offensive rebound by M. Chriss,,93-95,,
6:57.0,T. Warren misses 3-pt shot from 26 ft,,93-95,,
6:54.0,,,93-95,,Defensive rebound by F. Mason
6:51.0,,,93-95,,B. Hield misses 2-pt shot from 3 ft (block by M. Chriss)
6:51.0,Defensive rebound by T. Warren,,93-95,,
6:47.0,,,93-95,,Personal foul by F. Mason (drawn by M. Chriss)
6:28.0,T. Ulis misses 2-pt shot from 1 ft,,93-95,,
6:26.0,Offensive rebound by T. Chandler,,93-95,,
6:26.0,T. Chandler misses 2-pt shot at rim,,93-95,,
6:26.0,Offensive rebound by Team,,93-95,,
6:26.0,,,93-95,,Loose ball foul by B. Hield (drawn by T. Chandler)
6:22.0,T. Warren misses 2-pt shot from 13 ft,,93-95,,
6:19.0,,,93-95,,Defensive rebound by K. Koufos
6:06.0,Personal foul by T. Ulis (drawn by W. Cauley-Stein),,93-95,,
6:06.0,,,93-96,1,W. Cauley-Stein makes free throw 1 of 2
6:06.0,,,93-97,1,W. Cauley-Stein makes free throw 2 of 2
5:49.0,,,93-97,,Personal foul by B. Bogdanovic (drawn by T. Warren)
5:45.0,,,93-97,,Personal foul by B. Hield (drawn by D. Booker)
5:34.0,M. Chriss misses 2-pt shot from 12 ft,,93-97,,
5:33.0,Offensive rebound by Team,,93-97,,
5:33.0,,,93-97,,Loose ball foul by K. Koufos (drawn by T. Chandler)
5:33.0,T. Chandler makes free throw 1 of 2,1,94-97,,
5:33.0,T. Chandler makes free throw 2 of 2,1,95-97,,
5:13.0,,,95-97,,B. Bogdanovic misses 2-pt shot from 3 ft
5:07.0,Defensive rebound by T. Warren,,95-97,,
4:59.0,D. Booker makes 2-pt shot from 2 ft,2,97-97,,
4:38.0,,,97-97,,B. Hield misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by Team,,97-97,,
4:36.0,T. Daniels enters the game for T. Ulis,,97-97,,
4:28.0,Shooting foul by B. Hield (drawn by D. Booker),,97-97,,
4:28.0,D. Booker misses free throw 1 of 2,,97-97,,
4:28.0,Offensive rebound by Team,,97-97,,
4:28.0,,,97-97,,G. Hill enters the game for F. Mason
4:28.0,,,97-97,,G. Temple enters the game for B. Hield
4:28.0,,,97-97,,Z. Randolph enters the game for K. Koufos
4:28.0,D. Booker makes free throw 2 of 2,1,98-97,,
4:14.0,Personal foul by D. Booker (drawn by G. Hill),,98-97,,
4:14.0,,,98-98,1,G. Hill makes free throw 1 of 2
4:14.0,,,98-99,1,G. Hill makes free throw 2 of 2
3:59.0,Turnover by T. Chandler (offensive goaltending),,98-99,,
3:42.0,,,98-99,,Turnover by G. Temple (step out of bounds)
3:42.0,Phoenix full timeout,,98-99,,
3:29.0,T. Warren makes 2-pt shot from 4 ft,2,100-99,,
3:29.0,Shooting foul by B. Bogdanovic (drawn by T. Warren),,100-99,,
3:29.0,T. Warren makes free throw 1 of 1,1,101-99,,
3:07.0,,,101-99,,Z. Randolph misses 2-pt shot from 6 ft
3:03.0,,,101-99,,Offensive rebound by W. Cauley-Stein
3:02.0,,,101-99,,W. Cauley-Stein misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by D. Booker,,101-99,,
2:51.0,,,101-99,,Personal foul by Z. Randolph (drawn by D. Booker)
2:51.0,D. Booker makes free throw 1 of 2,1,102-99,,
2:51.0,D. Booker makes free throw 2 of 2,1,103-99,,
2:44.0,Personal foul by T. Daniels (drawn by G. Hill),,103-99,,
2:44.0,,,103-99,,G. Hill misses free throw 1 of 2
2:44.0,,,103-99,,Offensive rebound by Team
2:44.0,,,103-99,,B. Hield enters the game for Z. Randolph
2:44.0,,,103-99,,G. Hill misses free throw 2 of 2
