time,Minnesota,pts.away,score,pts.home,Milwaukee
8:40.0,Minnesota full timeout,,35-30,,
8:24.0,Offensive charge foul by N. Bjelica (drawn by K. Middleton),,35-30,,
8:24.0,Turnover by N. Bjelica (offensive foul),,35-30,,
8:07.0,,,35-30,,T. Snell misses 2-pt shot from 3 ft
8:04.0,Defensive rebound by G. Dieng,,35-30,,
8:02.0,Shooting foul by J. Terry (drawn by J. Crawford),,35-30,,
8:02.0,J. Crawford makes free throw 1 of 3,1,36-30,,
8:02.0,J. Crawford makes free throw 2 of 3,1,37-30,,
8:02.0,T. Gibson enters the game for G. Dieng,,37-30,,
8:02.0,J. Crawford makes free throw 3 of 3,1,38-30,,
7:47.0,,,38-32,2,E. Bledsoe makes 2-pt shot from 8 ft
7:34.0,Shooting foul by J. Terry (drawn by T. Gibson),,38-32,,
7:34.0,T. Gibson makes free throw 1 of 2,1,39-32,,
7:34.0,,,39-32,,G. Antetokounmpo enters the game for J. Terry
7:34.0,T. Jones enters the game for N. Bjelica,,39-32,,
7:34.0,J. Butler enters the game for A. Brooks,,39-32,,
7:34.0,T. Gibson misses free throw 2 of 2,,39-32,,
7:31.0,,,39-32,,Defensive rebound by J. Henson
7:13.0,,,39-32,,E. Bledsoe misses 2-pt shot from 3 ft
7:11.0,Defensive rebound by K. Towns,,39-32,,
7:00.0,J. Crawford misses 2-pt shot from 3 ft,,39-32,,
6:57.0,,,39-32,,Defensive rebound by G. Antetokounmpo
6:51.0,,,39-32,,Turnover by E. Bledsoe (bad pass; steal by T. Jones)
6:45.0,K. Towns makes 2-pt shot from 18 ft (assist by T. Jones),2,41-32,,
6:44.0,,,41-32,,Milwaukee full timeout
6:44.0,,,41-32,,T. Maker enters the game for J. Henson
6:23.0,,,41-34,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by T. Maker)
6:05.0,K. Towns makes 3-pt shot from 24 ft (assist by J. Butler),3,44-34,,
5:45.0,,,44-34,,T. Snell misses 2-pt shot from 17 ft
5:43.0,Defensive rebound by J. Butler,,44-34,,
5:38.0,T. Gibson makes 2-pt shot at rim (assist by J. Crawford),2,46-34,,
5:25.0,,,46-36,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
5:04.0,J. Crawford makes 2-pt shot from 17 ft (assist by J. Butler),2,48-36,,
4:35.0,,,48-38,2,E. Bledsoe makes 2-pt shot from 9 ft
4:09.0,Turnover by J. Crawford (lost ball; steal by T. Snell),,48-38,,
4:04.0,,,48-38,,K. Middleton misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by J. Butler,,48-38,,
3:48.0,T. Jones misses 3-pt shot from 26 ft,,48-38,,
3:45.0,,,48-38,,Defensive rebound by K. Middleton
3:39.0,,,48-38,,T. Maker misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by T. Gibson,,48-38,,
3:24.0,J. Butler misses 3-pt shot from 28 ft,,48-38,,
3:19.0,,,48-38,,Defensive rebound by E. Bledsoe
3:19.0,,,48-38,,Turnover by E. Bledsoe (bad pass)
3:19.0,,,48-38,,M. Brogdon enters the game for E. Bledsoe
3:19.0,A. Wiggins enters the game for J. Crawford,,48-38,,
2:58.0,A. Wiggins makes 2-pt shot from 19 ft,2,50-38,,
2:35.0,,,50-40,2,K. Middleton makes 2-pt shot from 10 ft
2:17.0,Shooting foul by M. Brogdon (drawn by T. Gibson),,50-40,,
2:17.0,T. Gibson makes free throw 1 of 2,1,51-40,,
2:17.0,T. Gibson misses free throw 2 of 2,,51-40,,
2:14.0,,,51-40,,Defensive rebound by G. Antetokounmpo
2:06.0,,,51-40,,T. Snell misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by K. Towns,,51-40,,
1:48.0,A. Wiggins misses 2-pt shot from 18 ft,,51-40,,
1:45.0,,,51-40,,Defensive rebound by K. Middleton
1:36.0,,,51-40,,Shooting foul by A. Wiggins (drawn by T. Snell)
1:36.0,,,51-41,1,T. Snell makes free throw 1 of 2
1:36.0,,,51-42,1,T. Snell makes free throw 2 of 2
1:18.0,J. Butler misses 2-pt shot from 6 ft,,51-42,,
1:15.0,,,51-42,,Defensive rebound by G. Antetokounmpo
1:09.0,,,51-42,,G. Antetokounmpo misses 2-pt shot from 1 ft
1:07.0,Defensive rebound by K. Towns,,51-42,,
1:03.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler),2,53-42,,
0:44.0,Personal foul by T. Jones (drawn by M. Brogdon),,53-42,,
0:44.0,,,53-43,1,M. Brogdon makes free throw 1 of 2
0:44.0,,,53-44,1,M. Brogdon makes free throw 2 of 2
0:34.0,K. Towns misses 3-pt shot from 27 ft,,53-44,,
0:32.0,,,53-44,,Defensive rebound by T. Snell
0:32.0,,,53-44,,Turnover by T. Snell (traveling)
0:25.0,A. Wiggins makes 3-pt shot from 27 ft (assist by J. Butler),3,56-44,,
0:02.0,,,56-46,2,M. Brogdon makes 2-pt shot from 6 ft
0:00.0,T. Jones misses 3-pt shot from 56 ft,,56-46,,
0:00.0,Offensive rebound by Team,,56-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,T. Gibson makes 2-pt shot from 5 ft,2,58-46,,
11:26.0,,,58-46,,G. Antetokounmpo misses 2-pt shot from 21 ft
11:23.0,Defensive rebound by T. Jones,,58-46,,
11:06.0,T. Gibson makes 2-pt shot at rim (assist by K. Towns),2,60-46,,
10:40.0,,,60-48,2,J. Henson makes 2-pt shot from 5 ft (assist by T. Snell)
10:23.0,Shooting foul by K. Middleton (drawn by K. Towns),,60-48,,
10:23.0,K. Towns makes free throw 1 of 2,1,61-48,,
10:23.0,,,61-48,,M. Brogdon enters the game for G. Antetokounmpo
10:23.0,K. Towns makes free throw 2 of 2,1,62-48,,
10:07.0,,,62-48,,M. Brogdon misses 3-pt shot from 23 ft
10:05.0,Defensive rebound by T. Jones,,62-48,,
9:49.0,Shooting foul by M. Brogdon (drawn by A. Wiggins),,62-48,,
9:49.0,A. Wiggins makes free throw 1 of 2,1,63-48,,
9:49.0,A. Wiggins misses free throw 2 of 2,,63-48,,
9:45.0,,,63-48,,Defensive rebound by K. Middleton
9:27.0,,,63-48,,Turnover by E. Bledsoe (bad pass; steal by T. Jones)
9:25.0,Shooting foul by J. Henson (drawn by T. Jones),,63-48,,
9:25.0,T. Jones makes free throw 1 of 2,1,64-48,,
9:25.0,T. Jones makes free throw 2 of 2,1,65-48,,
9:11.0,,,65-50,2,J. Henson makes 2-pt shot from 4 ft (assist by E. Bledsoe)
8:48.0,K. Towns misses 3-pt shot from 27 ft,,65-50,,
8:44.0,Offensive rebound by T. Gibson,,65-50,,
8:41.0,K. Towns makes 2-pt shot from 4 ft (assist by T. Jones),2,67-50,,
8:41.0,Shooting foul by J. Henson (drawn by K. Towns),,67-50,,
8:41.0,K. Towns misses free throw 1 of 1,,67-50,,
8:38.0,,,67-50,,Defensive rebound by J. Henson
8:31.0,,,67-52,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Brogdon)
8:09.0,J. Butler makes 2-pt shot from 11 ft (assist by T. Jones),2,69-52,,
7:52.0,,,69-54,2,J. Henson makes 2-pt shot from 18 ft (assist by K. Middleton)
7:38.0,A. Wiggins makes 3-pt shot from 27 ft (assist by J. Butler),3,72-54,,
7:26.0,,,72-54,,T. Snell misses 3-pt shot from 22 ft
7:23.0,Defensive rebound by K. Towns,,72-54,,
7:13.0,K. Towns makes 2-pt shot at rim (assist by J. Butler),2,74-54,,
7:13.0,,,74-54,,Milwaukee full timeout
7:13.0,,,74-54,,G. Antetokounmpo enters the game for T. Snell
6:52.0,,,74-54,,Turnover by M. Brogdon (bad pass; steal by J. Butler)
6:42.0,Turnover by J. Butler (bad pass),,74-54,,
6:36.0,J. Crawford enters the game for A. Wiggins,,74-54,,
6:29.0,,,74-57,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
6:06.0,J. Butler makes 2-pt shot from 12 ft,2,76-57,,
5:48.0,,,76-59,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Brogdon)
5:22.0,J. Crawford misses 3-pt shot from 27 ft,,76-59,,
5:19.0,,,76-59,,Defensive rebound by J. Henson
5:12.0,,,76-59,,Shooting foul by J. Crawford (drawn by E. Bledsoe)
5:12.0,,,76-60,1,E. Bledsoe makes free throw 1 of 2
5:12.0,,,76-61,1,E. Bledsoe makes free throw 2 of 2
4:51.0,J. Butler makes 2-pt shot from 16 ft,2,78-61,,
4:41.0,,,78-61,,G. Antetokounmpo misses 2-pt shot from 7 ft
4:35.0,,,78-61,,Offensive rebound by G. Antetokounmpo
4:35.0,,,78-63,2,G. Antetokounmpo makes 2-pt shot at rim
4:14.0,J. Crawford misses 3-pt shot from 30 ft,,78-63,,
4:14.0,Offensive rebound by Team,,78-63,,
4:14.0,Turnover by Team (shot clock),,78-63,,
4:00.0,,,78-66,3,M. Brogdon makes 3-pt shot from 22 ft (assist by E. Bledsoe)
4:00.0,Minnesota full timeout,,78-66,,
4:00.0,G. Dieng enters the game for K. Towns,,78-66,,
3:37.0,Turnover by J. Crawford (lost ball; steal by K. Middleton),,78-66,,
3:31.0,,,78-66,,K. Middleton misses 2-pt shot from 2 ft
3:29.0,Defensive rebound by G. Dieng,,78-66,,
3:14.0,G. Dieng misses 2-pt shot from 19 ft,,78-66,,
3:10.0,,,78-66,,Defensive rebound by M. Brogdon
3:04.0,,,78-66,,M. Brogdon misses 2-pt shot from 18 ft
3:00.0,Defensive rebound by G. Dieng,,78-66,,
2:44.0,Turnover by J. Butler (bad pass; steal by J. Henson),,78-66,,
2:36.0,,,78-66,,K. Middleton misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by J. Crawford,,78-66,,
2:31.0,Turnover by J. Crawford (bad pass; steal by E. Bledsoe),,78-66,,
2:18.0,,,78-66,,Turnover by M. Brogdon (turnover)
2:02.0,Turnover by J. Butler (bad pass; steal by E. Bledsoe),,78-66,,
1:57.0,,,78-68,2,E. Bledsoe makes 2-pt shot from 1 ft
1:39.0,J. Crawford makes 2-pt shot from 14 ft,2,80-68,,
1:23.0,,,80-68,,Shooting foul by J. Crawford (drawn by E. Bledsoe)
1:23.0,,,80-69,1,E. Bledsoe makes free throw 1 of 3
1:23.0,,,80-70,1,E. Bledsoe makes free throw 2 of 3
1:23.0,,,80-70,,T. Maker enters the game for J. Henson
1:23.0,A. Wiggins enters the game for J. Butler,,80-70,,
1:23.0,N. Bjelica enters the game for T. Gibson,,80-70,,
1:23.0,,,80-71,1,E. Bledsoe makes free throw 3 of 3
0:59.0,T. Jones makes 2-pt shot from 9 ft,2,82-71,,
0:46.0,,,82-73,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
0:36.0,J. Crawford misses 2-pt shot from 14 ft,,82-73,,
0:29.0,Offensive rebound by G. Dieng,,82-73,,
0:29.0,G. Dieng misses 2-pt shot at rim,,82-73,,
0:29.0,,,82-73,,Defensive rebound by T. Maker
0:29.0,,,82-75,2,G. Antetokounmpo makes 2-pt shot at rim
0:10.0,A. Wiggins makes 2-pt shot from 1 ft,2,84-75,,
0:01.0,,,84-75,,K. Middleton misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by T. Jones,,84-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,84-75,,Turnover by T. Snell (bad pass)
11:17.0,Turnover by A. Wiggins (bad pass; steal by M. Brogdon),,84-75,,
11:13.0,,,84-77,2,M. Brogdon makes 2-pt shot from 1 ft
10:55.0,Shooting foul by T. Maker (drawn by J. Butler),,84-77,,
10:55.0,J. Butler makes free throw 1 of 2,1,85-77,,
10:55.0,J. Butler makes free throw 2 of 2,1,86-77,,
10:32.0,,,86-79,2,M. Dellavedova makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
10:13.0,A. Wiggins misses 3-pt shot from 28 ft,,86-79,,
10:09.0,Offensive rebound by G. Dieng,,86-79,,
9:51.0,J. Butler misses 2-pt shot from 7 ft,,86-79,,
9:48.0,,,86-79,,Defensive rebound by G. Antetokounmpo
9:44.0,,,86-81,2,G. Antetokounmpo makes 2-pt shot from 1 ft
9:41.0,Minnesota full timeout,,86-81,,
9:41.0,K. Towns enters the game for T. Jones,,86-81,,
9:41.0,T. Gibson enters the game for G. Dieng,,86-81,,
9:26.0,J. Crawford misses 3-pt shot from 24 ft,,86-81,,
9:23.0,,,86-81,,Defensive rebound by T. Snell
9:17.0,,,86-83,2,T. Maker makes 2-pt shot from 1 ft (assist by M. Brogdon)
8:53.0,A. Wiggins misses 2-pt shot from 2 ft,,86-83,,
8:53.0,Offensive rebound by J. Butler,,86-83,,
8:52.0,J. Butler misses 2-pt shot from 14 ft,,86-83,,
8:52.0,Offensive rebound by Team,,86-83,,
8:52.0,Turnover by Team (shot clock),,86-83,,
8:43.0,,,86-85,2,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova)
8:20.0,J. Butler makes 2-pt shot from 7 ft,2,88-85,,
7:54.0,,,88-85,,Turnover by Team (shot clock)
7:41.0,J. Crawford misses 2-pt shot from 15 ft,,88-85,,
7:38.0,,,88-85,,Defensive rebound by T. Maker
7:31.0,,,88-85,,Offensive foul by G. Antetokounmpo (drawn by J. Crawford)
7:31.0,,,88-85,,Turnover by G. Antetokounmpo (offensive foul)
7:31.0,,,88-85,,K. Middleton enters the game for T. Maker
7:31.0,,,88-85,,J. Henson enters the game for T. Snell
7:31.0,T. Jones enters the game for J. Crawford,,88-85,,
7:23.0,K. Towns misses 3-pt shot from 28 ft,,88-85,,
7:19.0,,,88-85,,Defensive rebound by K. Middleton
7:05.0,,,88-88,3,K. Middleton makes 3-pt shot from 23 ft (assist by M. Dellavedova)
6:47.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,90-88,,
6:47.0,Shooting foul by G. Antetokounmpo (drawn by T. Gibson),,90-88,,
6:47.0,,,90-88,,E. Bledsoe enters the game for M. Dellavedova
6:47.0,T. Gibson misses free throw 1 of 1,,90-88,,
6:43.0,,,90-88,,Defensive rebound by G. Antetokounmpo
6:34.0,,,90-88,,M. Brogdon misses 2-pt shot from 2 ft (block by T. Gibson)
6:30.0,,,90-88,,Offensive rebound by M. Brogdon
6:19.0,,,90-90,2,G. Antetokounmpo makes 2-pt shot from 12 ft
6:07.0,J. Butler misses 2-pt shot from 8 ft,,90-90,,
6:04.0,,,90-90,,Defensive rebound by M. Brogdon
5:50.0,,,90-90,,Turnover by G. Antetokounmpo (lost ball; steal by K. Towns)
5:32.0,Turnover by K. Towns (bad pass),,90-90,,
5:18.0,,,90-90,,G. Antetokounmpo misses 2-pt shot from 3 ft
5:12.0,,,90-90,,Offensive rebound by G. Antetokounmpo
5:12.0,,,90-90,,G. Antetokounmpo misses 2-pt shot at rim
5:11.0,Defensive rebound by T. Gibson,,90-90,,
4:57.0,Turnover by T. Jones (turnover),,90-90,,
4:57.0,Minnesota full timeout,,90-90,,
4:57.0,J. Crawford enters the game for T. Jones,,90-90,,
4:43.0,,,90-90,,E. Bledsoe misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by T. Gibson,,90-90,,
4:19.0,K. Towns makes 3-pt shot from 26 ft (assist by J. Crawford),3,93-90,,
4:01.0,,,93-90,,G. Antetokounmpo misses 2-pt shot from 1 ft
3:58.0,,,93-90,,Offensive rebound by M. Brogdon
3:56.0,,,93-92,2,M. Brogdon makes 2-pt shot from 18 ft
3:33.0,J. Crawford misses 2-pt shot from 7 ft,,93-92,,
3:27.0,Offensive rebound by J. Butler,,93-92,,
3:25.0,J. Butler misses 3-pt shot from 26 ft,,93-92,,
3:25.0,,,93-92,,Defensive rebound by K. Middleton
3:22.0,Personal foul by J. Butler (drawn by G. Antetokounmpo),,93-92,,
3:02.0,,,93-92,,E. Bledsoe misses 2-pt shot from 2 ft (block by J. Crawford)
3:02.0,,,93-92,,Offensive rebound by Team
2:58.0,,,93-92,,M. Brogdon misses 2-pt shot from 7 ft
2:54.0,Defensive rebound by T. Gibson,,93-92,,
2:35.0,T. Gibson misses 2-pt shot from 6 ft,,93-92,,
2:35.0,,,93-92,,Defensive rebound by K. Middleton
2:25.0,,,93-95,3,E. Bledsoe makes 3-pt shot from 22 ft (assist by G. Antetokounmpo)
2:25.0,Minnesota full timeout,,93-95,,
2:25.0,T. Jones enters the game for J. Crawford,,93-95,,
2:07.0,,,93-95,,Personal foul by K. Middleton (drawn by J. Butler)
2:00.0,J. Butler misses 3-pt shot from 26 ft,,93-95,,
1:57.0,,,93-95,,Defensive rebound by G. Antetokounmpo
1:46.0,,,93-97,2,E. Bledsoe makes 2-pt shot from 1 ft
1:46.0,,,93-97,,Shooting foul by T. Jones (drawn by E. Bledsoe)
1:46.0,,,93-98,1,E. Bledsoe makes free throw 1 of 1
1:25.0,A. Wiggins misses 3-pt shot from 30 ft,,93-98,,
1:21.0,,,93-98,,Defensive rebound by E. Bledsoe
1:04.0,,,93-100,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe)
1:04.0,Minnesota full timeout,,93-100,,
0:47.0,K. Towns misses 3-pt shot from 26 ft,,93-100,,
0:41.0,,,93-100,,Defensive rebound by E. Bledsoe
0:36.0,,,93-102,2,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe)
0:27.0,J. Butler misses 3-pt shot from 28 ft,,93-102,,
0:22.0,,,93-102,,Defensive rebound by M. Brogdon
0:01.0,,,93-102,,Turnover by Team (shot clock)
0:00.0,J. Butler makes 3-pt shot from 29 ft (assist by K. Towns),3,96-102,,
