time,Oklahoma City,pts.away,score,pts.home,Chicago
3:33.0,,,22-16,,R. Lopez misses 2-pt shot from 19 ft
3:30.0,Defensive rebound by Team,,22-16,,
3:30.0,,,22-16,,Personal foul by D. Valentine (drawn by A. Abrines)
3:30.0,,,22-16,,Q. Pondexter enters the game for J. Grant
3:30.0,,,22-16,,K. Dunn enters the game for L. Markkanen
3:15.0,Turnover by R. Westbrook (bad pass; steal by J. Holiday),,22-16,,
2:58.0,,,22-16,,Q. Pondexter misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by P. George,,22-16,,
2:49.0,A. Abrines misses 3-pt shot from 25 ft,,22-16,,
2:46.0,S. Adams makes 2-pt shot at rim,2,24-16,,
2:36.0,Offensive rebound by S. Adams,,24-16,,
2:30.0,,,24-16,,J. Holiday misses 2-pt shot from 16 ft
2:25.0,,,24-16,,Offensive rebound by J. Holiday
2:20.0,R. Felton enters the game for R. Westbrook,,24-16,,
2:20.0,P. Patterson enters the game for S. Adams,,24-16,,
2:15.0,,,24-19,3,J. Holiday makes 3-pt shot from 26 ft (assist by D. Valentine)
1:56.0,A. Abrines misses 3-pt shot from 26 ft,,24-19,,
1:52.0,,,24-19,,Defensive rebound by Q. Pondexter
1:48.0,Violation by R. Felton (kicked ball),,24-19,,
1:48.0,C. Anthony enters the game for P. George,,24-19,,
1:34.0,,,24-19,,R. Lopez misses 2-pt shot from 9 ft
1:31.0,Defensive rebound by R. Felton,,24-19,,
1:28.0,,,24-19,,Personal foul by K. Dunn (drawn by R. Felton)
1:28.0,,,24-19,,C. Felicio enters the game for R. Lopez
1:25.0,,,24-19,,Personal foul by Q. Pondexter (drawn by C. Anthony)
1:25.0,C. Anthony makes free throw 1 of 2,1,25-19,,
1:25.0,C. Anthony makes free throw 2 of 2,1,26-19,,
1:04.0,,,26-19,,K. Dunn misses 2-pt shot from 13 ft
1:00.0,Defensive rebound by P. Patterson,,26-19,,
0:51.0,C. Anthony misses 2-pt shot from 11 ft,,26-19,,
0:46.0,,,26-19,,Defensive rebound by C. Felicio
0:35.0,,,26-22,3,D. Valentine makes 3-pt shot from 24 ft (assist by K. Dunn)
0:29.0,Turnover by R. Felton (lost ball; steal by K. Dunn),,26-22,,
0:25.0,,,26-22,,Shooting foul by A. Abrines (drawn by Q. Pondexter)
0:25.0,,,26-22,,Q. Pondexter misses free throw 1 of 2
0:25.0,,,26-22,,Offensive rebound by Team
0:25.0,,,26-23,1,Q. Pondexter makes free throw 2 of 2
0:03.0,C. Anthony misses 2-pt shot from 13 ft,,26-23,,
0:00.0,,,26-23,,Defensive rebound by Q. Pondexter
0:00.0,,,26-23,,Q. Pondexter misses 3-pt shot from 48 ft
0:00.0,,,26-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-23,,Turnover by K. Dunn (bad pass; steal by P. Patterson)
11:28.0,C. Anthony makes 2-pt shot from 1 ft (assist by R. Felton),2,28-23,,
11:16.0,,,28-23,,D. Valentine misses 2-pt shot from 12 ft
11:12.0,Defensive rebound by J. Grant,,28-23,,
11:05.0,R. Felton makes 3-pt shot from 25 ft (assist by C. Anthony),3,31-23,,
10:45.0,,,31-23,,K. Dunn misses 2-pt shot from 3 ft
10:42.0,Defensive rebound by C. Anthony,,31-23,,
10:29.0,R. Felton misses 3-pt shot from 25 ft,,31-23,,
10:24.0,,,31-23,,Defensive rebound by C. Felicio
10:10.0,,,31-23,,Turnover by C. Felicio (bad pass; steal by R. Felton)
9:56.0,P. Patterson misses 3-pt shot from 25 ft,,31-23,,
9:52.0,,,31-23,,Defensive rebound by D. Nwaba
9:44.0,,,31-23,,D. Nwaba misses 2-pt shot from 6 ft
9:43.0,Defensive rebound by Team,,31-23,,
9:31.0,Shooting foul by K. Dunn (drawn by R. Felton),,31-23,,
9:31.0,R. Felton misses free throw 1 of 2,,31-23,,
9:31.0,Offensive rebound by Team,,31-23,,
9:31.0,R. Felton makes free throw 2 of 2,1,32-23,,
9:16.0,,,32-23,,D. Valentine misses 2-pt shot from 9 ft
9:14.0,,,32-23,,Offensive rebound by D. Valentine
8:59.0,,,32-23,,K. Dunn misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by R. Felton,,32-23,,
8:52.0,C. Anthony misses 3-pt shot from 25 ft,,32-23,,
8:49.0,,,32-23,,Defensive rebound by C. Felicio
8:37.0,,,32-23,,Turnover by D. Valentine (traveling)
8:37.0,R. Westbrook enters the game for A. Roberson,,32-23,,
8:23.0,J. Grant makes 2-pt shot from 1 ft (assist by C. Anthony),2,34-23,,
8:23.0,Shooting foul by K. Dunn (drawn by J. Grant),,34-23,,
8:23.0,,,34-23,,P. Zipser enters the game for Q. Pondexter
8:23.0,,,34-23,,L. Markkanen enters the game for K. Dunn
8:23.0,,,34-23,,J. Grant enters the game for D. Valentine
8:23.0,P. George enters the game for R. Felton,,34-23,,
8:23.0,S. Adams enters the game for P. Patterson,,34-23,,
8:23.0,J. Grant makes free throw 1 of 1,1,35-23,,
7:59.0,,,35-25,2,C. Felicio makes 2-pt shot from 1 ft
7:48.0,Shooting foul by D. Nwaba (drawn by R. Westbrook),,35-25,,
7:48.0,R. Westbrook makes free throw 1 of 2,1,36-25,,
7:48.0,J. Huestis enters the game for J. Grant,,36-25,,
7:48.0,R. Westbrook misses free throw 2 of 2,,36-25,,
7:43.0,Offensive rebound by R. Westbrook,,36-25,,
7:40.0,P. George makes 3-pt shot from 26 ft,3,39-25,,
7:39.0,,,39-25,,Chicago full timeout
7:39.0,,,39-25,,J. Holiday enters the game for D. Nwaba
7:39.0,R. Felton enters the game for C. Anthony,,39-25,,
7:20.0,,,39-25,,P. Zipser misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by R. Felton,,39-25,,
7:07.0,J. Huestis misses 3-pt shot from 25 ft,,39-25,,
7:05.0,,,39-25,,Defensive rebound by J. Holiday
6:50.0,,,39-25,,J. Grant misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by R. Westbrook,,39-25,,
6:26.0,S. Adams misses 2-pt shot from 7 ft,,39-25,,
6:23.0,,,39-25,,Defensive rebound by P. Zipser
6:12.0,,,39-25,,Turnover by J. Holiday (bad pass; steal by R. Felton)
6:04.0,P. George misses 2-pt shot from 20 ft,,39-25,,
6:00.0,,,39-25,,Defensive rebound by C. Felicio
5:43.0,,,39-25,,J. Grant misses 3-pt shot from 24 ft
5:38.0,Defensive rebound by R. Westbrook,,39-25,,
5:33.0,R. Felton makes 3-pt shot from 26 ft (assist by R. Westbrook),3,42-25,,
5:10.0,,,42-25,,Turnover by J. Holiday (lost ball; steal by P. George)
5:04.0,P. George misses 2-pt shot from 12 ft,,42-25,,
4:59.0,,,42-25,,Defensive rebound by L. Markkanen
4:51.0,,,42-25,,J. Holiday misses 2-pt shot from 21 ft
4:48.0,,,42-25,,Offensive rebound by L. Markkanen
4:46.0,,,42-25,,Turnover by P. Zipser (lost ball; steal by P. George)
4:42.0,P. George makes 2-pt shot at rim (assist by R. Felton),2,44-25,,
4:42.0,,,44-25,,Chicago full timeout
4:42.0,,,44-25,,R. Lopez enters the game for C. Felicio
4:20.0,,,44-25,,Shooting foul by P. George (drawn by J. Grant)
4:20.0,,,44-26,1,J. Grant makes free throw 1 of 3
4:20.0,,,44-27,1,J. Grant makes free throw 2 of 3
4:20.0,,,44-27,,D. Valentine enters the game for P. Zipser
4:20.0,,,44-27,,J. Grant misses free throw 3 of 3
4:20.0,Violation by R. Westbrook (lane),,44-27,,
4:15.0,Offensive rebound by R. Felton,,44-27,,
4:00.0,R. Westbrook misses 2-pt shot from 11 ft,,44-27,,
3:56.0,,,44-27,,Defensive rebound by D. Valentine
3:49.0,,,44-27,,L. Markkanen misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by S. Adams,,44-27,,
3:30.0,P. George misses 2-pt shot from 20 ft,,44-27,,
3:27.0,,,44-27,,Defensive rebound by D. Valentine
3:20.0,,,44-27,,J. Holiday misses 3-pt shot from 23 ft
3:14.0,Defensive rebound by R. Westbrook,,44-27,,
3:08.0,Oklahoma City full timeout,,44-27,,
3:08.0,C. Anthony enters the game for R. Felton,,44-27,,
3:00.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,46-27,,
2:44.0,,,46-27,,Shooting foul by J. Huestis (drawn by L. Markkanen)
2:44.0,,,46-28,1,L. Markkanen makes free throw 1 of 2
2:44.0,,,46-29,1,L. Markkanen makes free throw 2 of 2
2:32.0,R. Westbrook makes 2-pt shot from 2 ft,2,48-29,,
2:16.0,,,48-29,,J. Holiday misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by R. Westbrook,,48-29,,
2:01.0,S. Adams misses 2-pt shot from 1 ft (block by R. Lopez),,48-29,,
1:53.0,,,48-29,,Defensive rebound by D. Valentine
1:50.0,,,48-29,,J. Grant misses 3-pt shot from 22 ft
1:49.0,,,48-31,2,R. Lopez makes 2-pt shot at rim
1:40.0,,,48-31,,Offensive rebound by R. Lopez
1:35.0,P. George misses 2-pt shot from 21 ft,,48-31,,
1:35.0,Offensive rebound by S. Adams,,48-31,,
1:22.0,,,48-31,,K. Dunn enters the game for J. Grant
1:12.0,C. Anthony misses 3-pt shot from 25 ft,,48-31,,
1:09.0,Offensive rebound by R. Westbrook,,48-31,,
1:05.0,J. Huestis misses 3-pt shot from 25 ft,,48-31,,
1:05.0,Offensive rebound by Team,,48-31,,
1:05.0,,,48-31,,Loose ball foul by R. Lopez (drawn by R. Westbrook)
0:56.0,C. Anthony misses 2-pt shot from 20 ft,,48-31,,
0:52.0,,,48-31,,Defensive rebound by K. Dunn
0:50.0,,,48-31,,Turnover by K. Dunn (bad pass)
0:34.0,R. Westbrook misses 2-pt shot from 20 ft,,48-31,,
0:33.0,,,48-31,,Defensive rebound by L. Markkanen
0:33.0,Personal foul by R. Westbrook,,48-31,,
0:33.0,Technical foul by R. Westbrook,,48-31,,
0:33.0,,,48-31,,J. Holiday misses technical free throw
0:33.0,,,48-31,,Offensive rebound by Team
0:27.0,,,48-31,,Turnover by K. Dunn (lost ball; steal by R. Westbrook)
0:24.0,R. Westbrook makes 2-pt shot from 2 ft (assist by S. Adams),2,50-31,,
0:03.0,,,50-31,,D. Valentine misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by P. George,,50-31,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,50-33,2,R. Lopez makes 2-pt shot from 9 ft (assist by J. Holiday)
11:24.0,Turnover by R. Westbrook (bad pass; steal by P. Zipser),,50-33,,
11:22.0,Personal foul by A. Roberson (drawn by J. Holiday),,50-33,,
11:02.0,,,50-36,3,L. Markkanen makes 3-pt shot from 25 ft (assist by R. Lopez)
10:44.0,P. George makes 2-pt shot from 2 ft,2,52-36,,
10:18.0,,,52-36,,P. Zipser misses 3-pt shot from 25 ft
10:18.0,,,52-36,,Offensive rebound by Team
10:18.0,,,52-36,,Turnover by Team (shot clock)
10:06.0,R. Westbrook misses 3-pt shot from 24 ft,,52-36,,
10:05.0,,,52-36,,Defensive rebound by J. Holiday
10:05.0,Personal foul by P. George (drawn by J. Holiday),,52-36,,
9:47.0,,,52-36,,P. Zipser misses 2-pt shot from 18 ft
9:41.0,Defensive rebound by R. Westbrook,,52-36,,
9:36.0,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook),3,55-36,,
9:16.0,,,55-36,,J. Holiday misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by P. George,,55-36,,
9:02.0,C. Anthony misses 2-pt shot from 21 ft,,55-36,,
8:58.0,Turnover by S. Adams (traveling),,55-36,,
8:57.0,Offensive rebound by S. Adams,,55-36,,
8:43.0,,,55-36,,J. Grant misses 3-pt shot from 25 ft
8:38.0,,,55-36,,Offensive rebound by J. Grant
8:38.0,,,55-36,,J. Holiday misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by R. Westbrook,,55-36,,
8:29.0,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook),3,58-36,,
8:28.0,,,58-36,,Chicago full timeout
8:09.0,,,58-38,2,J. Holiday makes 2-pt shot from 20 ft (assist by J. Grant)
7:50.0,R. Westbrook misses 3-pt shot from 26 ft,,58-38,,
7:47.0,,,58-38,,Defensive rebound by P. Zipser
7:44.0,Personal foul by R. Westbrook (drawn by J. Grant),,58-38,,
7:37.0,,,58-38,,J. Holiday misses 2-pt shot from 20 ft
7:33.0,Defensive rebound by C. Anthony,,58-38,,
7:28.0,C. Anthony misses 3-pt shot from 24 ft,,58-38,,
7:24.0,,,58-38,,Defensive rebound by J. Holiday
7:11.0,,,58-38,,Offensive foul by P. Zipser (drawn by C. Anthony)
7:11.0,,,58-38,,Turnover by P. Zipser (offensive foul)
6:59.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,60-38,,
6:48.0,Personal foul by A. Roberson (drawn by L. Markkanen),,60-38,,
6:36.0,,,60-38,,R. Lopez misses 2-pt shot from 9 ft
6:33.0,Defensive rebound by R. Westbrook,,60-38,,
6:31.0,R. Westbrook makes 2-pt shot from 1 ft,2,62-38,,
6:31.0,Shooting foul by J. Grant (drawn by R. Westbrook),,62-38,,
6:31.0,,,62-38,,K. Dunn enters the game for J. Grant
6:31.0,,,62-38,,D. Valentine enters the game for P. Zipser
6:31.0,R. Westbrook makes free throw 1 of 1,1,63-38,,
6:17.0,,,63-38,,L. Markkanen misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by S. Adams,,63-38,,
5:59.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,65-38,,
5:32.0,,,65-38,,J. Holiday misses 2-pt shot from 5 ft
5:28.0,,,65-38,,Offensive rebound by J. Holiday
5:27.0,,,65-38,,Turnover by J. Holiday (bad pass; steal by P. George)
5:21.0,R. Westbrook misses 2-pt shot at rim,,65-38,,
5:16.0,,,65-38,,Defensive rebound by L. Markkanen
5:10.0,,,65-38,,K. Dunn misses 2-pt shot from 1 ft
5:10.0,,,65-38,,Offensive rebound by K. Dunn
5:05.0,Oklahoma City full timeout,,65-38,,
5:05.0,J. Grant enters the game for C. Anthony,,65-38,,
5:04.0,,,65-40,2,K. Dunn makes 2-pt shot from 22 ft
4:52.0,A. Roberson makes 3-pt shot from 24 ft (assist by R. Westbrook),3,68-40,,
4:38.0,Personal foul by J. Grant (drawn by R. Lopez),,68-40,,
4:38.0,,,68-41,1,R. Lopez makes free throw 1 of 2
4:38.0,,,68-42,1,R. Lopez makes free throw 2 of 2
4:26.0,P. George makes 2-pt shot from 18 ft (assist by R. Westbrook),2,70-42,,
4:05.0,,,70-45,3,J. Holiday makes 3-pt shot from 23 ft (assist by K. Dunn)
3:41.0,P. George makes 2-pt shot from 18 ft,2,72-45,,
3:17.0,,,72-45,,J. Holiday misses 3-pt shot from 27 ft
3:13.0,Defensive rebound by J. Grant,,72-45,,
3:06.0,J. Grant misses 2-pt shot from 6 ft (block by K. Dunn),,72-45,,
3:01.0,Offensive rebound by S. Adams,,72-45,,
2:58.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,74-45,,
2:34.0,,,74-45,,D. Valentine misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by R. Westbrook,,74-45,,
2:27.0,P. George misses 3-pt shot from 28 ft,,74-45,,
2:22.0,,,74-45,,Defensive rebound by D. Valentine
2:15.0,,,74-45,,L. Markkanen misses 3-pt shot from 26 ft
2:12.0,Defensive rebound by P. George,,74-45,,
1:59.0,Turnover by P. George (lost ball; steal by K. Dunn),,74-45,,
1:54.0,,,74-45,,J. Holiday misses 2-pt shot from 1 ft (block by A. Roberson)
1:52.0,,,74-45,,Offensive rebound by L. Markkanen
1:52.0,,,74-45,,L. Markkanen misses 2-pt shot from 2 ft (block by S. Adams)
1:52.0,,,74-45,,Offensive rebound by L. Markkanen
1:52.0,,,74-45,,Shooting foul by J. Grant (drawn by L. Markkanen)
1:52.0,,,74-46,1,L. Markkanen makes free throw 1 of 2
1:52.0,,,74-46,,C. Felicio enters the game for R. Lopez
1:52.0,A. Abrines enters the game for R. Westbrook,,74-46,,
1:52.0,P. Patterson enters the game for S. Adams,,74-46,,
1:52.0,R. Felton enters the game for P. George,,74-46,,
1:52.0,C. Anthony enters the game for A. Roberson,,74-46,,
1:52.0,,,74-47,1,L. Markkanen makes free throw 2 of 2
1:38.0,Turnover by P. Patterson (bad pass; steal by K. Dunn),,74-47,,
1:33.0,,,74-49,2,K. Dunn makes 2-pt shot from 1 ft
1:22.0,R. Felton misses 3-pt shot from 24 ft,,74-49,,
1:20.0,,,74-49,,Defensive rebound by L. Markkanen
1:12.0,Personal block foul by A. Abrines (drawn by L. Markkanen),,74-49,,
1:12.0,,,74-50,1,L. Markkanen makes free throw 1 of 2
1:12.0,,,74-51,1,L. Markkanen makes free throw 2 of 2
0:59.0,,,74-51,,Personal foul by D. Valentine (drawn by C. Anthony)
0:59.0,,,74-51,,Q. Pondexter enters the game for L. Markkanen
0:57.0,,,74-51,,Personal foul by K. Dunn (drawn by R. Felton)
0:57.0,R. Felton makes free throw 2 of 2,1,75-51,,
0:57.0,R. Felton makes free throw 1 of 2,1,76-51,,
0:45.0,,,76-53,2,K. Dunn makes 2-pt shot from 1 ft
0:36.0,C. Anthony makes 3-pt shot from 25 ft (assist by J. Grant),3,79-53,,
0:27.0,,,79-53,,J. Holiday misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by C. Anthony,,79-53,,
0:03.0,C. Anthony makes 3-pt shot from 24 ft,3,82-53,,
0:01.0,,,82-53,,Turnover by Q. Pondexter (bad pass; steal by J. Grant)
0:00.0,P. Patterson misses 3-pt shot from 34 ft,,82-53,,
0:00.0,Offensive rebound by Team,,82-53,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by Q. Pondexter (drawn by J. Grant),,82-53,,
11:46.0,J. Grant makes free throw 1 of 2,1,83-53,,
11:46.0,J. Grant misses free throw 2 of 2,,83-53,,
11:43.0,,,83-53,,Defensive rebound by D. Valentine
11:25.0,,,83-53,,D. Valentine misses 2-pt shot from 16 ft
11:20.0,Defensive rebound by C. Anthony,,83-53,,
11:10.0,J. Grant misses 3-pt shot from 26 ft,,83-53,,
11:07.0,,,83-53,,Defensive rebound by D. Valentine
11:02.0,,,83-55,2,D. Nwaba makes 2-pt shot from 1 ft (assist by D. Valentine)
10:39.0,P. Patterson makes 2-pt shot from 22 ft (assist by R. Felton),2,85-55,,
10:16.0,,,85-55,,Shooting foul by C. Anthony (drawn by D. Nwaba)
10:16.0,,,85-56,1,D. Nwaba makes free throw 1 of 2
10:16.0,,,85-56,,D. Nwaba misses free throw 2 of 2
10:13.0,Defensive rebound by J. Grant,,85-56,,
9:54.0,P. Patterson misses 3-pt shot from 22 ft,,85-56,,
9:51.0,,,85-56,,Defensive rebound by K. Dunn
9:32.0,,,85-56,,Turnover by Q. Pondexter (bad pass; steal by A. Abrines)
9:26.0,C. Anthony misses 3-pt shot from 25 ft,,85-56,,
9:24.0,,,85-56,,Defensive rebound by Q. Pondexter
9:21.0,R. Felton misses 2-pt shot from 13 ft,,85-56,,
9:18.0,Offensive rebound by R. Felton,,85-56,,
9:14.0,,,85-58,2,K. Dunn makes 2-pt shot from 20 ft
9:14.0,Oklahoma City full timeout,,85-58,,
9:14.0,J. Huestis enters the game for C. Anthony,,85-58,,
9:08.0,,,85-58,,Personal foul by K. Dunn (drawn by R. Felton)
8:52.0,R. Felton misses 2-pt shot from 8 ft,,85-58,,
8:50.0,,,85-58,,Defensive rebound by C. Felicio
8:35.0,,,85-58,,K. Dunn misses 2-pt shot from 9 ft (block by J. Huestis)
8:30.0,Defensive rebound by R. Felton,,85-58,,
8:30.0,Shooting foul by Q. Pondexter (drawn by R. Felton),,85-58,,
8:30.0,R. Felton misses free throw 1 of 2,,85-58,,
8:30.0,Offensive rebound by Team,,85-58,,
8:30.0,R. Felton makes free throw 2 of 2,1,86-58,,
8:08.0,,,86-61,3,Q. Pondexter makes 3-pt shot from 26 ft (assist by D. Valentine)
7:50.0,A. Abrines misses 3-pt shot from 23 ft,,86-61,,
7:45.0,,,86-61,,Defensive rebound by C. Felicio
7:37.0,,,86-61,,Turnover by D. Valentine (bad pass; steal by J. Grant)
7:32.0,J. Huestis misses 2-pt shot from 10 ft,,86-61,,
7:30.0,,,86-61,,Defensive rebound by D. Nwaba
7:26.0,,,86-61,,D. Nwaba misses 2-pt shot from 6 ft (block by R. Felton)
7:24.0,,,86-61,,Offensive rebound by Team
7:24.0,,,86-61,,Shooting foul by J. Huestis (drawn by D. Nwaba)
7:24.0,,,86-61,,D. Nwaba misses free throw 1 of 2
7:24.0,,,86-61,,Offensive rebound by Team
7:24.0,,,86-62,1,D. Nwaba makes free throw 2 of 2
7:06.0,A. Abrines misses 2-pt shot from 1 ft (block by C. Felicio),,86-62,,
7:06.0,,,86-62,,Defensive rebound by Team
6:51.0,,,86-65,3,D. Valentine makes 3-pt shot from 26 ft (assist by K. Dunn)
6:30.0,R. Felton makes 2-pt shot from 8 ft,2,88-65,,
6:15.0,,,88-65,,Q. Pondexter misses 3-pt shot from 25 ft
6:12.0,,,88-65,,Offensive rebound by D. Valentine
6:09.0,,,88-65,,Turnover by D. Valentine (bad pass; steal by P. Patterson)
6:01.0,P. Patterson misses 3-pt shot from 24 ft,,88-65,,
5:58.0,Offensive rebound by P. Patterson,,88-65,,
5:45.0,R. Felton misses 2-pt shot from 21 ft,,88-65,,
5:41.0,,,88-65,,Defensive rebound by C. Felicio
5:37.0,Personal foul by R. Felton (drawn by K. Dunn),,88-65,,
5:17.0,,,88-65,,Q. Pondexter misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by R. Felton,,88-65,,
5:00.0,A. Abrines misses 2-pt shot from 22 ft,,88-65,,
4:57.0,,,88-65,,Defensive rebound by K. Dunn
4:51.0,,,88-65,,Turnover by K. Dunn (lost ball; steal by J. Grant)
4:48.0,J. Grant makes 2-pt shot at rim,2,90-65,,
4:48.0,,,90-65,,Chicago full timeout
4:48.0,,,90-65,,K. Felder enters the game for K. Dunn
4:48.0,T. Ferguson enters the game for A. Abrines,,90-65,,
4:48.0,N. Collison enters the game for P. Patterson,,90-65,,
4:40.0,,,90-65,,C. Felicio misses 2-pt shot from 6 ft (block by J. Grant)
4:35.0,Defensive rebound by J. Grant,,90-65,,
4:33.0,Turnover by J. Grant (lost ball; steal by D. Nwaba),,90-65,,
4:24.0,,,90-65,,Q. Pondexter misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by R. Felton,,90-65,,
4:15.0,T. Ferguson makes 2-pt shot from 16 ft (assist by N. Collison),2,92-65,,
3:56.0,Personal foul by T. Ferguson (drawn by D. Nwaba),,92-65,,
3:56.0,A. Abrines enters the game for R. Felton,,92-65,,
3:50.0,,,92-65,,D. Valentine misses 2-pt shot from 10 ft
3:46.0,Defensive rebound by J. Huestis,,92-65,,
3:28.0,Turnover by J. Huestis (bad pass; steal by D. Valentine),,92-65,,
3:26.0,,,92-65,,Shooting foul by T. Ferguson (drawn by Q. Pondexter)
3:26.0,,,92-66,1,Q. Pondexter makes free throw 1 of 2
