time,Minnesota,pts.away,score,pts.home,Cleveland
3:44.0,K. Towns makes 3-pt shot from 23 ft (assist by J. Teague),3,52-56,,
3:32.0,,,52-56,,I. Thomas misses 2-pt shot from 17 ft
3:31.0,,,52-56,,Offensive rebound by Team
3:31.0,Loose ball foul by T. Gibson (drawn by T. Thompson),,52-56,,
3:31.0,,,52-57,1,T. Thompson makes free throw 1 of 2
3:31.0,A. Wiggins enters the game for J. Crawford,,52-57,,
3:31.0,,,52-57,,T. Thompson misses free throw 2 of 2
3:28.0,Defensive rebound by J. Teague,,52-57,,
3:21.0,Turnover by K. Towns (bad pass),,52-57,,
3:09.0,,,52-57,,J. Smith misses 2-pt shot from 11 ft
3:07.0,Defensive rebound by K. Towns,,52-57,,
3:03.0,J. Teague makes 2-pt shot from 1 ft,2,54-57,,
2:46.0,,,54-60,3,J. Smith makes 3-pt shot from 28 ft (assist by I. Thomas)
2:32.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Teague),2,56-60,,
2:20.0,,,56-62,2,T. Thompson makes 2-pt shot from 1 ft (assist by I. Thomas)
2:07.0,T. Gibson makes 2-pt shot at rim (assist by J. Teague),2,58-62,,
2:07.0,Shooting foul by J. Crowder (drawn by T. Gibson),,58-62,,
2:07.0,Minnesota full timeout,,58-62,,
2:07.0,T. Gibson makes free throw 1 of 1,1,59-62,,
1:45.0,,,59-62,,L. James misses 2-pt shot from 20 ft
1:42.0,Defensive rebound by J. Butler,,59-62,,
1:31.0,K. Towns makes 2-pt shot at rim,2,61-62,,
1:15.0,,,61-62,,Turnover by I. Thomas (out of bounds lost ball)
1:04.0,,,61-62,,Personal foul by J. Smith (drawn by A. Wiggins)
1:04.0,,,61-62,,C. Frye enters the game for J. Crowder
0:52.0,J. Teague makes 3-pt shot from 26 ft,3,64-62,,
0:40.0,,,64-62,,J. Smith misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by K. Towns,,64-62,,
0:25.0,Shooting foul by T. Thompson (drawn by K. Towns),,64-62,,
0:25.0,K. Towns makes free throw 1 of 2,1,65-62,,
0:25.0,K. Towns makes free throw 2 of 2,1,66-62,,
0:05.0,,,66-64,2,L. James makes 2-pt shot from 1 ft
0:00.0,A. Wiggins misses 2-pt shot from 16 ft,,66-64,,
0:00.0,Offensive rebound by Team,,66-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,66-67,3,L. James makes 3-pt shot from 25 ft (assist by J. Smith)
11:29.0,,,66-67,,Personal foul by L. James (drawn by J. Butler)
11:18.0,T. Gibson misses 2-pt shot from 10 ft,,66-67,,
11:15.0,,,66-67,,Defensive rebound by T. Thompson
10:58.0,,,66-69,2,J. Crowder makes 2-pt shot from 20 ft (assist by L. James)
10:49.0,Turnover by J. Teague (lost ball; steal by J. Crowder),,66-69,,
10:48.0,Technical foul by J. Teague (drawn by J. Crowder),,66-69,,
10:48.0,,,66-70,1,J. Crowder makes flagrant free throw 1 of 2
10:48.0,,,66-71,1,J. Crowder makes flagrant free throw 2 of 2
10:35.0,,,66-71,,Shooting foul by J. Butler (drawn by T. Thompson)
10:35.0,,,66-72,1,T. Thompson makes free throw 1 of 2
10:35.0,,,66-72,,T. Thompson misses free throw 2 of 2
10:32.0,Defensive rebound by K. Towns,,66-72,,
10:12.0,J. Butler makes 3-pt shot from 23 ft (assist by T. Gibson),3,69-72,,
9:44.0,,,69-75,3,L. James makes 3-pt shot from 26 ft
9:31.0,J. Butler makes 2-pt shot at rim (assist by K. Towns),2,71-75,,
9:12.0,,,71-78,3,I. Thomas makes 3-pt shot from 24 ft
9:01.0,K. Towns makes 3-pt shot from 26 ft (assist by J. Teague),3,74-78,,
8:47.0,,,74-80,2,T. Thompson makes 2-pt shot from 1 ft (assist by I. Thomas)
8:33.0,J. Teague misses 2-pt shot from 9 ft,,74-80,,
8:32.0,Offensive rebound by Team,,74-80,,
8:31.0,Shooting foul by J. Crowder (drawn by K. Towns),,74-80,,
8:31.0,K. Towns makes free throw 1 of 2,1,75-80,,
8:31.0,K. Towns makes free throw 2 of 2,1,76-80,,
8:18.0,,,76-82,2,T. Thompson makes 2-pt shot from 2 ft (assist by L. James)
7:54.0,J. Butler makes 2-pt shot from 9 ft,2,78-82,,
7:39.0,,,78-82,,J. Smith misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by K. Towns,,78-82,,
7:28.0,J. Teague makes 2-pt shot from 6 ft,2,80-82,,
7:28.0,,,80-82,,Cleveland full timeout
7:16.0,,,80-84,2,L. James makes 2-pt shot at rim
6:52.0,T. Gibson makes 2-pt shot from 11 ft,2,82-84,,
6:27.0,,,82-84,,Turnover by I. Thomas (bad pass; steal by K. Towns)
6:16.0,J. Butler makes 2-pt shot from 9 ft,2,84-84,,
6:16.0,Shooting foul by J. Crowder (drawn by J. Butler),,84-84,,
6:16.0,J. Butler makes free throw 1 of 1,1,85-84,,
6:04.0,,,85-84,,J. Smith misses 3-pt shot from 25 ft
6:01.0,,,85-84,,Offensive rebound by T. Thompson
6:00.0,,,85-86,2,T. Thompson makes 2-pt shot from 1 ft
5:49.0,A. Wiggins makes 3-pt shot from 24 ft (assist by J. Teague),3,88-86,,
5:37.0,,,88-89,3,I. Thomas makes 3-pt shot from 25 ft
5:19.0,K. Towns makes 2-pt shot from 17 ft (assist by J. Teague),2,90-89,,
5:03.0,,,90-89,,J. Smith misses 2-pt shot from 17 ft
5:00.0,Defensive rebound by K. Towns,,90-89,,
4:49.0,A. Wiggins makes 3-pt shot from 23 ft (assist by J. Butler),3,93-89,,
4:49.0,,,93-89,,Cleveland full timeout
4:49.0,,,93-89,,C. Osman enters the game for I. Thomas
4:49.0,,,93-89,,J. Green enters the game for J. Crowder
4:38.0,,,93-89,,Turnover by C. Osman (lost ball; steal by J. Teague)
4:34.0,J. Teague misses 2-pt shot from 1 ft,,93-89,,
4:31.0,,,93-89,,Defensive rebound by C. Osman
4:28.0,,,93-92,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
4:12.0,J. Butler misses 2-pt shot from 6 ft,,93-92,,
4:09.0,Offensive rebound by K. Towns,,93-92,,
4:08.0,Turnover by K. Towns (lost ball; steal by C. Osman),,93-92,,
4:03.0,,,93-92,,J. Green misses 2-pt shot from 2 ft (block by K. Towns)
4:03.0,,,93-92,,Offensive rebound by Team
3:50.0,,,93-94,2,L. James makes 2-pt shot from 15 ft
3:32.0,T. Gibson misses 2-pt shot from 19 ft,,93-94,,
3:29.0,,,93-94,,Defensive rebound by T. Thompson
3:25.0,,,93-96,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
3:25.0,Minnesota full timeout,,93-96,,
3:25.0,G. Dieng enters the game for K. Towns,,93-96,,
3:25.0,N. Bjelica enters the game for T. Gibson,,93-96,,
3:13.0,J. Butler makes 2-pt shot from 2 ft (assist by J. Teague),2,95-96,,
2:57.0,,,95-99,3,L. James makes 3-pt shot from 25 ft
2:41.0,,,95-99,,Personal foul by J. Smith (drawn by J. Butler)
2:41.0,,,95-99,,C. Frye enters the game for T. Thompson
2:41.0,T. Jones enters the game for J. Teague,,95-99,,
2:28.0,Turnover by G. Dieng (traveling),,95-99,,
2:18.0,,,95-99,,Turnover by L. James (bad pass)
2:09.0,J. Butler makes 2-pt shot from 19 ft,2,97-99,,
1:48.0,,,97-99,,C. Frye misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by J. Butler,,97-99,,
1:40.0,A. Wiggins misses 3-pt shot from 31 ft,,97-99,,
1:38.0,,,97-99,,Defensive rebound by C. Frye
1:31.0,,,97-101,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
1:12.0,,,97-101,,K. Korver enters the game for J. Smith
1:07.0,G. Dieng makes 2-pt shot from 16 ft (assist by N. Bjelica),2,99-101,,
0:44.0,,,99-101,,K. Korver misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by N. Bjelica,,99-101,,
0:32.0,T. Jones misses 2-pt shot from 2 ft,,99-101,,
0:29.0,,,99-101,,Defensive rebound by C. Frye
0:25.0,,,99-101,,Turnover by L. James (bad pass; steal by J. Butler)
0:05.0,J. Butler misses 3-pt shot from 24 ft,,99-101,,
0:01.0,,,99-101,,Defensive rebound by J. Green
0:00.0,Personal foul by A. Wiggins (drawn by J. Green),,99-101,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,J. Crawford makes 3-pt shot from 25 ft (assist by G. Dieng),3,102-101,,
11:21.0,,,102-101,,Turnover by C. Frye (lost ball; steal by T. Jones)
11:14.0,N. Bjelica makes 3-pt shot from 27 ft (assist by J. Butler),3,105-101,,
10:56.0,,,105-101,,L. James misses 3-pt shot from 23 ft
10:52.0,Defensive rebound by N. Bjelica,,105-101,,
10:35.0,J. Crawford misses 3-pt shot from 32 ft,,105-101,,
10:31.0,,,105-101,,Defensive rebound by J. Green
10:30.0,,,105-101,,Turnover by J. Green (lost ball; steal by J. Butler)
10:23.0,G. Dieng misses 2-pt shot from 19 ft,,105-101,,
10:20.0,,,105-101,,Defensive rebound by L. James
10:06.0,,,105-101,,Shooting foul by T. Jones (drawn by J. Green)
10:06.0,,,105-102,1,J. Green makes free throw 1 of 2
10:06.0,,,105-103,1,J. Green makes free throw 2 of 2
9:59.0,Offensive foul by G. Dieng (drawn by J. Green),,105-103,,
9:59.0,Turnover by G. Dieng (offensive foul),,105-103,,
9:49.0,,,105-103,,K. Korver misses 3-pt shot from 30 ft
9:47.0,,,105-103,,Offensive rebound by C. Osman
9:41.0,,,105-106,2,C. Osman makes 3-pt shot from 25 ft (assist by L. James)
9:19.0,N. Bjelica misses 3-pt shot from 31 ft,,105-106,,
9:12.0,Offensive rebound by G. Dieng,,105-106,,
9:12.0,G. Dieng misses 2-pt shot at rim,,105-106,,
9:11.0,,,105-106,,Defensive rebound by L. James
9:10.0,,,105-109,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
9:10.0,Minnesota full timeout,,105-109,,
9:10.0,K. Towns enters the game for G. Dieng,,105-109,,
8:45.0,K. Towns misses 2-pt shot from 15 ft,,105-109,,
8:42.0,,,105-109,,Defensive rebound by C. Osman
8:29.0,,,105-111,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
8:08.0,N. Bjelica makes 2-pt shot from 9 ft (assist by T. Jones),2,107-111,,
7:47.0,,,107-111,,L. James misses 2-pt shot from 23 ft
7:43.0,Defensive rebound by K. Towns,,107-111,,
7:38.0,J. Crawford makes 2-pt shot from 18 ft,2,109-111,,
7:21.0,,,109-114,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
7:02.0,J. Crawford misses 3-pt shot from 23 ft,,109-114,,
6:59.0,,,109-114,,Defensive rebound by C. Frye
6:55.0,,,109-114,,Shooting foul by N. Bjelica (drawn by J. Green)
6:55.0,,,109-115,1,J. Green makes free throw 1 of 2
6:55.0,,,109-115,,I. Thomas enters the game for L. James
6:55.0,T. Gibson enters the game for T. Jones,,109-115,,
6:55.0,J. Teague enters the game for N. Bjelica,,109-115,,
6:55.0,,,109-116,1,J. Green makes free throw 2 of 2
6:41.0,Turnover by J. Butler (bad pass; steal by C. Frye),,109-116,,
6:38.0,,,109-116,,Offensive foul by C. Osman (drawn by J. Crawford)
6:38.0,,,109-116,,Turnover by C. Osman (offensive foul)
6:38.0,,,109-116,,L. James enters the game for C. Osman
6:38.0,A. Wiggins enters the game for J. Butler,,109-116,,
6:23.0,J. Crawford makes 2-pt shot from 18 ft,2,111-116,,
6:10.0,,,111-119,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
5:50.0,J. Teague misses 3-pt shot from 27 ft,,111-119,,
5:47.0,,,111-119,,Defensive rebound by C. Frye
5:44.0,,,111-119,,Offensive foul by K. Korver (drawn by K. Towns)
5:44.0,,,111-119,,Turnover by K. Korver (offensive foul)
5:33.0,J. Crawford misses 2-pt shot from 8 ft,,111-119,,
5:31.0,,,111-119,,Defensive rebound by K. Korver
5:26.0,,,111-119,,C. Frye misses 3-pt shot from 22 ft
5:22.0,Defensive rebound by T. Gibson,,111-119,,
5:10.0,K. Towns makes 3-pt shot from 22 ft (assist by J. Teague),3,114-119,,
4:56.0,,,114-119,,C. Frye misses 3-pt shot from 24 ft
4:53.0,,,114-119,,Offensive rebound by K. Korver
4:48.0,,,114-121,2,C. Frye makes 2-pt shot from 21 ft (assist by L. James)
4:30.0,,,114-121,,Personal foul by K. Korver (drawn by K. Towns)
4:30.0,J. Butler enters the game for J. Crawford,,114-121,,
4:22.0,J. Teague makes 2-pt shot from 12 ft,2,116-121,,
3:57.0,,,116-124,3,I. Thomas makes 3-pt shot from 24 ft (assist by J. Green)
3:34.0,A. Wiggins makes 3-pt shot from 24 ft (assist by J. Teague),3,119-124,,
3:16.0,,,119-124,,C. Frye misses 3-pt shot from 23 ft
3:13.0,Defensive rebound by A. Wiggins,,119-124,,
3:10.0,,,119-124,,Shooting block foul by K. Korver (drawn by A. Wiggins)
3:10.0,A. Wiggins makes free throw 1 of 2,1,120-124,,
3:10.0,,,120-124,,J. Smith enters the game for J. Green
3:10.0,A. Wiggins misses free throw 2 of 2,,120-124,,
3:07.0,,,120-124,,Defensive rebound by J. Smith
2:55.0,Personal foul by J. Teague (drawn by L. James),,120-124,,
2:55.0,,,120-124,,Cleveland full timeout
2:49.0,,,120-124,,Turnover by I. Thomas (bad pass)
2:41.0,,,120-124,,Personal foul by C. Frye (drawn by J. Butler)
2:41.0,,,120-124,,J. Green enters the game for K. Korver
2:41.0,,,120-124,,C. Osman enters the game for I. Thomas
2:32.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Teague),2,122-124,,
2:12.0,,,122-124,,C. Frye misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by J. Teague,,122-124,,
2:03.0,K. Towns makes 2-pt shot from 3 ft (assist by J. Teague),2,124-124,,
2:02.0,,,124-124,,Cleveland full timeout
2:02.0,,,124-124,,I. Thomas enters the game for J. Green
2:02.0,,,124-124,,K. Korver enters the game for C. Osman
1:47.0,Personal foul by A. Wiggins (drawn by C. Frye),,124-124,,
1:41.0,,,124-124,,Shooting foul by J. Teague (drawn by I. Thomas)
1:41.0,,,124-125,1,I. Thomas makes free throw 1 of 2
1:41.0,,,124-125,,J. Green enters the game for C. Frye
1:41.0,,,124-125,,T. Thompson enters the game for K. Korver
1:41.0,,,124-126,1,I. Thomas makes free throw 2 of 2
1:28.0,A. Wiggins makes 2-pt shot from 7 ft (assist by J. Butler),2,126-126,,
1:04.0,,,126-126,,Turnover by Team (shot clock)
1:04.0,,,126-126,,C. Osman enters the game for I. Thomas
0:54.0,K. Towns makes 3-pt shot from 31 ft (assist by J. Teague),3,129-126,,
0:45.0,,,129-129,3,L. James makes 3-pt shot from 25 ft
0:23.0,J. Butler misses 2-pt shot from 18 ft,,129-129,,
0:21.0,,,129-129,,Defensive rebound by L. James
0:21.0,,,129-129,,Cleveland full timeout
0:21.0,,,129-129,,I. Thomas enters the game for T. Thompson
0:21.0,,,129-129,,C. Frye enters the game for J. Green
0:21.0,,,129-129,,K. Korver enters the game for C. Osman
0:00.0,,,129-129,,L. James misses 3-pt shot from 25 ft
0:00.0,,,129-129,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: T. Thompson vs. K. Towns (T. Gibson gains possession),,,,Jump ball: T. Thompson vs. K. Towns (T. Gibson gains possession)
4:41.0,J. Butler makes 2-pt shot from 4 ft,2,131-129,,
4:16.0,,,131-131,2,L. James makes 2-pt shot from 1 ft
4:04.0,,,131-131,,Personal foul by L. James (drawn by J. Teague)
4:04.0,,,131-131,,C. Osman enters the game for I. Thomas
3:50.0,J. Butler misses 2-pt shot from 21 ft,,131-131,,
3:47.0,,,131-131,,Defensive rebound by L. James
3:44.0,,,131-133,2,C. Osman makes 2-pt shot at rim (assist by L. James)
3:22.0,J. Butler makes 2-pt shot from 1 ft,2,133-133,,
