time,Phoenix,pts.away,score,pts.home,Memphis
6:56.0,D. Booker misses 3-pt shot from 24 ft (block by M. Gasol),,13-7,,
6:53.0,,,13-7,,Defensive rebound by J. Green
6:49.0,,,13-7,,M. Chalmers misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by A. Len,,13-7,,
6:42.0,Turnover by E. Payton (bad pass; steal by M. Chalmers),,13-7,,
6:37.0,,,13-7,,M. Chalmers misses 2-pt shot from 6 ft
6:37.0,Defensive rebound by Team,,13-7,,
6:19.0,J. Jackson misses 2-pt shot from 6 ft,,13-7,,
6:17.0,,,13-7,,Defensive rebound by A. Harrison
6:09.0,,,13-7,,J. Martin misses 2-pt shot from 20 ft
6:05.0,Defensive rebound by E. Payton,,13-7,,
5:57.0,,,13-7,,M. Henry enters the game for A. Harrison
5:57.0,T. Daniels enters the game for D. Booker,,13-7,,
5:51.0,Jump ball: M. Gasol vs. A. Len (T. Daniels gains possession),,,,Jump ball: M. Gasol vs. A. Len (T. Daniels gains possession)
5:48.0,T. Daniels misses 3-pt shot from 26 ft,,13-7,,
5:46.0,,,13-7,,Defensive rebound by J. Green
5:38.0,,,13-10,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Chalmers)
5:22.0,Turnover by J. Jackson (traveling),,13-10,,
5:22.0,M. Chriss enters the game for A. Len,,13-10,,
5:11.0,,,13-12,2,M. Gasol makes 2-pt shot at rim (assist by J. Martin)
4:56.0,M. Chriss misses 3-pt shot from 26 ft,,13-12,,
4:54.0,,,13-12,,Defensive rebound by Team
4:54.0,,,13-12,,I. Rabb enters the game for J. Green
4:40.0,Personal foul by M. Chriss (drawn by M. Gasol),,13-12,,
4:32.0,,,13-12,,M. Gasol misses 2-pt shot from 14 ft
4:28.0,Defensive rebound by E. Payton,,13-12,,
4:23.0,E. Payton makes 3-pt shot from 25 ft (assist by T. Daniels),3,16-12,,
4:03.0,Personal foul by D. Bender (drawn by M. Chalmers),,16-12,,
4:03.0,,,16-12,,A. Harrison enters the game for M. Gasol
3:57.0,,,16-14,2,M. Henry makes 2-pt shot at rim
3:43.0,D. Bender makes 2-pt shot at rim (assist by J. Jackson),2,18-14,,
3:33.0,,,18-14,,Turnover by A. Harrison (out of bounds lost ball)
3:29.0,Offensive charge foul by E. Payton (drawn by A. Harrison),,18-14,,
3:29.0,Turnover by E. Payton (offensive foul),,18-14,,
3:21.0,,,18-16,2,A. Harrison makes 2-pt shot at rim (assist by M. Chalmers)
3:01.0,M. Chriss misses 3-pt shot from 26 ft,,18-16,,
2:59.0,,,18-16,,Defensive rebound by J. Martin
2:44.0,,,18-16,,Offensive charge foul by J. Martin (drawn by J. Jackson)
2:44.0,,,18-16,,Turnover by J. Martin (offensive foul)
2:44.0,Phoenix full timeout,,18-16,,
2:44.0,D. Booker enters the game for E. Payton,,18-16,,
2:24.0,J. Jackson makes 2-pt shot at rim (assist by D. Booker),2,20-16,,
2:08.0,,,20-19,3,J. Martin makes 3-pt shot from 26 ft (assist by A. Harrison)
1:50.0,M. Chriss misses 2-pt shot from 1 ft,,20-19,,
1:48.0,,,20-19,,Defensive rebound by J. Martin
1:45.0,,,20-19,,J. Martin misses 2-pt shot from 1 ft (block by D. Bender)
1:45.0,Defensive rebound by Team,,20-19,,
1:29.0,D. Booker misses 2-pt shot at rim,,20-19,,
1:27.0,Offensive rebound by M. Chriss,,20-19,,
1:25.0,Turnover by M. Chriss (bad pass; steal by A. Harrison),,20-19,,
1:25.0,Personal foul by T. Daniels (drawn by A. Harrison),,20-19,,
1:25.0,,,20-20,1,A. Harrison makes free throw 1 of 2
1:25.0,,,20-20,,J. Green enters the game for J. Martin
1:25.0,J. Dudley enters the game for M. Chriss,,20-20,,
1:25.0,,,20-21,1,A. Harrison makes free throw 2 of 2
1:17.0,,,20-21,,Personal foul by M. Chalmers (drawn by J. Jackson)
1:17.0,J. Jackson makes free throw 1 of 2,1,21-21,,
1:17.0,,,21-21,,D. Brooks enters the game for M. Chalmers
1:17.0,J. Jackson misses free throw 2 of 2,,21-21,,
1:15.0,,,21-21,,Defensive rebound by I. Rabb
1:00.0,,,21-24,3,D. Brooks makes 3-pt shot from 25 ft (assist by I. Rabb)
0:47.0,Shooting foul by I. Rabb (drawn by J. Dudley),,21-24,,
0:47.0,J. Dudley misses free throw 1 of 2,,21-24,,
0:47.0,Offensive rebound by Team,,21-24,,
0:47.0,J. Dudley misses free throw 2 of 2,,21-24,,
0:45.0,,,21-24,,Defensive rebound by I. Rabb
0:36.0,,,21-27,3,A. Harrison makes 3-pt shot from 25 ft
0:31.0,Turnover by J. Dudley (step out of bounds),,21-27,,
0:15.0,,,21-27,,J. Green misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by D. Bender,,21-27,,
0:00.0,J. Jackson misses 2-pt shot at rim (block by J. Green),,21-27,,
0:00.0,Offensive rebound by Team,,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by D. Booker (bad pass; steal by M. Henry),,21-27,,
11:42.0,Personal take foul by J. Dudley (drawn by D. Brooks),,21-27,,
11:35.0,,,21-27,,Turnover by I. Rabb (lost ball; steal by T. Daniels)
11:22.0,A. Len makes 2-pt shot from 17 ft (assist by S. Harrison),2,23-27,,
11:02.0,,,23-29,2,I. Rabb makes 2-pt shot from 18 ft (assist by A. Harrison)
10:48.0,,,23-29,,Personal foul by A. Harrison (drawn by D. Booker)
10:39.0,A. Len misses 2-pt shot from 1 ft (block by J. Green),,23-29,,
10:39.0,Offensive rebound by Team,,23-29,,
10:36.0,D. Booker misses 2-pt shot at rim,,23-29,,
10:34.0,,,23-29,,Defensive rebound by I. Rabb
10:16.0,,,23-29,,D. Brooks misses 3-pt shot from 23 ft
10:14.0,Defensive rebound by S. Harrison,,23-29,,
10:08.0,J. Dudley misses 3-pt shot from 25 ft,,23-29,,
10:03.0,,,23-29,,Defensive rebound by A. Harrison
9:56.0,,,23-31,2,I. Rabb makes 2-pt shot at rim (assist by A. Harrison)
9:39.0,D. Booker makes 3-pt shot from 23 ft (assist by A. Len),3,26-31,,
9:16.0,,,26-34,3,J. Green makes 3-pt shot from 23 ft
9:01.0,D. Booker misses 2-pt shot at rim,,26-34,,
8:59.0,Offensive rebound by A. Len,,26-34,,
8:56.0,A. Len makes 2-pt shot at rim,2,28-34,,
8:52.0,,,28-34,,Memphis full timeout
8:52.0,,,28-34,,M. Chalmers enters the game for A. Harrison
8:52.0,,,28-34,,M. Gasol enters the game for I. Rabb
8:52.0,E. Payton enters the game for J. Dudley,,28-34,,
8:52.0,M. Chriss enters the game for S. Harrison,,28-34,,
8:52.0,D. Bender enters the game for A. Len,,28-34,,
8:36.0,,,28-36,2,M. Gasol makes 2-pt shot from 6 ft (assist by J. Green)
8:36.0,,,28-36,,Shooting foul by D. Bender (drawn by M. Gasol)
8:36.0,,,28-37,1,M. Gasol makes free throw 1 of 1
8:25.0,Offensive foul by M. Chriss (drawn by M. Chalmers),,28-37,,
8:25.0,Turnover by M. Chriss (offensive foul),,28-37,,
8:11.0,,,28-37,,M. Gasol misses 2-pt shot from 12 ft
8:10.0,,,28-37,,Offensive rebound by J. Green
8:10.0,,,28-37,,J. Green misses 2-pt shot at rim
8:10.0,,,28-37,,Offensive rebound by Team
8:06.0,Jump ball: M. Gasol vs. M. Chriss (M. Chalmers gains possession),,,,Jump ball: M. Gasol vs. M. Chriss (M. Chalmers gains possession)
7:48.0,,,28-37,,D. Brooks misses 2-pt shot from 10 ft
7:47.0,,,28-37,,Offensive rebound by J. Green
7:47.0,,,28-39,2,J. Green makes 2-pt shot at rim
7:47.0,,,28-39,,Shooting foul by M. Chriss (drawn by J. Green)
7:47.0,A. Len enters the game for M. Chriss,,28-39,,
7:47.0,,,28-40,1,J. Green makes free throw 1 of 1
7:38.0,D. Booker makes 2-pt shot from 4 ft,2,30-40,,
7:38.0,Shooting foul by M. Chalmers (drawn by D. Booker),,30-40,,
7:38.0,J. Jackson enters the game for T. Daniels,,30-40,,
7:38.0,D. Booker makes free throw 1 of 1,1,31-40,,
7:26.0,,,31-40,,D. Brooks misses 2-pt shot from 16 ft
7:23.0,Defensive rebound by E. Payton,,31-40,,
7:14.0,D. Booker misses 2-pt shot from 11 ft,,31-40,,
7:11.0,,,31-40,,Defensive rebound by J. Green
6:56.0,,,31-42,2,M. Gasol makes 2-pt shot at rim (assist by M. Chalmers)
6:44.0,E. Payton misses 3-pt shot from 24 ft,,31-42,,
6:42.0,,,31-42,,Defensive rebound by M. Gasol
6:27.0,,,31-42,,Turnover by M. Henry (step out of bounds)
6:27.0,,,31-42,,J. Martin enters the game for J. Green
6:10.0,D. Booker makes 2-pt shot at rim,2,33-42,,
5:55.0,,,33-42,,M. Henry misses 2-pt shot from 2 ft
5:51.0,,,33-42,,Offensive rebound by M. Henry
5:51.0,,,33-44,2,M. Henry makes 2-pt shot at rim
5:42.0,Offensive foul by A. Len (drawn by M. Gasol),,33-44,,
5:42.0,Turnover by A. Len (offensive foul),,33-44,,
5:34.0,,,33-44,,M. Gasol misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by D. Bender,,33-44,,
5:24.0,Turnover by E. Payton (bad pass; steal by J. Martin),,33-44,,
5:21.0,,,33-44,,M. Henry misses 2-pt shot at rim
5:20.0,Defensive rebound by Team,,33-44,,
5:20.0,,,33-44,,A. Harrison enters the game for M. Chalmers
5:08.0,Shooting foul by D. Brooks (drawn by D. Booker),,33-44,,
5:08.0,D. Booker makes free throw 1 of 3,1,34-44,,
5:08.0,D. Booker makes free throw 2 of 3,1,35-44,,
5:08.0,,,35-44,,M. Chalmers enters the game for D. Brooks
5:08.0,D. Booker makes free throw 3 of 3,1,36-44,,
4:55.0,,,36-44,,Shooting foul by A. Len (drawn by M. Gasol)
4:55.0,,,36-45,1,M. Gasol makes free throw 1 of 2
4:55.0,T. Daniels enters the game for A. Len,,36-45,,
4:55.0,,,36-45,,M. Gasol misses free throw 2 of 2
4:53.0,Defensive rebound by D. Bender,,36-45,,
4:43.0,D. Bender misses 2-pt shot from 2 ft (block by M. Gasol),,36-45,,
4:39.0,,,36-45,,Defensive rebound by M. Gasol
4:31.0,,,36-45,,Shooting foul by D. Booker (drawn by M. Gasol)
4:31.0,,,36-46,1,M. Gasol makes free throw 1 of 2
4:31.0,,,36-47,1,M. Gasol makes free throw 2 of 2
4:17.0,D. Booker makes 2-pt shot from 1 ft (assist by D. Bender),2,38-47,,
4:00.0,,,38-49,2,M. Gasol makes 2-pt shot from 1 ft (assist by J. Martin)
4:00.0,Phoenix full timeout,,38-49,,
4:00.0,,,38-49,,J. Green enters the game for M. Chalmers
3:54.0,T. Daniels makes 3-pt shot from 26 ft (assist by E. Payton),3,41-49,,
3:34.0,,,41-49,,M. Gasol misses 2-pt shot from 7 ft
3:31.0,Defensive rebound by E. Payton,,41-49,,
3:28.0,J. Jackson makes 2-pt shot at rim,2,43-49,,
3:06.0,,,43-49,,J. Green misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by J. Jackson,,43-49,,
3:00.0,Shooting foul by M. Henry (drawn by J. Jackson),,43-49,,
3:00.0,J. Jackson makes free throw 1 of 2,1,44-49,,
3:00.0,J. Jackson misses free throw 2 of 2,,44-49,,
2:58.0,,,44-49,,Defensive rebound by M. Gasol
2:47.0,,,44-49,,M. Henry misses 3-pt shot from 26 ft
2:42.0,,,44-49,,Offensive rebound by J. Green
2:40.0,,,44-49,,Shooting foul by D. Bender (drawn by A. Harrison)
2:40.0,,,44-50,1,A. Harrison makes free throw 1 of 2
2:40.0,,,44-50,,A. Harrison misses free throw 2 of 2
2:37.0,Defensive rebound by E. Payton,,44-50,,
2:25.0,E. Payton makes 2-pt shot from 1 ft (assist by T. Daniels),2,46-50,,
2:14.0,,,46-52,2,J. Martin makes 2-pt shot from 21 ft
2:03.0,J. Jackson makes 2-pt shot from 1 ft (assist by E. Payton),2,48-52,,
1:52.0,,,48-52,,Shooting foul by D. Bender (drawn by M. Gasol)
1:52.0,,,48-53,1,M. Gasol makes free throw 1 of 2
1:52.0,A. Len enters the game for D. Bender,,48-53,,
1:52.0,,,48-54,1,M. Gasol makes free throw 2 of 2
1:40.0,D. Booker misses 3-pt shot from 25 ft,,48-54,,
1:38.0,Offensive rebound by J. Jackson,,48-54,,
1:35.0,Offensive foul by J. Jackson (drawn by A. Harrison),,48-54,,
1:35.0,Turnover by J. Jackson (offensive foul),,48-54,,
1:18.0,,,48-54,,M. Henry misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by T. Daniels,,48-54,,
1:09.0,D. Booker makes 2-pt shot from 12 ft (assist by T. Daniels),2,50-54,,
0:44.0,,,50-54,,A. Harrison misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by A. Len,,50-54,,
0:27.0,J. Jackson makes 2-pt shot from 5 ft,2,52-54,,
0:25.0,,,52-54,,Turnover by M. Henry (bad pass; steal by T. Daniels)
0:25.0,Shooting foul by M. Henry (drawn by T. Daniels),,52-54,,
0:25.0,T. Daniels makes free throw 1 of 2,1,53-54,,
0:25.0,,,53-54,,M. Chalmers enters the game for M. Henry
0:25.0,J. Dudley enters the game for A. Len,,53-54,,
0:25.0,T. Daniels makes free throw 2 of 2,1,54-54,,
0:06.0,,,54-54,,J. Green misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by J. Jackson,,54-54,,
0:00.0,J. Jackson makes 3-pt shot from 24 ft,3,57-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,E. Payton makes 2-pt shot from 4 ft (assist by A. Len),2,59-54,,
11:28.0,,,59-54,,Shooting foul by M. Chriss (drawn by J. Martin)
11:28.0,,,59-54,,J. Martin misses free throw 1 of 2
11:28.0,,,59-54,,Offensive rebound by Team
11:28.0,,,59-55,1,J. Martin makes free throw 2 of 2
11:17.0,E. Payton makes 2-pt shot from 7 ft,2,61-55,,
10:55.0,,,61-55,,M. Gasol misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by M. Chriss,,61-55,,
10:37.0,E. Payton misses 2-pt shot from 13 ft,,61-55,,
10:34.0,,,61-55,,Defensive rebound by M. Gasol
10:24.0,,,61-55,,Shooting foul by M. Chriss (drawn by J. Green)
10:24.0,,,61-56,1,J. Green makes free throw 1 of 2
10:24.0,J. Dudley enters the game for M. Chriss,,61-56,,
10:24.0,,,61-56,,J. Green misses free throw 2 of 2
10:22.0,Defensive rebound by A. Len,,61-56,,
10:11.0,D. Booker makes 2-pt shot from 13 ft (assist by A. Len),2,63-56,,
9:50.0,,,63-56,,A. Harrison misses 2-pt shot from 13 ft
9:48.0,Defensive rebound by J. Jackson,,63-56,,
9:37.0,D. Booker misses 2-pt shot at rim,,63-56,,
9:36.0,,,63-56,,Defensive rebound by J. Martin
9:31.0,Personal foul by J. Jackson (drawn by J. Martin),,63-56,,
9:18.0,,,63-56,,D. Brooks misses 2-pt shot from 2 ft (block by J. Jackson)
9:18.0,,,63-56,,Offensive rebound by Team
9:18.0,Loose ball foul by J. Dudley (drawn by J. Green),,63-56,,
9:11.0,,,63-56,,Turnover by M. Gasol (bad pass)
8:59.0,A. Len misses 2-pt shot from 13 ft,,63-56,,
8:57.0,,,63-56,,Defensive rebound by A. Harrison
8:50.0,,,63-56,,J. Green misses 3-pt shot from 23 ft
8:45.0,,,63-56,,Offensive rebound by A. Harrison
8:43.0,,,63-59,3,M. Gasol makes 3-pt shot from 26 ft (assist by A. Harrison)
8:24.0,D. Booker misses 2-pt shot from 7 ft (block by A. Harrison),,63-59,,
8:24.0,,,63-59,,Defensive rebound by Team
8:24.0,,,63-59,,M. Chalmers enters the game for A. Harrison
8:06.0,,,63-59,,M. Chalmers misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by A. Len,,63-59,,
7:59.0,D. Booker misses 3-pt shot from 26 ft,,63-59,,
7:56.0,,,63-59,,Defensive rebound by M. Gasol
7:49.0,,,63-59,,J. Green misses 2-pt shot from 2 ft (block by J. Dudley)
7:49.0,,,63-59,,Offensive rebound by Team
7:45.0,,,63-61,2,M. Chalmers makes 2-pt shot from 1 ft (assist by J. Martin)
7:37.0,D. Booker misses 3-pt shot from 25 ft,,63-61,,
7:34.0,,,63-61,,Defensive rebound by M. Gasol
7:26.0,,,63-61,,M. Chalmers misses 2-pt shot from 1 ft
7:24.0,,,63-61,,Offensive rebound by J. Green
7:24.0,,,63-61,,J. Green misses 2-pt shot at rim
7:24.0,,,63-61,,Offensive rebound by J. Green
7:24.0,,,63-61,,Shooting foul by E. Payton (drawn by J. Green)
7:24.0,,,63-61,,J. Green misses free throw 1 of 2
7:24.0,,,63-61,,Offensive rebound by Team
7:24.0,,,63-62,1,J. Green makes free throw 2 of 2
7:05.0,J. Jackson misses 2-pt shot from 21 ft,,63-62,,
7:02.0,,,63-62,,Defensive rebound by M. Gasol
6:58.0,,,63-62,,D. Brooks misses 2-pt shot at rim
6:58.0,,,63-62,,Offensive rebound by Team
6:58.0,,,63-62,,Memphis full timeout
6:58.0,T. Daniels enters the game for J. Jackson,,63-62,,
6:48.0,,,63-62,,M. Gasol misses 2-pt shot from 7 ft
6:44.0,Defensive rebound by E. Payton,,63-62,,
6:35.0,D. Booker misses 2-pt shot from 13 ft,,63-62,,
6:33.0,Offensive rebound by D. Booker,,63-62,,
6:32.0,D. Booker makes 2-pt shot at rim,2,65-62,,
6:12.0,,,65-62,,Shooting foul by E. Payton (drawn by M. Chalmers)
6:12.0,,,65-63,1,M. Chalmers makes free throw 1 of 2
6:12.0,,,65-64,1,M. Chalmers makes free throw 2 of 2
6:02.0,D. Booker makes 2-pt shot at rim (assist by A. Len),2,67-64,,
5:59.0,,,67-64,,Turnover by D. Brooks (turnover)
5:59.0,,,67-64,,M. Henry enters the game for J. Green
5:59.0,,,67-64,,A. Harrison enters the game for D. Brooks
5:59.0,D. Bender enters the game for J. Dudley,,67-64,,
5:48.0,D. Bender makes 2-pt shot from 7 ft,2,69-64,,
5:36.0,,,69-64,,M. Gasol misses 2-pt shot from 11 ft
5:35.0,Defensive rebound by A. Len,,69-64,,
5:35.0,,,69-64,,Personal foul by M. Gasol (drawn by A. Len)
5:29.0,Offensive foul by D. Booker (drawn by M. Chalmers),,69-64,,
5:29.0,Turnover by D. Booker (offensive foul),,69-64,,
5:12.0,,,69-67,3,M. Henry makes 3-pt shot from 25 ft (assist by M. Gasol)
5:00.0,Shooting foul by M. Chalmers (drawn by E. Payton),,69-67,,
5:00.0,E. Payton misses free throw 1 of 2,,69-67,,
5:00.0,Offensive rebound by Team,,69-67,,
5:00.0,E. Payton misses free throw 2 of 2,,69-67,,
4:57.0,,,69-67,,Defensive rebound by M. Gasol
4:45.0,,,69-67,,M. Henry misses 2-pt shot from 14 ft
4:41.0,Defensive rebound by D. Booker,,69-67,,
4:37.0,,,69-67,,Personal foul by M. Chalmers (drawn by D. Booker)
4:37.0,,,69-67,,I. Rabb enters the game for M. Chalmers
4:37.0,,,69-67,,B. McLemore enters the game for M. Gasol
4:28.0,T. Daniels misses 3-pt shot from 24 ft,,69-67,,
4:26.0,,,69-67,,Defensive rebound by I. Rabb
4:20.0,,,69-67,,A. Harrison misses 2-pt shot from 15 ft
4:15.0,Defensive rebound by E. Payton,,69-67,,
4:09.0,E. Payton makes 2-pt shot from 16 ft,2,71-67,,
3:44.0,,,71-67,,M. Henry misses 2-pt shot from 10 ft
3:42.0,Defensive rebound by A. Len,,71-67,,
3:39.0,Shooting foul by I. Rabb (drawn by D. Booker),,71-67,,
3:39.0,D. Booker makes free throw 1 of 2,1,72-67,,
3:39.0,J. Jackson enters the game for A. Len,,72-67,,
3:39.0,D. Booker makes free throw 2 of 2,1,73-67,,
3:23.0,,,73-67,,A. Harrison misses 2-pt shot from 2 ft
3:19.0,,,73-67,,Offensive rebound by J. Martin
3:19.0,,,73-67,,J. Martin misses 2-pt shot from 12 ft
3:19.0,Defensive rebound by E. Payton,,73-67,,
3:13.0,Turnover by E. Payton (bad pass; steal by I. Rabb),,73-67,,
3:03.0,Personal foul by E. Payton (drawn by A. Harrison),,73-67,,
3:03.0,,,73-68,1,A. Harrison makes free throw 1 of 2
3:03.0,S. Harrison enters the game for E. Payton,,73-68,,
3:03.0,,,73-69,1,A. Harrison makes free throw 2 of 2
2:49.0,D. Bender makes 3-pt shot from 25 ft (assist by J. Jackson),3,76-69,,
2:33.0,,,76-69,,I. Rabb misses 2-pt shot from 17 ft
2:31.0,Defensive rebound by J. Jackson,,76-69,,
2:27.0,J. Jackson misses 2-pt shot from 10 ft,,76-69,,
2:23.0,Offensive rebound by S. Harrison,,76-69,,
2:23.0,S. Harrison misses 2-pt shot at rim,,76-69,,
2:20.0,,,76-69,,Defensive rebound by B. McLemore
2:13.0,Phoenix full timeout,,76-69,,
2:03.0,,,76-69,,A. Harrison misses 2-pt shot from 18 ft (block by S. Harrison)
2:00.0,Defensive rebound by S. Harrison,,76-69,,
2:00.0,Shooting foul by B. McLemore (drawn by D. Booker),,76-69,,
2:00.0,D. Booker makes free throw 1 of 2,1,77-69,,
2:00.0,D. Booker misses free throw 2 of 2,,77-69,,
1:57.0,,,77-69,,Defensive rebound by J. Martin
1:41.0,,,77-69,,J. Martin misses 2-pt shot from 21 ft
1:38.0,Defensive rebound by D. Booker,,77-69,,
1:21.0,J. Jackson makes 2-pt shot at rim (assist by S. Harrison),2,79-69,,
1:21.0,Shooting foul by M. Henry (drawn by J. Jackson),,79-69,,
1:21.0,J. Jackson makes free throw 1 of 1,1,80-69,,
1:08.0,,,80-72,3,B. McLemore makes 3-pt shot from 25 ft (assist by A. Harrison)
0:52.0,Shooting foul by J. Martin (drawn by J. Jackson),,80-72,,
0:52.0,J. Jackson makes free throw 1 of 2,1,81-72,,
0:52.0,J. Jackson makes free throw 2 of 2,1,82-72,,
0:34.0,,,82-72,,B. McLemore misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by J. Jackson,,82-72,,
0:13.0,J. Jackson misses 2-pt shot from 13 ft,,82-72,,
0:10.0,,,82-72,,Defensive rebound by I. Rabb
0:06.0,,,82-72,,Offensive charge foul by B. McLemore (drawn by J. Jackson)
0:06.0,,,82-72,,Turnover by B. McLemore (offensive foul)
0:01.0,T. Daniels misses 3-pt shot from 23 ft,,82-72,,
0:01.0,,,82-72,,Defensive rebound by J. Martin
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,82-72,,J. Green misses 2-pt shot from 4 ft
11:39.0,,,82-72,,Offensive rebound by M. Henry
11:37.0,,,82-72,,M. Henry misses 2-pt shot from 4 ft (block by D. Bender)
11:35.0,Defensive rebound by E. Payton,,82-72,,
11:33.0,J. Jackson misses 2-pt shot at rim,,82-72,,
11:29.0,,,82-72,,Defensive rebound by M. Henry
11:28.0,,,82-72,,Turnover by M. Henry (lost ball; steal by S. Harrison)
11:16.0,Turnover by D. Bender (bad pass; steal by D. Brooks),,82-72,,
11:12.0,,,82-74,2,B. McLemore makes 2-pt shot from 1 ft (assist by D. Brooks)
11:06.0,Shooting foul by M. Henry (drawn by J. Jackson),,82-74,,
11:06.0,J. Jackson makes free throw 1 of 2,1,83-74,,
11:06.0,,,83-74,,M. Chalmers enters the game for M. Henry
11:06.0,J. Jackson makes free throw 2 of 2,1,84-74,,
11:03.0,,,84-74,,Turnover by J. Green (bad pass; steal by S. Harrison)
11:02.0,,,84-74,,Personal foul by J. Green (drawn by T. Daniels)
11:02.0,,,84-74,,M. Gasol enters the game for A. Harrison
10:54.0,T. Daniels makes 2-pt shot at rim (assist by E. Payton),2,86-74,,
10:37.0,,,86-77,3,M. Chalmers makes 3-pt shot from 25 ft (assist by D. Brooks)
10:19.0,E. Payton misses 2-pt shot from 8 ft,,86-77,,
10:18.0,Offensive rebound by E. Payton,,86-77,,
10:18.0,Shooting foul by B. McLemore (drawn by E. Payton),,86-77,,
10:18.0,E. Payton makes free throw 1 of 2,1,87-77,,
10:18.0,,,87-77,,J. Martin enters the game for B. McLemore
10:18.0,E. Payton makes free throw 2 of 2,1,88-77,,
