time,Atlanta,pts.away,score,pts.home,San Antonio
8:17.0,Personal foul by D. Dedmon (drawn by K. Anderson),,2-4,,
8:10.0,,,2-4,,Shooting foul by L. Babbitt (drawn by P. Gasol)
8:10.0,,,2-5,1,P. Gasol makes free throw 1 of 2
8:10.0,,,2-6,1,P. Gasol makes free throw 2 of 2
8:03.0,Turnover by D. Schroder (out of bounds lost ball),,2-6,,
7:51.0,,,2-9,3,D. Green makes 3-pt shot from 23 ft (assist by P. Mills)
7:33.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by L. Babbitt),2,4-9,,
7:33.0,Shooting foul by P. Gasol (drawn by T. Waller-Prince),,4-9,,
7:33.0,J. Collins enters the game for L. Babbitt,,4-9,,
7:33.0,T. Waller-Prince misses free throw 1 of 1,,4-9,,
7:30.0,,,4-9,,Defensive rebound by P. Gasol
7:18.0,,,4-9,,P. Gasol misses 2-pt shot from 9 ft
7:16.0,Defensive rebound by D. Dedmon,,4-9,,
7:05.0,D. Schroder misses 2-pt shot from 17 ft,,4-9,,
7:04.0,,,4-9,,Defensive rebound by P. Gasol
7:04.0,Personal foul by J. Collins (drawn by P. Gasol),,4-9,,
7:04.0,M. Belinelli enters the game for K. Bazemore,,4-9,,
6:47.0,,,4-9,,L. Aldridge misses 2-pt shot from 12 ft
6:45.0,Defensive rebound by M. Belinelli,,4-9,,
6:29.0,D. Schroder makes 3-pt shot from 25 ft (assist by M. Belinelli),3,7-9,,
6:29.0,,,7-9,,San Antonio full timeout
6:07.0,,,7-12,3,K. Anderson makes 3-pt shot from 24 ft (assist by L. Aldridge)
5:43.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by D. Schroder),3,10-12,,
5:26.0,,,10-12,,P. Gasol misses 2-pt shot from 6 ft
5:26.0,Defensive rebound by M. Belinelli,,10-12,,
5:13.0,D. Schroder misses 2-pt shot from 15 ft,,10-12,,
5:09.0,,,10-12,,Defensive rebound by P. Mills
4:58.0,,,10-12,,L. Aldridge misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by D. Dedmon,,10-12,,
4:37.0,M. Belinelli misses 2-pt shot from 4 ft,,10-12,,
4:37.0,Offensive rebound by D. Dedmon,,10-12,,
4:33.0,D. Dedmon makes 2-pt shot at rim,2,12-12,,
4:25.0,,,12-12,,Turnover by L. Aldridge (out of bounds lost ball)
4:25.0,,,12-12,,R. Gay enters the game for K. Anderson
4:25.0,,,12-12,,J. Lauvergne enters the game for D. Green
4:25.0,,,12-12,,M. Ginobili enters the game for P. Gasol
4:25.0,M. Delaney enters the game for T. Waller-Prince,,12-12,,
4:09.0,D. Dedmon makes 3-pt shot from 23 ft (assist by D. Schroder),3,15-12,,
3:50.0,,,15-14,2,L. Aldridge makes 2-pt shot from 5 ft (assist by P. Mills)
3:27.0,Turnover by D. Dedmon (offensive goaltending),,15-14,,
3:27.0,Atlanta full timeout,,15-14,,
3:27.0,,,15-14,,D. Murray enters the game for P. Mills
3:27.0,T. Waller-Prince enters the game for D. Schroder,,15-14,,
3:09.0,,,15-16,2,R. Gay makes 2-pt shot from 13 ft
2:56.0,M. Belinelli makes 2-pt shot from 21 ft (assist by D. Dedmon),2,17-16,,
2:40.0,,,17-16,,D. Murray misses 2-pt shot from 11 ft
2:37.0,Defensive rebound by T. Waller-Prince,,17-16,,
2:23.0,D. Dedmon makes 2-pt shot from 19 ft (assist by M. Delaney),2,19-16,,
2:04.0,,,19-16,,L. Aldridge misses 2-pt shot from 13 ft
2:02.0,,,19-16,,Offensive rebound by J. Lauvergne
1:55.0,,,19-18,2,M. Ginobili makes 2-pt shot from 2 ft
1:40.0,T. Waller-Prince misses 3-pt shot from 26 ft,,19-18,,
1:37.0,,,19-18,,Defensive rebound by J. Lauvergne
1:29.0,,,19-20,2,J. Lauvergne makes 2-pt shot from 8 ft (assist by D. Murray)
1:10.0,Turnover by M. Belinelli (bad pass; steal by J. Lauvergne),,19-20,,
1:05.0,,,19-20,,L. Aldridge misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by D. Dedmon,,19-20,,
0:55.0,M. Delaney misses 3-pt shot from 25 ft,,19-20,,
0:52.0,,,19-20,,Defensive rebound by J. Lauvergne
0:39.0,,,19-20,,Turnover by M. Ginobili (bad pass; steal by D. Dedmon)
0:33.0,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Waller-Prince),3,22-20,,
0:21.0,,,22-20,,Shooting foul by T. Waller-Prince (drawn by R. Gay)
0:21.0,,,22-21,1,R. Gay makes free throw 1 of 2
0:21.0,,,22-21,,B. Forbes enters the game for L. Aldridge
0:21.0,L. Babbitt enters the game for D. Dedmon,,22-21,,
0:21.0,K. Bazemore enters the game for T. Waller-Prince,,22-21,,
0:21.0,,,22-22,1,R. Gay makes free throw 2 of 2
0:04.0,M. Belinelli misses 3-pt shot from 25 ft,,22-22,,
0:02.0,,,22-22,,Defensive rebound by D. Murray
0:00.0,,,22-24,2,M. Ginobili makes 2-pt shot from 22 ft (assist by D. Murray)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Collins makes 2-pt shot at rim (assist by M. Belinelli),2,24-24,,
11:21.0,,,24-26,2,B. Forbes makes 2-pt shot from 16 ft (assist by D. Murray)
11:05.0,L. Babbitt misses 3-pt shot from 22 ft,,24-26,,
11:02.0,,,24-26,,Defensive rebound by J. Lauvergne
10:59.0,D. Bembry enters the game for M. Belinelli,,24-26,,
10:53.0,,,24-26,,Turnover by D. Murray (out of bounds lost ball)
10:35.0,K. Bazemore misses 2-pt shot from 2 ft,,24-26,,
10:34.0,,,24-26,,Defensive rebound by Team
10:23.0,,,24-28,2,M. Ginobili makes 2-pt shot at rim (assist by J. Lauvergne)
10:10.0,D. Bembry misses 2-pt shot from 10 ft,,24-28,,
10:10.0,Offensive rebound by Team,,24-28,,
10:10.0,,,24-28,,Loose ball foul by D. Murray (drawn by J. Collins)
10:01.0,K. Bazemore misses 2-pt shot from 8 ft,,24-28,,
9:58.0,,,24-28,,Defensive rebound by M. Ginobili
9:50.0,,,24-28,,J. Lauvergne misses 2-pt shot from 2 ft (block by J. Collins)
9:48.0,Defensive rebound by K. Bazemore,,24-28,,
9:38.0,Turnover by D. Bembry (lost ball; steal by B. Forbes),,24-28,,
9:37.0,,,24-28,,Offensive foul by R. Gay (drawn by K. Bazemore)
9:37.0,,,24-28,,Turnover by R. Gay (offensive foul)
9:37.0,,,24-28,,D. Green enters the game for M. Ginobili
9:37.0,D. Schroder enters the game for L. Babbitt,,24-28,,
9:25.0,K. Bazemore misses 3-pt shot from 24 ft,,24-28,,
9:21.0,,,24-28,,Defensive rebound by R. Gay
9:17.0,,,24-28,,Turnover by B. Forbes (traveling)
9:17.0,,,24-28,,P. Gasol enters the game for J. Lauvergne
8:59.0,M. Delaney misses 3-pt shot from 23 ft,,24-28,,
8:59.0,,,24-28,,Defensive rebound by D. Green
8:59.0,Personal foul by M. Delaney (drawn by D. Green),,24-28,,
8:42.0,,,24-30,2,P. Gasol makes 2-pt shot from 5 ft (assist by R. Gay)
8:32.0,D. Schroder misses 3-pt shot from 26 ft,,24-30,,
8:32.0,,,24-30,,Defensive rebound by P. Gasol
8:30.0,,,24-30,,P. Mills enters the game for D. Murray
8:30.0,,,24-30,,K. Anderson enters the game for R. Gay
8:04.0,,,24-32,2,P. Mills makes 2-pt shot from 14 ft (assist by K. Anderson)
7:47.0,J. Collins makes 2-pt shot at rim (assist by D. Bembry),2,26-32,,
7:29.0,,,26-32,,P. Gasol misses 2-pt shot from 5 ft
7:29.0,Defensive rebound by K. Bazemore,,26-32,,
7:19.0,D. Schroder makes 2-pt shot from 2 ft (assist by K. Bazemore),2,28-32,,
7:19.0,,,28-32,,San Antonio full timeout
7:19.0,,,28-32,,L. Aldridge enters the game for P. Gasol
7:05.0,,,28-32,,P. Mills misses 3-pt shot from 25 ft
7:03.0,,,28-32,,Offensive rebound by L. Aldridge
6:57.0,,,28-32,,Turnover by L. Aldridge (turnover)
6:43.0,Turnover by D. Schroder (lost ball; steal by P. Mills),,28-32,,
6:34.0,,,28-34,2,B. Forbes makes 2-pt shot from 10 ft (assist by K. Anderson)
6:30.0,,,28-34,,Personal foul by B. Forbes (drawn by M. Delaney)
6:30.0,M. Belinelli enters the game for M. Delaney,,28-34,,
6:30.0,T. Waller-Prince enters the game for D. Bembry,,28-34,,
6:20.0,M. Belinelli misses 2-pt shot from 2 ft,,28-34,,
6:14.0,Offensive rebound by J. Collins,,28-34,,
6:14.0,J. Collins makes 2-pt shot at rim,2,30-34,,
6:01.0,,,30-37,3,B. Forbes makes 3-pt shot from 24 ft (assist by K. Anderson)
5:39.0,D. Schroder misses 2-pt shot from 8 ft,,30-37,,
5:36.0,,,30-37,,Defensive rebound by L. Aldridge
5:33.0,,,30-37,,K. Anderson misses 2-pt shot from 2 ft (block by K. Bazemore)
5:29.0,,,30-37,,Offensive rebound by P. Mills
5:24.0,,,30-37,,P. Mills misses 3-pt shot from 24 ft
5:24.0,,,30-37,,Offensive rebound by D. Green
5:16.0,,,30-39,2,K. Anderson makes 2-pt shot from 4 ft (assist by P. Mills)
5:16.0,Atlanta full timeout,,30-39,,
5:16.0,D. Dedmon enters the game for J. Collins,,30-39,,
4:57.0,D. Schroder misses 2-pt shot from 2 ft,,30-39,,
4:54.0,,,30-39,,Defensive rebound by P. Mills
4:48.0,,,30-39,,B. Forbes misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by D. Dedmon,,30-39,,
4:28.0,T. Waller-Prince misses 3-pt shot from 25 ft,,30-39,,
4:28.0,,,30-39,,Defensive rebound by L. Aldridge
4:15.0,,,30-39,,K. Anderson misses 2-pt shot from 1 ft (block by D. Dedmon)
4:15.0,Defensive rebound by T. Waller-Prince,,30-39,,
4:07.0,,,30-39,,Violation by L. Aldridge (kicked ball)
4:07.0,,,30-39,,M. Ginobili enters the game for K. Anderson
4:07.0,M. Delaney enters the game for D. Schroder,,30-39,,
3:57.0,M. Belinelli misses 2-pt shot from 19 ft,,30-39,,
3:57.0,,,30-39,,Defensive rebound by D. Green
3:45.0,,,30-39,,Turnover by P. Mills (out of bounds lost ball)
3:45.0,J. Collins enters the game for K. Bazemore,,30-39,,
3:29.0,D. Dedmon misses 2-pt shot from 6 ft,,30-39,,
3:29.0,Offensive rebound by Team,,30-39,,
3:29.0,,,30-39,,Loose ball foul by M. Ginobili (drawn by J. Collins)
3:29.0,,,30-39,,P. Gasol enters the game for B. Forbes
3:23.0,M. Delaney misses 2-pt shot from 16 ft,,30-39,,
3:23.0,,,30-39,,Defensive rebound by P. Mills
3:05.0,,,30-42,3,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili)
2:56.0,Turnover by J. Collins (bad pass; steal by M. Ginobili),,30-42,,
2:54.0,,,30-44,2,M. Ginobili makes 2-pt shot from 1 ft
2:54.0,Atlanta full timeout,,30-44,,
2:36.0,,,30-44,,Personal foul by M. Ginobili (drawn by M. Belinelli)
2:36.0,,,30-44,,R. Gay enters the game for D. Green
2:20.0,M. Belinelli makes 2-pt shot from 21 ft,2,32-44,,
2:04.0,,,32-46,2,P. Gasol makes 2-pt shot from 19 ft (assist by M. Ginobili)
1:48.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,34-46,,
1:36.0,,,34-46,,P. Mills misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by M. Delaney,,34-46,,
1:27.0,T. Waller-Prince misses 3-pt shot from 23 ft,,34-46,,
1:27.0,,,34-46,,Defensive rebound by P. Gasol
1:10.0,,,34-46,,Offensive charge foul by R. Gay (drawn by T. Waller-Prince)
1:10.0,,,34-46,,Turnover by R. Gay (offensive foul)
0:58.0,M. Belinelli misses 3-pt shot from 24 ft,,34-46,,
0:56.0,Offensive rebound by T. Waller-Prince,,34-46,,
0:56.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,36-46,,
0:41.0,Personal foul by D. Dedmon (drawn by L. Aldridge),,36-46,,
0:29.0,,,36-46,,L. Aldridge misses 2-pt shot from 18 ft
0:26.0,Defensive rebound by J. Collins,,36-46,,
0:07.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by M. Delaney),2,38-46,,
0:00.0,,,38-46,,R. Gay misses 2-pt shot from 2 ft (block by D. Dedmon)
0:00.0,,,38-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,38-46,,Personal foul by D. Green (drawn by J. Collins)
11:33.0,J. Collins makes 2-pt shot from 15 ft (assist by D. Schroder),2,40-46,,
11:13.0,,,40-46,,D. Green misses 2-pt shot from 8 ft (block by J. Collins)
11:10.0,,,40-46,,Offensive rebound by P. Mills
11:07.0,,,40-46,,L. Aldridge misses 2-pt shot from 19 ft
11:07.0,Defensive rebound by J. Collins,,40-46,,
10:57.0,Offensive charge foul by J. Collins (drawn by D. Green),,40-46,,
10:57.0,Turnover by J. Collins (offensive foul),,40-46,,
10:40.0,,,40-48,2,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Anderson)
10:24.0,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder),2,42-48,,
10:22.0,,,42-48,,San Antonio full timeout
10:07.0,,,42-48,,P. Mills misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by D. Dedmon,,42-48,,
9:55.0,J. Collins makes 2-pt shot from 15 ft (assist by D. Schroder),2,44-48,,
9:44.0,,,44-48,,Turnover by P. Gasol (bad pass)
9:31.0,D. Schroder makes 2-pt shot from 15 ft,2,46-48,,
9:14.0,,,46-50,2,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Green)
9:04.0,J. Collins misses 2-pt shot from 5 ft (block by P. Mills),,46-50,,
9:00.0,,,46-50,,Defensive rebound by P. Mills
8:59.0,,,46-50,,Turnover by P. Mills (bad pass; steal by K. Bazemore)
8:58.0,J. Collins makes 2-pt shot from 2 ft,2,48-50,,
8:41.0,,,48-50,,D. Green misses 2-pt shot from 10 ft
8:41.0,Defensive rebound by D. Schroder,,48-50,,
8:33.0,K. Bazemore misses 3-pt shot from 25 ft,,48-50,,
8:31.0,,,48-50,,Defensive rebound by P. Mills
8:19.0,,,48-50,,D. Green misses 2-pt shot from 2 ft
8:19.0,,,48-50,,Offensive rebound by K. Anderson
8:12.0,,,48-52,2,K. Anderson makes 2-pt shot at rim
7:59.0,D. Schroder misses 2-pt shot from 15 ft,,48-52,,
7:59.0,Offensive rebound by J. Collins,,48-52,,
7:50.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder),3,51-52,,
7:37.0,,,51-52,,L. Aldridge misses 2-pt shot from 18 ft
7:37.0,,,51-52,,Offensive rebound by D. Green
7:31.0,,,51-52,,D. Green misses 2-pt shot at rim
7:29.0,Defensive rebound by K. Bazemore,,51-52,,
7:26.0,K. Bazemore misses 2-pt shot from 19 ft,,51-52,,
7:26.0,,,51-52,,Defensive rebound by K. Anderson
7:23.0,Personal foul by J. Collins (drawn by L. Aldridge),,51-52,,
7:23.0,,,51-52,,D. Murray enters the game for P. Mills
7:23.0,,,51-52,,R. Gay enters the game for P. Gasol
7:23.0,E. Ilyasova enters the game for J. Collins,,51-52,,
7:16.0,Personal foul by D. Schroder (drawn by D. Murray),,51-52,,
7:10.0,,,51-52,,Turnover by R. Gay (bad pass; steal by D. Schroder)
7:04.0,K. Bazemore misses 3-pt shot from 23 ft,,51-52,,
7:02.0,,,51-52,,Defensive rebound by K. Anderson
6:57.0,,,51-52,,D. Green misses 3-pt shot from 25 ft
6:53.0,,,51-52,,Offensive rebound by R. Gay
6:48.0,,,51-55,3,D. Green makes 3-pt shot from 23 ft (assist by K. Anderson)
6:34.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by D. Schroder),3,54-55,,
6:19.0,,,54-55,,R. Gay misses 2-pt shot from 13 ft
6:19.0,,,54-55,,Offensive rebound by L. Aldridge
6:09.0,,,54-57,2,L. Aldridge makes 2-pt shot at rim
5:51.0,D. Dedmon misses 2-pt shot from 11 ft,,54-57,,
5:48.0,,,54-57,,Defensive rebound by D. Green
5:47.0,,,54-57,,M. Ginobili enters the game for K. Anderson
5:47.0,M. Belinelli enters the game for T. Waller-Prince,,54-57,,
5:47.0,M. Delaney enters the game for K. Bazemore,,54-57,,
5:43.0,,,54-57,,D. Green misses 2-pt shot from 21 ft
5:43.0,Defensive rebound by E. Ilyasova,,54-57,,
5:31.0,Turnover by D. Dedmon (bad pass),,54-57,,
5:31.0,,,54-57,,B. Forbes enters the game for D. Green
5:22.0,Personal foul by D. Dedmon (drawn by L. Aldridge),,54-57,,
5:12.0,,,54-57,,Turnover by R. Gay (bad pass; steal by D. Schroder)
5:07.0,E. Ilyasova makes 2-pt shot from 15 ft (assist by M. Delaney),2,56-57,,
4:48.0,,,56-60,3,M. Ginobili makes 3-pt shot from 24 ft (assist by L. Aldridge)
4:31.0,D. Dedmon makes 2-pt shot from 3 ft (assist by D. Schroder),2,58-60,,
4:31.0,Shooting foul by R. Gay (drawn by D. Dedmon),,58-60,,
4:31.0,,,58-60,,D. Bertans enters the game for R. Gay
4:31.0,D. Dedmon misses free throw 1 of 1,,58-60,,
4:29.0,,,58-60,,Defensive rebound by D. Bertans
4:08.0,,,58-60,,D. Bertans misses 3-pt shot from 28 ft
4:02.0,Defensive rebound by D. Dedmon,,58-60,,
3:51.0,D. Dedmon misses 2-pt shot from 17 ft,,58-60,,
3:49.0,,,58-60,,Defensive rebound by D. Bertans
3:42.0,,,58-60,,M. Ginobili misses 2-pt shot from 9 ft
3:41.0,,,58-60,,Offensive rebound by Team
3:41.0,Personal foul by D. Dedmon (drawn by M. Ginobili),,58-60,,
3:41.0,,,58-60,,P. Gasol enters the game for L. Aldridge
3:41.0,T. Waller-Prince enters the game for D. Dedmon,,58-60,,
3:41.0,T. Cavanaugh enters the game for D. Schroder,,58-60,,
3:33.0,,,58-60,,Turnover by M. Ginobili (bad pass; steal by T. Cavanaugh)
3:31.0,Turnover by T. Cavanaugh (out of bounds lost ball),,58-60,,
3:20.0,,,58-62,2,D. Murray makes 2-pt shot from 1 ft
3:09.0,Turnover by T. Waller-Prince (bad pass; steal by D. Bertans),,58-62,,
3:04.0,,,58-64,2,B. Forbes makes 2-pt shot from 15 ft
3:04.0,Atlanta full timeout,,58-64,,
3:04.0,,,58-64,,K. Anderson enters the game for P. Gasol
3:04.0,J. Collins enters the game for T. Cavanaugh,,58-64,,
2:50.0,J. Collins makes 2-pt shot from 1 ft (assist by M. Delaney),2,60-64,,
2:38.0,,,60-64,,Offensive foul by M. Ginobili (drawn by E. Ilyasova)
2:38.0,,,60-64,,Turnover by M. Ginobili (offensive foul)
2:25.0,M. Delaney misses 2-pt shot from 15 ft (block by K. Anderson),,60-64,,
2:20.0,Offensive rebound by J. Collins,,60-64,,
2:13.0,,,60-64,,Turnover by D. Murray (lost ball; steal by M. Belinelli)
2:02.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by M. Delaney),3,63-64,,
1:44.0,,,63-66,2,K. Anderson makes 2-pt shot from 2 ft
1:34.0,M. Belinelli misses 3-pt shot from 25 ft,,63-66,,
1:34.0,,,63-66,,Defensive rebound by Team
1:34.0,Loose ball foul by J. Collins (drawn by K. Anderson),,63-66,,
1:34.0,,,63-67,1,K. Anderson makes free throw 1 of 2
1:34.0,T. Cavanaugh enters the game for J. Collins,,63-67,,
1:34.0,,,63-68,1,K. Anderson makes free throw 2 of 2
1:12.0,M. Delaney misses 3-pt shot from 25 ft,,63-68,,
1:12.0,,,63-68,,Defensive rebound by Team
0:53.0,,,63-68,,M. Ginobili misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by T. Waller-Prince,,63-68,,
0:45.0,,,63-68,,Personal block foul by D. Bertans (drawn by M. Delaney)
0:29.0,E. Ilyasova misses 3-pt shot from 24 ft,,63-68,,
0:25.0,,,63-68,,Defensive rebound by B. Forbes
0:04.0,,,63-70,2,K. Anderson makes 2-pt shot from 10 ft
0:00.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,65-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,Violation by M. Delaney (kicked ball),,65-70,,
11:53.0,,,65-70,,L. Aldridge enters the game for D. Bertans
11:46.0,,,65-70,,Turnover by B. Forbes (out of bounds lost ball)
11:28.0,K. Bazemore makes 2-pt shot from 3 ft,2,67-70,,
11:14.0,,,67-70,,Turnover by K. Anderson (bad pass)
11:14.0,,,67-70,,P. Mills enters the game for D. Murray
11:03.0,M. Belinelli misses 3-pt shot from 24 ft,,67-70,,
10:58.0,Offensive rebound by T. Waller-Prince,,67-70,,
10:56.0,T. Waller-Prince makes 2-pt shot at rim,2,69-70,,
10:34.0,,,69-70,,B. Forbes misses 3-pt shot from 26 ft
10:30.0,,,69-70,,Offensive rebound by K. Anderson
10:28.0,,,69-73,3,P. Mills makes 3-pt shot from 23 ft (assist by K. Anderson)
10:08.0,M. Belinelli makes 2-pt shot from 14 ft,2,71-73,,
9:51.0,,,71-73,,L. Aldridge misses 2-pt shot from 9 ft
9:49.0,Defensive rebound by T. Waller-Prince,,71-73,,
9:41.0,J. Collins misses 2-pt shot from 3 ft,,71-73,,
9:39.0,,,71-73,,Defensive rebound by L. Aldridge
9:35.0,,,71-73,,B. Forbes misses 3-pt shot from 25 ft
9:35.0,,,71-73,,Offensive rebound by M. Ginobili
9:27.0,,,71-76,3,M. Ginobili makes 3-pt shot from 23 ft (assist by K. Anderson)
9:04.0,K. Bazemore misses 2-pt shot from 3 ft (block by L. Aldridge),,71-76,,
9:04.0,,,71-76,,Defensive rebound by L. Aldridge
8:58.0,,,71-78,2,L. Aldridge makes 2-pt shot from 2 ft (assist by M. Ginobili)
8:58.0,Atlanta full timeout,,71-78,,
8:58.0,,,71-78,,D. Green enters the game for B. Forbes
8:58.0,,,71-78,,B. Paul enters the game for M. Ginobili
8:58.0,D. Schroder enters the game for M. Belinelli,,71-78,,
8:58.0,D. Dedmon enters the game for M. Delaney,,71-78,,
8:44.0,Offensive foul by D. Dedmon (drawn by B. Paul),,71-78,,
8:44.0,Turnover by D. Dedmon (offensive foul),,71-78,,
8:28.0,,,71-78,,L. Aldridge misses 2-pt shot from 12 ft
8:26.0,Defensive rebound by J. Collins,,71-78,,
8:18.0,,,71-78,,Personal block foul by P. Mills (drawn by D. Schroder)
8:03.0,K. Bazemore misses 3-pt shot from 24 ft,,71-78,,
8:01.0,,,71-78,,Defensive rebound by K. Anderson
7:46.0,,,71-78,,D. Green misses 2-pt shot from 8 ft
7:46.0,Defensive rebound by Team,,71-78,,
7:46.0,,,71-78,,Loose ball foul by L. Aldridge (drawn by D. Dedmon)
7:34.0,,,71-78,,Personal block foul by P. Mills (drawn by K. Bazemore)
7:24.0,K. Bazemore misses 2-pt shot from 14 ft (block by P. Mills),,71-78,,
7:20.0,,,71-78,,Defensive rebound by P. Mills
7:19.0,,,71-78,,K. Anderson misses 3-pt shot from 23 ft
7:17.0,,,71-78,,Offensive rebound by L. Aldridge
7:16.0,,,71-78,,L. Aldridge misses 2-pt shot from 2 ft (block by T. Waller-Prince)
7:15.0,Defensive rebound by J. Collins,,71-78,,
7:07.0,D. Schroder makes 2-pt shot from 3 ft,2,73-78,,
7:06.0,,,73-78,,Violation by L. Aldridge (def goaltending)
6:53.0,,,73-78,,B. Paul misses 3-pt shot from 22 ft
6:52.0,Defensive rebound by Team,,73-78,,
6:52.0,M. Belinelli enters the game for K. Bazemore,,73-78,,
6:52.0,M. Delaney enters the game for D. Dedmon,,73-78,,
6:38.0,Turnover by D. Schroder (bad pass; steal by B. Paul),,73-78,,
6:19.0,,,73-78,,D. Green misses 3-pt shot from 25 ft
6:13.0,,,73-78,,Offensive rebound by L. Aldridge
6:12.0,,,73-80,2,L. Aldridge makes 2-pt shot from 1 ft
5:54.0,Shooting foul by D. Green (drawn by T. Waller-Prince),,73-80,,
5:54.0,T. Waller-Prince misses free throw 1 of 2,,73-80,,
5:54.0,Offensive rebound by Team,,73-80,,
5:54.0,,,73-80,,M. Ginobili enters the game for K. Anderson
5:54.0,T. Waller-Prince misses free throw 2 of 2,,73-80,,
5:51.0,,,73-80,,Defensive rebound by D. Green
5:31.0,,,73-80,,L. Aldridge misses 2-pt shot from 13 ft
5:29.0,Defensive rebound by D. Schroder,,73-80,,
5:23.0,Shooting foul by L. Aldridge (drawn by J. Collins),,73-80,,
5:23.0,J. Collins makes free throw 1 of 2,1,74-80,,
5:23.0,,,74-80,,B. Forbes enters the game for B. Paul
5:23.0,J. Collins misses free throw 2 of 2,,74-80,,
5:20.0,,,74-80,,Defensive rebound by D. Green
5:07.0,,,74-82,2,L. Aldridge makes 2-pt shot from 3 ft (assist by P. Mills)
4:46.0,D. Schroder makes 3-pt shot from 24 ft,3,77-82,,
4:31.0,,,77-84,2,L. Aldridge makes 2-pt shot from 20 ft (assist by P. Mills)
4:08.0,D. Schroder misses 2-pt shot from 5 ft (block by D. Green),,77-84,,
4:01.0,,,77-84,,Defensive rebound by D. Green
3:47.0,,,77-84,,M. Ginobili misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by J. Collins,,77-84,,
3:34.0,,,77-84,,Personal foul by M. Ginobili (drawn by M. Belinelli)
3:34.0,M. Belinelli makes free throw 1 of 2,1,78-84,,
