time,Boston,pts.away,score,pts.home,Toronto
1:49.0,S. Ojeleye misses 2-pt shot from 1 ft (block by K. Lowry),,29-40,,
1:46.0,,,29-40,,Defensive rebound by K. Lowry
1:32.0,,,29-43,3,D. DeRozan makes 3-pt shot from 24 ft (assist by D. Wright)
1:30.0,Boston full timeout,,29-43,,
1:30.0,M. Morris enters the game for A. Nader,,29-43,,
1:30.0,T. Rozier enters the game for S. Ojeleye,,29-43,,
1:13.0,M. Morris makes 2-pt shot from 18 ft,2,31-43,,
0:56.0,,,31-43,,K. Lowry misses 3-pt shot from 26 ft
0:53.0,Defensive rebound by T. Rozier,,31-43,,
0:45.0,A. Horford misses 3-pt shot from 25 ft,,31-43,,
0:42.0,,,31-43,,Defensive rebound by D. Wright
0:35.0,,,31-43,,D. DeRozan misses 3-pt shot from 26 ft
0:35.0,,,31-43,,Offensive rebound by Team
0:35.0,Personal foul by A. Horford (drawn by L. Nogueira),,31-43,,
0:33.0,,,31-43,,D. DeRozan misses 2-pt shot from 11 ft
0:30.0,Defensive rebound by A. Horford,,31-43,,
0:22.0,J. Tatum makes 2-pt shot from 13 ft,2,33-43,,
0:00.0,,,33-43,,D. DeRozan misses 2-pt shot from 10 ft
0:00.0,,,33-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Horford misses 2-pt shot from 14 ft,,33-43,,
11:41.0,,,33-43,,Defensive rebound by O. Anunoby
11:21.0,,,33-43,,D. DeRozan misses 2-pt shot from 13 ft
11:18.0,Defensive rebound by T. Rozier,,33-43,,
11:12.0,T. Rozier misses 2-pt shot from 6 ft,,33-43,,
11:09.0,,,33-43,,Defensive rebound by D. DeRozan
11:02.0,,,33-43,,O. Anunoby misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by T. Rozier,,33-43,,
10:55.0,T. Rozier misses 2-pt shot from 1 ft (block by S. Ibaka),,33-43,,
10:52.0,,,33-43,,Defensive rebound by D. DeRozan
10:41.0,,,33-45,2,S. Ibaka makes 2-pt shot from 3 ft
10:19.0,T. Rozier misses 3-pt shot from 22 ft,,33-45,,
10:17.0,,,33-45,,Defensive rebound by K. Lowry
9:55.0,,,33-45,,K. Lowry misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by A. Baynes,,33-45,,
