time,Memphis,pts.away,score,pts.home,Charlotte
7:01.0,Defensive rebound by J. Martin,,24-48,,
6:53.0,T. Evans makes 2-pt shot from 1 ft,2,26-48,,
6:37.0,,,26-48,,M. Monk misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by J. Green,,26-48,,
6:23.0,M. Chalmers makes 2-pt shot from 1 ft,2,28-48,,
6:00.0,,,28-48,,T. Graham misses 3-pt shot from 27 ft
5:54.0,,,28-48,,Offensive rebound by M. Monk
5:52.0,,,28-50,2,D. Bacon makes 2-pt shot from 1 ft (assist by F. Kaminsky)
5:44.0,T. Evans misses 2-pt shot at rim,,28-50,,
5:44.0,Offensive rebound by T. Evans,,28-50,,
5:44.0,T. Evans makes 2-pt shot at rim,2,30-50,,
5:44.0,Shooting foul by F. Kaminsky (drawn by T. Evans),,30-50,,
5:44.0,,,30-50,,M. Williams enters the game for M. Kidd-Gilchrist
5:44.0,,,30-50,,K. Walker enters the game for T. Graham
5:44.0,T. Evans misses free throw 1 of 1,,30-50,,
5:44.0,,,30-50,,Defensive rebound by D. Bacon
5:35.0,Personal foul by T. Evans (drawn by K. Walker),,30-50,,
5:27.0,,,30-50,,F. Kaminsky misses 2-pt shot from 11 ft
5:24.0,Defensive rebound by J. Green,,30-50,,
5:15.0,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans),2,32-50,,
4:54.0,,,32-53,3,K. Walker makes 3-pt shot from 25 ft
4:37.0,T. Evans makes 2-pt shot from 1 ft,2,34-53,,
4:21.0,,,34-53,,Offensive foul by F. Kaminsky (drawn by M. Chalmers)
4:21.0,,,34-53,,Turnover by F. Kaminsky (offensive foul)
4:21.0,,,34-53,,W. Hernangomez enters the game for M. Monk
4:21.0,,,34-53,,J. Lamb enters the game for F. Kaminsky
4:21.0,D. Brooks enters the game for M. Chalmers,,34-53,,
4:11.0,T. Evans makes 3-pt shot from 25 ft,3,37-53,,
4:02.0,Personal foul by D. Davis (drawn by W. Hernangomez),,37-53,,
3:50.0,,,37-56,3,K. Walker makes 3-pt shot from 26 ft
3:36.0,Turnover by T. Evans (bad pass; steal by J. Lamb),,37-56,,
3:22.0,,,37-59,3,K. Walker makes 3-pt shot from 25 ft (assist by W. Hernangomez)
3:11.0,Turnover by T. Evans (bad pass; steal by K. Walker),,37-59,,
3:08.0,,,37-59,,Shooting foul by D. Brooks (drawn by K. Walker)
3:08.0,,,37-60,1,K. Walker makes free throw 1 of 3
3:08.0,,,37-61,1,K. Walker makes free throw 2 of 3
3:08.0,,,37-61,,T. Graham enters the game for D. Bacon
3:08.0,B. Weber enters the game for T. Evans,,37-61,,
3:08.0,W. Selden enters the game for D. Davis,,37-61,,
3:08.0,,,37-62,1,K. Walker makes free throw 3 of 3
2:45.0,J. Green misses 2-pt shot from 2 ft,,37-62,,
2:43.0,,,37-62,,Defensive rebound by J. Lamb
2:41.0,,,37-62,,Offensive foul by J. Lamb (drawn by B. Weber)
2:41.0,,,37-62,,Turnover by J. Lamb (offensive foul)
2:41.0,Memphis full timeout,,37-62,,
2:41.0,,,37-62,,M. Monk enters the game for J. Lamb
2:25.0,J. Martin makes 2-pt shot from 15 ft (assist by J. Green),2,39-62,,
2:11.0,,,39-62,,Shooting foul by J. Martin (drawn by M. Williams)
2:11.0,,,39-62,,M. Williams misses free throw 1 of 2
2:11.0,,,39-62,,Offensive rebound by Team
2:11.0,,,39-63,1,M. Williams makes free throw 2 of 2
1:56.0,W. Selden misses 2-pt shot from 18 ft,,39-63,,
1:51.0,,,39-63,,Defensive rebound by M. Williams
1:39.0,,,39-65,2,W. Hernangomez makes 2-pt shot from 6 ft
1:20.0,Shooting foul by K. Walker (drawn by W. Selden),,39-65,,
1:20.0,W. Selden makes free throw 1 of 2,1,40-65,,
1:20.0,W. Selden misses free throw 2 of 2,,40-65,,
1:18.0,,,40-65,,Defensive rebound by W. Hernangomez
1:01.0,,,40-65,,W. Hernangomez misses 2-pt shot from 1 ft
0:59.0,,,40-65,,Offensive rebound by W. Hernangomez
0:59.0,,,40-67,2,W. Hernangomez makes 2-pt shot at rim
0:49.0,J. Martin misses 2-pt shot from 1 ft (block by M. Williams),,40-67,,
0:46.0,,,40-67,,Defensive rebound by W. Hernangomez
0:46.0,Personal foul by J. Green (drawn by M. Monk),,40-67,,
0:46.0,,,40-68,1,M. Monk makes free throw 1 of 2
0:46.0,,,40-69,1,M. Monk makes free throw 2 of 2
0:33.0,B. Weber misses 2-pt shot from 2 ft,,40-69,,
0:30.0,,,40-69,,Defensive rebound by W. Hernangomez
0:26.0,,,40-72,3,K. Walker makes 3-pt shot from 25 ft
0:11.0,,,40-72,,Personal foul by M. Monk (drawn by B. Weber)
0:11.0,B. Weber makes free throw 1 of 2,1,41-72,,
0:11.0,B. Weber makes free throw 2 of 2,1,42-72,,
0:01.0,,,42-74,2,K. Walker makes 2-pt shot from 3 ft
0:01.0,,,42-74,,Shooting foul by J. Green (drawn by K. Walker)
0:01.0,,,42-75,1,K. Walker makes free throw 1 of 1
0:00.0,J. Martin misses 3-pt shot from 65 ft,,42-75,,
0:00.0,Offensive rebound by Team,,42-75,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Davis misses 2-pt shot from 18 ft,,42-75,,
11:30.0,Offensive rebound by J. Martin,,42-75,,
11:30.0,J. Martin misses 2-pt shot at rim,,42-75,,
11:29.0,,,42-75,,Defensive rebound by K. Walker
11:27.0,,,42-75,,Turnover by J. Lamb (bad pass; steal by T. Evans)
11:23.0,D. Brooks makes 2-pt shot from 2 ft,2,44-75,,
11:09.0,,,44-75,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
11:03.0,,,44-75,,Offensive rebound by W. Hernangomez
11:03.0,,,44-77,2,W. Hernangomez makes 2-pt shot at rim
10:52.0,J. Green misses 2-pt shot from 2 ft (block by W. Hernangomez),,44-77,,
10:50.0,,,44-77,,Defensive rebound by J. Lamb
10:44.0,,,44-77,,K. Walker misses 3-pt shot from 26 ft
10:42.0,,,44-77,,Offensive rebound by W. Hernangomez
10:37.0,,,44-80,3,K. Walker makes 3-pt shot from 25 ft (assist by W. Hernangomez)
10:22.0,J. Martin misses 2-pt shot from 18 ft,,44-80,,
10:19.0,,,44-80,,Defensive rebound by M. Kidd-Gilchrist
10:07.0,,,44-80,,M. Williams misses 3-pt shot from 23 ft
10:04.0,Defensive rebound by T. Evans,,44-80,,
9:52.0,D. Brooks makes 3-pt shot from 25 ft (assist by T. Evans),3,47-80,,
9:25.0,,,47-80,,W. Hernangomez misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by J. Martin,,47-80,,
9:13.0,J. Green makes 3-pt shot from 23 ft (assist by T. Evans),3,50-80,,
9:01.0,,,50-80,,Turnover by K. Walker (bad pass)
8:49.0,D. Brooks misses 3-pt shot from 26 ft,,50-80,,
8:45.0,,,50-80,,Defensive rebound by M. Kidd-Gilchrist
8:27.0,,,50-82,2,W. Hernangomez makes 2-pt shot from 7 ft (assist by J. Lamb)
8:27.0,,,50-82,,Shooting foul by J. Green (drawn by W. Hernangomez)
8:27.0,,,50-82,,W. Hernangomez misses free throw 1 of 1
8:27.0,Defensive rebound by J. Green,,50-82,,
8:04.0,T. Evans misses 3-pt shot from 25 ft,,50-82,,
8:02.0,,,50-82,,Defensive rebound by K. Walker
7:46.0,,,50-85,3,K. Walker makes 3-pt shot from 24 ft (assist by J. Lamb)
7:34.0,Shooting foul by W. Hernangomez (drawn by T. Evans),,50-85,,
7:34.0,T. Evans makes free throw 1 of 2,1,51-85,,
7:34.0,T. Evans misses free throw 2 of 2,,51-85,,
7:28.0,,,51-85,,Defensive rebound by W. Hernangomez
7:20.0,,,51-88,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
6:56.0,T. Evans makes 2-pt shot from 19 ft,2,53-88,,
6:40.0,,,53-88,,M. Williams misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by J. Martin,,53-88,,
6:23.0,Turnover by D. Brooks (bad pass),,53-88,,
6:23.0,,,53-88,,Charlotte full timeout
6:23.0,B. Johnson enters the game for D. Brooks,,53-88,,
6:23.0,M. Chalmers enters the game for D. Davis,,53-88,,
6:07.0,,,53-88,,Turnover by K. Walker (bad pass; steal by B. Johnson)
6:03.0,T. Evans misses 2-pt shot from 2 ft,,53-88,,
6:00.0,Offensive rebound by J. Martin,,53-88,,
6:00.0,J. Martin misses 2-pt shot from 2 ft,,53-88,,
6:00.0,,,53-88,,Defensive rebound by M. Kidd-Gilchrist
5:50.0,,,53-88,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by J. Green,,53-88,,
5:42.0,J. Martin misses 2-pt shot from 2 ft,,53-88,,
5:40.0,,,53-88,,Defensive rebound by M. Williams
5:23.0,,,53-91,3,J. Lamb makes 3-pt shot from 25 ft
5:11.0,Turnover by T. Evans (bad pass; steal by M. Williams),,53-91,,
5:09.0,,,53-91,,Shooting foul by J. Green (drawn by M. Williams)
5:09.0,,,53-92,1,M. Williams makes free throw 1 of 2
5:09.0,W. Selden enters the game for J. Green,,53-92,,
5:09.0,K. Simmons enters the game for T. Evans,,53-92,,
5:09.0,,,53-93,1,M. Williams makes free throw 2 of 2
4:54.0,M. Chalmers misses 3-pt shot from 25 ft,,53-93,,
4:50.0,,,53-93,,Defensive rebound by M. Williams
4:42.0,,,53-93,,J. Lamb misses 2-pt shot from 1 ft (block by B. Johnson)
4:39.0,,,53-93,,Offensive rebound by Team
4:39.0,,,53-93,,D. Bacon enters the game for M. Kidd-Gilchrist
4:39.0,,,53-93,,F. Kaminsky enters the game for W. Hernangomez
4:27.0,,,53-96,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker)
4:09.0,Turnover by M. Chalmers (lost ball; steal by F. Kaminsky),,53-96,,
4:03.0,,,53-99,3,K. Walker makes 3-pt shot from 28 ft
4:03.0,Memphis full timeout,,53-99,,
4:03.0,B. McLemore enters the game for J. Martin,,53-99,,
3:50.0,B. McLemore misses 2-pt shot from 15 ft,,53-99,,
3:46.0,,,53-99,,Defensive rebound by K. Walker
3:30.0,,,53-99,,Shooting foul by B. McLemore (drawn by K. Walker)
3:30.0,,,53-100,1,K. Walker makes free throw 1 of 2
3:30.0,,,53-101,1,K. Walker makes free throw 2 of 2
3:13.0,K. Simmons makes 2-pt shot from 1 ft,2,55-101,,
3:04.0,,,55-101,,K. Walker misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by B. Johnson,,55-101,,
2:57.0,Turnover by K. Simmons (out of bounds lost ball),,55-101,,
2:34.0,,,55-101,,Turnover by J. Lamb (bad pass; steal by W. Selden)
2:28.0,W. Selden makes 2-pt shot from 11 ft,2,57-101,,
2:04.0,,,57-101,,K. Walker misses 2-pt shot from 5 ft
2:01.0,Defensive rebound by B. McLemore,,57-101,,
1:55.0,M. Chalmers misses 3-pt shot from 28 ft,,57-101,,
1:49.0,Offensive rebound by B. McLemore,,57-101,,
1:48.0,Offensive charge foul by W. Selden (drawn by K. Walker),,57-101,,
1:48.0,Turnover by W. Selden (offensive foul),,57-101,,
1:48.0,,,57-101,,T. Graham enters the game for M. Williams
1:48.0,,,57-101,,J. Stone enters the game for K. Walker
1:26.0,,,57-101,,T. Graham misses 2-pt shot from 8 ft
1:21.0,Defensive rebound by M. Chalmers,,57-101,,
1:08.0,W. Selden misses 2-pt shot from 16 ft,,57-101,,
1:05.0,,,57-101,,Defensive rebound by J. Stone
0:57.0,,,57-103,2,D. Bacon makes 2-pt shot from 5 ft
0:49.0,B. Johnson misses 2-pt shot from 21 ft,,57-103,,
0:44.0,,,57-103,,Defensive rebound by J. Lamb
0:37.0,,,57-105,2,D. Bacon makes 2-pt shot from 1 ft (assist by J. Lamb)
0:23.0,Turnover by B. McLemore (bad pass; steal by D. Bacon),,57-105,,
0:20.0,Technical foul by B. McLemore (drawn by D. Bacon),,57-105,,
0:20.0,,,57-106,1,D. Bacon makes flagrant free throw 1 of 2
0:20.0,,,57-107,1,D. Bacon makes flagrant free throw 2 of 2
0:16.0,Personal foul by W. Selden (drawn by J. Lamb),,57-107,,
0:16.0,,,57-108,1,J. Lamb makes free throw 1 of 2
0:16.0,,,57-109,1,J. Lamb makes free throw 2 of 2
0:05.0,Turnover by M. Chalmers (step out of bounds),,57-109,,
0:00.0,,,57-112,3,J. Lamb makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,57-114,2,T. Graham makes 2-pt shot from 17 ft (assist by F. Kaminsky)
11:18.0,B. McLemore makes 2-pt shot from 12 ft (assist by K. Simmons),2,59-114,,
11:00.0,,,59-114,,M. Paige misses 2-pt shot from 2 ft (block by D. Davis)
10:57.0,Defensive rebound by J. Martin,,59-114,,
10:42.0,J. Martin misses 2-pt shot from 20 ft,,59-114,,
10:39.0,,,59-114,,Defensive rebound by D. Bacon
10:31.0,,,59-117,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by D. Bacon)
10:02.0,B. McLemore misses 3-pt shot from 27 ft,,59-117,,
9:58.0,,,59-117,,Defensive rebound by J. Stone
9:52.0,,,59-117,,D. Bacon misses 2-pt shot from 10 ft
9:50.0,Defensive rebound by D. Davis,,59-117,,
9:44.0,D. Davis misses 2-pt shot from 20 ft,,59-117,,
9:41.0,,,59-117,,Defensive rebound by F. Kaminsky
9:26.0,Personal foul by B. Weber (drawn by D. Bacon),,59-117,,
9:26.0,,,59-117,,M. Mathiang enters the game for F. Kaminsky
9:20.0,,,59-117,,Shooting foul by J. Martin (drawn by T. Graham)
9:20.0,,,59-117,,T. Graham misses free throw 1 of 2
9:20.0,,,59-117,,Offensive rebound by Team
9:20.0,,,59-118,1,T. Graham makes free throw 2 of 2
9:10.0,B. McLemore misses 2-pt shot from 13 ft,,59-118,,
9:05.0,,,59-118,,Defensive rebound by M. Mathiang
8:58.0,,,59-120,2,D. Bacon makes 2-pt shot from 20 ft
8:40.0,K. Simmons misses 3-pt shot from 25 ft,,59-120,,
8:33.0,Offensive rebound by D. Davis,,59-120,,
8:33.0,Shooting foul by T. Graham (drawn by J. Martin),,59-120,,
8:33.0,Memphis full timeout,,59-120,,
8:33.0,J. Martin makes free throw 1 of 2,1,60-120,,
8:33.0,J. Martin makes free throw 2 of 2,1,61-120,,
8:20.0,,,61-120,,M. Paige misses 3-pt shot from 24 ft
8:16.0,,,61-120,,Offensive rebound by M. Mathiang
8:14.0,,,61-120,,T. Graham misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by K. Simmons,,61-120,,
8:02.0,J. Martin makes 2-pt shot from 12 ft,2,63-120,,
7:42.0,Personal foul by J. Martin (drawn by D. Bacon),,63-120,,
7:34.0,,,63-122,2,M. Paige makes 2-pt shot from 8 ft (assist by J. Stone)
7:21.0,Offensive foul by B. McLemore (drawn by T. Graham),,63-122,,
7:21.0,Turnover by B. McLemore (offensive foul),,63-122,,
6:55.0,,,63-124,2,M. Mathiang makes 2-pt shot from 1 ft (assist by D. Bacon)
6:44.0,Offensive foul by J. Martin (drawn by J. Stone),,63-124,,
6:44.0,Turnover by J. Martin (offensive foul),,63-124,,
6:44.0,W. Selden enters the game for J. Martin,,63-124,,
6:35.0,,,63-124,,D. Bacon misses 2-pt shot from 11 ft (block by B. Weber)
6:35.0,,,63-124,,Offensive rebound by Team
6:33.0,,,63-124,,T. Graham misses 3-pt shot from 24 ft
6:29.0,,,63-124,,Offensive rebound by T. Graham
6:28.0,,,63-126,2,M. Mathiang makes 2-pt shot from 1 ft (assist by T. Graham)
6:11.0,Turnover by W. Selden (bad pass; steal by M. Mathiang),,63-126,,
6:06.0,,,63-126,,M. Mathiang misses 2-pt shot from 2 ft
6:06.0,Defensive rebound by Team,,63-126,,
5:45.0,Shooting foul by J. Stone (drawn by B. McLemore),,63-126,,
5:45.0,B. McLemore makes free throw 1 of 2,1,64-126,,
5:45.0,B. McLemore makes free throw 2 of 2,1,65-126,,
5:34.0,,,65-126,,D. Bacon misses 2-pt shot from 12 ft
5:31.0,Defensive rebound by W. Selden,,65-126,,
5:26.0,D. Davis makes 2-pt shot from 5 ft (assist by W. Selden),2,67-126,,
5:01.0,,,67-126,,J. Stone misses 3-pt shot from 26 ft (block by W. Selden)
5:01.0,,,67-126,,Offensive rebound by Team
5:01.0,,,67-126,,Turnover by Team (shot clock)
4:52.0,W. Selden makes 3-pt shot from 27 ft (assist by K. Simmons),3,70-126,,
4:25.0,,,70-126,,T. Graham misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by B. McLemore,,70-126,,
4:17.0,W. Selden makes 2-pt shot from 2 ft (assist by B. McLemore),2,72-126,,
3:59.0,,,72-126,,Shooting foul by D. Davis (drawn by M. Paige)
3:59.0,,,72-127,1,M. Paige makes free throw 1 of 2
3:59.0,B. Johnson enters the game for D. Davis,,72-127,,
3:59.0,,,72-128,1,M. Paige makes free throw 2 of 2
3:46.0,B. Johnson misses 2-pt shot from 19 ft,,72-128,,
3:42.0,,,72-128,,Defensive rebound by M. Paige
3:37.0,,,72-128,,Offensive foul by T. Graham (drawn by K. Simmons)
3:37.0,,,72-128,,Turnover by T. Graham (offensive foul)
3:25.0,K. Simmons misses 2-pt shot from 11 ft,,72-128,,
3:22.0,,,72-128,,Defensive rebound by D. Bacon
3:18.0,,,72-130,2,M. Mathiang makes 2-pt shot from 1 ft (assist by D. Bacon)
3:06.0,B. McLemore misses 2-pt shot from 3 ft,,72-130,,
3:04.0,,,72-130,,Defensive rebound by J. Stone
3:00.0,,,72-133,3,M. Paige makes 3-pt shot from 22 ft (assist by D. Bacon)
2:39.0,Shooting foul by M. Mathiang (drawn by B. Johnson),,72-133,,
2:39.0,,,72-133,,Charlotte full timeout
2:39.0,B. Johnson misses free throw 1 of 2,,72-133,,
2:39.0,Offensive rebound by Team,,72-133,,
2:39.0,B. Johnson misses free throw 2 of 2,,72-133,,
2:36.0,,,72-133,,Defensive rebound by M. Mathiang
