time,Toronto,pts.away,score,pts.home,Utah
7:08.0,,,14-10,,Utah full timeout
7:08.0,,,14-10,,D. Mitchell enters the game for R. Rubio
6:55.0,,,14-10,,R. Hood misses 2-pt shot from 13 ft
6:52.0,Defensive rebound by J. Valanciunas,,14-10,,
6:48.0,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry),2,16-10,,
6:34.0,,,16-10,,Offensive foul by R. Gobert (drawn by K. Lowry)
6:34.0,,,16-10,,Turnover by R. Gobert (offensive foul)
6:25.0,Turnover by K. Lowry (bad pass),,16-10,,
6:16.0,,,16-10,,D. Mitchell misses 2-pt shot from 15 ft
6:13.0,Defensive rebound by J. Valanciunas,,16-10,,
6:02.0,J. Valanciunas misses 2-pt shot from 3 ft (block by R. Gobert),,16-10,,
5:59.0,,,16-10,,Defensive rebound by J. Ingles
5:51.0,,,16-10,,Turnover by J. Ingles (bad pass; steal by J. Valanciunas)
5:46.0,N. Powell misses 3-pt shot from 24 ft,,16-10,,
5:42.0,,,16-10,,Defensive rebound by R. Gobert
5:38.0,,,16-13,3,J. Ingles makes 3-pt shot from 22 ft (assist by R. Hood)
5:14.0,D. DeRozan misses 2-pt shot from 12 ft,,16-13,,
5:13.0,,,16-13,,Defensive rebound by R. Gobert
5:13.0,Loose ball foul by D. DeRozan (drawn by R. Gobert),,16-13,,
5:13.0,,,16-13,,J. Jerebko enters the game for D. Favors
5:13.0,L. Nogueira enters the game for J. Valanciunas,,16-13,,
5:02.0,,,16-15,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
4:44.0,,,16-15,,Personal block foul by J. Jerebko (drawn by N. Powell)
4:36.0,Shooting foul by J. Jerebko (drawn by D. DeRozan),,16-15,,
4:36.0,D. DeRozan makes free throw 1 of 2,1,17-15,,
4:36.0,O. Anunoby enters the game for N. Powell,,17-15,,
4:36.0,D. DeRozan makes free throw 2 of 2,1,18-15,,
4:19.0,,,18-15,,R. Gobert misses 2-pt shot from 2 ft
4:17.0,Defensive rebound by K. Lowry,,18-15,,
4:17.0,,,18-15,,Personal foul by D. Mitchell (drawn by K. Lowry)
4:17.0,,,18-15,,A. Burks enters the game for R. Hood
4:04.0,,,18-15,,Personal foul by D. Mitchell (drawn by K. Lowry)
3:58.0,S. Ibaka makes 3-pt shot from 25 ft (assist by O. Anunoby),3,21-15,,
3:37.0,,,21-15,,R. Gobert misses 2-pt shot from 2 ft (block by L. Nogueira)
3:34.0,,,21-15,,Offensive rebound by J. Jerebko
3:34.0,Shooting block foul by O. Anunoby (drawn by J. Jerebko),,21-15,,
3:34.0,,,21-16,1,J. Jerebko makes free throw 1 of 2
3:34.0,,,21-16,,T. Sefolosha enters the game for J. Ingles
3:34.0,,,21-16,,J. Jerebko misses free throw 2 of 2
3:32.0,Defensive rebound by S. Ibaka,,21-16,,
3:09.0,D. DeRozan makes 2-pt shot from 9 ft,2,23-16,,
3:01.0,,,23-16,,D. Mitchell misses 2-pt shot from 2 ft
2:56.0,,,23-16,,Offensive rebound by R. Gobert
2:56.0,,,23-18,2,R. Gobert makes 2-pt shot at rim
2:52.0,Toronto full timeout,,23-18,,
2:52.0,,,23-18,,E. Udoh enters the game for R. Gobert
2:52.0,P. Siakam enters the game for K. Lowry,,23-18,,
2:52.0,D. Wright enters the game for S. Ibaka,,23-18,,
2:45.0,D. DeRozan misses 2-pt shot from 18 ft,,23-18,,
2:42.0,,,23-18,,Defensive rebound by J. Jerebko
2:34.0,,,23-18,,Offensive foul by J. Jerebko (drawn by D. Wright)
2:34.0,,,23-18,,Turnover by J. Jerebko (offensive foul)
2:10.0,O. Anunoby makes 2-pt shot from 1 ft (assist by P. Siakam),2,25-18,,
1:56.0,,,25-18,,A. Burks misses 2-pt shot from 9 ft
1:52.0,Defensive rebound by D. Wright,,25-18,,
1:46.0,L. Nogueira misses 3-pt shot from 25 ft,,25-18,,
1:43.0,,,25-18,,Defensive rebound by J. Jerebko
1:31.0,,,25-20,2,D. Mitchell makes 2-pt shot from 2 ft
1:31.0,Violation by L. Nogueira (def goaltending),,25-20,,
1:14.0,P. Siakam makes 2-pt shot from 9 ft,2,27-20,,
0:57.0,,,27-20,,Shooting foul by L. Nogueira (drawn by A. Burks)
0:57.0,,,27-21,1,A. Burks makes free throw 1 of 2
0:57.0,,,27-21,,R. Rubio enters the game for J. Jerebko
0:57.0,,,27-22,1,A. Burks makes free throw 2 of 2
0:44.0,D. Wright makes 2-pt shot from 3 ft,2,29-22,,
0:36.0,Personal foul by D. Wright (drawn by R. Rubio),,29-22,,
0:36.0,,,29-23,1,R. Rubio makes free throw 1 of 2
0:36.0,,,29-24,1,R. Rubio makes free throw 2 of 2
0:29.0,Turnover by D. DeRozan (turnover),,29-24,,
0:29.0,Loose ball foul by D. DeRozan (drawn by T. Sefolosha),,29-24,,
0:29.0,,,29-25,1,T. Sefolosha makes free throw 1 of 2
0:29.0,F. VanVleet enters the game for D. DeRozan,,29-25,,
0:29.0,,,29-26,1,T. Sefolosha makes free throw 2 of 2
0:13.0,P. Siakam misses 3-pt shot from 25 ft,,29-26,,
0:10.0,,,29-26,,Defensive rebound by A. Burks
0:02.0,,,29-26,,D. Mitchell misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by L. Nogueira,,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-29,3,R. Hood makes 3-pt shot from 25 ft (assist by E. Udoh)
11:24.0,Turnover by D. Wright (bad pass; steal by T. Sefolosha),,29-29,,
11:18.0,,,29-29,,Turnover by R. Rubio (bad pass; steal by D. Wright)
11:18.0,,,29-29,,Personal foul by T. Sefolosha (drawn by D. Wright)
11:02.0,P. Siakam misses 2-pt shot from 2 ft,,29-29,,
10:58.0,Offensive rebound by J. Poeltl,,29-29,,
10:58.0,J. Poeltl makes 2-pt shot at rim,2,31-29,,
10:45.0,,,31-31,2,D. Favors makes 2-pt shot from 7 ft
10:24.0,P. Siakam makes 2-pt shot from 6 ft,2,33-31,,
10:10.0,Personal foul by D. Wright (drawn by R. Hood),,33-31,,
10:10.0,,,33-31,,A. Burks enters the game for T. Sefolosha
10:00.0,,,33-33,2,D. Favors makes 2-pt shot from 8 ft
9:42.0,P. Siakam misses 3-pt shot from 25 ft,,33-33,,
9:38.0,,,33-33,,Defensive rebound by A. Burks
9:35.0,Shooting block foul by D. Wright (drawn by R. Hood),,33-33,,
9:35.0,,,33-34,1,R. Hood makes free throw 1 of 2
9:35.0,K. Lowry enters the game for D. Wright,,33-34,,
9:35.0,,,33-35,1,R. Hood makes free throw 2 of 2
9:18.0,O. Anunoby misses 3-pt shot from 25 ft,,33-35,,
9:14.0,,,33-35,,Defensive rebound by A. Burks
9:08.0,,,33-35,,D. Favors misses 2-pt shot from 15 ft
9:04.0,Defensive rebound by O. Anunoby,,33-35,,
8:47.0,P. Siakam makes 2-pt shot from 2 ft,2,35-35,,
8:47.0,Shooting foul by E. Udoh (drawn by P. Siakam),,35-35,,
8:47.0,N. Powell enters the game for O. Anunoby,,35-35,,
8:47.0,P. Siakam misses free throw 1 of 1,,35-35,,
8:43.0,,,35-35,,Defensive rebound by D. Favors
8:32.0,,,35-35,,Turnover by D. Favors (bad pass; steal by F. VanVleet)
8:29.0,J. Poeltl makes 2-pt shot from 1 ft (assist by K. Lowry),2,37-35,,
8:29.0,Shooting foul by R. Rubio (drawn by J. Poeltl),,37-35,,
8:29.0,,,37-35,,D. Mitchell enters the game for R. Rubio
8:29.0,,,37-35,,J. Ingles enters the game for A. Burks
8:29.0,J. Poeltl misses free throw 1 of 1,,37-35,,
8:27.0,,,37-35,,Defensive rebound by D. Mitchell
8:07.0,,,37-35,,R. Hood misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by K. Lowry,,37-35,,
7:54.0,F. VanVleet makes 2-pt shot from 2 ft,2,39-35,,
7:31.0,,,39-35,,D. Mitchell misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by P. Siakam,,39-35,,
7:24.0,K. Lowry misses 3-pt shot from 30 ft,,39-35,,
7:19.0,Offensive rebound by J. Poeltl,,39-35,,
7:08.0,Turnover by N. Powell (out of bounds lost ball),,39-35,,
7:08.0,,,39-35,,Utah full timeout
7:08.0,,,39-35,,R. Gobert enters the game for D. Favors
7:08.0,,,39-35,,J. Jerebko enters the game for E. Udoh
7:08.0,D. DeRozan enters the game for F. VanVleet,,39-35,,
7:08.0,S. Ibaka enters the game for J. Poeltl,,39-35,,
7:08.0,J. Valanciunas enters the game for P. Siakam,,39-35,,
6:54.0,Personal foul by J. Valanciunas (drawn by D. Mitchell),,39-35,,
6:44.0,,,39-38,3,J. Ingles makes 3-pt shot from 24 ft
6:27.0,,,39-38,,Violation by D. Mitchell (kicked ball)
6:13.0,N. Powell misses 3-pt shot from 22 ft (block by D. Mitchell),,39-38,,
6:09.0,,,39-38,,Defensive rebound by R. Hood
6:03.0,,,39-40,2,R. Hood makes 2-pt shot from 9 ft
5:51.0,D. DeRozan makes 2-pt shot from 8 ft (assist by K. Lowry),2,41-40,,
5:28.0,,,41-42,2,D. Mitchell makes 2-pt shot from 2 ft
5:18.0,K. Lowry makes 2-pt shot from 2 ft,2,43-42,,
4:55.0,,,43-44,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
4:41.0,Offensive foul by J. Valanciunas (drawn by D. Mitchell),,43-44,,
4:41.0,Turnover by J. Valanciunas (offensive foul),,43-44,,
4:41.0,,,43-44,,R. Rubio enters the game for D. Mitchell
4:31.0,,,43-44,,R. Hood misses 2-pt shot from 16 ft
4:29.0,Defensive rebound by J. Valanciunas,,43-44,,
4:23.0,Shooting foul by J. Ingles (drawn by D. DeRozan),,43-44,,
4:23.0,D. DeRozan makes free throw 1 of 2,1,44-44,,
4:23.0,,,44-44,,T. Sefolosha enters the game for J. Jerebko
4:23.0,D. DeRozan makes free throw 2 of 2,1,45-44,,
4:12.0,,,45-44,,Turnover by R. Rubio (out of bounds lost ball)
3:57.0,Shooting foul by J. Ingles (drawn by D. DeRozan),,45-44,,
3:57.0,D. DeRozan makes free throw 1 of 2,1,46-44,,
3:57.0,,,46-44,,D. Favors enters the game for R. Hood
3:57.0,,,46-44,,D. Mitchell enters the game for T. Sefolosha
3:57.0,,,46-44,,T. Sefolosha enters the game for J. Ingles
3:57.0,D. DeRozan makes free throw 2 of 2,1,47-44,,
3:45.0,,,47-44,,R. Rubio misses 2-pt shot from 17 ft
3:42.0,,,47-44,,Offensive rebound by R. Gobert
3:32.0,,,47-44,,D. Mitchell misses 2-pt shot from 2 ft
3:29.0,,,47-44,,Offensive rebound by R. Gobert
3:29.0,,,47-46,2,R. Gobert makes 2-pt shot at rim
3:17.0,Shooting foul by D. Favors (drawn by D. DeRozan),,47-46,,
3:17.0,D. DeRozan makes free throw 1 of 2,1,48-46,,
3:17.0,D. DeRozan makes free throw 2 of 2,1,49-46,,
2:58.0,,,49-46,,R. Rubio misses 2-pt shot from 11 ft (block by J. Valanciunas)
2:55.0,Defensive rebound by S. Ibaka,,49-46,,
2:42.0,S. Ibaka makes 2-pt shot from 9 ft (assist by K. Lowry),2,51-46,,
2:25.0,,,51-46,,D. Favors misses 3-pt shot from 23 ft
2:23.0,Defensive rebound by D. DeRozan,,51-46,,
2:14.0,S. Ibaka misses 3-pt shot from 23 ft,,51-46,,
2:13.0,,,51-46,,Defensive rebound by Team
2:13.0,Loose ball foul by J. Valanciunas (drawn by R. Gobert),,51-46,,
2:13.0,Toronto full timeout,,51-46,,
2:13.0,,,51-46,,J. Ingles enters the game for T. Sefolosha
2:13.0,L. Nogueira enters the game for J. Valanciunas,,51-46,,
1:59.0,,,51-46,,R. Rubio misses 3-pt shot from 23 ft
1:56.0,Defensive rebound by L. Nogueira,,51-46,,
1:46.0,D. DeRozan misses 2-pt shot from 10 ft,,51-46,,
1:43.0,,,51-46,,Defensive rebound by D. Favors
1:21.0,,,51-48,2,D. Mitchell makes 2-pt shot from 1 ft
1:05.0,L. Nogueira makes 2-pt shot from 2 ft (assist by K. Lowry),2,53-48,,
0:56.0,,,53-48,,Shooting foul by L. Nogueira (drawn by R. Gobert)
0:56.0,,,53-49,1,R. Gobert makes free throw 1 of 2
0:56.0,,,53-50,1,R. Gobert makes free throw 2 of 2
0:35.0,D. DeRozan misses 3-pt shot from 22 ft,,53-50,,
0:32.0,,,53-50,,Defensive rebound by D. Favors
0:28.0,,,53-52,2,R. Rubio makes 2-pt shot from 2 ft
0:05.0,Turnover by K. Lowry (bad pass; steal by D. Favors),,53-52,,
0:03.0,,,53-52,,Shooting foul by N. Powell (drawn by D. Mitchell)
0:03.0,,,53-53,1,D. Mitchell makes free throw 1 of 2
0:03.0,,,53-53,,T. Sefolosha enters the game for J. Ingles
0:03.0,,,53-54,1,D. Mitchell makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,53-54,,R. Rubio misses 2-pt shot from 20 ft
11:47.0,Defensive rebound by N. Powell,,53-54,,
11:44.0,Shooting foul by R. Rubio (drawn by N. Powell),,53-54,,
11:44.0,N. Powell misses free throw 1 of 2,,53-54,,
11:44.0,Offensive rebound by Team,,53-54,,
11:44.0,N. Powell makes free throw 2 of 2,1,54-54,,
11:36.0,,,54-54,,Turnover by R. Hood (bad pass; steal by N. Powell)
11:31.0,N. Powell makes 2-pt shot from 1 ft,2,56-54,,
11:11.0,,,56-57,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio)
10:58.0,D. DeRozan misses 2-pt shot from 14 ft,,56-57,,
10:55.0,,,56-57,,Defensive rebound by D. Favors
10:45.0,Personal foul by K. Lowry (drawn by R. Hood),,56-57,,
10:39.0,,,56-57,,J. Ingles misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by Team,,56-57,,
10:14.0,S. Ibaka misses 3-pt shot from 24 ft (block by D. Favors),,56-57,,
10:14.0,Offensive rebound by Team,,56-57,,
10:10.0,Turnover by Team (shot clock),,56-57,,
10:03.0,,,56-59,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
9:44.0,S. Ibaka makes 3-pt shot from 25 ft (assist by N. Powell),3,59-59,,
9:20.0,,,59-59,,R. Rubio misses 2-pt shot from 6 ft
9:19.0,Defensive rebound by J. Valanciunas,,59-59,,
9:14.0,N. Powell makes 3-pt shot from 24 ft (assist by K. Lowry),3,62-59,,
8:54.0,,,62-59,,R. Hood misses 2-pt shot from 19 ft
8:51.0,Defensive rebound by S. Ibaka,,62-59,,
8:38.0,Shooting foul by R. Gobert (drawn by J. Valanciunas),,62-59,,
8:38.0,J. Valanciunas makes free throw 1 of 2,1,63-59,,
8:38.0,J. Valanciunas makes free throw 2 of 2,1,64-59,,
8:20.0,,,64-59,,R. Hood misses 2-pt shot from 9 ft
8:18.0,Defensive rebound by S. Ibaka,,64-59,,
8:09.0,Turnover by D. DeRozan (bad pass; steal by D. Favors),,64-59,,
8:01.0,,,64-59,,Turnover by J. Ingles (lost ball; steal by N. Powell)
7:58.0,,,64-59,,Shooting block foul by R. Hood (drawn by N. Powell)
7:58.0,N. Powell makes free throw 1 of 2,1,65-59,,
7:58.0,N. Powell makes free throw 2 of 2,1,66-59,,
7:42.0,,,66-61,2,J. Ingles makes 2-pt shot from 2 ft
7:31.0,Turnover by D. DeRozan (bad pass; steal by J. Ingles),,66-61,,
7:31.0,Personal foul by D. DeRozan (drawn by J. Ingles),,66-61,,
7:17.0,Personal foul by J. Valanciunas (drawn by R. Rubio),,66-61,,
7:17.0,,,66-61,,Utah full timeout
7:17.0,L. Nogueira enters the game for J. Valanciunas,,66-61,,
7:12.0,,,66-63,2,R. Hood makes 2-pt shot from 2 ft
6:54.0,K. Lowry makes 3-pt shot from 25 ft (assist by L. Nogueira),3,69-63,,
6:39.0,Personal foul by N. Powell (drawn by R. Gobert),,69-63,,
6:39.0,,,69-63,,D. Mitchell enters the game for R. Rubio
6:37.0,Away from play foul by N. Powell (drawn by R. Hood),,69-63,,
6:37.0,,,69-64,1,R. Hood makes free throw 1 of 1
6:24.0,,,69-66,2,R. Hood makes 2-pt shot from 9 ft
6:06.0,L. Nogueira misses 2-pt shot from 2 ft,,69-66,,
6:04.0,,,69-66,,Defensive rebound by J. Ingles
5:52.0,,,69-68,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
5:38.0,S. Ibaka misses 3-pt shot from 25 ft,,69-68,,
5:34.0,Offensive rebound by S. Ibaka,,69-68,,
5:23.0,Shooting foul by D. Mitchell (drawn by D. DeRozan),,69-68,,
5:23.0,,,69-68,,J. Jerebko enters the game for D. Favors
5:23.0,O. Anunoby enters the game for S. Ibaka,,69-68,,
5:23.0,P. Siakam enters the game for N. Powell,,69-68,,
5:23.0,D. DeRozan makes free throw 1 of 1,1,73-68,,
5:22.0,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry),3,72-68,,
5:11.0,,,72-68,,R. Hood misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by P. Siakam,,72-68,,
4:51.0,Turnover by K. Lowry (bad pass; steal by D. Mitchell),,72-68,,
4:42.0,,,72-68,,Turnover by J. Ingles (bad pass; steal by P. Siakam)
4:22.0,D. DeRozan makes 3-pt shot from 23 ft (assist by O. Anunoby),3,76-68,,
3:56.0,,,76-71,3,D. Mitchell makes 3-pt shot from 27 ft (assist by J. Ingles)
3:45.0,Toronto full timeout,,76-71,,
3:45.0,,,76-71,,T. Sefolosha enters the game for J. Ingles
3:45.0,,,76-71,,A. Burks enters the game for R. Hood
3:45.0,D. Wright enters the game for K. Lowry,,76-71,,
3:33.0,D. DeRozan misses 2-pt shot from 19 ft,,76-71,,
3:30.0,Offensive rebound by D. DeRozan,,76-71,,
3:27.0,Turnover by D. DeRozan (bad pass; steal by D. Mitchell),,76-71,,
3:19.0,,,76-71,,T. Sefolosha misses 2-pt shot from 16 ft
3:12.0,,,76-71,,Offensive rebound by J. Jerebko
3:12.0,,,76-73,2,J. Jerebko makes 2-pt shot at rim
2:51.0,O. Anunoby makes 3-pt shot from 25 ft (assist by L. Nogueira),3,79-73,,
2:32.0,,,79-75,2,D. Mitchell makes 2-pt shot from 20 ft
2:13.0,Turnover by D. DeRozan (traveling),,79-75,,
2:03.0,,,79-78,3,D. Mitchell makes 3-pt shot from 25 ft
1:42.0,D. DeRozan makes 2-pt shot from 18 ft,2,81-78,,
1:28.0,,,81-78,,D. Mitchell misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by D. DeRozan,,81-78,,
1:20.0,,,81-78,,Personal foul by T. Sefolosha (drawn by D. DeRozan)
1:20.0,D. DeRozan makes free throw 1 of 2,1,82-78,,
1:20.0,,,82-78,,E. Udoh enters the game for R. Gobert
1:20.0,D. DeRozan makes free throw 2 of 2,1,83-78,,
1:09.0,,,83-80,2,D. Mitchell makes 2-pt shot from 1 ft
0:51.0,D. DeRozan makes 2-pt shot from 17 ft,2,85-80,,
0:51.0,Shooting foul by J. Jerebko (drawn by D. DeRozan),,85-80,,
0:51.0,D. DeRozan makes free throw 1 of 1,1,86-80,,
0:38.0,,,86-82,2,D. Mitchell makes 2-pt shot from 19 ft
0:28.0,D. DeRozan makes 3-pt shot from 25 ft,3,89-82,,
0:03.0,,,89-82,,Turnover by Team (shot clock)
0:00.0,D. DeRozan misses 3-pt shot from 38 ft,,89-82,,
0:00.0,Offensive rebound by Team,,89-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,89-82,,Personal foul by E. Udoh (drawn by D. Wright)
11:38.0,P. Siakam misses 2-pt shot from 6 ft,,89-82,,
11:37.0,,,89-82,,Defensive rebound by Team
11:20.0,,,89-82,,R. Hood misses 2-pt shot from 9 ft
11:17.0,Defensive rebound by O. Anunoby,,89-82,,
11:05.0,F. VanVleet misses 3-pt shot from 25 ft,,89-82,,
11:04.0,,,89-82,,Defensive rebound by Team
11:04.0,,,89-82,,R. Rubio enters the game for T. Sefolosha
10:44.0,,,89-84,2,E. Udoh makes 2-pt shot from 1 ft (assist by R. Rubio)
10:31.0,,,89-84,,Personal foul by R. Rubio (drawn by F. VanVleet)
10:20.0,Turnover by J. Poeltl (lost ball; steal by E. Udoh),,89-84,,
10:14.0,,,89-84,,Turnover by R. Hood (lost ball; steal by P. Siakam)
10:10.0,P. Siakam makes 2-pt shot from 1 ft,2,91-84,,
9:44.0,,,91-84,,Turnover by R. Rubio (lost ball; steal by P. Siakam)
9:32.0,Shooting foul by R. Rubio (drawn by F. VanVleet),,91-84,,
9:32.0,F. VanVleet makes free throw 1 of 2,1,92-84,,
9:32.0,F. VanVleet makes free throw 2 of 2,1,93-84,,
9:18.0,,,93-86,2,E. Udoh makes 2-pt shot from 1 ft (assist by R. Rubio)
9:07.0,Shooting foul by R. Hood (drawn by O. Anunoby),,93-86,,
9:07.0,O. Anunoby misses free throw 1 of 2,,93-86,,
9:07.0,Offensive rebound by Team,,93-86,,
9:07.0,O. Anunoby makes free throw 2 of 2,1,94-86,,
8:44.0,,,94-86,,D. Mitchell misses 2-pt shot from 1 ft
8:41.0,,,94-86,,Offensive rebound by E. Udoh
8:41.0,,,94-86,,R. Hood misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by F. VanVleet,,94-86,,
8:32.0,D. Wright misses 3-pt shot from 25 ft,,94-86,,
8:28.0,,,94-86,,Defensive rebound by D. Mitchell
8:19.0,Personal foul by D. Wright (drawn by R. Rubio),,94-86,,
8:19.0,,,94-86,,J. Ingles enters the game for D. Mitchell
8:19.0,K. Lowry enters the game for D. Wright,,94-86,,
8:08.0,,,94-86,,D. Favors misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by K. Lowry,,94-86,,
7:47.0,K. Lowry makes 2-pt shot from 14 ft,2,96-86,,
7:39.0,,,96-86,,Utah full timeout
7:39.0,,,96-86,,R. Gobert enters the game for E. Udoh
7:28.0,,,96-86,,R. Rubio misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by O. Anunoby,,96-86,,
7:04.0,N. Powell enters the game for O. Anunoby,,96-86,,
7:04.0,D. DeRozan enters the game for F. VanVleet,,96-86,,
7:03.0,Jump ball: D. Favors vs. J. Poeltl (P. Siakam gains possession),,,,Jump ball: D. Favors vs. J. Poeltl (P. Siakam gains possession)
7:03.0,,,96-86,,T. Sefolosha enters the game for D. Favors
6:49.0,P. Siakam misses 3-pt shot from 25 ft,,96-86,,
6:42.0,,,96-86,,Defensive rebound by J. Ingles
6:34.0,Personal foul by N. Powell (drawn by R. Gobert),,96-86,,
6:33.0,Technical foul by J. Poeltl,,96-86,,
6:33.0,,,96-87,1,R. Rubio makes technical free throw
6:33.0,,,96-87,,Technical foul by R. Hood (drawn by J. Poeltl)
6:33.0,,,96-87,,Turnover by R. Hood (turnover)
6:33.0,J. Poeltl misses flagrant free throw 1 of 2,,96-87,,
6:33.0,Offensive rebound by Team,,96-87,,
6:33.0,J. Poeltl misses flagrant free throw 2 of 2,,96-87,,
6:33.0,Offensive rebound by Team,,96-87,,
6:33.0,,,96-87,,D. Mitchell enters the game for R. Hood
6:17.0,K. Lowry misses 2-pt shot from 20 ft,,96-87,,
6:14.0,Offensive rebound by D. DeRozan,,96-87,,
6:07.0,N. Powell makes 3-pt shot from 24 ft (assist by J. Poeltl),3,99-87,,
5:49.0,,,99-87,,D. Mitchell misses 2-pt shot from 13 ft
5:49.0,Defensive rebound by P. Siakam,,99-87,,
5:38.0,K. Lowry misses 2-pt shot from 2 ft (block by D. Mitchell),,99-87,,
5:36.0,,,99-87,,Defensive rebound by D. Mitchell
5:36.0,Personal foul by N. Powell (drawn by D. Mitchell),,99-87,,
5:36.0,Toronto full timeout,,99-87,,
5:36.0,,,99-87,,R. Hood enters the game for T. Sefolosha
5:22.0,,,99-87,,J. Ingles misses 2-pt shot from 3 ft
5:18.0,Defensive rebound by J. Poeltl,,99-87,,
5:18.0,Turnover by J. Poeltl (lost ball; steal by J. Ingles),,99-87,,
5:08.0,,,99-87,,D. Mitchell misses 3-pt shot from 24 ft
5:05.0,,,99-87,,Offensive rebound by J. Ingles
5:01.0,,,99-87,,R. Hood misses 3-pt shot from 25 ft
5:00.0,,,99-87,,Offensive rebound by Team
5:00.0,Loose ball foul by J. Poeltl (drawn by R. Gobert),,99-87,,
5:00.0,J. Valanciunas enters the game for J. Poeltl,,99-87,,
4:53.0,,,99-90,3,J. Ingles makes 3-pt shot from 24 ft
4:33.0,D. DeRozan misses 2-pt shot from 16 ft,,99-90,,
4:31.0,,,99-90,,Defensive rebound by R. Hood
4:24.0,,,99-90,,R. Hood misses 2-pt shot from 12 ft
4:21.0,Defensive rebound by J. Valanciunas,,99-90,,
4:04.0,D. DeRozan makes 2-pt shot from 15 ft,2,101-90,,
3:52.0,,,101-90,,D. Mitchell misses 2-pt shot from 15 ft
3:49.0,Defensive rebound by P. Siakam,,101-90,,
3:41.0,Shooting foul by D. Mitchell (drawn by D. DeRozan),,101-90,,
3:41.0,,,101-90,,Utah full timeout
