time,Portland,pts.away,score,pts.home,Dallas
7:05.0,,,7-10,,D. Nowitzki misses 2-pt shot from 19 ft
7:02.0,Defensive rebound by A. Aminu,,7-10,,
6:53.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,9-10,,
6:53.0,,,9-10,,Dallas full timeout
6:53.0,,,9-10,,S. Mejri enters the game for D. Nowitzki
6:42.0,,,9-10,,W. Matthews misses 2-pt shot from 19 ft
6:38.0,Defensive rebound by A. Aminu,,9-10,,
6:33.0,,,9-10,,Personal foul by S. Mejri (drawn by D. Lillard)
6:26.0,C. McCollum makes 2-pt shot from 19 ft,2,11-10,,
6:10.0,,,11-13,3,D. Smith makes 3-pt shot from 24 ft (assist by W. Matthews)
5:53.0,J. Nurkic misses 2-pt shot from 18 ft,,11-13,,
5:50.0,,,11-13,,Defensive rebound by M. Kleber
5:43.0,,,11-15,2,H. Barnes makes 2-pt shot from 2 ft (assist by W. Matthews)
5:23.0,C. McCollum makes 2-pt shot from 6 ft,2,13-15,,
5:06.0,Violation by J. Nurkic (kicked ball),,13-15,,
5:06.0,E. Davis enters the game for M. Harkless,,13-15,,
5:06.0,Z. Collins enters the game for J. Nurkic,,13-15,,
4:58.0,,,13-15,,D. Smith misses 2-pt shot from 17 ft
4:55.0,Defensive rebound by C. McCollum,,13-15,,
4:41.0,Turnover by E. Davis (turnover),,13-15,,
4:41.0,P. Connaughton enters the game for C. McCollum,,13-15,,
4:23.0,,,13-15,,M. Kleber misses 2-pt shot from 13 ft
4:21.0,Defensive rebound by A. Aminu,,13-15,,
4:12.0,D. Lillard misses 2-pt shot from 18 ft,,13-15,,
4:09.0,,,13-15,,Defensive rebound by M. Kleber
4:02.0,,,13-15,,D. Smith misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by D. Lillard,,13-15,,
3:46.0,Z. Collins misses 2-pt shot from 8 ft,,13-15,,
3:44.0,,,13-15,,Defensive rebound by D. Smith
3:37.0,,,13-17,2,D. Smith makes 2-pt shot from 11 ft
3:21.0,Turnover by D. Lillard (bad pass),,13-17,,
3:21.0,,,13-17,,Y. Ferrell enters the game for M. Kleber
3:09.0,,,13-17,,W. Matthews misses 2-pt shot from 14 ft
3:05.0,Defensive rebound by E. Davis,,13-17,,
2:59.0,D. Lillard misses 3-pt shot from 26 ft,,13-17,,
2:56.0,,,13-17,,Defensive rebound by H. Barnes
2:48.0,Personal block foul by P. Connaughton (drawn by Y. Ferrell),,13-17,,
2:48.0,Portland full timeout,,13-17,,
2:48.0,,,13-17,,J. Barea enters the game for D. Smith
2:48.0,S. Napier enters the game for A. Aminu,,13-17,,
2:34.0,,,13-19,2,H. Barnes makes 2-pt shot from 7 ft (assist by J. Barea)
2:07.0,D. Lillard misses 2-pt shot from 3 ft,,13-19,,
2:04.0,,,13-19,,Defensive rebound by S. Mejri
1:51.0,,,13-21,2,Y. Ferrell makes 2-pt shot from 1 ft
1:26.0,E. Davis misses 2-pt shot from 10 ft,,13-21,,
1:24.0,,,13-21,,Defensive rebound by H. Barnes
1:14.0,,,13-21,,H. Barnes misses 2-pt shot from 1 ft
1:08.0,,,13-21,,Offensive rebound by S. Mejri
1:08.0,,,13-23,2,S. Mejri makes 2-pt shot at rim
1:01.0,Offensive foul by Z. Collins (drawn by W. Matthews),,13-23,,
1:01.0,Turnover by Z. Collins (offensive foul),,13-23,,
1:01.0,,,13-23,,D. Nowitzki enters the game for H. Barnes
1:01.0,,,13-23,,D. Powell enters the game for S. Mejri
1:01.0,C. McCollum enters the game for D. Lillard,,13-23,,
0:42.0,,,13-25,2,W. Matthews makes 2-pt shot from 15 ft
0:33.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,15-25,,
0:11.0,,,15-25,,Y. Ferrell misses 2-pt shot from 13 ft
0:08.0,Defensive rebound by Z. Collins,,15-25,,
0:04.0,,,15-25,,Personal take foul by Y. Ferrell (drawn by C. McCollum)
0:04.0,,,15-25,,M. Kleber enters the game for D. Nowitzki
0:04.0,D. Lillard enters the game for Z. Collins,,15-25,,
0:04.0,,,15-25,,K. Collinsworth enters the game for J. Barea
0:00.0,C. McCollum makes 2-pt shot from 14 ft,2,17-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum),2,19-25,,
11:50.0,Shooting foul by D. Nowitzki (drawn by E. Davis),,19-25,,
11:50.0,E. Davis makes free throw 1 of 1,1,20-25,,
11:39.0,,,20-25,,Y. Ferrell misses 2-pt shot from 2 ft (block by Z. Collins)
11:35.0,Defensive rebound by Z. Collins,,20-25,,
11:23.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,22-25,,
11:11.0,Personal foul by Z. Collins (drawn by Y. Ferrell),,22-25,,
11:00.0,,,22-25,,D. Nowitzki misses 2-pt shot from 13 ft
10:56.0,Defensive rebound by E. Davis,,22-25,,
10:45.0,Offensive foul by Z. Collins (drawn by J. Barea),,22-25,,
10:45.0,Turnover by Z. Collins (offensive foul),,22-25,,
10:45.0,M. Harkless enters the game for Z. Collins,,22-25,,
10:24.0,,,22-25,,D. Powell misses 2-pt shot at rim (block by E. Davis)
10:21.0,,,22-25,,Offensive rebound by K. Collinsworth
10:20.0,,,22-25,,J. Barea misses 3-pt shot from 25 ft
10:20.0,,,22-25,,Offensive rebound by K. Collinsworth
10:18.0,,,22-25,,Y. Ferrell misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by E. Davis,,22-25,,
10:16.0,Turnover by E. Davis (lost ball; steal by D. Powell),,22-25,,
10:13.0,,,22-27,2,D. Powell makes 2-pt shot from 3 ft
9:53.0,P. Connaughton makes 3-pt shot from 24 ft,3,25-27,,
9:42.0,,,25-29,2,J. Barea makes 2-pt shot from 5 ft
9:25.0,S. Napier misses 2-pt shot from 3 ft (block by D. Powell),,25-29,,
9:25.0,,,25-29,,Defensive rebound by D. Powell
9:16.0,,,25-29,,D. Powell misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by C. McCollum,,25-29,,
9:02.0,M. Harkless misses 3-pt shot from 24 ft,,25-29,,
9:00.0,,,25-29,,Defensive rebound by D. Nowitzki
8:53.0,,,25-29,,D. Nowitzki misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by Team,,25-29,,
8:52.0,,,25-29,,Loose ball foul by D. Powell (drawn by E. Davis)
8:36.0,Turnover by C. McCollum (lost ball; steal by K. Collinsworth),,25-29,,
8:27.0,,,25-31,2,K. Collinsworth makes 2-pt shot from 1 ft
8:08.0,C. McCollum makes 2-pt shot from 15 ft,2,27-31,,
7:51.0,,,27-31,,D. Nowitzki misses 2-pt shot from 2 ft (block by M. Harkless)
7:51.0,,,27-31,,Offensive rebound by Team
7:48.0,,,27-33,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Nowitzki)
7:34.0,C. McCollum misses 3-pt shot from 25 ft,,27-33,,
7:32.0,Offensive rebound by E. Davis,,27-33,,
7:26.0,P. Connaughton misses 2-pt shot from 9 ft,,27-33,,
7:26.0,Offensive rebound by E. Davis,,27-33,,
7:25.0,,,27-33,,Loose ball foul by K. Collinsworth (drawn by E. Davis)
7:15.0,Shooting foul by Y. Ferrell (drawn by S. Napier),,27-33,,
7:15.0,S. Napier makes free throw 1 of 2,1,28-33,,
7:15.0,,,28-33,,Dallas full timeout
7:15.0,S. Napier makes free throw 2 of 2,1,29-33,,
6:56.0,,,29-36,3,J. Barea makes 3-pt shot from 24 ft
6:29.0,S. Napier misses 3-pt shot from 25 ft,,29-36,,
6:26.0,,,29-36,,Defensive rebound by J. Barea
6:15.0,,,29-36,,D. Nowitzki misses 2-pt shot from 15 ft
6:13.0,Defensive rebound by M. Harkless,,29-36,,
6:04.0,Shooting foul by D. Nowitzki (drawn by E. Davis),,29-36,,
6:04.0,E. Davis makes free throw 1 of 2,1,30-36,,
6:04.0,,,30-36,,H. Barnes enters the game for D. Powell
6:04.0,,,30-36,,S. Mejri enters the game for Y. Ferrell
6:04.0,,,30-36,,D. Smith enters the game for D. Nowitzki
6:04.0,A. Aminu enters the game for C. McCollum,,30-36,,
6:04.0,D. Lillard enters the game for M. Harkless,,30-36,,
6:04.0,E. Davis makes free throw 2 of 2,1,31-36,,
5:53.0,,,31-36,,H. Barnes misses 2-pt shot from 17 ft
5:49.0,Defensive rebound by E. Davis,,31-36,,
5:45.0,S. Napier misses 3-pt shot from 25 ft,,31-36,,
5:42.0,,,31-36,,Defensive rebound by S. Mejri
5:34.0,,,31-36,,J. Barea misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by P. Connaughton,,31-36,,
5:20.0,E. Davis makes 2-pt shot from 2 ft,2,33-36,,
5:06.0,,,33-36,,Turnover by S. Mejri (bad pass)
5:06.0,J. Nurkic enters the game for E. Davis,,33-36,,
5:06.0,,,33-36,,W. Matthews enters the game for K. Collinsworth
4:52.0,A. Aminu misses 3-pt shot from 22 ft,,33-36,,
4:48.0,,,33-36,,Defensive rebound by S. Mejri
4:39.0,,,33-36,,D. Smith misses 3-pt shot from 22 ft
4:37.0,Defensive rebound by A. Aminu,,33-36,,
4:19.0,D. Lillard misses 2-pt shot from 2 ft,,33-36,,
4:19.0,Offensive rebound by J. Nurkic,,33-36,,
4:19.0,J. Nurkic makes 2-pt shot from 1 ft,2,35-36,,
4:19.0,,,35-36,,Violation by S. Mejri (def goaltending)
4:07.0,,,35-36,,J. Barea misses 3-pt shot from 24 ft
4:03.0,Defensive rebound by P. Connaughton,,35-36,,
3:54.0,D. Lillard makes 2-pt shot from 15 ft,2,37-36,,
3:53.0,,,37-36,,Dallas full timeout
3:53.0,,,37-36,,Y. Ferrell enters the game for J. Barea
3:40.0,,,37-36,,H. Barnes misses 2-pt shot from 3 ft (block by J. Nurkic)
3:38.0,Defensive rebound by J. Nurkic,,37-36,,
3:33.0,Shooting foul by H. Barnes (drawn by A. Aminu),,37-36,,
3:33.0,A. Aminu misses free throw 1 of 2,,37-36,,
3:33.0,Offensive rebound by Team,,37-36,,
3:33.0,A. Aminu makes free throw 2 of 2,1,38-36,,
3:18.0,,,38-36,,H. Barnes misses 2-pt shot from 12 ft
3:15.0,Defensive rebound by A. Aminu,,38-36,,
3:11.0,Turnover by A. Aminu (bad pass; steal by D. Smith),,38-36,,
2:56.0,,,38-38,2,S. Mejri makes 2-pt shot from 1 ft (assist by H. Barnes)
2:40.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,40-38,,
2:29.0,,,40-38,,W. Matthews misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by S. Napier,,40-38,,
2:17.0,A. Aminu makes 3-pt shot from 26 ft (assist by S. Napier),3,43-38,,
2:00.0,,,43-38,,Y. Ferrell misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by J. Nurkic,,43-38,,
1:48.0,,,43-38,,Personal take foul by S. Mejri (drawn by D. Lillard)
1:48.0,D. Lillard makes free throw 1 of 2,1,44-38,,
1:48.0,C. McCollum enters the game for P. Connaughton,,44-38,,
1:48.0,D. Lillard makes free throw 2 of 2,1,45-38,,
1:40.0,Personal foul by D. Lillard (drawn by D. Smith),,45-38,,
1:29.0,,,45-38,,W. Matthews misses 2-pt shot from 11 ft
1:27.0,Defensive rebound by A. Aminu,,45-38,,
1:22.0,Shooting foul by W. Matthews (drawn by D. Lillard),,45-38,,
1:22.0,D. Lillard makes free throw 1 of 2,1,46-38,,
1:22.0,D. Lillard makes free throw 2 of 2,1,47-38,,
1:09.0,,,47-38,,Shooting foul by A. Aminu (drawn by H. Barnes)
1:09.0,,,47-39,1,H. Barnes makes free throw 1 of 2
1:09.0,,,47-40,1,H. Barnes makes free throw 2 of 2
0:55.0,D. Lillard makes 3-pt shot from 27 ft (assist by S. Napier),3,50-40,,
0:32.0,,,50-42,2,H. Barnes makes 2-pt shot from 11 ft
0:18.0,D. Lillard misses 3-pt shot from 27 ft,,50-42,,
0:15.0,,,50-42,,Defensive rebound by D. Smith
0:12.0,,,50-44,2,D. Smith makes 2-pt shot at rim
0:01.0,D. Lillard makes 2-pt shot from 17 ft,2,52-44,,
0:00.0,,,52-44,,D. Smith misses 3-pt shot from 77 ft
0:00.0,,,52-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. Nurkic makes 2-pt shot from 8 ft,2,54-44,,
11:25.0,,,54-44,,Turnover by D. Nowitzki (lost ball; steal by A. Aminu)
11:17.0,J. Nurkic makes 2-pt shot from 19 ft (assist by A. Aminu),2,56-44,,
11:15.0,,,56-44,,Dallas full timeout
11:04.0,,,56-44,,Shooting foul by D. Lillard (drawn by W. Matthews)
11:04.0,,,56-44,,W. Matthews misses free throw 1 of 2
11:04.0,,,56-44,,Offensive rebound by Team
11:04.0,,,56-45,1,W. Matthews makes free throw 2 of 2
10:50.0,Turnover by M. Harkless (lost ball; steal by D. Nowitzki),,56-45,,
10:41.0,,,56-45,,Turnover by D. Smith (lost ball; steal by J. Nurkic)
10:36.0,Turnover by J. Nurkic (bad pass; steal by D. Smith),,56-45,,
10:31.0,,,56-47,2,D. Smith makes 2-pt shot from 1 ft
10:14.0,M. Harkless makes 3-pt shot from 24 ft (assist by C. McCollum),3,59-47,,
10:00.0,,,59-49,2,M. Kleber makes 2-pt shot from 12 ft (assist by D. Smith)
9:44.0,M. Harkless misses 2-pt shot from 18 ft,,59-49,,
9:42.0,,,59-49,,Defensive rebound by Team
9:32.0,,,59-49,,D. Smith misses 2-pt shot from 14 ft
9:29.0,Defensive rebound by C. McCollum,,59-49,,
9:23.0,C. McCollum misses 2-pt shot from 17 ft,,59-49,,
9:20.0,,,59-49,,Defensive rebound by H. Barnes
9:07.0,,,59-49,,W. Matthews misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by J. Nurkic,,59-49,,
8:55.0,D. Lillard misses 3-pt shot from 24 ft,,59-49,,
8:52.0,,,59-49,,Defensive rebound by D. Nowitzki
8:43.0,,,59-52,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Smith)
8:16.0,M. Harkless misses 3-pt shot from 24 ft,,59-52,,
8:12.0,,,59-52,,Defensive rebound by W. Matthews
8:07.0,,,59-52,,W. Matthews misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by J. Nurkic,,59-52,,
7:48.0,D. Lillard makes 2-pt shot from 20 ft,2,61-52,,
7:31.0,,,61-54,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Smith)
7:10.0,D. Lillard misses 3-pt shot from 28 ft,,61-54,,
7:07.0,Offensive rebound by A. Aminu,,61-54,,
6:57.0,J. Nurkic misses 2-pt shot from 12 ft,,61-54,,
6:55.0,,,61-54,,Defensive rebound by D. Nowitzki
6:51.0,,,61-57,3,D. Smith makes 3-pt shot from 25 ft
6:50.0,Portland full timeout,,61-57,,
6:50.0,,,61-57,,Y. Ferrell enters the game for D. Nowitzki
6:37.0,Turnover by J. Nurkic (bad pass; steal by H. Barnes),,61-57,,
6:35.0,,,61-57,,Shooting foul by C. McCollum (drawn by W. Matthews)
6:35.0,,,61-58,1,W. Matthews makes free throw 1 of 2
6:35.0,,,61-58,,W. Matthews misses free throw 2 of 2
6:35.0,E. Davis enters the game for J. Nurkic,,61-58,,
6:32.0,,,61-58,,Defensive rebound by M. Kleber
6:25.0,Def 3 sec tech foul by A. Aminu,,61-58,,
6:25.0,,,61-59,1,H. Barnes makes technical free throw
6:12.0,,,61-59,,M. Kleber misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by E. Davis,,61-59,,
5:58.0,M. Harkless makes 2-pt shot at rim (assist by A. Aminu),2,63-59,,
5:37.0,,,63-59,,Shooting foul by E. Davis (drawn by M. Kleber)
5:37.0,,,63-60,1,M. Kleber makes free throw 1 of 2
5:37.0,P. Connaughton enters the game for M. Harkless,,63-60,,
5:37.0,,,63-61,1,M. Kleber makes free throw 2 of 2
5:25.0,C. McCollum makes 2-pt shot from 14 ft,2,65-61,,
5:11.0,,,65-61,,H. Barnes misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by E. Davis,,65-61,,
4:53.0,C. McCollum misses 3-pt shot from 26 ft,,65-61,,
4:50.0,,,65-61,,Defensive rebound by M. Kleber
4:41.0,,,65-63,2,W. Matthews makes 2-pt shot from 1 ft
4:18.0,P. Connaughton misses 3-pt shot from 25 ft (block by M. Kleber),,65-63,,
4:16.0,Offensive rebound by P. Connaughton,,65-63,,
4:14.0,A. Aminu misses 2-pt shot from 19 ft,,65-63,,
4:10.0,,,65-63,,Defensive rebound by D. Smith
4:00.0,,,65-63,,Y. Ferrell misses 3-pt shot from 23 ft
3:57.0,Defensive rebound by A. Aminu,,65-63,,
3:53.0,P. Connaughton misses 2-pt shot at rim,,65-63,,
3:51.0,,,65-63,,Defensive rebound by M. Kleber
3:43.0,,,65-63,,W. Matthews misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by A. Aminu,,65-63,,
3:26.0,D. Lillard makes 2-pt shot from 19 ft,2,67-63,,
3:13.0,,,67-63,,D. Smith misses 2-pt shot from 1 ft (block by E. Davis)
3:10.0,Defensive rebound by C. McCollum,,67-63,,
3:07.0,C. McCollum makes 2-pt shot from 4 ft,2,69-63,,
3:07.0,Shooting foul by M. Kleber (drawn by C. McCollum),,69-63,,
3:07.0,,,69-63,,Dallas full timeout
3:07.0,,,69-63,,S. Mejri enters the game for M. Kleber
3:07.0,S. Napier enters the game for D. Lillard,,69-63,,
3:07.0,C. McCollum makes free throw 1 of 1,1,70-63,,
2:44.0,,,70-65,2,W. Matthews makes 2-pt shot from 17 ft
2:21.0,S. Napier misses 3-pt shot from 23 ft,,70-65,,
2:19.0,,,70-65,,Defensive rebound by Y. Ferrell
2:12.0,,,70-65,,D. Smith misses 2-pt shot from 17 ft
2:08.0,Defensive rebound by A. Aminu,,70-65,,
1:53.0,S. Napier misses 2-pt shot from 4 ft (block by H. Barnes),,70-65,,
1:51.0,Offensive rebound by S. Napier,,70-65,,
1:45.0,E. Davis makes 2-pt shot from 14 ft (assist by S. Napier),2,72-65,,
1:28.0,,,72-65,,W. Matthews misses 2-pt shot from 3 ft
1:24.0,Defensive rebound by E. Davis,,72-65,,
1:19.0,A. Aminu makes 3-pt shot from 23 ft (assist by P. Connaughton),3,75-65,,
0:58.0,,,75-65,,H. Barnes misses 2-pt shot from 9 ft
0:57.0,Defensive rebound by E. Davis,,75-65,,
0:42.0,,,75-65,,Personal foul by W. Matthews (drawn by S. Napier)
0:42.0,,,75-65,,J. Barea enters the game for D. Smith
0:42.0,D. Lillard enters the game for C. McCollum,,75-65,,
0:35.0,P. Connaughton misses 3-pt shot from 24 ft,,75-65,,
0:32.0,,,75-65,,Defensive rebound by S. Mejri
0:15.0,Personal foul by A. Aminu (drawn by S. Mejri),,75-65,,
0:15.0,,,75-65,,D. Nowitzki enters the game for S. Mejri
0:01.0,,,75-68,3,H. Barnes makes 3-pt shot from 25 ft (assist by J. Barea)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,75-68,,Y. Ferrell misses 3-pt shot from 25 ft
11:49.0,,,75-68,,Offensive rebound by Team
11:49.0,Loose ball foul by E. Davis (drawn by D. Powell),,75-68,,
11:39.0,,,75-70,2,J. Barea makes 2-pt shot from 5 ft
11:21.0,Turnover by D. Lillard (bad pass),,75-70,,
11:11.0,,,75-70,,D. Nowitzki misses 2-pt shot from 14 ft
11:07.0,Defensive rebound by P. Connaughton,,75-70,,
10:49.0,P. Connaughton misses 2-pt shot from 3 ft,,75-70,,
10:49.0,Offensive rebound by E. Davis,,75-70,,
10:45.0,E. Davis makes 2-pt shot at rim,2,77-70,,
10:39.0,Personal foul by S. Napier (drawn by J. Barea),,77-70,,
10:30.0,,,77-70,,K. Collinsworth misses 2-pt shot from 4 ft (block by E. Davis)
10:27.0,Defensive rebound by D. Lillard,,77-70,,
10:23.0,D. Lillard makes 3-pt shot from 27 ft,3,80-70,,
9:59.0,,,80-70,,J. Barea misses 3-pt shot from 25 ft
9:58.0,,,80-70,,Offensive rebound by D. Powell
9:57.0,Personal foul by P. Connaughton (drawn by Y. Ferrell),,80-70,,
9:43.0,,,80-70,,Shooting foul by Z. Collins (drawn by D. Nowitzki)
9:43.0,,,80-71,1,D. Nowitzki makes free throw 1 of 2
9:43.0,,,80-72,1,D. Nowitzki makes free throw 2 of 2
9:29.0,D. Lillard makes 2-pt shot from 13 ft (assist by Z. Collins),2,82-72,,
9:11.0,,,82-72,,K. Collinsworth misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by D. Lillard,,82-72,,
9:03.0,Shooting foul by K. Collinsworth (drawn by D. Lillard),,82-72,,
9:03.0,D. Lillard makes free throw 1 of 3,1,83-72,,
9:03.0,D. Lillard makes free throw 2 of 3,1,84-72,,
9:03.0,C. McCollum enters the game for P. Connaughton,,84-72,,
9:03.0,D. Lillard misses free throw 3 of 3,,84-72,,
9:01.0,,,84-72,,Defensive rebound by D. Powell
8:45.0,,,84-72,,D. Nowitzki misses 2-pt shot from 15 ft
8:43.0,,,84-72,,Offensive rebound by K. Collinsworth
8:40.0,,,84-72,,D. Nowitzki misses 2-pt shot from 22 ft
8:40.0,Defensive rebound by E. Davis,,84-72,,
8:22.0,Z. Collins makes 3-pt shot from 22 ft (assist by C. McCollum),3,87-72,,
8:21.0,,,87-72,,Dallas full timeout
8:21.0,,,87-72,,M. Kleber enters the game for K. Collinsworth
8:21.0,,,87-72,,H. Barnes enters the game for D. Nowitzki
8:14.0,Personal foul by C. McCollum (drawn by H. Barnes),,87-72,,
8:14.0,,,87-73,1,H. Barnes makes free throw 1 of 2
8:14.0,,,87-74,1,H. Barnes makes free throw 2 of 2
8:01.0,D. Lillard misses 2-pt shot from 19 ft,,87-74,,
7:57.0,Offensive rebound by E. Davis,,87-74,,
7:42.0,Z. Collins makes 2-pt shot at rim (assist by E. Davis),2,89-74,,
7:42.0,Shooting foul by J. Barea (drawn by Z. Collins),,89-74,,
7:42.0,Z. Collins makes free throw 1 of 1,1,90-74,,
7:21.0,,,90-74,,M. Kleber misses 2-pt shot from 5 ft
7:17.0,Defensive rebound by S. Napier,,90-74,,
7:06.0,,,90-74,,Personal foul by D. Powell (drawn by Z. Collins)
7:06.0,,,90-74,,W. Matthews enters the game for Y. Ferrell
7:00.0,C. McCollum makes 2-pt shot from 1 ft,2,92-74,,
6:49.0,,,92-74,,D. Powell misses 2-pt shot from 12 ft
6:49.0,Defensive rebound by S. Napier,,92-74,,
6:27.0,Turnover by D. Lillard (lost ball; steal by W. Matthews),,92-74,,
6:19.0,,,92-74,,Turnover by J. Barea (bad pass; steal by Z. Collins)
6:07.0,D. Lillard makes 3-pt shot from 25 ft (assist by Z. Collins),3,95-74,,
6:05.0,,,95-74,,Dallas full timeout
6:05.0,,,95-74,,S. Mejri enters the game for J. Barea
6:05.0,,,95-74,,D. Smith enters the game for D. Powell
6:05.0,P. Connaughton enters the game for S. Napier,,95-74,,
5:49.0,,,95-74,,Shooting foul by P. Connaughton (drawn by H. Barnes)
5:49.0,,,95-75,1,H. Barnes makes free throw 1 of 2
5:49.0,,,95-76,1,H. Barnes makes free throw 2 of 2
5:25.0,Z. Collins misses 2-pt shot from 14 ft,,95-76,,
5:25.0,Offensive rebound by Team,,95-76,,
5:25.0,Turnover by Team (shot clock),,95-76,,
5:13.0,,,95-76,,H. Barnes misses 2-pt shot from 17 ft
5:08.0,Defensive rebound by Z. Collins,,95-76,,
4:47.0,D. Lillard makes 2-pt shot from 21 ft,2,97-76,,
4:28.0,,,97-78,2,S. Mejri makes 2-pt shot from 4 ft (assist by D. Smith)
4:10.0,,,97-78,,Personal block foul by S. Mejri (drawn by D. Lillard)
4:03.0,,,97-78,,Personal foul by S. Mejri (drawn by D. Lillard)
4:03.0,D. Lillard misses free throw 1 of 2,,97-78,,
4:03.0,Offensive rebound by Team,,97-78,,
4:03.0,,,97-78,,D. Powell enters the game for W. Matthews
4:03.0,,,97-78,,K. Collinsworth enters the game for S. Mejri
4:03.0,D. Lillard misses free throw 2 of 2,,97-78,,
4:00.0,,,97-78,,Defensive rebound by H. Barnes
3:54.0,,,97-80,2,H. Barnes makes 2-pt shot from 18 ft (assist by D. Smith)
3:28.0,Z. Collins makes 3-pt shot from 22 ft (assist by P. Connaughton),3,100-80,,
3:17.0,,,100-82,2,D. Powell makes 2-pt shot at rim (assist by D. Smith)
2:56.0,Shooting foul by D. Powell (drawn by D. Lillard),,100-82,,
2:56.0,D. Lillard makes free throw 1 of 2,1,101-82,,
2:56.0,J. Layman enters the game for C. McCollum,,101-82,,
2:56.0,M. Leonard enters the game for E. Davis,,101-82,,
2:56.0,N. Vonleh enters the game for Z. Collins,,101-82,,
2:56.0,D. Lillard makes free throw 2 of 2,1,102-82,,
2:55.0,Personal take foul by P. Connaughton (drawn by K. Collinsworth),,102-82,,
2:55.0,,,102-82,,K. Collinsworth misses free throw 1 of 2
2:55.0,,,102-82,,Offensive rebound by Team
2:55.0,,,102-82,,Y. Ferrell enters the game for H. Barnes
