time,Toronto,pts.away,score,pts.home,Washington
11:11.0,Offensive foul by J. Poeltl (drawn by K. Oubre),,30-22,,
11:11.0,Turnover by J. Poeltl (offensive foul),,30-22,,
10:54.0,,,30-22,,O. Porter misses 2-pt shot from 5 ft
10:52.0,Defensive rebound by J. Poeltl,,30-22,,
10:47.0,D. Wright misses 2-pt shot from 7 ft,,30-22,,
10:45.0,,,30-22,,Defensive rebound by K. Oubre
10:23.0,,,30-22,,O. Porter misses 3-pt shot from 30 ft
10:19.0,Defensive rebound by D. Wright,,30-22,,
10:08.0,C. Miles misses 3-pt shot from 23 ft,,30-22,,
10:06.0,Offensive rebound by J. Poeltl,,30-22,,
9:50.0,P. Siakam misses 2-pt shot from 6 ft (block by I. Mahinmi),,30-22,,
9:49.0,,,30-22,,Defensive rebound by Team
9:49.0,,,30-22,,J. Wall enters the game for K. Oubre
9:40.0,,,30-24,2,J. Wall makes 2-pt shot from 2 ft
9:36.0,,,30-24,,Personal foul by I. Mahinmi (drawn by K. Lowry)
9:28.0,K. Lowry misses 3-pt shot from 27 ft,,30-24,,
9:24.0,Offensive rebound by D. Wright,,30-24,,
9:21.0,J. Poeltl makes 2-pt shot from 1 ft (assist by D. Wright),2,32-24,,
9:02.0,,,32-24,,T. Lawson misses 2-pt shot from 17 ft
8:59.0,Defensive rebound by J. Poeltl,,32-24,,
8:54.0,K. Lowry makes 3-pt shot from 26 ft,3,35-24,,
8:52.0,,,35-24,,Washington full timeout
8:30.0,,,35-24,,J. Wall misses 2-pt shot from 15 ft (block by P. Siakam)
8:26.0,Defensive rebound by K. Lowry,,35-24,,
8:13.0,P. Siakam misses 2-pt shot from 14 ft,,35-24,,
8:10.0,,,35-24,,Defensive rebound by J. Wall
7:59.0,,,35-26,2,I. Mahinmi makes 2-pt shot at rim (assist by J. Wall)
7:42.0,Turnover by C. Miles (bad pass; steal by J. Wall),,35-26,,
7:39.0,,,35-26,,J. Wall misses 2-pt shot from 2 ft (block by D. Wright)
7:36.0,,,35-26,,Offensive rebound by T. Satoransky
7:35.0,,,35-26,,T. Lawson misses 2-pt shot from 3 ft (block by P. Siakam)
7:35.0,Defensive rebound by P. Siakam,,35-26,,
7:29.0,P. Siakam makes 2-pt shot from 2 ft (assist by D. Wright),2,37-26,,
7:16.0,,,37-26,,Shooting foul by J. Poeltl (drawn by O. Porter)
7:16.0,,,37-26,,O. Porter misses free throw 1 of 2
7:16.0,,,37-26,,Offensive rebound by Team
7:16.0,,,37-26,,M. Gortat enters the game for T. Lawson
7:16.0,,,37-26,,B. Beal enters the game for I. Mahinmi
7:16.0,J. Valanciunas enters the game for J. Poeltl,,37-26,,
7:16.0,D. DeRozan enters the game for D. Wright,,37-26,,
7:16.0,,,37-27,1,O. Porter makes free throw 2 of 2
7:08.0,,,37-27,,Personal foul by T. Satoransky (drawn by C. Miles)
7:00.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by D. DeRozan),2,39-27,,
6:48.0,,,39-27,,B. Beal misses 2-pt shot from 18 ft
6:46.0,Defensive rebound by J. Valanciunas,,39-27,,
6:46.0,,,39-27,,Personal foul by B. Beal (drawn by J. Valanciunas)
6:46.0,,,39-27,,M. Morris enters the game for T. Satoransky
6:29.0,J. Valanciunas misses 2-pt shot from 13 ft,,39-27,,
6:27.0,,,39-27,,Defensive rebound by M. Morris
6:19.0,,,39-29,2,J. Wall makes 2-pt shot from 13 ft
6:06.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,41-29,,
5:47.0,,,41-31,2,J. Wall makes 2-pt shot from 1 ft
5:28.0,Turnover by C. Miles (traveling),,41-31,,
5:28.0,S. Ibaka enters the game for C. Miles,,41-31,,
5:28.0,O. Anunoby enters the game for P. Siakam,,41-31,,
5:09.0,,,41-33,2,M. Gortat makes 2-pt shot from 15 ft (assist by B. Beal)
4:50.0,D. DeRozan misses 2-pt shot from 15 ft,,41-33,,
4:43.0,Offensive rebound by O. Anunoby,,41-33,,
4:43.0,O. Anunoby misses 2-pt shot at rim,,41-33,,
4:43.0,,,41-33,,Defensive rebound by M. Morris
4:40.0,,,41-35,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:40.0,,,41-35,,Shooting foul by J. Valanciunas (drawn by M. Gortat)
4:40.0,Toronto full timeout,,41-35,,
4:40.0,J. Poeltl enters the game for J. Valanciunas,,41-35,,
4:40.0,,,41-35,,M. Gortat misses free throw 1 of 1
4:40.0,Defensive rebound by S. Ibaka,,41-35,,
