time,Sacramento,pts.away,score,pts.home,Minnesota
0:40.0,,,26-23,,N. Bjelica misses 2-pt shot from 2 ft
0:38.0,,,26-23,,Offensive rebound by G. Dieng
0:37.0,,,26-23,,G. Dieng misses 2-pt shot at rim
0:36.0,Defensive rebound by D. Fox,,26-23,,
0:35.0,Shooting foul by A. Wiggins (drawn by D. Fox),,26-23,,
0:35.0,D. Fox makes free throw 1 of 2,1,27-23,,
0:35.0,D. Fox misses free throw 2 of 2,,27-23,,
0:33.0,,,27-23,,Defensive rebound by G. Dieng
0:26.0,,,27-23,,T. Jones misses 2-pt shot from 1 ft
0:24.0,Defensive rebound by K. Koufos,,27-23,,
0:01.0,Shooting foul by J. Crawford (drawn by D. Fox),,27-23,,
0:01.0,D. Fox makes free throw 1 of 2,1,28-23,,
0:01.0,D. Fox makes free throw 2 of 2,1,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,B. Hield misses 2-pt shot from 20 ft,,29-23,,
11:46.0,,,29-23,,Defensive rebound by T. Jones
11:26.0,,,29-23,,Turnover by G. Dieng (bad pass; steal by G. Temple)
11:19.0,J. Sampson misses 3-pt shot from 22 ft,,29-23,,
11:17.0,Offensive rebound by B. Hield,,29-23,,
11:13.0,B. Hield makes 2-pt shot from 10 ft,2,31-23,,
10:57.0,,,31-23,,Turnover by N. Bjelica (lost ball; steal by B. Hield)
10:52.0,B. Hield makes 2-pt shot from 1 ft,2,33-23,,
10:46.0,,,33-23,,Minnesota full timeout
10:46.0,,,33-23,,K. Towns enters the game for G. Dieng
10:46.0,B. Bogdanovic enters the game for V. Carter,,33-23,,
10:44.0,Personal foul by B. Hield (drawn by T. Jones),,33-23,,
10:28.0,,,33-23,,K. Towns misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by G. Temple,,33-23,,
10:11.0,B. Hield misses 3-pt shot from 26 ft,,33-23,,
10:07.0,,,33-23,,Defensive rebound by J. Butler
10:04.0,,,33-26,3,J. Crawford makes 3-pt shot from 26 ft (assist by T. Jones)
9:46.0,K. Koufos misses 2-pt shot from 8 ft,,33-26,,
9:44.0,,,33-26,,Defensive rebound by N. Bjelica
9:37.0,,,33-26,,J. Crawford misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by B. Hield,,33-26,,
9:30.0,Shooting foul by T. Jones (drawn by B. Hield),,33-26,,
9:30.0,B. Hield makes free throw 1 of 2,1,34-26,,
9:30.0,B. Hield makes free throw 2 of 2,1,35-26,,
9:24.0,,,35-26,,Turnover by T. Jones (bad pass; steal by B. Bogdanovic)
9:16.0,B. Bogdanovic misses 2-pt shot from 16 ft,,35-26,,
9:14.0,,,35-26,,Defensive rebound by T. Jones
9:08.0,,,35-26,,Turnover by J. Crawford (bad pass; steal by G. Temple)
9:03.0,B. Bogdanovic misses 3-pt shot from 26 ft,,35-26,,
8:59.0,,,35-26,,Defensive rebound by T. Jones
8:39.0,,,35-26,,K. Towns misses 2-pt shot from 10 ft
8:36.0,,,35-26,,Offensive rebound by J. Butler
8:35.0,,,35-26,,Shooting foul by J. Sampson (drawn by J. Crawford)
8:35.0,,,35-27,1,J. Crawford makes free throw 1 of 3
8:35.0,,,35-28,1,J. Crawford makes free throw 2 of 3
8:35.0,,,35-29,1,J. Crawford makes free throw 3 of 3
8:21.0,Sacramento full timeout,,35-29,,
8:21.0,W. Cauley-Stein enters the game for J. Sampson,,35-29,,
8:15.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,35-29,,
8:12.0,Offensive rebound by B. Hield,,35-29,,
8:11.0,B. Hield misses 2-pt shot from 6 ft,,35-29,,
8:11.0,Offensive rebound by K. Koufos,,35-29,,
8:06.0,K. Koufos makes 2-pt shot at rim,2,37-29,,
7:55.0,,,37-32,3,N. Bjelica makes 3-pt shot from 26 ft (assist by T. Jones)
7:31.0,B. Hield makes 2-pt shot from 2 ft,2,39-32,,
7:10.0,,,39-35,3,J. Crawford makes 3-pt shot from 23 ft (assist by N. Bjelica)
6:51.0,K. Koufos misses 2-pt shot from 13 ft,,39-35,,
6:49.0,,,39-35,,Defensive rebound by K. Towns
6:41.0,,,39-37,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Butler)
6:25.0,B. Hield misses 2-pt shot from 16 ft (block by N. Bjelica),,39-37,,
6:23.0,Offensive rebound by W. Cauley-Stein,,39-37,,
6:20.0,W. Cauley-Stein misses 2-pt shot from 4 ft (block by K. Towns),,39-37,,
6:17.0,Offensive rebound by K. Koufos,,39-37,,
6:15.0,K. Koufos makes 2-pt shot from 1 ft,2,41-37,,
6:04.0,Personal foul by B. Bogdanovic (drawn by J. Butler),,41-37,,
6:04.0,,,41-37,,J. Teague enters the game for T. Jones
6:04.0,,,41-37,,A. Wiggins enters the game for N. Bjelica
6:04.0,,,41-37,,T. Gibson enters the game for J. Butler
6:04.0,Z. Randolph enters the game for K. Koufos,,41-37,,
5:51.0,,,41-37,,A. Wiggins misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by G. Temple,,41-37,,
5:32.0,Z. Randolph makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,44-37,,
5:15.0,,,44-40,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Crawford)
4:56.0,Turnover by W. Cauley-Stein (bad pass),,44-40,,
4:41.0,,,44-42,2,T. Gibson makes 2-pt shot from 4 ft (assist by K. Towns)
4:21.0,Turnover by W. Cauley-Stein (bad pass),,44-42,,
4:07.0,,,44-44,2,K. Towns makes 2-pt shot from 15 ft (assist by J. Teague)
3:54.0,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Bogdanovic),2,46-44,,
3:48.0,,,46-44,,Turnover by K. Towns (bad pass; steal by B. Hield)
3:43.0,B. Hield makes 3-pt shot from 24 ft,3,49-44,,
3:38.0,,,49-44,,Offensive foul by T. Gibson (drawn by G. Temple)
3:38.0,,,49-44,,Turnover by T. Gibson (offensive foul)
3:38.0,,,49-44,,J. Butler enters the game for J. Crawford
3:38.0,D. Fox enters the game for G. Temple,,49-44,,
3:25.0,Turnover by B. Hield (lost ball; steal by J. Teague),,49-44,,
3:20.0,,,49-46,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
3:00.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,51-46,,
2:43.0,,,51-46,,A. Wiggins misses 2-pt shot from 20 ft
2:43.0,Defensive rebound by Team,,51-46,,
2:43.0,,,51-46,,Loose ball foul by K. Towns (drawn by W. Cauley-Stein)
2:38.0,Sacramento full timeout,,51-46,,
2:31.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,51-46,,
2:27.0,,,51-46,,Defensive rebound by A. Wiggins
2:19.0,,,51-48,2,J. Teague makes 2-pt shot from 6 ft
1:55.0,B. Bogdanovic misses 2-pt shot from 11 ft,,51-48,,
1:49.0,,,51-48,,Defensive rebound by T. Gibson
1:34.0,,,51-48,,T. Gibson misses 2-pt shot from 21 ft
1:34.0,,,51-48,,Offensive rebound by K. Towns
1:34.0,,,51-48,,Shooting foul by B. Bogdanovic (drawn by K. Towns)
1:34.0,,,51-49,1,K. Towns makes free throw 1 of 2
1:34.0,,,51-50,1,K. Towns makes free throw 2 of 2
1:14.0,Z. Randolph misses 2-pt shot from 5 ft,,51-50,,
1:11.0,,,51-50,,Defensive rebound by K. Towns
1:02.0,,,51-52,2,A. Wiggins makes 2-pt shot from 11 ft (assist by J. Teague)
0:51.0,Offensive foul by W. Cauley-Stein (drawn by K. Towns),,51-52,,
0:51.0,Turnover by W. Cauley-Stein (offensive foul),,51-52,,
0:36.0,,,51-54,2,A. Wiggins makes 2-pt shot from 6 ft (assist by J. Teague)
0:24.0,B. Hield misses 3-pt shot from 25 ft,,51-54,,
0:21.0,Offensive rebound by B. Bogdanovic,,51-54,,
0:07.0,Z. Randolph makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,54-54,,
0:03.0,,,54-56,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
0:00.0,Turnover by B. Hield (traveling),,54-56,,
0:00.0,,,54-56,,T. Gibson misses 3-pt shot from 33 ft
0:00.0,,,54-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Z. Randolph misses 2-pt shot from 19 ft,,54-56,,
11:33.0,,,54-56,,Defensive rebound by K. Towns
11:10.0,,,54-56,,K. Towns misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by Z. Randolph,,54-56,,
10:57.0,J. Jackson misses 3-pt shot from 22 ft,,54-56,,
10:54.0,,,54-56,,Defensive rebound by T. Gibson
10:48.0,,,54-56,,Turnover by A. Wiggins (bad pass; steal by D. Fox)
10:44.0,D. Fox misses 2-pt shot from 4 ft (block by K. Towns),,54-56,,
10:44.0,Offensive rebound by Team,,54-56,,
10:24.0,B. Bogdanovic makes 2-pt shot from 13 ft,2,56-56,,
10:18.0,,,56-58,2,J. Butler makes 2-pt shot at rim (assist by J. Teague)
10:18.0,,,56-58,,Shooting foul by B. Bogdanovic (drawn by J. Butler)
10:18.0,,,56-58,,J. Butler misses free throw 1 of 1
10:16.0,Defensive rebound by W. Cauley-Stein,,56-58,,
10:05.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Jackson),3,59-58,,
9:47.0,,,59-60,2,A. Wiggins makes 2-pt shot from 1 ft
9:32.0,Z. Randolph misses 3-pt shot from 24 ft,,59-60,,
9:30.0,,,59-60,,Defensive rebound by K. Towns
9:25.0,,,59-60,,A. Wiggins misses 2-pt shot from 2 ft
9:20.0,,,59-60,,Offensive rebound by T. Gibson
9:20.0,,,59-62,2,T. Gibson makes 2-pt shot at rim
9:10.0,,,59-62,,Personal foul by T. Gibson (drawn by Z. Randolph)
9:00.0,B. Bogdanovic makes 2-pt shot from 13 ft,2,61-62,,
8:44.0,,,61-62,,Turnover by J. Butler (lost ball; steal by D. Fox)
8:40.0,Turnover by J. Jackson (lost ball; steal by A. Wiggins),,61-62,,
8:40.0,Personal foul by J. Jackson (drawn by J. Teague),,61-62,,
8:23.0,,,61-62,,A. Wiggins misses 2-pt shot from 19 ft
8:19.0,Defensive rebound by W. Cauley-Stein,,61-62,,
8:07.0,Shooting foul by T. Gibson (drawn by B. Bogdanovic),,61-62,,
8:07.0,B. Bogdanovic makes free throw 1 of 2,1,62-62,,
8:07.0,B. Bogdanovic misses free throw 2 of 2,,62-62,,
8:03.0,,,62-62,,Defensive rebound by T. Gibson
7:53.0,,,62-62,,J. Butler misses 2-pt shot from 1 ft
7:51.0,Defensive rebound by Z. Randolph,,62-62,,
7:48.0,Turnover by D. Fox (out of bounds lost ball),,62-62,,
7:30.0,,,62-64,2,J. Butler makes 2-pt shot at rim
7:29.0,Sacramento full timeout,,62-64,,
7:10.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,64-64,,
6:55.0,,,64-64,,K. Towns misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by Z. Randolph,,64-64,,
6:36.0,Turnover by Z. Randolph (lost ball; steal by J. Butler),,64-64,,
6:20.0,,,64-64,,Turnover by A. Wiggins (step out of bounds)
6:20.0,V. Carter enters the game for B. Bogdanovic,,64-64,,
6:20.0,J. Sampson enters the game for Z. Randolph,,64-64,,
6:01.0,J. Jackson makes 3-pt shot from 25 ft (assist by V. Carter),3,67-64,,
5:41.0,,,67-64,,T. Gibson misses 2-pt shot from 3 ft (block by J. Sampson)
5:37.0,Defensive rebound by W. Cauley-Stein,,67-64,,
5:37.0,Turnover by W. Cauley-Stein (bad pass),,67-64,,
5:24.0,Violation by D. Fox (kicked ball),,67-64,,
5:21.0,,,67-66,2,J. Teague makes 2-pt shot from 21 ft (assist by J. Butler)
5:06.0,D. Fox misses 2-pt shot from 7 ft,,67-66,,
5:04.0,,,67-66,,Defensive rebound by J. Butler
5:01.0,,,67-66,,A. Wiggins misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by Team,,67-66,,
5:00.0,,,67-66,,Loose ball foul by J. Butler (drawn by J. Sampson)
4:44.0,D. Fox makes 2-pt shot from 3 ft,2,69-66,,
4:28.0,,,69-68,2,K. Towns makes 2-pt shot from 3 ft (assist by J. Teague)
4:28.0,,,69-68,,Shooting foul by W. Cauley-Stein (drawn by K. Towns)
4:28.0,K. Koufos enters the game for W. Cauley-Stein,,69-68,,
4:28.0,,,69-69,1,K. Towns makes free throw 1 of 1
4:08.0,Turnover by D. Fox (bad pass; steal by K. Towns),,69-69,,
4:01.0,,,69-69,,J. Butler misses 2-pt shot from 4 ft
3:58.0,Defensive rebound by J. Sampson,,69-69,,
3:55.0,J. Sampson makes 2-pt shot from 2 ft,2,71-69,,
3:40.0,,,71-69,,Offensive charge foul by A. Wiggins (drawn by D. Fox)
3:40.0,,,71-69,,Turnover by A. Wiggins (offensive foul)
3:40.0,,,71-69,,G. Dieng enters the game for J. Butler
3:40.0,,,71-69,,J. Crawford enters the game for K. Towns
3:40.0,B. Bogdanovic enters the game for D. Fox,,71-69,,
3:40.0,G. Temple enters the game for J. Jackson,,71-69,,
3:26.0,B. Bogdanovic misses 2-pt shot from 21 ft,,71-69,,
3:22.0,,,71-69,,Defensive rebound by A. Wiggins
3:07.0,,,71-69,,G. Dieng misses 2-pt shot from 16 ft
3:04.0,Defensive rebound by J. Sampson,,71-69,,
2:55.0,V. Carter makes 3-pt shot from 26 ft (assist by J. Sampson),3,74-69,,
2:40.0,Violation by K. Koufos (kicked ball),,74-69,,
2:40.0,,,74-69,,Minnesota full timeout
2:40.0,,,74-69,,T. Jones enters the game for J. Teague
2:40.0,,,74-69,,N. Bjelica enters the game for T. Gibson
2:27.0,,,74-71,2,A. Wiggins makes 2-pt shot from 7 ft
2:04.0,B. Bogdanovic misses 3-pt shot from 25 ft,,74-71,,
2:03.0,,,74-71,,Defensive rebound by Team
1:50.0,,,74-71,,Turnover by G. Dieng (offensive goaltending)
1:33.0,B. Bogdanovic misses 2-pt shot from 18 ft,,74-71,,
1:28.0,Offensive rebound by J. Sampson,,74-71,,
1:28.0,J. Sampson makes 2-pt shot at rim,2,76-71,,
1:09.0,,,76-71,,J. Crawford misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by K. Koufos,,76-71,,
0:45.0,K. Koufos makes 2-pt shot from 8 ft,2,78-71,,
0:36.0,,,78-71,,Shooting foul by K. Koufos (drawn by G. Dieng)
0:36.0,,,78-72,1,G. Dieng makes free throw 1 of 2
0:36.0,,,78-73,1,G. Dieng makes free throw 2 of 2
0:28.0,Turnover by B. Bogdanovic (bad pass; steal by T. Jones),,78-73,,
0:25.0,,,78-75,2,A. Wiggins makes 2-pt shot at rim (assist by T. Jones)
0:08.0,,,78-75,,Personal take foul by T. Jones (drawn by G. Temple)
0:01.0,G. Temple misses 2-pt shot from 16 ft,,78-75,,
0:01.0,Offensive rebound by K. Koufos,,78-75,,
0:00.0,K. Koufos makes 2-pt shot from 1 ft,2,80-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-75,,Shooting foul by K. Koufos (drawn by J. Butler)
11:46.0,,,80-76,1,J. Butler makes free throw 1 of 2
11:46.0,,,80-77,1,J. Butler makes free throw 2 of 2
11:34.0,Turnover by B. Bogdanovic (lost ball; steal by T. Jones),,80-77,,
11:28.0,,,80-77,,N. Bjelica misses 3-pt shot from 27 ft
11:25.0,Defensive rebound by B. Hield,,80-77,,
11:11.0,Turnover by B. Hield (lost ball; steal by T. Jones),,80-77,,
11:08.0,,,80-77,,Shooting foul by G. Temple (drawn by T. Jones)
11:08.0,,,80-78,1,T. Jones makes free throw 1 of 2
11:08.0,,,80-79,1,T. Jones makes free throw 2 of 2
10:50.0,K. Koufos misses 2-pt shot from 4 ft,,80-79,,
10:50.0,,,80-79,,Defensive rebound by J. Butler
10:50.0,Personal foul by J. Sampson (drawn by J. Butler),,80-79,,
10:50.0,D. Fox enters the game for B. Bogdanovic,,80-79,,
10:32.0,,,80-79,,J. Butler misses 2-pt shot from 7 ft (block by B. Hield)
10:28.0,,,80-79,,Offensive rebound by G. Dieng
10:26.0,,,80-79,,J. Crawford misses 2-pt shot from 15 ft
10:23.0,Defensive rebound by K. Koufos,,80-79,,
10:14.0,B. Hield misses 3-pt shot from 24 ft,,80-79,,
10:11.0,,,80-79,,Defensive rebound by J. Butler
10:05.0,,,80-79,,Turnover by J. Butler (lost ball; steal by J. Sampson)
10:02.0,B. Hield misses 2-pt shot from 2 ft,,80-79,,
10:01.0,Offensive rebound by G. Temple,,80-79,,
10:00.0,Shooting foul by G. Dieng (drawn by G. Temple),,80-79,,
10:00.0,G. Temple misses free throw 1 of 2,,80-79,,
10:00.0,Offensive rebound by Team,,80-79,,
10:00.0,,,80-79,,K. Towns enters the game for G. Dieng
10:00.0,G. Temple makes free throw 2 of 2,1,81-79,,
9:44.0,,,81-79,,T. Jones misses 2-pt shot from 7 ft
9:41.0,,,81-79,,Offensive rebound by J. Crawford
9:40.0,Personal block foul by G. Temple (drawn by J. Butler),,81-79,,
9:34.0,,,81-81,2,J. Butler makes 2-pt shot from 7 ft (assist by N. Bjelica)
9:18.0,D. Fox makes 2-pt shot from 20 ft,2,83-81,,
9:02.0,,,83-81,,Shooting foul by D. Fox (drawn by J. Butler)
9:02.0,,,83-82,1,J. Butler makes free throw 1 of 2
9:02.0,,,83-83,1,J. Butler makes free throw 2 of 2
8:53.0,D. Fox misses 2-pt shot from 4 ft,,83-83,,
8:53.0,Offensive rebound by K. Koufos,,83-83,,
8:46.0,K. Koufos misses 2-pt shot at rim,,83-83,,
8:46.0,,,83-83,,Defensive rebound by K. Towns
8:46.0,,,83-83,,Shooting foul by K. Koufos (drawn by K. Towns)
8:46.0,,,83-84,1,K. Towns makes free throw 1 of 2
8:46.0,,,83-85,1,K. Towns makes free throw 2 of 2
8:34.0,B. Hield makes 2-pt shot from 20 ft,2,85-85,,
8:12.0,,,85-85,,T. Jones misses 3-pt shot from 22 ft
8:10.0,Defensive rebound by K. Koufos,,85-85,,
7:57.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Fox),2,87-85,,
7:35.0,,,87-85,,Shooting foul by K. Koufos (drawn by K. Towns)
7:35.0,,,87-86,1,K. Towns makes free throw 1 of 2
7:35.0,,,87-86,,J. Teague enters the game for T. Jones
7:35.0,,,87-86,,T. Gibson enters the game for N. Bjelica
7:35.0,Z. Randolph enters the game for J. Sampson,,87-86,,
7:35.0,,,87-87,1,K. Towns makes free throw 2 of 2
7:20.0,G. Temple makes 3-pt shot from 22 ft (assist by B. Hield),3,90-87,,
6:58.0,,,90-90,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague)
6:35.0,Z. Randolph makes 2-pt shot from 4 ft,2,92-90,,
6:17.0,,,92-93,3,J. Teague makes 3-pt shot from 22 ft (assist by K. Towns)
5:48.0,Z. Randolph makes 2-pt shot from 3 ft,2,94-93,,
5:33.0,,,94-96,3,J. Crawford makes 3-pt shot from 24 ft
5:18.0,,,94-96,,Minnesota full timeout
5:18.0,,,94-96,,A. Wiggins enters the game for J. Crawford
5:18.0,J. Jackson enters the game for B. Hield,,94-96,,
5:15.0,Jump ball: K. Towns vs. K. Koufos (J. Teague gains possession),,,,Jump ball: K. Towns vs. K. Koufos (J. Teague gains possession)
5:15.0,Turnover by D. Fox (bad pass),,94-96,,
4:56.0,,,94-96,,K. Towns misses 2-pt shot at rim
4:54.0,Defensive rebound by Z. Randolph,,94-96,,
4:32.0,D. Fox makes 2-pt shot from 13 ft,2,96-96,,
4:16.0,,,96-96,,J. Butler misses 2-pt shot from 19 ft
4:13.0,Defensive rebound by K. Koufos,,96-96,,
4:01.0,D. Fox misses 2-pt shot from 21 ft,,96-96,,
4:00.0,,,96-96,,Defensive rebound by A. Wiggins
3:45.0,,,96-96,,Turnover by J. Butler (lost ball; steal by K. Koufos)
3:41.0,D. Fox misses 2-pt shot from 1 ft (block by K. Towns),,96-96,,
3:38.0,Offensive rebound by J. Jackson,,96-96,,
3:37.0,J. Jackson misses 2-pt shot from 2 ft (block by A. Wiggins),,96-96,,
3:37.0,,,96-96,,Defensive rebound by A. Wiggins
3:30.0,,,96-96,,T. Gibson misses 2-pt shot from 4 ft
3:30.0,,,96-96,,Offensive rebound by K. Towns
3:18.0,,,96-98,2,K. Towns makes 2-pt shot from 22 ft (assist by J. Teague)
3:00.0,,,96-98,,Personal foul by T. Gibson (drawn by Z. Randolph)
3:00.0,W. Cauley-Stein enters the game for G. Temple,,96-98,,
3:00.0,B. Bogdanovic enters the game for K. Koufos,,96-98,,
2:46.0,Z. Randolph misses 2-pt shot from 19 ft,,96-98,,
2:42.0,,,96-98,,Defensive rebound by J. Teague
2:24.0,Personal foul by Z. Randolph (drawn by T. Gibson),,96-98,,
2:24.0,Sacramento full timeout,,96-98,,
2:24.0,,,96-99,1,T. Gibson makes free throw 1 of 2
2:24.0,,,96-100,1,T. Gibson makes free throw 2 of 2
2:07.0,D. Fox misses 2-pt shot from 14 ft,,96-100,,
2:05.0,Offensive rebound by W. Cauley-Stein,,96-100,,
2:05.0,Shooting foul by J. Teague (drawn by W. Cauley-Stein),,96-100,,
2:05.0,W. Cauley-Stein makes free throw 1 of 2,1,97-100,,
