time,Dallas,pts.away,score,pts.home,Orlando
1:30.0,,,16-27,,A. Gordon misses 3-pt shot from 23 ft
1:27.0,Defensive rebound by J. Motley,,16-27,,
1:18.0,A. Harrison misses 2-pt shot from 3 ft,,16-27,,
1:15.0,,,16-27,,Defensive rebound by K. Birch
1:12.0,,,16-30,3,R. Purvis makes 3-pt shot from 23 ft (assist by S. Mack)
0:58.0,Shooting foul by K. Birch (drawn by J. Jones),,16-30,,
0:58.0,J. Jones makes free throw 1 of 2,1,17-30,,
0:58.0,J. Jones misses free throw 2 of 2,,17-30,,
0:56.0,,,17-30,,Defensive rebound by A. Gordon
0:42.0,,,17-30,,Shooting foul by D. McDermott (drawn by K. Birch)
0:42.0,,,17-31,1,K. Birch makes free throw 1 of 2
0:42.0,,,17-31,,K. Birch misses free throw 2 of 2
0:40.0,Defensive rebound by J. Jones,,17-31,,
0:31.0,J. Jones makes 2-pt shot from 1 ft,2,19-31,,
0:15.0,Personal foul by A. Harrison (drawn by A. Gordon),,19-31,,
0:15.0,,,19-32,1,A. Gordon makes free throw 1 of 2
0:15.0,,,19-33,1,A. Gordon makes free throw 2 of 2
0:04.0,J. Jones makes 3-pt shot from 23 ft (assist by K. Collinsworth),3,22-33,,
0:00.0,,,22-33,,R. Purvis misses 3-pt shot from 55 ft
0:00.0,,,22-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-33,,Personal foul by R. Purvis (drawn by K. Collinsworth)
11:35.0,K. Collinsworth makes 2-pt shot from 4 ft,2,24-33,,
11:16.0,,,24-33,,R. Purvis misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by M. Kleber,,24-33,,
10:58.0,Y. Ferrell misses 2-pt shot from 19 ft,,24-33,,
10:56.0,,,24-33,,Defensive rebound by R. Purvis
10:38.0,,,24-35,2,S. Mack makes 2-pt shot from 1 ft (assist by K. Birch)
10:25.0,J. Jones misses 2-pt shot from 6 ft,,24-35,,
10:18.0,Offensive rebound by D. Finney-Smith,,24-35,,
10:18.0,D. Finney-Smith makes 2-pt shot at rim,2,26-35,,
10:10.0,,,26-37,2,S. Mack makes 2-pt shot from 18 ft (assist by K. Birch)
9:43.0,M. Kleber makes 2-pt shot at rim (assist by K. Collinsworth),2,28-37,,
9:23.0,,,28-40,3,J. Artis makes 3-pt shot from 23 ft (assist by R. Purvis)
9:13.0,Shooting foul by S. Mack (drawn by K. Collinsworth),,28-40,,
9:13.0,K. Collinsworth misses free throw 1 of 2,,28-40,,
9:13.0,Offensive rebound by Team,,28-40,,
9:13.0,K. Collinsworth makes free throw 2 of 2,1,29-40,,
8:56.0,,,29-40,,R. Purvis misses 2-pt shot from 17 ft
8:53.0,Defensive rebound by M. Kleber,,29-40,,
8:42.0,J. Jones misses 2-pt shot from 5 ft (block by M. Hezonja),,29-40,,
8:42.0,Offensive rebound by Team,,29-40,,
8:40.0,D. Finney-Smith makes 2-pt shot from 17 ft (assist by K. Collinsworth),2,31-40,,
8:25.0,,,31-40,,M. Hezonja misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by K. Collinsworth,,31-40,,
8:17.0,D. Finney-Smith misses 3-pt shot from 22 ft,,31-40,,
8:10.0,,,31-40,,Defensive rebound by S. Mack
8:08.0,,,31-40,,M. Hezonja misses 2-pt shot from 1 ft
8:04.0,Defensive rebound by Y. Ferrell,,31-40,,
7:58.0,Y. Ferrell makes 2-pt shot from 1 ft,2,33-40,,
7:58.0,,,33-40,,Orlando full timeout
7:44.0,Personal foul by J. Jones (drawn by J. Artis),,33-40,,
7:44.0,A. Harrison enters the game for J. Jones,,33-40,,
7:40.0,,,33-40,,S. Mack misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by M. Kleber,,33-40,,
7:21.0,K. Collinsworth misses 2-pt shot from 4 ft (block by R. Purvis),,33-40,,
7:18.0,,,33-40,,Defensive rebound by S. Mack
7:18.0,Personal foul by K. Collinsworth (drawn by S. Mack),,33-40,,
7:01.0,,,33-40,,R. Purvis misses 3-pt shot from 22 ft
6:58.0,Defensive rebound by D. Finney-Smith,,33-40,,
6:52.0,D. Finney-Smith misses 2-pt shot from 7 ft,,33-40,,
6:49.0,,,33-40,,Defensive rebound by R. Purvis
6:44.0,,,33-42,2,M. Hezonja makes 2-pt shot at rim (assist by S. Mack)
6:23.0,M. Kleber makes 2-pt shot at rim (assist by Y. Ferrell),2,35-42,,
6:17.0,,,35-42,,Shooting foul by K. Collinsworth (drawn by S. Mack)
6:17.0,,,35-42,,S. Mack misses free throw 1 of 2
6:17.0,,,35-42,,Offensive rebound by Team
6:17.0,,,35-42,,W. Iwundu enters the game for M. Hezonja
6:17.0,,,35-42,,S. Mack misses free throw 2 of 2
6:14.0,,,35-42,,Offensive rebound by K. Birch
6:07.0,,,35-42,,R. Purvis misses 2-pt shot from 22 ft
6:04.0,Defensive rebound by K. Collinsworth,,35-42,,
5:55.0,D. Finney-Smith makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,38-42,,
5:42.0,,,38-44,2,J. Artis makes 2-pt shot from 11 ft (assist by S. Mack)
5:31.0,M. Kleber makes 3-pt shot from 26 ft (assist by A. Harrison),3,41-44,,
5:20.0,,,41-44,,Turnover by S. Mack (bad pass; steal by A. Harrison)
5:15.0,M. Kleber makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,43-44,,
5:15.0,,,43-44,,Orlando full timeout
5:15.0,,,43-44,,B. Biyombo enters the game for S. Mack
5:15.0,,,43-44,,D. Augustin enters the game for R. Purvis
5:15.0,,,43-44,,A. Gordon enters the game for K. Birch
5:15.0,J. Motley enters the game for M. Kleber,,43-44,,
5:00.0,,,43-46,2,J. Artis makes 2-pt shot from 20 ft (assist by B. Biyombo)
4:39.0,J. Motley misses 2-pt shot from 3 ft (block by J. Artis),,43-46,,
4:39.0,Offensive rebound by Team,,43-46,,
4:32.0,D. Finney-Smith misses 2-pt shot from 13 ft,,43-46,,
4:32.0,Offensive rebound by Team,,43-46,,
4:32.0,Turnover by Team (bad pass),,43-46,,
4:32.0,,,43-46,,Turnover by J. Artis (bad pass)
4:32.0,J. Barea enters the game for K. Collinsworth,,43-46,,
4:22.0,Y. Ferrell misses 3-pt shot from 25 ft,,43-46,,
4:17.0,Offensive rebound by A. Harrison,,43-46,,
4:16.0,A. Harrison misses 3-pt shot from 26 ft,,43-46,,
4:14.0,,,43-46,,Defensive rebound by B. Biyombo
4:01.0,,,43-48,2,J. Artis makes 2-pt shot from 3 ft (assist by B. Biyombo)
4:01.0,,,43-48,,Shooting foul by A. Harrison (drawn by J. Artis)
4:01.0,,,43-49,1,J. Artis makes free throw 1 of 1
3:48.0,J. Motley makes 2-pt shot from 2 ft (assist by J. Barea),2,45-49,,
3:37.0,,,45-49,,Offensive foul by W. Iwundu (drawn by Y. Ferrell)
3:37.0,,,45-49,,Turnover by W. Iwundu (offensive foul)
3:15.0,J. Motley makes 2-pt shot from 1 ft (assist by J. Barea),2,47-49,,
3:06.0,Personal foul by Y. Ferrell (drawn by W. Iwundu),,47-49,,
3:06.0,K. Collinsworth enters the game for Y. Ferrell,,47-49,,
3:06.0,,,47-49,,W. Iwundu misses free throw 1 of 2
3:06.0,,,47-49,,Offensive rebound by Team
3:06.0,,,47-50,1,W. Iwundu makes free throw 2 of 2
2:47.0,K. Collinsworth misses 3-pt shot from 25 ft,,47-50,,
2:42.0,,,47-50,,Defensive rebound by B. Biyombo
2:29.0,,,47-50,,Turnover by A. Gordon (bad pass)
2:19.0,J. Barea makes 2-pt shot from 6 ft,2,49-50,,
2:05.0,,,49-50,,J. Artis misses 3-pt shot from 25 ft
2:05.0,,,49-50,,Offensive rebound by W. Iwundu
1:53.0,,,49-50,,D. Augustin misses 3-pt shot from 25 ft
1:51.0,,,49-50,,Offensive rebound by B. Biyombo
1:51.0,,,49-50,,Shooting foul by J. Motley (drawn by B. Biyombo)
1:51.0,,,49-51,1,B. Biyombo makes free throw 1 of 2
1:51.0,,,49-51,,M. Hezonja enters the game for J. Artis
1:51.0,Y. Ferrell enters the game for J. Barea,,49-51,,
1:51.0,,,49-52,1,B. Biyombo makes free throw 2 of 2
1:37.0,A. Harrison makes 2-pt shot from 16 ft (assist by Y. Ferrell),2,51-52,,
1:23.0,,,51-54,2,A. Gordon makes 2-pt shot from 1 ft (assist by B. Biyombo)
0:58.0,D. Finney-Smith misses 2-pt shot from 18 ft,,51-54,,
0:54.0,,,51-54,,Defensive rebound by D. Augustin
0:54.0,,,51-54,,Turnover by B. Biyombo (bad pass)
0:33.0,Y. Ferrell misses 3-pt shot from 26 ft,,51-54,,
0:30.0,,,51-54,,Defensive rebound by B. Biyombo
0:15.0,,,51-54,,M. Hezonja misses 3-pt shot from 28 ft
0:13.0,,,51-54,,Offensive rebound by B. Biyombo
0:13.0,,,51-56,2,B. Biyombo makes 2-pt shot at rim
0:05.0,,,51-56,,Personal take foul by A. Gordon (drawn by Y. Ferrell)
0:00.0,A. Harrison misses 3-pt shot from 23 ft,,51-56,,
0:00.0,Offensive rebound by Team,,51-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,K. Collinsworth makes 2-pt shot from 13 ft (assist by A. Harrison),2,53-56,,
11:28.0,,,53-59,3,D. Augustin makes 3-pt shot from 25 ft (assist by M. Hezonja)
11:05.0,A. Harrison misses 3-pt shot from 26 ft,,53-59,,
11:02.0,,,53-59,,Defensive rebound by W. Iwundu
10:42.0,,,53-59,,W. Iwundu misses 2-pt shot from 9 ft
10:39.0,Defensive rebound by K. Collinsworth,,53-59,,
10:30.0,A. Harrison makes 3-pt shot from 24 ft (assist by D. Finney-Smith),3,56-59,,
10:06.0,,,56-61,2,A. Gordon makes 2-pt shot from 4 ft
9:48.0,D. McDermott misses 2-pt shot from 16 ft,,56-61,,
9:46.0,,,56-61,,Defensive rebound by M. Hezonja
9:35.0,,,56-64,3,D. Augustin makes 3-pt shot from 25 ft
9:17.0,J. Motley misses 2-pt shot from 6 ft,,56-64,,
9:14.0,Offensive rebound by J. Motley,,56-64,,
9:12.0,J. Motley makes 2-pt shot from 1 ft,2,58-64,,
9:01.0,,,58-64,,Turnover by D. Augustin (discontinued dribble)
8:50.0,Turnover by K. Collinsworth (out of bounds lost ball),,58-64,,
8:36.0,,,58-64,,M. Hezonja misses 2-pt shot from 17 ft
8:35.0,Defensive rebound by Team,,58-64,,
8:24.0,,,58-64,,Shooting block foul by D. Augustin (drawn by D. McDermott)
8:24.0,D. McDermott misses free throw 1 of 2,,58-64,,
8:24.0,Offensive rebound by Team,,58-64,,
8:24.0,D. McDermott makes free throw 2 of 2,1,59-64,,
8:10.0,,,59-64,,Turnover by A. Gordon (traveling)
7:54.0,D. Finney-Smith misses 3-pt shot from 26 ft,,59-64,,
7:50.0,,,59-64,,Defensive rebound by M. Hezonja
7:50.0,,,59-64,,Shooting foul by D. McDermott (drawn by W. Iwundu)
7:50.0,,,59-65,1,W. Iwundu makes free throw 1 of 2
7:50.0,,,59-66,1,W. Iwundu makes free throw 2 of 2
7:40.0,J. Motley makes 2-pt shot from 18 ft (assist by K. Collinsworth),2,61-66,,
7:28.0,Def 3 sec tech foul by D. McDermott,,61-66,,
7:28.0,,,61-67,1,D. Augustin makes technical free throw
7:20.0,,,61-67,,Offensive foul by B. Biyombo (drawn by J. Motley)
7:20.0,,,61-67,,Turnover by B. Biyombo (offensive foul)
7:05.0,D. McDermott misses 2-pt shot from 1 ft (block by B. Biyombo),,61-67,,
7:01.0,,,61-67,,Defensive rebound by A. Gordon
6:58.0,,,61-67,,D. Augustin misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by K. Collinsworth,,61-67,,
6:52.0,D. Finney-Smith misses 2-pt shot from 1 ft (block by W. Iwundu),,61-67,,
6:46.0,,,61-67,,Defensive rebound by B. Biyombo
6:43.0,,,61-69,2,M. Hezonja makes 2-pt shot from 1 ft (assist by A. Gordon)
6:24.0,D. McDermott misses 3-pt shot from 26 ft,,61-69,,
6:21.0,,,61-69,,Defensive rebound by W. Iwundu
6:07.0,,,61-69,,W. Iwundu misses 3-pt shot from 22 ft
6:03.0,,,61-69,,Offensive rebound by B. Biyombo
6:00.0,,,61-69,,A. Gordon misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by K. Collinsworth,,61-69,,
5:51.0,K. Collinsworth misses 2-pt shot from 13 ft,,61-69,,
5:48.0,Offensive rebound by Team,,61-69,,
5:48.0,,,61-69,,Orlando full timeout
5:48.0,,,61-69,,J. Artis enters the game for M. Hezonja
5:48.0,,,61-69,,S. Mack enters the game for D. Augustin
5:44.0,Shooting foul by S. Mack (drawn by D. Finney-Smith),,61-69,,
5:44.0,D. Finney-Smith makes free throw 1 of 2,1,62-69,,
5:44.0,D. Finney-Smith makes free throw 2 of 2,1,63-69,,
5:24.0,,,63-69,,A. Gordon misses 2-pt shot from 22 ft
5:24.0,,,63-69,,Offensive rebound by Team
5:24.0,Loose ball foul by K. Collinsworth (drawn by B. Biyombo),,63-69,,
5:16.0,,,63-69,,J. Artis misses 2-pt shot from 18 ft
5:13.0,Defensive rebound by K. Collinsworth,,63-69,,
5:09.0,K. Collinsworth misses 2-pt shot from 7 ft,,63-69,,
5:03.0,Offensive rebound by K. Collinsworth,,63-69,,
5:03.0,K. Collinsworth misses 2-pt shot at rim,,63-69,,
5:02.0,Offensive rebound by K. Collinsworth,,63-69,,
5:00.0,K. Collinsworth makes 2-pt shot from 1 ft,2,65-69,,
4:47.0,,,65-69,,W. Iwundu misses 2-pt shot from 2 ft
4:46.0,Defensive rebound by D. McDermott,,65-69,,
4:39.0,D. McDermott misses 2-pt shot from 2 ft,,65-69,,
4:37.0,,,65-69,,Defensive rebound by W. Iwundu
4:36.0,,,65-69,,Turnover by W. Iwundu (bad pass)
4:36.0,,,65-69,,R. Purvis enters the game for B. Biyombo
4:36.0,,,65-69,,K. Birch enters the game for W. Iwundu
4:36.0,Y. Ferrell enters the game for K. Collinsworth,,65-69,,
4:24.0,Y. Ferrell misses 3-pt shot from 25 ft,,65-69,,
4:20.0,,,65-69,,Defensive rebound by K. Birch
3:58.0,,,65-69,,A. Gordon misses 2-pt shot from 3 ft
3:55.0,Defensive rebound by J. Motley,,65-69,,
3:50.0,D. Finney-Smith misses 2-pt shot from 2 ft (block by A. Gordon),,65-69,,
3:50.0,,,65-69,,Defensive rebound by Team
3:50.0,J. Jones enters the game for D. McDermott,,65-69,,
3:36.0,,,65-69,,A. Gordon misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by J. Jones,,65-69,,
3:34.0,Dallas full timeout,,65-69,,
3:34.0,,,65-69,,M. Hezonja enters the game for A. Gordon
3:18.0,Turnover by D. Finney-Smith (bad pass; steal by M. Hezonja),,65-69,,
3:02.0,,,65-71,2,S. Mack makes 2-pt shot from 13 ft (assist by K. Birch)
2:41.0,A. Harrison makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,68-71,,
2:15.0,,,68-73,2,K. Birch makes 2-pt shot from 1 ft (assist by M. Hezonja)
2:15.0,,,68-73,,Shooting foul by J. Jones (drawn by K. Birch)
2:15.0,,,68-74,1,K. Birch makes free throw 1 of 1
2:03.0,Shooting foul by K. Birch (drawn by J. Motley),,68-74,,
2:03.0,J. Motley misses free throw 1 of 2,,68-74,,
2:03.0,Offensive rebound by Team,,68-74,,
2:03.0,J. Motley makes free throw 2 of 2,1,69-74,,
1:44.0,,,69-74,,J. Artis misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by D. Finney-Smith,,69-74,,
1:37.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,72-74,,
1:26.0,,,72-74,,Shooting foul by A. Harrison (drawn by S. Mack)
1:26.0,,,72-74,,S. Mack misses free throw 1 of 2
1:26.0,,,72-74,,Offensive rebound by Team
1:26.0,S. Mejri enters the game for D. Finney-Smith,,72-74,,
1:26.0,,,72-75,1,S. Mack makes free throw 2 of 2
1:11.0,Turnover by S. Mejri (lost ball; steal by M. Hezonja),,72-75,,
0:56.0,,,72-77,2,J. Artis makes 2-pt shot from 2 ft (assist by M. Hezonja)
0:40.0,Dallas full timeout,,72-77,,
0:40.0,M. Kleber enters the game for S. Mejri,,72-77,,
0:37.0,J. Motley makes 2-pt shot from 4 ft (assist by Y. Ferrell),2,74-77,,
0:18.0,,,74-77,,M. Hezonja misses 2-pt shot from 8 ft
0:15.0,Defensive rebound by A. Harrison,,74-77,,
0:03.0,J. Jones misses 3-pt shot from 22 ft,,74-77,,
0:03.0,,,74-77,,Defensive rebound by K. Birch
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,74-79,2,K. Birch makes 2-pt shot from 1 ft (assist by S. Mack)
11:16.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by M. Kleber),3,77-79,,
11:00.0,,,77-82,3,M. Hezonja makes 3-pt shot from 26 ft (assist by S. Mack)
10:49.0,K. Collinsworth misses 2-pt shot from 4 ft,,77-82,,
10:49.0,,,77-82,,Defensive rebound by M. Hezonja
10:41.0,Personal foul by M. Kleber (drawn by M. Hezonja),,77-82,,
10:35.0,,,77-84,2,J. Artis makes 2-pt shot from 17 ft
10:18.0,Shooting foul by M. Hezonja (drawn by Y. Ferrell),,77-84,,
10:18.0,Y. Ferrell makes free throw 1 of 2,1,78-84,,
10:18.0,Y. Ferrell makes free throw 2 of 2,1,79-84,,
10:05.0,,,79-84,,S. Mack misses 2-pt shot from 19 ft
10:02.0,Defensive rebound by M. Kleber,,79-84,,
9:57.0,Shooting foul by R. Purvis (drawn by K. Collinsworth),,79-84,,
9:57.0,K. Collinsworth makes free throw 1 of 2,1,80-84,,
9:57.0,A. Harrison enters the game for Y. Ferrell,,80-84,,
9:57.0,K. Collinsworth makes free throw 2 of 2,1,81-84,,
9:47.0,,,81-86,2,R. Purvis makes 2-pt shot from 21 ft
9:18.0,K. Collinsworth misses 3-pt shot from 24 ft,,81-86,,
9:17.0,,,81-86,,Defensive rebound by R. Purvis
9:11.0,,,81-88,2,R. Purvis makes 2-pt shot from 22 ft
8:58.0,K. Collinsworth misses 2-pt shot from 4 ft (block by M. Hezonja),,81-88,,
8:54.0,,,81-88,,Defensive rebound by M. Hezonja
8:43.0,,,81-88,,R. Purvis misses 2-pt shot from 19 ft
8:39.0,,,81-88,,Offensive rebound by K. Birch
8:29.0,,,81-90,2,J. Artis makes 2-pt shot from 19 ft (assist by S. Mack)
8:16.0,Dallas full timeout,,81-90,,
8:16.0,,,81-90,,W. Iwundu enters the game for S. Mack
8:11.0,M. Kleber makes 3-pt shot from 26 ft (assist by K. Collinsworth),3,84-90,,
7:46.0,,,84-90,,R. Purvis misses 2-pt shot from 20 ft
7:45.0,,,84-90,,Offensive rebound by Team
7:45.0,Loose ball foul by K. Collinsworth (drawn by K. Birch),,84-90,,
7:45.0,D. Finney-Smith enters the game for M. Kleber,,84-90,,
7:30.0,,,84-90,,J. Artis misses 2-pt shot from 22 ft
7:27.0,Defensive rebound by A. Harrison,,84-90,,
7:22.0,J. Motley misses 2-pt shot from 2 ft,,84-90,,
7:16.0,Offensive rebound by D. Finney-Smith,,84-90,,
7:16.0,D. Finney-Smith makes 2-pt shot at rim,2,86-90,,
7:07.0,,,86-90,,M. Hezonja misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by J. Jones,,86-90,,
6:47.0,J. Jones makes 2-pt shot from 1 ft,2,88-90,,
6:47.0,Shooting foul by W. Iwundu (drawn by J. Jones),,88-90,,
6:47.0,J. Jones makes free throw 1 of 1,1,89-90,,
6:28.0,,,89-92,2,J. Artis makes 2-pt shot from 1 ft (assist by K. Birch)
6:17.0,Turnover by K. Collinsworth (bad pass),,89-92,,
6:01.0,,,89-92,,K. Birch misses 2-pt shot from 6 ft
5:59.0,Defensive rebound by J. Jones,,89-92,,
5:52.0,J. Jones misses 2-pt shot from 1 ft (block by K. Birch),,89-92,,
5:49.0,,,89-92,,Defensive rebound by W. Iwundu
5:46.0,,,89-92,,M. Hezonja misses 2-pt shot from 22 ft
5:42.0,,,89-92,,Offensive rebound by K. Birch
5:40.0,,,89-92,,M. Hezonja misses 3-pt shot from 24 ft
5:37.0,,,89-92,,Offensive rebound by K. Birch
5:35.0,,,89-92,,K. Birch misses 2-pt shot from 2 ft
5:32.0,Defensive rebound by J. Motley,,89-92,,
5:31.0,Dallas full timeout,,89-92,,
5:31.0,,,89-92,,S. Mack enters the game for J. Artis
5:19.0,Offensive charge foul by J. Motley (drawn by K. Birch),,89-92,,
5:19.0,Turnover by J. Motley (offensive foul),,89-92,,
4:55.0,,,89-94,2,M. Hezonja makes 2-pt shot from 9 ft
4:36.0,Offensive charge foul by J. Jones (drawn by W. Iwundu),,89-94,,
4:36.0,Turnover by J. Jones (offensive foul),,89-94,,
4:21.0,,,89-94,,W. Iwundu misses 2-pt shot from 17 ft
4:19.0,Defensive rebound by A. Harrison,,89-94,,
4:09.0,J. Jones misses 3-pt shot from 25 ft,,89-94,,
