time,Brooklyn,pts.away,score,pts.home,Boston
3:33.0,Q. Acy enters the game for R. Hollis-Jefferson,,14-27,,
3:33.0,,,14-27,,Boston full timeout
3:23.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,16-27,,
3:07.0,,,16-27,,M. Smart misses 3-pt shot from 29 ft
3:04.0,Defensive rebound by N. Stauskas,,16-27,,
2:50.0,Q. Acy makes 2-pt shot from 11 ft (assist by J. Harris),2,18-27,,
2:33.0,,,18-27,,Turnover by K. Irving (bad pass)
2:33.0,,,18-27,,D. Theis enters the game for K. Irving
2:33.0,,,18-27,,T. Rozier enters the game for A. Baynes
2:26.0,Turnover by Q. Acy (traveling),,18-27,,
2:15.0,,,18-29,2,M. Smart makes 2-pt shot from 12 ft
1:59.0,J. Harris makes 2-pt shot from 3 ft (assist by N. Stauskas),2,20-29,,
1:47.0,,,20-29,,T. Rozier misses 2-pt shot from 5 ft
1:44.0,Defensive rebound by C. LeVert,,20-29,,
1:34.0,C. LeVert makes 2-pt shot from 6 ft,2,22-29,,
1:34.0,Shooting foul by M. Morris (drawn by C. LeVert),,22-29,,
1:34.0,C. LeVert makes free throw 1 of 1,1,23-29,,
1:22.0,,,23-31,2,M. Smart makes 2-pt shot from 18 ft (assist by J. Brown)
1:09.0,Shooting foul by M. Morris (drawn by J. Allen),,23-31,,
1:09.0,J. Allen makes free throw 1 of 2,1,24-31,,
1:09.0,,,24-31,,A. Horford enters the game for J. Brown
1:09.0,J. Allen makes free throw 2 of 2,1,25-31,,
0:58.0,Personal foul by J. Harris (drawn by M. Morris),,25-31,,
0:52.0,,,25-34,3,M. Morris makes 3-pt shot from 22 ft (assist by T. Rozier)
0:42.0,C. LeVert misses 2-pt shot from 7 ft,,25-34,,
0:40.0,,,25-34,,Defensive rebound by T. Rozier
0:36.0,,,25-34,,Shooting foul by J. Allen (drawn by M. Morris)
0:36.0,,,25-35,1,M. Morris makes free throw 1 of 2
0:36.0,,,25-35,,M. Morris misses free throw 2 of 2
0:34.0,Defensive rebound by J. Allen,,25-35,,
0:20.0,N. Stauskas makes 3-pt shot from 26 ft,3,28-35,,
0:04.0,,,28-35,,T. Rozier misses 3-pt shot from 27 ft
0:02.0,,,28-35,,Offensive rebound by A. Horford
0:01.0,,,28-38,3,T. Rozier makes 3-pt shot from 26 ft (assist by A. Horford)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Allen misses 2-pt shot from 9 ft,,28-38,,
11:42.0,,,28-38,,Defensive rebound by D. Theis
11:25.0,,,28-40,2,D. Theis makes 2-pt shot from 10 ft (assist by T. Rozier)
11:12.0,J. Harris misses 3-pt shot from 26 ft,,28-40,,
11:12.0,,,28-40,,Defensive rebound by A. Horford
10:58.0,,,28-40,,J. Tatum enters the game for D. Theis
10:54.0,Jump ball: M. Morris vs. C. LeVert (A. Crabbe gains possession),,,,Jump ball: M. Morris vs. C. LeVert (A. Crabbe gains possession)
10:54.0,,,28-40,,Turnover by M. Morris (turnover; steal by C. LeVert)
10:54.0,,,28-40,,Personal foul by T. Rozier (drawn by A. Crabbe)
10:33.0,J. Harris makes 2-pt shot from 9 ft (assist by A. Crabbe),2,30-40,,
10:23.0,,,30-43,3,T. Rozier makes 3-pt shot from 26 ft
10:02.0,A. Crabbe misses 3-pt shot from 25 ft,,30-43,,
9:58.0,,,30-43,,Defensive rebound by A. Horford
9:58.0,,,30-43,,Turnover by A. Horford (bad pass)
9:58.0,,,30-43,,S. Larkin enters the game for M. Morris
9:45.0,C. LeVert misses 2-pt shot from 1 ft (block by A. Horford),,30-43,,
9:41.0,Offensive rebound by C. LeVert,,30-43,,
9:41.0,J. Allen misses 2-pt shot from 2 ft (block by A. Horford),,30-43,,
9:41.0,,,30-43,,Defensive rebound by S. Larkin
9:34.0,,,30-43,,Turnover by J. Tatum (lost ball; steal by J. Harris)
9:23.0,C. LeVert makes 2-pt shot at rim,2,32-43,,
9:07.0,,,32-43,,Turnover by A. Horford (turnover)
9:07.0,Q. Acy enters the game for J. Allen,,32-43,,
8:51.0,A. Crabbe makes 2-pt shot from 1 ft (assist by C. LeVert),2,34-43,,
8:51.0,,,34-43,,Boston full timeout
8:34.0,,,34-43,,M. Smart misses 3-pt shot from 26 ft
8:30.0,Defensive rebound by C. LeVert,,34-43,,
8:20.0,C. LeVert makes 3-pt shot from 25 ft,3,37-43,,
8:04.0,,,37-43,,M. Smart misses 3-pt shot from 26 ft
8:03.0,Defensive rebound by D. Carroll,,37-43,,
7:40.0,J. Harris makes 2-pt shot from 7 ft,2,39-43,,
7:15.0,Personal foul by C. LeVert (drawn by T. Rozier),,39-43,,
7:15.0,,,39-43,,K. Irving enters the game for M. Smart
7:15.0,,,39-43,,D. Theis enters the game for A. Horford
7:15.0,S. Dinwiddie enters the game for J. Harris,,39-43,,
7:15.0,R. Hollis-Jefferson enters the game for C. LeVert,,39-43,,
7:08.0,,,39-45,2,T. Rozier makes 2-pt shot from 15 ft
7:08.0,,,39-45,,Shooting foul by D. Carroll (drawn by T. Rozier)
7:08.0,,,39-45,,T. Rozier misses free throw 1 of 1
7:06.0,Defensive rebound by R. Hollis-Jefferson,,39-45,,
6:52.0,R. Hollis-Jefferson misses 2-pt shot from 10 ft,,39-45,,
6:49.0,,,39-45,,Defensive rebound by T. Rozier
6:36.0,,,39-45,,D. Theis misses 2-pt shot from 20 ft
6:32.0,Defensive rebound by R. Hollis-Jefferson,,39-45,,
6:22.0,D. Carroll misses 3-pt shot from 22 ft,,39-45,,
6:19.0,,,39-45,,Defensive rebound by D. Theis
6:08.0,,,39-47,2,D. Theis makes 2-pt shot from 12 ft (assist by S. Larkin)
6:00.0,,,39-47,,Personal foul by J. Tatum (drawn by R. Hollis-Jefferson)
5:49.0,Q. Acy makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,42-47,,
5:34.0,,,42-47,,K. Irving misses 3-pt shot from 26 ft
5:33.0,Defensive rebound by Team,,42-47,,
5:33.0,,,42-47,,Technical foul by K. Irving
5:33.0,A. Crabbe makes technical free throw,1,43-47,,
5:22.0,A. Crabbe misses 3-pt shot from 25 ft,,43-47,,
5:18.0,,,43-47,,Defensive rebound by K. Irving
5:15.0,,,43-47,,Offensive charge foul by K. Irving (drawn by Q. Acy)
5:15.0,,,43-47,,Turnover by K. Irving (offensive foul)
5:03.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,46-47,,
4:45.0,,,46-50,3,K. Irving makes 3-pt shot from 26 ft
4:31.0,Q. Acy makes 2-pt shot at rim,2,48-50,,
4:17.0,,,48-52,2,K. Irving makes 2-pt shot from 13 ft
4:14.0,Brooklyn full timeout,,48-52,,
4:14.0,,,48-52,,J. Brown enters the game for J. Tatum
4:14.0,,,48-52,,M. Smart enters the game for S. Larkin
4:14.0,C. LeVert enters the game for D. Carroll,,48-52,,
4:02.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,48-52,,
4:00.0,Offensive rebound by Q. Acy,,48-52,,
3:58.0,Q. Acy misses 2-pt shot at rim,,48-52,,
3:58.0,,,48-52,,Defensive rebound by T. Rozier
3:54.0,,,48-54,2,T. Rozier makes 2-pt shot from 13 ft
3:36.0,S. Dinwiddie makes 3-pt shot from 24 ft (assist by C. LeVert),3,51-54,,
3:14.0,,,51-57,3,K. Irving makes 3-pt shot from 26 ft
2:59.0,Shooting foul by D. Theis (drawn by C. LeVert),,51-57,,
2:59.0,C. LeVert makes free throw 1 of 2,1,52-57,,
2:59.0,D. Carroll enters the game for Q. Acy,,52-57,,
2:59.0,J. Harris enters the game for A. Crabbe,,52-57,,
2:59.0,C. LeVert makes free throw 2 of 2,1,53-57,,
2:49.0,,,53-57,,K. Irving misses 2-pt shot from 3 ft
2:47.0,Defensive rebound by J. Harris,,53-57,,
2:35.0,C. LeVert misses 2-pt shot from 4 ft,,53-57,,
2:31.0,,,53-57,,Defensive rebound by M. Smart
2:28.0,,,53-57,,Turnover by M. Smart (bad pass)
2:15.0,D. Carroll misses 3-pt shot from 23 ft,,53-57,,
2:13.0,,,53-57,,Defensive rebound by T. Rozier
2:02.0,,,53-57,,M. Smart misses 3-pt shot from 27 ft
2:00.0,Defensive rebound by J. Harris,,53-57,,
1:51.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie),2,55-57,,
1:32.0,,,55-59,2,K. Irving makes 2-pt shot from 8 ft
1:23.0,S. Dinwiddie misses 3-pt shot from 26 ft,,55-59,,
1:22.0,,,55-59,,Defensive rebound by K. Irving
1:15.0,,,55-59,,J. Brown misses 2-pt shot from 1 ft
1:15.0,,,55-59,,Offensive rebound by D. Theis
1:12.0,,,55-61,2,D. Theis makes 2-pt shot from 1 ft
0:56.0,C. LeVert makes 2-pt shot from 1 ft,2,57-61,,
0:44.0,,,57-61,,K. Irving misses 3-pt shot from 22 ft
0:41.0,Defensive rebound by C. LeVert,,57-61,,
0:35.0,,,57-61,,Personal foul by J. Brown (drawn by C. LeVert)
0:35.0,,,57-61,,J. Tatum enters the game for T. Rozier
0:35.0,,,57-61,,A. Horford enters the game for D. Theis
0:31.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,57-61,,
0:29.0,,,57-61,,Defensive rebound by J. Tatum
0:25.0,,,57-61,,Turnover by J. Tatum (out of bounds lost ball)
0:00.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,59-61,,
0:00.0,,,59-61,,M. Smart misses 3-pt shot from 57 ft
0:00.0,Defensive rebound by Team,,59-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,A. Crabbe misses 3-pt shot from 26 ft,,59-61,,
11:33.0,,,59-61,,Defensive rebound by A. Horford
11:22.0,,,59-61,,Offensive charge foul by J. Tatum (drawn by T. Zeller)
11:22.0,,,59-61,,Turnover by J. Tatum (offensive foul)
11:12.0,D. Carroll misses 2-pt shot from 16 ft,,59-61,,
11:08.0,,,59-61,,Defensive rebound by K. Irving
10:57.0,,,59-61,,A. Horford misses 2-pt shot from 9 ft
10:54.0,Defensive rebound by A. Crabbe,,59-61,,
10:41.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft (block by J. Brown),,59-61,,
10:38.0,,,59-61,,Defensive rebound by A. Baynes
10:38.0,,,59-61,,Turnover by J. Brown (out of bounds lost ball)
10:32.0,A. Crabbe makes 2-pt shot from 2 ft (assist by T. Zeller),2,61-61,,
10:18.0,,,61-61,,K. Irving misses 2-pt shot from 4 ft
10:14.0,,,61-61,,Offensive rebound by K. Irving
10:13.0,,,61-61,,J. Brown misses 3-pt shot from 27 ft
10:13.0,Defensive rebound by D. Carroll,,61-61,,
9:58.0,A. Crabbe misses 3-pt shot from 25 ft,,61-61,,
9:57.0,Offensive rebound by Team,,61-61,,
9:57.0,,,61-61,,Loose ball foul by A. Horford (drawn by T. Zeller)
9:43.0,D. Carroll makes 2-pt shot from 1 ft,2,63-61,,
9:22.0,,,63-61,,Shooting foul by D. Carroll (drawn by J. Tatum)
9:22.0,,,63-62,1,J. Tatum makes free throw 1 of 2
9:22.0,,,63-63,1,J. Tatum makes free throw 2 of 2
9:13.0,Turnover by S. Dinwiddie (bad pass; steal by K. Irving),,63-63,,
9:09.0,,,63-63,,K. Irving misses 2-pt shot from 4 ft
9:05.0,Defensive rebound by R. Hollis-Jefferson,,63-63,,
8:48.0,S. Dinwiddie misses 3-pt shot from 33 ft,,63-63,,
8:43.0,Offensive rebound by T. Zeller,,63-63,,
8:41.0,T. Zeller misses 2-pt shot from 6 ft,,63-63,,
8:41.0,,,63-63,,Defensive rebound by A. Baynes
8:25.0,,,63-65,2,A. Horford makes 2-pt shot from 8 ft (assist by K. Irving)
8:08.0,Shooting foul by A. Baynes (drawn by D. Carroll),,63-65,,
8:08.0,D. Carroll makes free throw 1 of 2,1,64-65,,
8:08.0,D. Carroll makes free throw 2 of 2,1,65-65,,
7:50.0,,,65-67,2,A. Horford makes 2-pt shot from 8 ft (assist by K. Irving)
7:42.0,Turnover by A. Crabbe (out of bounds lost ball),,65-67,,
7:25.0,Personal foul by S. Dinwiddie (drawn by A. Horford),,65-67,,
7:25.0,C. LeVert enters the game for S. Dinwiddie,,65-67,,
7:15.0,,,65-67,,A. Horford misses 2-pt shot from 6 ft (block by R. Hollis-Jefferson)
7:15.0,Defensive rebound by A. Crabbe,,65-67,,
7:08.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by C. LeVert),2,67-67,,
6:55.0,,,67-67,,K. Irving misses 2-pt shot from 3 ft
6:53.0,Defensive rebound by C. LeVert,,67-67,,
6:49.0,Turnover by C. LeVert (bad pass; steal by J. Brown),,67-67,,
6:46.0,Personal foul by A. Crabbe (drawn by K. Irving),,67-67,,
6:46.0,,,67-67,,Boston full timeout
6:37.0,,,67-67,,J. Tatum misses 3-pt shot from 25 ft
6:33.0,,,67-67,,Offensive rebound by A. Baynes
6:32.0,,,67-70,3,J. Brown makes 3-pt shot from 25 ft (assist by A. Baynes)
6:10.0,R. Hollis-Jefferson misses 2-pt shot from 16 ft,,67-70,,
6:08.0,,,67-70,,Defensive rebound by K. Irving
6:01.0,,,67-70,,A. Horford misses 2-pt shot from 4 ft
5:59.0,Defensive rebound by R. Hollis-Jefferson,,67-70,,
5:47.0,T. Zeller misses 3-pt shot from 22 ft,,67-70,,
5:42.0,Offensive rebound by D. Carroll,,67-70,,
5:41.0,Turnover by D. Carroll (lost ball; steal by K. Irving),,67-70,,
5:37.0,,,67-72,2,K. Irving makes 2-pt shot at rim
5:27.0,Shooting foul by K. Irving (drawn by C. LeVert),,67-72,,
5:27.0,C. LeVert makes free throw 1 of 2,1,68-72,,
5:27.0,,,68-72,,M. Smart enters the game for A. Horford
5:27.0,J. Allen enters the game for A. Crabbe,,68-72,,
5:27.0,J. Harris enters the game for T. Zeller,,68-72,,
5:27.0,C. LeVert misses free throw 2 of 2,,68-72,,
5:27.0,,,68-72,,M. Morris enters the game for J. Tatum
5:24.0,,,68-72,,Offensive rebound by A. Baynes
5:15.0,,,68-74,2,K. Irving makes 2-pt shot from 10 ft
5:00.0,J. Harris misses 3-pt shot from 26 ft,,68-74,,
4:57.0,,,68-74,,Defensive rebound by M. Morris
4:53.0,,,68-74,,K. Irving misses 3-pt shot from 27 ft
4:53.0,,,68-74,,Offensive rebound by A. Baynes
4:34.0,,,68-76,2,M. Morris makes 2-pt shot from 8 ft
4:32.0,Brooklyn full timeout,,68-76,,
4:32.0,N. Stauskas enters the game for D. Carroll,,68-76,,
4:32.0,Q. Acy enters the game for R. Hollis-Jefferson,,68-76,,
4:22.0,Turnover by J. Allen (bad pass; steal by A. Baynes),,68-76,,
4:12.0,,,68-79,3,M. Morris makes 3-pt shot from 27 ft (assist by M. Smart)
3:55.0,Q. Acy misses 3-pt shot from 23 ft,,68-79,,
3:52.0,,,68-79,,Defensive rebound by A. Baynes
3:33.0,,,68-79,,M. Morris misses 2-pt shot from 3 ft (block by J. Allen)
3:30.0,Defensive rebound by J. Harris,,68-79,,
3:26.0,Q. Acy misses 2-pt shot from 1 ft,,68-79,,
3:23.0,,,68-79,,Defensive rebound by Team
3:19.0,Jump ball: A. Baynes vs. C. LeVert (K. Irving gains possession),,,,Jump ball: A. Baynes vs. C. LeVert (K. Irving gains possession)
3:15.0,,,68-79,,M. Morris misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by J. Allen,,68-79,,
2:59.0,J. Harris makes 3-pt shot from 26 ft (assist by J. Allen),3,71-79,,
2:40.0,,,71-79,,K. Irving misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by N. Stauskas,,71-79,,
2:28.0,C. LeVert misses 2-pt shot from 14 ft,,71-79,,
2:24.0,,,71-79,,Defensive rebound by M. Morris
2:14.0,,,71-79,,Turnover by M. Morris (traveling)
2:14.0,,,71-79,,T. Rozier enters the game for K. Irving
2:03.0,C. LeVert misses 2-pt shot from 6 ft,,71-79,,
2:00.0,,,71-79,,Defensive rebound by T. Rozier
1:52.0,,,71-82,3,J. Brown makes 3-pt shot from 23 ft (assist by T. Rozier)
1:33.0,Shooting foul by T. Rozier (drawn by Q. Acy),,71-82,,
1:33.0,Q. Acy makes free throw 1 of 2,1,72-82,,
1:33.0,,,72-82,,A. Horford enters the game for A. Baynes
1:33.0,Q. Acy makes free throw 2 of 2,1,73-82,,
1:23.0,,,73-82,,Turnover by J. Brown (out of bounds lost ball)
1:11.0,C. LeVert misses 2-pt shot from 3 ft (block by A. Horford),,73-82,,
1:07.0,Offensive rebound by J. Allen,,73-82,,
1:00.0,N. Stauskas misses 3-pt shot from 32 ft,,73-82,,
0:59.0,Offensive rebound by Team,,73-82,,
0:58.0,Turnover by Team (shot clock),,73-82,,
0:48.0,,,73-82,,T. Rozier misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by J. Allen,,73-82,,
0:36.0,C. LeVert makes 3-pt shot from 27 ft (assist by Q. Acy),3,76-82,,
0:21.0,,,76-82,,A. Horford misses 3-pt shot from 26 ft
0:18.0,Defensive rebound by J. Allen,,76-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,76-82,,Offensive foul by A. Horford (drawn by A. Crabbe)
11:47.0,,,76-82,,Turnover by A. Horford (offensive foul)
11:36.0,Turnover by J. Harris (bad pass; steal by T. Rozier),,76-82,,
11:34.0,,,76-82,,Shooting foul by Q. Acy (drawn by T. Rozier)
11:34.0,,,76-83,1,T. Rozier makes free throw 1 of 2
11:34.0,,,76-84,1,T. Rozier makes free throw 2 of 2
11:18.0,J. Allen misses 2-pt shot from 11 ft,,76-84,,
11:14.0,,,76-84,,Defensive rebound by A. Horford
11:08.0,,,76-84,,Turnover by M. Smart (bad pass; steal by J. Allen)
11:02.0,Turnover by C. LeVert (lost ball; steal by M. Smart),,76-84,,
10:58.0,,,76-84,,M. Smart misses 2-pt shot at rim
10:57.0,Defensive rebound by Team,,76-84,,
10:46.0,A. Crabbe makes 3-pt shot from 27 ft (assist by J. Harris),3,79-84,,
10:46.0,Shooting foul by T. Rozier (drawn by A. Crabbe),,79-84,,
10:46.0,S. Dinwiddie enters the game for C. LeVert,,79-84,,
10:46.0,A. Crabbe makes free throw 1 of 1,1,80-84,,
10:37.0,,,80-84,,Shooting foul by A. Crabbe (drawn by J. Tatum)
10:37.0,,,80-85,1,J. Tatum makes free throw 1 of 2
10:37.0,,,80-85,,J. Tatum misses free throw 2 of 2
10:34.0,Defensive rebound by Q. Acy,,80-85,,
10:19.0,Q. Acy misses 3-pt shot from 26 ft,,80-85,,
10:16.0,,,80-85,,Defensive rebound by T. Rozier
10:04.0,,,80-88,3,M. Morris makes 3-pt shot from 25 ft (assist by A. Horford)
9:43.0,A. Crabbe misses 3-pt shot from 27 ft,,80-88,,
9:40.0,,,80-88,,Defensive rebound by A. Horford
9:36.0,,,80-91,3,J. Tatum makes 3-pt shot from 24 ft (assist by A. Horford)
9:35.0,Brooklyn full timeout,,80-91,,
9:35.0,T. Zeller enters the game for J. Harris,,80-91,,
9:35.0,R. Hollis-Jefferson enters the game for Q. Acy,,80-91,,
9:35.0,D. Carroll enters the game for J. Allen,,80-91,,
9:28.0,,,80-91,,Personal foul by M. Smart (drawn by S. Dinwiddie)
9:11.0,R. Hollis-Jefferson misses 3-pt shot from 27 ft,,80-91,,
9:11.0,Offensive rebound by Team,,80-91,,
9:00.0,Turnover by Team (shot clock),,80-91,,
9:00.0,,,80-93,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
8:33.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie),2,82-93,,
8:16.0,,,82-93,,M. Smart misses 2-pt shot from 12 ft
8:14.0,Defensive rebound by S. Dinwiddie,,82-93,,
8:11.0,D. Carroll misses 2-pt shot from 5 ft (block by M. Smart),,82-93,,
8:11.0,Offensive rebound by D. Carroll,,82-93,,
8:03.0,D. Carroll misses 3-pt shot from 26 ft,,82-93,,
8:00.0,Offensive rebound by D. Carroll,,82-93,,
7:49.0,T. Zeller misses 2-pt shot from 1 ft,,82-93,,
7:47.0,,,82-93,,Defensive rebound by A. Horford
7:42.0,Personal foul by A. Crabbe (drawn by J. Tatum),,82-93,,
7:42.0,,,82-93,,J. Brown enters the game for M. Morris
7:42.0,,,82-93,,A. Baynes enters the game for A. Horford
7:36.0,,,82-93,,Shooting foul by A. Crabbe (drawn by J. Brown)
7:36.0,,,82-93,,J. Brown misses free throw 1 of 2
7:36.0,,,82-93,,Offensive rebound by Team
7:36.0,Q. Acy enters the game for T. Zeller,,82-93,,
7:36.0,,,82-93,,J. Brown misses free throw 2 of 2
7:34.0,Defensive rebound by R. Hollis-Jefferson,,82-93,,
7:15.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,84-93,,
7:15.0,Shooting foul by A. Baynes (drawn by R. Hollis-Jefferson),,84-93,,
7:15.0,,,84-93,,K. Irving enters the game for M. Smart
7:15.0,R. Hollis-Jefferson misses free throw 1 of 1,,84-93,,
7:11.0,,,84-93,,Defensive rebound by J. Brown
6:57.0,,,84-93,,Shooting foul by D. Carroll (drawn by A. Baynes)
6:57.0,,,84-94,1,A. Baynes makes free throw 1 of 2
6:57.0,C. LeVert enters the game for D. Carroll,,84-94,,
6:57.0,,,84-95,1,A. Baynes makes free throw 2 of 2
6:49.0,A. Crabbe misses 3-pt shot from 25 ft,,84-95,,
6:45.0,,,84-95,,Defensive rebound by J. Brown
6:34.0,,,84-97,2,T. Rozier makes 2-pt shot from 15 ft
6:16.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,84-97,,
6:13.0,,,84-97,,Defensive rebound by A. Baynes
6:04.0,,,84-97,,T. Rozier misses 2-pt shot from 14 ft
6:02.0,,,84-97,,Offensive rebound by T. Rozier
6:00.0,,,84-97,,J. Tatum misses 3-pt shot from 23 ft
5:59.0,,,84-97,,Offensive rebound by Team
5:59.0,Loose ball foul by Q. Acy (drawn by A. Baynes),,84-97,,
5:59.0,,,84-97,,A. Baynes misses free throw 1 of 2
5:59.0,,,84-97,,Offensive rebound by Team
5:59.0,,,84-98,1,A. Baynes makes free throw 2 of 2
5:50.0,R. Hollis-Jefferson makes 2-pt shot from 5 ft,2,86-98,,
5:35.0,,,86-98,,A. Baynes misses 2-pt shot from 5 ft
5:33.0,Defensive rebound by A. Crabbe,,86-98,,
5:26.0,A. Crabbe makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,89-98,,
4:59.0,,,89-98,,J. Tatum misses 2-pt shot from 14 ft
4:56.0,Defensive rebound by Q. Acy,,89-98,,
4:46.0,Q. Acy makes 2-pt shot from 2 ft (assist by A. Crabbe),2,91-98,,
4:46.0,,,91-98,,Boston full timeout
4:46.0,,,91-98,,A. Horford enters the game for T. Rozier
4:46.0,,,91-98,,M. Smart enters the game for A. Baynes
