time,Cleveland,pts.away,score,pts.home,LA Lakers
10:50.0,,,29-33,,L. Ball misses 2-pt shot from 19 ft
10:48.0,Defensive rebound by J. Holland,,29-33,,
10:32.0,J. Holland misses 3-pt shot from 27 ft,,29-33,,
10:29.0,,,29-33,,Defensive rebound by L. Ball
10:16.0,,,29-33,,L. Ball misses 3-pt shot from 23 ft
10:14.0,Defensive rebound by K. Korver,,29-33,,
10:00.0,Turnover by J. Clarkson (traveling),,29-33,,
9:43.0,,,29-33,,I. Thomas misses 2-pt shot from 21 ft
9:41.0,Defensive rebound by A. Zizic,,29-33,,
9:39.0,Shooting foul by I. Zubac (drawn by J. Holland),,29-33,,
9:39.0,J. Holland misses free throw 1 of 2,,29-33,,
9:39.0,Offensive rebound by Team,,29-33,,
9:39.0,,,29-33,,J. Randle enters the game for I. Zubac
9:39.0,L. Nance enters the game for A. Zizic,,29-33,,
9:39.0,J. Holland makes free throw 2 of 2,1,30-33,,
9:28.0,,,30-36,3,T. Wear makes 3-pt shot from 25 ft (assist by J. Randle)
9:18.0,,,30-36,,Personal foul by T. Wear (drawn by J. Holland)
9:18.0,L. James enters the game for J. Holland,,30-36,,
9:09.0,L. Nance misses 2-pt shot from 7 ft (block by J. Randle),,30-36,,
9:09.0,Offensive rebound by Team,,30-36,,
9:02.0,K. Korver misses 3-pt shot from 28 ft,,30-36,,
8:59.0,,,30-36,,Defensive rebound by T. Wear
8:53.0,,,30-36,,Offensive charge foul by J. Randle (drawn by L. James)
8:53.0,,,30-36,,Turnover by J. Randle (offensive foul)
8:39.0,L. James makes 2-pt shot from 2 ft (assist by J. Calderon),2,32-36,,
8:26.0,,,32-39,3,L. Ball makes 3-pt shot from 24 ft (assist by J. Randle)
8:09.0,K. Korver makes 3-pt shot from 24 ft (assist by L. Nance),3,35-39,,
7:58.0,,,35-41,2,J. Randle makes 2-pt shot from 1 ft (assist by L. Ball)
7:39.0,J. Calderon makes 2-pt shot from 1 ft,2,37-41,,
7:32.0,Personal foul by L. Nance (drawn by J. Randle),,37-41,,
7:32.0,,,37-41,,K. Kuzma enters the game for A. Caruso
7:32.0,,,37-41,,K. Caldwell-Pope enters the game for T. Wear
7:22.0,,,37-41,,L. Ball misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by L. James,,37-41,,
7:06.0,L. Nance misses 2-pt shot from 2 ft,,37-41,,
7:04.0,,,37-41,,Defensive rebound by I. Thomas
7:04.0,G. Hill enters the game for J. Calderon,,37-41,,
6:54.0,,,37-41,,Turnover by I. Thomas (bad pass; steal by L. James)
6:50.0,L. James makes 2-pt shot from 1 ft,2,39-41,,
6:43.0,,,39-44,3,I. Thomas makes 3-pt shot from 22 ft (assist by K. Kuzma)
6:31.0,L. James misses 2-pt shot from 1 ft,,39-44,,
6:30.0,,,39-44,,Defensive rebound by I. Thomas
6:24.0,,,39-47,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Randle)
6:23.0,Cleveland full timeout,,39-47,,
6:10.0,K. Korver makes 3-pt shot from 24 ft (assist by L. James),3,42-47,,
6:05.0,,,42-47,,Turnover by K. Kuzma (turnover)
6:05.0,J. Green enters the game for L. Nance,,42-47,,
6:05.0,J. Smith enters the game for J. Clarkson,,42-47,,
5:55.0,J. Green makes 3-pt shot from 26 ft (assist by J. Smith),3,45-47,,
5:38.0,,,45-50,3,K. Kuzma makes 3-pt shot from 25 ft (assist by L. Ball)
5:27.0,L. James makes 2-pt shot from 2 ft (assist by G. Hill),2,47-50,,
5:14.0,,,47-53,3,I. Thomas makes 3-pt shot from 28 ft (assist by L. Ball)
4:54.0,L. James misses 3-pt shot from 27 ft,,47-53,,
4:50.0,,,47-53,,Defensive rebound by L. Ball
4:38.0,,,47-55,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by K. Kuzma)
4:23.0,,,47-55,,Personal foul by K. Caldwell-Pope (drawn by J. Green)
4:23.0,,,47-55,,B. Lopez enters the game for I. Thomas
4:23.0,L. Nance enters the game for K. Korver,,47-55,,
4:17.0,L. Nance makes 2-pt shot from 2 ft (assist by L. James),2,49-55,,
4:02.0,,,49-55,,J. Randle misses 2-pt shot from 1 ft (block by L. James)
4:02.0,,,49-55,,Offensive rebound by J. Randle
4:00.0,,,49-55,,Shooting foul by J. Green (drawn by J. Randle)
4:00.0,,,49-56,1,J. Randle makes free throw 1 of 2
4:00.0,,,49-57,1,J. Randle makes free throw 2 of 2
3:38.0,L. Nance makes 2-pt shot from 17 ft (assist by L. James),2,51-57,,
3:22.0,,,51-57,,L. Ball misses 3-pt shot from 26 ft
3:19.0,Defensive rebound by J. Smith,,51-57,,
3:14.0,J. Green makes 2-pt shot from 1 ft,2,53-57,,
3:08.0,,,53-57,,Offensive foul by J. Randle (drawn by J. Green)
3:08.0,,,53-57,,Turnover by J. Randle (offensive foul)
2:54.0,Shooting foul by B. Lopez (drawn by L. Nance),,53-57,,
2:54.0,,,53-57,,LA Lakers full timeout
2:54.0,,,53-57,,I. Thomas enters the game for L. Ball
2:54.0,L. Nance makes free throw 1 of 2,1,54-57,,
2:54.0,L. Nance makes free throw 2 of 2,1,55-57,,
2:41.0,,,55-57,,B. Lopez misses 2-pt shot from 5 ft
2:36.0,,,55-57,,Offensive rebound by B. Lopez
2:36.0,,,55-59,2,B. Lopez makes 2-pt shot at rim
2:18.0,L. James misses 3-pt shot from 25 ft,,55-59,,
2:16.0,,,55-59,,Defensive rebound by K. Kuzma
2:10.0,,,55-59,,B. Lopez misses 2-pt shot from 3 ft
2:03.0,,,55-59,,Offensive rebound by B. Lopez
2:03.0,,,55-61,2,B. Lopez makes 2-pt shot at rim
1:54.0,J. Smith makes 3-pt shot from 26 ft,3,58-61,,
1:37.0,,,58-61,,Shooting foul by G. Hill (drawn by J. Randle)
1:37.0,,,58-62,1,J. Randle makes free throw 1 of 2
1:37.0,A. Zizic enters the game for L. Nance,,58-62,,
1:37.0,K. Korver enters the game for J. Green,,58-62,,
1:37.0,,,58-63,1,J. Randle makes free throw 2 of 2
1:22.0,J. Smith misses 2-pt shot from 17 ft,,58-63,,
1:18.0,Offensive rebound by L. James,,58-63,,
1:16.0,A. Zizic makes 2-pt shot from 1 ft (assist by L. James),2,60-63,,
1:00.0,,,60-63,,B. Lopez misses 2-pt shot from 17 ft
0:58.0,Defensive rebound by L. James,,60-63,,
0:53.0,G. Hill misses 3-pt shot from 21 ft,,60-63,,
0:49.0,,,60-63,,Defensive rebound by K. Kuzma
0:41.0,,,60-63,,K. Kuzma misses 2-pt shot from 1 ft
0:39.0,,,60-63,,Offensive rebound by J. Randle
0:38.0,,,60-63,,Turnover by J. Randle (traveling)
0:38.0,J. Clarkson enters the game for G. Hill,,60-63,,
0:25.0,J. Smith misses 2-pt shot from 14 ft,,60-63,,
0:25.0,,,60-63,,Defensive rebound by Team
0:25.0,Loose ball foul by A. Zizic (drawn by K. Kuzma),,60-63,,
0:25.0,,,60-64,1,K. Kuzma makes free throw 1 of 2
0:25.0,,,60-64,,A. Caruso enters the game for I. Thomas
0:25.0,J. Calderon enters the game for A. Zizic,,60-64,,
0:25.0,,,60-64,,D. Williams enters the game for B. Lopez
0:25.0,,,60-65,1,K. Kuzma makes free throw 2 of 2
0:00.0,L. James misses 2-pt shot from 4 ft,,60-65,,
0:00.0,,,60-65,,Defensive rebound by J. Randle
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,60-65,,K. Caldwell-Pope misses 3-pt shot from 23 ft
11:39.0,,,60-65,,Offensive rebound by Team
11:28.0,,,60-65,,K. Caldwell-Pope misses 2-pt shot from 20 ft
11:25.0,Defensive rebound by L. Nance,,60-65,,
11:13.0,L. James misses 3-pt shot from 26 ft,,60-65,,
11:10.0,,,60-65,,Defensive rebound by K. Kuzma
10:58.0,,,60-68,3,B. Lopez makes 3-pt shot from 26 ft (assist by L. Ball)
10:31.0,L. James makes 3-pt shot from 25 ft (assist by J. Smith),3,63-68,,
10:16.0,,,63-70,2,L. Ball makes 2-pt shot from 1 ft (assist by J. Randle)
9:48.0,J. Green misses 2-pt shot from 21 ft,,63-70,,
9:45.0,,,63-70,,Defensive rebound by J. Randle
9:36.0,,,63-70,,K. Kuzma misses 2-pt shot from 1 ft
9:34.0,Defensive rebound by L. Nance,,63-70,,
9:21.0,Turnover by L. James (bad pass; steal by K. Caldwell-Pope),,63-70,,
9:14.0,,,63-72,2,J. Randle makes 2-pt shot at rim
9:14.0,Cleveland full timeout,,63-72,,
8:54.0,G. Hill makes 3-pt shot from 22 ft,3,66-72,,
8:38.0,,,66-72,,L. Ball misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by J. Green,,66-72,,
8:33.0,Shooting foul by K. Kuzma (drawn by J. Green),,66-72,,
8:33.0,J. Green makes free throw 1 of 2,1,67-72,,
8:33.0,J. Green makes free throw 2 of 2,1,68-72,,
8:09.0,,,68-72,,B. Lopez misses 2-pt shot from 16 ft
8:06.0,Defensive rebound by L. James,,68-72,,
7:57.0,G. Hill makes 2-pt shot from 1 ft,2,70-72,,
7:36.0,,,70-72,,K. Caldwell-Pope misses 2-pt shot from 19 ft
7:35.0,Defensive rebound by L. Nance,,70-72,,
7:31.0,J. Green misses 2-pt shot at rim (block by J. Randle),,70-72,,
7:27.0,,,70-72,,Defensive rebound by J. Randle
7:21.0,,,70-72,,B. Lopez misses 2-pt shot from 6 ft
7:21.0,Defensive rebound by Team,,70-72,,
7:11.0,L. Nance makes 2-pt shot from 3 ft (assist by L. James),2,72-72,,
7:10.0,,,72-72,,LA Lakers full timeout
7:01.0,Personal foul by L. Nance (drawn by B. Lopez),,72-72,,
6:55.0,,,72-72,,Turnover by B. Lopez (traveling)
6:42.0,J. Green misses 3-pt shot from 24 ft,,72-72,,
6:39.0,,,72-72,,Defensive rebound by J. Randle
6:37.0,,,72-72,,Shooting foul by J. Green (drawn by J. Randle)
6:37.0,,,72-73,1,J. Randle makes free throw 1 of 2
6:37.0,,,72-74,1,J. Randle makes free throw 2 of 2
6:30.0,Offensive foul by L. Nance (drawn by K. Caldwell-Pope),,72-74,,
6:30.0,Turnover by L. Nance (offensive foul),,72-74,,
6:14.0,,,72-74,,Turnover by J. Randle (bad pass; steal by J. Smith)
6:11.0,Turnover by J. Smith (bad pass; steal by B. Lopez),,72-74,,
6:06.0,,,72-74,,K. Caldwell-Pope misses 3-pt shot from 27 ft
6:02.0,,,72-74,,Offensive rebound by J. Randle
6:02.0,,,72-74,,J. Randle misses 2-pt shot at rim
6:02.0,Defensive rebound by L. Nance,,72-74,,
5:58.0,J. Smith misses 2-pt shot from 2 ft,,72-74,,
5:55.0,Offensive rebound by L. Nance,,72-74,,
5:53.0,Turnover by L. Nance (bad pass; steal by J. Randle),,72-74,,
5:45.0,,,72-76,2,J. Randle makes 2-pt shot from 2 ft
5:21.0,L. Nance makes 2-pt shot from 5 ft (assist by G. Hill),2,74-76,,
5:08.0,,,74-76,,L. Ball misses 2-pt shot from 13 ft
5:03.0,Defensive rebound by L. James,,74-76,,
4:57.0,L. James makes 2-pt shot from 1 ft,2,76-76,,
4:37.0,,,76-79,3,K. Kuzma makes 3-pt shot from 26 ft
4:11.0,L. James misses 2-pt shot from 16 ft,,76-79,,
4:07.0,,,76-79,,Defensive rebound by J. Randle
4:00.0,,,76-79,,Shooting foul by G. Hill (drawn by K. Caldwell-Pope)
4:00.0,,,76-80,1,K. Caldwell-Pope makes free throw 1 of 2
4:00.0,,,76-80,,I. Thomas enters the game for L. Ball
4:00.0,A. Zizic enters the game for J. Smith,,76-80,,
4:00.0,K. Korver enters the game for L. Nance,,76-80,,
4:00.0,J. Clarkson enters the game for J. Green,,76-80,,
4:00.0,,,76-81,1,K. Caldwell-Pope makes free throw 2 of 2
3:39.0,Shooting foul by K. Kuzma (drawn by L. James),,76-81,,
3:39.0,L. James makes free throw 1 of 2,1,77-81,,
3:39.0,L. James misses free throw 2 of 2,,77-81,,
3:37.0,,,77-81,,Defensive rebound by J. Randle
3:29.0,,,77-84,3,B. Lopez makes 3-pt shot from 28 ft (assist by I. Thomas)
3:20.0,G. Hill misses 3-pt shot from 26 ft,,77-84,,
3:17.0,,,77-84,,Defensive rebound by K. Kuzma
3:04.0,,,77-84,,Shooting foul by K. Korver (drawn by K. Kuzma)
3:04.0,,,77-85,1,K. Kuzma makes free throw 1 of 2
3:04.0,J. Calderon enters the game for G. Hill,,77-85,,
3:04.0,,,77-86,1,K. Kuzma makes free throw 2 of 2
2:50.0,L. James misses 3-pt shot from 25 ft,,77-86,,
2:47.0,,,77-86,,Defensive rebound by B. Lopez
2:38.0,,,77-86,,K. Kuzma misses 2-pt shot from 8 ft (block by A. Zizic)
2:35.0,Defensive rebound by A. Zizic,,77-86,,
2:34.0,Turnover by A. Zizic (bad pass; steal by K. Caldwell-Pope),,77-86,,
2:34.0,,,77-86,,K. Kuzma misses 2-pt shot at rim
2:34.0,,,77-86,,Offensive rebound by J. Randle
2:32.0,,,77-88,2,J. Randle makes 2-pt shot from 1 ft
2:32.0,Cleveland full timeout,,77-88,,
2:21.0,A. Zizic makes 2-pt shot from 3 ft (assist by L. James),2,79-88,,
2:05.0,,,79-88,,I. Thomas misses 2-pt shot from 16 ft
2:05.0,,,79-88,,Offensive rebound by I. Thomas
1:50.0,,,79-90,2,I. Thomas makes 2-pt shot from 3 ft
1:37.0,J. Clarkson misses 2-pt shot from 3 ft (block by B. Lopez),,79-90,,
1:37.0,,,79-90,,Defensive rebound by B. Lopez
1:37.0,Personal foul by J. Calderon (drawn by I. Thomas),,79-90,,
1:37.0,,,79-91,1,I. Thomas makes free throw 1 of 2
1:37.0,,,79-91,,A. Caruso enters the game for K. Caldwell-Pope
1:37.0,J. Holland enters the game for L. James,,79-91,,
1:37.0,,,79-92,1,I. Thomas makes free throw 2 of 2
1:21.0,J. Clarkson misses 3-pt shot from 27 ft,,79-92,,
1:20.0,,,79-92,,Defensive rebound by K. Kuzma
1:12.0,,,79-94,2,J. Randle makes 2-pt shot from 1 ft (assist by I. Thomas)
0:55.0,K. Korver misses 2-pt shot from 17 ft,,79-94,,
0:52.0,,,79-94,,Defensive rebound by A. Caruso
0:49.0,,,79-94,,I. Thomas misses 3-pt shot from 27 ft
0:49.0,,,79-94,,Offensive rebound by I. Thomas
0:44.0,,,79-96,2,I. Thomas makes 2-pt shot from 13 ft
0:34.0,J. Clarkson misses 3-pt shot from 27 ft,,79-96,,
0:34.0,,,79-96,,Defensive rebound by B. Lopez
0:12.0,,,79-98,2,A. Caruso makes 2-pt shot from 1 ft (assist by B. Lopez)
0:03.0,J. Holland makes 3-pt shot from 27 ft (assist by J. Clarkson),3,82-98,,
0:01.0,,,82-98,,Turnover by I. Thomas (out of bounds lost ball)
0:00.0,J. Clarkson misses 3-pt shot from 28 ft,,82-98,,
0:00.0,Offensive rebound by Team,,82-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by K. Korver (bad pass; steal by I. Zubac),,82-98,,
11:44.0,,,82-98,,L. Ball misses 2-pt shot at rim
11:40.0,Defensive rebound by K. Korver,,82-98,,
11:35.0,J. Calderon makes 3-pt shot from 25 ft (assist by J. Clarkson),3,85-98,,
11:17.0,,,85-98,,Shooting foul by J. Calderon (drawn by I. Thomas)
11:17.0,,,85-99,1,I. Thomas makes free throw 1 of 2
11:17.0,,,85-100,1,I. Thomas makes free throw 2 of 2
11:08.0,Shooting foul by I. Zubac (drawn by J. Calderon),,85-100,,
11:08.0,J. Calderon makes free throw 1 of 2,1,86-100,,
11:08.0,J. Calderon makes free throw 2 of 2,1,87-100,,
10:52.0,,,87-100,,L. Ball misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by A. Zizic,,87-100,,
10:25.0,J. Clarkson misses 2-pt shot from 8 ft,,87-100,,
10:21.0,,,87-100,,Defensive rebound by I. Zubac
10:19.0,,,87-102,2,I. Thomas makes 2-pt shot from 12 ft
10:04.0,Turnover by J. Clarkson (bad pass; steal by I. Zubac),,87-102,,
10:04.0,Personal foul by J. Calderon (drawn by I. Thomas),,87-102,,
9:47.0,,,87-104,2,I. Thomas makes 2-pt shot from 3 ft
9:32.0,J. Calderon misses 3-pt shot from 26 ft,,87-104,,
9:31.0,,,87-104,,Defensive rebound by A. Caruso
9:26.0,,,87-106,2,I. Thomas makes 2-pt shot from 21 ft
9:25.0,Cleveland full timeout,,87-106,,
9:25.0,G. Hill enters the game for J. Clarkson,,87-106,,
9:25.0,L. James enters the game for A. Zizic,,87-106,,
9:25.0,L. Nance enters the game for J. Calderon,,87-106,,
9:13.0,K. Korver makes 3-pt shot from 24 ft (assist by G. Hill),3,90-106,,
8:51.0,,,90-106,,A. Caruso misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by J. Holland,,90-106,,
8:43.0,L. James misses 2-pt shot from 2 ft,,90-106,,
8:40.0,Offensive rebound by L. James,,90-106,,
8:40.0,L. James makes 2-pt shot from 2 ft,2,92-106,,
8:40.0,,,92-106,,LA Lakers full timeout
8:40.0,,,92-106,,K. Caldwell-Pope enters the game for A. Caruso
8:40.0,,,92-106,,B. Lopez enters the game for T. Wear
8:40.0,,,92-106,,J. Randle enters the game for I. Zubac
8:26.0,,,92-108,2,J. Randle makes 2-pt shot from 1 ft (assist by I. Thomas)
8:26.0,,,92-108,,Shooting foul by L. Nance (drawn by J. Randle)
8:26.0,,,92-108,,J. Randle misses free throw 1 of 1
8:23.0,Defensive rebound by L. James,,92-108,,
8:10.0,L. Nance makes 2-pt shot from 3 ft (assist by L. James),2,94-108,,
7:48.0,,,94-110,2,B. Lopez makes 2-pt shot from 7 ft
7:24.0,G. Hill misses 2-pt shot from 20 ft,,94-110,,
7:22.0,,,94-110,,Defensive rebound by B. Lopez
7:16.0,Personal foul by L. Nance (drawn by I. Thomas),,94-110,,
7:16.0,,,94-110,,K. Kuzma enters the game for L. Ball
7:05.0,,,94-112,2,J. Randle makes 2-pt shot from 2 ft (assist by I. Thomas)
7:05.0,,,94-112,,Shooting foul by K. Korver (drawn by J. Randle)
7:05.0,,,94-113,1,J. Randle makes free throw 1 of 1
6:58.0,L. James misses 3-pt shot from 26 ft,,94-113,,
6:54.0,,,94-113,,Defensive rebound by J. Randle
6:41.0,,,94-113,,Turnover by I. Thomas (bad pass)
6:41.0,,,94-113,,Loose ball foul by J. Randle (drawn by J. Holland)
6:32.0,Turnover by L. James (bad pass; steal by I. Thomas),,94-113,,
6:25.0,,,94-115,2,J. Randle makes 2-pt shot from 1 ft (assist by I. Thomas)
6:24.0,Cleveland full timeout,,94-115,,
6:24.0,J. Calderon enters the game for G. Hill,,94-115,,
6:24.0,L. Perrantes enters the game for L. Nance,,94-115,,
6:24.0,A. Zizic enters the game for L. James,,94-115,,
6:01.0,A. Zizic misses 2-pt shot from 12 ft,,94-115,,
5:57.0,,,94-115,,Defensive rebound by K. Caldwell-Pope
5:39.0,,,94-115,,B. Lopez misses 3-pt shot from 26 ft
5:37.0,Defensive rebound by K. Korver,,94-115,,
5:27.0,Shooting foul by I. Thomas (drawn by A. Zizic),,94-115,,
5:27.0,A. Zizic misses free throw 1 of 2,,94-115,,
5:27.0,Offensive rebound by Team,,94-115,,
5:27.0,A. Zizic makes free throw 2 of 2,1,95-115,,
5:14.0,,,95-115,,K. Kuzma misses 2-pt shot from 5 ft (block by K. Korver)
5:05.0,,,95-115,,Offensive rebound by J. Randle
5:05.0,,,95-117,2,J. Randle makes 2-pt shot at rim
4:54.0,J. Calderon makes 2-pt shot from 2 ft,2,97-117,,
