time,Brooklyn,pts.away,score,pts.home,Denver
6:48.0,,,31-38,,W. Barton misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by Q. Acy,,31-38,,
6:36.0,Q. Acy misses 3-pt shot from 25 ft,,31-38,,
6:33.0,,,31-38,,Defensive rebound by W. Barton
6:27.0,,,31-38,,Shooting foul by A. Crabbe (drawn by W. Barton)
6:27.0,,,31-39,1,W. Barton makes free throw 1 of 2
6:27.0,,,31-39,,J. Murray enters the game for E. Mudiay
6:27.0,,,31-39,,P. Millsap enters the game for N. Jokic
6:27.0,D. Carroll enters the game for C. LeVert,,31-39,,
6:27.0,,,31-39,,W. Barton misses free throw 2 of 2
6:25.0,Defensive rebound by D. Russell,,31-39,,
6:13.0,Shooting foul by K. Faried (drawn by Q. Acy),,31-39,,
6:13.0,Q. Acy misses free throw 1 of 2,,31-39,,
6:13.0,Offensive rebound by Team,,31-39,,
6:13.0,,,31-39,,G. Harris enters the game for M. Beasley
6:13.0,Q. Acy makes free throw 2 of 2,1,32-39,,
6:01.0,Personal foul by J. Wiley (drawn by K. Faried),,32-39,,
6:01.0,,,32-39,,W. Chandler enters the game for K. Faried
5:48.0,,,32-39,,J. Murray misses 2-pt shot from 21 ft
5:43.0,Defensive rebound by J. Wiley,,32-39,,
5:34.0,D. Russell misses 3-pt shot from 26 ft,,32-39,,
5:31.0,,,32-39,,Defensive rebound by W. Chandler
5:24.0,,,32-39,,Turnover by W. Barton (bad pass; steal by J. Wiley)
5:20.0,D. Carroll makes 3-pt shot from 24 ft (assist by A. Crabbe),3,35-39,,
5:02.0,,,35-39,,W. Barton misses 2-pt shot from 2 ft
4:59.0,Defensive rebound by D. Carroll,,35-39,,
4:55.0,D. Russell makes 2-pt shot from 2 ft (assist by D. Carroll),2,37-39,,
4:53.0,,,37-39,,Turnover by J. Murray (turnover)
4:53.0,,,37-39,,N. Jokic enters the game for W. Barton
4:41.0,Turnover by D. Russell (bad pass; steal by G. Harris),,37-39,,
4:38.0,Violation by A. Crabbe (kicked ball),,37-39,,
4:28.0,,,37-39,,N. Jokic misses 2-pt shot from 13 ft
4:23.0,Defensive rebound by A. Crabbe,,37-39,,
4:16.0,J. Wiley misses 2-pt shot from 17 ft,,37-39,,
4:13.0,Offensive rebound by D. Russell,,37-39,,
4:11.0,A. Crabbe misses 3-pt shot from 25 ft,,37-39,,
4:08.0,,,37-39,,Defensive rebound by P. Millsap
4:02.0,,,37-41,2,P. Millsap makes 2-pt shot from 4 ft
3:43.0,D. Russell misses 3-pt shot from 25 ft,,37-41,,
3:40.0,,,37-41,,Defensive rebound by N. Jokic
3:30.0,,,37-43,2,P. Millsap makes 2-pt shot from 2 ft
3:08.0,A. Crabbe misses 3-pt shot from 25 ft,,37-43,,
3:05.0,,,37-43,,Defensive rebound by G. Harris
2:56.0,,,37-45,2,N. Jokic makes 2-pt shot from 5 ft (assist by P. Millsap)
2:56.0,Brooklyn full timeout,,37-45,,
2:56.0,T. Zeller enters the game for J. Wiley,,37-45,,
2:39.0,Offensive foul by D. Carroll (drawn by W. Chandler),,37-45,,
2:39.0,Turnover by D. Carroll (offensive foul),,37-45,,
2:30.0,,,37-47,2,N. Jokic makes 2-pt shot from 14 ft (assist by G. Harris)
2:30.0,,,37-47,,Shooting foul by T. Zeller (drawn by N. Jokic)
2:30.0,C. LeVert enters the game for Q. Acy,,37-47,,
2:30.0,,,37-48,1,N. Jokic makes free throw 1 of 1
2:19.0,Turnover by D. Russell (bad pass; steal by P. Millsap),,37-48,,
2:11.0,,,37-50,2,P. Millsap makes 2-pt shot from 3 ft
2:00.0,T. Zeller makes 2-pt shot from 3 ft (assist by D. Russell),2,39-50,,
1:44.0,,,39-50,,Turnover by J. Murray (bad pass; steal by A. Crabbe)
1:40.0,D. Russell misses 2-pt shot from 4 ft (block by P. Millsap),,39-50,,
1:40.0,Offensive rebound by Team,,39-50,,
1:27.0,D. Russell makes 2-pt shot from 3 ft,2,41-50,,
1:18.0,,,41-52,2,N. Jokic makes 2-pt shot from 11 ft (assist by G. Harris)
1:07.0,D. Russell misses 2-pt shot from 8 ft,,41-52,,
1:06.0,Offensive rebound by Team,,41-52,,
1:06.0,,,41-52,,W. Barton enters the game for J. Murray
1:04.0,A. Crabbe misses 3-pt shot from 22 ft (block by P. Millsap),,41-52,,
1:01.0,,,41-52,,Defensive rebound by W. Chandler
0:58.0,,,41-52,,G. Harris misses 2-pt shot from 2 ft (block by C. LeVert)
0:58.0,,,41-52,,Offensive rebound by Team
0:53.0,,,41-54,2,G. Harris makes 2-pt shot from 1 ft
0:49.0,C. LeVert makes 3-pt shot from 24 ft (assist by D. Russell),3,44-54,,
0:39.0,Personal foul by D. Russell (drawn by W. Barton),,44-54,,
0:32.0,,,44-57,3,N. Jokic makes 3-pt shot from 26 ft (assist by W. Barton)
0:13.0,D. Russell makes 2-pt shot from 4 ft,2,46-57,,
0:07.0,,,46-57,,Turnover by G. Harris (bad pass; steal by A. Crabbe)
0:02.0,D. Russell misses 2-pt shot from 2 ft (block by W. Barton),,46-57,,
0:02.0,,,46-57,,Defensive rebound by P. Millsap
0:00.0,,,46-57,,P. Millsap misses 3-pt shot from 51 ft
0:00.0,,,46-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,46-57,,Turnover by W. Chandler (bad pass; steal by J. Harris)
11:39.0,Turnover by D. Russell (bad pass; steal by G. Harris),,46-57,,
11:27.0,,,46-59,2,W. Chandler makes 2-pt shot from 2 ft (assist by J. Murray)
11:18.0,J. Harris misses 3-pt shot from 23 ft,,46-59,,
11:17.0,Turnover by D. Carroll (lost ball; steal by P. Millsap),,46-59,,
11:12.0,Offensive rebound by D. Carroll,,46-59,,
11:07.0,,,46-59,,Shooting foul by D. Carroll (drawn by P. Millsap)
11:07.0,,,46-59,,P. Millsap misses free throw 1 of 2
11:07.0,,,46-59,,Offensive rebound by Team
11:07.0,S. Dinwiddie enters the game for D. Russell,,46-59,,
11:07.0,,,46-59,,P. Millsap misses free throw 2 of 2
11:07.0,Defensive rebound by T. Mozgov,,46-59,,
10:55.0,D. Carroll misses 2-pt shot from 6 ft (block by W. Chandler),,46-59,,
10:55.0,Offensive rebound by D. Carroll,,46-59,,
10:53.0,Shooting foul by W. Chandler (drawn by D. Carroll),,46-59,,
10:53.0,D. Carroll makes free throw 1 of 2,1,47-59,,
10:53.0,D. Carroll makes free throw 2 of 2,1,48-59,,
10:40.0,,,48-61,2,N. Jokic makes 2-pt shot from 4 ft (assist by G. Harris)
10:40.0,,,48-61,,Shooting foul by T. Mozgov (drawn by N. Jokic)
10:40.0,D. Russell enters the game for S. Dinwiddie,,48-61,,
10:40.0,,,48-62,1,N. Jokic makes free throw 1 of 1
10:30.0,A. Crabbe misses 3-pt shot from 25 ft,,48-62,,
10:27.0,,,48-62,,Defensive rebound by N. Jokic
10:25.0,,,48-62,,Offensive charge foul by N. Jokic (drawn by J. Harris)
10:25.0,,,48-62,,Turnover by N. Jokic (offensive foul)
10:12.0,D. Russell makes 2-pt shot from 17 ft,2,50-62,,
9:58.0,,,50-64,2,P. Millsap makes 2-pt shot from 14 ft (assist by N. Jokic)
9:40.0,D. Carroll misses 3-pt shot from 25 ft,,50-64,,
9:36.0,,,50-64,,Defensive rebound by W. Chandler
9:33.0,,,50-64,,Shooting foul by T. Mozgov (drawn by W. Chandler)
9:33.0,Brooklyn full timeout,,50-64,,
9:33.0,T. Zeller enters the game for T. Mozgov,,50-64,,
9:33.0,,,50-65,1,W. Chandler makes free throw 1 of 2
9:33.0,,,50-66,1,W. Chandler makes free throw 2 of 2
9:23.0,Turnover by A. Crabbe (traveling),,50-66,,
9:06.0,,,50-66,,W. Chandler misses 2-pt shot from 3 ft
9:01.0,,,50-66,,Offensive rebound by N. Jokic
9:01.0,,,50-68,2,N. Jokic makes 2-pt shot at rim
8:54.0,J. Harris makes 3-pt shot from 24 ft (assist by D. Russell),3,53-68,,
8:41.0,,,53-68,,G. Harris misses 2-pt shot from 2 ft
8:41.0,,,53-68,,Offensive rebound by J. Murray
8:33.0,,,53-70,2,J. Murray makes 2-pt shot from 2 ft
8:29.0,A. Crabbe misses 2-pt shot from 8 ft,,53-70,,
8:28.0,Offensive rebound by Team,,53-70,,
8:28.0,Q. Acy enters the game for D. Carroll,,53-70,,
8:28.0,S. Kilpatrick enters the game for J. Harris,,53-70,,
8:28.0,J. Harris enters the game for A. Crabbe,,53-70,,
8:23.0,S. Kilpatrick misses 2-pt shot from 12 ft,,53-70,,
8:19.0,,,53-70,,Defensive rebound by W. Chandler
8:15.0,,,53-70,,Turnover by P. Millsap (lost ball; steal by S. Kilpatrick)
8:11.0,Turnover by S. Kilpatrick (lost ball; steal by G. Harris),,53-70,,
8:02.0,,,53-70,,J. Murray misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by S. Kilpatrick,,53-70,,
7:55.0,D. Russell misses 3-pt shot from 25 ft,,53-70,,
7:51.0,,,53-70,,Defensive rebound by N. Jokic
7:40.0,,,53-70,,Turnover by J. Murray (bad pass; steal by T. Zeller)
7:34.0,T. Zeller makes 2-pt shot from 4 ft (assist by D. Russell),2,55-70,,
7:34.0,Shooting foul by G. Harris (drawn by T. Zeller),,55-70,,
7:34.0,,,55-70,,Denver full timeout
7:34.0,C. LeVert enters the game for J. Harris,,55-70,,
7:34.0,T. Zeller makes free throw 1 of 1,1,56-70,,
7:23.0,,,56-72,2,N. Jokic makes 2-pt shot from 16 ft (assist by J. Murray)
6:58.0,Q. Acy makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,59-72,,
6:45.0,,,59-74,2,N. Jokic makes 2-pt shot from 3 ft (assist by P. Millsap)
6:31.0,D. Russell makes 2-pt shot from 2 ft,2,61-74,,
6:16.0,,,61-76,2,N. Jokic makes 2-pt shot from 20 ft
5:55.0,Turnover by D. Russell (lost ball; steal by N. Jokic),,61-76,,
5:52.0,,,61-78,2,G. Harris makes 2-pt shot from 3 ft
5:43.0,Turnover by D. Russell (traveling),,61-78,,
5:43.0,,,61-78,,W. Barton enters the game for J. Murray
5:43.0,S. Dinwiddie enters the game for D. Russell,,61-78,,
5:25.0,,,61-80,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
5:15.0,C. LeVert misses 2-pt shot from 15 ft,,61-80,,
5:08.0,,,61-80,,Defensive rebound by N. Jokic
5:05.0,,,61-83,3,P. Millsap makes 3-pt shot from 25 ft (assist by N. Jokic)
5:04.0,Brooklyn full timeout,,61-83,,
5:04.0,,,61-83,,M. Plumlee enters the game for N. Jokic
5:04.0,T. Mozgov enters the game for T. Zeller,,61-83,,
4:47.0,S. Kilpatrick misses 3-pt shot from 24 ft,,61-83,,
4:44.0,,,61-83,,Defensive rebound by W. Chandler
4:26.0,,,61-83,,P. Millsap misses 3-pt shot from 25 ft
4:23.0,,,61-83,,Offensive rebound by W. Chandler
4:17.0,,,61-86,3,W. Chandler makes 3-pt shot from 24 ft (assist by P. Millsap)
3:56.0,T. Mozgov makes 2-pt shot from 4 ft (assist by C. LeVert),2,63-86,,
3:32.0,,,63-86,,G. Harris misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by C. LeVert,,63-86,,
3:23.0,T. Mozgov makes 3-pt shot from 23 ft (assist by Q. Acy),3,66-86,,
3:03.0,,,66-86,,W. Chandler misses 2-pt shot from 7 ft
3:03.0,,,66-86,,Loose ball foul by M. Plumlee (drawn by Q. Acy)
3:03.0,Defensive rebound by Team,,66-86,,
3:03.0,,,66-86,,E. Mudiay enters the game for G. Harris
3:03.0,I. Whitehead enters the game for S. Dinwiddie,,66-86,,
2:47.0,Q. Acy misses 3-pt shot from 24 ft,,66-86,,
2:44.0,,,66-86,,Defensive rebound by M. Plumlee
2:39.0,,,66-86,,Turnover by M. Plumlee (bad pass; steal by I. Whitehead)
2:33.0,I. Whitehead misses 2-pt shot from 4 ft (block by M. Plumlee),,66-86,,
2:33.0,Offensive rebound by Team,,66-86,,
2:33.0,,,66-86,,N. Jokic enters the game for P. Millsap
2:28.0,S. Kilpatrick misses 2-pt shot from 15 ft,,66-86,,
2:25.0,,,66-86,,Defensive rebound by N. Jokic
2:19.0,,,66-88,2,M. Plumlee makes 2-pt shot from 16 ft (assist by E. Mudiay)
2:06.0,Q. Acy misses 3-pt shot from 25 ft,,66-88,,
2:02.0,,,66-88,,Defensive rebound by N. Jokic
1:54.0,,,66-90,2,M. Plumlee makes 2-pt shot from 2 ft (assist by W. Barton)
1:32.0,S. Kilpatrick misses 3-pt shot from 24 ft,,66-90,,
1:30.0,,,66-90,,Defensive rebound by N. Jokic
1:25.0,,,66-90,,Turnover by W. Barton (lost ball; steal by I. Whitehead)
1:23.0,,,66-90,,Personal foul by M. Plumlee (drawn by S. Kilpatrick)
1:23.0,,,66-90,,M. Beasley enters the game for W. Chandler
1:07.0,Turnover by Q. Acy (turnover),,66-90,,
1:02.0,,,66-90,,W. Barton misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by T. Mozgov,,66-90,,
0:56.0,S. Kilpatrick makes 2-pt shot from 3 ft (assist by I. Whitehead),2,68-90,,
0:56.0,Shooting foul by W. Barton (drawn by S. Kilpatrick),,68-90,,
0:56.0,,,68-90,,Violation by M. Plumlee (def goaltending)
0:56.0,S. Kilpatrick makes free throw 1 of 1,1,69-90,,
0:47.0,,,69-93,3,N. Jokic makes 3-pt shot from 24 ft (assist by E. Mudiay)
0:39.0,,,69-93,,Personal foul by N. Jokic (drawn by T. Mozgov)
0:39.0,T. Mozgov makes free throw 1 of 2,1,70-93,,
0:39.0,T. Mozgov makes free throw 2 of 2,1,71-93,,
0:33.0,,,71-93,,E. Mudiay misses 2-pt shot from 4 ft (block by I. Whitehead)
0:33.0,Defensive rebound by Team,,71-93,,
0:29.0,Jump ball: E. Mudiay vs. I. Whitehead (T. Mozgov gains possession),,,,Jump ball: E. Mudiay vs. I. Whitehead (T. Mozgov gains possession)
0:29.0,,,71-93,,Turnover by E. Mudiay (turnover; steal by I. Whitehead)
0:13.0,C. LeVert misses 2-pt shot from 3 ft,,71-93,,
0:13.0,Offensive rebound by T. Mozgov,,71-93,,
0:13.0,Shooting foul by N. Jokic (drawn by T. Mozgov),,71-93,,
0:13.0,T. Mozgov makes free throw 1 of 2,1,72-93,,
0:13.0,T. Mozgov makes free throw 2 of 2,1,73-93,,
0:03.0,,,73-93,,N. Jokic misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by S. Kilpatrick,,73-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,T. Mozgov misses 3-pt shot from 22 ft,,73-93,,
11:41.0,,,73-93,,Defensive rebound by M. Beasley
11:36.0,,,73-93,,Shooting foul by J. Wiley (drawn by N. Jokic)
11:36.0,,,73-94,1,N. Jokic makes free throw 1 of 2
11:36.0,,,73-95,1,N. Jokic makes free throw 2 of 2
11:21.0,,,73-95,,Personal foul by N. Jokic (drawn by I. Whitehead)
11:21.0,,,73-95,,M. Plumlee enters the game for N. Jokic
11:13.0,S. Kilpatrick misses 2-pt shot from 12 ft,,73-95,,
11:11.0,,,73-95,,Defensive rebound by W. Chandler
11:08.0,,,73-95,,Turnover by W. Chandler (bad pass)
10:57.0,T. Mozgov makes 2-pt shot from 3 ft (assist by I. Whitehead),2,75-95,,
10:42.0,,,75-95,,Offensive charge foul by M. Plumlee (drawn by T. Mozgov)
10:42.0,,,75-95,,Turnover by M. Plumlee (offensive foul)
10:30.0,J. Wiley makes 3-pt shot from 22 ft (assist by S. Kilpatrick),3,78-95,,
10:14.0,,,78-97,2,E. Mudiay makes 2-pt shot from 12 ft
10:05.0,I. Whitehead misses 2-pt shot from 8 ft,,78-97,,
10:03.0,,,78-97,,Defensive rebound by W. Barton
9:59.0,,,78-97,,W. Barton misses 2-pt shot from 2 ft
9:57.0,Defensive rebound by J. Wiley,,78-97,,
9:54.0,Turnover by S. Kilpatrick (turnover),,78-97,,
9:43.0,,,78-99,2,W. Barton makes 2-pt shot from 1 ft (assist by M. Plumlee)
9:33.0,,,78-99,,Personal foul by E. Mudiay (drawn by I. Whitehead)
9:26.0,S. Kilpatrick misses 2-pt shot from 5 ft (block by W. Barton),,78-99,,
9:23.0,,,78-99,,Defensive rebound by W. Barton
9:21.0,,,78-99,,M. Beasley misses 3-pt shot from 22 ft
9:17.0,Defensive rebound by I. Whitehead,,78-99,,
9:14.0,J. Harris misses 2-pt shot from 1 ft,,78-99,,
9:13.0,Offensive rebound by T. Mozgov,,78-99,,
9:13.0,Turnover by T. Mozgov (bad pass),,78-99,,
8:57.0,,,78-101,2,W. Chandler makes 2-pt shot from 9 ft
8:57.0,Brooklyn full timeout,,78-101,,
8:57.0,T. Zeller enters the game for T. Mozgov,,78-101,,
8:43.0,T. Zeller misses 2-pt shot from 4 ft,,78-101,,
8:41.0,,,78-101,,Defensive rebound by W. Barton
8:32.0,,,78-103,2,W. Barton makes 2-pt shot from 11 ft
8:18.0,I. Whitehead makes 3-pt shot from 25 ft,3,81-103,,
8:04.0,,,81-103,,W. Chandler misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by J. Harris,,81-103,,
