time,Detroit,pts.away,score,pts.home,Golden State
0:33.0,,,27-33,,Offensive rebound by Team
0:32.0,,,27-33,,A. Iguodala misses 2-pt shot from 14 ft
0:30.0,Defensive rebound by T. Harris,,27-33,,
0:12.0,A. Bradley misses 2-pt shot from 4 ft (block by D. Green),,27-33,,
0:11.0,Offensive rebound by J. Leuer,,27-33,,
0:08.0,J. Leuer misses 2-pt shot from 1 ft,,27-33,,
0:07.0,Offensive rebound by T. Harris,,27-33,,
0:05.0,T. Harris misses 2-pt shot from 14 ft,,27-33,,
0:04.0,,,27-33,,Defensive rebound by S. Livingston
0:03.0,,,27-35,2,A. Iguodala makes 2-pt shot from 3 ft
0:00.0,,,27-35,,Personal foul by S. Livingston (drawn by I. Smith)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,27-35,,D. Green misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by J. Leuer,,27-35,,
11:24.0,R. Bullock misses 3-pt shot from 23 ft,,27-35,,
11:18.0,,,27-35,,Defensive rebound by D. Green
11:12.0,,,27-35,,D. West misses 2-pt shot from 10 ft
11:09.0,,,27-35,,Offensive rebound by D. West
11:06.0,,,27-37,2,D. West makes 2-pt shot from 6 ft
10:41.0,R. Jackson misses 2-pt shot from 12 ft,,27-37,,
10:35.0,,,27-37,,Defensive rebound by D. Green
10:33.0,,,27-37,,Turnover by D. West (bad pass)
10:10.0,R. Jackson makes 2-pt shot from 11 ft,2,29-37,,
10:10.0,Shooting foul by A. Iguodala (drawn by R. Jackson),,29-37,,
10:10.0,R. Jackson makes free throw 1 of 1,1,30-37,,
9:53.0,,,30-37,,Turnover by K. Thompson (traveling)
9:39.0,L. Galloway misses 3-pt shot from 26 ft,,30-37,,
9:34.0,,,30-37,,Defensive rebound by D. Green
9:31.0,,,30-37,,N. Young misses 3-pt shot from 27 ft
9:29.0,Defensive rebound by J. Leuer,,30-37,,
9:21.0,R. Bullock misses 3-pt shot from 22 ft,,30-37,,
9:15.0,,,30-37,,Defensive rebound by D. Green
9:14.0,,,30-37,,Turnover by D. Green (bad pass; steal by R. Bullock)
9:08.0,J. Leuer makes 2-pt shot from 1 ft (assist by R. Jackson),2,32-37,,
8:55.0,,,32-39,2,K. Thompson makes 2-pt shot from 18 ft (assist by D. West)
8:35.0,R. Jackson makes 3-pt shot from 26 ft (assist by R. Bullock),3,35-39,,
8:33.0,,,35-39,,Golden State full timeout
8:18.0,,,35-39,,Turnover by D. Green (bad pass; steal by R. Bullock)
8:04.0,J. Leuer misses 2-pt shot from 3 ft (block by D. West),,35-39,,
7:58.0,,,35-39,,Defensive rebound by D. West
7:56.0,,,35-39,,Turnover by K. Thompson (bad pass; steal by J. Leuer)
7:43.0,L. Galloway misses 3-pt shot from 24 ft,,35-39,,
7:39.0,Offensive rebound by A. Tolliver,,35-39,,
7:22.0,R. Jackson makes 2-pt shot from 9 ft,2,37-39,,
7:08.0,,,37-39,,Shooting foul by R. Jackson (drawn by K. Thompson)
7:08.0,,,37-40,1,K. Thompson makes free throw 1 of 2
7:08.0,,,37-40,,K. Durant enters the game for D. Green
7:08.0,S. Johnson enters the game for L. Galloway,,37-40,,
7:08.0,,,37-40,,K. Thompson misses free throw 2 of 2
7:05.0,Defensive rebound by A. Tolliver,,37-40,,
6:46.0,R. Jackson makes 2-pt shot from 20 ft,2,39-40,,
6:27.0,,,39-40,,K. Thompson misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by J. Leuer,,39-40,,
6:21.0,Turnover by R. Bullock (out of bounds lost ball),,39-40,,
6:21.0,A. Drummond enters the game for J. Leuer,,39-40,,
6:07.0,,,39-43,3,K. Durant makes 3-pt shot from 27 ft
5:38.0,A. Drummond misses 2-pt shot from 12 ft,,39-43,,
5:33.0,Offensive rebound by A. Tolliver,,39-43,,
5:30.0,S. Johnson makes 3-pt shot from 25 ft (assist by R. Bullock),3,42-43,,
5:11.0,,,42-43,,D. West misses 2-pt shot from 14 ft
5:06.0,Defensive rebound by A. Drummond,,42-43,,
5:01.0,R. Jackson makes 2-pt shot from 3 ft,2,44-43,,
4:46.0,Def 3 sec tech foul by A. Drummond,,44-43,,
4:46.0,,,44-43,,K. Durant misses technical free throw
4:46.0,,,44-43,,Offensive rebound by Team
4:46.0,,,44-43,,S. Livingston enters the game for D. West
4:46.0,,,44-43,,Z. Pachulia enters the game for A. Iguodala
4:46.0,,,44-43,,S. Curry enters the game for K. Thompson
4:46.0,A. Bradley enters the game for R. Bullock,,44-43,,
4:38.0,,,44-43,,S. Curry misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by S. Johnson,,44-43,,
4:28.0,A. Drummond misses 2-pt shot from 8 ft,,44-43,,
4:23.0,,,44-43,,Defensive rebound by S. Curry
4:21.0,,,44-45,2,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry)
4:12.0,Detroit full timeout,,44-45,,
4:12.0,,,44-45,,O. Casspi enters the game for N. Young
4:12.0,T. Harris enters the game for R. Jackson,,44-45,,
4:12.0,I. Smith enters the game for A. Tolliver,,44-45,,
4:05.0,T. Harris misses 3-pt shot from 25 ft,,44-45,,
4:01.0,,,44-45,,Defensive rebound by S. Curry
3:48.0,,,44-47,2,S. Curry makes 2-pt shot from 1 ft
3:48.0,,,44-47,,Shooting foul by T. Harris (drawn by S. Curry)
3:48.0,,,44-48,1,S. Curry makes free throw 1 of 1
3:24.0,T. Harris misses 2-pt shot from 16 ft,,44-48,,
3:19.0,,,44-48,,Defensive rebound by O. Casspi
3:12.0,,,44-48,,Turnover by Z. Pachulia (bad pass)
2:54.0,T. Harris misses 2-pt shot from 11 ft,,44-48,,
2:47.0,,,44-48,,Defensive rebound by K. Durant
2:36.0,,,44-50,2,S. Curry makes 2-pt shot from 1 ft (assist by Z. Pachulia)
2:22.0,A. Bradley makes 3-pt shot from 25 ft (assist by T. Harris),3,47-50,,
2:15.0,,,47-52,2,O. Casspi makes 2-pt shot from 1 ft (assist by S. Curry)
2:15.0,,,47-52,,Shooting foul by I. Smith (drawn by O. Casspi)
2:15.0,,,47-53,1,O. Casspi makes free throw 1 of 1
2:04.0,A. Bradley makes 3-pt shot from 25 ft (assist by A. Drummond),3,50-53,,
1:46.0,Personal foul by T. Harris (drawn by Z. Pachulia),,50-53,,
1:46.0,A. Tolliver enters the game for T. Harris,,50-53,,
1:41.0,,,50-55,2,S. Livingston makes 2-pt shot from 9 ft
1:18.0,S. Johnson misses 3-pt shot from 27 ft,,50-55,,
1:14.0,,,50-55,,Defensive rebound by O. Casspi
1:12.0,,,50-55,,S. Curry misses 3-pt shot from 34 ft
1:08.0,Defensive rebound by S. Johnson,,50-55,,
1:04.0,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson),2,52-55,,
0:46.0,,,52-57,2,K. Durant makes 2-pt shot from 18 ft
0:36.0,A. Bradley misses 2-pt shot from 1 ft,,52-57,,
0:33.0,Offensive rebound by A. Bradley,,52-57,,
0:24.0,S. Johnson misses 2-pt shot from 7 ft,,52-57,,
0:17.0,,,52-57,,Defensive rebound by S. Curry
0:16.0,,,52-57,,Turnover by S. Curry (lost ball; steal by S. Johnson)
0:04.0,,,52-57,,Personal foul by S. Curry (drawn by I. Smith)
0:04.0,,,52-57,,D. Green enters the game for Z. Pachulia
0:04.0,,,52-57,,P. McCaw enters the game for S. Curry
0:04.0,R. Jackson enters the game for I. Smith,,52-57,,
0:00.0,R. Jackson misses 2-pt shot from 12 ft,,52-57,,
0:00.0,Offensive rebound by Team,,52-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-57,,Turnover by Z. Pachulia (bad pass; steal by A. Drummond)
11:25.0,A. Drummond misses 2-pt shot from 13 ft,,52-57,,
11:21.0,,,52-57,,Defensive rebound by D. Green
11:18.0,,,52-59,2,S. Curry makes 2-pt shot from 14 ft (assist by D. Green)
10:48.0,A. Drummond misses 2-pt shot from 5 ft,,52-59,,
10:44.0,,,52-59,,Defensive rebound by K. Thompson
10:33.0,,,52-59,,K. Thompson misses 3-pt shot from 29 ft
10:28.0,,,52-59,,Offensive rebound by K. Durant
10:25.0,,,52-59,,D. Green misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by Team,,52-59,,
10:09.0,T. Harris makes 2-pt shot from 3 ft (assist by A. Drummond),2,54-59,,
9:56.0,,,54-61,2,D. Green makes 2-pt shot from 8 ft (assist by S. Curry)
9:39.0,A. Bradley misses 2-pt shot from 10 ft,,54-61,,
9:34.0,,,54-61,,Defensive rebound by S. Curry
9:32.0,,,54-63,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
9:30.0,Detroit full timeout,,54-63,,
9:20.0,S. Johnson misses 2-pt shot from 10 ft,,54-63,,
9:15.0,,,54-63,,Defensive rebound by K. Durant
9:08.0,,,54-66,3,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant)
8:45.0,T. Harris misses 2-pt shot from 9 ft (block by Z. Pachulia),,54-66,,
8:41.0,,,54-66,,Defensive rebound by Z. Pachulia
8:30.0,,,54-68,2,K. Durant makes 2-pt shot from 7 ft (assist by Z. Pachulia)
8:03.0,S. Johnson misses 3-pt shot from 25 ft,,54-68,,
7:59.0,Offensive rebound by R. Jackson,,54-68,,
7:54.0,A. Bradley makes 3-pt shot from 24 ft (assist by R. Jackson),3,57-68,,
7:35.0,,,57-68,,Offensive foul by Z. Pachulia (drawn by R. Jackson)
7:35.0,,,57-68,,Turnover by Z. Pachulia (offensive foul)
7:22.0,T. Harris makes 2-pt shot from 11 ft (assist by S. Johnson),2,59-68,,
7:22.0,Shooting foul by D. Green (drawn by T. Harris),,59-68,,
7:22.0,T. Harris makes free throw 1 of 1,1,60-68,,
7:07.0,,,60-70,2,K. Thompson makes 2-pt shot from 20 ft
6:46.0,S. Johnson misses 2-pt shot from 18 ft,,60-70,,
6:40.0,Offensive rebound by A. Drummond,,60-70,,
6:40.0,Jump ball: A. Drummond vs.,,,,Jump ball: A. Drummond vs.
6:33.0,,,60-70,,Turnover by D. Green (bad pass)
6:11.0,S. Johnson makes 2-pt shot at rim (assist by A. Drummond),2,62-70,,
5:56.0,,,62-72,2,K. Durant makes 2-pt shot from 17 ft
5:49.0,,,62-72,,Violation by Z. Pachulia (kicked ball)
5:39.0,,,62-72,,A. Iguodala enters the game for D. Green
5:37.0,Turnover by T. Harris (traveling),,62-72,,
5:29.0,,,62-74,2,K. Thompson makes 2-pt shot from 17 ft (assist by A. Iguodala)
5:07.0,Turnover by A. Bradley (step out of bounds),,62-74,,
5:07.0,,,62-74,,S. Livingston enters the game for K. Thompson
4:55.0,,,62-74,,S. Livingston misses 2-pt shot from 3 ft
4:52.0,Defensive rebound by A. Drummond,,62-74,,
4:45.0,Shooting foul by S. Curry (drawn by R. Jackson),,62-74,,
4:45.0,R. Jackson makes free throw 1 of 2,1,63-74,,
4:45.0,,,63-74,,J. McGee enters the game for Z. Pachulia
4:45.0,R. Jackson makes free throw 2 of 2,1,64-74,,
4:34.0,,,64-77,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
4:19.0,,,64-77,,Violation by J. McGee (kicked ball)
4:19.0,I. Smith enters the game for R. Jackson,,64-77,,
4:12.0,Shooting foul by J. McGee (drawn by I. Smith),,64-77,,
4:12.0,I. Smith makes free throw 1 of 2,1,65-77,,
4:12.0,I. Smith makes free throw 2 of 2,1,66-77,,
4:00.0,,,66-77,,S. Curry misses 3-pt shot from 27 ft
3:56.0,Defensive rebound by T. Harris,,66-77,,
3:52.0,A. Drummond misses 2-pt shot from 1 ft (block by J. McGee),,66-77,,
3:50.0,A. Drummond makes 2-pt shot from 1 ft,2,68-77,,
3:49.0,Offensive rebound by A. Drummond,,68-77,,
3:49.0,,,68-77,,Golden State full timeout
3:49.0,A. Tolliver enters the game for T. Harris,,68-77,,
3:34.0,,,68-79,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala)
3:12.0,A. Drummond misses 2-pt shot from 10 ft,,68-79,,
3:10.0,Offensive rebound by A. Drummond,,68-79,,
3:08.0,A. Tolliver misses 3-pt shot from 22 ft,,68-79,,
3:04.0,,,68-79,,Defensive rebound by K. Durant
2:44.0,,,68-79,,K. Durant misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by A. Drummond,,68-79,,
2:36.0,S. Johnson misses 2-pt shot from 2 ft (block by S. Livingston),,68-79,,
2:29.0,Offensive rebound by A. Drummond,,68-79,,
2:28.0,A. Drummond misses 2-pt shot from 1 ft (block by K. Durant),,68-79,,
2:20.0,Offensive rebound by A. Drummond,,68-79,,
2:20.0,A. Drummond makes 2-pt shot at rim,2,70-79,,
2:19.0,,,70-79,,Turnover by K. Durant (bad pass; steal by A. Drummond)
2:10.0,A. Bradley makes 2-pt shot from 13 ft (assist by I. Smith),2,72-79,,
2:10.0,,,72-79,,S. Curry misses technical free throw
2:10.0,,,72-79,,Offensive rebound by Team
2:10.0,,,72-79,,D. Green enters the game for K. Durant
2:10.0,R. Bullock enters the game for S. Johnson,,72-79,,
1:59.0,Personal foul by A. Drummond (drawn by S. Curry),,72-79,,
1:51.0,,,72-81,2,J. McGee makes 2-pt shot from 9 ft (assist by A. Iguodala)
1:36.0,A. Bradley makes 3-pt shot from 24 ft (assist by A. Drummond),3,75-81,,
1:24.0,,,75-81,,Turnover by D. Green (bad pass; steal by A. Drummond)
1:17.0,Shooting foul by D. Green (drawn by A. Tolliver),,75-81,,
1:17.0,A. Tolliver makes free throw 1 of 3,1,76-81,,
1:17.0,A. Tolliver makes free throw 2 of 3,1,77-81,,
1:17.0,A. Tolliver makes free throw 3 of 3,1,78-81,,
1:04.0,,,78-81,,S. Livingston misses 2-pt shot from 12 ft
0:59.0,Defensive rebound by A. Drummond,,78-81,,
0:48.0,Turnover by A. Drummond (bad pass),,78-81,,
0:33.0,,,78-81,,Turnover by S. Livingston (bad pass; steal by R. Bullock)
0:29.0,R. Bullock makes 2-pt shot from 2 ft (assist by I. Smith),2,80-81,,
0:12.0,,,80-81,,Turnover by S. Curry (traveling)
0:12.0,,,80-81,,P. McCaw enters the game for S. Curry
0:01.0,A. Tolliver makes 2-pt shot from 13 ft,2,82-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by D. West (drawn by I. Smith),,82-81,,
11:42.0,I. Smith makes free throw 1 of 2,1,83-81,,
11:42.0,I. Smith makes free throw 2 of 2,1,84-81,,
11:29.0,Personal foul by S. Johnson (drawn by K. Thompson),,84-81,,
11:27.0,,,84-83,2,K. Thompson makes 2-pt shot from 17 ft (assist by A. Iguodala)
11:08.0,I. Smith makes 2-pt shot from 1 ft,2,86-83,,
10:55.0,,,86-83,,D. Green misses 3-pt shot from 26 ft
10:49.0,,,86-83,,Offensive rebound by D. West
10:49.0,,,86-83,,D. West misses 2-pt shot at rim
10:47.0,,,86-83,,Offensive rebound by D. West
10:47.0,,,86-85,2,D. West makes 2-pt shot at rim
10:28.0,Shooting foul by N. Young (drawn by A. Tolliver),,86-85,,
10:28.0,A. Tolliver makes free throw 2 of 2,1,87-85,,
10:28.0,A. Tolliver makes free throw 1 of 2,1,88-85,,
10:12.0,,,88-85,,N. Young misses 3-pt shot from 26 ft
10:07.0,Defensive rebound by Team,,88-85,,
9:57.0,A. Drummond misses 2-pt shot from 8 ft,,88-85,,
9:52.0,Offensive rebound by A. Tolliver,,88-85,,
9:49.0,I. Smith makes 2-pt shot from 13 ft,2,90-85,,
9:32.0,,,90-85,,Turnover by K. Thompson (bad pass; steal by A. Tolliver)
9:21.0,A. Tolliver misses 3-pt shot from 27 ft (block by A. Iguodala),,90-85,,
9:16.0,,,90-85,,Defensive rebound by D. Green
9:14.0,,,90-85,,Turnover by D. Green (bad pass; steal by A. Drummond)
9:07.0,I. Smith misses 2-pt shot from 18 ft (block by D. West),,90-85,,
9:01.0,Offensive rebound by A. Drummond,,90-85,,
9:01.0,I. Smith makes 2-pt shot from 1 ft (assist by A. Drummond),2,92-85,,
9:01.0,,,92-85,,Golden State full timeout
9:01.0,,,92-85,,K. Durant enters the game for D. Green
8:47.0,,,92-87,2,K. Thompson makes 2-pt shot from 16 ft (assist by A. Iguodala)
8:26.0,R. Bullock makes 2-pt shot from 1 ft (assist by A. Tolliver),2,94-87,,
8:07.0,,,94-87,,D. West misses 2-pt shot from 7 ft
8:04.0,Defensive rebound by A. Tolliver,,94-87,,
8:01.0,Turnover by A. Drummond (turnover),,94-87,,
8:01.0,T. Harris enters the game for A. Tolliver,,94-87,,
7:44.0,Def 3 sec tech foul by T. Harris,,94-87,,
7:44.0,,,94-88,1,K. Durant makes technical free throw
7:41.0,,,94-88,,K. Thompson misses 2-pt shot from 14 ft
7:36.0,Defensive rebound by A. Drummond,,94-88,,
7:31.0,Turnover by T. Harris (lost ball; steal by K. Thompson),,94-88,,
7:22.0,,,94-88,,Turnover by K. Durant (traveling)
7:11.0,I. Smith makes 2-pt shot from 6 ft,2,96-88,,
6:58.0,,,96-88,,Turnover by K. Thompson (bad pass; steal by S. Johnson)
6:56.0,S. Johnson makes 2-pt shot at rim,2,98-88,,
6:56.0,,,98-88,,Golden State full timeout
6:56.0,,,98-88,,S. Curry enters the game for D. West
6:56.0,,,98-88,,D. Green enters the game for N. Young
6:56.0,,,98-88,,O. Casspi enters the game for A. Iguodala
6:56.0,A. Bradley enters the game for I. Smith,,98-88,,
6:56.0,R. Jackson enters the game for R. Bullock,,98-88,,
6:47.0,,,98-88,,K. Thompson misses 3-pt shot from 26 ft
6:43.0,Defensive rebound by A. Drummond,,98-88,,
6:31.0,S. Johnson makes 3-pt shot from 23 ft (assist by T. Harris),3,101-88,,
6:18.0,,,101-88,,Turnover by S. Curry (bad pass; steal by A. Bradley)
6:14.0,A. Bradley misses 3-pt shot from 25 ft,,101-88,,
6:10.0,Offensive rebound by R. Jackson,,101-88,,
6:04.0,Turnover by S. Johnson (traveling),,101-88,,
5:51.0,,,101-91,3,K. Durant makes 3-pt shot from 26 ft (assist by D. Green)
5:36.0,Turnover by R. Jackson (traveling),,101-91,,
5:24.0,,,101-94,3,K. Durant makes 3-pt shot from 26 ft
5:10.0,,,101-94,,Personal foul by D. Green (drawn by A. Bradley)
5:00.0,A. Drummond makes 2-pt shot from 1 ft (assist by A. Bradley),2,103-94,,
4:40.0,,,103-96,2,K. Durant makes 2-pt shot from 1 ft
4:19.0,A. Drummond misses 2-pt shot from 9 ft,,103-96,,
4:13.0,,,103-96,,Defensive rebound by K. Durant
4:09.0,,,103-99,3,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant)
4:08.0,Detroit full timeout,,103-99,,
3:53.0,T. Harris misses 2-pt shot from 6 ft (block by K. Durant),,103-99,,
3:51.0,Offensive rebound by Team,,103-99,,
3:50.0,Turnover by A. Bradley (bad pass; steal by K. Thompson),,103-99,,
3:39.0,,,103-99,,Shooting foul by A. Bradley (drawn by K. Durant)
3:39.0,,,103-100,1,K. Durant makes free throw 1 of 2
3:39.0,,,103-101,1,K. Durant makes free throw 2 of 2
3:23.0,T. Harris makes 2-pt shot from 5 ft,2,105-101,,
3:23.0,Shooting foul by K. Thompson (drawn by T. Harris),,105-101,,
3:23.0,T. Harris makes free throw 1 of 1,1,106-101,,
2:58.0,,,106-101,,Turnover by Team (shot clock)
2:41.0,R. Jackson misses 2-pt shot from 17 ft,,106-101,,
2:33.0,,,106-101,,Defensive rebound by D. Green
2:31.0,,,106-101,,Shooting foul by A. Drummond (drawn by K. Durant)
2:31.0,,,106-102,1,K. Durant makes free throw 1 of 2
2:31.0,,,106-102,,A. Iguodala enters the game for O. Casspi
2:31.0,,,106-103,1,K. Durant makes free throw 2 of 2
2:20.0,,,106-103,,Personal foul by S. Curry (drawn by A. Bradley)
2:20.0,A. Bradley makes free throw 1 of 2,1,107-103,,
2:20.0,A. Bradley makes free throw 2 of 2,1,108-103,,
2:12.0,,,108-105,2,A. Iguodala makes 2-pt shot from 2 ft (assist by S. Curry)
1:55.0,Turnover by A. Bradley (lost ball; steal by S. Curry),,108-105,,
1:53.0,,,108-105,,S. Curry misses 2-pt shot from 2 ft
1:51.0,,,108-105,,Offensive rebound by Team
1:51.0,,,108-105,,S. Curry misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by A. Drummond,,108-105,,
1:27.0,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson),3,111-105,,
1:11.0,,,111-105,,K. Durant misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by R. Jackson,,111-105,,
1:02.0,,,111-105,,Turnover by S. Curry (bad pass; steal by A. Bradley)
1:01.0,Turnover by R. Jackson (bad pass),,111-105,,
0:52.0,A. Bradley makes 2-pt shot from 1 ft,2,113-105,,
0:52.0,,,113-105,,Golden State full timeout
0:44.0,,,113-105,,K. Durant misses 3-pt shot from 25 ft
0:40.0,,,113-105,,Offensive rebound by D. Green
0:39.0,,,113-105,,A. Iguodala misses 3-pt shot from 25 ft
0:34.0,,,113-105,,Offensive rebound by S. Curry
0:34.0,,,113-105,,Turnover by S. Curry (turnover)
0:15.0,R. Jackson makes 2-pt shot from 9 ft,2,115-105,,
0:05.0,,,115-107,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
