time,San Antonio,pts.away,score,pts.home,New York
11:40.0,D. Bertans enters the game for P. Mills,,81-67,,
11:25.0,M. Ginobili makes 2-pt shot from 1 ft,2,83-67,,
11:07.0,,,83-69,2,J. Jack makes 2-pt shot from 10 ft
10:46.0,M. Ginobili misses 3-pt shot from 26 ft,,83-69,,
10:42.0,,,83-69,,Defensive rebound by M. Beasley
10:40.0,Personal foul by D. Bertans (drawn by K. O'Quinn),,83-69,,
10:30.0,,,83-71,2,M. Beasley makes 2-pt shot from 22 ft
10:14.0,K. Leonard makes 3-pt shot from 23 ft (assist by P. Gasol),3,86-71,,
9:59.0,,,86-73,2,J. Jack makes 2-pt shot from 21 ft
9:46.0,D. Murray misses 2-pt shot from 19 ft,,86-73,,
9:37.0,,,86-73,,Defensive rebound by K. O'Quinn
9:36.0,,,86-73,,Turnover by M. Beasley (bad pass; steal by K. Leonard)
9:33.0,Turnover by K. Leonard (bad pass; steal by K. O'Quinn),,86-73,,
9:27.0,,,86-75,2,R. Sessions makes 2-pt shot from 1 ft (assist by K. O'Quinn)
9:27.0,San Antonio full timeout,,86-75,,
9:27.0,K. Anderson enters the game for D. Murray,,86-75,,
9:27.0,T. Parker enters the game for M. Ginobili,,86-75,,
9:05.0,K. Leonard misses 2-pt shot from 1 ft (block by K. O'Quinn),,86-75,,
9:02.0,,,86-75,,Defensive rebound by K. O'Quinn
8:57.0,,,86-75,,M. Beasley misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by K. Leonard,,86-75,,
8:47.0,P. Gasol misses 3-pt shot from 23 ft,,86-75,,
8:44.0,,,86-75,,Defensive rebound by R. Sessions
8:30.0,,,86-75,,R. Sessions misses 2-pt shot from 6 ft
8:26.0,Defensive rebound by T. Parker,,86-75,,
8:11.0,,,86-75,,Personal foul by K. O'Quinn (drawn by K. Leonard)
7:59.0,D. Bertans misses 3-pt shot from 26 ft,,86-75,,
7:57.0,Offensive rebound by P. Gasol,,86-75,,
7:55.0,P. Gasol misses 2-pt shot from 2 ft,,86-75,,
7:55.0,Offensive rebound by P. Gasol,,86-75,,
7:55.0,Shooting foul by K. O'Quinn (drawn by P. Gasol),,86-75,,
7:55.0,P. Gasol makes free throw 1 of 2,1,87-75,,
7:55.0,P. Gasol makes free throw 2 of 2,1,88-75,,
7:37.0,,,88-75,,K. O'Quinn misses 2-pt shot from 2 ft (block by P. Gasol)
7:36.0,Defensive rebound by K. Leonard,,88-75,,
7:36.0,Technical foul by Team,,88-75,,
7:36.0,K. Leonard makes technical free throw,1,89-75,,
7:36.0,,,89-75,,C. Lee enters the game for K. O'Quinn
7:28.0,Shooting foul by K. Porzingis (drawn by P. Gasol),,89-75,,
7:28.0,,,89-75,,W. Hernangomez enters the game for K. Porzingis
7:28.0,P. Gasol misses free throw 1 of 2,,89-75,,
7:28.0,Offensive rebound by Team,,89-75,,
7:28.0,P. Gasol makes free throw 2 of 2,1,90-75,,
7:13.0,,,90-77,2,J. Jack makes 2-pt shot from 8 ft
7:00.0,K. Leonard misses 2-pt shot from 7 ft,,90-77,,
6:59.0,Offensive rebound by P. Gasol,,90-77,,
6:58.0,P. Gasol misses 2-pt shot from 7 ft,,90-77,,
6:57.0,,,90-77,,Defensive rebound by M. Beasley
6:50.0,,,90-77,,Shooting foul by D. Bertans (drawn by M. Beasley)
6:50.0,,,90-78,1,M. Beasley makes free throw 1 of 2
6:50.0,L. Aldridge enters the game for D. Bertans,,90-78,,
6:50.0,,,90-79,1,M. Beasley makes free throw 2 of 2
6:27.0,Turnover by K. Leonard (bad pass; steal by J. Jack),,90-79,,
6:20.0,,,90-82,3,C. Lee makes 3-pt shot from 25 ft (assist by J. Jack)
6:18.0,San Antonio full timeout,,90-82,,
6:18.0,M. Ginobili enters the game for K. Leonard,,90-82,,
5:55.0,L. Aldridge misses 2-pt shot from 11 ft,,90-82,,
5:49.0,Offensive rebound by K. Anderson,,90-82,,
5:49.0,K. Anderson misses 2-pt shot at rim,,90-82,,
5:48.0,,,90-82,,Defensive rebound by R. Sessions
5:42.0,,,90-82,,Shooting foul by M. Ginobili (drawn by W. Hernangomez)
5:42.0,P. Mills enters the game for K. Anderson,,90-82,,
5:42.0,D. Murray enters the game for T. Parker,,90-82,,
5:42.0,,,90-82,,W. Hernangomez misses free throw 1 of 2
5:42.0,,,90-82,,Offensive rebound by Team
5:42.0,,,90-83,1,W. Hernangomez makes free throw 2 of 2
5:30.0,,,90-83,,Personal foul by W. Hernangomez (drawn by P. Gasol)
5:30.0,P. Gasol makes free throw 1 of 2,1,91-83,,
5:30.0,P. Gasol makes free throw 2 of 2,1,92-83,,
5:10.0,,,92-83,,C. Lee misses 3-pt shot from 26 ft
