time,LA Clippers,pts.away,score,pts.home,Utah
3:24.0,,,18-25,,Loose ball foul by D. Mitchell (drawn by M. Harrell)
3:24.0,,,18-25,,D. Favors enters the game for R. Gobert
3:24.0,T. Wallace enters the game for A. Rivers,,18-25,,
3:16.0,,,18-25,,Personal foul by J. Crowder (drawn by M. Harrell)
3:08.0,Shooting foul by D. Exum (drawn by L. Williams),,18-25,,
3:08.0,L. Williams makes free throw 1 of 2,1,19-25,,
3:08.0,L. Williams makes free throw 2 of 2,1,20-25,,
2:56.0,,,20-27,2,D. Mitchell makes 2-pt shot from 12 ft
2:48.0,C. Williams misses 2-pt shot from 11 ft,,20-27,,
2:46.0,,,20-27,,Defensive rebound by D. Exum
2:38.0,,,20-29,2,D. Exum makes 2-pt shot from 1 ft (assist by R. O'Neale)
2:15.0,Shooting foul by J. Crowder (drawn by L. Williams),,20-29,,
2:15.0,L. Williams misses free throw 1 of 2,,20-29,,
2:15.0,Offensive rebound by Team,,20-29,,
2:15.0,,,20-29,,J. Jerebko enters the game for D. Mitchell
2:15.0,L. Williams makes free throw 2 of 2,1,21-29,,
2:07.0,,,21-31,2,D. Exum makes 2-pt shot from 2 ft
1:56.0,Shooting foul by D. Favors (drawn by T. Wallace),,21-31,,
1:56.0,,,21-31,,J. Ingles enters the game for J. Crowder
1:56.0,T. Wallace makes free throw 1 of 2,1,22-31,,
1:56.0,T. Wallace makes free throw 2 of 2,1,23-31,,
1:32.0,,,23-31,,Turnover by Team (shot clock)
1:16.0,C. Williams misses 2-pt shot from 3 ft (block by D. Exum),,23-31,,
1:15.0,Offensive rebound by C. Williams,,23-31,,
1:15.0,C. Williams misses 2-pt shot from 3 ft,,23-31,,
1:15.0,Offensive rebound by Team,,23-31,,
1:15.0,,,23-31,,Loose ball foul by D. Favors (drawn by M. Harrell)
1:15.0,M. Harrell misses free throw 1 of 2,,23-31,,
1:15.0,Offensive rebound by Team,,23-31,,
1:15.0,B. Marjanovic enters the game for T. Harris,,23-31,,
1:15.0,M. Harrell makes free throw 2 of 2,1,24-31,,
1:02.0,,,24-34,3,D. Exum makes 3-pt shot from 25 ft
0:45.0,M. Harrell makes 2-pt shot from 5 ft (assist by T. Wallace),2,26-34,,
0:35.0,,,26-34,,Shooting foul by B. Marjanovic (drawn by D. Favors)
0:35.0,,,26-35,1,D. Favors makes free throw 1 of 2
0:35.0,,,26-35,,E. Udoh enters the game for J. Jerebko
0:35.0,,,26-36,1,D. Favors makes free throw 2 of 2
0:14.0,L. Williams misses 2-pt shot from 13 ft,,26-36,,
0:10.0,,,26-36,,Defensive rebound by R. O'Neale
0:02.0,,,26-36,,J. Ingles misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by T. Wallace,,26-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,M. Harrell misses 2-pt shot from 8 ft,,26-36,,
11:42.0,,,26-36,,Defensive rebound by R. O'Neale
11:33.0,Personal foul by M. Harrell (drawn by D. Favors),,26-36,,
11:26.0,,,26-38,2,D. Exum makes 2-pt shot from 2 ft
11:07.0,L. Williams makes 2-pt shot from 4 ft (assist by M. Harrell),2,28-38,,
10:57.0,,,28-40,2,J. Jerebko makes 2-pt shot from 2 ft (assist by J. Ingles)
10:48.0,Turnover by M. Harrell (bad pass),,28-40,,
10:34.0,,,28-40,,D. Exum misses 2-pt shot from 2 ft
10:30.0,,,28-40,,Offensive rebound by D. Favors
10:30.0,,,28-40,,D. Favors misses 2-pt shot at rim
10:29.0,Defensive rebound by B. Marjanovic,,28-40,,
10:23.0,B. Marjanovic misses 2-pt shot from 4 ft (block by D. Exum),,28-40,,
10:20.0,,,28-40,,Defensive rebound by D. Exum
10:19.0,,,28-40,,Shooting foul by A. Rivers (drawn by D. Exum)
10:19.0,,,28-41,1,D. Exum makes free throw 1 of 2
10:19.0,,,28-41,,D. Exum misses free throw 2 of 2
10:17.0,Defensive rebound by M. Harrell,,28-41,,
10:01.0,Shooting foul by D. Favors (drawn by B. Marjanovic),,28-41,,
10:01.0,B. Marjanovic makes free throw 1 of 2,1,29-41,,
10:01.0,,,29-41,,E. Udoh enters the game for D. Favors
10:01.0,B. Marjanovic makes free throw 2 of 2,1,30-41,,
9:52.0,D. Jordan enters the game for T. Wallace,,30-41,,
9:52.0,S. Thornwell enters the game for B. Marjanovic,,30-41,,
9:45.0,,,30-41,,J. Ingles misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by D. Jordan,,30-41,,
9:34.0,L. Williams misses 2-pt shot from 2 ft,,30-41,,
9:32.0,Offensive rebound by D. Jordan,,30-41,,
9:32.0,D. Jordan misses 2-pt shot from 2 ft,,30-41,,
9:31.0,Offensive rebound by D. Jordan,,30-41,,
9:31.0,,,30-41,,Personal foul by R. O'Neale (drawn by D. Jordan)
9:27.0,Offensive charge foul by D. Jordan (drawn by J. Jerebko),,30-41,,
9:27.0,Turnover by D. Jordan (offensive foul),,30-41,,
9:27.0,,,30-41,,R. Gobert enters the game for E. Udoh
9:27.0,T. Harris enters the game for D. Jordan,,30-41,,
9:19.0,,,30-41,,Shooting foul by A. Rivers (drawn by R. Gobert)
9:19.0,,,30-41,,R. Gobert misses free throw 1 of 2
9:19.0,,,30-41,,Offensive rebound by Team
9:19.0,,,30-41,,R. Gobert misses free throw 2 of 2
9:17.0,Defensive rebound by M. Harrell,,30-41,,
9:00.0,M. Harrell misses 2-pt shot from 1 ft,,30-41,,
8:56.0,Offensive rebound by S. Thornwell,,30-41,,
8:56.0,,,30-41,,D. Mitchell enters the game for D. Exum
8:52.0,Jump ball: J. Jerebko vs. S. Thornwell (L. Williams gains possession),,,,Jump ball: J. Jerebko vs. S. Thornwell (L. Williams gains possession)
8:46.0,Shooting foul by J. Ingles (drawn by A. Rivers),,30-41,,
8:46.0,A. Rivers makes free throw 1 of 2,1,31-41,,
8:46.0,A. Rivers makes free throw 2 of 2,1,32-41,,
8:26.0,,,32-41,,D. Mitchell misses 3-pt shot from 29 ft
8:22.0,,,32-41,,Offensive rebound by J. Jerebko
8:00.0,,,32-43,2,J. Jerebko makes 2-pt shot from 11 ft (assist by J. Ingles)
7:40.0,A. Rivers makes 2-pt shot from 4 ft,2,34-43,,
7:19.0,,,34-46,3,J. Jerebko makes 3-pt shot from 28 ft (assist by J. Ingles)
7:00.0,L. Williams misses 3-pt shot from 24 ft,,34-46,,
6:58.0,,,34-46,,Defensive rebound by R. O'Neale
6:44.0,,,34-46,,J. Jerebko misses 3-pt shot from 23 ft
6:43.0,,,34-46,,Offensive rebound by Team
6:43.0,Loose ball foul by M. Harrell (drawn by R. Gobert),,34-46,,
6:43.0,,,34-46,,Utah full timeout
6:43.0,,,34-46,,A. Burks enters the game for J. Ingles
6:43.0,,,34-46,,D. Exum enters the game for R. O'Neale
6:40.0,,,34-46,,Turnover by D. Mitchell (traveling)
6:28.0,A. Rivers misses 2-pt shot from 6 ft (block by R. Gobert),,34-46,,
6:28.0,Offensive rebound by Team,,34-46,,
6:25.0,T. Harris misses 2-pt shot from 20 ft,,34-46,,
6:23.0,,,34-46,,Defensive rebound by R. Gobert
6:05.0,,,34-48,2,J. Jerebko makes 2-pt shot from 12 ft (assist by A. Burks)
5:58.0,,,34-48,,Personal foul by A. Burks (drawn by L. Williams)
5:58.0,Technical foul by T. Harris,,34-48,,
5:58.0,,,34-49,1,D. Mitchell makes technical free throw
5:51.0,Turnover by A. Rivers (out of bounds lost ball),,34-49,,
5:36.0,,,34-52,3,A. Burks makes 3-pt shot from 24 ft (assist by D. Mitchell)
5:13.0,S. Thornwell misses 2-pt shot at rim,,34-52,,
5:12.0,Offensive rebound by S. Thornwell,,34-52,,
5:12.0,S. Thornwell misses 2-pt shot at rim,,34-52,,
5:12.0,,,34-52,,Defensive rebound by D. Mitchell
5:12.0,Personal foul by S. Thornwell (drawn by D. Mitchell),,34-52,,
5:12.0,,,34-53,1,D. Mitchell makes free throw 1 of 2
5:12.0,D. Jordan enters the game for S. Thornwell,,34-53,,
5:12.0,W. Johnson enters the game for M. Harrell,,34-53,,
5:12.0,,,34-54,1,D. Mitchell makes free throw 2 of 2
5:02.0,Shooting foul by R. Gobert (drawn by A. Rivers),,34-54,,
5:02.0,A. Rivers makes free throw 1 of 2,1,35-54,,
5:02.0,A. Rivers makes free throw 2 of 2,1,36-54,,
4:48.0,,,36-54,,D. Mitchell misses 2-pt shot from 3 ft
4:46.0,Defensive rebound by L. Williams,,36-54,,
4:38.0,A. Rivers makes 2-pt shot from 7 ft,2,38-54,,
4:27.0,,,38-54,,D. Mitchell misses 2-pt shot from 21 ft
4:25.0,Defensive rebound by D. Jordan,,38-54,,
4:17.0,L. Williams makes 2-pt shot from 18 ft,2,40-54,,
4:15.0,,,40-54,,Utah full timeout
4:15.0,,,40-54,,R. O'Neale enters the game for J. Jerebko
4:15.0,,,40-54,,J. Ingles enters the game for D. Exum
3:59.0,,,40-57,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Mitchell)
3:35.0,A. Rivers makes 2-pt shot from 4 ft,2,42-57,,
3:16.0,,,42-57,,A. Burks misses 3-pt shot from 22 ft
3:13.0,Defensive rebound by T. Harris,,42-57,,
3:09.0,Turnover by L. Williams (traveling),,42-57,,
2:52.0,,,42-57,,Shooting foul by W. Johnson (drawn by D. Mitchell)
2:52.0,,,42-57,,D. Mitchell misses free throw 1 of 2
2:52.0,,,42-57,,Offensive rebound by Team
2:52.0,,,42-57,,D. Exum enters the game for A. Burks
2:52.0,,,42-58,1,D. Mitchell makes free throw 2 of 2
2:38.0,A. Rivers misses 3-pt shot from 25 ft,,42-58,,
2:34.0,,,42-58,,Defensive rebound by D. Mitchell
2:31.0,,,42-58,,Shooting foul by W. Johnson (drawn by R. Gobert)
2:31.0,,,42-59,1,R. Gobert makes free throw 1 of 2
2:31.0,,,42-60,1,R. Gobert makes free throw 2 of 2
2:16.0,T. Harris makes 2-pt shot at rim (assist by L. Williams),2,44-60,,
1:54.0,,,44-62,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
1:42.0,L. Williams misses 2-pt shot from 11 ft,,44-62,,
1:39.0,Offensive rebound by D. Jordan,,44-62,,
1:38.0,D. Jordan makes 2-pt shot from 3 ft,2,46-62,,
1:21.0,,,46-62,,D. Mitchell misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by T. Harris,,46-62,,
1:11.0,W. Johnson misses 3-pt shot from 22 ft,,46-62,,
1:09.0,,,46-62,,Defensive rebound by D. Exum
1:04.0,,,46-62,,D. Exum misses 2-pt shot from 4 ft (block by T. Harris)
1:04.0,,,46-62,,Offensive rebound by Team
0:53.0,,,46-62,,D. Mitchell misses 2-pt shot from 9 ft (block by D. Jordan)
0:53.0,Defensive rebound by Team,,46-62,,
0:51.0,,,46-62,,Technical foul by R. Gobert
0:51.0,L. Williams makes technical free throw,1,47-62,,
0:51.0,LA Clippers full timeout,,47-62,,
0:51.0,M. Harrell enters the game for D. Jordan,,47-62,,
0:41.0,,,47-62,,Personal foul by J. Ingles (drawn by L. Williams)
0:41.0,L. Williams makes free throw 1 of 2,1,48-62,,
0:41.0,L. Williams makes free throw 2 of 2,1,49-62,,
0:31.0,Jump ball: R. Gobert vs. W. Johnson (T. Harris gains possession),,,,Jump ball: R. Gobert vs. W. Johnson (T. Harris gains possession)
0:31.0,,,49-62,,Turnover by R. Gobert (turnover; steal by W. Johnson)
0:12.0,Turnover by L. Williams (out of bounds lost ball),,49-62,,
0:12.0,C. Williams enters the game for L. Williams,,49-62,,
0:12.0,T. Wallace enters the game for A. Rivers,,49-62,,
0:06.0,,,49-65,3,R. O'Neale makes 3-pt shot from 23 ft (assist by D. Mitchell)
0:00.0,M. Harrell misses 3-pt shot from 25 ft,,49-65,,
0:00.0,Offensive rebound by Team,,49-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,T. Harris makes 2-pt shot from 13 ft (assist by A. Rivers),2,51-65,,
11:26.0,,,51-65,,D. Favors misses 3-pt shot from 22 ft
11:23.0,Defensive rebound by D. Jordan,,51-65,,
11:15.0,D. Jordan misses 2-pt shot from 8 ft (block by R. Gobert),,51-65,,
11:12.0,,,51-65,,Defensive rebound by D. Favors
11:01.0,,,51-67,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. O'Neale)
10:42.0,L. Williams misses 2-pt shot from 20 ft (block by R. Gobert),,51-67,,
10:40.0,,,51-67,,Defensive rebound by D. Favors
10:23.0,,,51-67,,D. Mitchell misses 2-pt shot from 3 ft
10:20.0,,,51-67,,Offensive rebound by R. Gobert
10:17.0,,,51-69,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
9:54.0,A. Rivers misses 3-pt shot from 25 ft,,51-69,,
9:52.0,,,51-69,,Defensive rebound by R. Gobert
9:36.0,,,51-69,,R. O'Neale misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by D. Jordan,,51-69,,
9:16.0,L. Williams misses 3-pt shot from 25 ft,,51-69,,
9:12.0,,,51-69,,Defensive rebound by D. Mitchell
9:08.0,Personal foul by M. Harrell (drawn by D. Mitchell),,51-69,,
9:01.0,,,51-72,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Mitchell)
9:00.0,LA Clippers full timeout,,51-72,,
8:42.0,Turnover by L. Williams (bad pass; steal by D. Favors),,51-72,,
8:39.0,,,51-72,,R. O'Neale misses 2-pt shot from 2 ft (block by M. Harrell)
8:39.0,,,51-72,,Offensive rebound by Team
8:23.0,,,51-72,,D. Favors misses 2-pt shot from 1 ft
8:20.0,Defensive rebound by M. Harrell,,51-72,,
8:20.0,,,51-72,,Personal foul by D. Mitchell (drawn by A. Rivers)
8:11.0,M. Harrell makes 2-pt shot from 14 ft (assist by A. Rivers),2,53-72,,
7:54.0,Personal foul by M. Harrell (drawn by R. Gobert),,53-72,,
7:50.0,Personal foul by M. Harrell (drawn by R. Gobert),,53-72,,
7:50.0,T. Wallace enters the game for M. Harrell,,53-72,,
7:44.0,,,53-74,2,R. O'Neale makes 2-pt shot at rim (assist by J. Ingles)
7:32.0,D. Jordan makes 2-pt shot from 2 ft (assist by T. Harris),2,55-74,,
7:19.0,Personal foul by T. Wallace (drawn by R. Gobert),,55-74,,
7:11.0,,,55-74,,Turnover by R. Gobert (bad pass; steal by T. Harris)
7:04.0,Shooting foul by D. Mitchell (drawn by A. Rivers),,55-74,,
7:04.0,A. Rivers misses free throw 1 of 2,,55-74,,
7:04.0,Offensive rebound by Team,,55-74,,
7:04.0,A. Rivers makes free throw 2 of 2,1,56-74,,
6:49.0,,,56-76,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
6:32.0,L. Williams misses 2-pt shot from 16 ft,,56-76,,
6:30.0,Offensive rebound by D. Jordan,,56-76,,
6:29.0,A. Rivers misses 3-pt shot from 25 ft,,56-76,,
6:26.0,,,56-76,,Defensive rebound by R. Gobert
6:15.0,,,56-76,,J. Ingles misses 3-pt shot from 23 ft
6:11.0,Defensive rebound by T. Harris,,56-76,,
6:06.0,Turnover by T. Harris (bad pass; steal by D. Mitchell),,56-76,,
6:00.0,,,56-78,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Gobert)
5:41.0,T. Harris misses 2-pt shot from 12 ft,,56-78,,
5:40.0,Offensive rebound by Team,,56-78,,
5:40.0,,,56-78,,J. Jerebko enters the game for D. Favors
5:35.0,Turnover by L. Williams (step out of bounds),,56-78,,
5:22.0,,,56-78,,D. Mitchell misses 2-pt shot from 11 ft
5:17.0,,,56-78,,Offensive rebound by D. Mitchell
5:17.0,,,56-80,2,D. Mitchell makes 2-pt shot at rim
5:08.0,T. Wallace makes 2-pt shot from 17 ft,2,58-80,,
5:00.0,Personal foul by T. Wallace (drawn by J. Ingles),,58-80,,
5:00.0,,,58-80,,J. Ingles misses free throw 1 of 2
5:00.0,,,58-80,,Offensive rebound by Team
5:00.0,,,58-81,1,J. Ingles makes free throw 2 of 2
4:43.0,L. Williams makes 2-pt shot from 2 ft (assist by D. Jordan),2,60-81,,
4:25.0,Personal foul by L. Williams (drawn by R. O'Neale),,60-81,,
4:25.0,,,60-82,1,R. O'Neale makes free throw 1 of 2
4:25.0,,,60-82,,D. Exum enters the game for J. Ingles
4:25.0,,,60-82,,R. O'Neale misses free throw 2 of 2
4:22.0,Defensive rebound by T. Wallace,,60-82,,
4:17.0,T. Harris misses 3-pt shot from 26 ft,,60-82,,
4:14.0,,,60-82,,Defensive rebound by R. Gobert
4:08.0,,,60-82,,D. Mitchell misses 2-pt shot from 3 ft
4:07.0,,,60-82,,Offensive rebound by R. Gobert
4:07.0,,,60-84,2,R. Gobert makes 2-pt shot at rim
4:07.0,LA Clippers full timeout,,60-84,,
4:07.0,W. Johnson enters the game for D. Jordan,,60-84,,
3:52.0,T. Wallace makes 2-pt shot from 4 ft (assist by L. Williams),2,62-84,,
3:36.0,,,62-86,2,J. Jerebko makes 2-pt shot from 6 ft (assist by D. Mitchell)
3:14.0,T. Wallace misses 3-pt shot from 23 ft,,62-86,,
3:12.0,,,62-86,,Defensive rebound by R. Gobert
3:01.0,,,62-86,,D. Exum misses 2-pt shot from 3 ft
2:56.0,,,62-86,,Offensive rebound by R. Gobert
2:56.0,,,62-88,2,R. Gobert makes 2-pt shot at rim
2:34.0,W. Johnson misses 3-pt shot from 25 ft,,62-88,,
2:30.0,,,62-88,,Defensive rebound by R. O'Neale
2:22.0,,,62-88,,Turnover by D. Mitchell (bad pass; steal by T. Harris)
2:20.0,,,62-88,,Personal foul by D. Exum (drawn by L. Williams)
2:20.0,,,62-88,,A. Burks enters the game for R. Gobert
2:20.0,,,62-88,,D. Favors enters the game for D. Mitchell
2:20.0,S. Dekker enters the game for T. Wallace,,62-88,,
2:20.0,S. Thornwell enters the game for W. Johnson,,62-88,,
2:07.0,T. Harris misses 2-pt shot from 3 ft,,62-88,,
2:01.0,Offensive rebound by S. Dekker,,62-88,,
2:01.0,S. Dekker makes 2-pt shot at rim,2,64-88,,
1:42.0,,,64-88,,D. Favors misses 2-pt shot from 16 ft
1:41.0,,,64-88,,Offensive rebound by Team
1:41.0,Loose ball foul by S. Dekker (drawn by J. Jerebko),,64-88,,
1:41.0,,,64-89,1,J. Jerebko makes free throw 1 of 2
1:41.0,,,64-90,1,J. Jerebko makes free throw 2 of 2
1:18.0,T. Harris misses 2-pt shot from 9 ft,,64-90,,
1:17.0,Offensive rebound by S. Thornwell,,64-90,,
1:16.0,Turnover by S. Thornwell (bad pass),,64-90,,
1:01.0,,,64-92,2,D. Favors makes 2-pt shot at rim (assist by D. Exum)
0:45.0,A. Rivers makes 3-pt shot from 25 ft,3,67-92,,
0:35.0,,,67-92,,Shooting foul by S. Thornwell (drawn by D. Exum)
0:35.0,,,67-92,,D. Exum misses free throw 1 of 2
0:35.0,,,67-92,,Offensive rebound by Team
0:35.0,,,67-92,,D. Exum misses free throw 2 of 2
0:33.0,Defensive rebound by T. Harris,,67-92,,
0:27.0,L. Williams misses 2-pt shot from 9 ft,,67-92,,
0:22.0,Offensive rebound by S. Dekker,,67-92,,
0:22.0,S. Dekker misses 2-pt shot at rim,,67-92,,
0:21.0,,,67-92,,Defensive rebound by A. Burks
0:00.0,,,67-94,2,R. O'Neale makes 2-pt shot from 1 ft (assist by D. Exum)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,67-94,,D. Exum misses 2-pt shot from 5 ft
11:37.0,,,67-94,,Offensive rebound by D. Exum
11:20.0,,,67-94,,Turnover by J. Jerebko (lost ball; steal by B. Marjanovic)
11:13.0,,,67-94,,Personal foul by D. Exum (drawn by B. Marjanovic)
10:56.0,Turnover by T. Wallace (lost ball; steal by J. Jerebko),,67-94,,
10:40.0,,,67-97,3,A. Burks makes 3-pt shot from 24 ft
10:39.0,LA Clippers full timeout,,67-97,,
10:22.0,C. Williams makes 2-pt shot from 19 ft,2,69-97,,
10:06.0,,,69-97,,D. Exum misses 2-pt shot from 2 ft
10:04.0,Defensive rebound by B. Marjanovic,,69-97,,
10:03.0,,,69-97,,Personal foul by J. Jerebko (drawn by T. Wallace)
9:52.0,M. Harrell makes 2-pt shot from 6 ft (assist by C. Williams),2,71-97,,
9:38.0,,,71-99,2,D. Favors makes 2-pt shot from 8 ft (assist by D. Exum)
9:16.0,M. Harrell makes 2-pt shot from 1 ft (assist by T. Wallace),2,73-99,,
8:59.0,,,73-101,2,D. Favors makes 2-pt shot from 16 ft (assist by D. Exum)
8:39.0,B. Marjanovic misses 2-pt shot from 4 ft,,73-101,,
8:37.0,,,73-101,,Defensive rebound by A. Burks
8:36.0,Personal foul by B. Marjanovic (drawn by D. Favors),,73-101,,
8:36.0,,,73-101,,R. O'Neale enters the game for D. Exum
8:19.0,,,73-101,,Turnover by R. O'Neale (bad pass; steal by C. Williams)
8:15.0,S. Dekker makes 2-pt shot from 1 ft (assist by C. Williams),2,75-101,,
7:58.0,,,75-101,,D. Favors misses 2-pt shot from 9 ft
7:55.0,Defensive rebound by B. Marjanovic,,75-101,,
7:42.0,M. Harrell makes 2-pt shot from 1 ft,2,77-101,,
7:25.0,,,77-101,,Turnover by J. Ingles (bad pass)
7:10.0,M. Harrell makes 2-pt shot from 7 ft,2,79-101,,
7:10.0,Shooting foul by J. Jerebko (drawn by M. Harrell),,79-101,,
7:10.0,,,79-101,,D. Exum enters the game for J. Jerebko
7:10.0,,,79-101,,E. Udoh enters the game for A. Burks
7:10.0,M. Harrell misses free throw 1 of 1,,79-101,,
7:10.0,,,79-101,,Defensive rebound by R. O'Neale
6:49.0,,,79-103,2,D. Favors makes 2-pt shot from 12 ft (assist by J. Ingles)
6:34.0,,,79-103,,Violation by D. Exum (kicked ball)
6:30.0,Shooting foul by E. Udoh (drawn by B. Marjanovic),,79-103,,
6:30.0,B. Marjanovic makes free throw 1 of 2,1,80-103,,
6:30.0,B. Marjanovic makes free throw 2 of 2,1,81-103,,
6:13.0,,,81-105,2,J. Ingles makes 2-pt shot from 14 ft
5:57.0,S. Dekker misses 2-pt shot from 4 ft (block by E. Udoh),,81-105,,
5:57.0,Offensive rebound by Team,,81-105,,
5:56.0,Shooting foul by E. Udoh (drawn by M. Harrell),,81-105,,
5:56.0,M. Harrell makes free throw 1 of 2,1,82-105,,
