time,LA Lakers,pts.away,score,pts.home,Orlando
5:58.0,,,12-11,,Defensive rebound by E. Payton
5:46.0,,,12-13,2,M. Speights makes 2-pt shot from 16 ft (assist by B. Biyombo)
5:24.0,A. Caruso misses 3-pt shot from 25 ft,,12-13,,
5:21.0,,,12-13,,Defensive rebound by E. Fournier
5:18.0,,,12-15,2,E. Payton makes 2-pt shot at rim (assist by E. Fournier)
4:58.0,B. Lopez misses 3-pt shot from 24 ft,,12-15,,
4:54.0,,,12-15,,Defensive rebound by B. Biyombo
4:48.0,,,12-18,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
4:46.0,LA Lakers full timeout,,12-18,,
4:46.0,,,12-18,,M. Hezonja enters the game for M. Speights
4:46.0,K. Kuzma enters the game for B. Lopez,,12-18,,
4:31.0,,,12-18,,Personal foul by M. Hezonja (drawn by B. Ingram)
4:27.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Ingram),2,14-18,,
4:12.0,,,14-20,2,J. Simmons makes 2-pt shot from 18 ft
3:54.0,A. Caruso makes 2-pt shot from 2 ft (assist by B. Ingram),2,16-20,,
3:54.0,,,16-20,,Violation by B. Biyombo (def goaltending)
3:39.0,,,16-20,,J. Simmons misses 2-pt shot from 12 ft
3:36.0,Defensive rebound by K. Kuzma,,16-20,,
3:33.0,K. Kuzma misses 2-pt shot from 19 ft,,16-20,,
3:28.0,,,16-20,,Defensive rebound by E. Payton
3:20.0,Personal foul by K. Caldwell-Pope (drawn by B. Biyombo),,16-20,,
3:20.0,,,16-20,,B. Biyombo misses free throw 1 of 2
3:20.0,,,16-20,,Offensive rebound by Team
3:20.0,,,16-21,1,B. Biyombo makes free throw 2 of 2
3:01.0,B. Ingram misses 2-pt shot from 21 ft,,16-21,,
2:56.0,Offensive rebound by A. Caruso,,16-21,,
2:52.0,Turnover by A. Caruso (bad pass; steal by E. Fournier),,16-21,,
2:48.0,,,16-23,2,M. Hezonja makes 2-pt shot from 3 ft (assist by E. Fournier)
2:31.0,K. Kuzma makes 2-pt shot from 1 ft,2,18-23,,
2:14.0,,,18-23,,M. Hezonja misses 2-pt shot from 6 ft
2:11.0,Defensive rebound by J. Randle,,18-23,,
2:06.0,J. Randle makes 2-pt shot from 1 ft,2,20-23,,
1:53.0,,,20-23,,Shooting foul by J. Randle (drawn by J. Simmons)
1:53.0,,,20-24,1,J. Simmons makes free throw 1 of 2
1:53.0,,,20-24,,D. Augustin enters the game for E. Payton
1:53.0,,,20-24,,K. Birch enters the game for B. Biyombo
1:53.0,J. Clarkson enters the game for K. Caldwell-Pope,,20-24,,
1:53.0,L. Nance enters the game for J. Randle,,20-24,,
1:53.0,,,20-25,1,J. Simmons makes free throw 2 of 2
1:29.0,Turnover by A. Caruso (bad pass; steal by D. Augustin),,20-25,,
1:13.0,,,20-27,2,J. Simmons makes 2-pt shot from 1 ft (assist by M. Hezonja)
1:07.0,,,20-27,,Personal foul by J. Simmons (drawn by K. Kuzma)
1:07.0,,,20-27,,S. Mack enters the game for J. Simmons
1:02.0,J. Clarkson makes 3-pt shot from 25 ft (assist by A. Caruso),3,23-27,,
0:49.0,,,23-27,,E. Fournier misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by J. Clarkson,,23-27,,
0:40.0,J. Clarkson misses 3-pt shot from 25 ft,,23-27,,
0:37.0,,,23-27,,Defensive rebound by D. Augustin
0:31.0,,,23-29,2,D. Augustin makes 2-pt shot from 1 ft
0:17.0,K. Kuzma makes 2-pt shot from 1 ft,2,25-29,,
0:00.0,,,25-29,,D. Augustin misses 2-pt shot from 13 ft
0:00.0,Defensive rebound by B. Ingram,,25-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Caruso misses 2-pt shot from 13 ft,,25-29,,
11:37.0,,,25-29,,Defensive rebound by K. Birch
11:25.0,,,25-32,3,D. Augustin makes 3-pt shot from 22 ft (assist by S. Mack)
11:12.0,K. Kuzma misses 2-pt shot from 7 ft,,25-32,,
11:04.0,Offensive rebound by L. Nance,,25-32,,
10:54.0,L. Nance makes 2-pt shot at rim,2,27-32,,
10:50.0,,,27-35,3,M. Hezonja makes 3-pt shot from 28 ft (assist by S. Mack)
10:27.0,J. Clarkson misses 2-pt shot from 19 ft,,27-35,,
10:27.0,,,27-35,,Defensive rebound by D. Augustin
10:21.0,,,27-35,,D. Augustin misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by C. Brewer,,27-35,,
10:12.0,J. Clarkson misses 2-pt shot from 2 ft (block by W. Iwundu),,27-35,,
10:12.0,,,27-35,,Defensive rebound by D. Augustin
10:06.0,,,27-35,,Turnover by K. Birch (bad pass; steal by L. Nance)
9:59.0,K. Kuzma misses 2-pt shot from 2 ft,,27-35,,
9:59.0,Offensive rebound by Team,,27-35,,
9:45.0,Jump ball: K. Birch vs. L. Nance (A. Caruso gains possession),,,,Jump ball: K. Birch vs. L. Nance (A. Caruso gains possession)
9:41.0,A. Caruso misses 3-pt shot from 26 ft,,27-35,,
9:41.0,,,27-35,,Defensive rebound by W. Iwundu
9:30.0,,,27-35,,Turnover by S. Mack (bad pass; steal by L. Nance)
9:23.0,K. Kuzma makes 2-pt shot from 3 ft (assist by J. Clarkson),2,29-35,,
9:07.0,,,29-35,,S. Mack misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by J. Clarkson,,29-35,,
8:58.0,K. Kuzma misses 2-pt shot from 15 ft,,29-35,,
8:55.0,Offensive rebound by L. Nance,,29-35,,
8:47.0,Turnover by J. Clarkson (bad pass; steal by M. Hezonja),,29-35,,
8:44.0,,,29-37,2,W. Iwundu makes 2-pt shot from 3 ft (assist by M. Hezonja)
8:44.0,Violation by K. Kuzma (def goaltending),,29-37,,
8:28.0,Shooting foul by K. Birch (drawn by L. Nance),,29-37,,
8:28.0,L. Nance makes free throw 1 of 2,1,30-37,,
8:28.0,L. Nance makes free throw 2 of 2,1,31-37,,
8:12.0,,,31-39,2,K. Birch makes 2-pt shot from 3 ft (assist by S. Mack)
8:02.0,K. Kuzma makes 2-pt shot from 12 ft,2,33-39,,
7:48.0,,,33-41,2,S. Mack makes 2-pt shot from 10 ft
7:48.0,,,33-41,,Shooting foul by A. Caruso (drawn by S. Mack)
7:48.0,,,33-42,1,S. Mack makes free throw 1 of 1
7:37.0,J. Clarkson misses 3-pt shot from 25 ft,,33-42,,
7:35.0,,,33-42,,Defensive rebound by M. Hezonja
7:16.0,,,33-42,,D. Augustin misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by A. Caruso,,33-42,,
7:11.0,Turnover by K. Kuzma (lost ball; steal by D. Augustin),,33-42,,
7:06.0,,,33-44,2,D. Augustin makes 2-pt shot from 1 ft
7:06.0,LA Lakers full timeout,,33-44,,
7:06.0,K. Caldwell-Pope enters the game for A. Caruso,,33-44,,
6:55.0,Turnover by C. Brewer (bad pass; steal by W. Iwundu),,33-44,,
6:41.0,,,33-44,,Offensive foul by K. Birch (drawn by K. Caldwell-Pope)
6:41.0,,,33-44,,Turnover by K. Birch (offensive foul)
6:26.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Clarkson),2,35-44,,
6:09.0,,,35-44,,K. Birch misses 2-pt shot from 1 ft
6:07.0,Defensive rebound by C. Brewer,,35-44,,
6:05.0,Shooting foul by W. Iwundu (drawn by C. Brewer),,35-44,,
6:05.0,C. Brewer misses free throw 1 of 2,,35-44,,
6:05.0,Offensive rebound by Team,,35-44,,
6:05.0,C. Brewer makes free throw 2 of 2,1,36-44,,
6:00.0,,,36-44,,Shooting foul by K. Caldwell-Pope (drawn by S. Mack)
6:00.0,,,36-45,1,S. Mack makes free throw 1 of 2
6:00.0,,,36-46,1,S. Mack makes free throw 2 of 2
5:49.0,K. Kuzma misses 3-pt shot from 25 ft,,36-46,,
5:45.0,,,36-46,,Defensive rebound by M. Hezonja
5:39.0,,,36-46,,M. Hezonja misses 2-pt shot from 13 ft
5:34.0,,,36-46,,Offensive rebound by W. Iwundu
5:25.0,,,36-46,,Turnover by W. Iwundu (bad pass; steal by C. Brewer)
5:24.0,Turnover by C. Brewer (bad pass),,36-46,,
5:24.0,J. Randle enters the game for K. Kuzma,,36-46,,
5:24.0,B. Ingram enters the game for C. Brewer,,36-46,,
5:12.0,,,36-48,2,W. Iwundu makes 2-pt shot from 2 ft (assist by D. Augustin)
4:59.0,J. Clarkson makes 2-pt shot from 2 ft,2,38-48,,
4:46.0,,,38-48,,W. Iwundu misses 2-pt shot from 17 ft
4:43.0,Defensive rebound by J. Randle,,38-48,,
4:34.0,Turnover by J. Clarkson (bad pass),,38-48,,
4:34.0,,,38-48,,Orlando full timeout
4:34.0,,,38-48,,B. Biyombo enters the game for M. Hezonja
4:34.0,,,38-48,,M. Speights enters the game for K. Birch
4:16.0,,,38-48,,S. Mack misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by J. Clarkson,,38-48,,
3:59.0,J. Clarkson makes 2-pt shot from 19 ft,2,40-48,,
3:44.0,,,40-48,,D. Augustin misses 2-pt shot from 2 ft
3:43.0,Defensive rebound by J. Randle,,40-48,,
3:39.0,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Randle),3,43-48,,
3:33.0,,,43-48,,Orlando full timeout
3:33.0,,,43-48,,E. Fournier enters the game for S. Mack
3:33.0,,,43-48,,J. Simmons enters the game for D. Augustin
3:33.0,,,43-48,,E. Payton enters the game for W. Iwundu
3:20.0,,,43-48,,Shooting foul by L. Nance (drawn by M. Speights)
3:20.0,,,43-49,1,M. Speights makes free throw 1 of 2
3:20.0,,,43-50,1,M. Speights makes free throw 2 of 2
3:09.0,Shooting foul by B. Biyombo (drawn by J. Randle),,43-50,,
3:09.0,J. Randle makes free throw 1 of 2,1,44-50,,
3:09.0,J. Randle makes free throw 2 of 2,1,45-50,,
3:01.0,,,45-50,,Turnover by J. Simmons (bad pass)
2:38.0,J. Randle makes 2-pt shot from 5 ft,2,47-50,,
2:17.0,,,47-53,3,M. Speights makes 3-pt shot from 26 ft
1:50.0,B. Ingram misses 2-pt shot from 7 ft,,47-53,,
1:49.0,Offensive rebound by J. Randle,,47-53,,
1:49.0,Turnover by Team (shot clock),,47-53,,
1:34.0,,,47-53,,E. Fournier misses 2-pt shot from 21 ft
1:31.0,Defensive rebound by Team,,47-53,,
1:16.0,Turnover by J. Randle (bad pass),,47-53,,
1:08.0,,,47-56,3,M. Speights makes 3-pt shot from 26 ft (assist by E. Payton)
0:50.0,,,47-56,,Shooting block foul by M. Speights (drawn by B. Ingram)
0:50.0,B. Ingram makes free throw 1 of 2,1,48-56,,
0:50.0,,,48-56,,S. Mack enters the game for J. Simmons
0:50.0,B. Ingram makes free throw 2 of 2,1,49-56,,
0:32.0,,,49-58,2,M. Speights makes 2-pt shot from 12 ft
0:32.0,Violation by L. Nance (def goaltending),,49-58,,
0:08.0,J. Clarkson makes 2-pt shot from 14 ft,2,51-58,,
0:01.0,,,51-58,,E. Payton misses 2-pt shot from 13 ft
0:01.0,,,51-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,51-58,,Def 3 sec tech foul by M. Speights
11:48.0,K. Caldwell-Pope makes technical free throw,1,52-58,,
11:41.0,B. Lopez misses 2-pt shot from 13 ft,,52-58,,
11:39.0,,,52-58,,Defensive rebound by E. Payton
11:19.0,,,52-58,,M. Speights misses 2-pt shot from 18 ft
11:19.0,,,52-58,,Offensive rebound by M. Speights
11:11.0,,,52-61,3,E. Fournier makes 3-pt shot from 25 ft (assist by M. Speights)
10:59.0,Shooting foul by M. Speights (drawn by B. Lopez),,52-61,,
10:59.0,B. Lopez misses free throw 1 of 2,,52-61,,
10:59.0,Offensive rebound by Team,,52-61,,
10:59.0,B. Lopez makes free throw 2 of 2,1,53-61,,
10:50.0,,,53-63,2,E. Fournier makes 2-pt shot from 19 ft
10:33.0,B. Lopez misses 2-pt shot from 9 ft,,53-63,,
10:30.0,,,53-63,,Defensive rebound by E. Payton
10:27.0,,,53-65,2,E. Payton makes 2-pt shot from 2 ft
10:27.0,,,53-65,,Shooting foul by T. Ennis (drawn by E. Payton)
10:27.0,LA Lakers full timeout,,53-65,,
10:27.0,,,53-65,,M. Hezonja enters the game for M. Speights
10:27.0,J. Clarkson enters the game for B. Ingram,,53-65,,
10:27.0,L. Nance enters the game for J. Randle,,53-65,,
10:27.0,C. Brewer enters the game for T. Ennis,,53-65,,
10:27.0,A. Caruso enters the game for B. Lopez,,53-65,,
10:27.0,,,53-66,1,E. Payton makes free throw 1 of 1
10:27.0,K. Kuzma enters the game for K. Caldwell-Pope,,53-66,,
10:13.0,A. Caruso misses 2-pt shot from 1 ft,,53-66,,
10:10.0,,,53-66,,Defensive rebound by E. Payton
10:06.0,,,53-66,,E. Fournier misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by C. Brewer,,53-66,,
9:58.0,C. Brewer misses 2-pt shot from 3 ft,,53-66,,
9:55.0,Offensive rebound by L. Nance,,53-66,,
9:51.0,L. Nance makes 2-pt shot from 1 ft,2,55-66,,
9:46.0,,,55-66,,Shooting foul by L. Nance (drawn by E. Payton)
9:46.0,,,55-67,1,E. Payton makes free throw 1 of 2
9:46.0,,,55-67,,E. Payton misses free throw 2 of 2
9:43.0,Defensive rebound by C. Brewer,,55-67,,
9:28.0,Turnover by J. Clarkson (bad pass; steal by E. Payton),,55-67,,
9:24.0,,,55-67,,Turnover by E. Payton (lost ball; steal by A. Caruso)
9:17.0,Turnover by A. Caruso (bad pass; steal by E. Payton),,55-67,,
9:07.0,,,55-70,3,M. Hezonja makes 3-pt shot from 26 ft (assist by E. Payton)
8:51.0,,,55-70,,Personal foul by E. Payton (drawn by A. Caruso)
8:51.0,B. Ingram enters the game for A. Caruso,,55-70,,
8:45.0,J. Clarkson misses 2-pt shot from 13 ft,,55-70,,
8:41.0,Offensive rebound by J. Clarkson,,55-70,,
8:39.0,J. Clarkson makes 2-pt shot from 2 ft,2,57-70,,
8:18.0,,,57-73,3,E. Fournier makes 3-pt shot from 24 ft (assist by M. Hezonja)
7:56.0,B. Ingram makes 2-pt shot from 5 ft,2,59-73,,
7:43.0,,,59-76,3,E. Fournier makes 3-pt shot from 25 ft (assist by J. Simmons)
7:33.0,Shooting foul by M. Hezonja (drawn by K. Kuzma),,59-76,,
7:33.0,K. Kuzma makes free throw 1 of 2,1,60-76,,
7:33.0,K. Kuzma misses free throw 2 of 2,,60-76,,
7:31.0,,,60-76,,Defensive rebound by B. Biyombo
7:08.0,,,60-76,,M. Hezonja misses 3-pt shot from 26 ft
7:06.0,Defensive rebound by B. Ingram,,60-76,,
7:06.0,,,60-76,,Personal foul by B. Biyombo (drawn by B. Ingram)
6:50.0,J. Clarkson makes 2-pt shot from 8 ft,2,62-76,,
6:37.0,,,62-76,,E. Payton misses 2-pt shot from 19 ft
6:34.0,Defensive rebound by B. Ingram,,62-76,,
6:31.0,L. Nance makes 2-pt shot from 1 ft (assist by B. Ingram),2,64-76,,
6:31.0,,,64-76,,Orlando full timeout
6:16.0,,,64-76,,J. Simmons misses 2-pt shot from 1 ft
6:14.0,Defensive rebound by K. Kuzma,,64-76,,
6:04.0,Turnover by B. Ingram (lost ball; steal by E. Payton),,64-76,,
5:50.0,,,64-79,3,E. Fournier makes 3-pt shot from 23 ft (assist by J. Simmons)
5:34.0,K. Kuzma misses 3-pt shot from 22 ft,,64-79,,
5:32.0,,,64-79,,Defensive rebound by B. Biyombo
5:24.0,Violation by C. Brewer (kicked ball),,64-79,,
5:15.0,,,64-79,,J. Simmons misses 2-pt shot from 15 ft
5:12.0,Defensive rebound by K. Kuzma,,64-79,,
5:06.0,C. Brewer makes 2-pt shot from 2 ft,2,66-79,,
4:51.0,,,66-79,,Offensive foul by B. Biyombo (drawn by J. Clarkson)
4:51.0,,,66-79,,Turnover by B. Biyombo (offensive foul)
4:35.0,B. Ingram makes 2-pt shot from 14 ft,2,68-79,,
4:25.0,,,68-81,2,E. Payton makes 2-pt shot from 2 ft
4:13.0,J. Clarkson misses 2-pt shot from 14 ft,,68-81,,
4:12.0,,,68-81,,Defensive rebound by B. Biyombo
4:10.0,,,68-81,,Turnover by E. Payton (bad pass)
4:10.0,,,68-81,,M. Speights enters the game for B. Biyombo
4:10.0,J. Randle enters the game for L. Nance,,68-81,,
3:54.0,B. Ingram misses 2-pt shot from 17 ft,,68-81,,
3:52.0,,,68-81,,Defensive rebound by M. Speights
3:42.0,,,68-84,3,J. Simmons makes 3-pt shot from 25 ft (assist by E. Payton)
3:30.0,Shooting foul by E. Payton (drawn by J. Clarkson),,68-84,,
3:30.0,J. Clarkson makes free throw 1 of 2,1,69-84,,
3:30.0,K. Caldwell-Pope enters the game for C. Brewer,,69-84,,
3:30.0,J. Clarkson makes free throw 2 of 2,1,70-84,,
3:19.0,,,70-86,2,E. Payton makes 2-pt shot from 6 ft
3:01.0,Shooting foul by M. Speights (drawn by J. Randle),,70-86,,
3:01.0,J. Randle misses free throw 1 of 2,,70-86,,
3:01.0,Offensive rebound by Team,,70-86,,
3:01.0,J. Randle makes free throw 2 of 2,1,71-86,,
2:48.0,,,71-89,3,J. Simmons makes 3-pt shot from 24 ft (assist by E. Payton)
2:33.0,,,71-89,,Personal foul by E. Payton (drawn by J. Clarkson)
2:33.0,J. Clarkson makes free throw 1 of 2,1,72-89,,
2:33.0,J. Clarkson makes free throw 2 of 2,1,73-89,,
2:23.0,,,73-89,,E. Payton misses 2-pt shot from 2 ft (block by J. Clarkson)
2:18.0,Defensive rebound by J. Clarkson,,73-89,,
2:17.0,B. Ingram misses 2-pt shot from 4 ft (block by J. Simmons),,73-89,,
2:16.0,Jump ball: J. Simmons vs. B. Ingram,,,,Jump ball: J. Simmons vs. B. Ingram
2:16.0,,,73-89,,Offensive rebound by Team
2:04.0,,,73-91,2,M. Speights makes 2-pt shot from 19 ft (assist by E. Payton)
1:53.0,Shooting foul by E. Fournier (drawn by J. Randle),,73-91,,
1:53.0,J. Randle makes free throw 1 of 2,1,74-91,,
1:53.0,J. Randle makes free throw 2 of 2,1,75-91,,
1:53.0,,,75-91,,D. Augustin enters the game for E. Payton
1:53.0,,,75-91,,S. Mack enters the game for J. Simmons
1:53.0,J. Hart enters the game for B. Ingram,,75-91,,
1:35.0,,,75-94,3,M. Speights makes 3-pt shot from 26 ft (assist by S. Mack)
1:33.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Augustin),,75-94,,
1:30.0,,,75-94,,Turnover by D. Augustin (lost ball; steal by J. Clarkson)
1:15.0,K. Kuzma makes 2-pt shot from 17 ft (assist by J. Hart),2,77-94,,
0:58.0,,,77-97,3,M. Hezonja makes 3-pt shot from 25 ft (assist by E. Fournier)
0:53.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson),2,79-97,,
0:45.0,,,79-97,,Shooting foul by J. Randle (drawn by M. Speights)
0:45.0,,,79-98,1,M. Speights makes free throw 1 of 3
0:45.0,,,79-98,,M. Speights misses free throw 2 of 3
0:45.0,,,79-98,,Offensive rebound by Team
0:45.0,,,79-98,,W. Iwundu enters the game for M. Hezonja
0:45.0,,,79-99,1,M. Speights makes free throw 3 of 3
0:42.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,79-99,,
0:41.0,Offensive rebound by J. Randle,,79-99,,
0:41.0,J. Randle makes 2-pt shot at rim,2,81-99,,
0:30.0,,,81-99,,D. Augustin misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by J. Randle,,81-99,,
0:05.0,J. Clarkson misses 3-pt shot from 25 ft,,81-99,,
0:04.0,,,81-99,,Defensive rebound by M. Speights
0:04.0,Loose ball foul by J. Randle (drawn by M. Speights),,81-99,,
0:04.0,,,81-100,1,M. Speights makes free throw 1 of 2
0:04.0,,,81-100,,E. Payton enters the game for E. Fournier
0:04.0,,,81-101,1,M. Speights makes free throw 2 of 2
0:02.0,Turnover by J. Randle (bad pass; steal by S. Mack),,81-101,,
0:00.0,,,81-101,,M. Speights misses 3-pt shot from 38 ft
0:00.0,,,81-101,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,81-101,,M. Speights misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by J. Randle,,81-101,,
11:32.0,,,81-101,,Personal foul by E. Payton (drawn by L. Nance)
11:32.0,,,81-101,,B. Biyombo enters the game for E. Payton
11:20.0,K. Caldwell-Pope misses 2-pt shot from 18 ft (block by W. Iwundu),,81-101,,
11:17.0,,,81-101,,Defensive rebound by S. Mack
11:04.0,,,81-101,,S. Mack misses 2-pt shot from 1 ft
11:00.0,,,81-101,,Offensive rebound by D. Augustin
10:57.0,,,81-101,,S. Mack misses 3-pt shot from 23 ft
10:54.0,,,81-101,,Offensive rebound by W. Iwundu
10:37.0,,,81-103,2,D. Augustin makes 2-pt shot from 2 ft
10:24.0,L. Nance misses 2-pt shot from 21 ft,,81-103,,
10:21.0,,,81-103,,Defensive rebound by B. Biyombo
10:00.0,,,81-105,2,W. Iwundu makes 2-pt shot from 1 ft
9:51.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,81-105,,
9:48.0,,,81-105,,Defensive rebound by W. Iwundu
9:32.0,,,81-108,3,D. Augustin makes 3-pt shot from 26 ft (assist by S. Mack)
9:07.0,Turnover by B. Ingram (bad pass; steal by S. Mack),,81-108,,
9:04.0,,,81-108,,Shooting foul by K. Caldwell-Pope (drawn by S. Mack)
9:04.0,,,81-109,1,S. Mack makes free throw 1 of 2
9:04.0,,,81-110,1,S. Mack makes free throw 2 of 2
8:44.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,81-110,,
8:44.0,,,81-110,,Defensive rebound by Team
8:33.0,,,81-110,,Turnover by D. Augustin (lost ball; steal by K. Caldwell-Pope)
8:30.0,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,83-110,,
8:30.0,Shooting foul by M. Speights (drawn by J. Randle),,83-110,,
8:30.0,J. Randle makes free throw 1 of 1,1,84-110,,
8:10.0,,,84-110,,B. Biyombo misses 2-pt shot from 14 ft
8:08.0,Defensive rebound by J. Randle,,84-110,,
8:05.0,Turnover by J. Randle (lost ball; steal by W. Iwundu),,84-110,,
8:03.0,Personal foul by L. Nance (drawn by W. Iwundu),,84-110,,
7:44.0,,,84-112,2,S. Mack makes 2-pt shot from 2 ft
7:33.0,J. Hart misses 3-pt shot from 25 ft,,84-112,,
7:30.0,Offensive rebound by K. Caldwell-Pope,,84-112,,
7:21.0,T. Bryant enters the game for L. Nance,,84-112,,
7:13.0,B. Ingram makes 2-pt shot from 1 ft (assist by T. Bryant),2,86-112,,
6:52.0,,,86-114,2,B. Biyombo makes 2-pt shot from 1 ft (assist by D. Augustin)
6:40.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,88-114,,
6:31.0,,,88-114,,Shooting foul by B. Ingram (drawn by B. Biyombo)
6:31.0,,,88-114,,Orlando full timeout
6:31.0,,,88-114,,A. Afflalo enters the game for M. Speights
6:31.0,K. Kuzma enters the game for J. Randle,,88-114,,
