time,Atlanta,pts.away,score,pts.home,Denver
3:44.0,M. Belinelli enters the game for T. Dorsey,,48-39,,
3:22.0,K. Bazemore misses 3-pt shot from 25 ft,,48-39,,
3:18.0,,,48-39,,Defensive rebound by N. Jokic
3:13.0,,,48-41,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
2:57.0,Turnover by E. Ilyasova (lost ball; steal by W. Chandler),,48-41,,
2:51.0,,,48-41,,N. Jokic misses 2-pt shot at rim
2:50.0,,,48-41,,Offensive rebound by N. Jokic
2:50.0,,,48-41,,N. Jokic misses 2-pt shot at rim
2:48.0,,,48-41,,Offensive rebound by N. Jokic
2:47.0,,,48-41,,N. Jokic misses 2-pt shot at rim
2:45.0,,,48-41,,Offensive rebound by N. Jokic
2:44.0,,,48-43,2,N. Jokic makes 2-pt shot from 2 ft
2:42.0,Atlanta full timeout,,48-43,,
2:42.0,T. Waller-Prince enters the game for E. Ilyasova,,48-43,,
2:42.0,D. Dedmon enters the game for K. Bazemore,,48-43,,
2:30.0,J. Collins makes 2-pt shot from 10 ft (assist by D. Schroder),2,50-43,,
2:12.0,,,50-43,,N. Jokic misses 2-pt shot from 2 ft
2:10.0,Defensive rebound by D. Dedmon,,50-43,,
2:05.0,Turnover by T. Waller-Prince (lost ball; steal by W. Barton),,50-43,,
2:04.0,Personal foul by T. Waller-Prince (drawn by W. Barton),,50-43,,
1:44.0,,,50-43,,J. Murray misses 3-pt shot from 24 ft
1:40.0,,,50-43,,Offensive rebound by N. Jokic
1:36.0,,,50-46,3,W. Barton makes 3-pt shot from 24 ft (assist by W. Chandler)
1:10.0,D. Schroder makes 2-pt shot from 3 ft,2,52-46,,
1:00.0,,,52-46,,N. Jokic misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by D. Dedmon,,52-46,,
0:37.0,M. Belinelli misses 3-pt shot from 26 ft,,52-46,,
0:34.0,,,52-46,,Defensive rebound by W. Chandler
0:28.0,,,52-46,,Turnover by W. Barton (bad pass)
0:08.0,D. Schroder makes 2-pt shot from 3 ft,2,54-46,,
0:08.0,,,54-46,,Violation by W. Barton (def goaltending)
0:02.0,,,54-46,,W. Barton misses 2-pt shot from 9 ft
0:02.0,Defensive rebound by T. Waller-Prince,,54-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Shooting foul by J. Murray (drawn by E. Ilyasova),,54-46,,
11:50.0,E. Ilyasova makes free throw 1 of 2,1,55-46,,
11:50.0,E. Ilyasova makes free throw 2 of 2,1,56-46,,
11:37.0,,,56-48,2,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Harris)
11:20.0,Turnover by T. Waller-Prince (bad pass; steal by M. Plumlee),,56-48,,
11:13.0,Shooting block foul by E. Ilyasova (drawn by G. Harris),,56-48,,
11:13.0,,,56-49,1,G. Harris makes free throw 1 of 2
11:13.0,,,56-49,,G. Harris misses free throw 2 of 2
11:10.0,Defensive rebound by E. Ilyasova,,56-49,,
10:52.0,M. Plumlee misses 2-pt shot from 3 ft,,56-49,,
10:50.0,,,56-49,,Defensive rebound by N. Jokic
10:45.0,,,56-49,,J. Murray misses 3-pt shot from 24 ft
10:43.0,,,56-49,,Offensive rebound by Team
10:43.0,Loose ball foul by E. Ilyasova (drawn by M. Plumlee),,56-49,,
10:27.0,,,56-51,2,J. Murray makes 2-pt shot from 1 ft (assist by M. Plumlee)
10:16.0,Turnover by D. Schroder (bad pass; steal by M. Plumlee),,56-51,,
10:11.0,,,56-53,2,G. Harris makes 2-pt shot at rim (assist by W. Chandler)
10:11.0,Atlanta full timeout,,56-53,,
9:58.0,T. Waller-Prince misses 3-pt shot from 23 ft,,56-53,,
9:52.0,Offensive rebound by M. Plumlee,,56-53,,
9:52.0,M. Plumlee makes 2-pt shot at rim,2,58-53,,
9:39.0,,,58-53,,Turnover by J. Murray (traveling)
9:25.0,T. Waller-Prince makes 2-pt shot from 15 ft,2,60-53,,
9:23.0,,,60-53,,Away from play foul by M. Plumlee (drawn by M. Plumlee)
9:23.0,M. Plumlee makes free throw 1 of 1,1,61-53,,
9:10.0,Personal foul by E. Ilyasova (drawn by N. Jokic),,61-53,,
9:00.0,,,61-53,,W. Chandler misses 2-pt shot from 4 ft
8:57.0,Defensive rebound by K. Bazemore,,61-53,,
8:50.0,Turnover by T. Waller-Prince (bad pass; steal by N. Jokic),,61-53,,
8:33.0,,,61-53,,N. Jokic misses 2-pt shot from 15 ft
8:30.0,,,61-53,,Offensive rebound by W. Chandler
8:28.0,,,61-55,2,W. Chandler makes 2-pt shot from 1 ft
8:07.0,D. Schroder misses 2-pt shot from 3 ft,,61-55,,
8:07.0,,,61-55,,Defensive rebound by Team
8:07.0,Loose ball foul by M. Plumlee (drawn by N. Jokic),,61-55,,
7:52.0,,,61-57,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
7:43.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by D. Schroder),3,64-57,,
7:21.0,,,64-59,2,N. Jokic makes 2-pt shot from 5 ft
7:10.0,D. Schroder makes 2-pt shot from 2 ft,2,66-59,,
6:49.0,,,66-59,,J. Murray misses 2-pt shot from 11 ft
6:47.0,,,66-59,,Offensive rebound by M. Plumlee
6:40.0,,,66-59,,M. Plumlee misses 2-pt shot from 2 ft
6:37.0,Defensive rebound by K. Bazemore,,66-59,,
6:26.0,M. Plumlee misses 2-pt shot from 4 ft,,66-59,,
6:21.0,Offensive rebound by E. Ilyasova,,66-59,,
6:21.0,E. Ilyasova misses 2-pt shot at rim,,66-59,,
6:21.0,,,66-59,,Defensive rebound by N. Jokic
6:19.0,,,66-62,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
6:07.0,Atlanta full timeout,,66-62,,
6:07.0,,,66-62,,W. Barton enters the game for N. Jokic
6:07.0,,,66-62,,T. Lyles enters the game for W. Chandler
6:07.0,M. Belinelli enters the game for M. Plumlee,,66-62,,
6:07.0,D. Dedmon enters the game for K. Bazemore,,66-62,,
5:57.0,T. Waller-Prince misses 3-pt shot from 22 ft,,66-62,,
5:54.0,,,66-62,,Defensive rebound by G. Harris
5:34.0,,,66-64,2,G. Harris makes 2-pt shot from 3 ft (assist by J. Murray)
