time,New Orleans,pts.away,score,pts.home,Phoenix
8:45.0,J. Holiday enters the game for T. Allen,,42-23,,
8:27.0,,,42-25,2,M. James makes 2-pt shot from 12 ft
8:06.0,D. Miller misses 3-pt shot from 24 ft (block by T. Warren),,42-25,,
8:06.0,Offensive rebound by Team,,42-25,,
8:04.0,J. Holiday makes 3-pt shot from 25 ft (assist by J. Nelson),3,45-25,,
7:50.0,,,45-25,,M. James misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by D. Cunningham,,45-25,,
7:35.0,D. Cousins makes 2-pt shot from 9 ft,2,47-25,,
7:20.0,,,47-27,2,T. Chandler makes 2-pt shot from 2 ft (assist by T. Warren)
7:00.0,Turnover by D. Cousins (bad pass; steal by M. James),,47-27,,
6:51.0,,,47-29,2,M. James makes 2-pt shot from 1 ft
6:44.0,D. Miller makes 3-pt shot from 24 ft (assist by J. Nelson),3,50-29,,
6:31.0,,,50-31,2,D. Booker makes 2-pt shot from 19 ft
6:24.0,,,50-31,,Personal foul by G. Monroe (drawn by D. Cousins)
6:24.0,,,50-31,,T. Ulis enters the game for M. James
6:24.0,,,50-31,,J. Dudley enters the game for G. Monroe
6:24.0,R. Rondo enters the game for J. Nelson,,50-31,,
6:14.0,D. Cousins misses 2-pt shot at rim (block by T. Warren),,50-31,,
6:13.0,Offensive rebound by D. Cousins,,50-31,,
6:13.0,D. Miller makes 3-pt shot from 25 ft (assist by D. Cousins),3,53-31,,
6:13.0,Shooting foul by T. Ulis (drawn by D. Miller),,53-31,,
6:13.0,D. Miller makes free throw 1 of 1,1,54-31,,
6:00.0,Def 3 sec tech foul by D. Cousins,,54-31,,
6:00.0,,,54-32,1,D. Booker makes technical free throw
5:53.0,,,54-32,,T. Warren misses 2-pt shot from 20 ft
5:50.0,Defensive rebound by R. Rondo,,54-32,,
5:46.0,J. Holiday misses 3-pt shot from 24 ft,,54-32,,
5:44.0,,,54-32,,Defensive rebound by D. Booker
5:37.0,,,54-32,,Shooting foul by D. Miller (drawn by T. Warren)
5:37.0,,,54-33,1,T. Warren makes free throw 1 of 2
5:37.0,,,54-34,1,T. Warren makes free throw 2 of 2
5:13.0,D. Cunningham makes 3-pt shot from 24 ft (assist by R. Rondo),3,57-34,,
5:02.0,,,57-34,,D. Booker misses 3-pt shot from 26 ft
4:59.0,Defensive rebound by D. Miller,,57-34,,
4:49.0,D. Miller misses 3-pt shot from 24 ft,,57-34,,
4:45.0,,,57-34,,Defensive rebound by J. Dudley
4:41.0,,,57-34,,Turnover by D. Booker (lost ball; steal by J. Holiday)
4:36.0,D. Cunningham makes 2-pt shot at rim (assist by R. Rondo),2,59-34,,
4:23.0,,,59-34,,T. Ulis misses 2-pt shot from 8 ft
4:19.0,,,59-34,,Offensive rebound by T. Chandler
4:19.0,,,59-36,2,T. Chandler makes 2-pt shot at rim
4:04.0,J. Holiday makes 2-pt shot from 1 ft,2,61-36,,
3:53.0,,,61-36,,J. Dudley misses 2-pt shot from 17 ft
3:49.0,Defensive rebound by D. Miller,,61-36,,
3:36.0,R. Rondo makes 2-pt shot at rim,2,63-36,,
3:20.0,,,63-36,,J. Dudley misses 2-pt shot from 2 ft (block by R. Rondo)
3:17.0,Defensive rebound by D. Cunningham,,63-36,,
3:01.0,J. Holiday misses 2-pt shot at rim,,63-36,,
3:00.0,,,63-36,,Defensive rebound by D. Booker
3:00.0,Personal foul by R. Rondo (drawn by D. Booker),,63-36,,
2:50.0,,,63-36,,T. Warren misses 2-pt shot from 19 ft
2:47.0,Defensive rebound by D. Cousins,,63-36,,
2:27.0,Turnover by R. Rondo (discontinued dribble),,63-36,,
2:27.0,New Orleans full timeout,,63-36,,
2:27.0,E. Moore enters the game for D. Miller,,63-36,,
2:11.0,,,63-36,,D. Booker misses 2-pt shot from 7 ft (block by D. Cunningham)
2:06.0,Defensive rebound by D. Cunningham,,63-36,,
1:54.0,D. Cunningham makes 2-pt shot at rim (assist by R. Rondo),2,65-36,,
1:46.0,,,65-39,3,T. Ulis makes 3-pt shot from 25 ft
1:30.0,J. Holiday makes 3-pt shot from 24 ft (assist by R. Rondo),3,68-39,,
1:16.0,,,68-41,2,T. Warren makes 2-pt shot at rim (assist by T. Ulis)
1:16.0,,,68-41,,Shooting foul by R. Rondo (drawn by T. Warren)
1:16.0,A. Davis enters the game for D. Cousins,,68-41,,
1:16.0,,,68-42,1,T. Warren makes free throw 1 of 1
1:04.0,R. Rondo misses 2-pt shot from 20 ft,,68-42,,
1:01.0,,,68-42,,Defensive rebound by T. Chandler
0:55.0,,,68-42,,T. Ulis misses 2-pt shot from 7 ft (block by R. Rondo)
0:55.0,Defensive rebound by Team,,68-42,,
0:55.0,J. Nelson enters the game for R. Rondo,,68-42,,
0:37.0,A. Davis makes 2-pt shot from 16 ft (assist by J. Nelson),2,70-42,,
0:29.0,,,70-42,,Turnover by T. Warren (bad pass; steal by J. Holiday)
0:10.0,J. Holiday misses 2-pt shot at rim,,70-42,,
0:08.0,Offensive rebound by A. Davis,,70-42,,
0:08.0,A. Davis makes 2-pt shot at rim,2,72-42,,
0:05.0,,,72-42,,Turnover by D. Booker (bad pass)
0:00.0,J. Holiday misses 3-pt shot from 25 ft,,72-42,,
0:00.0,Offensive rebound by Team,,72-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,A. Davis makes technical free throw,1,73-42,,
11:45.0,,,73-44,2,T. Ulis makes 2-pt shot from 10 ft
11:27.0,A. Davis makes 2-pt shot at rim (assist by D. Cousins),2,75-44,,
11:05.0,,,75-44,,Turnover by T. Warren (lost ball; steal by J. Holiday)
10:56.0,R. Rondo misses 2-pt shot from 1 ft,,75-44,,
10:55.0,Offensive rebound by R. Rondo,,75-44,,
10:51.0,E. Moore misses 3-pt shot from 25 ft,,75-44,,
10:48.0,,,75-44,,Defensive rebound by G. Monroe
10:27.0,,,75-44,,Turnover by Team (shot clock)
10:03.0,J. Holiday misses 3-pt shot from 26 ft,,75-44,,
10:03.0,,,75-44,,Defensive rebound by T. Chandler
9:46.0,Personal foul by R. Rondo (drawn by G. Monroe),,75-44,,
9:34.0,,,75-44,,T. Ulis misses 2-pt shot from 14 ft
9:32.0,,,75-44,,Offensive rebound by T. Warren
9:32.0,,,75-46,2,T. Warren makes 2-pt shot at rim
9:32.0,New Orleans full timeout,,75-46,,
9:09.0,R. Rondo misses 2-pt shot from 16 ft,,75-46,,
9:06.0,,,75-46,,Defensive rebound by T. Chandler
8:51.0,,,75-46,,T. Warren misses 2-pt shot from 19 ft
8:48.0,,,75-46,,Offensive rebound by G. Monroe
8:41.0,,,75-48,2,D. Booker makes 2-pt shot from 14 ft
8:21.0,Turnover by D. Cousins (bad pass),,75-48,,
8:00.0,,,75-48,,T. Warren misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by D. Cousins,,75-48,,
7:49.0,A. Davis makes 2-pt shot from 20 ft (assist by D. Cousins),2,77-48,,
7:34.0,,,77-50,2,T. Ulis makes 2-pt shot from 17 ft
7:19.0,R. Rondo misses 3-pt shot from 23 ft,,77-50,,
7:16.0,,,77-50,,Defensive rebound by T. Chandler
7:07.0,,,77-50,,Turnover by G. Monroe (lost ball; steal by J. Holiday)
6:56.0,E. Moore makes 2-pt shot from 5 ft,2,79-50,,
6:41.0,,,79-50,,Turnover by T. Chandler (bad pass; steal by J. Holiday)
6:39.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,81-50,,
6:38.0,,,81-50,,Phoenix full timeout
6:38.0,,,81-50,,M. Chriss enters the game for G. Monroe
6:20.0,,,81-50,,T. Ulis misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by R. Rondo,,81-50,,
6:04.0,,,81-50,,Personal foul by T. Warren (drawn by A. Davis)
5:56.0,J. Holiday makes 2-pt shot from 19 ft,2,83-50,,
5:34.0,,,83-50,,Offensive foul by D. Booker (drawn by R. Rondo)
5:34.0,,,83-50,,Turnover by D. Booker (offensive foul)
5:34.0,,,83-50,,M. James enters the game for T. Ulis
5:24.0,E. Moore makes 2-pt shot at rim (assist by R. Rondo),2,85-50,,
5:17.0,,,85-52,2,T. Chandler makes 2-pt shot at rim (assist by M. James)
4:56.0,Turnover by D. Cousins (lost ball; steal by M. James),,85-52,,
4:52.0,,,85-54,2,T. Warren makes 2-pt shot at rim (assist by M. James)
4:38.0,Turnover by D. Cousins (bad pass; steal by T. Chandler),,85-54,,
4:33.0,,,85-56,2,T. Warren makes 2-pt shot at rim (assist by M. James)
4:25.0,E. Moore misses 2-pt shot from 2 ft (block by M. Chriss),,85-56,,
4:25.0,Offensive rebound by Team,,85-56,,
4:25.0,,,85-56,,T. Daniels enters the game for D. Booker
4:25.0,,,85-56,,J. Jackson enters the game for T. Warren
4:25.0,J. Nelson enters the game for R. Rondo,,85-56,,
4:23.0,J. Holiday misses 2-pt shot from 11 ft,,85-56,,
4:18.0,,,85-56,,Defensive rebound by M. James
4:08.0,,,85-56,,M. Chriss misses 3-pt shot from 22 ft
4:04.0,Defensive rebound by J. Nelson,,85-56,,
3:53.0,D. Cousins misses 3-pt shot from 25 ft,,85-56,,
3:50.0,,,85-56,,Defensive rebound by T. Daniels
3:47.0,,,85-58,2,J. Jackson makes 2-pt shot from 9 ft
3:26.0,J. Holiday makes 2-pt shot at rim (assist by D. Cousins),2,87-58,,
3:05.0,,,87-58,,M. James misses 2-pt shot from 12 ft
2:59.0,,,87-58,,Offensive rebound by T. Chandler
2:59.0,,,87-60,2,T. Chandler makes 2-pt shot at rim
2:54.0,A. Davis misses 2-pt shot at rim,,87-60,,
2:51.0,,,87-60,,Defensive rebound by T. Chandler
2:47.0,,,87-62,2,J. Jackson makes 2-pt shot from 23 ft
2:24.0,E. Moore misses 2-pt shot from 11 ft,,87-62,,
2:22.0,Offensive rebound by A. Davis,,87-62,,
2:15.0,Shooting foul by M. Chriss (drawn by A. Davis),,87-62,,
2:15.0,A. Davis makes free throw 1 of 2,1,88-62,,
2:15.0,,,88-62,,A. Len enters the game for T. Chandler
2:15.0,D. Miller enters the game for E. Moore,,88-62,,
2:15.0,A. Davis misses free throw 2 of 2,,88-62,,
2:12.0,,,88-62,,Defensive rebound by M. Chriss
2:07.0,,,88-62,,T. Daniels misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by D. Cousins,,88-62,,
1:58.0,Shooting foul by T. Daniels (drawn by J. Holiday),,88-62,,
1:58.0,J. Holiday makes free throw 1 of 2,1,89-62,,
1:58.0,D. Cunningham enters the game for A. Davis,,89-62,,
1:58.0,J. Holiday makes free throw 2 of 2,1,90-62,,
1:48.0,,,90-62,,M. James misses 2-pt shot from 2 ft
1:48.0,,,90-62,,Offensive rebound by A. Len
1:48.0,Personal foul by J. Nelson (drawn by A. Len),,90-62,,
1:48.0,T. Allen enters the game for J. Holiday,,90-62,,
1:35.0,,,90-62,,Turnover by M. James (lost ball; steal by J. Nelson)
1:22.0,J. Nelson misses 2-pt shot from 21 ft,,90-62,,
1:19.0,,,90-62,,Defensive rebound by J. Jackson
1:13.0,,,90-62,,J. Jackson misses 2-pt shot at rim
1:12.0,Defensive rebound by Team,,90-62,,
1:12.0,,,90-62,,Loose ball foul by A. Len (drawn by D. Cousins)
1:12.0,D. Cousins makes free throw 1 of 2,1,91-62,,
1:12.0,D. Cousins misses free throw 2 of 2,,91-62,,
1:10.0,,,91-62,,Defensive rebound by M. James
0:53.0,,,91-62,,M. James misses 2-pt shot from 21 ft
0:51.0,Defensive rebound by Team,,91-62,,
0:51.0,,,91-62,,Loose ball foul by A. Len (drawn by D. Cousins)
0:51.0,D. Cousins misses free throw 1 of 2,,91-62,,
0:51.0,Offensive rebound by Team,,91-62,,
0:51.0,D. Cousins makes free throw 2 of 2,1,92-62,,
0:34.0,,,92-62,,M. Chriss misses 2-pt shot from 4 ft
0:33.0,,,92-62,,Offensive rebound by M. Chriss
0:31.0,,,92-62,,M. Chriss misses 2-pt shot from 3 ft
0:31.0,Defensive rebound by D. Miller,,92-62,,
0:14.0,Shooting foul by T. Daniels (drawn by D. Cousins),,92-62,,
0:14.0,New Orleans full timeout,,92-62,,
0:14.0,D. Cousins makes free throw 1 of 2,1,93-62,,
0:14.0,D. Cousins makes free throw 2 of 2,1,94-62,,
0:03.0,,,94-62,,T. Daniels misses 3-pt shot from 22 ft
0:00.0,Defensive rebound by D. Miller,,94-62,,
0:00.0,D. Miller misses 3-pt shot from 67 ft,,94-62,,
0:00.0,Offensive rebound by Team,,94-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,T. Allen misses 2-pt shot from 2 ft (block by T. Warren),,94-62,,
11:42.0,Offensive rebound by Team,,94-62,,
11:38.0,O. Asik misses 2-pt shot from 19 ft,,94-62,,
11:34.0,Offensive rebound by T. Allen,,94-62,,
11:29.0,D. Miller misses 3-pt shot from 25 ft,,94-62,,
11:29.0,,,94-62,,Defensive rebound by A. Len
11:22.0,,,94-62,,D. Booker misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by J. Nelson,,94-62,,
11:11.0,O. Asik misses 2-pt shot at rim (block by A. Len),,94-62,,
11:09.0,,,94-62,,Defensive rebound by A. Len
11:07.0,,,94-62,,Turnover by D. Booker (bad pass)
10:48.0,J. Nelson makes 2-pt shot from 11 ft (assist by D. Miller),2,96-62,,
10:27.0,,,96-62,,T. Warren misses 2-pt shot from 11 ft
10:27.0,,,96-62,,Offensive rebound by Team
10:27.0,Loose ball foul by D. Cunningham (drawn by A. Len),,96-62,,
10:23.0,,,96-62,,Shooting foul by T. Allen (drawn by D. Booker)
10:23.0,,,96-63,1,D. Booker makes free throw 1 of 2
10:23.0,,,96-64,1,D. Booker makes free throw 2 of 2
10:05.0,D. Cunningham misses 3-pt shot from 25 ft,,96-64,,
10:02.0,,,96-64,,Defensive rebound by A. Len
9:53.0,,,96-64,,D. Booker misses 2-pt shot from 12 ft
9:51.0,,,96-64,,Offensive rebound by A. Len
9:51.0,Personal foul by O. Asik (drawn by A. Len),,96-64,,
9:45.0,,,96-66,2,J. Jackson makes 2-pt shot from 7 ft
9:30.0,T. Allen misses 2-pt shot at rim,,96-66,,
9:25.0,Offensive rebound by T. Allen,,96-66,,
9:25.0,T. Allen makes 2-pt shot at rim,2,98-66,,
9:12.0,,,98-66,,J. Jackson misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by T. Allen,,98-66,,
9:00.0,T. Allen makes 2-pt shot at rim,2,100-66,,
8:46.0,Personal foul by T. Allen (drawn by T. Warren),,100-66,,
8:38.0,Personal foul by D. Cunningham (drawn by D. Booker),,100-66,,
8:38.0,,,100-67,1,D. Booker makes free throw 1 of 2
8:38.0,I. Clark enters the game for D. Cunningham,,100-67,,
8:38.0,,,100-68,1,D. Booker makes free throw 2 of 2
8:27.0,D. Miller misses 3-pt shot from 26 ft,,100-68,,
8:24.0,,,100-68,,Defensive rebound by A. Len
8:19.0,,,100-68,,D. Booker misses 2-pt shot at rim
8:16.0,Defensive rebound by D. Miller,,100-68,,
8:01.0,J. Nelson misses 3-pt shot from 29 ft,,100-68,,
7:58.0,,,100-68,,Defensive rebound by A. Len
7:50.0,,,100-70,2,A. Len makes 2-pt shot at rim
7:37.0,I. Clark misses 3-pt shot from 25 ft,,100-70,,
7:34.0,Offensive rebound by O. Asik,,100-70,,
7:28.0,D. Miller misses 3-pt shot from 25 ft,,100-70,,
7:25.0,Offensive rebound by J. Nelson,,100-70,,
7:16.0,Turnover by T. Allen (bad pass),,100-70,,
7:02.0,,,100-72,2,D. Booker makes 2-pt shot from 1 ft
6:48.0,O. Asik makes 2-pt shot at rim (assist by I. Clark),2,102-72,,
6:32.0,,,102-74,2,T. Warren makes 2-pt shot at rim
6:16.0,O. Asik makes 2-pt shot at rim (assist by J. Nelson),2,104-74,,
6:02.0,,,104-76,2,D. Bender makes 2-pt shot from 5 ft (assist by J. Jackson)
6:02.0,,,104-76,,Shooting foul by I. Clark (drawn by D. Bender)
6:02.0,,,104-76,,Phoenix full timeout
6:02.0,,,104-76,,T. Ulis enters the game for D. Booker
6:02.0,,,104-76,,D. Jones enters the game for T. Warren
6:02.0,C. Diallo enters the game for O. Asik,,104-76,,
6:02.0,D. Cunningham enters the game for T. Allen,,104-76,,
6:02.0,,,104-76,,D. Bender misses free throw 1 of 1
5:58.0,,,104-76,,Offensive rebound by A. Len
5:57.0,,,104-76,,A. Len misses 2-pt shot from 3 ft
5:55.0,,,104-76,,Offensive rebound by Team
5:46.0,,,104-76,,J. Jackson misses 2-pt shot from 12 ft
5:43.0,,,104-76,,Offensive rebound by J. Jackson
5:42.0,,,104-78,2,A. Len makes 2-pt shot at rim (assist by J. Jackson)
5:24.0,I. Clark misses 2-pt shot from 18 ft,,104-78,,
5:20.0,,,104-78,,Defensive rebound by D. Jones
4:59.0,,,104-78,,Turnover by T. Ulis (bad pass; steal by I. Clark)
4:57.0,,,104-78,,Shooting block foul by J. Jackson (drawn by I. Clark)
4:57.0,I. Clark misses free throw 2 of 2,,104-78,,
4:57.0,,,104-78,,Defensive rebound by A. Len
4:57.0,I. Clark makes free throw 1 of 2,1,105-78,,
4:44.0,,,105-78,,Turnover by D. Bender (turnover)
4:44.0,O. Asik enters the game for D. Cunningham,,105-78,,
4:27.0,D. Miller misses 2-pt shot from 20 ft,,105-78,,
