time,Denver,pts.away,score,pts.home,Minnesota
5:11.0,J. Murray misses 2-pt shot from 17 ft,,16-15,,
5:10.0,Offensive rebound by J. Murray,,16-15,,
5:09.0,W. Barton makes 2-pt shot from 1 ft (assist by J. Murray),2,18-15,,
5:09.0,Shooting foul by N. Bjelica (drawn by W. Barton),,18-15,,
5:09.0,W. Barton misses free throw 1 of 1,,18-15,,
5:05.0,,,18-15,,Defensive rebound by K. Towns
4:50.0,,,18-17,2,K. Towns makes 2-pt shot from 8 ft
4:47.0,Turnover by P. Millsap (bad pass),,18-17,,
4:33.0,,,18-19,2,K. Towns makes 2-pt shot from 5 ft
4:09.0,Shooting foul by T. Gibson (drawn by M. Plumlee),,18-19,,
4:09.0,M. Plumlee misses free throw 1 of 2,,18-19,,
4:09.0,Offensive rebound by Team,,18-19,,
4:09.0,,,18-19,,G. Dieng enters the game for K. Towns
4:09.0,M. Plumlee makes free throw 2 of 2,1,19-19,,
3:58.0,,,19-21,2,J. Teague makes 2-pt shot from 7 ft
3:44.0,P. Millsap misses 2-pt shot from 4 ft,,19-21,,
3:42.0,,,19-21,,Defensive rebound by G. Dieng
3:33.0,N. Jokic enters the game for P. Millsap,,19-21,,
3:28.0,Personal foul by W. Barton (drawn by A. Wiggins),,19-21,,
3:28.0,W. Chandler enters the game for W. Barton,,19-21,,
3:18.0,,,19-21,,G. Dieng misses 2-pt shot from 10 ft (block by M. Plumlee)
3:15.0,,,19-21,,Offensive rebound by G. Dieng
3:12.0,,,19-21,,N. Bjelica misses 2-pt shot from 9 ft
3:11.0,,,19-21,,Offensive rebound by N. Bjelica
3:00.0,,,19-21,,G. Dieng misses 3-pt shot from 22 ft
2:58.0,Defensive rebound by N. Jokic,,19-21,,
2:54.0,W. Chandler misses 2-pt shot from 3 ft,,19-21,,
2:50.0,,,19-21,,Defensive rebound by N. Bjelica
2:43.0,,,19-21,,J. Teague misses 2-pt shot from 4 ft
2:43.0,Defensive rebound by J. Murray,,19-21,,
2:37.0,G. Harris misses 3-pt shot from 26 ft,,19-21,,
2:33.0,,,19-21,,Defensive rebound by G. Dieng
2:19.0,,,19-24,3,G. Dieng makes 3-pt shot from 23 ft (assist by J. Teague)
2:03.0,J. Murray misses 2-pt shot from 18 ft,,19-24,,
2:00.0,Offensive rebound by J. Murray,,19-24,,
1:59.0,G. Harris makes 3-pt shot from 25 ft (assist by J. Murray),3,22-24,,
1:37.0,,,22-24,,J. Teague misses 2-pt shot from 7 ft
1:35.0,Defensive rebound by G. Harris,,22-24,,
1:18.0,Turnover by W. Chandler (lost ball; steal by N. Bjelica),,22-24,,
1:03.0,,,22-26,2,T. Gibson makes 2-pt shot from 1 ft
1:03.0,Denver full timeout,,22-26,,
1:03.0,,,22-26,,T. Jones enters the game for J. Teague
1:03.0,,,22-26,,J. Crawford enters the game for T. Gibson
1:03.0,D. Harris enters the game for J. Murray,,22-26,,
0:44.0,Turnover by G. Harris (out of bounds lost ball),,22-26,,
0:32.0,,,22-26,,Shooting foul by N. Jokic (drawn by A. Wiggins)
0:32.0,,,22-27,1,A. Wiggins makes free throw 1 of 2
0:32.0,,,22-28,1,A. Wiggins makes free throw 2 of 2
0:21.0,G. Harris makes 2-pt shot from 5 ft,2,24-28,,
0:08.0,Personal foul by W. Chandler (drawn by A. Wiggins),,24-28,,
0:08.0,,,24-29,1,A. Wiggins makes free throw 1 of 2
0:08.0,,,24-29,,J. Teague enters the game for N. Bjelica
0:08.0,,,24-29,,J. Butler enters the game for T. Jones
0:08.0,,,24-29,,T. Gibson enters the game for J. Crawford
0:08.0,W. Barton enters the game for M. Plumlee,,24-29,,
0:08.0,,,24-29,,A. Wiggins misses free throw 2 of 2
0:07.0,Defensive rebound by W. Chandler,,24-29,,
0:00.0,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton),2,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,26-29,,J. Crawford misses 2-pt shot from 18 ft
11:36.0,Defensive rebound by D. Harris,,26-29,,
11:21.0,G. Harris misses 2-pt shot from 20 ft,,26-29,,
11:19.0,,,26-29,,Defensive rebound by J. Crawford
11:07.0,,,26-29,,Offensive charge foul by T. Jones (drawn by D. Harris)
11:07.0,,,26-29,,Turnover by T. Jones (offensive foul)
10:54.0,N. Jokic makes 2-pt shot from 11 ft (assist by D. Harris),2,28-29,,
10:32.0,,,28-31,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones)
10:16.0,G. Harris makes 2-pt shot at rim,2,30-31,,
10:03.0,,,30-34,3,T. Jones makes 3-pt shot from 24 ft (assist by J. Crawford)
9:50.0,D. Harris makes 2-pt shot from 1 ft,2,32-34,,
9:27.0,,,32-34,,J. Crawford misses 3-pt shot from 22 ft
9:24.0,Defensive rebound by W. Chandler,,32-34,,
9:18.0,N. Jokic makes 2-pt shot from 5 ft (assist by G. Harris),2,34-34,,
8:59.0,,,34-36,2,J. Butler makes 2-pt shot from 2 ft
8:46.0,Shooting foul by D. Rose (drawn by G. Harris),,34-36,,
8:46.0,G. Harris makes free throw 1 of 2,1,35-36,,
8:46.0,G. Harris misses free throw 2 of 2,,35-36,,
8:44.0,,,35-36,,Defensive rebound by K. Towns
8:30.0,,,35-38,2,K. Towns makes 2-pt shot from 2 ft (assist by J. Butler)
8:16.0,Turnover by N. Jokic (bad pass; steal by D. Rose),,35-38,,
8:12.0,,,35-40,2,D. Rose makes 2-pt shot at rim
7:57.0,W. Chandler misses 3-pt shot from 24 ft,,35-40,,
7:53.0,,,35-40,,Defensive rebound by T. Jones
7:43.0,,,35-40,,D. Rose misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by W. Chandler,,35-40,,
7:32.0,N. Jokic makes 2-pt shot from 9 ft,2,37-40,,
7:15.0,W. Barton enters the game for N. Jokic,,37-40,,
7:15.0,P. Millsap enters the game for D. Harris,,37-40,,
7:15.0,J. Murray enters the game for T. Craig,,37-40,,
7:12.0,,,37-42,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
6:59.0,G. Harris misses 2-pt shot from 1 ft,,37-42,,
6:57.0,,,37-42,,Defensive rebound by D. Rose
6:51.0,,,37-44,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Crawford)
6:51.0,Denver full timeout,,37-44,,
6:51.0,,,37-44,,J. Teague enters the game for T. Jones
6:41.0,P. Millsap makes 2-pt shot from 15 ft (assist by J. Murray),2,39-44,,
6:16.0,,,39-46,2,K. Towns makes 2-pt shot at rim (assist by J. Teague)
5:53.0,P. Millsap misses 2-pt shot from 6 ft,,39-46,,
5:50.0,,,39-46,,Defensive rebound by K. Towns
5:45.0,,,39-46,,J. Butler misses 2-pt shot from 2 ft
5:44.0,Defensive rebound by P. Millsap,,39-46,,
5:38.0,G. Harris misses 2-pt shot from 5 ft,,39-46,,
5:36.0,,,39-46,,Defensive rebound by J. Teague
5:31.0,,,39-46,,Shooting foul by P. Millsap (drawn by J. Butler)
5:31.0,,,39-47,1,J. Butler makes free throw 1 of 3
5:31.0,,,39-48,1,J. Butler makes free throw 2 of 3
5:31.0,N. Jokic enters the game for G. Harris,,39-48,,
5:31.0,,,39-49,1,J. Butler makes free throw 3 of 3
5:17.0,,,39-49,,T. Gibson enters the game for J. Butler
5:17.0,,,39-49,,A. Wiggins enters the game for D. Rose
5:11.0,J. Murray makes 3-pt shot from 25 ft,3,42-49,,
4:59.0,,,42-49,,J. Teague misses 2-pt shot from 6 ft
4:57.0,Defensive rebound by P. Millsap,,42-49,,
4:54.0,Shooting foul by A. Wiggins (drawn by J. Murray),,42-49,,
4:54.0,J. Murray makes free throw 1 of 2,1,43-49,,
4:54.0,J. Murray makes free throw 2 of 2,1,44-49,,
4:42.0,,,44-49,,J. Crawford misses 2-pt shot from 16 ft
4:38.0,Defensive rebound by P. Millsap,,44-49,,
4:22.0,N. Jokic misses 3-pt shot from 27 ft,,44-49,,
4:19.0,,,44-49,,Defensive rebound by K. Towns
4:06.0,,,44-51,2,T. Gibson makes 2-pt shot at rim (assist by J. Crawford)
3:51.0,,,44-51,,Personal foul by J. Teague (drawn by J. Murray)
3:51.0,,,44-51,,J. Butler enters the game for J. Crawford
3:47.0,,,44-51,,Personal foul by J. Butler (drawn by W. Barton)
3:37.0,J. Murray makes 2-pt shot from 12 ft,2,46-51,,
3:30.0,,,46-51,,Shooting foul by W. Barton (drawn by A. Wiggins)
3:30.0,,,46-51,,A. Wiggins misses free throw 1 of 2
3:30.0,,,46-51,,Offensive rebound by Team
3:30.0,,,46-51,,A. Wiggins misses free throw 2 of 2
3:28.0,Defensive rebound by N. Jokic,,46-51,,
3:20.0,Turnover by W. Barton (bad pass; steal by T. Gibson),,46-51,,
3:16.0,,,46-53,2,J. Butler makes 2-pt shot from 1 ft
3:02.0,W. Barton makes 2-pt shot at rim,2,48-53,,
2:40.0,,,48-56,3,A. Wiggins makes 3-pt shot from 23 ft (assist by J. Butler)
2:26.0,W. Barton makes 3-pt shot from 26 ft,3,51-56,,
2:01.0,,,51-56,,J. Butler misses 2-pt shot from 1 ft
1:59.0,Defensive rebound by W. Barton,,51-56,,
1:56.0,J. Murray misses 3-pt shot from 25 ft,,51-56,,
1:53.0,Offensive rebound by Team,,51-56,,
1:53.0,,,51-56,,Minnesota full timeout
1:46.0,Turnover by N. Jokic (lost ball; steal by K. Towns),,51-56,,
1:36.0,,,51-59,3,J. Teague makes 3-pt shot from 25 ft (assist by A. Wiggins)
1:18.0,N. Jokic misses 2-pt shot from 3 ft,,51-59,,
1:18.0,,,51-59,,Defensive rebound by Team
1:18.0,Loose ball foul by N. Jokic (drawn by K. Towns),,51-59,,
0:57.0,,,51-59,,A. Wiggins misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by P. Millsap,,51-59,,
0:48.0,P. Millsap misses 2-pt shot from 1 ft,,51-59,,
0:46.0,,,51-59,,Defensive rebound by T. Gibson
0:38.0,,,51-59,,T. Gibson misses 2-pt shot from 1 ft
0:36.0,Defensive rebound by W. Barton,,51-59,,
0:31.0,W. Barton misses 2-pt shot from 2 ft,,51-59,,
0:30.0,Offensive rebound by Team,,51-59,,
0:30.0,,,51-59,,Loose ball foul by K. Towns (drawn by N. Jokic)
0:30.0,N. Jokic misses free throw 1 of 2,,51-59,,
0:30.0,Offensive rebound by Team,,51-59,,
0:30.0,M. Plumlee enters the game for P. Millsap,,51-59,,
0:30.0,G. Harris enters the game for W. Barton,,51-59,,
0:30.0,N. Jokic makes free throw 2 of 2,1,52-59,,
0:20.0,,,52-62,3,J. Butler makes 3-pt shot from 24 ft (assist by J. Teague)
0:12.0,,,52-62,,Personal foul by K. Towns (drawn by N. Jokic)
0:12.0,,,52-62,,G. Dieng enters the game for K. Towns
0:12.0,N. Jokic makes free throw 1 of 2,1,53-62,,
0:12.0,T. Craig enters the game for J. Murray,,53-62,,
0:12.0,N. Jokic makes free throw 2 of 2,1,54-62,,
0:00.0,,,54-62,,J. Butler misses 3-pt shot from 25 ft
0:00.0,,,54-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,54-64,2,K. Towns makes 2-pt shot from 3 ft (assist by J. Butler)
11:23.0,N. Jokic makes 2-pt shot from 18 ft,2,56-64,,
11:09.0,,,56-64,,J. Butler misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by P. Millsap,,56-64,,
10:53.0,N. Jokic makes 2-pt shot from 11 ft,2,58-64,,
10:32.0,,,58-64,,J. Butler misses 2-pt shot from 1 ft
10:29.0,,,58-64,,Offensive rebound by J. Butler
10:28.0,,,58-64,,Turnover by J. Butler (bad pass; steal by W. Barton)
10:15.0,W. Barton makes 3-pt shot from 25 ft,3,61-64,,
9:48.0,,,61-64,,A. Wiggins misses 2-pt shot from 13 ft
9:44.0,Defensive rebound by J. Murray,,61-64,,
9:40.0,W. Barton misses 3-pt shot from 25 ft,,61-64,,
9:37.0,,,61-64,,Defensive rebound by K. Towns
9:28.0,,,61-64,,Turnover by A. Wiggins (lost ball; steal by J. Murray)
9:20.0,Turnover by W. Chandler (bad pass; steal by J. Butler),,61-64,,
9:16.0,,,61-66,2,J. Butler makes 2-pt shot from 1 ft
8:57.0,Turnover by N. Jokic (lost ball; steal by J. Teague),,61-66,,
8:54.0,,,61-68,2,J. Teague makes 2-pt shot from 1 ft
8:40.0,Turnover by J. Murray (lost ball; steal by T. Gibson),,61-68,,
8:33.0,,,61-68,,Turnover by T. Gibson (bad pass; steal by W. Chandler)
8:26.0,Shooting foul by T. Gibson (drawn by P. Millsap),,61-68,,
8:26.0,P. Millsap makes free throw 1 of 3,1,62-68,,
8:26.0,P. Millsap makes free throw 2 of 3,1,63-68,,
8:26.0,P. Millsap makes free throw 3 of 3,1,64-68,,
8:14.0,,,64-70,2,A. Wiggins makes 2-pt shot from 14 ft (assist by K. Towns)
7:59.0,,,64-70,,Personal foul by T. Gibson (drawn by P. Millsap)
7:48.0,N. Jokic makes 2-pt shot from 6 ft,2,66-70,,
7:36.0,,,66-70,,J. Teague misses 2-pt shot from 19 ft
7:31.0,Defensive rebound by P. Millsap,,66-70,,
7:25.0,W. Barton misses 3-pt shot from 26 ft,,66-70,,
7:23.0,Offensive rebound by W. Chandler,,66-70,,
7:21.0,J. Murray misses 3-pt shot from 26 ft,,66-70,,
7:16.0,Offensive rebound by N. Jokic,,66-70,,
6:59.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Barton),3,69-70,,
6:40.0,Personal foul by P. Millsap (drawn by K. Towns),,69-70,,
6:40.0,,,69-70,,Minnesota full timeout
6:29.0,,,69-73,3,J. Teague makes 3-pt shot from 25 ft
6:02.0,N. Jokic makes 3-pt shot from 24 ft,3,72-73,,
5:36.0,,,72-76,3,A. Wiggins makes 3-pt shot from 23 ft (assist by J. Butler)
5:25.0,,,72-76,,Personal foul by T. Gibson (drawn by N. Jokic)
5:25.0,,,72-76,,N. Bjelica enters the game for T. Gibson
5:19.0,N. Jokic makes 3-pt shot from 25 ft (assist by J. Murray),3,75-76,,
4:53.0,,,75-76,,K. Towns misses 2-pt shot from 7 ft
4:51.0,,,75-76,,Offensive rebound by K. Towns
4:48.0,,,75-78,2,K. Towns makes 2-pt shot from 4 ft
4:38.0,J. Murray makes 2-pt shot from 1 ft,2,77-78,,
4:18.0,,,77-78,,N. Bjelica misses 2-pt shot from 2 ft
4:18.0,,,77-78,,Offensive rebound by Team
4:18.0,Loose ball foul by N. Jokic (drawn by K. Towns),,77-78,,
4:18.0,,,77-78,,J. Crawford enters the game for J. Butler
4:06.0,,,77-78,,Shooting foul by J. Murray (drawn by J. Teague)
4:06.0,,,77-79,1,J. Teague makes free throw 1 of 2
4:06.0,,,77-80,1,J. Teague makes free throw 2 of 2
3:45.0,P. Millsap misses 2-pt shot from 17 ft,,77-80,,
3:41.0,Offensive rebound by W. Barton,,77-80,,
3:36.0,W. Barton makes 2-pt shot from 1 ft,2,79-80,,
3:35.0,,,79-80,,Minnesota full timeout
3:35.0,G. Harris enters the game for P. Millsap,,79-80,,
3:35.0,M. Plumlee enters the game for W. Chandler,,79-80,,
3:17.0,,,79-80,,K. Towns misses 2-pt shot at rim (block by W. Barton)
3:14.0,Defensive rebound by W. Barton,,79-80,,
3:10.0,Turnover by W. Barton (lost ball; steal by N. Bjelica),,79-80,,
3:08.0,,,79-80,,Turnover by N. Bjelica (out of bounds lost ball)
3:00.0,Turnover by M. Plumlee (bad pass; steal by N. Bjelica),,79-80,,
2:42.0,,,79-80,,K. Towns misses 2-pt shot at rim (block by M. Plumlee)
2:42.0,,,79-80,,Offensive rebound by Team
2:39.0,,,79-82,2,A. Wiggins makes 2-pt shot from 15 ft (assist by J. Teague)
2:21.0,J. Murray misses 3-pt shot from 25 ft,,79-82,,
2:17.0,,,79-82,,Defensive rebound by A. Wiggins
2:04.0,,,79-84,2,J. Crawford makes 2-pt shot from 2 ft
2:04.0,Denver full timeout,,79-84,,
1:51.0,J. Murray misses 3-pt shot from 23 ft,,79-84,,
1:50.0,,,79-84,,Defensive rebound by Team
1:50.0,Loose ball foul by M. Plumlee (drawn by A. Wiggins),,79-84,,
1:39.0,,,79-84,,N. Bjelica misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by Team,,79-84,,
1:25.0,N. Jokic makes 2-pt shot from 9 ft (assist by W. Barton),2,81-84,,
1:07.0,,,81-84,,J. Teague misses 2-pt shot from 5 ft
1:05.0,,,81-84,,Offensive rebound by K. Towns
1:05.0,,,81-84,,Shooting foul by W. Barton (drawn by K. Towns)
1:05.0,,,81-85,1,K. Towns makes free throw 1 of 2
1:05.0,,,81-86,1,K. Towns makes free throw 2 of 2
0:57.0,Shooting foul by J. Teague (drawn by J. Murray),,81-86,,
0:57.0,J. Murray misses free throw 1 of 2,,81-86,,
0:57.0,Offensive rebound by Team,,81-86,,
0:57.0,W. Chandler enters the game for W. Barton,,81-86,,
0:57.0,J. Murray misses free throw 2 of 2,,81-86,,
0:56.0,,,81-86,,Defensive rebound by K. Towns
0:39.0,,,81-86,,J. Crawford misses 2-pt shot at rim
0:37.0,Defensive rebound by M. Plumlee,,81-86,,
0:30.0,G. Harris misses 3-pt shot from 22 ft,,81-86,,
0:27.0,,,81-86,,Defensive rebound by K. Towns
0:06.0,,,81-86,,N. Bjelica misses 3-pt shot from 22 ft
0:02.0,Defensive rebound by M. Plumlee,,81-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,83-86,,
11:26.0,,,83-86,,J. Butler misses 2-pt shot from 16 ft
11:24.0,Defensive rebound by W. Chandler,,83-86,,
11:16.0,W. Barton misses 2-pt shot from 1 ft,,83-86,,
11:14.0,Offensive rebound by M. Plumlee,,83-86,,
11:12.0,D. Harris misses 3-pt shot from 25 ft,,83-86,,
11:12.0,,,83-86,,Defensive rebound by J. Butler
11:01.0,,,83-86,,J. Crawford misses 2-pt shot from 15 ft
10:58.0,Defensive rebound by M. Plumlee,,83-86,,
10:51.0,W. Barton misses 2-pt shot from 4 ft (block by J. Butler),,83-86,,
10:51.0,,,83-86,,Defensive rebound by J. Butler
10:49.0,Personal foul by M. Plumlee (drawn by J. Crawford),,83-86,,
10:49.0,,,83-86,,G. Dieng enters the game for K. Towns
10:26.0,,,83-86,,G. Dieng misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by D. Harris,,83-86,,
10:01.0,Turnover by W. Chandler (lost ball; steal by J. Crawford),,83-86,,
9:53.0,,,83-88,2,G. Dieng makes 2-pt shot from 18 ft (assist by T. Jones)
9:32.0,W. Barton misses 2-pt shot from 11 ft,,83-88,,
9:31.0,,,83-88,,Defensive rebound by J. Butler
9:31.0,Personal foul by W. Barton (drawn by J. Butler),,83-88,,
9:31.0,N. Jokic enters the game for M. Plumlee,,83-88,,
9:14.0,,,83-88,,J. Butler misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by W. Barton,,83-88,,
9:07.0,G. Harris misses 2-pt shot from 1 ft,,83-88,,
9:07.0,,,83-88,,Defensive rebound by Team
9:04.0,,,83-88,,K. Towns enters the game for G. Dieng
8:47.0,,,83-88,,K. Towns misses 2-pt shot from 8 ft
8:45.0,Defensive rebound by W. Barton,,83-88,,
8:28.0,D. Harris makes 2-pt shot from 20 ft (assist by W. Barton),2,85-88,,
8:05.0,,,85-90,2,K. Towns makes 2-pt shot at rim (assist by J. Crawford)
7:54.0,W. Barton misses 2-pt shot from 1 ft,,85-90,,
7:54.0,,,85-90,,Defensive rebound by J. Crawford
7:50.0,,,85-90,,Shooting foul by N. Jokic (drawn by J. Butler)
7:50.0,,,85-91,1,J. Butler makes free throw 1 of 2
7:50.0,,,85-91,,J. Teague enters the game for T. Jones
7:50.0,,,85-91,,A. Wiggins enters the game for J. Crawford
7:50.0,J. Murray enters the game for W. Barton,,85-91,,
7:50.0,,,85-92,1,J. Butler makes free throw 2 of 2
7:36.0,G. Harris makes 2-pt shot from 10 ft (assist by N. Jokic),2,87-92,,
7:20.0,,,87-92,,Offensive charge foul by J. Butler (drawn by D. Harris)
7:20.0,,,87-92,,Turnover by J. Butler (offensive foul)
7:20.0,,,87-92,,T. Gibson enters the game for D. Rose
7:20.0,P. Millsap enters the game for D. Harris,,87-92,,
7:14.0,N. Jokic misses 2-pt shot from 15 ft,,87-92,,
7:11.0,,,87-92,,Defensive rebound by K. Towns
7:00.0,,,87-94,2,J. Butler makes 2-pt shot from 14 ft
6:48.0,,,87-94,,Personal block foul by J. Butler (drawn by G. Harris)
6:48.0,,,87-94,,Minnesota full timeout
6:48.0,W. Barton enters the game for G. Harris,,87-94,,
6:43.0,N. Jokic makes 2-pt shot from 13 ft,2,89-94,,
6:21.0,,,89-94,,T. Gibson misses 2-pt shot from 2 ft (block by P. Millsap)
6:17.0,,,89-94,,Offensive rebound by K. Towns
6:17.0,,,89-96,2,K. Towns makes 2-pt shot at rim
6:07.0,P. Millsap misses 3-pt shot from 25 ft,,89-96,,
6:07.0,,,89-96,,Defensive rebound by A. Wiggins
5:48.0,Personal foul by W. Chandler (drawn by J. Butler),,89-96,,
5:38.0,,,89-96,,T. Gibson misses 2-pt shot from 4 ft
5:36.0,Defensive rebound by N. Jokic,,89-96,,
5:27.0,J. Murray misses 2-pt shot from 10 ft,,89-96,,
5:22.0,Offensive rebound by N. Jokic,,89-96,,
5:19.0,J. Murray makes 2-pt shot from 2 ft,2,91-96,,
4:55.0,,,91-96,,J. Butler misses 2-pt shot from 20 ft
4:53.0,Defensive rebound by W. Barton,,91-96,,
4:41.0,W. Barton misses 3-pt shot from 25 ft,,91-96,,
4:36.0,,,91-96,,Defensive rebound by K. Towns
4:26.0,,,91-99,3,J. Teague makes 3-pt shot from 26 ft (assist by A. Wiggins)
4:26.0,Denver full timeout,,91-99,,
4:18.0,,,91-99,,Personal foul by K. Towns (drawn by N. Jokic)
4:13.0,N. Jokic makes 3-pt shot from 25 ft (assist by J. Murray),3,94-99,,
3:53.0,Personal foul by W. Chandler (drawn by J. Butler),,94-99,,
3:53.0,,,94-99,,J. Butler misses free throw 1 of 2
3:53.0,,,94-99,,Offensive rebound by Team
3:53.0,,,94-99,,J. Butler misses free throw 2 of 2
3:51.0,Defensive rebound by N. Jokic,,94-99,,
3:35.0,J. Murray makes 2-pt shot from 21 ft,2,96-99,,
3:06.0,,,96-99,,Turnover by J. Butler (turnover)
3:06.0,,,96-99,,Loose ball foul by J. Teague (drawn by W. Chandler)
2:52.0,J. Murray makes 3-pt shot from 25 ft,3,99-99,,
2:51.0,,,99-99,,Minnesota full timeout
2:33.0,,,99-101,2,J. Butler makes 2-pt shot from 12 ft
2:21.0,J. Murray misses 2-pt shot from 7 ft,,99-101,,
2:17.0,Offensive rebound by P. Millsap,,99-101,,
1:59.0,J. Murray makes 2-pt shot from 4 ft,2,101-101,,
1:36.0,,,101-101,,J. Butler misses 2-pt shot from 3 ft
1:33.0,Defensive rebound by N. Jokic,,101-101,,
1:12.0,N. Jokic misses 2-pt shot from 18 ft,,101-101,,
1:12.0,Offensive rebound by Team,,101-101,,
1:12.0,Turnover by Team (shot clock),,101-101,,
0:52.0,,,101-101,,T. Gibson misses 2-pt shot from 19 ft
0:49.0,Defensive rebound by W. Chandler,,101-101,,
0:30.0,N. Jokic misses 2-pt shot from 2 ft,,101-101,,
0:28.0,,,101-101,,Defensive rebound by A. Wiggins
0:05.0,,,101-101,,J. Butler misses 2-pt shot from 13 ft
0:04.0,Defensive rebound by N. Jokic,,101-101,,
0:04.0,Denver full timeout,,101-101,,
0:02.0,N. Jokic misses 2-pt shot from 17 ft (block by T. Gibson),,101-101,,
0:01.0,,,101-101,,Defensive rebound by T. Gibson
0:01.0,,,101-101,,Minnesota full timeout
0:01.0,,,101-101,,J. Crawford enters the game for T. Gibson
0:01.0,G. Harris enters the game for N. Jokic,,101-101,,
0:01.0,M. Plumlee enters the game for J. Murray,,101-101,,
0:00.0,,,101-101,,J. Crawford misses 3-pt shot from 31 ft
0:00.0,,,101-101,,Offensive rebound by Team
