time,LA Lakers,pts.away,score,pts.home,Milwaukee
4:38.0,J. Randle enters the game for L. Ball,,13-9,,
4:38.0,J. Clarkson enters the game for B. Lopez,,13-9,,
4:35.0,,,13-9,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by K. Kuzma)
4:29.0,,,13-9,,Offensive rebound by G. Antetokounmpo
4:27.0,,,13-11,2,G. Antetokounmpo makes 2-pt shot from 2 ft
4:19.0,J. Randle misses 2-pt shot from 7 ft,,13-11,,
4:17.0,,,13-11,,Defensive rebound by T. Maker
4:04.0,,,13-11,,G. Antetokounmpo misses 2-pt shot from 5 ft
4:01.0,,,13-11,,Offensive rebound by T. Maker
3:54.0,,,13-11,,M. Dellavedova misses 2-pt shot from 13 ft
3:52.0,,,13-11,,Offensive rebound by M. Dellavedova
3:49.0,,,13-11,,M. Dellavedova misses 3-pt shot from 22 ft
3:46.0,Defensive rebound by B. Ingram,,13-11,,
3:38.0,B. Ingram misses 2-pt shot from 1 ft (block by T. Maker),,13-11,,
3:34.0,,,13-11,,Defensive rebound by M. Brogdon
3:32.0,,,13-14,3,K. Middleton makes 3-pt shot from 26 ft (assist by M. Brogdon)
3:31.0,LA Lakers full timeout,,13-14,,
3:31.0,C. Brewer enters the game for K. Kuzma,,13-14,,
3:14.0,Shooting foul by T. Maker (drawn by J. Randle),,13-14,,
3:14.0,J. Randle misses free throw 1 of 2,,13-14,,
3:14.0,Offensive rebound by Team,,13-14,,
3:14.0,J. Randle makes free throw 2 of 2,1,14-14,,
2:53.0,,,14-16,2,M. Brogdon makes 2-pt shot from 10 ft
2:41.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson),2,16-16,,
2:33.0,,,16-18,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
2:22.0,B. Ingram misses 3-pt shot from 23 ft,,16-18,,
2:19.0,,,16-18,,Defensive rebound by G. Antetokounmpo
2:12.0,,,16-20,2,G. Antetokounmpo makes 2-pt shot at rim
2:09.0,LA Lakers full timeout,,16-20,,
2:09.0,,,16-20,,D. Liggins enters the game for K. Middleton
1:56.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,16-20,,
1:53.0,,,16-20,,Defensive rebound by T. Maker
1:31.0,,,16-22,2,D. Liggins makes 2-pt shot from 19 ft (assist by M. Dellavedova)
1:16.0,Offensive charge foul by J. Randle (drawn by T. Maker),,16-22,,
1:16.0,Turnover by J. Randle (offensive foul),,16-22,,
0:57.0,,,16-22,,G. Antetokounmpo misses 2-pt shot from 15 ft
0:50.0,Defensive rebound by C. Brewer,,16-22,,
0:46.0,J. Clarkson misses 2-pt shot at rim,,16-22,,
0:46.0,,,16-22,,T. Snell enters the game for G. Antetokounmpo
0:46.0,Defensive rebound by Team,,16-22,,
0:37.0,B. Ingram misses 2-pt shot from 16 ft,,16-22,,
0:34.0,,,16-22,,Defensive rebound by T. Maker
0:32.0,,,16-24,2,M. Brogdon makes 2-pt shot at rim
0:12.0,,,16-24,,Personal foul by D. Liggins (drawn by J. Clarkson)
0:12.0,J. Clarkson makes free throw 1 of 2,1,17-24,,
0:12.0,,,17-24,,E. Bledsoe enters the game for D. Liggins
0:12.0,J. Clarkson misses free throw 2 of 2,,17-24,,
0:09.0,,,17-24,,Defensive rebound by E. Bledsoe
0:00.0,,,17-24,,Turnover by E. Bledsoe (lost ball; steal by C. Brewer)
0:00.0,C. Brewer misses 3-pt shot from 53 ft,,17-24,,
0:00.0,Offensive rebound by Team,,17-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,17-27,3,M. Brogdon makes 3-pt shot from 22 ft
11:32.0,J. Clarkson misses 3-pt shot from 27 ft,,17-27,,
11:32.0,,,17-27,,Defensive rebound by M. Brogdon
11:06.0,,,17-27,,M. Brogdon misses 3-pt shot from 27 ft
11:06.0,Defensive rebound by Team,,17-27,,
10:52.0,J. Randle makes 2-pt shot from 1 ft (assist by L. Ball),2,19-27,,
10:39.0,Personal foul by J. Clarkson (drawn by T. Maker),,19-27,,
10:32.0,,,19-27,,M. Brogdon misses 2-pt shot from 3 ft (block by J. Randle)
10:28.0,Defensive rebound by J. Clarkson,,19-27,,
10:10.0,L. Ball misses 3-pt shot from 27 ft,,19-27,,
10:09.0,Offensive rebound by Team,,19-27,,
10:08.0,Turnover by Team (shot clock),,19-27,,
10:06.0,K. Kuzma misses 3-pt shot from 28 ft,,19-27,,
10:06.0,Offensive rebound by Team,,19-27,,
9:59.0,,,19-27,,E. Bledsoe misses 3-pt shot from 27 ft
9:55.0,Defensive rebound by K. Kuzma,,19-27,,
9:49.0,J. Randle makes 2-pt shot from 1 ft (assist by L. Ball),2,21-27,,
9:26.0,,,21-30,3,D. Liggins makes 3-pt shot from 26 ft (assist by M. Brogdon)
9:07.0,K. Kuzma makes 2-pt shot at rim (assist by L. Ball),2,23-30,,
8:52.0,,,23-30,,Turnover by M. Brogdon (bad pass; steal by J. Clarkson)
8:44.0,Shooting foul by T. Maker (drawn by J. Randle),,23-30,,
8:44.0,J. Randle makes free throw 1 of 2,1,24-30,,
8:44.0,,,24-30,,K. Middleton enters the game for T. Maker
8:44.0,,,24-30,,J. Henson enters the game for M. Brogdon
8:44.0,J. Randle misses free throw 2 of 2,,24-30,,
8:39.0,,,24-30,,Defensive rebound by J. Henson
8:29.0,Personal foul by V. Blue (drawn by J. Henson),,24-30,,
8:17.0,,,24-30,,K. Middleton misses 2-pt shot from 12 ft
8:14.0,Defensive rebound by L. Ball,,24-30,,
8:11.0,J. Clarkson makes 2-pt shot from 3 ft (assist by L. Ball),2,26-30,,
8:10.0,,,26-30,,Milwaukee full timeout
8:10.0,,,26-30,,G. Antetokounmpo enters the game for D. Liggins
7:50.0,,,26-32,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by K. Middleton)
7:30.0,J. Clarkson makes 2-pt shot from 1 ft,2,28-32,,
7:14.0,,,28-34,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
7:04.0,J. Randle makes 2-pt shot at rim (assist by L. Ball),2,30-34,,
6:49.0,,,30-34,,J. Henson misses 2-pt shot from 3 ft
6:47.0,Defensive rebound by L. Ball,,30-34,,
6:39.0,K. Kuzma makes 2-pt shot from 19 ft (assist by L. Ball),2,32-34,,
6:25.0,,,32-34,,T. Snell misses 2-pt shot from 2 ft
6:25.0,Defensive rebound by L. Ball,,32-34,,
6:10.0,J. Clarkson misses 2-pt shot from 13 ft,,32-34,,
6:10.0,Offensive rebound by J. Randle,,32-34,,
6:00.0,J. Clarkson makes 2-pt shot from 4 ft,2,34-34,,
5:50.0,,,34-36,2,E. Bledsoe makes 2-pt shot from 1 ft
5:33.0,Shooting foul by J. Henson (drawn by K. Kuzma),,34-36,,
5:33.0,K. Kuzma makes free throw 1 of 2,1,35-36,,
5:33.0,K. Kuzma makes free throw 2 of 2,1,36-36,,
5:20.0,,,36-36,,K. Middleton misses 2-pt shot from 10 ft
5:17.0,Defensive rebound by J. Randle,,36-36,,
5:10.0,L. Ball makes 2-pt shot from 2 ft (assist by J. Randle),2,38-36,,
5:04.0,,,38-36,,T. Snell misses 3-pt shot from 23 ft
5:01.0,Defensive rebound by J. Randle,,38-36,,
4:52.0,L. Ball makes 3-pt shot from 27 ft (assist by K. Kuzma),3,41-36,,
4:51.0,,,41-36,,Milwaukee full timeout
4:51.0,,,41-36,,M. Brogdon enters the game for T. Snell
4:51.0,K. Caldwell-Pope enters the game for J. Clarkson,,41-36,,
4:51.0,B. Ingram enters the game for V. Blue,,41-36,,
4:42.0,,,41-38,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:15.0,K. Caldwell-Pope misses 3-pt shot from 30 ft,,41-38,,
4:15.0,Offensive rebound by Team,,41-38,,
4:15.0,Turnover by Team (shot clock),,41-38,,
4:02.0,,,41-38,,Shooting foul by K. Kuzma (drawn by G. Antetokounmpo)
4:02.0,,,41-39,1,G. Antetokounmpo makes free throw 1 of 2
4:02.0,,,41-40,1,G. Antetokounmpo makes free throw 2 of 2
3:53.0,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by L. Ball),3,44-40,,
3:37.0,Personal foul by B. Ingram (drawn by M. Brogdon),,44-40,,
3:31.0,,,44-43,3,M. Brogdon makes 3-pt shot from 26 ft (assist by J. Henson)
3:17.0,Turnover by J. Randle (bad pass; steal by M. Brogdon),,44-43,,
3:12.0,,,44-43,,J. Henson misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by J. Randle,,44-43,,
3:09.0,Shooting foul by M. Brogdon (drawn by B. Ingram),,44-43,,
3:09.0,B. Ingram misses free throw 1 of 2,,44-43,,
3:09.0,Offensive rebound by Team,,44-43,,
3:09.0,B. Ingram misses free throw 2 of 2,,44-43,,
3:06.0,,,44-43,,Defensive rebound by G. Antetokounmpo
2:54.0,,,44-43,,Shooting foul by J. Randle (drawn by G. Antetokounmpo)
2:54.0,,,44-44,1,G. Antetokounmpo makes free throw 1 of 2
2:54.0,B. Lopez enters the game for J. Randle,,44-44,,
2:54.0,,,44-45,1,G. Antetokounmpo makes free throw 2 of 2
2:44.0,Turnover by K. Caldwell-Pope (bad pass; steal by M. Brogdon),,44-45,,
2:38.0,,,44-45,,G. Antetokounmpo misses 2-pt shot from 3 ft
2:32.0,,,44-45,,Offensive rebound by J. Henson
2:32.0,,,44-45,,J. Henson misses 2-pt shot at rim
2:31.0,Defensive rebound by B. Ingram,,44-45,,
2:25.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,44-45,,
2:25.0,Offensive rebound by B. Lopez,,44-45,,
2:21.0,B. Lopez makes 2-pt shot from 1 ft,2,46-45,,
1:58.0,,,46-45,,E. Bledsoe misses 3-pt shot from 27 ft
1:58.0,,,46-45,,Offensive rebound by G. Antetokounmpo
1:58.0,,,46-45,,Turnover by Team (shot clock)
1:43.0,K. Kuzma misses 2-pt shot from 5 ft,,46-45,,
1:39.0,,,46-45,,Defensive rebound by M. Brogdon
1:36.0,,,46-47,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
1:30.0,Turnover by B. Ingram (bad pass),,46-47,,
1:20.0,,,46-49,2,E. Bledsoe makes 2-pt shot from 2 ft
1:13.0,Shooting foul by K. Middleton (drawn by B. Lopez),,46-49,,
1:13.0,B. Lopez makes free throw 1 of 2,1,47-49,,
1:13.0,B. Lopez misses free throw 2 of 2,,47-49,,
1:10.0,,,47-49,,Defensive rebound by G. Antetokounmpo
0:58.0,,,47-49,,Turnover by E. Bledsoe (bad pass)
0:41.0,Turnover by L. Ball (bad pass; steal by E. Bledsoe),,47-49,,
0:27.0,,,47-49,,M. Brogdon misses 2-pt shot from 3 ft (block by B. Lopez)
0:23.0,Defensive rebound by K. Caldwell-Pope,,47-49,,
0:21.0,K. Caldwell-Pope misses 2-pt shot at rim (block by E. Bledsoe),,47-49,,
0:21.0,B. Lopez makes 2-pt shot from 1 ft,2,49-49,,
0:21.0,Offensive rebound by B. Lopez,,49-49,,
0:02.0,,,49-51,2,K. Middleton makes 2-pt shot from 18 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,49-53,2,G. Antetokounmpo makes 2-pt shot from 7 ft
11:30.0,L. Ball makes 2-pt shot at rim (assist by B. Lopez),2,51-53,,
11:30.0,Shooting foul by J. Henson (drawn by L. Ball),,51-53,,
11:30.0,L. Ball misses free throw 1 of 1,,51-53,,
11:26.0,,,51-53,,Defensive rebound by G. Antetokounmpo
11:15.0,Personal foul by L. Ball (drawn by G. Antetokounmpo),,51-53,,
11:03.0,,,51-53,,K. Middleton misses 3-pt shot from 27 ft
11:00.0,Defensive rebound by L. Ball,,51-53,,
10:50.0,L. Ball misses 3-pt shot from 26 ft,,51-53,,
10:45.0,,,51-53,,Defensive rebound by J. Henson
10:43.0,,,51-53,,Turnover by E. Bledsoe (turnover)
10:27.0,K. Kuzma makes 3-pt shot from 27 ft (assist by L. Ball),3,54-53,,
10:11.0,Def 3 sec tech foul by B. Lopez,,54-53,,
10:11.0,,,54-54,1,K. Middleton makes technical free throw
9:55.0,,,54-54,,T. Snell misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by L. Ball,,54-54,,
9:42.0,K. Kuzma makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope),2,56-54,,
9:20.0,,,56-56,2,G. Antetokounmpo makes 2-pt shot from 2 ft
9:08.0,L. Ball misses 2-pt shot from 2 ft,,56-56,,
9:05.0,,,56-56,,Defensive rebound by J. Henson
9:01.0,,,56-56,,E. Bledsoe misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by K. Caldwell-Pope,,56-56,,
8:55.0,K. Kuzma makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,58-56,,
8:40.0,,,58-56,,Offensive charge foul by G. Antetokounmpo (drawn by K. Caldwell-Pope)
8:40.0,,,58-56,,Turnover by G. Antetokounmpo (offensive foul)
8:31.0,K. Kuzma misses 3-pt shot from 26 ft,,58-56,,
8:28.0,,,58-56,,Defensive rebound by G. Antetokounmpo
8:20.0,,,58-56,,Shooting foul by L. Ball (drawn by E. Bledsoe)
8:20.0,,,58-57,1,E. Bledsoe makes free throw 1 of 2
8:20.0,,,58-57,,E. Bledsoe misses free throw 2 of 2
8:16.0,Defensive rebound by L. Ball,,58-57,,
8:11.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,58-57,,
8:08.0,,,58-57,,Defensive rebound by G. Antetokounmpo
7:59.0,,,58-59,2,K. Middleton makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
7:59.0,Technical foul by K. Caldwell-Pope,,58-59,,
7:59.0,,,58-60,1,K. Middleton makes technical free throw
7:47.0,Turnover by L. Ball (bad pass; steal by K. Middleton),,58-60,,
7:47.0,,,58-60,,Turnover by G. Antetokounmpo (bad pass; steal by K. Caldwell-Pope)
7:28.0,B. Ingram misses 2-pt shot from 8 ft (block by G. Antetokounmpo),,58-60,,
7:27.0,Offensive rebound by K. Caldwell-Pope,,58-60,,
7:27.0,,,58-60,,Personal foul by K. Middleton (drawn by K. Caldwell-Pope)
7:22.0,Turnover by K. Kuzma (bad pass),,58-60,,
7:05.0,,,58-60,,K. Middleton misses 3-pt shot from 28 ft
7:03.0,Defensive rebound by B. Ingram,,58-60,,
7:01.0,,,58-60,,Personal foul by T. Snell (drawn by B. Ingram)
6:57.0,Shooting foul by J. Henson (drawn by B. Ingram),,58-60,,
6:57.0,,,58-60,,Milwaukee full timeout
6:57.0,,,58-60,,T. Maker enters the game for J. Henson
6:57.0,,,58-60,,M. Brogdon enters the game for T. Snell
6:57.0,B. Ingram misses free throw 1 of 2,,58-60,,
6:57.0,Offensive rebound by Team,,58-60,,
6:57.0,B. Ingram makes free throw 2 of 2,1,59-60,,
6:44.0,,,59-60,,Shooting foul by B. Lopez (drawn by E. Bledsoe)
6:44.0,,,59-61,1,E. Bledsoe makes free throw 1 of 2
6:44.0,,,59-62,1,E. Bledsoe makes free throw 2 of 2
6:22.0,B. Lopez misses 2-pt shot from 11 ft,,59-62,,
6:19.0,,,59-62,,Defensive rebound by K. Middleton
6:05.0,,,59-62,,T. Maker misses 2-pt shot from 2 ft (block by L. Ball)
6:05.0,Defensive rebound by L. Ball,,59-62,,
6:05.0,,,59-62,,Personal foul by E. Bledsoe (drawn by B. Ingram)
6:05.0,B. Ingram makes free throw 1 of 2,1,60-62,,
6:05.0,,,60-62,,M. Dellavedova enters the game for E. Bledsoe
6:05.0,B. Ingram makes free throw 2 of 2,1,61-62,,
5:40.0,,,61-64,2,M. Dellavedova makes 2-pt shot from 6 ft
5:26.0,K. Kuzma makes 2-pt shot from 19 ft (assist by B. Ingram),2,63-64,,
5:09.0,,,63-64,,K. Middleton misses 2-pt shot from 9 ft
5:07.0,Defensive rebound by K. Kuzma,,63-64,,
5:02.0,B. Ingram misses 3-pt shot from 22 ft,,63-64,,
4:59.0,,,63-64,,Defensive rebound by G. Antetokounmpo
4:54.0,,,63-64,,Shooting foul by B. Ingram (drawn by K. Middleton)
4:54.0,,,63-65,1,K. Middleton makes free throw 1 of 2
4:54.0,,,63-66,1,K. Middleton makes free throw 2 of 2
4:34.0,Turnover by K. Kuzma (traveling),,63-66,,
4:34.0,J. Clarkson enters the game for L. Ball,,63-66,,
4:34.0,J. Randle enters the game for B. Lopez,,63-66,,
4:16.0,,,63-68,2,G. Antetokounmpo makes 2-pt shot from 12 ft
4:02.0,Shooting foul by M. Brogdon (drawn by J. Randle),,63-68,,
4:02.0,J. Randle makes free throw 1 of 2,1,64-68,,
4:02.0,J. Randle makes free throw 2 of 2,1,65-68,,
3:43.0,,,65-71,3,M. Dellavedova makes 3-pt shot from 26 ft
3:18.0,Turnover by J. Randle (turnover),,65-71,,
3:07.0,,,65-71,,Offensive charge foul by G. Antetokounmpo (drawn by K. Kuzma)
3:07.0,,,65-71,,Turnover by G. Antetokounmpo (offensive foul)
2:59.0,Shooting foul by T. Maker (drawn by K. Kuzma),,65-71,,
2:59.0,LA Lakers full timeout,,65-71,,
2:59.0,K. Kuzma misses free throw 1 of 2,,65-71,,
2:59.0,Offensive rebound by Team,,65-71,,
2:59.0,K. Kuzma makes free throw 2 of 2,1,66-71,,
2:47.0,,,66-71,,M. Dellavedova misses 2-pt shot from 9 ft
2:44.0,Defensive rebound by K. Kuzma,,66-71,,
2:25.0,J. Randle misses 3-pt shot from 25 ft,,66-71,,
2:21.0,,,66-71,,Defensive rebound by M. Dellavedova
2:17.0,,,66-71,,M. Brogdon misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by K. Kuzma,,66-71,,
2:07.0,Shooting foul by M. Dellavedova (drawn by J. Clarkson),,66-71,,
2:07.0,J. Clarkson misses free throw 1 of 2,,66-71,,
2:07.0,Offensive rebound by Team,,66-71,,
2:07.0,,,66-71,,D. Liggins enters the game for K. Middleton
2:07.0,V. Blue enters the game for K. Caldwell-Pope,,66-71,,
2:07.0,J. Clarkson makes free throw 2 of 2,1,67-71,,
1:57.0,,,67-73,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova)
1:34.0,Turnover by J. Clarkson (traveling),,67-73,,
1:09.0,,,67-75,2,G. Antetokounmpo makes 2-pt shot from 16 ft
0:55.0,Jump ball: T. Maker vs. B. Ingram (D. Liggins gains possession),,,,Jump ball: T. Maker vs. B. Ingram (D. Liggins gains possession)
0:55.0,Turnover by B. Ingram (lost ball; steal by T. Maker),,67-75,,
0:36.0,,,67-75,,M. Dellavedova misses 2-pt shot from 6 ft
0:34.0,Defensive rebound by J. Randle,,67-75,,
0:28.0,Turnover by J. Clarkson (bad pass; steal by D. Liggins),,67-75,,
0:17.0,,,67-77,2,M. Brogdon makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
0:00.0,J. Clarkson misses 3-pt shot from 28 ft,,67-77,,
0:00.0,Offensive rebound by Team,,67-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Turnover by L. Ball (lost ball; steal by M. Dellavedova),,67-77,,
11:38.0,,,67-77,,T. Maker misses 3-pt shot from 27 ft
11:29.0,Defensive rebound by L. Ball,,67-77,,
11:25.0,L. Ball makes 2-pt shot from 7 ft,2,69-77,,
10:58.0,,,69-77,,Turnover by M. Brogdon (bad pass; steal by L. Ball)
10:55.0,Shooting foul by M. Brogdon (drawn by J. Randle),,69-77,,
10:55.0,J. Randle makes free throw 1 of 2,1,70-77,,
10:55.0,J. Randle misses free throw 2 of 2,,70-77,,
10:52.0,,,70-77,,Defensive rebound by T. Maker
10:39.0,,,70-77,,G. Antetokounmpo misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by V. Blue,,70-77,,
10:24.0,Turnover by C. Brewer (bad pass; steal by G. Antetokounmpo),,70-77,,
10:03.0,,,70-80,3,M. Dellavedova makes 3-pt shot from 25 ft
9:46.0,Turnover by L. Ball (lost ball; steal by M. Brogdon),,70-80,,
9:43.0,Personal foul by J. Clarkson (drawn by M. Brogdon),,70-80,,
9:43.0,,,70-81,1,M. Brogdon makes free throw 2 of 2
9:43.0,,,70-82,1,M. Brogdon makes free throw 1 of 2
9:43.0,,,70-82,,K. Middleton enters the game for M. Dellavedova
9:43.0,,,70-82,,E. Bledsoe enters the game for G. Antetokounmpo
9:35.0,Offensive charge foul by J. Randle (drawn by D. Liggins),,70-82,,
9:35.0,Turnover by J. Randle (offensive foul),,70-82,,
9:18.0,,,70-82,,E. Bledsoe misses 2-pt shot from 3 ft (block by L. Ball)
9:17.0,Defensive rebound by J. Randle,,70-82,,
9:11.0,Turnover by J. Clarkson (lost ball; steal by D. Liggins),,70-82,,
9:11.0,,,70-82,,Milwaukee full timeout
9:11.0,K. Kuzma enters the game for C. Brewer,,70-82,,
8:54.0,,,70-82,,K. Middleton misses 2-pt shot from 13 ft
8:52.0,Defensive rebound by J. Randle,,70-82,,
8:30.0,J. Clarkson misses 3-pt shot from 26 ft,,70-82,,
8:27.0,,,70-82,,Defensive rebound by D. Liggins
8:18.0,,,70-82,,D. Liggins misses 2-pt shot from 21 ft
8:15.0,Defensive rebound by K. Kuzma,,70-82,,
8:13.0,,,70-82,,Personal foul by K. Middleton (drawn by K. Kuzma)
7:59.0,Shooting foul by T. Maker (drawn by J. Randle),,70-82,,
7:59.0,J. Randle makes free throw 1 of 2,1,71-82,,
7:59.0,K. Caldwell-Pope enters the game for J. Clarkson,,71-82,,
7:59.0,J. Randle makes free throw 2 of 2,1,72-82,,
7:51.0,,,72-82,,Shooting foul by J. Randle (drawn by M. Brogdon)
7:40.0,,,72-84,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by K. Middleton)
7:28.0,Turnover by V. Blue (bad pass),,72-84,,
7:04.0,,,72-84,,E. Bledsoe misses 3-pt shot from 27 ft
7:04.0,Defensive rebound by Team,,72-84,,
6:55.0,Shooting foul by D. Liggins (drawn by L. Ball),,72-84,,
6:55.0,L. Ball makes free throw 1 of 3,1,73-84,,
6:55.0,L. Ball misses free throw 2 of 3,,73-84,,
6:55.0,Offensive rebound by Team,,73-84,,
6:55.0,B. Ingram enters the game for V. Blue,,73-84,,
6:55.0,L. Ball makes free throw 3 of 3,1,74-84,,
6:37.0,,,74-86,2,T. Maker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
