time,Miami,pts.away,score,pts.home,Minnesota
4:25.0,J. Richardson misses 3-pt shot from 22 ft,,25-13,,
4:22.0,,,25-13,,Defensive rebound by T. Jones
4:13.0,,,25-13,,G. Dieng misses 2-pt shot from 3 ft
4:11.0,Defensive rebound by J. Winslow,,25-13,,
4:02.0,T. Johnson misses 3-pt shot from 22 ft,,25-13,,
3:59.0,,,25-13,,Defensive rebound by J. Butler
3:49.0,,,25-13,,A. Wiggins misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by T. Johnson,,25-13,,
3:30.0,H. Whiteside misses 2-pt shot from 13 ft,,25-13,,
3:27.0,,,25-13,,Defensive rebound by T. Gibson
3:17.0,,,25-16,3,T. Jones makes 3-pt shot from 24 ft (assist by A. Wiggins)
3:07.0,Miami full timeout,,25-16,,
3:07.0,,,25-16,,J. Crawford enters the game for J. Butler
3:07.0,K. Olynyk enters the game for J. Richardson,,25-16,,
3:07.0,J. Johnson enters the game for H. Whiteside,,25-16,,
2:58.0,T. Johnson misses 2-pt shot from 1 ft,,25-16,,
2:55.0,,,25-16,,Defensive rebound by G. Dieng
2:50.0,,,25-19,3,J. Crawford makes 3-pt shot from 24 ft (assist by T. Jones)
2:31.0,J. Johnson misses 3-pt shot from 22 ft,,25-19,,
2:28.0,,,25-19,,Defensive rebound by T. Jones
2:17.0,,,25-19,,Shooting foul by K. Olynyk (drawn by A. Wiggins)
2:17.0,,,25-19,,A. Wiggins misses free throw 1 of 2
2:17.0,,,25-19,,Offensive rebound by Team
2:17.0,W. Ellington enters the game for J. Winslow,,25-19,,
2:17.0,,,25-20,1,A. Wiggins makes free throw 2 of 2
2:07.0,D. Waiters misses 3-pt shot from 25 ft,,25-20,,
2:01.0,Offensive rebound by K. Olynyk,,25-20,,
2:01.0,K. Olynyk misses 2-pt shot at rim,,25-20,,
2:01.0,Offensive rebound by K. Olynyk,,25-20,,
2:00.0,Turnover by T. Johnson (traveling),,25-20,,
1:47.0,,,25-22,2,G. Dieng makes 2-pt shot from 1 ft (assist by A. Wiggins)
1:47.0,,,25-22,,Shooting foul by K. Olynyk (drawn by G. Dieng)
1:47.0,,,25-22,,G. Dieng misses free throw 1 of 1
1:42.0,Defensive rebound by D. Waiters,,25-22,,
1:34.0,Turnover by W. Ellington (lost ball; steal by A. Wiggins),,25-22,,
1:30.0,,,25-24,2,A. Wiggins makes 2-pt shot from 3 ft
1:07.0,D. Waiters misses 2-pt shot from 15 ft,,25-24,,
1:05.0,Offensive rebound by W. Ellington,,25-24,,
1:02.0,K. Olynyk misses 3-pt shot from 22 ft,,25-24,,
0:57.0,Offensive rebound by J. Johnson,,25-24,,
0:57.0,J. Johnson misses 2-pt shot at rim,,25-24,,
0:56.0,,,25-24,,Defensive rebound by A. Wiggins
0:45.0,,,25-24,,G. Dieng misses 2-pt shot from 11 ft
0:43.0,Defensive rebound by W. Ellington,,25-24,,
0:32.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,28-24,,
0:11.0,,,28-24,,J. Crawford misses 2-pt shot from 21 ft
0:08.0,Defensive rebound by J. Johnson,,28-24,,
0:04.0,Turnover by J. Johnson (lost ball; steal by A. Wiggins),,28-24,,
0:01.0,,,28-24,,J. Crawford misses 3-pt shot from 25 ft
0:01.0,,,28-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Johnson misses 2-pt shot from 18 ft,,28-24,,
11:43.0,,,28-24,,Defensive rebound by S. Muhammad
11:23.0,,,28-24,,K. Towns misses 2-pt shot at rim (block by J. Johnson)
11:18.0,Defensive rebound by T. Johnson,,28-24,,
11:10.0,Shooting foul by K. Towns (drawn by J. Johnson),,28-24,,
11:10.0,J. Johnson makes free throw 1 of 2,1,29-24,,
11:10.0,J. Johnson misses free throw 2 of 2,,29-24,,
11:08.0,Offensive rebound by T. Johnson,,29-24,,
10:52.0,Turnover by J. Richardson (bad pass; steal by G. Dieng),,29-24,,
10:46.0,,,29-24,,Turnover by K. Towns (out of bounds lost ball)
10:29.0,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Johnson),3,32-24,,
10:15.0,,,32-26,2,J. Crawford makes 2-pt shot from 9 ft
10:01.0,Turnover by J. Richardson (lost ball; steal by S. Muhammad),,32-26,,
9:57.0,,,32-28,2,T. Jones makes 2-pt shot at rim (assist by J. Crawford)
9:36.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Johnson),3,35-28,,
9:23.0,Personal foul by J. Johnson (drawn by K. Towns),,35-28,,
9:11.0,,,35-28,,J. Crawford misses 2-pt shot from 15 ft
9:08.0,Defensive rebound by J. Johnson,,35-28,,
9:01.0,Shooting foul by J. Crawford (drawn by W. Ellington),,35-28,,
9:01.0,W. Ellington makes free throw 1 of 3,1,36-28,,
9:01.0,W. Ellington makes free throw 2 of 3,1,37-28,,
9:01.0,W. Ellington makes free throw 3 of 3,1,38-28,,
8:50.0,,,38-30,2,G. Dieng makes 2-pt shot from 20 ft (assist by J. Crawford)
8:27.0,W. Ellington misses 3-pt shot from 23 ft,,38-30,,
8:24.0,,,38-30,,Defensive rebound by K. Towns
8:12.0,,,38-30,,J. Butler enters the game for G. Dieng
8:12.0,G. Dragic enters the game for J. Richardson,,38-30,,
8:10.0,,,38-30,,K. Towns misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by K. Olynyk,,38-30,,
8:00.0,J. Johnson makes 2-pt shot from 9 ft (assist by K. Olynyk),2,40-30,,
7:41.0,,,40-33,3,S. Muhammad makes 3-pt shot from 24 ft (assist by T. Jones)
7:27.0,J. Johnson misses 2-pt shot from 21 ft,,40-33,,
7:26.0,,,40-33,,Defensive rebound by S. Muhammad
7:18.0,,,40-35,2,J. Crawford makes 2-pt shot from 1 ft
7:18.0,Violation by T. Johnson (def goaltending),,40-35,,
7:10.0,,,40-35,,Personal foul by J. Crawford (drawn by T. Johnson)
7:10.0,H. Whiteside enters the game for K. Olynyk,,40-35,,
7:00.0,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson),3,43-35,,
6:40.0,,,43-35,,S. Muhammad misses 2-pt shot from 8 ft
6:37.0,Defensive rebound by H. Whiteside,,43-35,,
6:24.0,H. Whiteside makes 2-pt shot from 8 ft (assist by G. Dragic),2,45-35,,
6:17.0,,,45-35,,Minnesota full timeout
6:17.0,,,45-35,,A. Wiggins enters the game for J. Crawford
6:17.0,,,45-35,,T. Gibson enters the game for S. Muhammad
6:11.0,,,45-35,,K. Towns misses 2-pt shot from 10 ft
6:06.0,,,45-35,,Offensive rebound by J. Butler
6:06.0,,,45-35,,J. Butler misses 2-pt shot at rim
6:05.0,Defensive rebound by W. Ellington,,45-35,,
6:01.0,G. Dragic makes 3-pt shot from 23 ft (assist by W. Ellington),3,48-35,,
5:39.0,,,48-37,2,A. Wiggins makes 2-pt shot from 6 ft
5:15.0,T. Johnson misses 2-pt shot from 1 ft,,48-37,,
5:12.0,Offensive rebound by H. Whiteside,,48-37,,
5:11.0,Shooting foul by K. Towns (drawn by H. Whiteside),,48-37,,
5:11.0,H. Whiteside makes free throw 1 of 2,1,49-37,,
5:11.0,D. Waiters enters the game for T. Johnson,,49-37,,
5:11.0,H. Whiteside makes free throw 2 of 2,1,50-37,,
4:51.0,,,50-39,2,J. Butler makes 2-pt shot from 13 ft
4:35.0,Turnover by G. Dragic (bad pass),,50-39,,
4:13.0,,,50-39,,A. Wiggins misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by H. Whiteside,,50-39,,
3:59.0,D. Waiters misses 3-pt shot from 23 ft,,50-39,,
3:55.0,,,50-39,,Defensive rebound by T. Jones
3:46.0,,,50-39,,T. Gibson misses 2-pt shot from 20 ft
3:40.0,,,50-39,,Offensive rebound by A. Wiggins
3:40.0,,,50-41,2,A. Wiggins makes 2-pt shot at rim
3:34.0,Miami full timeout,,50-41,,
3:34.0,J. Richardson enters the game for W. Ellington,,50-41,,
3:34.0,J. Winslow enters the game for J. Johnson,,50-41,,
3:18.0,J. Richardson misses 3-pt shot from 22 ft,,50-41,,
3:15.0,,,50-41,,Defensive rebound by J. Butler
3:09.0,,,50-41,,Turnover by J. Butler (lost ball; steal by H. Whiteside)
3:04.0,Turnover by G. Dragic (lost ball; steal by T. Jones),,50-41,,
2:56.0,,,50-43,2,T. Gibson makes 2-pt shot from 1 ft
2:42.0,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters),3,53-43,,
2:19.0,,,53-43,,A. Wiggins misses 2-pt shot from 19 ft
2:15.0,Defensive rebound by G. Dragic,,53-43,,
1:57.0,G. Dragic misses 3-pt shot from 25 ft,,53-43,,
1:53.0,,,53-43,,Defensive rebound by K. Towns
1:48.0,,,53-43,,Shooting foul by D. Waiters (drawn by J. Butler)
1:48.0,,,53-43,,J. Butler misses free throw 1 of 3
1:48.0,,,53-43,,Offensive rebound by Team
1:48.0,,,53-44,1,J. Butler makes free throw 2 of 3
1:48.0,,,53-45,1,J. Butler makes free throw 3 of 3
1:39.0,G. Dragic misses 2-pt shot from 1 ft,,53-45,,
1:37.0,Offensive rebound by H. Whiteside,,53-45,,
1:35.0,H. Whiteside makes 2-pt shot from 2 ft,2,55-45,,
1:18.0,,,55-45,,Turnover by T. Jones (bad pass; steal by G. Dragic)
1:10.0,Turnover by J. Winslow (lost ball; steal by T. Jones),,55-45,,
1:09.0,Violation by D. Waiters (kicked ball),,55-45,,
1:09.0,W. Ellington enters the game for D. Waiters,,55-45,,
0:56.0,,,55-45,,Shooting foul by H. Whiteside (drawn by J. Butler)
0:56.0,,,55-46,1,J. Butler makes free throw 1 of 2
0:56.0,J. Johnson enters the game for H. Whiteside,,55-46,,
0:56.0,,,55-46,,J. Butler misses free throw 2 of 2
0:54.0,Defensive rebound by J. Winslow,,55-46,,
0:43.0,G. Dragic misses 2-pt shot from 3 ft,,55-46,,
0:41.0,,,55-46,,Defensive rebound by T. Gibson
0:33.0,,,55-48,2,J. Butler makes 2-pt shot from 19 ft
0:15.0,,,55-48,,Personal foul by T. Jones (drawn by G. Dragic)
0:15.0,G. Dragic makes free throw 1 of 2,1,56-48,,
0:15.0,G. Dragic misses free throw 2 of 2,,56-48,,
0:13.0,Offensive rebound by J. Johnson,,56-48,,
0:02.0,G. Dragic makes 2-pt shot from 9 ft,2,58-48,,
0:00.0,,,58-48,,T. Gibson misses 3-pt shot from 67 ft
0:00.0,,,58-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Waiters misses 2-pt shot from 2 ft,,58-48,,
11:40.0,,,58-48,,Defensive rebound by J. Butler
11:35.0,,,58-48,,J. Butler misses 2-pt shot from 4 ft
11:33.0,,,58-48,,Offensive rebound by K. Towns
11:33.0,,,58-48,,K. Towns misses 2-pt shot from 2 ft
11:33.0,,,58-48,,Offensive rebound by J. Butler
11:33.0,,,58-50,2,J. Butler makes 2-pt shot at rim
11:33.0,,,58-50,,Shooting foul by J. Winslow (drawn by J. Butler)
11:33.0,,,58-50,,J. Butler misses free throw 1 of 1
11:31.0,Defensive rebound by H. Whiteside,,58-50,,
11:12.0,J. Winslow makes 3-pt shot from 24 ft (assist by G. Dragic),3,61-50,,
10:54.0,,,61-50,,A. Wiggins misses 2-pt shot from 15 ft
10:54.0,Defensive rebound by H. Whiteside,,61-50,,
10:42.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Richardson),2,63-50,,
10:27.0,,,63-50,,K. Towns misses 3-pt shot from 22 ft
10:24.0,Defensive rebound by G. Dragic,,63-50,,
10:21.0,Shooting foul by T. Jones (drawn by J. Winslow),,63-50,,
10:21.0,J. Winslow makes free throw 1 of 2,1,64-50,,
10:21.0,J. Winslow makes free throw 2 of 2,1,65-50,,
10:07.0,,,65-52,2,T. Gibson makes 2-pt shot from 8 ft (assist by T. Jones)
9:43.0,D. Waiters misses 3-pt shot from 22 ft,,65-52,,
9:42.0,,,65-52,,Defensive rebound by Team
9:38.0,Loose ball foul by J. Winslow (drawn by T. Gibson),,65-52,,
9:27.0,,,65-54,2,J. Butler makes 2-pt shot from 21 ft
9:04.0,J. Winslow misses 2-pt shot from 9 ft,,65-54,,
9:01.0,,,65-54,,Defensive rebound by K. Towns
8:54.0,,,65-54,,J. Butler misses 2-pt shot from 14 ft
8:51.0,Defensive rebound by G. Dragic,,65-54,,
8:38.0,D. Waiters makes 2-pt shot from 1 ft,2,67-54,,
8:18.0,,,67-56,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler)
8:00.0,Shooting foul by A. Wiggins (drawn by H. Whiteside),,67-56,,
8:00.0,H. Whiteside makes free throw 1 of 2,1,68-56,,
8:00.0,H. Whiteside makes free throw 2 of 2,1,69-56,,
7:49.0,,,69-56,,Shooting foul by J. Richardson (drawn by A. Wiggins)
7:49.0,,,69-57,1,A. Wiggins makes free throw 1 of 2
7:49.0,,,69-58,1,A. Wiggins makes free throw 2 of 2
7:28.0,J. Richardson misses 2-pt shot from 15 ft,,69-58,,
7:25.0,,,69-58,,Defensive rebound by T. Jones
7:20.0,Personal foul by J. Winslow (drawn by K. Towns),,69-58,,
7:06.0,,,69-58,,J. Butler misses 2-pt shot from 8 ft
7:01.0,Defensive rebound by J. Winslow,,69-58,,
6:57.0,Turnover by D. Waiters (lost ball; steal by T. Jones),,69-58,,
6:53.0,,,69-60,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Butler)
6:31.0,H. Whiteside makes 2-pt shot from 13 ft (assist by G. Dragic),2,71-60,,
6:09.0,,,71-60,,J. Butler misses 2-pt shot from 19 ft
6:07.0,Defensive rebound by H. Whiteside,,71-60,,
5:57.0,G. Dragic misses 2-pt shot from 1 ft,,71-60,,
5:55.0,,,71-60,,Defensive rebound by T. Gibson
5:48.0,,,71-63,3,T. Jones makes 3-pt shot from 25 ft (assist by K. Towns)
5:25.0,D. Waiters makes 2-pt shot from 20 ft,2,73-63,,
5:01.0,,,73-66,3,J. Butler makes 3-pt shot from 25 ft (assist by T. Jones)
4:38.0,D. Waiters makes 3-pt shot from 22 ft (assist by G. Dragic),3,76-66,,
4:19.0,,,76-66,,K. Towns misses 2-pt shot from 2 ft (block by J. Winslow)
4:16.0,Defensive rebound by J. Winslow,,76-66,,
4:14.0,Offensive foul by J. Winslow (drawn by T. Jones),,76-66,,
4:14.0,Turnover by J. Winslow (offensive foul),,76-66,,
4:14.0,,,76-66,,Minnesota full timeout
4:14.0,,,76-66,,G. Dieng enters the game for K. Towns
4:14.0,T. Johnson enters the game for G. Dragic,,76-66,,
4:14.0,J. Johnson enters the game for J. Winslow,,76-66,,
3:57.0,,,76-66,,J. Butler misses 2-pt shot from 14 ft
3:54.0,Defensive rebound by H. Whiteside,,76-66,,
3:41.0,D. Waiters makes 3-pt shot from 26 ft (assist by J. Johnson),3,79-66,,
3:28.0,,,79-66,,Shooting foul by J. Richardson (drawn by A. Wiggins)
3:28.0,,,79-66,,A. Wiggins misses free throw 1 of 2
3:28.0,,,79-66,,Offensive rebound by Team
3:28.0,,,79-66,,J. Crawford enters the game for J. Butler
3:28.0,W. Ellington enters the game for J. Richardson,,79-66,,
3:28.0,,,79-67,1,A. Wiggins makes free throw 2 of 2
3:07.0,T. Johnson misses 3-pt shot from 24 ft,,79-67,,
3:03.0,,,79-67,,Defensive rebound by G. Dieng
2:59.0,,,79-67,,Shooting foul by W. Ellington (drawn by J. Crawford)
2:59.0,Miami full timeout,,79-67,,
2:59.0,,,79-67,,A. Brooks enters the game for T. Jones
2:59.0,K. Olynyk enters the game for H. Whiteside,,79-67,,
2:59.0,,,79-67,,J. Crawford misses free throw 1 of 2
2:59.0,,,79-67,,Offensive rebound by Team
2:59.0,,,79-68,1,J. Crawford makes free throw 2 of 2
2:42.0,,,79-68,,Personal foul by T. Gibson (drawn by D. Waiters)
2:30.0,J. Johnson makes 2-pt shot at rim,2,81-68,,
2:07.0,,,81-68,,J. Crawford misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by K. Olynyk,,81-68,,
1:49.0,Offensive foul by J. Johnson (drawn by J. Crawford),,81-68,,
1:49.0,Turnover by J. Johnson (offensive foul),,81-68,,
1:31.0,,,81-68,,Turnover by G. Dieng (bad pass)
1:13.0,D. Waiters misses 3-pt shot from 25 ft,,81-68,,
1:09.0,,,81-68,,Defensive rebound by T. Gibson
1:00.0,,,81-70,2,A. Wiggins makes 2-pt shot from 2 ft
0:47.0,Turnover by J. Johnson (bad pass; steal by A. Wiggins),,81-70,,
0:34.0,,,81-70,,Turnover by A. Wiggins (lost ball; steal by D. Waiters)
0:29.0,D. Waiters misses 2-pt shot from 3 ft,,81-70,,
0:26.0,,,81-70,,Defensive rebound by A. Brooks
0:06.0,,,81-70,,A. Wiggins misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by J. Johnson,,81-70,,
0:00.0,D. Waiters misses 3-pt shot from 23 ft,,81-70,,
0:00.0,Offensive rebound by Team,,81-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,81-70,,J. Crawford misses 2-pt shot from 20 ft
11:48.0,Defensive rebound by K. Olynyk,,81-70,,
11:42.0,,,81-70,,Personal foul by A. Brooks (drawn by T. Johnson)
11:35.0,K. Olynyk makes 2-pt shot from 20 ft,2,83-70,,
11:24.0,Personal foul by J. Johnson (drawn by K. Towns),,83-70,,
11:09.0,,,83-70,,J. Crawford misses 2-pt shot from 7 ft
11:06.0,Defensive rebound by K. Olynyk,,83-70,,
11:00.0,K. Olynyk makes 3-pt shot from 25 ft,3,86-70,,
10:43.0,,,86-70,,A. Brooks misses 2-pt shot from 2 ft (block by T. Johnson)
10:41.0,,,86-70,,Offensive rebound by J. Crawford
10:33.0,,,86-73,3,S. Muhammad makes 3-pt shot from 25 ft (assist by A. Brooks)
10:18.0,T. Johnson misses 3-pt shot from 24 ft,,86-73,,
10:18.0,,,86-73,,Defensive rebound by G. Dieng
10:07.0,,,86-73,,S. Muhammad misses 2-pt shot from 7 ft
10:00.0,,,86-73,,Offensive rebound by S. Muhammad
10:00.0,,,86-75,2,S. Muhammad makes 2-pt shot at rim
9:51.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson),3,89-75,,
9:27.0,,,89-75,,A. Brooks misses 2-pt shot from 7 ft
9:23.0,Defensive rebound by Team,,89-75,,
9:23.0,,,89-75,,Loose ball foul by K. Towns (drawn by J. Johnson)
9:23.0,,,89-75,,J. Butler enters the game for G. Dieng
9:23.0,G. Dragic enters the game for T. Johnson,,89-75,,
9:10.0,J. Johnson misses 2-pt shot from 9 ft,,89-75,,
9:08.0,,,89-75,,Defensive rebound by S. Muhammad
8:56.0,,,89-77,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford)
8:38.0,G. Dragic misses 3-pt shot from 23 ft,,89-77,,
8:35.0,,,89-77,,Defensive rebound by J. Butler
8:27.0,,,89-77,,J. Butler misses 2-pt shot from 5 ft
8:23.0,Defensive rebound by G. Dragic,,89-77,,
8:20.0,W. Ellington makes 3-pt shot from 24 ft (assist by G. Dragic),3,92-77,,
8:19.0,,,92-77,,Minnesota full timeout
8:19.0,,,92-77,,A. Wiggins enters the game for A. Brooks
8:10.0,,,92-79,2,J. Crawford makes 2-pt shot from 18 ft (assist by K. Towns)
7:52.0,G. Dragic makes 2-pt shot at rim (assist by K. Olynyk),2,94-79,,
7:35.0,Personal foul by K. Olynyk (drawn by K. Towns),,94-79,,
7:30.0,,,94-79,,J. Crawford misses 2-pt shot from 9 ft
7:29.0,,,94-79,,Offensive rebound by S. Muhammad
7:23.0,,,94-81,2,S. Muhammad makes 2-pt shot at rim
7:15.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Johnson),3,97-81,,
6:57.0,,,97-81,,S. Muhammad misses 2-pt shot from 12 ft
6:55.0,Defensive rebound by K. Olynyk,,97-81,,
6:50.0,W. Ellington misses 3-pt shot from 27 ft,,97-81,,
6:46.0,,,97-81,,Defensive rebound by K. Towns
6:38.0,,,97-81,,A. Wiggins misses 2-pt shot from 19 ft
6:34.0,Defensive rebound by K. Olynyk,,97-81,,
6:22.0,W. Ellington makes 3-pt shot from 22 ft (assist by K. Olynyk),3,100-81,,
6:20.0,,,100-81,,Minnesota full timeout
6:20.0,,,100-81,,T. Jones enters the game for J. Crawford
6:20.0,,,100-81,,T. Gibson enters the game for S. Muhammad
6:11.0,,,100-81,,J. Butler misses 2-pt shot from 7 ft
6:08.0,,,100-81,,Offensive rebound by T. Jones
6:03.0,Personal foul by J. Johnson (drawn by J. Butler),,100-81,,
5:55.0,,,100-81,,Shooting foul by G. Dragic (drawn by K. Towns)
5:55.0,,,100-82,1,K. Towns makes free throw 1 of 2
5:55.0,,,100-83,1,K. Towns makes free throw 2 of 2
5:37.0,J. Richardson makes 2-pt shot from 20 ft (assist by K. Olynyk),2,102-83,,
5:21.0,Shooting block foul by K. Olynyk (drawn by K. Towns),,102-83,,
5:21.0,,,102-84,1,K. Towns makes free throw 1 of 2
5:21.0,,,102-85,1,K. Towns makes free throw 2 of 2
5:07.0,Turnover by K. Olynyk (bad pass; steal by T. Jones),,102-85,,
5:04.0,,,102-85,,Turnover by T. Jones (bad pass; steal by G. Dragic)
4:58.0,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson),3,105-85,,
4:42.0,,,105-85,,Shooting foul by G. Dragic (drawn by T. Jones)
4:42.0,,,105-85,,T. Jones misses free throw 1 of 2
4:42.0,,,105-85,,Offensive rebound by Team
4:42.0,,,105-85,,T. Jones misses free throw 2 of 2
4:39.0,,,105-85,,Offensive rebound by K. Towns
4:37.0,,,105-87,2,K. Towns makes 2-pt shot from 5 ft
4:25.0,K. Olynyk misses 2-pt shot from 19 ft,,105-87,,
4:22.0,,,105-87,,Defensive rebound by A. Wiggins
4:14.0,,,105-89,2,A. Wiggins makes 2-pt shot from 19 ft
4:13.0,Miami full timeout,,105-89,,
4:02.0,W. Ellington misses 3-pt shot from 22 ft,,105-89,,
4:00.0,,,105-89,,Defensive rebound by K. Towns
3:55.0,,,105-89,,Turnover by T. Jones (bad pass)
3:32.0,Shooting foul by A. Wiggins (drawn by K. Olynyk),,105-89,,
3:32.0,K. Olynyk makes free throw 1 of 2,1,106-89,,
3:32.0,K. Olynyk makes free throw 2 of 2,1,107-89,,
3:20.0,,,107-91,2,K. Towns makes 2-pt shot from 11 ft (assist by T. Jones)
2:52.0,Turnover by Team (shot clock),,107-91,,
2:40.0,,,107-91,,J. Butler misses 2-pt shot from 18 ft
2:37.0,Defensive rebound by J. Richardson,,107-91,,
2:20.0,J. Richardson misses 3-pt shot from 24 ft,,107-91,,
2:15.0,,,107-91,,Defensive rebound by K. Towns
2:02.0,,,107-93,2,K. Towns makes 2-pt shot from 5 ft (assist by J. Butler)
1:44.0,J. Richardson misses 2-pt shot from 8 ft,,107-93,,
1:40.0,,,107-93,,Defensive rebound by K. Towns
1:37.0,,,107-93,,Offensive charge foul by K. Towns (drawn by K. Olynyk)
1:37.0,,,107-93,,Turnover by K. Towns (offensive foul)
1:15.0,G. Dragic misses 2-pt shot from 17 ft,,107-93,,
1:10.0,,,107-93,,Defensive rebound by K. Towns
1:07.0,,,107-95,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
1:07.0,,,107-95,,Shooting foul by J. Johnson (drawn by K. Towns)
1:07.0,,,107-96,1,K. Towns makes free throw 1 of 1
0:45.0,J. Johnson misses 2-pt shot from 10 ft (block by K. Towns),,107-96,,
0:39.0,,,107-96,,Defensive rebound by T. Gibson
