time,LA Lakers,pts.away,score,pts.home,Memphis
7:11.0,J. Clarkson makes 2-pt shot from 22 ft,2,38-45,,
6:47.0,,,38-45,,J. Green misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by K. Kuzma,,38-45,,
6:40.0,J. Clarkson misses 3-pt shot from 25 ft,,38-45,,
6:36.0,,,38-45,,Defensive rebound by T. Evans
6:29.0,,,38-45,,J. Green misses 2-pt shot at rim
6:26.0,,,38-45,,Offensive rebound by J. Green
6:26.0,,,38-47,2,J. Green makes 2-pt shot at rim
6:06.0,J. Clarkson misses 2-pt shot from 2 ft (block by D. Davis),,38-47,,
6:05.0,Offensive rebound by Team,,38-47,,
6:05.0,,,38-47,,M. Gasol enters the game for J. Ennis
6:05.0,,,38-47,,D. Brooks enters the game for D. Davis
6:05.0,J. Hart enters the game for C. Brewer,,38-47,,
6:05.0,J. Randle enters the game for L. Nance,,38-47,,
6:02.0,K. Kuzma misses 3-pt shot from 24 ft,,38-47,,
5:58.0,,,38-47,,Defensive rebound by A. Harrison
5:51.0,,,38-47,,Turnover by T. Evans (bad pass)
5:36.0,J. Clarkson misses 2-pt shot from 11 ft,,38-47,,
5:32.0,,,38-47,,Defensive rebound by D. Brooks
5:21.0,,,38-49,2,J. Green makes 2-pt shot at rim (assist by T. Evans)
5:04.0,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Clarkson),3,41-49,,
4:48.0,Personal foul by A. Caruso (drawn by A. Harrison),,41-49,,
4:48.0,,,41-49,,M. Chalmers enters the game for T. Evans
4:48.0,K. Caldwell-Pope enters the game for A. Caruso,,41-49,,
4:48.0,T. Ennis enters the game for J. Clarkson,,41-49,,
4:39.0,,,41-49,,Shooting foul by J. Hart (drawn by D. Brooks)
4:39.0,,,41-49,,D. Brooks misses free throw 1 of 2
4:39.0,,,41-49,,Offensive rebound by Team
4:39.0,,,41-50,1,D. Brooks makes free throw 2 of 2
4:33.0,,,41-50,,Personal foul by D. Brooks (drawn by K. Caldwell-Pope)
4:25.0,T. Ennis misses 2-pt shot from 13 ft,,41-50,,
4:23.0,,,41-50,,Defensive rebound by M. Gasol
4:11.0,,,41-50,,D. Brooks misses 2-pt shot from 6 ft
4:09.0,Defensive rebound by K. Caldwell-Pope,,41-50,,
4:06.0,Offensive charge foul by K. Kuzma (drawn by M. Gasol),,41-50,,
4:06.0,Turnover by K. Kuzma (offensive foul),,41-50,,
4:06.0,,,41-50,,J. Ennis enters the game for A. Harrison
4:06.0,,,41-50,,W. Selden enters the game for D. Brooks
3:47.0,,,41-50,,Shooting foul by K. Kuzma (drawn by J. Green)
3:47.0,,,41-50,,J. Green misses free throw 1 of 2
3:47.0,,,41-50,,Offensive rebound by Team
3:47.0,B. Lopez enters the game for K. Kuzma,,41-50,,
3:47.0,,,41-51,1,J. Green makes free throw 2 of 2
3:32.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Ennis),,41-51,,
3:28.0,,,41-53,2,J. Ennis makes 2-pt shot from 1 ft
3:15.0,Turnover by B. Lopez (lost ball; steal by M. Chalmers),,41-53,,
3:11.0,Technical foul by B. Lopez (drawn by W. Selden),,41-53,,
3:11.0,,,41-53,,W. Selden misses flagrant free throw 1 of 2
3:11.0,,,41-53,,Offensive rebound by Team
3:11.0,,,41-54,1,W. Selden makes flagrant free throw 2 of 2
2:53.0,,,41-54,,M. Gasol misses 2-pt shot at rim
2:53.0,Defensive rebound by Team,,41-54,,
2:46.0,Shooting foul by M. Gasol (drawn by B. Lopez),,41-54,,
2:46.0,B. Lopez makes free throw 1 of 2,1,42-54,,
2:46.0,,,42-54,,D. Brooks enters the game for J. Ennis
2:46.0,B. Lopez misses free throw 2 of 2,,42-54,,
2:43.0,,,42-54,,Defensive rebound by J. Green
2:35.0,,,42-54,,M. Chalmers misses 2-pt shot at rim (block by T. Ennis)
2:33.0,Defensive rebound by T. Ennis,,42-54,,
2:22.0,J. Randle misses 2-pt shot from 5 ft,,42-54,,
2:19.0,,,42-54,,Defensive rebound by M. Chalmers
2:06.0,,,42-54,,W. Selden misses 2-pt shot from 9 ft (block by J. Hart)
2:02.0,Defensive rebound by K. Caldwell-Pope,,42-54,,
2:01.0,Turnover by K. Caldwell-Pope (bad pass),,42-54,,
2:01.0,,,42-54,,T. Evans enters the game for W. Selden
1:40.0,,,42-56,2,M. Gasol makes 2-pt shot from 7 ft
1:26.0,J. Randle makes 2-pt shot from 5 ft (assist by B. Lopez),2,44-56,,
1:26.0,Shooting foul by J. Green (drawn by J. Randle),,44-56,,
1:26.0,J. Randle makes free throw 1 of 1,1,45-56,,
1:14.0,,,45-58,2,M. Gasol makes 2-pt shot from 16 ft (assist by D. Brooks)
1:00.0,T. Ennis makes 2-pt shot at rim (assist by B. Lopez),2,47-58,,
0:46.0,Personal foul by K. Caldwell-Pope (drawn by M. Gasol),,47-58,,
0:46.0,,,47-59,1,M. Gasol makes free throw 1 of 2
0:46.0,,,47-59,,J. Martin enters the game for J. Green
0:46.0,,,47-60,1,M. Gasol makes free throw 2 of 2
0:30.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Lopez),3,50-60,,
0:06.0,,,50-60,,M. Chalmers misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by J. Randle,,50-60,,
0:00.0,J. Randle misses 3-pt shot from 43 ft,,50-60,,
0:00.0,Offensive rebound by Team,,50-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,50-60,,Turnover by M. Gasol (bad pass; steal by J. Hart)
11:44.0,Shooting foul by A. Harrison (drawn by J. Hart),,50-60,,
11:44.0,J. Hart makes free throw 1 of 2,1,51-60,,
11:44.0,J. Hart makes free throw 2 of 2,1,52-60,,
11:24.0,,,52-60,,Turnover by M. Gasol (turnover)
11:17.0,,,52-60,,Personal foul by M. Gasol (drawn by B. Lopez)
11:06.0,B. Lopez makes 2-pt shot from 10 ft,2,54-60,,
10:57.0,,,54-60,,J. Green misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by B. Lopez,,54-60,,
10:52.0,J. Hart makes 2-pt shot at rim (assist by T. Ennis),2,56-60,,
10:51.0,,,56-60,,Memphis full timeout
10:41.0,,,56-60,,J. Green misses 2-pt shot from 19 ft
10:38.0,Defensive rebound by K. Caldwell-Pope,,56-60,,
10:29.0,,,56-60,,Personal foul by J. Green (drawn by J. Randle)
10:15.0,T. Ennis misses 3-pt shot from 25 ft,,56-60,,
10:15.0,Offensive rebound by J. Randle,,56-60,,
10:15.0,Turnover by Team (shot clock),,56-60,,
10:07.0,,,56-63,3,D. Brooks makes 3-pt shot from 25 ft (assist by A. Harrison)
9:48.0,B. Lopez misses 3-pt shot from 25 ft,,56-63,,
9:44.0,,,56-63,,Defensive rebound by M. Gasol
9:36.0,,,56-65,2,A. Harrison makes 2-pt shot from 16 ft
9:36.0,LA Lakers full timeout,,56-65,,
9:20.0,B. Lopez makes 2-pt shot from 11 ft (assist by J. Randle),2,58-65,,
9:20.0,Shooting foul by T. Evans (drawn by B. Lopez),,58-65,,
9:20.0,B. Lopez misses free throw 1 of 1,,58-65,,
9:18.0,,,58-65,,Defensive rebound by J. Green
9:07.0,,,58-65,,M. Gasol misses 3-pt shot from 25 ft
9:04.0,,,58-65,,Offensive rebound by T. Evans
9:03.0,,,58-67,2,T. Evans makes 2-pt shot from 1 ft
8:39.0,B. Lopez misses 2-pt shot from 6 ft,,58-67,,
8:37.0,,,58-67,,Defensive rebound by M. Gasol
8:30.0,,,58-67,,A. Harrison misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by K. Caldwell-Pope,,58-67,,
8:22.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,58-67,,
8:19.0,,,58-67,,Defensive rebound by M. Gasol
8:08.0,,,58-67,,M. Gasol misses 2-pt shot from 4 ft
8:06.0,Defensive rebound by K. Caldwell-Pope,,58-67,,
8:06.0,,,58-67,,Personal foul by D. Brooks (drawn by K. Caldwell-Pope)
8:06.0,K. Caldwell-Pope makes free throw 1 of 2,1,59-67,,
8:06.0,K. Caldwell-Pope makes free throw 2 of 2,1,60-67,,
7:50.0,,,60-67,,T. Evans misses 2-pt shot from 1 ft
7:48.0,Defensive rebound by J. Hart,,60-67,,
7:42.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by T. Ennis),3,63-67,,
7:17.0,,,63-67,,M. Gasol misses 2-pt shot from 9 ft (block by J. Randle)
7:14.0,Defensive rebound by T. Ennis,,63-67,,
7:12.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,63-67,,
7:09.0,Offensive rebound by J. Randle,,63-67,,
7:09.0,Shooting foul by J. Green (drawn by J. Randle),,63-67,,
7:09.0,J. Randle makes free throw 1 of 2,1,64-67,,
7:09.0,,,64-67,,J. Martin enters the game for D. Brooks
7:09.0,,,64-67,,J. Ennis enters the game for J. Green
7:09.0,J. Randle makes free throw 2 of 2,1,65-67,,
6:49.0,,,65-70,3,T. Evans makes 3-pt shot from 25 ft
6:30.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Ennis),,65-70,,
6:24.0,,,65-72,2,A. Harrison makes 2-pt shot from 1 ft
6:24.0,,,65-72,,Shooting foul by T. Ennis (drawn by A. Harrison)
6:24.0,,,65-73,1,A. Harrison makes free throw 1 of 1
6:13.0,,,65-73,,Personal foul by A. Harrison (drawn by J. Hart)
6:13.0,J. Hart makes free throw 1 of 2,1,66-73,,
6:13.0,A. Caruso enters the game for T. Ennis,,66-73,,
6:13.0,J. Hart makes free throw 2 of 2,1,67-73,,
5:58.0,,,67-73,,Shooting foul by J. Randle (drawn by J. Ennis)
5:58.0,,,67-74,1,J. Ennis makes free throw 1 of 2
5:58.0,,,67-75,1,J. Ennis makes free throw 2 of 2
5:42.0,J. Hart misses 3-pt shot from 25 ft,,67-75,,
5:39.0,,,67-75,,Defensive rebound by T. Evans
5:36.0,,,67-77,2,J. Ennis makes 2-pt shot from 1 ft (assist by T. Evans)
5:15.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,67-77,,
5:12.0,,,67-77,,Defensive rebound by T. Evans
5:09.0,,,67-79,2,J. Martin makes 2-pt shot at rim (assist by T. Evans)
4:50.0,A. Caruso misses 3-pt shot from 23 ft,,67-79,,
4:47.0,,,67-79,,Defensive rebound by M. Gasol
4:36.0,,,67-79,,A. Harrison misses 2-pt shot from 12 ft
4:33.0,Defensive rebound by J. Randle,,67-79,,
4:27.0,Turnover by J. Randle (out of bounds lost ball),,67-79,,
4:27.0,,,67-79,,M. Chalmers enters the game for A. Harrison
4:27.0,K. Kuzma enters the game for J. Hart,,67-79,,
4:27.0,L. Nance enters the game for B. Lopez,,67-79,,
4:27.0,J. Clarkson enters the game for J. Randle,,67-79,,
4:11.0,,,67-82,3,J. Ennis makes 3-pt shot from 25 ft (assist by M. Gasol)
3:48.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,67-82,,
3:45.0,,,67-82,,Defensive rebound by M. Gasol
3:43.0,,,67-82,,W. Selden enters the game for T. Evans
3:42.0,,,67-82,,Turnover by J. Ennis (bad pass; steal by K. Caldwell-Pope)
3:36.0,A. Caruso makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,69-82,,
3:17.0,,,69-84,2,J. Martin makes 2-pt shot from 20 ft
3:01.0,,,69-84,,Personal foul by J. Ennis (drawn by J. Clarkson)
3:01.0,J. Clarkson makes free throw 1 of 2,1,70-84,,
3:01.0,C. Brewer enters the game for K. Caldwell-Pope,,70-84,,
3:01.0,J. Clarkson makes free throw 2 of 2,1,71-84,,
2:44.0,,,71-84,,Shooting foul by L. Nance (drawn by J. Ennis)
2:44.0,,,71-85,1,J. Ennis makes free throw 1 of 2
2:44.0,,,71-85,,D. Davis enters the game for M. Gasol
2:44.0,,,71-86,1,J. Ennis makes free throw 2 of 2
2:32.0,J. Clarkson misses 2-pt shot from 12 ft,,71-86,,
2:29.0,,,71-86,,Defensive rebound by W. Selden
2:23.0,,,71-86,,J. Ennis misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by K. Kuzma,,71-86,,
2:19.0,Turnover by K. Kuzma (bad pass),,71-86,,
2:04.0,,,71-88,2,W. Selden makes 2-pt shot from 10 ft
2:04.0,,,71-88,,Shooting foul by C. Brewer (drawn by W. Selden)
2:04.0,,,71-89,1,W. Selden makes free throw 1 of 1
1:54.0,Shooting foul by J. Martin (drawn by J. Clarkson),,71-89,,
1:54.0,J. Clarkson makes free throw 1 of 2,1,72-89,,
1:54.0,J. Clarkson makes free throw 2 of 2,1,73-89,,
1:42.0,,,73-89,,Shooting foul by L. Nance (drawn by M. Chalmers)
1:42.0,,,73-90,1,M. Chalmers makes free throw 1 of 2
1:42.0,,,73-91,1,M. Chalmers makes free throw 2 of 2
1:31.0,J. Clarkson misses 2-pt shot from 10 ft,,73-91,,
1:29.0,,,73-91,,Defensive rebound by J. Martin
1:24.0,,,73-91,,Turnover by W. Selden (lost ball; steal by A. Caruso)
1:18.0,A. Caruso misses 2-pt shot from 12 ft (block by J. Ennis),,73-91,,
1:15.0,Offensive rebound by A. Caruso,,73-91,,
1:10.0,J. Clarkson misses 3-pt shot from 25 ft,,73-91,,
1:10.0,Offensive rebound by Team,,73-91,,
1:10.0,,,73-91,,Loose ball foul by M. Chalmers (drawn by K. Kuzma)
1:10.0,K. Kuzma makes free throw 1 of 2,1,74-91,,
1:10.0,K. Kuzma makes free throw 2 of 2,1,75-91,,
1:01.0,,,75-91,,Shooting foul by K. Kuzma (drawn by M. Chalmers)
1:01.0,,,75-92,1,M. Chalmers makes free throw 1 of 2
1:01.0,,,75-93,1,M. Chalmers makes free throw 2 of 2
0:53.0,K. Kuzma misses 3-pt shot from 24 ft,,75-93,,
0:51.0,,,75-93,,Defensive rebound by M. Chalmers
0:47.0,,,75-93,,W. Selden misses 2-pt shot from 1 ft
0:44.0,,,75-93,,Offensive rebound by D. Davis
0:44.0,,,75-95,2,D. Davis makes 2-pt shot at rim
0:30.0,K. Kuzma misses 2-pt shot from 2 ft,,75-95,,
0:28.0,,,75-95,,Defensive rebound by M. Chalmers
0:18.0,,,75-95,,J. Martin misses 2-pt shot from 7 ft
0:17.0,Defensive rebound by L. Nance,,75-95,,
0:17.0,,,75-95,,Personal foul by J. Martin (drawn by L. Nance)
0:17.0,L. Nance makes free throw 1 of 2,1,76-95,,
0:17.0,L. Nance makes free throw 2 of 2,1,77-95,,
0:01.0,,,77-97,2,W. Selden makes 2-pt shot from 1 ft
0:01.0,Turnover by L. Nance (bad pass),,77-97,,
0:01.0,Loose ball foul by J. Clarkson (drawn by J. Martin),,77-97,,
0:01.0,,,77-97,,J. Martin misses free throw 1 of 2
0:01.0,,,77-97,,Offensive rebound by Team
0:01.0,,,77-97,,J. Martin misses free throw 2 of 2
0:00.0,Defensive rebound by L. Nance,,77-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,C. Brewer misses 2-pt shot from 1 ft,,77-97,,
11:44.0,Offensive rebound by L. Nance,,77-97,,
11:44.0,L. Nance misses 2-pt shot at rim,,77-97,,
11:44.0,,,77-97,,Defensive rebound by T. Evans
11:34.0,,,77-97,,J. Ennis misses 2-pt shot at rim (block by L. Nance)
11:31.0,Defensive rebound by J. Hart,,77-97,,
11:29.0,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Hart),3,80-97,,
10:59.0,,,80-97,,W. Selden misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by L. Nance,,80-97,,
10:51.0,Turnover by L. Nance (bad pass; steal by W. Selden),,80-97,,
10:50.0,,,80-97,,Turnover by W. Selden (bad pass)
10:43.0,K. Kuzma misses 2-pt shot at rim (block by D. Davis),,80-97,,
10:43.0,Offensive rebound by Team,,80-97,,
10:34.0,L. Nance makes 2-pt shot from 18 ft (assist by K. Kuzma),2,82-97,,
10:20.0,,,82-99,2,T. Evans makes 2-pt shot at rim
10:07.0,J. Hart makes 3-pt shot from 26 ft (assist by K. Kuzma),3,85-99,,
9:53.0,,,85-101,2,T. Evans makes 2-pt shot at rim
9:39.0,K. Kuzma misses 2-pt shot from 1 ft (block by D. Davis),,85-101,,
