time,Orlando,pts.away,score,pts.home,Brooklyn
11:42.0,J. Simmons misses 2-pt shot from 5 ft,,48-47,,
11:40.0,Offensive rebound by B. Biyombo,,48-47,,
11:37.0,B. Biyombo misses 2-pt shot from 7 ft,,48-47,,
11:37.0,Offensive rebound by J. Simmons,,48-47,,
11:30.0,Shooting foul by T. Zeller (drawn by B. Biyombo),,48-47,,
11:30.0,B. Biyombo makes free throw 1 of 2,1,49-47,,
11:30.0,B. Biyombo makes free throw 2 of 2,1,50-47,,
11:23.0,,,50-47,,A. Crabbe misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by J. Simmons,,50-47,,
11:06.0,J. Simmons misses 3-pt shot from 27 ft,,50-47,,
11:03.0,,,50-47,,Defensive rebound by T. Zeller
10:51.0,,,50-47,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by A. Gordon,,50-47,,
10:44.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,52-47,,
10:29.0,,,52-47,,T. Zeller misses 2-pt shot from 4 ft (block by B. Biyombo)
10:23.0,,,52-47,,Offensive rebound by T. Zeller
10:23.0,,,52-49,2,T. Zeller makes 2-pt shot at rim
10:17.0,E. Payton misses 2-pt shot from 2 ft,,52-49,,
10:14.0,Offensive rebound by B. Biyombo,,52-49,,
10:05.0,J. Simmons makes 2-pt shot from 4 ft (assist by E. Payton),2,54-49,,
9:45.0,,,54-49,,D. Carroll misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by E. Payton,,54-49,,
9:39.0,E. Fournier misses 2-pt shot from 2 ft,,54-49,,
9:37.0,,,54-49,,Defensive rebound by S. Dinwiddie
9:27.0,,,54-52,3,A. Crabbe makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
9:10.0,,,54-52,,Shooting block foul by T. Zeller (drawn by J. Simmons)
9:10.0,J. Simmons makes free throw 1 of 2,1,55-52,,
9:10.0,J. Simmons misses free throw 2 of 2,,55-52,,
9:07.0,,,55-52,,Defensive rebound by R. Hollis-Jefferson
8:45.0,,,55-55,3,T. Zeller makes 3-pt shot from 23 ft (assist by A. Crabbe)
8:35.0,E. Payton misses 2-pt shot from 7 ft,,55-55,,
8:33.0,,,55-55,,Defensive rebound by A. Crabbe
8:24.0,,,55-58,3,S. Dinwiddie makes 3-pt shot from 25 ft
8:22.0,Orlando full timeout,,55-58,,
8:06.0,Offensive foul by E. Fournier (drawn by A. Crabbe),,55-58,,
8:06.0,Turnover by E. Fournier (offensive foul),,55-58,,
7:51.0,,,55-58,,A. Crabbe misses 3-pt shot from 26 ft
7:48.0,Defensive rebound by B. Biyombo,,55-58,,
7:38.0,E. Fournier misses 2-pt shot from 14 ft (block by A. Crabbe),,55-58,,
7:34.0,,,55-58,,Defensive rebound by D. Carroll
7:27.0,,,55-58,,D. Carroll misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by A. Gordon,,55-58,,
7:19.0,A. Gordon misses 3-pt shot from 26 ft,,55-58,,
7:15.0,,,55-58,,Defensive rebound by T. Zeller
7:02.0,,,55-58,,T. Zeller misses 2-pt shot from 3 ft
7:01.0,Defensive rebound by A. Gordon,,55-58,,
6:57.0,A. Gordon misses 2-pt shot from 5 ft (block by R. Hollis-Jefferson),,55-58,,
6:57.0,Offensive rebound by Team,,55-58,,
6:46.0,E. Payton makes 2-pt shot from 13 ft,2,57-58,,
6:32.0,,,57-58,,T. Zeller misses 2-pt shot from 5 ft (block by B. Biyombo)
6:30.0,Defensive rebound by A. Gordon,,57-58,,
6:26.0,A. Gordon misses 3-pt shot from 24 ft,,57-58,,
6:24.0,Offensive rebound by Team,,57-58,,
6:24.0,,,57-58,,Loose ball foul by D. Carroll (drawn by B. Biyombo)
6:24.0,,,57-58,,J. Harris enters the game for T. Zeller
6:24.0,,,57-58,,J. Allen enters the game for A. Crabbe
6:19.0,A. Gordon makes 2-pt shot from 2 ft,2,59-58,,
6:19.0,Shooting foul by R. Hollis-Jefferson (drawn by A. Gordon),,59-58,,
6:19.0,A. Gordon misses free throw 1 of 1,,59-58,,
6:15.0,,,59-58,,Defensive rebound by J. Allen
6:06.0,,,59-58,,Shooting foul by E. Fournier (drawn by S. Dinwiddie)
6:06.0,,,59-59,1,S. Dinwiddie makes free throw 1 of 2
6:06.0,M. Hezonja enters the game for E. Fournier,,59-59,,
6:06.0,,,59-59,,S. Dinwiddie misses free throw 2 of 2
6:04.0,Defensive rebound by B. Biyombo,,59-59,,
5:55.0,,,59-59,,C. LeVert enters the game for S. Dinwiddie
5:49.0,A. Gordon misses 3-pt shot from 25 ft,,59-59,,
5:47.0,Offensive rebound by B. Biyombo,,59-59,,
5:46.0,B. Biyombo misses 2-pt shot from 1 ft,,59-59,,
5:44.0,Offensive rebound by E. Payton,,59-59,,
5:41.0,E. Payton misses 2-pt shot from 2 ft,,59-59,,
5:41.0,Offensive rebound by Team,,59-59,,
5:41.0,,,59-59,,Loose ball foul by D. Carroll (drawn by B. Biyombo)
5:41.0,B. Biyombo makes free throw 1 of 2,1,60-59,,
5:41.0,B. Biyombo makes free throw 2 of 2,1,61-59,,
5:28.0,,,61-61,2,D. Carroll makes 2-pt shot from 4 ft (assist by C. LeVert)
5:17.0,M. Hezonja misses 2-pt shot from 17 ft,,61-61,,
5:15.0,,,61-61,,Defensive rebound by J. Allen
4:54.0,,,61-63,2,J. Allen makes 2-pt shot at rim (assist by C. LeVert)
4:43.0,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton),2,63-63,,
4:43.0,Shooting foul by J. Allen (drawn by B. Biyombo),,63-63,,
4:43.0,,,63-63,,N. Stauskas enters the game for D. Carroll
4:43.0,W. Iwundu enters the game for J. Simmons,,63-63,,
4:43.0,B. Biyombo makes free throw 1 of 1,1,64-63,,
4:23.0,,,64-65,2,J. Allen makes 2-pt shot from 3 ft (assist by C. LeVert)
3:59.0,M. Hezonja makes 2-pt shot from 12 ft,2,66-65,,
3:44.0,,,66-65,,Turnover by C. LeVert (bad pass)
3:27.0,Offensive foul by A. Gordon (drawn by R. Hollis-Jefferson),,66-65,,
3:27.0,Turnover by A. Gordon (offensive foul),,66-65,,
3:27.0,,,66-65,,Brooklyn full timeout
3:14.0,,,66-65,,Shooting foul by B. Biyombo (drawn by C. LeVert)
3:14.0,,,66-65,,C. LeVert misses free throw 1 of 2
3:14.0,,,66-65,,Offensive rebound by Team
3:14.0,,,66-66,1,C. LeVert makes free throw 2 of 2
2:52.0,E. Payton misses 2-pt shot from 12 ft (block by J. Allen),,66-66,,
2:46.0,Offensive rebound by B. Biyombo,,66-66,,
2:45.0,B. Biyombo misses 2-pt shot from 3 ft,,66-66,,
2:43.0,Offensive rebound by B. Biyombo,,66-66,,
2:42.0,Jump ball: R. Hollis-Jefferson vs. B. Biyombo (M. Hezonja gains possession),,,,Jump ball: R. Hollis-Jefferson vs. B. Biyombo (M. Hezonja gains possession)
2:31.0,,,66-66,,Violation by J. Harris (kicked ball)
2:20.0,E. Payton makes 2-pt shot from 18 ft,2,68-66,,
2:03.0,,,68-66,,N. Stauskas misses 2-pt shot from 4 ft
1:58.0,,,68-66,,Offensive rebound by R. Hollis-Jefferson
1:56.0,,,68-66,,R. Hollis-Jefferson misses 2-pt shot from 7 ft
1:56.0,Defensive rebound by B. Biyombo,,68-66,,
1:48.0,E. Payton misses 2-pt shot from 4 ft,,68-66,,
1:45.0,,,68-66,,Defensive rebound by J. Harris
1:40.0,,,68-69,3,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert)
1:20.0,W. Iwundu misses 3-pt shot from 24 ft,,68-69,,
1:17.0,Offensive rebound by A. Gordon,,68-69,,
1:14.0,E. Payton misses 3-pt shot from 26 ft,,68-69,,
1:11.0,,,68-69,,Defensive rebound by N. Stauskas
1:04.0,,,68-69,,Turnover by N. Stauskas (bad pass; steal by E. Payton)
1:02.0,,,68-69,,Personal foul by N. Stauskas (drawn by E. Payton)
1:02.0,,,68-69,,Q. Acy enters the game for R. Hollis-Jefferson
1:02.0,M. Speights enters the game for B. Biyombo,,68-69,,
1:02.0,E. Payton makes clear path free throw 1 of 2,1,69-69,,
1:02.0,E. Payton makes clear path free throw 2 of 2,1,70-69,,
1:02.0,D. Augustin enters the game for E. Payton,,70-69,,
0:41.0,A. Gordon misses 2-pt shot from 4 ft (block by Q. Acy),,70-69,,
0:41.0,,,70-69,,Defensive rebound by N. Stauskas
0:24.0,,,70-71,2,C. LeVert makes 2-pt shot from 1 ft
0:02.0,A. Gordon misses 2-pt shot from 4 ft,,70-71,,
0:02.0,,,70-71,,Defensive rebound by J. Harris
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,70-71,,J. Harris misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by W. Iwundu,,70-71,,
11:35.0,M. Hezonja misses 3-pt shot from 26 ft,,70-71,,
11:33.0,,,70-71,,Defensive rebound by J. Allen
11:17.0,,,70-71,,Shooting foul by M. Speights (drawn by J. Allen)
11:17.0,,,70-71,,J. Allen misses free throw 1 of 2
11:17.0,,,70-71,,Offensive rebound by Team
11:17.0,,,70-72,1,J. Allen makes free throw 2 of 2
11:01.0,E. Fournier makes 2-pt shot from 2 ft,2,72-72,,
10:39.0,,,72-74,2,J. Harris makes 2-pt shot from 7 ft
10:23.0,W. Iwundu makes 2-pt shot from 6 ft,2,74-74,,
10:14.0,,,74-74,,Turnover by C. LeVert (bad pass)
9:54.0,M. Hezonja misses 3-pt shot from 24 ft,,74-74,,
9:52.0,Offensive rebound by W. Iwundu,,74-74,,
9:51.0,W. Iwundu misses 2-pt shot at rim,,74-74,,
9:50.0,Offensive rebound by W. Iwundu,,74-74,,
9:49.0,W. Iwundu misses 2-pt shot from 2 ft,,74-74,,
9:49.0,,,74-74,,Defensive rebound by A. Crabbe
9:43.0,Personal foul by W. Iwundu (drawn by C. LeVert),,74-74,,
9:37.0,,,74-74,,C. LeVert misses 2-pt shot from 4 ft
9:33.0,,,74-74,,Offensive rebound by J. Allen
9:33.0,,,74-76,2,J. Allen makes 2-pt shot at rim
9:23.0,Shooting foul by Q. Acy (drawn by E. Fournier),,74-76,,
9:23.0,E. Fournier makes free throw 1 of 2,1,75-76,,
9:23.0,,,75-76,,R. Hollis-Jefferson enters the game for J. Allen
9:23.0,A. Gordon enters the game for M. Hezonja,,75-76,,
9:23.0,E. Fournier makes free throw 2 of 2,1,76-76,,
9:09.0,,,76-76,,Offensive charge foul by Q. Acy (drawn by W. Iwundu)
9:09.0,,,76-76,,Turnover by Q. Acy (offensive foul)
8:47.0,E. Fournier misses 3-pt shot from 25 ft,,76-76,,
8:43.0,Offensive rebound by W. Iwundu,,76-76,,
8:33.0,Shooting foul by C. LeVert (drawn by E. Fournier),,76-76,,
8:33.0,E. Fournier makes free throw 1 of 2,1,77-76,,
8:33.0,E. Fournier makes free throw 2 of 2,1,78-76,,
8:15.0,,,78-76,,Q. Acy misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by A. Gordon,,78-76,,
8:06.0,D. Augustin misses 3-pt shot from 25 ft,,78-76,,
8:06.0,,,78-76,,Defensive rebound by A. Crabbe
7:55.0,,,78-76,,Turnover by C. LeVert (out of bounds lost ball)
7:55.0,,,78-76,,S. Dinwiddie enters the game for C. LeVert
7:55.0,,,78-76,,D. Carroll enters the game for A. Crabbe
7:49.0,A. Gordon misses 3-pt shot from 25 ft,,78-76,,
7:45.0,,,78-76,,Defensive rebound by D. Carroll
7:38.0,,,78-78,2,J. Harris makes 2-pt shot from 2 ft (assist by D. Carroll)
7:13.0,W. Iwundu makes 3-pt shot from 22 ft (assist by D. Augustin),3,81-78,,
7:04.0,,,81-78,,S. Dinwiddie misses 3-pt shot from 25 ft
7:04.0,,,81-78,,Offensive rebound by Team
7:04.0,Loose ball foul by D. Augustin (drawn by Q. Acy),,81-78,,
7:04.0,J. Simmons enters the game for E. Fournier,,81-78,,
6:51.0,,,81-78,,J. Harris misses 3-pt shot from 25 ft
6:49.0,Defensive rebound by M. Speights,,81-78,,
6:49.0,,,81-78,,Personal foul by Q. Acy (drawn by M. Speights)
6:49.0,,,81-78,,Brooklyn full timeout
6:30.0,Shooting foul by R. Hollis-Jefferson (drawn by D. Augustin),,81-78,,
6:30.0,D. Augustin makes free throw 1 of 2,1,82-78,,
6:30.0,E. Fournier enters the game for M. Speights,,82-78,,
6:30.0,B. Biyombo enters the game for W. Iwundu,,82-78,,
6:30.0,D. Augustin misses free throw 2 of 2,,82-78,,
6:28.0,,,82-78,,Defensive rebound by R. Hollis-Jefferson
