time,LA Lakers,pts.away,score,pts.home,Washington
7:00.0,L. Ball misses 3-pt shot from 26 ft,,41-51,,
6:56.0,,,41-51,,Defensive rebound by I. Mahinmi
6:52.0,,,41-54,2,J. Meeks makes 2-pt shot from 18 ft (assist by T. Frazier)
6:51.0,LA Lakers full timeout,,41-54,,
6:51.0,Technical foul by Team,,41-54,,
6:51.0,,,41-54,,J. Wall enters the game for T. Frazier
6:51.0,B. Lopez enters the game for J. Clarkson,,41-54,,
6:51.0,K. Caldwell-Pope enters the game for J. Randle,,41-54,,
6:51.0,,,41-55,1,B. Beal makes technical free throw
6:42.0,,,41-55,,Personal foul by I. Mahinmi (drawn by B. Ingram)
6:42.0,,,41-55,,M. Gortat enters the game for I. Mahinmi
6:42.0,,,41-55,,M. Morris enters the game for M. Scott
6:35.0,B. Lopez misses 2-pt shot from 1 ft,,41-55,,
6:30.0,,,41-55,,Defensive rebound by J. Meeks
6:19.0,,,41-57,2,B. Beal makes 2-pt shot from 1 ft
6:02.0,B. Lopez misses 2-pt shot from 7 ft,,41-57,,
5:59.0,,,41-57,,Defensive rebound by J. Wall
5:53.0,,,41-57,,J. Wall misses 2-pt shot from 15 ft
5:50.0,Defensive rebound by K. Kuzma,,41-57,,
5:43.0,L. Ball misses 3-pt shot from 22 ft,,41-57,,
5:39.0,Offensive rebound by B. Lopez,,41-57,,
5:37.0,B. Lopez misses 2-pt shot from 3 ft,,41-57,,
5:37.0,Offensive rebound by Team,,41-57,,
5:23.0,Shooting foul by J. Meeks (drawn by B. Ingram),,41-57,,
5:23.0,B. Ingram makes free throw 1 of 2,1,42-57,,
5:23.0,B. Ingram misses free throw 2 of 2,,42-57,,
5:20.0,,,42-57,,Defensive rebound by M. Gortat
5:00.0,,,42-57,,J. Wall misses 2-pt shot from 8 ft (block by B. Lopez)
5:00.0,,,42-57,,Turnover by Team (shot clock)
4:55.0,,,42-57,,Offensive rebound by J. Wall
4:46.0,K. Kuzma misses 2-pt shot from 13 ft,,42-57,,
4:46.0,,,42-57,,Defensive rebound by M. Morris
4:33.0,,,42-57,,B. Beal misses 2-pt shot from 18 ft
4:30.0,Defensive rebound by L. Ball,,42-57,,
4:27.0,B. Ingram makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,44-57,,
4:11.0,,,44-59,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
4:02.0,Turnover by L. Ball (bad pass; steal by J. Meeks),,44-59,,
3:47.0,,,44-59,,Turnover by J. Wall (bad pass; steal by K. Caldwell-Pope)
3:42.0,B. Ingram makes 2-pt shot from 1 ft,2,46-59,,
3:18.0,,,46-61,2,J. Wall makes 2-pt shot from 13 ft
3:07.0,Shooting foul by J. Meeks (drawn by L. Ball),,46-61,,
3:07.0,L. Ball misses free throw 1 of 2,,46-61,,
3:07.0,Offensive rebound by Team,,46-61,,
3:07.0,,,46-61,,O. Porter enters the game for J. Meeks
3:07.0,L. Ball misses free throw 2 of 2,,46-61,,
3:03.0,,,46-61,,Defensive rebound by B. Beal
2:46.0,,,46-61,,Turnover by J. Wall (bad pass; steal by L. Ball)
2:41.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by L. Ball),2,48-61,,
2:34.0,,,48-61,,B. Beal misses 2-pt shot from 11 ft
2:34.0,,,48-61,,Offensive rebound by O. Porter
2:29.0,,,48-63,2,O. Porter makes 2-pt shot at rim
2:20.0,B. Lopez makes 2-pt shot at rim (assist by L. Ball),2,50-63,,
