time,Orlando,pts.away,score,pts.home,Golden State
8:15.0,T. Ross misses 3-pt shot from 27 ft,,36-36,,
8:11.0,,,36-36,,Defensive rebound by K. Thompson
7:54.0,,,36-38,2,N. Young makes 2-pt shot from 1 ft (assist by A. Iguodala)
7:43.0,S. Mack misses 2-pt shot from 4 ft,,36-38,,
7:38.0,,,36-38,,Defensive rebound by D. West
7:36.0,,,36-38,,N. Young misses 2-pt shot from 19 ft
7:33.0,,,36-38,,Offensive rebound by A. Iguodala
7:29.0,,,36-38,,A. Iguodala misses 2-pt shot at rim
7:29.0,Defensive rebound by Team,,36-38,,
7:29.0,,,36-38,,K. Durant enters the game for N. Young
7:29.0,,,36-38,,P. McCaw enters the game for D. Green
7:18.0,T. Ross makes 2-pt shot from 16 ft (assist by S. Mack),2,38-38,,
6:54.0,,,38-40,2,K. Durant makes 2-pt shot from 17 ft (assist by A. Iguodala)
6:38.0,Shooting foul by P. McCaw (drawn by M. Speights),,38-40,,
6:38.0,,,38-40,,Golden State full timeout
6:38.0,,,38-40,,O. Casspi enters the game for A. Iguodala
6:38.0,,,38-40,,S. Livingston enters the game for K. Thompson
6:38.0,A. Gordon enters the game for S. Mack,,38-40,,
6:38.0,E. Payton enters the game for B. Biyombo,,38-40,,
6:38.0,E. Fournier enters the game for J. Simmons,,38-40,,
6:38.0,M. Speights makes free throw 1 of 2,1,39-40,,
6:38.0,M. Speights makes free throw 2 of 2,1,40-40,,
6:19.0,,,40-40,,Turnover by K. Durant (bad pass; steal by E. Fournier)
6:13.0,Turnover by T. Ross (bad pass; steal by D. West),,40-40,,
6:06.0,,,40-40,,S. Livingston misses 2-pt shot from 14 ft
6:00.0,Defensive rebound by M. Speights,,40-40,,
5:45.0,M. Speights makes 2-pt shot from 7 ft (assist by E. Payton),2,42-40,,
5:37.0,,,42-40,,K. Durant misses 2-pt shot from 13 ft
5:34.0,Defensive rebound by A. Gordon,,42-40,,
5:33.0,A. Gordon misses 3-pt shot from 26 ft,,42-40,,
5:30.0,,,42-40,,Defensive rebound by K. Durant
5:22.0,,,42-42,2,S. Livingston makes 2-pt shot from 1 ft (assist by D. West)
5:12.0,M. Speights misses 3-pt shot from 26 ft,,42-42,,
5:09.0,,,42-42,,Defensive rebound by K. Durant
5:03.0,,,42-44,2,K. Durant makes 2-pt shot from 18 ft
4:59.0,Orlando full timeout,,42-44,,
4:59.0,,,42-44,,K. Looney enters the game for D. West
4:59.0,N. Vucevic enters the game for M. Speights,,42-44,,
4:59.0,J. Simmons enters the game for T. Ross,,42-44,,
4:49.0,E. Fournier makes 2-pt shot from 19 ft,2,44-44,,
4:35.0,,,44-44,,Shooting foul by E. Fournier (drawn by K. Durant)
4:35.0,,,44-45,1,K. Durant makes free throw 1 of 2
4:35.0,,,44-46,1,K. Durant makes free throw 2 of 2
4:18.0,A. Gordon misses 2-pt shot from 3 ft (block by K. Looney),,44-46,,
4:13.0,,,44-46,,Defensive rebound by K. Durant
4:08.0,,,44-48,2,K. Durant makes 2-pt shot from 19 ft
3:55.0,E. Payton misses 2-pt shot from 6 ft,,44-48,,
3:49.0,,,44-48,,Defensive rebound by K. Durant
3:48.0,,,44-50,2,S. Livingston makes 2-pt shot from 1 ft (assist by K. Durant)
3:48.0,Orlando full timeout,,44-50,,
3:39.0,E. Fournier misses 3-pt shot from 24 ft,,44-50,,
3:33.0,,,44-50,,Defensive rebound by O. Casspi
3:24.0,,,44-52,2,S. Livingston makes 2-pt shot from 1 ft (assist by K. Durant)
3:15.0,,,44-52,,Personal foul by O. Casspi (drawn by E. Fournier)
3:06.0,J. Simmons makes 2-pt shot from 2 ft,2,46-52,,
3:06.0,Shooting foul by K. Looney (drawn by J. Simmons),,46-52,,
3:06.0,,,46-52,,K. Thompson enters the game for P. McCaw
3:06.0,,,46-52,,D. Green enters the game for O. Casspi
3:06.0,J. Simmons makes free throw 1 of 1,1,47-52,,
2:44.0,,,47-52,,S. Livingston misses 2-pt shot from 11 ft
2:39.0,Defensive rebound by A. Gordon,,47-52,,
2:23.0,N. Vucevic makes 2-pt shot from 16 ft (assist by J. Simmons),2,49-52,,
1:56.0,,,49-52,,K. Looney misses 2-pt shot at rim
1:52.0,Defensive rebound by E. Payton,,49-52,,
1:49.0,E. Fournier makes 3-pt shot from 22 ft (assist by J. Simmons),3,52-52,,
1:38.0,,,52-52,,S. Livingston misses 2-pt shot from 1 ft
1:34.0,,,52-52,,Offensive rebound by K. Thompson
1:33.0,,,52-52,,K. Thompson misses 3-pt shot from 25 ft
1:30.0,,,52-52,,Offensive rebound by S. Livingston
1:24.0,Personal foul by E. Payton (drawn by K. Durant),,52-52,,
1:24.0,T. Ross enters the game for E. Fournier,,52-52,,
1:19.0,,,52-52,,Turnover by D. Green (bad pass; steal by N. Vucevic)
1:14.0,A. Gordon misses 3-pt shot from 22 ft,,52-52,,
1:09.0,,,52-52,,Defensive rebound by K. Looney
1:04.0,,,52-52,,K. Durant misses 3-pt shot from 27 ft
0:59.0,Defensive rebound by A. Gordon,,52-52,,
0:46.0,,,52-52,,Personal foul by S. Livingston (drawn by N. Vucevic)
0:46.0,N. Vucevic makes free throw 1 of 2,1,53-52,,
0:46.0,,,53-52,,N. Young enters the game for K. Looney
0:46.0,N. Vucevic makes free throw 2 of 2,1,54-52,,
0:34.0,,,54-54,2,S. Livingston makes 2-pt shot from 1 ft (assist by D. Green)
0:21.0,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic),2,56-54,,
0:04.0,,,56-56,2,D. Green makes 2-pt shot from 5 ft (assist by S. Livingston)
0:00.0,T. Ross misses 3-pt shot from 35 ft,,56-56,,
0:00.0,Offensive rebound by Team,,56-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,56-58,2,K. Thompson makes 2-pt shot from 18 ft (assist by K. Durant)
11:21.0,N. Vucevic misses 3-pt shot from 27 ft,,56-58,,
11:18.0,,,56-58,,Defensive rebound by S. Livingston
11:11.0,,,56-60,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson)
11:01.0,N. Vucevic misses 2-pt shot from 8 ft,,56-60,,
10:57.0,Offensive rebound by A. Gordon,,56-60,,
10:52.0,Shooting foul by S. Livingston (drawn by N. Vucevic),,56-60,,
10:52.0,N. Vucevic makes free throw 1 of 2,1,57-60,,
10:52.0,N. Vucevic makes free throw 2 of 2,1,58-60,,
10:29.0,,,58-60,,Turnover by K. Thompson (bad pass; steal by T. Ross)
10:29.0,,,58-60,,Personal foul by D. Green (drawn by T. Ross)
10:29.0,Turnover by E. Payton (bad pass; steal by S. Livingston),,58-60,,
10:16.0,,,58-62,2,S. Livingston makes 2-pt shot from 13 ft
9:58.0,A. Gordon misses 2-pt shot from 17 ft,,58-62,,
9:56.0,,,58-62,,Defensive rebound by Z. Pachulia
9:40.0,,,58-64,2,K. Durant makes 2-pt shot from 12 ft (assist by D. Green)
9:29.0,N. Vucevic misses 3-pt shot from 27 ft,,58-64,,
9:26.0,,,58-64,,Defensive rebound by K. Thompson
9:14.0,,,58-64,,D. Green misses 2-pt shot from 1 ft
9:11.0,T. Ross misses 3-pt shot from 25 ft,,58-64,,
9:09.0,Offensive rebound by N. Vucevic,,58-64,,
9:07.0,,,58-64,,Defensive rebound by Team
8:54.0,,,58-66,2,D. Green makes 2-pt shot from 6 ft (assist by S. Livingston)
8:52.0,Orlando full timeout,,58-66,,
8:33.0,E. Payton misses 2-pt shot from 15 ft,,58-66,,
8:28.0,,,58-66,,Defensive rebound by Z. Pachulia
8:15.0,,,58-68,2,D. Green makes 2-pt shot from 1 ft (assist by S. Livingston)
8:00.0,E. Fournier makes 3-pt shot from 28 ft (assist by N. Vucevic),3,61-68,,
7:38.0,,,61-68,,K. Durant misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by A. Gordon,,61-68,,
7:32.0,N. Vucevic misses 2-pt shot from 14 ft,,61-68,,
7:26.0,,,61-68,,Defensive rebound by Z. Pachulia
7:14.0,,,61-68,,S. Livingston misses 2-pt shot from 10 ft
7:13.0,,,61-68,,Offensive rebound by Team
7:12.0,,,61-70,2,K. Durant makes 2-pt shot from 1 ft (assist by S. Livingston)
7:12.0,,,61-70,,Shooting foul by T. Ross (drawn by K. Durant)
7:12.0,,,61-71,1,K. Durant makes free throw 1 of 1
6:58.0,E. Payton makes 2-pt shot from 6 ft (assist by A. Gordon),2,63-71,,
6:41.0,,,63-73,2,K. Durant makes 2-pt shot from 2 ft
6:36.0,Turnover by E. Payton (turnover),,63-73,,
6:27.0,Violation by N. Vucevic (kicked ball),,63-73,,
6:19.0,,,63-76,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Livingston)
5:56.0,Turnover by A. Gordon (lost ball; steal by D. Green),,63-76,,
5:56.0,Personal foul by A. Gordon (drawn by K. Durant),,63-76,,
5:56.0,J. Simmons enters the game for T. Ross,,63-76,,
5:47.0,,,63-76,,Shooting foul by E. Payton (drawn by S. Livingston)
5:47.0,,,63-77,1,S. Livingston makes free throw 1 of 2
5:47.0,,,63-77,,A. Iguodala enters the game for D. Green
5:47.0,,,63-78,1,S. Livingston makes free throw 2 of 2
5:30.0,,,63-78,,Personal foul by S. Livingston (drawn by N. Vucevic)
5:30.0,,,63-78,,K. Looney enters the game for Z. Pachulia
5:30.0,,,63-78,,N. Young enters the game for S. Livingston
5:20.0,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Fournier),2,65-78,,
4:58.0,,,65-78,,K. Thompson misses 2-pt shot from 11 ft
4:55.0,Defensive rebound by N. Vucevic,,65-78,,
4:49.0,A. Gordon misses 2-pt shot from 18 ft,,65-78,,
4:44.0,,,65-78,,Defensive rebound by K. Durant
4:40.0,,,65-78,,Turnover by K. Thompson (bad pass; steal by J. Simmons)
4:37.0,J. Simmons makes 2-pt shot from 1 ft,2,67-78,,
4:37.0,,,67-78,,Golden State full timeout
4:37.0,,,67-78,,O. Casspi enters the game for K. Thompson
4:13.0,,,67-78,,O. Casspi misses 2-pt shot from 3 ft
4:10.0,Defensive rebound by N. Vucevic,,67-78,,
4:05.0,E. Fournier misses 3-pt shot from 26 ft,,67-78,,
4:00.0,,,67-78,,Defensive rebound by O. Casspi
3:54.0,,,67-78,,K. Durant misses 2-pt shot from 19 ft
3:51.0,Defensive rebound by A. Gordon,,67-78,,
3:46.0,E. Payton misses 2-pt shot from 11 ft,,67-78,,
3:39.0,,,67-78,,Defensive rebound by O. Casspi
3:37.0,,,67-80,2,A. Iguodala makes 2-pt shot from 2 ft
3:27.0,,,67-80,,Personal foul by K. Durant (drawn by E. Fournier)
3:27.0,S. Mack enters the game for E. Payton,,67-80,,
3:17.0,N. Vucevic misses 2-pt shot from 16 ft,,67-80,,
3:14.0,,,67-80,,Defensive rebound by O. Casspi
3:07.0,,,67-80,,N. Young misses 3-pt shot from 27 ft
3:03.0,Defensive rebound by J. Simmons,,67-80,,
3:01.0,Shooting foul by O. Casspi (drawn by J. Simmons),,67-80,,
3:01.0,J. Simmons makes free throw 1 of 2,1,68-80,,
3:01.0,J. Simmons makes free throw 2 of 2,1,69-80,,
2:45.0,,,69-82,2,K. Looney makes 2-pt shot from 1 ft (assist by K. Durant)
2:33.0,Shooting foul by A. Iguodala (drawn by E. Fournier),,69-82,,
2:33.0,E. Fournier makes free throw 1 of 2,1,70-82,,
2:33.0,E. Fournier makes free throw 2 of 2,1,71-82,,
2:18.0,,,71-82,,K. Looney misses 2-pt shot from 5 ft
2:15.0,,,71-82,,Offensive rebound by K. Looney
2:14.0,,,71-82,,K. Looney misses 2-pt shot at rim
2:14.0,Defensive rebound by E. Fournier,,71-82,,
2:10.0,Shooting foul by K. Looney (drawn by E. Fournier),,71-82,,
2:10.0,E. Fournier makes free throw 1 of 2,1,72-82,,
2:10.0,,,72-82,,D. Green enters the game for K. Durant
2:10.0,B. Biyombo enters the game for N. Vucevic,,72-82,,
2:10.0,E. Fournier makes free throw 2 of 2,1,73-82,,
1:55.0,,,73-85,3,A. Iguodala makes 3-pt shot from 25 ft (assist by O. Casspi)
1:40.0,A. Gordon misses 3-pt shot from 27 ft,,73-85,,
1:35.0,,,73-85,,Defensive rebound by K. Looney
1:33.0,,,73-85,,Shooting foul by J. Simmons (drawn by D. Green)
1:33.0,,,73-86,1,D. Green makes free throw 1 of 2
1:33.0,,,73-86,,D. Green misses free throw 2 of 2
1:30.0,Defensive rebound by B. Biyombo,,73-86,,
1:14.0,J. Simmons misses 2-pt shot from 19 ft,,73-86,,
1:11.0,,,73-86,,Defensive rebound by O. Casspi
0:55.0,,,73-88,2,K. Looney makes 2-pt shot from 1 ft (assist by D. Green)
0:44.0,J. Simmons makes 2-pt shot from 7 ft (assist by S. Mack),2,75-88,,
0:30.0,,,75-88,,A. Iguodala misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by A. Gordon,,75-88,,
0:02.0,Jump ball: N. Young vs. J. Simmons (K. Looney gains possession),,,,Jump ball: N. Young vs. J. Simmons (K. Looney gains possession)
0:02.0,Turnover by J. Simmons (lost ball; steal by D. Green),,75-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Simmons misses 3-pt shot from 25 ft,,75-88,,
11:38.0,,,75-88,,Defensive rebound by O. Casspi
11:34.0,,,75-88,,Turnover by D. West (bad pass; steal by M. Speights)
11:25.0,B. Biyombo makes 2-pt shot from 6 ft (assist by S. Mack),2,77-88,,
11:25.0,Shooting foul by O. Casspi (drawn by B. Biyombo),,77-88,,
11:25.0,B. Biyombo misses free throw 1 of 1,,77-88,,
11:25.0,,,77-88,,Defensive rebound by A. Iguodala
11:12.0,,,77-88,,K. Thompson misses 2-pt shot from 21 ft
11:08.0,Defensive rebound by J. Simmons,,77-88,,
11:06.0,J. Simmons misses 2-pt shot from 5 ft (block by A. Iguodala),,77-88,,
11:06.0,Offensive rebound by Team,,77-88,,
11:00.0,Offensive charge foul by B. Biyombo (drawn by O. Casspi),,77-88,,
11:00.0,Turnover by B. Biyombo (offensive foul),,77-88,,
10:40.0,,,77-88,,Offensive charge foul by O. Casspi (drawn by S. Mack)
10:40.0,,,77-88,,Turnover by O. Casspi (offensive foul)
10:25.0,T. Ross misses 2-pt shot from 2 ft,,77-88,,
10:24.0,Offensive rebound by M. Speights,,77-88,,
10:24.0,M. Speights misses 2-pt shot from 1 ft (block by D. West),,77-88,,
10:24.0,,,77-88,,Defensive rebound by D. West
10:24.0,Personal foul by M. Speights (drawn by D. West),,77-88,,
10:12.0,,,77-90,2,D. West makes 2-pt shot from 11 ft (assist by K. Thompson)
9:53.0,M. Speights misses 2-pt shot from 7 ft,,77-90,,
9:51.0,,,77-90,,Defensive rebound by Team
9:33.0,,,77-92,2,K. Thompson makes 2-pt shot from 16 ft (assist by D. West)
9:30.0,Orlando full timeout,,77-92,,
9:13.0,T. Ross misses 3-pt shot from 25 ft,,77-92,,
9:09.0,,,77-92,,Defensive rebound by D. West
8:56.0,,,77-92,,D. West misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by B. Biyombo,,77-92,,
8:40.0,J. Simmons misses 2-pt shot from 10 ft,,77-92,,
8:39.0,Offensive rebound by Team,,77-92,,
8:35.0,,,77-92,,Personal foul by D. West (drawn by M. Speights)
8:20.0,J. Simmons makes 2-pt shot from 2 ft,2,79-92,,
8:03.0,,,79-92,,D. Green misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by B. Biyombo,,79-92,,
7:42.0,J. Simmons misses 2-pt shot from 10 ft,,79-92,,
7:38.0,,,79-92,,Defensive rebound by D. West
7:36.0,,,79-92,,Turnover by A. Iguodala (bad pass)
7:36.0,,,79-92,,K. Durant enters the game for O. Casspi
7:36.0,A. Gordon enters the game for M. Speights,,79-92,,
7:26.0,J. Simmons misses 3-pt shot from 22 ft,,79-92,,
7:19.0,,,79-92,,Defensive rebound by D. West
7:16.0,,,79-94,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
7:03.0,S. Mack misses 2-pt shot from 14 ft,,79-94,,
6:59.0,,,79-94,,Defensive rebound by D. West
6:56.0,,,79-97,3,D. Green makes 3-pt shot from 26 ft (assist by K. Durant)
6:52.0,Orlando full timeout,,79-97,,
6:52.0,E. Payton enters the game for S. Mack,,79-97,,
6:52.0,E. Fournier enters the game for B. Biyombo,,79-97,,
6:52.0,N. Vucevic enters the game for J. Simmons,,79-97,,
6:40.0,A. Gordon misses 3-pt shot from 26 ft,,79-97,,
6:39.0,,,79-97,,Defensive rebound by Team
6:39.0,Loose ball foul by N. Vucevic (drawn by D. West),,79-97,,
6:27.0,Violation by N. Vucevic (kicked ball),,79-97,,
6:24.0,,,79-97,,K. Thompson misses 2-pt shot from 11 ft
6:18.0,,,79-97,,Offensive rebound by D. West
6:18.0,,,79-97,,D. West misses 2-pt shot at rim
6:16.0,Defensive rebound by T. Ross,,79-97,,
6:13.0,T. Ross makes 2-pt shot from 1 ft,2,81-97,,
5:47.0,,,81-97,,K. Durant misses 3-pt shot from 23 ft
5:43.0,,,81-97,,Offensive rebound by D. West
5:40.0,,,81-100,3,D. Green makes 3-pt shot from 26 ft (assist by D. West)
5:30.0,E. Payton misses 2-pt shot from 2 ft,,81-100,,
5:24.0,,,81-100,,Defensive rebound by K. Durant
5:23.0,,,81-102,2,D. Green makes 2-pt shot from 1 ft (assist by K. Durant)
5:10.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,84-102,,
5:00.0,,,84-102,,Golden State full timeout
5:00.0,,,84-102,,P. McCaw enters the game for D. West
5:00.0,,,84-102,,Q. Cook enters the game for A. Iguodala
5:00.0,,,84-102,,K. Looney enters the game for D. Green
5:00.0,S. Mack enters the game for A. Gordon,,84-102,,
5:00.0,M. Speights enters the game for T. Ross,,84-102,,
5:00.0,A. Afflalo enters the game for E. Payton,,84-102,,
5:00.0,B. Biyombo enters the game for E. Fournier,,84-102,,
5:00.0,M. Hezonja enters the game for N. Vucevic,,84-102,,
4:53.0,,,84-104,2,K. Looney makes 2-pt shot at rim (assist by K. Thompson)
4:39.0,,,84-104,,Personal take foul by K. Durant (drawn by M. Speights)
4:39.0,,,84-104,,O. Casspi enters the game for K. Thompson
4:39.0,,,84-104,,N. Young enters the game for K. Durant
