time,Washington,pts.away,score,pts.home,New York
8:18.0,M. Gortat makes 2-pt shot from 15 ft (assist by T. Satoransky),2,64-78,,
8:08.0,Personal foul by M. Gortat (drawn by E. Kanter),,64-78,,
8:01.0,,,64-78,,E. Kanter misses 2-pt shot from 16 ft
7:59.0,Defensive rebound by M. Morris,,64-78,,
7:47.0,M. Morris makes 2-pt shot from 9 ft,2,66-78,,
7:30.0,,,66-80,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
7:13.0,M. Gortat makes 2-pt shot at rim (assist by T. Satoransky),2,68-80,,
6:58.0,,,68-80,,C. Lee misses 3-pt shot from 23 ft
6:56.0,,,68-80,,Offensive rebound by E. Kanter
6:56.0,,,68-80,,Shooting foul by M. Morris (drawn by E. Kanter)
6:56.0,,,68-81,1,E. Kanter makes free throw 1 of 2
6:56.0,,,68-81,,E. Kanter misses free throw 2 of 2
6:54.0,Defensive rebound by M. Morris,,68-81,,
6:38.0,B. Beal makes 3-pt shot from 25 ft,3,71-81,,
6:24.0,,,71-81,,T. Hardaway misses 2-pt shot from 21 ft (block by B. Beal)
6:24.0,,,71-81,,Offensive rebound by Team
6:20.0,Personal foul by B. Beal (drawn by T. Hardaway),,71-81,,
6:05.0,,,71-81,,J. Jack misses 2-pt shot from 21 ft
6:03.0,Defensive rebound by M. Morris,,71-81,,
5:53.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat),2,73-81,,
5:41.0,,,73-81,,J. Jack misses 2-pt shot from 1 ft (block by T. Satoransky)
5:39.0,Defensive rebound by B. Beal,,73-81,,
5:38.0,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal),2,75-81,,
5:36.0,,,75-81,,New York full timeout
5:36.0,,,75-81,,F. Ntilikina enters the game for C. Lee
5:36.0,,,75-81,,K. O'Quinn enters the game for E. Kanter
5:26.0,,,75-81,,T. Hardaway misses 2-pt shot from 1 ft (block by T. Satoransky)
5:24.0,Defensive rebound by M. Morris,,75-81,,
5:16.0,B. Beal makes 2-pt shot from 11 ft,2,77-81,,
5:01.0,,,77-83,2,F. Ntilikina makes 2-pt shot from 1 ft
4:42.0,M. Morris makes 2-pt shot from 20 ft,2,79-83,,
4:19.0,,,79-83,,M. Beasley misses 2-pt shot from 18 ft
4:17.0,Defensive rebound by O. Porter,,79-83,,
4:11.0,O. Porter makes 2-pt shot from 1 ft (assist by T. Satoransky),2,81-83,,
3:46.0,,,81-83,,M. Beasley misses 2-pt shot from 6 ft
3:44.0,Defensive rebound by O. Porter,,81-83,,
3:42.0,,,81-83,,Personal take foul by F. Ntilikina (drawn by O. Porter)
3:42.0,,,81-83,,L. Thomas enters the game for M. Beasley
3:42.0,,,81-83,,E. Mudiay enters the game for J. Jack
3:32.0,B. Beal makes 2-pt shot at rim,2,83-83,,
3:13.0,,,83-83,,E. Mudiay misses 2-pt shot from 3 ft
3:11.0,Defensive rebound by M. Gortat,,83-83,,
3:08.0,B. Beal makes 3-pt shot from 25 ft (assist by T. Satoransky),3,86-83,,
3:06.0,,,86-83,,New York full timeout
2:59.0,Personal foul by T. Satoransky (drawn by F. Ntilikina),,86-83,,
2:59.0,,,86-84,1,F. Ntilikina makes free throw 1 of 2
2:59.0,,,86-84,,F. Ntilikina misses free throw 2 of 2
2:57.0,Defensive rebound by M. Gortat,,86-84,,
2:46.0,Turnover by T. Satoransky (bad pass; steal by F. Ntilikina),,86-84,,
2:38.0,,,86-87,3,L. Thomas makes 3-pt shot from 25 ft (assist by E. Mudiay)
2:19.0,Turnover by B. Beal (bad pass; steal by F. Ntilikina),,86-87,,
2:12.0,,,86-87,,T. Hardaway misses 2-pt shot from 2 ft
2:10.0,Defensive rebound by M. Gortat,,86-87,,
2:02.0,B. Beal misses 3-pt shot from 28 ft,,86-87,,
2:00.0,,,86-87,,Defensive rebound by Team
2:00.0,K. Oubre enters the game for O. Porter,,86-87,,
2:00.0,I. Mahinmi enters the game for M. Gortat,,86-87,,
1:43.0,,,86-87,,T. Hardaway misses 2-pt shot from 1 ft (block by I. Mahinmi)
1:41.0,Defensive rebound by K. Oubre,,86-87,,
1:22.0,M. Morris makes 3-pt shot from 23 ft (assist by B. Beal),3,89-87,,
1:00.0,,,89-87,,E. Mudiay misses 2-pt shot from 9 ft
0:58.0,Defensive rebound by I. Mahinmi,,89-87,,
0:53.0,Shooting foul by F. Ntilikina (drawn by I. Mahinmi),,89-87,,
0:53.0,,,89-87,,C. Lee enters the game for T. Hardaway
0:53.0,I. Mahinmi misses free throw 1 of 2,,89-87,,
0:53.0,Offensive rebound by Team,,89-87,,
0:53.0,I. Mahinmi makes free throw 2 of 2,1,90-87,,
0:34.0,,,90-87,,L. Thomas misses 2-pt shot from 17 ft
0:32.0,Defensive rebound by I. Mahinmi,,90-87,,
0:09.0,I. Mahinmi misses 2-pt shot from 11 ft,,90-87,,
0:08.0,Offensive rebound by Team,,90-87,,
0:08.0,Turnover by Team (shot clock),,90-87,,
0:08.0,O. Porter enters the game for I. Mahinmi,,90-87,,
0:02.0,,,90-87,,E. Mudiay misses 2-pt shot from 6 ft
0:01.0,Defensive rebound by T. Satoransky,,90-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,T. Satoransky misses 2-pt shot from 4 ft,,90-87,,
11:48.0,,,90-87,,Defensive rebound by E. Mudiay
11:28.0,,,90-87,,E. Kanter misses 2-pt shot from 16 ft
11:26.0,,,90-87,,Offensive rebound by M. Beasley
11:23.0,,,90-87,,E. Mudiay misses 2-pt shot from 1 ft
11:22.0,,,90-87,,Offensive rebound by E. Mudiay
11:07.0,,,90-87,,M. Beasley misses 2-pt shot from 4 ft
11:05.0,Defensive rebound by T. Satoransky,,90-87,,
10:52.0,M. Scott misses 3-pt shot from 24 ft,,90-87,,
10:50.0,,,90-87,,Defensive rebound by L. Thomas
10:43.0,,,90-89,2,C. Lee makes 2-pt shot from 18 ft (assist by M. Beasley)
