time,Boston,pts.away,score,pts.home,Philadelphia
4:56.0,,,18-17,,M. Fultz misses 2-pt shot from 1 ft (block by D. Theis)
4:56.0,,,18-17,,Offensive rebound by Team
4:56.0,,,18-17,,J. Redick misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by K. Irving,,18-17,,
4:45.0,K. Irving misses 3-pt shot from 29 ft,,18-17,,
4:45.0,Offensive rebound by Team,,18-17,,
4:45.0,,,18-17,,Personal foul by M. Fultz (drawn by T. Rozier)
4:38.0,Shooting foul by D. Saric (drawn by J. Tatum),,18-17,,
4:38.0,J. Tatum makes free throw 1 of 2,1,19-17,,
4:38.0,,,19-17,,T. Luwawu-Cabarrot enters the game for J. Redick
4:38.0,J. Tatum makes free throw 2 of 2,1,20-17,,
4:26.0,,,20-17,,M. Fultz misses 2-pt shot from 5 ft (block by J. Tatum)
4:22.0,Defensive rebound by D. Theis,,20-17,,
4:13.0,A. Horford misses 2-pt shot from 5 ft,,20-17,,
4:10.0,,,20-17,,Defensive rebound by D. Saric
4:08.0,,,20-17,,Turnover by D. Saric (discontinued dribble)
3:57.0,Shooting foul by M. Fultz (drawn by T. Rozier),,20-17,,
3:57.0,T. Rozier misses free throw 1 of 3,,20-17,,
3:57.0,Offensive rebound by Team,,20-17,,
3:57.0,T. Rozier misses free throw 2 of 3,,20-17,,
3:57.0,Offensive rebound by Team,,20-17,,
3:57.0,T. Rozier misses free throw 3 of 3,,20-17,,
3:54.0,,,20-17,,Defensive rebound by D. Saric
3:35.0,,,20-17,,T. McConnell misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by J. Tatum,,20-17,,
3:17.0,K. Irving misses 2-pt shot from 10 ft,,20-17,,
3:14.0,,,20-17,,Defensive rebound by D. Saric
3:08.0,,,20-17,,Turnover by D. Saric (traveling)
2:51.0,J. Tatum misses 2-pt shot from 16 ft,,20-17,,
2:48.0,Offensive rebound by A. Horford,,20-17,,
2:44.0,T. Rozier makes 2-pt shot from 3 ft,2,22-17,,
2:25.0,,,22-17,,M. Fultz misses 2-pt shot from 13 ft
2:23.0,Defensive rebound by J. Tatum,,22-17,,
2:16.0,,,22-17,,Personal foul by T. Luwawu-Cabarrot (drawn by A. Horford)
2:16.0,Boston full timeout,,22-17,,
2:16.0,A. Nader enters the game for K. Irving,,22-17,,
2:16.0,A. Horford makes free throw 1 of 2,1,23-17,,
2:16.0,A. Baynes enters the game for D. Theis,,23-17,,
2:16.0,,,23-17,,J. Bayless enters the game for A. Johnson
2:16.0,,,23-17,,J. Embiid enters the game for M. Fultz
2:16.0,A. Horford makes free throw 2 of 2,1,24-17,,
2:00.0,,,24-17,,Shooting foul by A. Horford (drawn by J. Embiid)
2:00.0,,,24-18,1,J. Embiid makes free throw 1 of 2
2:00.0,S. Larkin enters the game for A. Horford,,24-18,,
2:00.0,,,24-19,1,J. Embiid makes free throw 2 of 2
1:44.0,J. Tatum misses 2-pt shot from 3 ft,,24-19,,
1:38.0,Offensive rebound by A. Baynes,,24-19,,
1:38.0,A. Baynes misses 2-pt shot at rim,,24-19,,
1:38.0,,,24-19,,Defensive rebound by T. McConnell
1:35.0,,,24-19,,J. Bayless misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by A. Baynes,,24-19,,
1:19.0,T. Rozier misses 2-pt shot from 12 ft,,24-19,,
1:15.0,,,24-19,,Defensive rebound by D. Saric
1:05.0,,,24-19,,Shooting foul by A. Baynes (drawn by T. McConnell)
1:05.0,J. Brown enters the game for J. Tatum,,24-19,,
1:05.0,,,24-20,1,T. McConnell makes free throw 1 of 2
1:05.0,,,24-20,,J. Anderson enters the game for D. Saric
1:05.0,,,24-21,1,T. McConnell makes free throw 2 of 2
0:51.0,Offensive foul by A. Baynes (drawn by J. Embiid),,24-21,,
0:51.0,Turnover by A. Baynes (offensive foul),,24-21,,
0:37.0,,,24-21,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft
0:35.0,Defensive rebound by A. Baynes,,24-21,,
0:27.0,A. Nader misses 2-pt shot from 7 ft,,24-21,,
0:25.0,,,24-21,,Defensive rebound by J. Embiid
0:02.0,G. Yabusele enters the game for A. Baynes,,24-21,,
0:02.0,,,24-21,,Turnover by Team (shot clock)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Brown makes 3-pt shot from 26 ft (assist by S. Larkin),3,27-21,,
11:30.0,,,27-21,,J. Bayless misses 2-pt shot from 9 ft
11:27.0,Defensive rebound by G. Yabusele,,27-21,,
11:11.0,,,27-21,,Personal foul by J. Bayless (drawn by S. Larkin)
11:03.0,S. Larkin makes 2-pt shot from 19 ft,2,29-21,,
10:55.0,,,29-21,,Shooting foul by A. Nader (drawn by B. Simmons)
10:55.0,,,29-21,,B. Simmons misses free throw 1 of 2
10:55.0,,,29-21,,Offensive rebound by Team
10:55.0,,,29-21,,B. Simmons misses free throw 2 of 2
10:52.0,Defensive rebound by T. Rozier,,29-21,,
10:45.0,Offensive foul by G. Yabusele (drawn by J. Embiid),,29-21,,
10:45.0,Turnover by G. Yabusele (offensive foul),,29-21,,
10:31.0,,,29-24,3,R. Covington makes 3-pt shot from 27 ft (assist by J. Embiid)
10:16.0,G. Yabusele makes 3-pt shot from 25 ft (assist by S. Larkin),3,32-24,,
9:56.0,,,32-24,,Turnover by B. Simmons (turnover)
9:46.0,Turnover by G. Yabusele (traveling),,32-24,,
9:32.0,,,32-24,,B. Simmons misses 2-pt shot from 2 ft
9:27.0,Defensive rebound by T. Rozier,,32-24,,
9:26.0,A. Nader misses 3-pt shot from 22 ft,,32-24,,
9:25.0,,,32-24,,Defensive rebound by Team
9:14.0,,,32-24,,J. Embiid misses 2-pt shot from 10 ft
9:11.0,Defensive rebound by A. Nader,,32-24,,
8:59.0,G. Yabusele misses 2-pt shot from 3 ft,,32-24,,
8:57.0,,,32-24,,Defensive rebound by J. Embiid
8:49.0,Personal foul by J. Brown (drawn by J. Embiid),,32-24,,
8:49.0,,,32-24,,A. Johnson enters the game for J. Embiid
8:49.0,D. Theis enters the game for T. Rozier,,32-24,,
8:49.0,K. Irving enters the game for G. Yabusele,,32-24,,
8:38.0,,,32-24,,J. Redick misses 2-pt shot from 22 ft
8:33.0,Defensive rebound by A. Nader,,32-24,,
8:22.0,S. Larkin misses 2-pt shot from 21 ft,,32-24,,
8:19.0,,,32-24,,Defensive rebound by B. Simmons
8:16.0,,,32-26,2,B. Simmons makes 2-pt shot from 1 ft
7:50.0,J. Brown makes 2-pt shot from 11 ft,2,34-26,,
7:34.0,,,34-29,3,J. Redick makes 3-pt shot from 26 ft (assist by R. Covington)
7:18.0,Turnover by D. Theis (traveling),,34-29,,
7:18.0,,,34-29,,Philadelphia full timeout
7:18.0,A. Horford enters the game for A. Nader,,34-29,,
7:03.0,,,34-29,,Offensive charge foul by R. Covington (drawn by J. Brown)
7:03.0,,,34-29,,Turnover by R. Covington (offensive foul)
7:03.0,,,34-29,,D. Saric enters the game for R. Covington
6:52.0,K. Irving misses 3-pt shot from 26 ft,,34-29,,
6:48.0,Offensive rebound by D. Theis,,34-29,,
6:45.0,K. Irving makes 2-pt shot from 1 ft (assist by D. Theis),2,36-29,,
6:32.0,,,36-29,,J. Redick misses 2-pt shot from 14 ft
6:30.0,,,36-29,,Offensive rebound by B. Simmons
6:30.0,,,36-29,,Technical foul by J. Redick
6:30.0,K. Irving makes technical free throw,1,37-29,,
6:30.0,T. Rozier enters the game for J. Brown,,37-29,,
6:30.0,J. Tatum enters the game for S. Larkin,,37-29,,
6:26.0,Personal foul by D. Theis (drawn by J. Redick),,37-29,,
6:13.0,,,37-29,,B. Simmons misses 2-pt shot from 8 ft
6:11.0,,,37-29,,Offensive rebound by A. Johnson
6:09.0,,,37-29,,A. Johnson misses 2-pt shot from 1 ft (block by J. Tatum)
6:09.0,,,37-29,,Offensive rebound by D. Saric
6:08.0,,,37-31,2,D. Saric makes 2-pt shot from 1 ft
5:52.0,D. Theis misses 3-pt shot from 25 ft,,37-31,,
5:48.0,,,37-31,,Defensive rebound by B. Simmons
5:42.0,,,37-34,3,J. Bayless makes 3-pt shot from 24 ft (assist by B. Simmons)
5:30.0,A. Horford misses 3-pt shot from 26 ft,,37-34,,
5:30.0,Offensive rebound by Team,,37-34,,
5:30.0,,,37-34,,Loose ball foul by A. Johnson (drawn by D. Theis)
5:30.0,,,37-34,,T. Luwawu-Cabarrot enters the game for B. Simmons
5:30.0,,,37-34,,T. McConnell enters the game for J. Bayless
5:29.0,,,37-34,,Personal foul by T. McConnell (drawn by K. Irving)
5:22.0,Turnover by J. Tatum (traveling),,37-34,,
5:14.0,,,37-37,3,J. Redick makes 3-pt shot from 25 ft (assist by A. Johnson)
5:13.0,Boston full timeout,,37-37,,
5:13.0,J. Brown enters the game for D. Theis,,37-37,,
5:01.0,K. Irving makes 2-pt shot from 2 ft (assist by A. Horford),2,39-37,,
4:56.0,,,39-37,,Offensive foul by T. McConnell (drawn by T. Rozier)
4:56.0,,,39-37,,Turnover by T. McConnell (offensive foul)
4:41.0,Turnover by K. Irving (bad pass; steal by T. McConnell),,39-37,,
4:31.0,,,39-37,,J. Redick misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by J. Brown,,39-37,,
4:22.0,J. Brown misses 2-pt shot from 2 ft,,39-37,,
4:20.0,,,39-37,,Defensive rebound by A. Johnson
4:15.0,,,39-39,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by J. Redick)
3:55.0,J. Brown makes 2-pt shot at rim (assist by T. Rozier),2,41-39,,
3:55.0,Shooting foul by T. McConnell (drawn by J. Brown),,41-39,,
3:55.0,,,41-39,,M. Fultz enters the game for A. Johnson
3:55.0,,,41-39,,B. Simmons enters the game for T. McConnell
3:55.0,,,41-39,,J. Embiid enters the game for J. Redick
3:55.0,J. Brown misses free throw 1 of 1,,41-39,,
3:53.0,,,41-39,,Defensive rebound by B. Simmons
3:48.0,Personal foul by T. Rozier (drawn by T. Luwawu-Cabarrot),,41-39,,
3:41.0,,,41-39,,Shooting foul by J. Tatum (drawn by M. Fultz)
3:41.0,,,41-40,1,M. Fultz makes free throw 1 of 2
3:41.0,,,41-41,1,M. Fultz makes free throw 2 of 2
3:18.0,A. Horford makes 3-pt shot from 25 ft (assist by T. Rozier),3,44-41,,
3:06.0,,,44-41,,Turnover by B. Simmons (bad pass; steal by J. Brown)
3:03.0,Shooting foul by M. Fultz (drawn by J. Brown),,44-41,,
3:03.0,J. Brown misses free throw 1 of 2,,44-41,,
3:03.0,Offensive rebound by Team,,44-41,,
3:03.0,J. Brown misses free throw 2 of 2,,44-41,,
3:01.0,,,44-41,,Defensive rebound by B. Simmons
2:47.0,,,44-43,2,M. Fultz makes 2-pt shot from 7 ft (assist by J. Embiid)
2:30.0,J. Tatum misses 2-pt shot from 6 ft (block by J. Embiid),,44-43,,
2:27.0,Offensive rebound by J. Tatum,,44-43,,
2:25.0,Turnover by J. Tatum (bad pass; steal by M. Fultz),,44-43,,
2:23.0,,,44-43,,D. Saric misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by T. Rozier,,44-43,,
2:08.0,K. Irving makes 2-pt shot from 3 ft,2,46-43,,
1:54.0,,,46-43,,J. Embiid misses 2-pt shot from 13 ft
1:51.0,Defensive rebound by J. Brown,,46-43,,
1:45.0,A. Horford misses 3-pt shot from 25 ft,,46-43,,
1:42.0,Offensive rebound by Team,,46-43,,
1:31.0,Offensive foul by A. Horford (drawn by M. Fultz),,46-43,,
1:31.0,Turnover by A. Horford (offensive foul),,46-43,,
1:31.0,G. Yabusele enters the game for J. Brown,,46-43,,
1:27.0,Personal foul by G. Yabusele (drawn by B. Simmons),,46-43,,
1:27.0,J. Brown enters the game for G. Yabusele,,46-43,,
1:27.0,,,46-43,,B. Simmons misses free throw 1 of 2
1:27.0,,,46-43,,Offensive rebound by Team
1:27.0,,,46-44,1,B. Simmons makes free throw 2 of 2
1:20.0,Turnover by K. Irving (out of bounds lost ball),,46-44,,
1:14.0,Personal foul by J. Brown (drawn by B. Simmons),,46-44,,
1:14.0,,,46-45,1,B. Simmons makes free throw 1 of 2
1:14.0,,,46-46,1,B. Simmons makes free throw 2 of 2
1:02.0,J. Tatum misses 3-pt shot from 25 ft,,46-46,,
0:59.0,,,46-46,,Defensive rebound by M. Fultz
0:50.0,,,46-46,,M. Fultz misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by T. Rozier,,46-46,,
0:44.0,Turnover by T. Rozier (bad pass; steal by T. Luwawu-Cabarrot),,46-46,,
0:39.0,,,46-48,2,B. Simmons makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot)
0:32.0,Offensive foul by T. Rozier (drawn by T. Luwawu-Cabarrot),,46-48,,
0:32.0,Turnover by T. Rozier (offensive foul),,46-48,,
0:24.0,,,46-48,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by A. Horford,,46-48,,
0:18.0,T. Rozier misses 3-pt shot from 24 ft,,46-48,,
0:18.0,,,46-48,,Defensive rebound by J. Embiid
0:02.0,,,46-48,,J. Embiid misses 3-pt shot from 25 ft
0:00.0,,,46-48,,Offensive rebound by D. Saric
0:00.0,,,46-50,2,D. Saric makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Horford misses 2-pt shot from 14 ft,,46-50,,
11:42.0,,,46-50,,Defensive rebound by J. Embiid
11:35.0,,,46-52,2,J. Bayless makes 2-pt shot from 16 ft (assist by J. Embiid)
11:20.0,A. Baynes misses 2-pt shot from 17 ft,,46-52,,
11:17.0,,,46-52,,Defensive rebound by J. Embiid
11:03.0,,,46-52,,J. Embiid misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by J. Brown,,46-52,,
10:52.0,J. Brown misses 2-pt shot from 1 ft,,46-52,,
10:50.0,,,46-52,,Defensive rebound by J. Embiid
10:43.0,,,46-55,3,R. Covington makes 3-pt shot from 22 ft (assist by J. Redick)
10:42.0,Boston full timeout,,46-55,,
10:34.0,K. Irving misses 2-pt shot from 17 ft,,46-55,,
10:32.0,,,46-55,,Defensive rebound by Team
10:20.0,,,46-55,,B. Simmons misses 2-pt shot from 2 ft
10:19.0,Defensive rebound by J. Tatum,,46-55,,
10:18.0,,,46-55,,Personal foul by B. Simmons (drawn by J. Tatum)
10:07.0,Turnover by J. Tatum (bad pass; steal by B. Simmons),,46-55,,
10:03.0,Personal foul by J. Tatum (drawn by J. Redick),,46-55,,
10:03.0,T. Rozier enters the game for J. Tatum,,46-55,,
9:50.0,,,46-55,,J. Bayless misses 2-pt shot from 11 ft
9:48.0,Defensive rebound by A. Baynes,,46-55,,
9:32.0,J. Brown misses 2-pt shot from 4 ft,,46-55,,
9:26.0,Offensive rebound by A. Baynes,,46-55,,
9:26.0,A. Baynes makes 2-pt shot at rim,2,48-55,,
9:16.0,,,48-55,,R. Covington misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by T. Rozier,,48-55,,
8:56.0,T. Rozier makes 3-pt shot from 25 ft (assist by A. Baynes),3,51-55,,
8:47.0,,,51-58,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons)
8:28.0,J. Brown misses 2-pt shot from 11 ft,,51-58,,
8:26.0,,,51-58,,Defensive rebound by J. Embiid
8:18.0,,,51-58,,J. Embiid misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by J. Brown,,51-58,,
8:08.0,Turnover by A. Horford (bad pass; steal by J. Embiid),,51-58,,
8:08.0,Personal foul by A. Baynes (drawn by J. Redick),,51-58,,
8:08.0,,,51-58,,A. Johnson enters the game for J. Embiid
8:08.0,J. Tatum enters the game for A. Baynes,,51-58,,
7:50.0,,,51-58,,J. Redick misses 3-pt shot from 26 ft
7:48.0,,,51-58,,Offensive rebound by Team
7:43.0,,,51-58,,A. Johnson misses 2-pt shot from 12 ft
7:40.0,Defensive rebound by A. Horford,,51-58,,
7:35.0,J. Brown misses 3-pt shot from 22 ft,,51-58,,
7:30.0,Offensive rebound by J. Tatum,,51-58,,
7:20.0,J. Brown misses 3-pt shot from 26 ft,,51-58,,
7:16.0,,,51-58,,Defensive rebound by B. Simmons
7:08.0,,,51-58,,B. Simmons misses 2-pt shot from 9 ft
7:06.0,Defensive rebound by J. Tatum,,51-58,,
7:00.0,J. Brown misses 2-pt shot from 4 ft,,51-58,,
7:00.0,Offensive rebound by T. Rozier,,51-58,,
6:58.0,T. Rozier makes 2-pt shot from 9 ft,2,53-58,,
6:58.0,,,53-58,,Philadelphia full timeout
6:58.0,,,53-58,,D. Saric enters the game for A. Johnson
6:42.0,,,53-61,3,J. Bayless makes 3-pt shot from 26 ft (assist by J. Redick)
6:20.0,,,53-61,,Personal foul by D. Saric (drawn by A. Horford)
6:20.0,,,53-61,,Personal foul by B. Simmons (drawn by J. Tatum)
6:20.0,K. Irving misses free throw 1 of 1,,53-61,,
6:20.0,,,53-61,,Defensive rebound by Team
6:07.0,Shooting foul by J. Bayless (drawn by J. Tatum),,53-61,,
6:07.0,J. Bird enters the game for J. Brown,,53-61,,
6:07.0,J. Tatum makes free throw 1 of 3,1,54-61,,
6:07.0,J. Tatum makes free throw 2 of 3,1,55-61,,
6:07.0,,,55-61,,T. McConnell enters the game for J. Bayless
6:07.0,,,55-61,,T. Luwawu-Cabarrot enters the game for B. Simmons
6:07.0,J. Tatum makes free throw 3 of 3,1,56-61,,
5:57.0,,,56-63,2,J. Redick makes 2-pt shot from 21 ft (assist by D. Saric)
5:46.0,A. Horford misses 3-pt shot from 29 ft,,56-63,,
5:43.0,,,56-63,,Defensive rebound by T. McConnell
5:27.0,,,56-63,,T. Luwawu-Cabarrot misses 3-pt shot from 22 ft
5:25.0,Defensive rebound by T. Rozier,,56-63,,
5:19.0,J. Bird misses 3-pt shot from 28 ft,,56-63,,
5:16.0,,,56-63,,Defensive rebound by T. McConnell
5:09.0,,,56-63,,R. Covington misses 3-pt shot from 25 ft
5:04.0,,,56-63,,Offensive rebound by D. Saric
5:04.0,,,56-63,,D. Saric misses 2-pt shot from 1 ft (block by A. Horford)
5:04.0,,,56-63,,Offensive rebound by Team
5:04.0,,,56-63,,M. Fultz enters the game for J. Redick
5:02.0,,,56-63,,D. Saric misses 2-pt shot from 16 ft
4:58.0,Defensive rebound by J. Tatum,,56-63,,
4:46.0,Offensive foul by K. Irving (drawn by T. Luwawu-Cabarrot),,56-63,,
4:46.0,Turnover by K. Irving (offensive foul),,56-63,,
4:46.0,,,56-63,,J. Embiid enters the game for R. Covington
4:35.0,,,56-65,2,J. Embiid makes 2-pt shot from 2 ft (assist by D. Saric)
4:20.0,,,56-65,,Personal foul by T. McConnell (drawn by K. Irving)
4:20.0,K. Irving makes free throw 1 of 2,1,57-65,,
4:20.0,K. Irving makes free throw 2 of 2,1,58-65,,
4:05.0,,,58-65,,D. Saric misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by K. Irving,,58-65,,
3:52.0,A. Horford misses 2-pt shot from 3 ft (block by D. Saric),,58-65,,
3:50.0,,,58-65,,Defensive rebound by M. Fultz
3:47.0,,,58-65,,M. Fultz misses 2-pt shot from 3 ft
3:47.0,,,58-65,,Offensive rebound by T. McConnell
3:43.0,,,58-65,,Turnover by J. Embiid (traveling)
3:33.0,K. Irving misses 2-pt shot from 2 ft,,58-65,,
3:28.0,Offensive rebound by A. Horford,,58-65,,
3:28.0,A. Horford misses 2-pt shot at rim,,58-65,,
3:26.0,Offensive rebound by A. Horford,,58-65,,
3:25.0,T. Rozier misses 3-pt shot from 25 ft,,58-65,,
3:25.0,,,58-65,,Defensive rebound by D. Saric
3:18.0,,,58-65,,D. Saric misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by A. Horford,,58-65,,
3:09.0,Shooting foul by M. Fultz (drawn by J. Bird),,58-65,,
3:09.0,J. Bird misses free throw 1 of 3,,58-65,,
3:09.0,Offensive rebound by Team,,58-65,,
3:09.0,J. Bird makes free throw 2 of 3,1,59-65,,
3:09.0,A. Baynes enters the game for A. Horford,,59-65,,
3:09.0,J. Bird makes free throw 3 of 3,1,60-65,,
3:03.0,,,60-65,,Offensive charge foul by D. Saric (drawn by A. Baynes)
3:03.0,,,60-65,,Turnover by D. Saric (offensive foul)
2:54.0,Turnover by K. Irving (lost ball; steal by T. McConnell),,60-65,,
2:43.0,,,60-65,,Offensive foul by D. Saric (drawn by A. Baynes)
2:43.0,,,60-65,,Turnover by D. Saric (offensive foul)
2:43.0,,,60-65,,B. Simmons enters the game for D. Saric
2:29.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Tatum),,60-65,,
2:29.0,J. Tatum makes free throw 1 of 2,1,61-65,,
2:29.0,J. Tatum makes free throw 2 of 2,1,62-65,,
2:21.0,,,62-67,2,T. McConnell makes 2-pt shot from 2 ft
2:09.0,A. Baynes makes 2-pt shot from 18 ft (assist by K. Irving),2,64-67,,
1:58.0,,,64-69,2,M. Fultz makes 2-pt shot from 13 ft
1:58.0,,,64-69,,Shooting foul by A. Baynes (drawn by J. Embiid)
1:58.0,,,64-70,1,J. Embiid makes free throw 1 of 1
1:58.0,,,64-70,,J. Bayless enters the game for T. Luwawu-Cabarrot
1:34.0,J. Tatum misses 3-pt shot from 30 ft,,64-70,,
1:30.0,Offensive rebound by K. Irving,,64-70,,
1:30.0,Shooting foul by T. McConnell (drawn by J. Bird),,64-70,,
1:30.0,J. Bird misses free throw 1 of 2,,64-70,,
1:30.0,Offensive rebound by Team,,64-70,,
1:30.0,,,64-70,,J. Redick enters the game for T. McConnell
1:30.0,J. Brown enters the game for J. Tatum,,64-70,,
1:30.0,S. Larkin enters the game for K. Irving,,64-70,,
1:30.0,J. Bird makes free throw 2 of 2,1,65-70,,
1:22.0,,,65-70,,Offensive foul by J. Embiid (drawn by J. Brown)
1:22.0,,,65-70,,Turnover by J. Embiid (offensive foul)
1:08.0,T. Rozier makes 2-pt shot from 3 ft,2,67-70,,
0:55.0,,,67-72,2,J. Embiid makes 2-pt shot at rim (assist by M. Fultz)
0:36.0,Turnover by S. Larkin (traveling),,67-72,,
0:27.0,,,67-72,,J. Bayless enters the game for T. Luwawu-Cabarrot
0:27.0,,,67-72,,J. Bayless misses 3-pt shot from 23 ft
0:19.0,Defensive rebound by J. Bird,,67-72,,
0:02.0,T. Rozier misses 3-pt shot from 28 ft,,67-72,,
0:02.0,Offensive rebound by A. Baynes,,67-72,,
0:00.0,A. Baynes makes 2-pt shot at rim,2,69-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,69-74,2,B. Simmons makes 2-pt shot from 1 ft
11:30.0,T. Rozier makes 3-pt shot from 24 ft (assist by S. Larkin),3,72-74,,
11:16.0,,,72-74,,Shooting foul by D. Theis (drawn by D. Saric)
11:16.0,,,72-75,1,D. Saric makes free throw 1 of 2
11:16.0,,,72-75,,D. Saric misses free throw 2 of 2
