time,Houston,pts.away,score,pts.home,Charlotte
7:04.0,Turnover by E. Gordon (lost ball; steal by D. Howard),,11-15,,
6:58.0,,,11-15,,K. Walker misses 2-pt shot from 1 ft
6:50.0,,,11-15,,Offensive rebound by D. Howard
6:50.0,,,11-17,2,D. Howard makes 2-pt shot at rim
6:40.0,J. Harden misses 3-pt shot from 27 ft,,11-17,,
6:39.0,,,11-17,,Defensive rebound by Team
6:39.0,,,11-17,,Charlotte full timeout
6:39.0,,,11-17,,D. Bacon enters the game for M. Kidd-Gilchrist
6:39.0,P. Tucker enters the game for R. Anderson,,11-17,,
6:29.0,,,11-19,2,D. Howard makes 2-pt shot from 2 ft (assist by J. Lamb)
6:12.0,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon),2,13-19,,
6:12.0,Shooting foul by M. Williams (drawn by C. Capela),,13-19,,
6:12.0,C. Capela makes free throw 1 of 1,1,14-19,,
5:59.0,,,14-19,,J. Lamb misses 2-pt shot from 10 ft
5:56.0,Defensive rebound by P. Tucker,,14-19,,
5:51.0,P. Tucker misses 2-pt shot from 19 ft,,14-19,,
5:48.0,,,14-19,,Defensive rebound by D. Bacon
5:41.0,,,14-19,,Turnover by D. Bacon (bad pass; steal by J. Harden)
5:37.0,J. Harden makes 2-pt shot at rim,2,16-19,,
5:17.0,,,16-19,,D. Howard misses 2-pt shot from 2 ft
5:14.0,,,16-19,,Offensive rebound by D. Howard
5:11.0,,,16-19,,D. Bacon misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by J. Harden,,16-19,,
5:00.0,Turnover by E. Gordon (bad pass; steal by K. Walker),,16-19,,
4:45.0,,,16-19,,D. Howard misses 2-pt shot from 17 ft
4:43.0,Defensive rebound by P. Tucker,,16-19,,
4:35.0,P. Tucker misses 2-pt shot from 22 ft,,16-19,,
4:30.0,,,16-19,,Defensive rebound by M. Williams
4:20.0,,,16-22,3,K. Walker makes 3-pt shot from 25 ft
4:02.0,J. Harden misses 3-pt shot from 26 ft,,16-22,,
3:58.0,,,16-22,,Defensive rebound by J. Lamb
3:48.0,,,16-22,,M. Williams misses 2-pt shot from 16 ft
3:46.0,,,16-22,,Offensive rebound by D. Howard
3:46.0,,,16-22,,Shooting foul by C. Capela (drawn by D. Howard)
3:46.0,,,16-22,,D. Howard misses free throw 1 of 2
3:46.0,,,16-22,,Offensive rebound by Team
3:46.0,,,16-22,,M. Monk enters the game for M. Williams
3:46.0,,,16-22,,F. Kaminsky enters the game for K. Walker
3:46.0,B. Brown enters the game for E. Gordon,,16-22,,
3:46.0,T. Black enters the game for C. Capela,,16-22,,
3:46.0,,,16-22,,D. Howard misses free throw 2 of 2
3:43.0,Defensive rebound by P. Tucker,,16-22,,
3:36.0,Turnover by J. Harden (bad pass; steal by J. Lamb),,16-22,,
3:21.0,,,16-22,,Turnover by J. Lamb (bad pass; steal by L. Mbah a Moute)
3:05.0,P. Tucker makes 3-pt shot from 22 ft (assist by J. Harden),3,19-22,,
2:54.0,,,19-22,,M. Monk misses 3-pt shot from 28 ft
2:51.0,Defensive rebound by B. Brown,,19-22,,
2:44.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,19-22,,
2:41.0,Offensive rebound by L. Mbah a Moute,,19-22,,
2:39.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,21-22,,
2:33.0,,,21-22,,Charlotte full timeout
2:33.0,,,21-22,,J. O'Bryant enters the game for D. Howard
2:33.0,R. Anderson enters the game for L. Mbah a Moute,,21-22,,
2:24.0,,,21-25,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by M. Monk)
2:06.0,B. Brown makes 3-pt shot from 28 ft (assist by J. Harden),3,24-25,,
1:48.0,,,24-28,3,J. Lamb makes 3-pt shot from 24 ft (assist by J. O'Bryant)
1:37.0,J. Harden makes 2-pt shot from 1 ft,2,26-28,,
1:37.0,Shooting foul by D. Bacon (drawn by J. Harden),,26-28,,
1:37.0,J. Harden makes free throw 1 of 1,1,27-28,,
1:17.0,,,27-28,,D. Bacon misses 2-pt shot from 20 ft
1:13.0,Defensive rebound by P. Tucker,,27-28,,
1:07.0,Turnover by J. Harden (bad pass; steal by M. Monk),,27-28,,
1:06.0,,,27-28,,Shooting foul by P. Tucker (drawn by M. Monk)
1:06.0,,,27-29,1,M. Monk makes free throw 1 of 2
1:06.0,,,27-30,1,M. Monk makes free throw 2 of 2
0:44.0,J. Harden misses 2-pt shot from 16 ft,,27-30,,
0:42.0,Offensive rebound by T. Black,,27-30,,
0:40.0,B. Brown misses 3-pt shot from 27 ft,,27-30,,
0:40.0,,,27-30,,Defensive rebound by D. Bacon
0:31.0,,,27-30,,Turnover by J. Lamb (lost ball; steal by B. Brown)
0:12.0,Offensive foul by T. Black (drawn by J. Lamb),,27-30,,
0:12.0,Turnover by T. Black (offensive foul),,27-30,,
0:00.0,,,27-30,,F. Kaminsky misses 3-pt shot from 23 ft
0:00.0,,,27-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,B. Brown misses 3-pt shot from 26 ft,,27-30,,
11:41.0,,,27-30,,Defensive rebound by J. O'Bryant
11:36.0,Personal foul by T. Black (drawn by D. Bacon),,27-30,,
11:30.0,,,27-30,,J. O'Bryant misses 2-pt shot from 12 ft
11:27.0,Defensive rebound by T. Black,,27-30,,
11:22.0,R. Anderson misses 3-pt shot from 28 ft,,27-30,,
11:18.0,,,27-30,,Defensive rebound by F. Kaminsky
11:06.0,,,27-30,,D. Bacon misses 3-pt shot from 24 ft
11:06.0,,,27-30,,Offensive rebound by Team
11:06.0,Loose ball foul by T. Black (drawn by M. Williams),,27-30,,
11:06.0,L. Mbah a Moute enters the game for T. Black,,27-30,,
10:52.0,Def 3 sec tech foul by L. Mbah a Moute,,27-30,,
10:52.0,,,27-31,1,F. Kaminsky makes technical free throw
10:47.0,,,27-31,,Turnover by D. Bacon (bad pass)
10:39.0,E. Gordon makes 3-pt shot from 28 ft,3,30-31,,
10:23.0,,,30-31,,M. Monk misses 3-pt shot from 26 ft
10:20.0,Defensive rebound by P. Tucker,,30-31,,
10:09.0,E. Gordon misses 2-pt shot from 2 ft,,30-31,,
10:09.0,Offensive rebound by Team,,30-31,,
10:09.0,Turnover by E. Gordon (traveling),,30-31,,
9:57.0,,,30-31,,M. Monk misses 2-pt shot from 15 ft
9:54.0,Defensive rebound by P. Tucker,,30-31,,
9:49.0,E. Gordon misses 3-pt shot from 27 ft,,30-31,,
9:46.0,,,30-31,,Defensive rebound by J. O'Bryant
9:33.0,,,30-31,,M. Monk misses 3-pt shot from 23 ft
9:30.0,Defensive rebound by P. Tucker,,30-31,,
9:24.0,Turnover by E. Gordon (lost ball; steal by J. O'Bryant),,30-31,,
9:24.0,Personal foul by B. Brown (drawn by M. Monk),,30-31,,
9:08.0,,,30-33,2,J. O'Bryant makes 2-pt shot from 20 ft
8:55.0,R. Anderson makes 3-pt shot from 23 ft (assist by P. Tucker),3,33-33,,
8:41.0,,,33-33,,F. Kaminsky misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by L. Mbah a Moute,,33-33,,
8:33.0,P. Tucker makes 3-pt shot from 22 ft (assist by B. Brown),3,36-33,,
8:25.0,,,36-33,,Charlotte full timeout
8:18.0,Personal foul by P. Tucker (drawn by J. O'Bryant),,36-33,,
8:06.0,,,36-33,,J. O'Bryant misses 2-pt shot from 10 ft
8:03.0,Defensive rebound by P. Tucker,,36-33,,
7:47.0,E. Gordon makes 3-pt shot from 24 ft,3,39-33,,
7:29.0,,,39-35,2,F. Kaminsky makes 2-pt shot from 3 ft (assist by D. Bacon)
7:18.0,Shooting foul by D. Bacon (drawn by E. Gordon),,39-35,,
7:18.0,E. Gordon makes free throw 1 of 2,1,40-35,,
7:18.0,,,40-35,,K. Walker enters the game for M. Williams
7:18.0,E. Gordon makes free throw 2 of 2,1,41-35,,
7:01.0,,,41-35,,Turnover by F. Kaminsky (lost ball; steal by L. Mbah a Moute)
6:49.0,B. Brown makes 2-pt shot from 19 ft,2,43-35,,
6:30.0,,,43-35,,F. Kaminsky misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by R. Anderson,,43-35,,
6:20.0,E. Gordon misses 3-pt shot from 22 ft,,43-35,,
6:17.0,,,43-35,,Defensive rebound by M. Monk
6:11.0,,,43-35,,D. Bacon misses 3-pt shot from 22 ft
6:08.0,Defensive rebound by R. Anderson,,43-35,,
5:59.0,Turnover by B. Brown (out of bounds lost ball),,43-35,,
5:59.0,Houston full timeout,,43-35,,
5:59.0,,,43-35,,D. Howard enters the game for J. O'Bryant
5:59.0,J. Harden enters the game for B. Brown,,43-35,,
5:45.0,,,43-35,,F. Kaminsky misses 2-pt shot from 1 ft
5:42.0,Defensive rebound by P. Tucker,,43-35,,
5:36.0,R. Anderson misses 3-pt shot from 24 ft,,43-35,,
5:32.0,Offensive rebound by P. Tucker,,43-35,,
5:23.0,R. Anderson misses 3-pt shot from 28 ft,,43-35,,
5:20.0,,,43-35,,Defensive rebound by F. Kaminsky
5:14.0,,,43-37,2,K. Walker makes 2-pt shot at rim
4:54.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by E. Gordon),2,45-37,,
4:40.0,,,45-37,,K. Walker misses 2-pt shot from 1 ft
4:38.0,,,45-37,,Offensive rebound by K. Walker
4:37.0,,,45-37,,K. Walker misses 2-pt shot from 1 ft
4:37.0,Defensive rebound by L. Mbah a Moute,,45-37,,
4:32.0,P. Tucker misses 3-pt shot from 22 ft,,45-37,,
4:27.0,,,45-37,,Defensive rebound by D. Howard
4:22.0,,,45-37,,K. Walker misses 2-pt shot from 2 ft
4:19.0,Defensive rebound by L. Mbah a Moute,,45-37,,
4:15.0,E. Gordon makes 2-pt shot at rim (assist by J. Harden),2,47-37,,
3:56.0,,,47-37,,K. Walker misses 2-pt shot from 1 ft
3:53.0,,,47-37,,Offensive rebound by Team
3:52.0,B. Brown enters the game for E. Gordon,,47-37,,
3:51.0,,,47-37,,M. Kidd-Gilchrist enters the game for D. Bacon
3:50.0,,,47-37,,Turnover by K. Walker (out of bounds lost ball)
3:35.0,Offensive foul by P. Tucker (drawn by M. Kidd-Gilchrist),,47-37,,
3:35.0,Turnover by P. Tucker (offensive foul),,47-37,,
3:34.0,,,47-37,,J. Lamb enters the game for M. Monk
3:34.0,C. Capela enters the game for P. Tucker,,47-37,,
3:24.0,,,47-37,,Turnover by D. Howard (traveling)
3:01.0,J. Harden makes 3-pt shot from 25 ft,3,50-37,,
2:47.0,,,50-37,,J. Lamb misses 3-pt shot from 28 ft
2:47.0,,,50-37,,Offensive rebound by Team
2:47.0,Loose ball foul by C. Capela (drawn by D. Howard),,50-37,,
2:47.0,,,50-38,1,D. Howard makes free throw 1 of 2
2:47.0,,,50-38,,M. Williams enters the game for F. Kaminsky
2:47.0,E. Gordon enters the game for C. Capela,,50-38,,
2:47.0,,,50-39,1,D. Howard makes free throw 2 of 2
2:30.0,B. Brown misses 3-pt shot from 30 ft,,50-39,,
2:25.0,,,50-39,,Defensive rebound by M. Kidd-Gilchrist
2:18.0,,,50-39,,D. Howard misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by J. Harden,,50-39,,
2:06.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,50-39,,
2:06.0,,,50-39,,Defensive rebound by Team
1:51.0,,,50-39,,Shooting foul by E. Gordon (drawn by K. Walker)
1:51.0,,,50-40,1,K. Walker makes free throw 1 of 2
1:51.0,,,50-41,1,K. Walker makes free throw 2 of 2
1:36.0,J. Harden makes 3-pt shot from 26 ft,3,53-41,,
1:16.0,,,53-41,,J. Lamb misses 2-pt shot from 2 ft
1:16.0,,,53-41,,Offensive rebound by D. Howard
1:16.0,,,53-41,,Shooting foul by J. Harden (drawn by D. Howard)
1:16.0,,,53-41,,D. Howard misses free throw 1 of 2
1:16.0,,,53-41,,Offensive rebound by Team
1:16.0,,,53-41,,D. Howard misses free throw 2 of 2
1:12.0,Defensive rebound by J. Harden,,53-41,,
1:03.0,R. Anderson misses 3-pt shot from 25 ft,,53-41,,
0:59.0,,,53-41,,Defensive rebound by K. Walker
0:53.0,,,53-41,,Loose ball foul by D. Howard (drawn by R. Anderson)
0:52.0,,,53-41,,M. Kidd-Gilchrist misses 2-pt shot from 4 ft
0:52.0,Defensive rebound by Team,,53-41,,
0:36.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Harden),,53-41,,
0:36.0,J. Harden makes free throw 1 of 3,1,54-41,,
0:36.0,J. Harden makes free throw 2 of 3,1,55-41,,
0:36.0,,,55-41,,D. Bacon enters the game for M. Kidd-Gilchrist
0:36.0,J. Harden makes free throw 3 of 3,1,56-41,,
0:26.0,,,56-44,3,K. Walker makes 3-pt shot from 25 ft
0:08.0,E. Gordon misses 3-pt shot from 25 ft,,56-44,,
0:04.0,,,56-44,,Defensive rebound by D. Bacon
0:02.0,,,56-44,,Shooting foul by B. Brown (drawn by K. Walker)
0:02.0,,,56-45,1,K. Walker makes free throw 1 of 2
0:02.0,,,56-46,1,K. Walker makes free throw 2 of 2
0:00.0,E. Gordon misses 3-pt shot from 41 ft,,56-46,,
0:00.0,Offensive rebound by Team,,56-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by J. Harden (out of bounds lost ball),,56-46,,
11:23.0,,,56-48,2,D. Howard makes 2-pt shot from 3 ft
11:05.0,E. Gordon misses 3-pt shot from 27 ft,,56-48,,
11:00.0,,,56-48,,Defensive rebound by M. Kidd-Gilchrist
10:57.0,,,56-50,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
10:47.0,Turnover by E. Gordon (bad pass),,56-50,,
10:32.0,,,56-52,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
10:17.0,,,56-52,,Personal foul by M. Kidd-Gilchrist (drawn by C. Capela)
10:04.0,Loose ball foul by C. Capela (drawn by D. Howard),,56-52,,
10:04.0,P. Tucker enters the game for C. Capela,,56-52,,
10:03.0,J. Harden misses 2-pt shot from 2 ft,,56-52,,
10:03.0,,,56-52,,Defensive rebound by Team
9:52.0,,,56-52,,K. Walker misses 2-pt shot from 12 ft
9:47.0,Defensive rebound by L. Mbah a Moute,,56-52,,
9:41.0,R. Anderson misses 3-pt shot from 27 ft,,56-52,,
9:41.0,,,56-52,,Defensive rebound by M. Williams
9:26.0,,,56-52,,D. Howard misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by P. Tucker,,56-52,,
9:06.0,P. Tucker misses 3-pt shot from 26 ft (block by J. Lamb),,56-52,,
9:02.0,,,56-52,,Defensive rebound by D. Howard
8:59.0,,,56-54,2,J. Lamb makes 2-pt shot from 1 ft (assist by D. Howard)
8:53.0,,,56-54,,Personal foul by J. Lamb (drawn by E. Gordon)
8:39.0,,,56-54,,Personal foul by M. Kidd-Gilchrist (drawn by R. Anderson)
8:39.0,,,56-54,,D. Bacon enters the game for M. Kidd-Gilchrist
8:29.0,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by P. Tucker),3,59-54,,
8:20.0,,,59-54,,K. Walker misses 2-pt shot from 18 ft (block by L. Mbah a Moute)
8:16.0,Defensive rebound by P. Tucker,,59-54,,
8:13.0,Turnover by L. Mbah a Moute (out of bounds lost ball),,59-54,,
7:54.0,,,59-54,,J. Lamb misses 2-pt shot from 20 ft
7:50.0,Defensive rebound by R. Anderson,,59-54,,
7:45.0,R. Anderson makes 3-pt shot from 30 ft (assist by J. Harden),3,62-54,,
7:27.0,,,62-54,,K. Walker misses 3-pt shot from 25 ft
7:25.0,,,62-54,,Offensive rebound by D. Howard
7:25.0,,,62-56,2,D. Howard makes 2-pt shot at rim
7:25.0,,,62-56,,Shooting foul by L. Mbah a Moute (drawn by D. Howard)
7:25.0,T. Black enters the game for R. Anderson,,62-56,,
7:25.0,,,62-57,1,D. Howard makes free throw 1 of 1
7:10.0,P. Tucker misses 2-pt shot from 22 ft,,62-57,,
7:08.0,,,62-57,,Defensive rebound by J. Lamb
6:59.0,,,62-59,2,J. Lamb makes 2-pt shot from 17 ft
6:47.0,J. Harden makes 2-pt shot from 1 ft,2,64-59,,
6:24.0,,,64-59,,D. Bacon misses 2-pt shot from 16 ft
6:18.0,Defensive rebound by P. Tucker,,64-59,,
6:09.0,P. Tucker makes 3-pt shot from 22 ft (assist by L. Mbah a Moute),3,67-59,,
5:42.0,,,67-59,,J. Lamb misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by L. Mbah a Moute,,67-59,,
5:33.0,J. Harden makes 2-pt shot from 2 ft,2,69-59,,
5:11.0,,,69-62,3,K. Walker makes 3-pt shot from 26 ft (assist by M. Williams)
4:41.0,E. Gordon makes 3-pt shot from 28 ft,3,72-62,,
4:33.0,,,72-62,,Charlotte full timeout
4:33.0,,,72-62,,M. Monk enters the game for J. Lamb
4:33.0,,,72-62,,F. Kaminsky enters the game for M. Williams
4:33.0,B. Brown enters the game for E. Gordon,,72-62,,
4:26.0,,,72-62,,Offensive foul by D. Howard (drawn by L. Mbah a Moute)
4:26.0,,,72-62,,Turnover by D. Howard (offensive foul)
4:16.0,,,72-62,,Personal foul by M. Monk (drawn by J. Harden)
4:03.0,B. Brown misses 3-pt shot from 30 ft,,72-62,,
3:59.0,,,72-62,,Defensive rebound by M. Monk
3:47.0,Personal foul by T. Black (drawn by K. Walker),,72-62,,
3:47.0,R. Anderson enters the game for L. Mbah a Moute,,72-62,,
3:39.0,,,72-65,3,M. Monk makes 3-pt shot from 24 ft (assist by K. Walker)
3:15.0,B. Brown misses 3-pt shot from 22 ft,,72-65,,
3:08.0,,,72-65,,Defensive rebound by D. Howard
3:08.0,,,72-65,,Shooting foul by T. Black (drawn by D. Bacon)
3:08.0,E. Gordon enters the game for T. Black,,72-65,,
3:08.0,,,72-65,,D. Bacon misses free throw 1 of 2
3:08.0,,,72-65,,Offensive rebound by Team
3:08.0,,,72-66,1,D. Bacon makes free throw 2 of 2
2:57.0,J. Harden misses 3-pt shot from 26 ft,,72-66,,
2:53.0,,,72-66,,Defensive rebound by D. Howard
2:41.0,Houston full timeout,,72-66,,
2:32.0,,,72-66,,M. Monk misses 3-pt shot from 28 ft
2:29.0,,,72-66,,Offensive rebound by D. Howard
2:13.0,,,72-66,,D. Howard misses 2-pt shot from 2 ft
2:10.0,Defensive rebound by J. Harden,,72-66,,
2:08.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,75-66,,
1:51.0,,,75-68,2,K. Walker makes 2-pt shot from 12 ft
1:39.0,E. Gordon misses 2-pt shot from 1 ft,,75-68,,
1:39.0,,,75-68,,Defensive rebound by D. Howard
1:27.0,,,75-70,2,K. Walker makes 2-pt shot from 1 ft
1:13.0,Turnover by J. Harden (out of bounds lost ball),,75-70,,
1:13.0,,,75-70,,J. O'Bryant enters the game for D. Howard
1:00.0,,,75-70,,K. Walker misses 2-pt shot from 21 ft
0:56.0,Defensive rebound by J. Harden,,75-70,,
0:48.0,,,75-70,,Personal foul by J. O'Bryant (drawn by J. Harden)
0:48.0,Houston full timeout,,75-70,,
0:48.0,J. Harden misses free throw 1 of 2,,75-70,,
0:48.0,Offensive rebound by Team,,75-70,,
0:48.0,J. Harden makes free throw 2 of 2,1,76-70,,
0:35.0,,,76-72,2,K. Walker makes 2-pt shot from 2 ft
0:29.0,J. Harden misses 3-pt shot from 31 ft,,76-72,,
0:26.0,Offensive rebound by R. Anderson,,76-72,,
0:24.0,E. Gordon makes 2-pt shot at rim (assist by R. Anderson),2,78-72,,
0:02.0,,,78-72,,Shooting foul by J. Harden (drawn by K. Walker)
0:02.0,,,78-73,1,K. Walker makes free throw 1 of 2
0:02.0,,,78-74,1,K. Walker makes free throw 2 of 2
0:00.0,J. Harden misses 3-pt shot from 38 ft,,78-74,,
0:00.0,Offensive rebound by Team,,78-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,78-74,,F. Kaminsky misses 2-pt shot from 13 ft (block by P. Tucker)
11:31.0,Defensive rebound by B. Brown,,78-74,,
11:29.0,E. Gordon misses 3-pt shot from 25 ft,,78-74,,
11:29.0,,,78-74,,Defensive rebound by F. Kaminsky
11:18.0,,,78-76,2,M. Monk makes 2-pt shot from 10 ft
10:55.0,B. Brown makes 2-pt shot from 1 ft,2,80-76,,
10:40.0,,,80-76,,D. Bacon misses 3-pt shot from 22 ft
10:37.0,Defensive rebound by B. Brown,,80-76,,
10:25.0,E. Gordon makes 2-pt shot from 1 ft,2,82-76,,
10:25.0,Shooting foul by F. Kaminsky (drawn by E. Gordon),,82-76,,
10:25.0,E. Gordon misses free throw 1 of 1,,82-76,,
10:21.0,,,82-76,,Defensive rebound by D. Bacon
10:10.0,,,82-76,,K. Walker misses 2-pt shot from 17 ft
10:05.0,Defensive rebound by L. Mbah a Moute,,82-76,,
9:47.0,P. Tucker misses 2-pt shot from 2 ft (block by F. Kaminsky),,82-76,,
9:41.0,Offensive rebound by C. Capela,,82-76,,
9:41.0,C. Capela makes 2-pt shot at rim,2,84-76,,
9:22.0,,,84-76,,J. O'Bryant misses 2-pt shot from 11 ft
9:19.0,Defensive rebound by B. Brown,,84-76,,
9:10.0,E. Gordon makes 3-pt shot from 28 ft (assist by B. Brown),3,87-76,,
9:09.0,,,87-76,,Charlotte full timeout
8:52.0,,,87-79,3,M. Monk makes 3-pt shot from 24 ft (assist by K. Walker)
8:26.0,C. Capela makes 2-pt shot at rim (assist by L. Mbah a Moute),2,89-79,,
8:09.0,Personal foul by E. Gordon (drawn by D. Bacon),,89-79,,
8:09.0,,,89-79,,D. Howard enters the game for J. O'Bryant
7:59.0,,,89-79,,F. Kaminsky misses 2-pt shot from 13 ft
7:55.0,Defensive rebound by E. Gordon,,89-79,,
7:49.0,E. Gordon misses 3-pt shot from 27 ft,,89-79,,
7:46.0,,,89-79,,Defensive rebound by D. Howard
7:42.0,,,89-82,3,K. Walker makes 3-pt shot from 26 ft (assist by D. Howard)
7:16.0,E. Gordon makes 3-pt shot from 28 ft (assist by B. Brown),3,92-82,,
6:57.0,Personal foul by E. Gordon (drawn by D. Bacon),,92-82,,
6:57.0,,,92-82,,J. Lamb enters the game for D. Bacon
6:57.0,,,92-82,,M. Kidd-Gilchrist enters the game for K. Walker
6:57.0,J. Harden enters the game for B. Brown,,92-82,,
6:52.0,,,92-82,,Shooting foul by L. Mbah a Moute (drawn by D. Howard)
6:52.0,,,92-83,1,D. Howard makes free throw 1 of 2
6:52.0,,,92-83,,D. Howard misses free throw 2 of 2
6:50.0,Defensive rebound by C. Capela,,92-83,,
6:41.0,P. Tucker misses 3-pt shot from 22 ft,,92-83,,
6:38.0,,,92-83,,Defensive rebound by M. Kidd-Gilchrist
6:26.0,,,92-83,,F. Kaminsky misses 3-pt shot from 25 ft
6:25.0,,,92-83,,Offensive rebound by Team
6:25.0,Loose ball foul by C. Capela (drawn by D. Howard),,92-83,,
6:25.0,R. Anderson enters the game for C. Capela,,92-83,,
6:15.0,,,92-83,,J. Lamb misses 3-pt shot from 22 ft
6:11.0,,,92-83,,Offensive rebound by M. Monk
6:06.0,,,92-83,,M. Monk misses 3-pt shot from 28 ft
6:03.0,,,92-83,,Offensive rebound by M. Kidd-Gilchrist
6:02.0,Personal foul by J. Harden (drawn by J. Lamb),,92-83,,
6:02.0,,,92-83,,J. Lamb misses free throw 1 of 2
6:02.0,,,92-83,,Offensive rebound by Team
6:02.0,,,92-83,,K. Walker enters the game for M. Monk
6:02.0,B. Brown enters the game for E. Gordon,,92-83,,
6:02.0,,,92-84,1,J. Lamb makes free throw 2 of 2
5:39.0,J. Harden misses 3-pt shot from 25 ft (block by D. Howard),,92-84,,
5:38.0,Offensive rebound by R. Anderson,,92-84,,
5:38.0,Turnover by Team (shot clock),,92-84,,
