time,Charlotte,pts.away,score,pts.home,Milwaukee
8:25.0,,,7-9,,Personal foul by M. Dellavedova (drawn by K. Walker)
8:25.0,,,7-9,,M. Teletovic enters the game for G. Antetokounmpo
8:19.0,K. Walker misses 2-pt shot from 8 ft,,7-9,,
8:19.0,Offensive rebound by Team,,7-9,,
8:13.0,Shooting foul by M. Teletovic (drawn by M. Williams),,7-9,,
8:13.0,M. Williams makes free throw 1 of 2,1,8-9,,
8:13.0,M. Williams misses free throw 2 of 2,,8-9,,
8:13.0,,,8-9,,Defensive rebound by K. Middleton
8:01.0,,,8-9,,K. Middleton misses 2-pt shot from 14 ft
7:59.0,Defensive rebound by J. Lamb,,8-9,,
7:48.0,Turnover by J. Lamb (traveling),,8-9,,
7:28.0,,,8-9,,T. Maker misses 3-pt shot from 23 ft
7:25.0,Defensive rebound by J. Lamb,,8-9,,
7:18.0,K. Walker misses 3-pt shot from 30 ft,,8-9,,
7:16.0,Offensive rebound by D. Howard,,8-9,,
7:16.0,Turnover by D. Howard (traveling),,8-9,,
7:07.0,,,8-11,2,K. Middleton makes 2-pt shot from 15 ft (assist by M. Dellavedova)
6:44.0,Shooting foul by T. Maker (drawn by D. Howard),,8-11,,
6:44.0,,,8-11,,Milwaukee full timeout
6:44.0,,,8-11,,D. Liggins enters the game for T. Maker
6:44.0,,,8-11,,G. Monroe enters the game for T. Snell
6:44.0,D. Howard misses free throw 1 of 2,,8-11,,
6:44.0,Offensive rebound by Team,,8-11,,
6:44.0,D. Howard misses free throw 2 of 2,,8-11,,
6:41.0,,,8-11,,Defensive rebound by K. Middleton
6:30.0,,,8-11,,M. Teletovic misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by D. Bacon,,8-11,,
6:18.0,M. Williams misses 2-pt shot from 3 ft,,8-11,,
6:16.0,D. Howard makes 2-pt shot at rim,2,10-11,,
6:06.0,Offensive rebound by D. Howard,,10-11,,
5:56.0,,,10-11,,K. Middleton misses 2-pt shot from 14 ft
5:52.0,Defensive rebound by D. Howard,,10-11,,
5:48.0,D. Bacon misses 2-pt shot from 2 ft,,10-11,,
5:45.0,,,10-11,,Defensive rebound by G. Monroe
5:41.0,,,10-11,,K. Middleton misses 2-pt shot from 5 ft
5:38.0,Defensive rebound by D. Howard,,10-11,,
5:28.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,13-11,,
5:15.0,,,13-11,,G. Monroe misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by J. Lamb,,13-11,,
4:57.0,J. Lamb misses 2-pt shot from 10 ft,,13-11,,
4:53.0,Offensive rebound by D. Howard,,13-11,,
4:50.0,D. Howard misses 2-pt shot at rim,,13-11,,
4:50.0,Offensive rebound by D. Howard,,13-11,,
4:50.0,D. Howard misses 2-pt shot at rim,,13-11,,
4:46.0,,,13-11,,Defensive rebound by M. Teletovic
4:41.0,,,13-13,2,G. Monroe makes 2-pt shot from 5 ft
4:36.0,Charlotte full timeout,,13-13,,
4:36.0,,,13-13,,G. Antetokounmpo enters the game for M. Dellavedova
4:36.0,,,13-13,,G. Payton enters the game for K. Middleton
4:36.0,F. Kaminsky enters the game for M. Williams,,13-13,,
4:36.0,T. Graham enters the game for J. Lamb,,13-13,,
4:27.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by T. Graham),3,16-13,,
4:06.0,,,16-13,,M. Teletovic misses 2-pt shot from 11 ft
4:04.0,Defensive rebound by T. Graham,,16-13,,
3:59.0,D. Bacon misses 3-pt shot from 22 ft,,16-13,,
3:59.0,,,16-13,,Defensive rebound by Team
3:42.0,,,16-15,2,D. Liggins makes 2-pt shot from 19 ft (assist by G. Monroe)
3:22.0,F. Kaminsky makes 2-pt shot from 10 ft,2,18-15,,
3:13.0,Personal foul by T. Graham (drawn by G. Antetokounmpo),,18-15,,
3:13.0,J. O'Bryant enters the game for D. Howard,,18-15,,
3:13.0,M. Monk enters the game for K. Walker,,18-15,,
3:06.0,,,18-15,,Turnover by G. Antetokounmpo (bad pass)
2:53.0,M. Monk misses 3-pt shot from 24 ft,,18-15,,
2:49.0,,,18-15,,Defensive rebound by G. Antetokounmpo
2:41.0,,,18-15,,M. Teletovic misses 3-pt shot from 26 ft
2:37.0,Defensive rebound by F. Kaminsky,,18-15,,
2:32.0,D. Bacon makes 2-pt shot from 16 ft (assist by M. Monk),2,20-15,,
2:20.0,,,20-15,,Turnover by G. Antetokounmpo (bad pass)
2:01.0,D. Bacon makes 2-pt shot from 15 ft (assist by T. Graham),2,22-15,,
1:39.0,,,22-15,,G. Antetokounmpo misses 2-pt shot from 3 ft
1:39.0,,,22-15,,G. Monroe misses 2-pt shot at rim
1:37.0,,,22-15,,Offensive rebound by G. Monroe
1:37.0,Defensive rebound by F. Kaminsky,,22-15,,
1:37.0,,,22-15,,Personal foul by G. Antetokounmpo (drawn by D. Bacon)
1:37.0,D. Bacon misses free throw 1 of 2,,22-15,,
1:37.0,Offensive rebound by Team,,22-15,,
1:37.0,D. Bacon makes free throw 2 of 2,1,23-15,,
1:16.0,,,23-15,,G. Payton misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by J. O'Bryant,,23-15,,
1:10.0,,,23-15,,Personal foul by G. Payton (drawn by T. Graham)
1:10.0,T. Graham misses free throw 1 of 2,,23-15,,
1:10.0,Offensive rebound by Team,,23-15,,
1:10.0,,,23-15,,T. Snell enters the game for G. Payton
1:10.0,J. Lamb enters the game for D. Bacon,,23-15,,
1:10.0,T. Graham misses free throw 2 of 2,,23-15,,
1:07.0,,,23-15,,Defensive rebound by G. Monroe
0:59.0,,,23-15,,T. Snell misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by M. Monk,,23-15,,
0:44.0,T. Graham misses 2-pt shot from 19 ft,,23-15,,
0:41.0,,,23-15,,Defensive rebound by G. Monroe
0:34.0,,,23-15,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by J. O'Bryant)
0:29.0,Defensive rebound by J. O'Bryant,,23-15,,
0:29.0,T. Graham makes 2-pt shot at rim (assist by J. Lamb),2,25-15,,
0:14.0,,,25-18,3,M. Teletovic makes 3-pt shot from 26 ft (assist by D. Liggins)
0:00.0,M. Monk misses 2-pt shot from 16 ft,,25-18,,
0:00.0,Offensive rebound by Team,,25-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,25-20,2,T. Snell makes 2-pt shot from 2 ft (assist by M. Dellavedova)
11:26.0,Shooting foul by G. Antetokounmpo (drawn by J. O'Bryant),,25-20,,
11:26.0,J. O'Bryant makes free throw 1 of 2,1,26-20,,
11:26.0,J. O'Bryant makes free throw 2 of 2,1,27-20,,
11:15.0,,,27-23,3,M. Teletovic makes 3-pt shot from 26 ft (assist by T. Snell)
10:57.0,Shooting foul by T. Snell (drawn by J. Lamb),,27-23,,
10:57.0,J. Lamb makes free throw 1 of 2,1,28-23,,
10:57.0,J. Lamb makes free throw 2 of 2,1,29-23,,
10:47.0,,,29-25,2,T. Snell makes 2-pt shot from 1 ft (assist by M. Dellavedova)
10:41.0,Charlotte full timeout,,29-25,,
10:33.0,J. O'Bryant makes 2-pt shot from 14 ft (assist by T. Graham),2,31-25,,
10:12.0,,,31-27,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova)
9:58.0,J. O'Bryant makes 2-pt shot from 10 ft,2,33-27,,
9:40.0,,,33-29,2,G. Monroe makes 2-pt shot from 3 ft
9:25.0,J. Lamb makes 2-pt shot from 7 ft,2,35-29,,
9:06.0,,,35-31,2,G. Monroe makes 2-pt shot from 3 ft
8:53.0,M. Monk misses 3-pt shot from 28 ft,,35-31,,
8:50.0,,,35-31,,Defensive rebound by M. Teletovic
8:36.0,Personal foul by T. Graham (drawn by G. Monroe),,35-31,,
8:36.0,,,35-31,,K. Middleton enters the game for M. Teletovic
8:30.0,,,35-33,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by G. Monroe)
8:17.0,Shooting foul by G. Monroe (drawn by J. O'Bryant),,35-33,,
8:17.0,J. O'Bryant makes free throw 1 of 2,1,36-33,,
8:17.0,J. O'Bryant makes free throw 2 of 2,1,37-33,,
8:10.0,Personal foul by J. O'Bryant (drawn by M. Dellavedova),,37-33,,
8:02.0,,,37-35,2,K. Middleton makes 2-pt shot from 7 ft (assist by M. Dellavedova)
7:46.0,Turnover by J. Lamb (bad pass; steal by G. Antetokounmpo),,37-35,,
7:42.0,,,37-37,2,T. Snell makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:17.0,Turnover by J. O'Bryant (lost ball; steal by T. Snell),,37-37,,
7:08.0,,,37-37,,K. Middleton misses 3-pt shot from 23 ft
7:05.0,Defensive rebound by F. Kaminsky,,37-37,,
7:01.0,M. Monk makes 2-pt shot from 1 ft,2,39-37,,
6:48.0,,,39-37,,G. Monroe misses 2-pt shot from 9 ft
6:46.0,Defensive rebound by J. Lamb,,39-37,,
6:38.0,J. O'Bryant misses 2-pt shot from 16 ft,,39-37,,
6:34.0,,,39-37,,Defensive rebound by M. Dellavedova
6:28.0,,,39-39,2,G. Monroe makes 2-pt shot at rim (assist by M. Dellavedova)
6:09.0,J. Lamb misses 2-pt shot from 19 ft,,39-39,,
6:07.0,,,39-39,,Defensive rebound by G. Antetokounmpo
6:06.0,,,39-41,2,G. Antetokounmpo makes 2-pt shot at rim
6:06.0,,,39-41,,Shooting foul by F. Kaminsky (drawn by G. Antetokounmpo)
6:06.0,,,39-41,,T. Maker enters the game for G. Monroe
6:06.0,D. Howard enters the game for J. Lamb,,39-41,,
6:06.0,M. Williams enters the game for J. O'Bryant,,39-41,,
6:06.0,K. Walker enters the game for T. Graham,,39-41,,
6:06.0,,,39-41,,G. Antetokounmpo misses free throw 1 of 1
6:02.0,Defensive rebound by D. Howard,,39-41,,
5:44.0,K. Walker misses 2-pt shot from 19 ft,,39-41,,
5:44.0,,,39-41,,Loose ball foul by T. Maker (drawn by D. Howard)
5:42.0,Defensive rebound by D. Howard,,39-41,,
5:31.0,M. Monk misses 3-pt shot from 27 ft,,39-41,,
5:28.0,,,39-41,,Defensive rebound by M. Dellavedova
5:22.0,,,39-41,,T. Maker misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by D. Howard,,39-41,,
5:08.0,K. Walker misses 3-pt shot from 26 ft,,39-41,,
5:04.0,,,39-41,,Defensive rebound by G. Antetokounmpo
4:58.0,,,39-43,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:50.0,Charlotte full timeout,,39-43,,
4:50.0,,,39-43,,D. Liggins enters the game for M. Dellavedova
4:46.0,,,39-43,,Personal foul by T. Snell (drawn by M. Monk)
4:46.0,M. Monk makes free throw 1 of 2,1,40-43,,
4:46.0,M. Monk makes free throw 2 of 2,1,41-43,,
4:37.0,Def 3 sec tech foul by D. Howard,,41-43,,
4:37.0,,,41-44,1,K. Middleton makes technical free throw
4:25.0,,,41-44,,Turnover by G. Antetokounmpo (bad pass; steal by K. Walker)
4:19.0,K. Walker makes 2-pt shot at rim,2,43-44,,
4:08.0,,,43-44,,K. Middleton misses 2-pt shot from 18 ft
4:05.0,Defensive rebound by F. Kaminsky,,43-44,,
4:00.0,Turnover by D. Howard (turnover),,43-44,,
3:39.0,,,43-44,,K. Middleton misses 2-pt shot from 6 ft
3:39.0,Defensive rebound by D. Howard,,43-44,,
3:39.0,,,43-44,,Personal foul by D. Liggins (drawn by K. Walker)
3:39.0,K. Walker makes free throw 1 of 2,1,44-44,,
3:39.0,K. Walker makes free throw 2 of 2,1,45-44,,
3:18.0,,,45-47,3,T. Maker makes 3-pt shot from 22 ft (assist by G. Antetokounmpo)
2:58.0,F. Kaminsky makes 2-pt shot from 2 ft,2,47-47,,
2:37.0,,,47-47,,T. Maker misses 3-pt shot from 27 ft
2:34.0,Defensive rebound by K. Walker,,47-47,,
2:29.0,M. Williams misses 3-pt shot from 23 ft,,47-47,,
2:26.0,Offensive rebound by D. Howard,,47-47,,
2:26.0,,,47-47,,Personal foul by D. Liggins (drawn by D. Howard)
2:26.0,D. Howard misses free throw 1 of 2,,47-47,,
2:26.0,Offensive rebound by Team,,47-47,,
2:26.0,,,47-47,,M. Dellavedova enters the game for D. Liggins
2:26.0,D. Howard misses free throw 2 of 2,,47-47,,
2:26.0,J. Lamb enters the game for M. Monk,,47-47,,
1:58.0,,,47-47,,Defensive rebound by Team
1:34.0,,,47-49,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
1:34.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker),3,50-49,,
1:29.0,,,50-51,2,K. Middleton makes 2-pt shot from 13 ft
1:14.0,Turnover by K. Walker (bad pass; steal by K. Middleton),,50-51,,
1:10.0,,,50-53,2,G. Antetokounmpo makes 2-pt shot at rim
1:02.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,52-53,,
0:53.0,,,52-53,,Personal foul by K. Middleton (drawn by J. Lamb)
0:53.0,,,52-53,,Turnover by K. Middleton (turnover)
0:34.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,54-53,,
0:34.0,Shooting foul by T. Maker (drawn by D. Howard),,54-53,,
0:34.0,D. Howard misses free throw 1 of 1,,54-53,,
0:32.0,,,54-53,,Defensive rebound by G. Antetokounmpo
0:21.0,Personal foul by J. Lamb (drawn by K. Middleton),,54-53,,
0:10.0,,,54-53,,K. Middleton misses 2-pt shot from 16 ft
0:06.0,Defensive rebound by D. Howard,,54-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Personal foul by D. Howard (drawn by M. Dellavedova),,54-53,,
11:37.0,Personal foul by D. Bacon (drawn by K. Middleton),,54-53,,
11:29.0,,,54-55,2,K. Middleton makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
11:19.0,,,54-55,,Personal foul by M. Dellavedova (drawn by D. Howard)
11:12.0,Shooting foul by T. Maker (drawn by D. Howard),,54-55,,
11:12.0,D. Howard misses free throw 1 of 2,,54-55,,
11:12.0,Offensive rebound by Team,,54-55,,
11:12.0,D. Howard misses free throw 2 of 2,,54-55,,
11:08.0,,,54-55,,Defensive rebound by K. Middleton
11:00.0,,,54-55,,G. Antetokounmpo misses 2-pt shot from 3 ft
10:57.0,Defensive rebound by D. Howard,,54-55,,
10:51.0,J. Lamb makes 3-pt shot from 26 ft (assist by K. Walker),3,57-55,,
10:38.0,,,57-58,3,T. Maker makes 3-pt shot from 27 ft (assist by M. Dellavedova)
10:26.0,Turnover by J. Lamb (traveling),,57-58,,
10:17.0,,,57-60,2,T. Snell makes 2-pt shot from 1 ft (assist by M. Dellavedova)
10:17.0,,,57-60,,Shooting foul by D. Howard (drawn by T. Snell)
10:17.0,,,57-61,1,T. Snell makes free throw 1 of 1
9:56.0,J. Lamb misses 3-pt shot from 29 ft,,57-61,,
9:52.0,Offensive rebound by D. Howard,,57-61,,
9:50.0,D. Howard makes 2-pt shot from 2 ft,2,59-61,,
9:35.0,,,59-61,,T. Maker misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by D. Howard,,59-61,,
9:28.0,M. Williams misses 2-pt shot from 2 ft,,59-61,,
9:26.0,,,59-61,,Defensive rebound by G. Antetokounmpo
9:20.0,,,59-61,,M. Dellavedova misses 3-pt shot from 29 ft
9:16.0,Defensive rebound by D. Howard,,59-61,,
9:07.0,K. Walker makes 2-pt shot from 13 ft,2,61-61,,
8:46.0,,,61-61,,T. Maker misses 2-pt shot from 14 ft
8:42.0,Defensive rebound by J. Lamb,,61-61,,
8:30.0,K. Walker misses 2-pt shot from 19 ft,,61-61,,
8:26.0,,,61-61,,Defensive rebound by T. Maker
8:16.0,,,61-63,2,K. Middleton makes 2-pt shot from 10 ft
7:52.0,Shooting foul by T. Maker (drawn by J. Lamb),,61-63,,
7:52.0,J. Lamb makes free throw 1 of 2,1,62-63,,
7:52.0,,,62-63,,G. Monroe enters the game for T. Maker
7:52.0,J. Lamb makes free throw 2 of 2,1,63-63,,
7:36.0,,,63-63,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:36.0,,,63-63,,Offensive rebound by G. Antetokounmpo
7:36.0,Personal foul by D. Bacon (drawn by G. Antetokounmpo),,63-63,,
7:30.0,,,63-63,,G. Monroe misses 2-pt shot from 16 ft
7:27.0,Defensive rebound by D. Howard,,63-63,,
7:18.0,Turnover by K. Walker (lost ball; steal by T. Snell),,63-63,,
7:13.0,,,63-63,,K. Middleton misses 3-pt shot from 26 ft
7:09.0,,,63-63,,Offensive rebound by G. Monroe
7:04.0,,,63-63,,T. Snell misses 2-pt shot from 1 ft
7:01.0,Defensive rebound by J. Lamb,,63-63,,
7:01.0,Shooting foul by M. Dellavedova (drawn by J. Lamb),,63-63,,
7:01.0,J. Lamb makes free throw 1 of 2,1,64-63,,
7:01.0,,,64-63,,D. Liggins enters the game for M. Dellavedova
7:01.0,J. Lamb makes free throw 2 of 2,1,65-63,,
6:53.0,,,65-63,,Turnover by G. Antetokounmpo (step out of bounds)
6:53.0,,,65-63,,Milwaukee full timeout
6:53.0,,,65-63,,M. Teletovic enters the game for G. Antetokounmpo
6:29.0,J. Lamb makes 2-pt shot from 16 ft,2,67-63,,
6:13.0,,,67-65,2,K. Middleton makes 2-pt shot from 15 ft
5:46.0,J. Lamb misses 3-pt shot from 27 ft,,67-65,,
5:42.0,,,67-65,,Defensive rebound by G. Monroe
5:27.0,,,67-65,,Turnover by D. Liggins (bad pass; steal by M. Williams)
5:21.0,D. Bacon misses 3-pt shot from 26 ft,,67-65,,
5:16.0,,,67-65,,Defensive rebound by M. Teletovic
5:05.0,,,67-65,,Shooting foul by D. Bacon (drawn by K. Middleton)
5:05.0,,,67-66,1,K. Middleton makes free throw 1 of 2
5:05.0,T. Graham enters the game for M. Williams,,67-66,,
5:05.0,F. Kaminsky enters the game for J. Lamb,,67-66,,
5:05.0,,,67-67,1,K. Middleton makes free throw 2 of 2
4:40.0,F. Kaminsky misses 2-pt shot from 16 ft,,67-67,,
4:37.0,,,67-67,,Defensive rebound by T. Snell
4:22.0,,,67-67,,G. Monroe misses 2-pt shot from 3 ft
4:20.0,Defensive rebound by D. Howard,,67-67,,
4:00.0,F. Kaminsky makes 2-pt shot from 5 ft (assist by K. Walker),2,69-67,,
3:32.0,,,69-70,3,M. Teletovic makes 3-pt shot from 25 ft (assist by T. Snell)
3:12.0,T. Graham makes 2-pt shot from 9 ft (assist by F. Kaminsky),2,71-70,,
3:02.0,,,71-73,3,D. Liggins makes 3-pt shot from 22 ft (assist by K. Middleton)
3:00.0,Charlotte full timeout,,71-73,,
3:00.0,J. O'Bryant enters the game for K. Walker,,71-73,,
3:00.0,M. Monk enters the game for D. Howard,,71-73,,
2:49.0,Turnover by M. Monk (lost ball; steal by D. Liggins),,71-73,,
2:44.0,,,71-73,,D. Liggins misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by D. Bacon,,71-73,,
2:32.0,J. O'Bryant makes 2-pt shot from 1 ft (assist by D. Bacon),2,73-73,,
2:21.0,,,73-73,,Turnover by K. Middleton (bad pass)
2:11.0,D. Bacon misses 3-pt shot from 24 ft,,73-73,,
2:07.0,,,73-73,,Defensive rebound by G. Monroe
2:00.0,Personal foul by T. Graham (drawn by T. Snell),,73-73,,
2:00.0,,,73-74,1,T. Snell makes free throw 1 of 2
2:00.0,,,73-74,,M. Dellavedova enters the game for K. Middleton
2:00.0,,,73-74,,G. Antetokounmpo enters the game for D. Liggins
2:00.0,,,73-75,1,T. Snell makes free throw 2 of 2
2:00.0,J. Lamb enters the game for D. Bacon,,73-75,,
1:44.0,J. Lamb misses 2-pt shot from 2 ft,,73-75,,
1:40.0,,,73-75,,Defensive rebound by M. Teletovic
1:33.0,,,73-77,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
1:14.0,M. Monk misses 2-pt shot from 18 ft,,73-77,,
1:11.0,,,73-77,,Defensive rebound by M. Dellavedova
1:06.0,,,73-80,3,M. Teletovic makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
0:47.0,,,73-80,,Personal foul by G. Antetokounmpo (drawn by J. O'Bryant)
0:47.0,J. O'Bryant makes free throw 1 of 2,1,74-80,,
0:47.0,J. O'Bryant makes free throw 2 of 2,1,75-80,,
0:30.0,,,75-80,,M. Teletovic misses 3-pt shot from 22 ft
0:26.0,Defensive rebound by J. Lamb,,75-80,,
0:09.0,J. Lamb misses 2-pt shot from 3 ft,,75-80,,
0:08.0,Offensive rebound by J. O'Bryant,,75-80,,
0:08.0,J. O'Bryant makes 2-pt shot at rim,2,77-80,,
0:00.0,,,77-83,3,M. Teletovic makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Lamb misses 2-pt shot from 16 ft,,77-83,,
11:37.0,,,77-83,,Defensive rebound by G. Antetokounmpo
11:29.0,,,77-83,,Shooting foul by T. Graham (drawn by G. Antetokounmpo)
11:29.0,,,77-83,,G. Antetokounmpo misses free throw 1 of 2
11:29.0,,,77-83,,Offensive rebound by Team
11:29.0,,,77-84,1,G. Antetokounmpo makes free throw 2 of 2
11:05.0,J. O'Bryant misses 2-pt shot from 8 ft (block by D. Liggins),,77-84,,
11:05.0,J. O'Bryant misses 2-pt shot from 8 ft (block by G. Antetokounmpo),,77-84,,
11:05.0,,,77-84,,Defensive rebound by G. Antetokounmpo
10:58.0,Defensive rebound by J. O'Bryant,,77-84,,
10:58.0,,,77-84,,Turnover by G. Antetokounmpo (traveling)
10:46.0,J. Lamb misses 2-pt shot from 2 ft,,77-84,,
10:41.0,,,77-84,,Defensive rebound by D. Liggins
10:37.0,,,77-84,,D. Liggins misses 3-pt shot from 26 ft
10:36.0,,,77-84,,Offensive rebound by Team
10:36.0,Loose ball foul by J. O'Bryant (drawn by J. Henson),,77-84,,
10:29.0,,,77-86,2,G. Antetokounmpo makes 2-pt shot from 14 ft
10:13.0,,,77-86,,Personal foul by G. Antetokounmpo (drawn by M. Monk)
10:13.0,D. Howard enters the game for M. Monk,,77-86,,
10:13.0,K. Walker enters the game for J. O'Bryant,,77-86,,
10:06.0,Turnover by F. Kaminsky (traveling),,77-86,,
9:57.0,,,77-86,,Offensive charge foul by M. Dellavedova (drawn by K. Walker)
9:57.0,,,77-86,,Turnover by M. Dellavedova (offensive foul)
9:47.0,K. Walker makes 2-pt shot from 18 ft,2,79-86,,
9:29.0,,,79-86,,M. Teletovic misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by J. Lamb,,79-86,,
9:20.0,J. Lamb makes 2-pt shot from 5 ft,2,81-86,,
9:01.0,,,81-86,,M. Dellavedova misses 3-pt shot from 26 ft
8:59.0,Defensive rebound by Team,,81-86,,
8:48.0,K. Walker misses 2-pt shot from 16 ft,,81-86,,
8:44.0,,,81-86,,Defensive rebound by M. Teletovic
8:32.0,Personal foul by T. Graham (drawn by G. Antetokounmpo),,81-86,,
8:32.0,,,81-86,,K. Middleton enters the game for M. Dellavedova
8:23.0,,,81-88,2,G. Antetokounmpo makes 2-pt shot from 2 ft
8:04.0,J. Lamb misses 3-pt shot from 27 ft,,81-88,,
8:01.0,,,81-88,,Defensive rebound by J. Henson
7:49.0,,,81-90,2,K. Middleton makes 2-pt shot at rim
7:49.0,Violation by D. Howard (def goaltending),,81-90,,
7:35.0,Shooting foul by M. Teletovic (drawn by F. Kaminsky),,81-90,,
7:35.0,F. Kaminsky makes free throw 1 of 2,1,82-90,,
7:35.0,M. Williams enters the game for T. Graham,,82-90,,
7:35.0,F. Kaminsky makes free throw 2 of 2,1,83-90,,
7:17.0,,,83-90,,Turnover by M. Teletovic (bad pass)
6:58.0,M. Williams makes 3-pt shot from 22 ft (assist by F. Kaminsky),3,86-90,,
6:58.0,,,86-90,,Milwaukee full timeout
6:58.0,,,86-90,,T. Snell enters the game for M. Teletovic
6:58.0,D. Bacon enters the game for J. Lamb,,86-90,,
6:43.0,,,86-90,,K. Middleton misses 2-pt shot from 11 ft
6:43.0,,,86-90,,Offensive rebound by Team
6:43.0,Loose ball foul by M. Williams (drawn by J. Henson),,86-90,,
6:34.0,,,86-90,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by D. Howard)
6:32.0,Defensive rebound by D. Bacon,,86-90,,
6:30.0,Turnover by F. Kaminsky (traveling),,86-90,,
6:17.0,,,86-90,,Offensive charge foul by T. Snell (drawn by K. Walker)
6:17.0,,,86-90,,Turnover by T. Snell (offensive foul)
5:52.0,M. Williams misses 2-pt shot from 10 ft,,86-90,,
5:52.0,Offensive rebound by Team,,86-90,,
5:37.0,,,86-90,,Turnover by D. Liggins (traveling)
5:34.0,,,86-90,,M. Dellavedova enters the game for D. Liggins
5:28.0,K. Walker makes 2-pt shot at rim,2,88-90,,
5:13.0,,,88-92,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
4:49.0,K. Walker misses 3-pt shot from 26 ft,,88-92,,
4:46.0,,,88-92,,Defensive rebound by G. Antetokounmpo
4:32.0,,,88-92,,G. Antetokounmpo misses 2-pt shot from 13 ft
4:26.0,,,88-92,,Offensive rebound by J. Henson
4:26.0,,,88-92,,J. Henson misses 2-pt shot at rim
4:25.0,Defensive rebound by K. Walker,,88-92,,
4:24.0,K. Walker makes 2-pt shot from 1 ft,2,90-92,,
4:07.0,,,90-94,2,J. Henson makes 2-pt shot from 8 ft (assist by M. Dellavedova)
