time,Detroit,pts.away,score,pts.home,Philadelphia
1:34.0,T. Harris misses 3-pt shot from 23 ft,,13-26,,
1:30.0,,,13-26,,Defensive rebound by J. Embiid
1:25.0,,,13-26,,J. Redick misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by B. Marjanovic,,13-26,,
1:16.0,D. Buycks misses 2-pt shot from 2 ft (block by J. Embiid),,13-26,,
1:12.0,,,13-26,,Defensive rebound by J. Bayless
1:10.0,,,13-29,3,J. Redick makes 3-pt shot from 25 ft (assist by J. Bayless)
0:52.0,,,13-29,,Personal foul by J. Bayless (drawn by B. Marjanovic)
0:52.0,,,13-29,,T. Luwawu-Cabarrot enters the game for J. Bayless
0:46.0,T. Harris misses 3-pt shot from 24 ft,,13-29,,
0:41.0,,,13-29,,Defensive rebound by T. Luwawu-Cabarrot
0:37.0,,,13-29,,J. Redick misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by L. Kennard,,13-29,,
0:25.0,R. Bullock makes 2-pt shot from 1 ft (assist by B. Marjanovic),2,15-29,,
0:05.0,,,15-31,2,J. Embiid makes 2-pt shot from 12 ft
0:05.0,,,15-31,,Shooting foul by D. Buycks (drawn by J. Embiid)
0:05.0,,,15-32,1,J. Embiid makes free throw 1 of 1
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,15-34,2,J. Embiid makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot)
11:26.0,L. Kennard misses 2-pt shot from 2 ft,,15-34,,
11:26.0,Offensive rebound by A. Drummond,,15-34,,
11:26.0,A. Drummond misses 2-pt shot from 1 ft,,15-34,,
11:26.0,,,15-34,,Defensive rebound by Team
11:26.0,Turnover by A. Drummond (offensive goaltending),,15-34,,
11:11.0,,,15-37,3,J. Redick makes 3-pt shot from 25 ft (assist by T. Luwawu-Cabarrot)
10:55.0,A. Tolliver misses 3-pt shot from 26 ft,,15-37,,
10:55.0,,,15-37,,Defensive rebound by J. Redick
10:46.0,,,15-37,,D. Saric misses 2-pt shot from 4 ft
10:43.0,,,15-37,,Offensive rebound by T. McConnell
10:42.0,,,15-40,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell)
10:28.0,L. Galloway misses 2-pt shot from 17 ft,,15-40,,
10:25.0,,,15-40,,Defensive rebound by T. McConnell
10:11.0,,,15-42,2,J. Embiid makes 2-pt shot from 3 ft
9:45.0,D. Buycks makes 2-pt shot from 21 ft,2,17-42,,
9:45.0,,,17-42,,Philadelphia full timeout
9:45.0,I. Smith enters the game for D. Buycks,,17-42,,
9:32.0,Personal foul by I. Smith (drawn by J. Embiid),,17-42,,
9:23.0,,,17-42,,D. Saric misses 2-pt shot from 15 ft
9:18.0,Defensive rebound by L. Galloway,,17-42,,
9:03.0,A. Tolliver misses 3-pt shot from 25 ft,,17-42,,
9:00.0,Offensive rebound by A. Tolliver,,17-42,,
8:51.0,A. Tolliver misses 3-pt shot from 23 ft,,17-42,,
8:47.0,,,17-42,,Defensive rebound by J. Embiid
8:38.0,,,17-42,,J. Bayless enters the game for T. Luwawu-Cabarrot
8:38.0,,,17-42,,R. Covington enters the game for T. McConnell
8:38.0,,,17-42,,A. Johnson enters the game for J. Embiid
8:38.0,,,17-42,,B. Simmons enters the game for J. Redick
8:33.0,,,17-42,,B. Simmons misses 2-pt shot from 3 ft
8:30.0,,,17-42,,Offensive rebound by B. Simmons
8:29.0,,,17-44,2,J. Bayless makes 2-pt shot from 21 ft (assist by B. Simmons)
8:11.0,I. Smith misses 2-pt shot from 18 ft,,17-44,,
8:11.0,Offensive rebound by Team,,17-44,,
7:51.0,L. Galloway makes 3-pt shot from 24 ft (assist by A. Drummond),3,20-44,,
7:46.0,,,20-46,2,B. Simmons makes 2-pt shot from 1 ft
7:44.0,Turnover by A. Tolliver (out of bounds lost ball),,20-46,,
7:32.0,,,20-46,,A. Johnson misses 2-pt shot from 1 ft (block by A. Tolliver)
7:32.0,,,20-46,,Offensive rebound by A. Johnson
7:29.0,,,20-46,,R. Covington misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by Team,,20-46,,
7:20.0,Shooting foul by R. Covington (drawn by L. Galloway),,20-46,,
7:19.0,L. Galloway makes free throw 1 of 3,1,21-46,,
7:19.0,L. Galloway misses free throw 3 of 3,,21-46,,
7:19.0,,,21-46,,Defensive rebound by B. Simmons
7:19.0,L. Galloway misses free throw 2 of 3,,21-46,,
7:19.0,Offensive rebound by Team,,21-46,,
7:00.0,,,21-46,,D. Saric misses 3-pt shot from 23 ft
6:58.0,Defensive rebound by A. Drummond,,21-46,,
6:48.0,Turnover by I. Smith (bad pass; steal by B. Simmons),,21-46,,
6:46.0,,,21-46,,Shooting foul by I. Smith (drawn by D. Saric)
6:45.0,A. Bradley enters the game for L. Galloway,,21-46,,
6:45.0,,,21-49,1,D. Saric makes free throw 1 of 1
6:44.0,,,21-48,2,D. Saric makes 2-pt shot from 8 ft
6:31.0,A. Bradley misses 2-pt shot from 13 ft,,21-48,,
6:28.0,,,21-48,,Defensive rebound by D. Saric
6:14.0,,,21-48,,Turnover by J. Bayless (bad pass)
5:53.0,A. Drummond misses 2-pt shot from 10 ft,,21-48,,
5:51.0,,,21-48,,Defensive rebound by A. Johnson
5:46.0,,,21-52,3,J. Bayless makes 3-pt shot from 22 ft (assist by B. Simmons)
5:38.0,Detroit full timeout,,21-52,,
5:38.0,T. Harris enters the game for L. Kennard,,21-52,,
5:28.0,A. Tolliver makes 3-pt shot from 23 ft (assist by T. Harris),3,24-52,,
5:12.0,,,24-52,,B. Simmons misses 2-pt shot from 2 ft
5:10.0,,,24-52,,Offensive rebound by A. Johnson
5:06.0,,,24-52,,J. Bayless misses 2-pt shot from 8 ft
5:04.0,,,24-52,,Offensive rebound by A. Johnson
5:04.0,,,24-52,,A. Johnson misses 2-pt shot at rim
5:04.0,Defensive rebound by Team,,24-52,,
4:57.0,,,24-52,,Personal foul by R. Covington (drawn by A. Bradley)
4:47.0,A. Bradley misses 2-pt shot from 20 ft,,24-52,,
4:44.0,,,24-52,,Defensive rebound by A. Johnson
4:31.0,,,24-52,,B. Simmons misses 2-pt shot from 12 ft
4:29.0,Defensive rebound by Team,,24-52,,
4:17.0,A. Bradley makes 2-pt shot from 1 ft (assist by A. Drummond),2,26-52,,
4:02.0,,,26-52,,Turnover by B. Simmons (bad pass; steal by I. Smith)
3:48.0,I. Smith misses 2-pt shot from 1 ft,,26-52,,
3:46.0,,,26-52,,Defensive rebound by R. Covington
3:39.0,,,26-52,,J. Bayless misses 3-pt shot from 23 ft
3:34.0,Defensive rebound by A. Tolliver,,26-52,,
3:34.0,,,26-52,,Personal foul by B. Simmons (drawn by I. Smith)
3:34.0,,,26-52,,J. Embiid enters the game for J. Bayless
3:34.0,,,26-52,,J. Redick enters the game for A. Johnson
3:34.0,R. Bullock enters the game for A. Tolliver,,26-52,,
3:20.0,Turnover by A. Bradley (bad pass; steal by B. Simmons),,26-52,,
3:17.0,,,26-54,2,B. Simmons makes 2-pt shot from 1 ft
3:03.0,,,26-55,1,J. Redick makes technical free throw
3:03.0,,,26-55,,R. Holmes enters the game for D. Saric
2:55.0,T. Harris misses 2-pt shot from 12 ft,,26-55,,
2:51.0,,,26-55,,Defensive rebound by J. Embiid
2:38.0,Personal foul by A. Drummond (drawn by J. Embiid),,26-55,,
2:32.0,,,26-58,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons)
2:09.0,I. Smith misses 2-pt shot from 15 ft (block by B. Simmons),,26-58,,
2:06.0,,,26-58,,Defensive rebound by R. Covington
1:57.0,,,26-58,,Turnover by J. Embiid (out of bounds lost ball)
1:35.0,Shooting foul by B. Simmons (drawn by T. Harris),,26-58,,
1:35.0,T. Harris makes free throw 1 of 2,1,27-58,,
1:35.0,T. Harris makes free throw 2 of 2,1,28-58,,
1:20.0,,,28-60,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
1:07.0,I. Smith misses 2-pt shot from 7 ft,,28-60,,
1:07.0,Offensive rebound by A. Drummond,,28-60,,
1:03.0,A. Drummond makes 2-pt shot at rim,2,30-60,,
0:41.0,,,30-60,,J. Redick misses 3-pt shot from 25 ft
0:39.0,,,30-60,,Offensive rebound by J. Embiid
0:39.0,,,30-60,,Shooting foul by T. Harris (drawn by J. Embiid)
0:39.0,,,30-61,1,J. Embiid makes free throw 1 of 2
0:39.0,,,30-62,1,J. Embiid makes free throw 2 of 2
0:39.0,,,30-62,,J. Bayless enters the game for B. Simmons
0:39.0,,,30-62,,T. McConnell enters the game for R. Covington
0:39.0,B. Marjanovic enters the game for A. Drummond,,30-62,,
0:20.0,I. Smith makes 2-pt shot from 12 ft,2,32-62,,
0:01.0,,,32-62,,T. McConnell misses 2-pt shot from 9 ft (block by I. Smith)
0:01.0,Defensive rebound by T. Harris,,32-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,32-65,3,J. Embiid makes 3-pt shot from 24 ft (assist by B. Simmons)
11:32.0,Shooting foul by J. Embiid (drawn by T. Harris),,32-65,,
11:32.0,T. Harris misses free throw 1 of 2,,32-65,,
11:32.0,Offensive rebound by Team,,32-65,,
11:32.0,T. Harris makes free throw 2 of 2,1,33-65,,
11:22.0,,,33-67,2,B. Simmons makes 2-pt shot from 1 ft
11:11.0,I. Smith makes 2-pt shot from 1 ft,2,35-67,,
10:49.0,,,35-67,,D. Saric misses 2-pt shot from 1 ft
10:47.0,,,35-67,,Offensive rebound by D. Saric
10:43.0,,,35-67,,R. Covington misses 3-pt shot from 23 ft
10:39.0,,,35-67,,Offensive rebound by B. Simmons
10:34.0,,,35-69,2,R. Covington makes 2-pt shot from 1 ft (assist by J. Redick)
10:14.0,A. Bradley makes 2-pt shot from 17 ft (assist by A. Drummond),2,37-69,,
10:00.0,,,37-69,,Personal foul by B. Simmons (drawn by R. Bullock)
10:00.0,,,37-69,,Turnover by B. Simmons (turnover)
9:49.0,T. Harris makes 2-pt shot from 1 ft (assist by A. Drummond),2,39-69,,
9:49.0,,,39-69,,Philadelphia full timeout
9:39.0,,,39-69,,Turnover by D. Saric (bad pass; steal by I. Smith)
9:33.0,R. Bullock misses 3-pt shot from 22 ft (block by B. Simmons),,39-69,,
9:25.0,Offensive rebound by R. Bullock,,39-69,,
9:24.0,T. Harris makes 3-pt shot from 24 ft (assist by I. Smith),3,42-69,,
9:15.0,,,42-69,,Turnover by B. Simmons (bad pass; steal by A. Drummond)
9:10.0,A. Drummond makes 2-pt shot from 6 ft,2,44-69,,
9:10.0,,,44-69,,Philadelphia full timeout
8:51.0,,,44-69,,Turnover by R. Covington (bad pass; steal by R. Bullock)
8:44.0,A. Drummond misses 2-pt shot from 2 ft,,44-69,,
8:40.0,,,44-69,,Defensive rebound by D. Saric
8:26.0,,,44-72,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
8:07.0,T. Harris makes 2-pt shot from 9 ft (assist by I. Smith),2,46-72,,
7:40.0,,,46-75,3,R. Covington makes 3-pt shot from 24 ft (assist by D. Saric)
7:24.0,Shooting foul by J. Embiid (drawn by I. Smith),,46-75,,
7:24.0,I. Smith makes free throw 1 of 2,1,47-75,,
7:24.0,I. Smith makes free throw 2 of 2,1,48-75,,
7:24.0,,,48-75,,T. McConnell enters the game for J. Redick
7:05.0,Personal foul by A. Drummond (drawn by D. Saric),,48-75,,
7:05.0,,,48-75,,A. Johnson enters the game for J. Embiid
6:52.0,,,48-75,,Turnover by B. Simmons (bad pass; steal by T. Harris)
6:48.0,A. Bradley misses 3-pt shot from 25 ft,,48-75,,
6:45.0,,,48-75,,Defensive rebound by T. McConnell
6:41.0,,,48-77,2,B. Simmons makes 2-pt shot at rim
6:19.0,A. Bradley misses 2-pt shot from 17 ft,,48-77,,
6:15.0,,,48-77,,Defensive rebound by D. Saric
6:10.0,Personal foul by T. Harris (drawn by B. Simmons),,48-77,,
6:10.0,,,48-77,,J. Bayless enters the game for D. Saric
6:01.0,,,48-80,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Bayless)
5:47.0,I. Smith misses 2-pt shot from 1 ft (block by T. McConnell),,48-80,,
5:47.0,,,48-80,,Defensive rebound by Team
5:23.0,,,48-80,,B. Simmons misses 2-pt shot from 21 ft
5:23.0,,,48-80,,Offensive rebound by Team
5:23.0,,,48-80,,Turnover by Team (shot clock)
5:09.0,,,48-80,,Personal foul by J. Bayless (drawn by A. Bradley)
5:09.0,L. Galloway enters the game for A. Bradley,,48-80,,
4:56.0,Shooting foul by B. Simmons (drawn by A. Drummond),,48-80,,
4:56.0,A. Drummond makes free throw 1 of 2,1,50-80,,
4:56.0,A. Drummond makes free throw 2 of 2,1,50-80,,
4:56.0,,,50-80,,J. Redick enters the game for B. Simmons
4:41.0,,,50-80,,Shooting foul by R. Bullock (drawn by J. Redick)
4:41.0,Technical foul by A. Drummond,,50-80,,
4:41.0,,,50-81,1,J. Redick makes technical free throw
4:41.0,,,50-82,1,J. Redick makes free throw 1 of 3
4:41.0,,,50-83,1,J. Redick makes free throw 2 of 3
4:41.0,,,50-84,1,J. Redick makes free throw 3 of 3
4:18.0,R. Bullock misses 3-pt shot from 27 ft,,50-84,,
4:14.0,,,50-84,,Defensive rebound by R. Covington
4:03.0,,,50-87,3,R. Covington makes 3-pt shot from 27 ft (assist by T. McConnell)
3:51.0,Shooting foul by T. McConnell (drawn by I. Smith),,50-87,,
3:51.0,I. Smith makes free throw 1 of 2,1,51-87,,
3:51.0,I. Smith misses free throw 2 of 2,,51-87,,
3:51.0,,,51-87,,Defensive rebound by J. Embiid
3:51.0,,,51-87,,J. Embiid enters the game for A. Johnson
3:51.0,,,51-87,,R. Holmes enters the game for R. Covington
3:51.0,L. Kennard enters the game for R. Bullock,,51-87,,
3:51.0,A. Tolliver enters the game for T. Harris,,51-87,,
3:39.0,,,51-89,2,J. Redick makes 2-pt shot from 20 ft (assist by J. Bayless)
3:39.0,,,51-89,,Shooting foul by L. Kennard (drawn by J. Redick)
3:39.0,D. Buycks enters the game for I. Smith,,51-89,,
3:39.0,,,51-90,1,J. Redick makes free throw 1 of 1
3:22.0,A. Drummond makes 2-pt shot from 2 ft (assist by D. Buycks),2,53-90,,
3:04.0,,,53-90,,J. Embiid misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by L. Galloway,,53-90,,
2:51.0,Shooting foul by J. Embiid (drawn by A. Tolliver),,53-90,,
2:51.0,A. Tolliver makes free throw 1 of 2,1,54-90,,
2:51.0,A. Tolliver misses free throw 2 of 2,,54-90,,
2:51.0,,,54-90,,Defensive rebound by Team
2:51.0,B. Marjanovic enters the game for A. Drummond,,54-90,,
2:32.0,,,54-90,,J. Embiid misses 2-pt shot from 11 ft
2:28.0,Defensive rebound by L. Galloway,,54-90,,
2:24.0,L. Galloway misses 2-pt shot from 2 ft,,54-90,,
2:23.0,,,54-90,,Defensive rebound by Team
2:14.0,,,54-90,,T. Luwawu-Cabarrot enters the game for J. Bayless
2:10.0,,,54-90,,J. Embiid misses 2-pt shot from 10 ft
2:07.0,Defensive rebound by B. Marjanovic,,54-90,,
1:58.0,B. Marjanovic misses 2-pt shot from 10 ft,,54-90,,
1:56.0,,,54-90,,Defensive rebound by R. Holmes
1:43.0,,,54-92,2,J. Redick makes 2-pt shot from 21 ft (assist by T. Luwawu-Cabarrot)
1:26.0,Turnover by D. Buycks (bad pass; steal by T. McConnell),,54-92,,
1:22.0,,,54-92,,R. Holmes misses 2-pt shot from 1 ft
1:20.0,Defensive rebound by L. Kennard,,54-92,,
1:16.0,A. Tolliver misses 3-pt shot from 25 ft,,54-92,,
1:16.0,,,54-92,,Defensive rebound by T. Luwawu-Cabarrot
1:03.0,,,54-94,2,J. Embiid makes 2-pt shot from 12 ft (assist by J. Redick)
0:46.0,D. Buycks makes 2-pt shot from 11 ft,2,56-94,,
0:34.0,,,56-96,2,J. Embiid makes 2-pt shot from 14 ft
0:22.0,B. Marjanovic makes 2-pt shot from 10 ft (assist by D. Buycks),2,58-96,,
0:07.0,Personal foul by L. Kennard (drawn by J. Embiid),,58-96,,
0:07.0,,,58-96,,J. Embiid misses free throw 1 of 2
0:07.0,,,58-96,,Offensive rebound by Team
0:07.0,,,58-97,1,J. Embiid makes free throw 2 of 2
0:00.0,L. Kennard makes 3-pt shot from 23 ft (assist by D. Buycks),3,61-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,61-97,,Personal foul by T. McConnell (drawn by D. Buycks)
11:32.0,L. Kennard misses 2-pt shot from 18 ft,,61-97,,
11:30.0,,,61-97,,Defensive rebound by J. Anderson
11:15.0,,,61-97,,J. Anderson misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by E. Moreland,,61-97,,
10:54.0,H. Ellenson makes 2-pt shot from 3 ft (assist by D. Buycks),2,63-97,,
10:37.0,,,63-97,,A. Johnson misses 2-pt shot from 10 ft
10:34.0,Defensive rebound by E. Moreland,,63-97,,
10:27.0,D. Buycks misses 2-pt shot from 18 ft,,63-97,,
10:24.0,,,63-97,,Defensive rebound by R. Holmes
10:06.0,,,63-99,2,A. Johnson makes 2-pt shot from 2 ft (assist by T. McConnell)
9:41.0,D. Buycks makes 2-pt shot from 16 ft,2,65-99,,
9:18.0,,,65-99,,J. Anderson misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by E. Moreland,,65-99,,
9:05.0,L. Galloway misses 3-pt shot from 25 ft,,65-99,,
9:01.0,,,65-99,,Defensive rebound by J. Anderson
8:50.0,,,65-99,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by L. Kennard)
8:35.0,H. Ellenson misses 2-pt shot from 10 ft,,65-99,,
8:30.0,,,65-99,,Defensive rebound by R. Holmes
8:22.0,,,65-99,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
8:19.0,,,65-99,,Offensive rebound by R. Holmes
8:18.0,,,65-99,,R. Holmes misses 2-pt shot from 2 ft
8:14.0,,,65-99,,Offensive rebound by R. Holmes
8:14.0,,,65-99,,R. Holmes misses 2-pt shot at rim
8:13.0,Defensive rebound by H. Ellenson,,65-99,,
8:12.0,Shooting foul by A. Johnson (drawn by H. Ellenson),,65-99,,
8:12.0,H. Ellenson misses free throw 1 of 2,,65-99,,
8:12.0,Offensive rebound by Team,,65-99,,
8:12.0,H. Ellenson misses free throw 2 of 2,,65-99,,
8:12.0,,,65-99,,Defensive rebound by J. Anderson
8:12.0,,,65-99,,T. Booker enters the game for R. Holmes
8:02.0,,,65-99,,Turnover by T. McConnell (bad pass; steal by D. Buycks)
7:51.0,Turnover by D. Buycks (lost ball; steal by A. Johnson),,65-99,,
7:46.0,,,65-99,,T. Luwawu-Cabarrot misses 2-pt shot from 5 ft
7:44.0,Defensive rebound by H. Ellenson,,65-99,,
7:40.0,Turnover by H. Ellenson (out of bounds lost ball),,65-99,,
7:24.0,Personal foul by L. Galloway (drawn by T. Luwawu-Cabarrot),,65-99,,
7:24.0,,,65-99,,J. McAdoo enters the game for J. Anderson
7:24.0,,,65-99,,R. Holmes enters the game for A. Johnson
7:14.0,,,65-99,,Turnover by T. Booker (lost ball; steal by L. Galloway)
7:10.0,D. Buycks makes 2-pt shot from 2 ft (assist by L. Galloway),2,67-99,,
6:45.0,,,67-102,3,J. McAdoo makes 3-pt shot from 26 ft (assist by T. Luwawu-Cabarrot)
6:29.0,Turnover by D. Buycks (turnover),,67-102,,
6:29.0,,,67-102,,Philadelphia full timeout
6:29.0,L. Montero enters the game for L. Kennard,,67-102,,
6:15.0,,,67-104,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft
6:02.0,L. Galloway makes 2-pt shot from 16 ft (assist by E. Moreland),2,69-104,,
5:45.0,,,69-104,,T. Luwawu-Cabarrot misses 2-pt shot from 7 ft (block by E. Moreland)
5:41.0,Defensive rebound by D. Buycks,,69-104,,
5:35.0,L. Montero misses 2-pt shot from 2 ft,,69-104,,
5:31.0,,,69-104,,Defensive rebound by T. Booker
5:30.0,,,69-104,,T. McConnell misses 2-pt shot from 6 ft
5:30.0,Defensive rebound by E. Moreland,,69-104,,
5:19.0,L. Galloway misses 3-pt shot from 23 ft,,69-104,,
5:17.0,,,69-104,,Defensive rebound by J. McAdoo
5:02.0,,,69-104,,J. McAdoo misses 3-pt shot from 26 ft
5:00.0,Defensive rebound by H. Ellenson,,69-104,,
4:52.0,H. Ellenson makes 3-pt shot from 26 ft (assist by D. Buycks),3,72-104,,
4:26.0,,,72-104,,R. Holmes misses 2-pt shot from 1 ft
4:24.0,Defensive rebound by D. Buycks,,72-104,,
4:17.0,L. Galloway makes 2-pt shot from 11 ft (assist by D. Buycks),2,74-104,,
3:56.0,,,74-107,3,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by R. Holmes)
3:52.0,,,74-107,,Personal foul by T. Booker (drawn by D. Buycks)
3:52.0,,,74-107,,J. Anderson enters the game for R. Holmes
3:36.0,L. Galloway makes 3-pt shot from 25 ft,3,77-107,,
3:21.0,,,77-109,2,T. Luwawu-Cabarrot makes 2-pt shot from 20 ft (assist by J. Anderson)
2:57.0,L. Galloway misses 3-pt shot from 26 ft,,77-109,,
2:54.0,,,77-109,,Defensive rebound by T. McConnell
2:33.0,,,77-112,3,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by T. McConnell)
2:11.0,H. Ellenson misses 2-pt shot from 7 ft,,77-112,,
2:08.0,,,77-112,,Defensive rebound by T. Booker
1:58.0,,,77-114,2,T. McConnell makes 2-pt shot from 1 ft
1:47.0,Shooting foul by J. McAdoo (drawn by D. Buycks),,77-114,,
1:47.0,Detroit full timeout,,77-114,,
