time,Sacramento,pts.away,score,pts.home,Minnesota
6:50.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,64-74,,
6:48.0,,,64-74,,Defensive rebound by Team
6:48.0,,,64-74,,Minnesota full timeout
6:48.0,,,64-74,,G. Dieng enters the game for T. Gibson
6:44.0,Jump ball: K. Towns vs. Z. Randolph (J. Teague gains possession),,,,Jump ball: K. Towns vs. Z. Randolph (J. Teague gains possession)
6:30.0,,,64-77,3,J. Teague makes 3-pt shot from 25 ft (assist by K. Towns)
6:11.0,Z. Randolph misses 2-pt shot from 3 ft,,64-77,,
6:09.0,,,64-77,,Defensive rebound by J. Butler
5:54.0,,,64-77,,J. Teague misses 3-pt shot from 26 ft
5:52.0,,,64-77,,Offensive rebound by K. Towns
5:46.0,,,64-77,,J. Butler misses 2-pt shot from 2 ft
5:45.0,,,64-77,,Offensive rebound by K. Towns
5:45.0,,,64-77,,K. Towns misses 2-pt shot at rim
5:45.0,,,64-77,,Offensive rebound by K. Towns
5:45.0,,,64-79,2,K. Towns makes 2-pt shot at rim
5:45.0,,,64-79,,Shooting foul by W. Cauley-Stein (drawn by K. Towns)
5:45.0,K. Koufos enters the game for W. Cauley-Stein,,64-79,,
5:45.0,,,64-80,1,K. Towns makes free throw 1 of 1
5:36.0,Turnover by Z. Randolph (bad pass; steal by G. Dieng),,64-80,,
5:26.0,,,64-82,2,K. Towns makes 2-pt shot from 14 ft (assist by J. Teague)
5:20.0,Sacramento full timeout,,64-82,,
5:06.0,G. Hill misses 2-pt shot from 17 ft,,64-82,,
5:03.0,,,64-82,,Defensive rebound by G. Dieng
4:53.0,,,64-84,2,J. Butler makes 2-pt shot from 19 ft (assist by J. Teague)
4:46.0,B. Bogdanovic enters the game for J. Jackson,,64-84,,
4:40.0,K. Koufos makes 2-pt shot from 2 ft (assist by G. Temple),2,66-84,,
4:25.0,,,66-86,2,J. Butler makes 2-pt shot at rim
4:25.0,,,66-86,,Shooting foul by G. Temple (drawn by J. Butler)
4:25.0,,,66-87,1,J. Butler makes free throw 1 of 1
4:16.0,G. Temple misses 3-pt shot from 25 ft,,66-87,,
4:14.0,,,66-87,,Defensive rebound by K. Towns
4:14.0,Personal foul by Z. Randolph (drawn by K. Towns),,66-87,,
4:14.0,,,66-87,,K. Towns misses free throw 1 of 2
4:14.0,,,66-87,,Offensive rebound by Team
4:14.0,,,66-88,1,K. Towns makes free throw 2 of 2
3:53.0,G. Temple misses 3-pt shot from 27 ft,,66-88,,
3:50.0,,,66-88,,Defensive rebound by K. Towns
3:40.0,,,66-88,,K. Towns misses 3-pt shot from 26 ft
3:37.0,Defensive rebound by K. Koufos,,66-88,,
3:27.0,K. Koufos misses 2-pt shot from 2 ft (block by K. Towns),,66-88,,
3:24.0,,,66-88,,Defensive rebound by J. Butler
3:15.0,,,66-90,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Butler)
2:56.0,Turnover by G. Hill (bad pass; steal by G. Dieng),,66-90,,
2:37.0,,,66-93,3,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns)
2:37.0,Sacramento full timeout,,66-93,,
2:37.0,,,66-93,,J. Crawford enters the game for J. Butler
2:37.0,F. Mason enters the game for G. Hill,,66-93,,
2:37.0,V. Carter enters the game for G. Temple,,66-93,,
2:37.0,B. Hield enters the game for Z. Randolph,,66-93,,
2:20.0,K. Koufos makes 2-pt shot from 4 ft (assist by F. Mason),2,68-93,,
2:20.0,Shooting foul by J. Crawford (drawn by K. Koufos),,68-93,,
2:20.0,,,68-93,,M. Georges-Hunt enters the game for K. Towns
2:20.0,K. Koufos makes free throw 1 of 1,1,69-93,,
2:11.0,,,69-95,2,A. Wiggins makes 2-pt shot from 14 ft (assist by J. Teague)
1:57.0,V. Carter misses 3-pt shot from 27 ft,,69-95,,
1:54.0,,,69-95,,Defensive rebound by G. Dieng
1:37.0,,,69-95,,A. Wiggins misses 2-pt shot from 21 ft
1:34.0,Defensive rebound by V. Carter,,69-95,,
1:27.0,F. Mason misses 2-pt shot at rim,,69-95,,
1:23.0,Offensive rebound by K. Koufos,,69-95,,
1:23.0,K. Koufos makes 2-pt shot at rim,2,71-95,,
1:00.0,,,71-95,,J. Crawford misses 2-pt shot from 19 ft
0:57.0,Defensive rebound by K. Koufos,,71-95,,
0:40.0,B. Hield misses 3-pt shot from 22 ft,,71-95,,
0:38.0,Offensive rebound by F. Mason,,71-95,,
0:30.0,B. Bogdanovic misses 3-pt shot from 25 ft,,71-95,,
0:27.0,,,71-95,,Defensive rebound by G. Dieng
0:07.0,,,71-95,,A. Wiggins misses 2-pt shot from 12 ft
0:04.0,Defensive rebound by B. Bogdanovic,,71-95,,
0:01.0,,,71-95,,Personal take foul by M. Georges-Hunt (drawn by B. Bogdanovic)
0:00.0,F. Mason misses 3-pt shot from 26 ft,,71-95,,
0:00.0,Offensive rebound by Team,,71-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Turnover by B. Bogdanovic (out of bounds lost ball),,71-95,,
11:38.0,,,71-95,,J. Crawford misses 3-pt shot from 23 ft
11:35.0,Defensive rebound by B. Bogdanovic,,71-95,,
11:26.0,V. Carter misses 2-pt shot from 14 ft,,71-95,,
11:24.0,,,71-95,,Defensive rebound by T. Jones
11:19.0,,,71-95,,Turnover by T. Jones (bad pass; steal by V. Carter)
11:14.0,,,71-95,,Personal block foul by T. Jones (drawn by F. Mason)
11:02.0,B. Bogdanovic misses 2-pt shot from 19 ft,,71-95,,
10:58.0,,,71-95,,Defensive rebound by J. Butler
10:49.0,,,71-95,,M. Georges-Hunt misses 3-pt shot from 27 ft
10:46.0,Defensive rebound by B. Bogdanovic,,71-95,,
10:38.0,K. Koufos misses 2-pt shot from 3 ft,,71-95,,
10:34.0,,,71-95,,Defensive rebound by M. Georges-Hunt
10:19.0,,,71-97,2,J. Butler makes 2-pt shot from 12 ft
10:05.0,B. Hield makes 3-pt shot from 24 ft (assist by F. Mason),3,74-97,,
9:40.0,,,74-97,,G. Dieng misses 2-pt shot from 18 ft
9:38.0,Defensive rebound by F. Mason,,74-97,,
9:32.0,F. Mason misses 2-pt shot from 6 ft,,74-97,,
9:30.0,Offensive rebound by K. Koufos,,74-97,,
9:30.0,K. Koufos makes 2-pt shot at rim,2,76-97,,
9:30.0,,,76-97,,Minnesota full timeout
9:16.0,Personal block foul by V. Carter (drawn by M. Georges-Hunt),,76-97,,
9:05.0,,,76-97,,G. Dieng misses 2-pt shot from 19 ft
9:03.0,Defensive rebound by B. Hield,,76-97,,
8:47.0,F. Mason misses 2-pt shot from 8 ft,,76-97,,
8:44.0,,,76-97,,Defensive rebound by J. Butler
8:34.0,Personal foul by K. Koufos (drawn by G. Dieng),,76-97,,
8:34.0,,,76-97,,K. Towns enters the game for G. Dieng
8:22.0,,,76-97,,J. Butler misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by V. Carter,,76-97,,
8:10.0,B. Hield misses 3-pt shot from 24 ft,,76-97,,
8:09.0,,,76-97,,Defensive rebound by J. Butler
7:58.0,,,76-99,2,M. Georges-Hunt makes 2-pt shot from 1 ft (assist by J. Butler)
7:42.0,,,76-99,,Personal foul by T. Jones (drawn by K. Koufos)
7:42.0,,,76-99,,J. Teague enters the game for T. Jones
7:34.0,,,76-99,,Personal foul by K. Towns (drawn by B. Bogdanovic)
7:24.0,B. Hield makes 3-pt shot from 24 ft,3,79-99,,
7:01.0,,,79-99,,K. Towns misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by F. Mason,,79-99,,
6:55.0,B. Hield misses 3-pt shot from 24 ft,,79-99,,
6:53.0,Offensive rebound by K. Koufos,,79-99,,
6:43.0,F. Mason makes 2-pt shot from 2 ft,2,81-99,,
6:30.0,,,81-99,,Shooting foul by B. Hield (drawn by J. Butler)
6:30.0,,,81-100,1,J. Butler makes free throw 1 of 2
6:30.0,,,81-100,,A. Wiggins enters the game for J. Crawford
6:30.0,,,81-101,1,J. Butler makes free throw 2 of 2
6:18.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by K. Koufos),3,84-101,,
5:59.0,,,84-103,2,J. Teague makes 2-pt shot at rim (assist by J. Butler)
5:45.0,F. Mason misses 2-pt shot from 20 ft,,84-103,,
5:44.0,,,84-103,,Defensive rebound by Team
5:44.0,Loose ball foul by K. Koufos (drawn by J. Butler),,84-103,,
5:44.0,,,84-103,,T. Gibson enters the game for M. Georges-Hunt
5:44.0,S. Labissiere enters the game for K. Koufos,,84-103,,
5:31.0,,,84-103,,Shooting foul by S. Labissiere (drawn by K. Towns)
5:31.0,,,84-103,,K. Towns misses free throw 1 of 2
5:31.0,,,84-103,,Offensive rebound by Team
5:31.0,,,84-103,,T. Jones enters the game for J. Teague
5:31.0,J. Jackson enters the game for V. Carter,,84-103,,
5:31.0,M. Richardson enters the game for B. Hield,,84-103,,
5:31.0,,,84-103,,K. Towns misses free throw 2 of 2
5:29.0,Defensive rebound by M. Richardson,,84-103,,
5:09.0,S. Labissiere makes 2-pt shot from 1 ft (assist by F. Mason),2,86-103,,
4:47.0,,,86-106,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Butler)
4:35.0,,,86-106,,Personal foul by K. Towns (drawn by S. Labissiere)
4:23.0,J. Jackson misses 2-pt shot at rim,,86-106,,
4:20.0,,,86-106,,Defensive rebound by T. Gibson
4:10.0,,,86-106,,Turnover by A. Wiggins (bad pass)
3:56.0,F. Mason misses 2-pt shot from 1 ft (block by J. Butler),,86-106,,
3:53.0,,,86-106,,Defensive rebound by K. Towns
3:48.0,,,86-106,,T. Gibson misses 2-pt shot from 1 ft (block by S. Labissiere)
3:48.0,,,86-106,,Offensive rebound by T. Gibson
3:43.0,,,86-108,2,T. Gibson makes 2-pt shot from 1 ft
3:33.0,J. Jackson makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,89-108,,
3:23.0,,,89-110,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
3:08.0,M. Richardson misses 3-pt shot from 24 ft,,89-110,,
3:08.0,,,89-110,,Defensive rebound by K. Towns
2:53.0,,,89-110,,T. Gibson misses 3-pt shot from 23 ft
2:53.0,Defensive rebound by B. Bogdanovic,,89-110,,
2:41.0,S. Labissiere makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,91-110,,
2:41.0,,,91-110,,Minnesota full timeout
2:41.0,,,91-110,,G. Dieng enters the game for A. Wiggins
2:41.0,,,91-110,,A. Brooks enters the game for J. Butler
2:41.0,,,91-110,,M. Georges-Hunt enters the game for K. Towns
2:41.0,,,91-110,,C. Aldrich enters the game for T. Gibson
2:28.0,,,91-113,3,A. Brooks makes 3-pt shot from 25 ft (assist by G. Dieng)
