time,Charlotte,pts.away,score,pts.home,Portland
3:27.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,8-22,,
3:10.0,,,8-22,,Z. Collins misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by D. Howard,,8-22,,
2:54.0,K. Walker makes 3-pt shot from 24 ft (assist by D. Howard),3,11-22,,
2:28.0,,,11-24,2,Z. Collins makes 2-pt shot from 12 ft
2:12.0,D. Howard makes 2-pt shot from 1 ft,2,13-24,,
2:12.0,Shooting foul by E. Davis (drawn by D. Howard),,13-24,,
2:12.0,F. Kaminsky enters the game for M. Williams,,13-24,,
2:12.0,M. Carter-Williams enters the game for M. Kidd-Gilchrist,,13-24,,
2:12.0,J. Lamb enters the game for K. Walker,,13-24,,
2:12.0,D. Howard makes free throw 1 of 1,1,16-27,,
1:53.0,,,16-27,,D. Lillard misses 3-pt shot from 26 ft
1:50.0,Defensive rebound by Team,,16-27,,
1:46.0,F. Kaminsky misses 3-pt shot from 24 ft,,16-27,,
1:43.0,,,16-27,,Defensive rebound by D. Lillard
1:36.0,,,16-27,,D. Lillard misses 2-pt shot from 1 ft (block by D. Howard)
1:33.0,,,16-27,,Offensive rebound by Z. Collins
1:31.0,,,13-27,3,D. Lillard makes 3-pt shot from 25 ft (assist by Z. Collins)
1:15.0,N. Batum makes 2-pt shot from 23 ft (assist by M. Carter-Williams),2,15-27,,
1:01.0,,,16-29,2,P. Connaughton makes 2-pt shot from 15 ft
0:47.0,N. Batum misses 2-pt shot from 18 ft,,16-29,,
0:45.0,,,16-29,,Defensive rebound by E. Davis
0:33.0,,,16-29,,Z. Collins misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by F. Kaminsky,,16-29,,
0:12.0,D. Howard makes 2-pt shot at rim (assist by F. Kaminsky),2,18-29,,
0:00.0,,,18-29,,Z. Collins misses 2-pt shot from 16 ft
0:00.0,,,18-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,18-31,2,E. Turner makes 2-pt shot from 9 ft
11:33.0,Turnover by C. Zeller (traveling),,18-31,,
11:18.0,,,18-31,,Turnover by C. McCollum (bad pass; steal by F. Kaminsky)
11:07.0,J. Lamb misses 2-pt shot at rim,,18-31,,
11:05.0,,,18-31,,Defensive rebound by E. Turner
11:02.0,,,18-31,,S. Napier misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by M. Carter-Williams,,18-31,,
10:48.0,F. Kaminsky misses 2-pt shot from 11 ft,,18-31,,
10:44.0,,,18-31,,Defensive rebound by E. Davis
10:39.0,Personal foul by F. Kaminsky (drawn by Z. Collins),,18-31,,
10:35.0,,,18-31,,C. McCollum misses 2-pt shot from 3 ft
10:33.0,Defensive rebound by T. Graham,,18-31,,
10:20.0,F. Kaminsky makes 2-pt shot from 2 ft,2,20-31,,
10:00.0,,,20-33,2,E. Turner makes 2-pt shot from 1 ft
9:45.0,J. Lamb misses 2-pt shot from 21 ft,,20-33,,
9:43.0,,,20-33,,Defensive rebound by E. Davis
9:35.0,,,20-33,,E. Turner misses 2-pt shot from 10 ft
9:32.0,Defensive rebound by C. Zeller,,20-33,,
9:28.0,,,20-33,,Personal foul by C. McCollum (drawn by M. Carter-Williams)
9:19.0,C. Zeller misses 2-pt shot at rim,,20-33,,
9:16.0,,,20-33,,Defensive rebound by E. Davis
9:10.0,,,20-33,,C. McCollum misses 2-pt shot from 14 ft
9:07.0,Defensive rebound by J. Lamb,,20-33,,
9:02.0,J. Lamb makes 2-pt shot from 14 ft (assist by M. Carter-Williams),2,22-33,,
8:44.0,Personal foul by M. Carter-Williams (drawn by C. McCollum),,22-33,,
8:31.0,,,22-35,2,E. Davis makes 2-pt shot from 3 ft (assist by S. Napier)
8:11.0,F. Kaminsky misses 2-pt shot from 2 ft (block by E. Davis),,22-35,,
8:06.0,Offensive rebound by C. Zeller,,22-35,,
8:06.0,C. Zeller makes 2-pt shot at rim,2,24-35,,
7:49.0,,,24-35,,Shooting foul by M. Carter-Williams (drawn by E. Turner)
7:49.0,,,24-36,1,E. Turner makes free throw 1 of 2
7:49.0,,,24-37,1,E. Turner makes free throw 2 of 2
7:38.0,M. Carter-Williams misses 2-pt shot from 9 ft,,24-37,,
7:36.0,,,24-37,,Defensive rebound by E. Davis
7:27.0,,,24-37,,C. McCollum misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by F. Kaminsky,,24-37,,
7:16.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by C. Zeller),3,27-37,,
6:55.0,,,27-37,,Portland full timeout
6:55.0,,,27-37,,M. Harkless enters the game for E. Turner
6:55.0,K. Walker enters the game for M. Carter-Williams,,27-37,,
6:47.0,,,27-39,2,C. McCollum makes 2-pt shot from 1 ft
6:30.0,Turnover by J. Lamb (bad pass),,27-39,,
6:06.0,,,27-39,,S. Napier misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by C. Zeller,,27-39,,
5:58.0,K. Walker makes 2-pt shot from 18 ft,2,29-39,,
5:39.0,,,29-39,,Z. Collins misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by J. Lamb,,29-39,,
5:31.0,,,29-39,,Loose ball foul by M. Harkless (drawn by C. Zeller)
5:30.0,D. Howard enters the game for C. Zeller,,29-39,,
5:30.0,J. Lamb misses 2-pt shot from 10 ft,,29-39,,
5:30.0,Offensive rebound by Team,,29-39,,
5:30.0,,,29-39,,A. Aminu enters the game for C. McCollum
5:30.0,,,29-39,,D. Lillard enters the game for E. Davis
5:30.0,,,29-39,,J. Nurkic enters the game for Z. Collins
5:30.0,N. Batum enters the game for J. Lamb,,29-39,,
5:20.0,K. Walker misses 2-pt shot from 1 ft,,29-39,,
5:15.0,Offensive rebound by D. Howard,,29-39,,
5:15.0,D. Howard misses 2-pt shot at rim,,29-39,,
5:14.0,Offensive rebound by D. Howard,,29-39,,
5:13.0,D. Howard misses 2-pt shot from 1 ft (block by S. Napier),,29-39,,
5:12.0,,,29-39,,Defensive rebound by A. Aminu
5:10.0,Personal foul by T. Graham (drawn by D. Lillard),,29-39,,
5:10.0,M. Williams enters the game for F. Kaminsky,,29-39,,
5:01.0,,,29-39,,Turnover by J. Nurkic (traveling)
4:46.0,N. Batum makes 2-pt shot from 16 ft,2,31-39,,
4:30.0,,,31-39,,Turnover by D. Lillard (bad pass)
4:30.0,,,31-39,,Loose ball foul by M. Harkless (drawn by T. Graham)
4:16.0,K. Walker misses 2-pt shot from 1 ft,,31-39,,
4:12.0,,,31-39,,Defensive rebound by M. Harkless
4:02.0,,,31-39,,A. Aminu misses 2-pt shot from 18 ft
4:00.0,Defensive rebound by M. Williams,,31-39,,
3:53.0,N. Batum makes 2-pt shot from 6 ft,2,33-39,,
3:36.0,,,33-39,,J. Nurkic misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by D. Howard,,33-39,,
3:24.0,N. Batum misses 3-pt shot from 24 ft,,33-39,,
3:21.0,,,33-39,,Defensive rebound by J. Nurkic
3:15.0,,,33-42,3,D. Lillard makes 3-pt shot from 26 ft
3:00.0,K. Walker makes 2-pt shot from 16 ft,2,35-42,,
2:46.0,,,35-42,,D. Lillard misses 2-pt shot from 1 ft
2:43.0,,,35-42,,Offensive rebound by A. Aminu
2:41.0,,,35-44,2,J. Nurkic makes 2-pt shot from 1 ft (assist by A. Aminu)
2:24.0,K. Walker makes 2-pt shot from 1 ft,2,37-44,,
2:08.0,,,37-44,,Turnover by J. Nurkic (bad pass; steal by K. Walker)
2:06.0,Shooting foul by M. Harkless (drawn by K. Walker),,37-44,,
2:06.0,Charlotte full timeout,,37-44,,
2:06.0,,,37-44,,M. Leonard enters the game for S. Napier
2:06.0,,,37-44,,C. McCollum enters the game for J. Nurkic
2:06.0,M. Kidd-Gilchrist enters the game for T. Graham,,37-44,,
2:06.0,K. Walker makes free throw 1 of 2,1,38-44,,
2:06.0,K. Walker makes free throw 2 of 2,1,39-44,,
1:51.0,,,39-44,,M. Leonard misses 2-pt shot from 17 ft
1:47.0,Defensive rebound by D. Howard,,39-44,,
1:36.0,K. Walker makes 3-pt shot from 25 ft,3,42-44,,
1:21.0,,,42-44,,D. Lillard misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by D. Howard,,42-44,,
1:03.0,M. Kidd-Gilchrist misses 2-pt shot from 9 ft,,42-44,,
1:00.0,,,42-44,,Defensive rebound by M. Leonard
0:55.0,,,42-44,,Shooting foul by M. Kidd-Gilchrist (drawn by C. McCollum)
0:55.0,,,42-45,1,C. McCollum makes free throw 1 of 2
0:55.0,,,42-46,1,C. McCollum makes free throw 2 of 2
0:47.0,K. Walker makes 3-pt shot from 24 ft,3,45-46,,
0:33.0,,,45-46,,D. Lillard misses 2-pt shot from 2 ft (block by M. Williams)
0:28.0,Defensive rebound by M. Kidd-Gilchrist,,45-46,,
0:19.0,N. Batum misses 3-pt shot from 24 ft,,45-46,,
0:16.0,,,45-46,,Defensive rebound by A. Aminu
0:00.0,,,45-49,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,45-49,,A. Aminu misses 2-pt shot from 19 ft
11:40.0,Defensive rebound by M. Williams,,45-49,,
11:26.0,Turnover by N. Batum (bad pass; steal by J. Nurkic),,45-49,,
11:18.0,,,45-49,,J. Nurkic misses 2-pt shot from 3 ft
11:15.0,Defensive rebound by M. Williams,,45-49,,
11:05.0,D. Howard misses 2-pt shot from 8 ft,,45-49,,
11:03.0,,,45-49,,Defensive rebound by A. Aminu
10:45.0,,,45-51,2,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard)
10:19.0,D. Howard makes 2-pt shot from 23 ft (assist by M. Williams),2,47-51,,
9:57.0,,,47-51,,M. Harkless misses 3-pt shot from 24 ft
9:56.0,,,47-51,,Offensive rebound by J. Nurkic
9:53.0,,,47-51,,C. McCollum misses 2-pt shot from 1 ft
9:52.0,,,47-51,,Offensive rebound by J. Nurkic
9:52.0,,,47-53,2,J. Nurkic makes 2-pt shot from 1 ft
9:52.0,,,47-53,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Nurkic)
9:52.0,,,47-54,1,J. Nurkic makes free throw 1 of 1
9:36.0,M. Williams makes 2-pt shot from 3 ft,2,49-54,,
9:21.0,,,49-54,,A. Aminu misses 2-pt shot from 2 ft
9:20.0,,,49-54,,Offensive rebound by M. Harkless
9:19.0,,,49-56,2,M. Harkless makes 2-pt shot from 1 ft
9:02.0,Turnover by N. Batum (lost ball; steal by D. Lillard),,49-56,,
9:00.0,,,49-56,,Turnover by D. Lillard (bad pass; steal by K. Walker)
8:48.0,M. Williams makes 2-pt shot from 4 ft,2,51-56,,
8:28.0,,,51-58,2,A. Aminu makes 2-pt shot from 1 ft
8:16.0,N. Batum makes 2-pt shot from 18 ft,2,53-58,,
8:04.0,,,53-58,,C. McCollum misses 2-pt shot from 9 ft
8:00.0,Defensive rebound by D. Howard,,53-58,,
7:53.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,56-58,,
7:25.0,,,56-58,,C. McCollum misses 2-pt shot from 14 ft
7:22.0,Defensive rebound by M. Williams,,56-58,,
7:05.0,Turnover by K. Walker (bad pass; steal by A. Aminu),,56-58,,
6:59.0,,,56-58,,D. Lillard misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by D. Howard,,56-58,,
6:45.0,N. Batum misses 3-pt shot from 26 ft,,56-58,,
6:42.0,,,56-58,,Defensive rebound by J. Nurkic
6:36.0,,,56-60,2,D. Lillard makes 2-pt shot from 1 ft
6:36.0,,,56-60,,Shooting foul by D. Howard (drawn by D. Lillard)
6:36.0,,,56-60,,Portland full timeout
6:36.0,,,56-61,1,D. Lillard makes free throw 1 of 1
6:20.0,D. Howard misses 2-pt shot from 4 ft,,56-61,,
6:16.0,,,56-61,,Defensive rebound by A. Aminu
6:11.0,,,56-63,2,C. McCollum makes 2-pt shot from 9 ft
5:54.0,M. Kidd-Gilchrist makes 2-pt shot from 21 ft (assist by N. Batum),2,58-63,,
5:38.0,,,58-65,2,J. Nurkic makes 2-pt shot from 9 ft (assist by C. McCollum)
5:18.0,M. Williams misses 2-pt shot from 10 ft,,58-65,,
5:15.0,,,58-65,,Defensive rebound by C. McCollum
5:12.0,,,58-68,3,C. McCollum makes 3-pt shot from 24 ft
5:11.0,Charlotte full timeout,,58-68,,
5:11.0,,,58-68,,E. Turner enters the game for M. Harkless
5:00.0,Turnover by K. Walker (step out of bounds),,58-68,,
4:45.0,,,58-68,,D. Lillard misses 2-pt shot from 18 ft
4:43.0,Defensive rebound by D. Howard,,58-68,,
4:40.0,,,58-68,,Personal foul by D. Lillard (drawn by K. Walker)
4:35.0,Turnover by M. Williams (bad pass; steal by A. Aminu),,58-68,,
4:32.0,,,58-68,,J. Nurkic misses 2-pt shot from 5 ft
4:29.0,Defensive rebound by M. Kidd-Gilchrist,,58-68,,
4:21.0,M. Kidd-Gilchrist misses 2-pt shot from 13 ft,,58-68,,
4:21.0,,,58-68,,Defensive rebound by A. Aminu
4:08.0,,,58-68,,E. Turner misses 3-pt shot from 22 ft
4:08.0,,,58-68,,Offensive rebound by A. Aminu
4:05.0,,,58-71,3,E. Turner makes 3-pt shot from 22 ft (assist by A. Aminu)
3:35.0,K. Walker misses 3-pt shot from 25 ft,,58-71,,
3:35.0,,,58-71,,Defensive rebound by A. Aminu
3:30.0,,,58-71,,Shooting foul by D. Howard (drawn by D. Lillard)
3:30.0,,,58-72,1,D. Lillard makes free throw 1 of 2
3:30.0,,,58-72,,P. Connaughton enters the game for C. McCollum
3:30.0,F. Kaminsky enters the game for M. Williams,,58-72,,
3:30.0,J. Lamb enters the game for M. Kidd-Gilchrist,,58-72,,
3:30.0,,,58-73,1,D. Lillard makes free throw 2 of 2
3:23.0,,,58-73,,Personal foul by J. Nurkic (drawn by K. Walker)
3:14.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by K. Walker),3,61-73,,
2:52.0,,,61-75,2,D. Lillard makes 2-pt shot from 17 ft (assist by J. Nurkic)
2:37.0,F. Kaminsky misses 2-pt shot from 8 ft,,61-75,,
2:36.0,,,61-75,,Defensive rebound by J. Nurkic
2:27.0,,,61-75,,D. Lillard misses 3-pt shot from 28 ft
2:26.0,Defensive rebound by D. Howard,,61-75,,
2:20.0,K. Walker misses 3-pt shot from 25 ft,,61-75,,
2:17.0,Offensive rebound by N. Batum,,61-75,,
2:08.0,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum),2,63-75,,
1:51.0,,,63-77,2,J. Nurkic makes 2-pt shot from 18 ft
1:33.0,D. Howard misses 2-pt shot from 20 ft,,63-77,,
1:32.0,,,63-77,,Defensive rebound by Team
1:32.0,,,63-77,,Z. Collins enters the game for A. Aminu
1:32.0,,,63-77,,E. Davis enters the game for J. Nurkic
1:32.0,T. Graham enters the game for N. Batum,,63-77,,
1:32.0,C. Zeller enters the game for D. Howard,,63-77,,
1:32.0,M. Carter-Williams enters the game for K. Walker,,63-77,,
1:17.0,,,63-77,,D. Lillard misses 3-pt shot from 27 ft
1:17.0,Defensive rebound by M. Carter-Williams,,63-77,,
1:01.0,Shooting foul by E. Davis (drawn by C. Zeller),,63-77,,
1:01.0,C. Zeller makes free throw 1 of 2,1,64-77,,
1:01.0,C. Zeller makes free throw 2 of 2,1,65-77,,
0:45.0,,,65-79,2,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard)
0:29.0,J. Lamb misses 2-pt shot from 17 ft,,65-79,,
0:26.0,,,65-79,,Defensive rebound by E. Turner
0:06.0,,,65-79,,D. Lillard misses 2-pt shot from 1 ft
0:03.0,Defensive rebound by C. Zeller,,65-79,,
0:00.0,J. Lamb misses 3-pt shot from 24 ft,,65-79,,
0:00.0,,,65-79,,Defensive rebound by Z. Collins
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lamb),3,68-79,,
11:25.0,,,68-81,2,C. McCollum makes 2-pt shot from 1 ft
11:06.0,F. Kaminsky makes 2-pt shot from 7 ft (assist by T. Graham),2,70-81,,
11:06.0,Shooting foul by Z. Collins (drawn by F. Kaminsky),,70-81,,
11:06.0,F. Kaminsky makes free throw 1 of 1,1,71-81,,
10:50.0,,,71-83,2,E. Davis makes 2-pt shot from 1 ft (assist by E. Turner)
10:50.0,,,71-83,,Shooting foul by M. Carter-Williams (drawn by E. Davis)
10:50.0,,,71-84,1,E. Davis makes free throw 1 of 1
10:41.0,C. Zeller misses 2-pt shot from 20 ft,,71-84,,
10:37.0,,,71-84,,Defensive rebound by S. Napier
10:26.0,,,71-84,,Shooting foul by F. Kaminsky (drawn by Z. Collins)
10:26.0,,,71-84,,Z. Collins misses free throw 1 of 2
10:26.0,,,71-84,,Offensive rebound by Team
10:26.0,,,71-85,1,Z. Collins makes free throw 2 of 2
10:13.0,Turnover by F. Kaminsky (lost ball; steal by Z. Collins),,71-85,,
10:08.0,,,71-85,,C. McCollum misses 3-pt shot from 23 ft
10:06.0,Defensive rebound by Team,,71-85,,
9:47.0,Shooting foul by E. Davis (drawn by C. Zeller),,71-85,,
9:47.0,C. Zeller misses free throw 1 of 2,,71-85,,
9:47.0,Offensive rebound by Team,,71-85,,
9:47.0,C. Zeller misses free throw 2 of 2,,71-85,,
9:45.0,,,71-85,,Defensive rebound by E. Davis
9:28.0,,,71-85,,C. McCollum misses 2-pt shot from 6 ft
9:28.0,Defensive rebound by Team,,71-85,,
9:28.0,,,71-85,,Loose ball foul by E. Davis (drawn by F. Kaminsky)
9:11.0,J. Lamb makes 2-pt shot from 20 ft,2,73-85,,
9:11.0,Shooting foul by C. McCollum (drawn by J. Lamb),,73-85,,
9:11.0,J. Lamb makes free throw 1 of 1,1,74-85,,
8:51.0,,,74-87,2,E. Turner makes 2-pt shot from 13 ft
8:36.0,F. Kaminsky misses 3-pt shot from 26 ft,,74-87,,
8:32.0,Offensive rebound by J. Lamb,,74-87,,
8:26.0,T. Graham misses 3-pt shot from 23 ft,,74-87,,
8:24.0,Offensive rebound by T. Graham,,74-87,,
8:24.0,Shooting foul by Z. Collins (drawn by T. Graham),,74-87,,
8:24.0,T. Graham misses free throw 1 of 2,,74-87,,
8:24.0,Offensive rebound by Team,,74-87,,
8:24.0,T. Graham makes free throw 2 of 2,1,75-87,,
8:12.0,,,75-90,3,Z. Collins makes 3-pt shot from 25 ft (assist by S. Napier)
7:53.0,F. Kaminsky misses 2-pt shot from 9 ft,,75-90,,
7:51.0,,,75-90,,Defensive rebound by E. Davis
7:41.0,,,75-90,,S. Napier misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by F. Kaminsky,,75-90,,
7:32.0,M. Carter-Williams misses 2-pt shot from 19 ft,,75-90,,
7:29.0,,,75-90,,Defensive rebound by Z. Collins
7:14.0,,,75-90,,Shooting foul by M. Carter-Williams (drawn by C. McCollum)
7:14.0,,,75-91,1,C. McCollum makes free throw 1 of 2
7:14.0,,,75-91,,A. Aminu enters the game for E. Turner
7:14.0,,,75-91,,D. Lillard enters the game for Z. Collins
7:14.0,K. Walker enters the game for M. Carter-Williams,,75-91,,
7:14.0,,,75-92,1,C. McCollum makes free throw 2 of 2
7:05.0,K. Walker makes 2-pt shot from 1 ft (assist by C. Zeller),2,77-92,,
6:43.0,,,77-92,,Turnover by C. McCollum (lost ball; steal by F. Kaminsky)
6:29.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by K. Walker),3,80-92,,
6:04.0,,,80-92,,Turnover by E. Davis (turnover)
6:04.0,,,80-92,,Portland full timeout
6:04.0,,,80-92,,J. Nurkic enters the game for S. Napier
6:04.0,,,80-92,,M. Harkless enters the game for E. Davis
6:04.0,D. Howard enters the game for T. Graham,,80-92,,
6:04.0,N. Batum enters the game for C. Zeller,,80-92,,
5:53.0,K. Walker makes 3-pt shot from 24 ft,3,83-92,,
5:39.0,,,83-92,,Turnover by C. McCollum (lost ball; steal by K. Walker)
5:35.0,Shooting foul by M. Harkless (drawn by K. Walker),,83-92,,
5:35.0,K. Walker makes free throw 1 of 3,1,84-92,,
5:35.0,K. Walker makes free throw 2 of 3,1,85-92,,
5:35.0,M. Kidd-Gilchrist enters the game for J. Lamb,,85-92,,
5:35.0,K. Walker makes free throw 3 of 3,1,86-92,,
5:19.0,,,86-92,,Turnover by J. Nurkic (bad pass; steal by N. Batum)
5:11.0,K. Walker makes 2-pt shot from 1 ft,2,88-92,,
4:47.0,,,88-95,3,A. Aminu makes 3-pt shot from 26 ft (assist by D. Lillard)
4:27.0,Shooting foul by D. Lillard (drawn by K. Walker),,88-95,,
4:27.0,K. Walker makes free throw 1 of 3,1,89-95,,
4:27.0,K. Walker makes free throw 2 of 3,1,90-95,,
4:27.0,K. Walker makes free throw 3 of 3,1,91-95,,
4:10.0,,,91-95,,M. Harkless misses 3-pt shot from 22 ft
4:08.0,Defensive rebound by F. Kaminsky,,91-95,,
3:49.0,K. Walker misses 3-pt shot from 24 ft,,91-95,,
3:47.0,,,91-95,,Defensive rebound by A. Aminu
3:24.0,,,91-95,,Turnover by C. McCollum (lost ball; steal by N. Batum)
3:08.0,K. Walker makes 2-pt shot from 1 ft,2,93-95,,
3:08.0,,,93-95,,Portland full timeout
2:59.0,,,93-95,,Turnover by A. Aminu (bad pass; steal by K. Walker)
2:56.0,K. Walker makes 2-pt shot from 1 ft,2,95-95,,
2:42.0,,,95-97,2,J. Nurkic makes 2-pt shot from 11 ft (assist by D. Lillard)
2:25.0,K. Walker misses 3-pt shot from 24 ft,,95-97,,
2:22.0,,,95-97,,Defensive rebound by M. Harkless
2:14.0,Personal foul by K. Walker (drawn by D. Lillard),,95-97,,
2:08.0,,,95-97,,D. Lillard misses 3-pt shot from 27 ft
2:06.0,Defensive rebound by K. Walker,,95-97,,
1:45.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft,2,97-97,,
1:28.0,,,97-97,,Turnover by J. Nurkic (bad pass)
1:09.0,F. Kaminsky misses 3-pt shot from 23 ft,,97-97,,
1:07.0,,,97-97,,Defensive rebound by A. Aminu
0:52.0,,,97-97,,D. Lillard misses 3-pt shot from 32 ft
0:50.0,Defensive rebound by M. Kidd-Gilchrist,,97-97,,
0:45.0,Charlotte full timeout,,97-97,,
0:45.0,J. Lamb enters the game for M. Kidd-Gilchrist,,97-97,,
0:27.0,Turnover by Team (shot clock),,97-97,,
0:27.0,M. Kidd-Gilchrist enters the game for J. Lamb,,97-97,,
