time,Charlotte,pts.away,score,pts.home,Miami
6:52.0,,,60-60,,Turnover by D. Waiters (bad pass)
6:52.0,,,60-60,,Miami full timeout
6:39.0,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum),2,62-60,,
6:21.0,,,62-60,,D. Waiters misses 3-pt shot from 23 ft
6:17.0,,,62-60,,Offensive rebound by G. Dragic
6:15.0,,,62-63,3,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic)
5:55.0,M. Williams makes 2-pt shot from 20 ft (assist by N. Batum),2,64-63,,
5:26.0,,,64-66,3,D. Waiters makes 3-pt shot from 22 ft (assist by G. Dragic)
5:13.0,Shooting foul by D. Waiters (drawn by M. Carter-Williams),,64-66,,
5:13.0,M. Carter-Williams makes free throw 1 of 2,1,65-66,,
5:13.0,M. Carter-Williams makes free throw 2 of 2,1,66-66,,
5:06.0,,,66-66,,Offensive foul by G. Dragic (drawn by M. Carter-Williams)
5:06.0,,,66-66,,Turnover by G. Dragic (offensive foul)
5:06.0,,,66-66,,T. Johnson enters the game for G. Dragic
4:51.0,M. Carter-Williams makes 2-pt shot from 13 ft,2,68-66,,
4:31.0,,,68-66,,D. Waiters misses 2-pt shot from 15 ft
4:29.0,Defensive rebound by M. Williams,,68-66,,
4:25.0,M. Kidd-Gilchrist misses 2-pt shot at rim,,68-66,,
4:22.0,,,68-66,,Defensive rebound by J. Richardson
4:18.0,,,68-66,,D. Waiters misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by M. Kidd-Gilchrist,,68-66,,
4:10.0,Offensive foul by C. Zeller (drawn by J. Richardson),,68-66,,
4:10.0,Turnover by C. Zeller (offensive foul),,68-66,,
4:10.0,,,68-66,,J. Johnson enters the game for J. Winslow
3:57.0,,,68-69,3,T. Johnson makes 3-pt shot from 24 ft (assist by D. Waiters)
3:45.0,,,68-69,,Personal foul by B. Adebayo (drawn by M. Williams)
3:45.0,M. Monk enters the game for M. Carter-Williams,,68-69,,
3:37.0,M. Monk misses 2-pt shot from 18 ft,,68-69,,
3:32.0,Offensive rebound by C. Zeller,,68-69,,
3:32.0,C. Zeller makes 2-pt shot at rim,2,70-69,,
3:15.0,,,70-69,,Turnover by T. Johnson (bad pass; steal by M. Kidd-Gilchrist)
3:11.0,M. Williams makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist),3,73-69,,
2:48.0,,,73-71,2,T. Johnson makes 2-pt shot from 8 ft
2:36.0,,,73-71,,Personal foul by J. Richardson (drawn by N. Batum)
2:36.0,Charlotte full timeout,,73-71,,
2:36.0,,,73-71,,W. Ellington enters the game for D. Waiters
2:36.0,,,73-71,,K. Olynyk enters the game for B. Adebayo
2:36.0,J. Lamb enters the game for N. Batum,,73-71,,
2:32.0,M. Monk misses 2-pt shot from 12 ft,,73-71,,
2:29.0,,,73-71,,Defensive rebound by T. Johnson
2:09.0,,,73-73,2,J. Richardson makes 2-pt shot at rim
1:50.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by J. Lamb),2,75-73,,
1:35.0,,,75-75,2,T. Johnson makes 2-pt shot at rim (assist by K. Olynyk)
1:21.0,J. Lamb misses 2-pt shot from 13 ft,,75-75,,
1:21.0,,,75-75,,Defensive rebound by Team
1:21.0,Loose ball foul by C. Zeller (drawn by K. Olynyk),,75-75,,
1:00.0,,,75-77,2,J. Richardson makes 2-pt shot from 18 ft
0:39.0,J. Lamb misses 2-pt shot from 18 ft (block by J. Richardson),,75-77,,
0:37.0,,,75-77,,Defensive rebound by J. Johnson
0:30.0,,,75-79,2,J. Richardson makes 2-pt shot from 20 ft (assist by J. Johnson)
0:09.0,M. Monk misses 3-pt shot from 25 ft,,75-79,,
0:08.0,,,75-79,,Defensive rebound by W. Ellington
0:00.0,,,75-79,,W. Ellington misses 2-pt shot from 7 ft
0:00.0,,,75-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,M. Monk makes 2-pt shot at rim,2,77-79,,
11:26.0,,,77-79,,Offensive charge foul by K. Olynyk (drawn by C. Zeller)
11:26.0,,,77-79,,Turnover by K. Olynyk (offensive foul)
11:17.0,M. Monk misses 3-pt shot from 23 ft,,77-79,,
11:12.0,Offensive rebound by C. Zeller,,77-79,,
11:03.0,Shooting foul by W. Ellington (drawn by J. Lamb),,77-79,,
11:03.0,J. Lamb makes free throw 1 of 2,1,78-79,,
11:03.0,J. Lamb makes free throw 2 of 2,1,79-79,,
10:51.0,,,79-79,,Turnover by K. Olynyk (lost ball; steal by C. Zeller)
10:45.0,F. Kaminsky misses 3-pt shot from 24 ft,,79-79,,
10:41.0,,,79-79,,Defensive rebound by J. Winslow
10:35.0,,,79-81,2,W. Ellington makes 2-pt shot from 1 ft
10:18.0,Turnover by F. Kaminsky (bad pass; steal by W. Ellington),,79-81,,
10:13.0,,,79-81,,W. Ellington misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by N. Batum,,79-81,,
10:03.0,J. Lamb makes 2-pt shot from 18 ft,2,81-81,,
9:51.0,,,81-81,,Shooting foul by C. Zeller (drawn by J. Johnson)
9:51.0,,,81-82,1,J. Johnson makes free throw 1 of 2
9:51.0,,,81-83,1,J. Johnson makes free throw 2 of 2
9:31.0,N. Batum makes 3-pt shot from 25 ft,3,84-83,,
9:19.0,,,84-83,,J. Johnson misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by Team,,84-83,,
9:07.0,C. Zeller misses 2-pt shot at rim,,84-83,,
9:04.0,,,84-83,,Defensive rebound by W. Ellington
8:54.0,,,84-83,,K. Olynyk misses 3-pt shot from 24 ft
8:50.0,Defensive rebound by J. Lamb,,84-83,,
8:41.0,J. Lamb makes 2-pt shot from 1 ft,2,86-83,,
8:28.0,Personal foul by M. Monk (drawn by T. Johnson),,86-83,,
8:13.0,,,86-83,,Turnover by Team (shot clock)
8:02.0,F. Kaminsky misses 3-pt shot from 25 ft,,86-83,,
7:59.0,Offensive rebound by N. Batum,,86-83,,
7:55.0,J. Lamb misses 2-pt shot from 15 ft,,86-83,,
7:51.0,,,86-83,,Defensive rebound by J. Winslow
7:43.0,,,86-85,2,K. Olynyk makes 2-pt shot at rim (assist by W. Ellington)
7:25.0,M. Monk misses 3-pt shot from 24 ft,,86-85,,
7:23.0,,,86-85,,Defensive rebound by J. Winslow
7:23.0,Personal foul by J. Lamb (drawn by J. Winslow),,86-85,,
7:23.0,,,86-85,,G. Dragic enters the game for W. Ellington
7:09.0,,,86-85,,J. Winslow misses 3-pt shot from 23 ft
7:05.0,Defensive rebound by J. Lamb,,86-85,,
6:50.0,Shooting foul by T. Johnson (drawn by F. Kaminsky),,86-85,,
6:50.0,,,86-85,,Miami full timeout
6:50.0,,,86-85,,J. Richardson enters the game for J. Winslow
6:50.0,F. Kaminsky makes free throw 1 of 2,1,87-85,,
6:50.0,F. Kaminsky makes free throw 2 of 2,1,88-85,,
6:37.0,,,88-85,,K. Olynyk misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by J. Lamb,,88-85,,
6:17.0,N. Batum misses 3-pt shot from 24 ft,,88-85,,
6:14.0,,,88-85,,Defensive rebound by T. Johnson
5:58.0,,,88-85,,Turnover by T. Johnson (lost ball; steal by C. Zeller)
5:51.0,Turnover by J. Lamb (traveling),,88-85,,
5:51.0,,,88-85,,D. Waiters enters the game for T. Johnson
5:51.0,M. Carter-Williams enters the game for M. Monk,,88-85,,
5:43.0,,,88-85,,G. Dragic misses 2-pt shot from 16 ft
5:37.0,,,88-85,,Offensive rebound by K. Olynyk
5:37.0,,,88-85,,K. Olynyk misses 2-pt shot at rim
5:36.0,,,88-85,,Offensive rebound by K. Olynyk
5:29.0,,,88-88,3,D. Waiters makes 3-pt shot from 25 ft (assist by J. Johnson)
5:17.0,,,88-88,,Personal foul by J. Richardson (drawn by C. Zeller)
5:14.0,,,88-88,,Personal foul by J. Richardson (drawn by N. Batum)
5:06.0,Shooting foul by J. Johnson (drawn by C. Zeller),,88-88,,
5:06.0,C. Zeller makes free throw 1 of 2,1,89-88,,
5:06.0,M. Kidd-Gilchrist enters the game for J. Lamb,,89-88,,
5:06.0,C. Zeller makes free throw 2 of 2,1,90-88,,
4:44.0,,,90-88,,J. Richardson misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by M. Carter-Williams,,90-88,,
4:33.0,N. Batum misses 3-pt shot from 24 ft,,90-88,,
4:31.0,,,90-88,,Defensive rebound by D. Waiters
4:13.0,M. Williams enters the game for F. Kaminsky,,90-88,,
4:12.0,,,90-88,,Miami full timeout
4:08.0,,,90-90,2,J. Johnson makes 2-pt shot from 12 ft (assist by J. Richardson)
3:57.0,,,90-90,,Personal foul by J. Johnson (drawn by C. Zeller)
3:57.0,C. Zeller makes free throw 1 of 2,1,91-90,,
3:57.0,C. Zeller makes free throw 2 of 2,1,92-90,,
