time,LA Clippers,pts.away,score,pts.home,Chicago
6:50.0,L. Williams misses free throw 1 of 3,,13-9,,
6:50.0,Offensive rebound by Team,,13-9,,
6:50.0,L. Williams makes free throw 2 of 3,1,14-9,,
6:50.0,L. Williams makes free throw 3 of 3,1,15-9,,
6:32.0,,,15-11,2,D. Nwaba makes 2-pt shot from 1 ft (assist by N. Vonleh)
6:14.0,,,15-11,,Personal foul by K. Dunn (drawn by L. Williams)
6:14.0,,,15-11,,D. Valentine enters the game for Z. LaVine
6:12.0,Turnover by L. Williams (bad pass; steal by K. Dunn),,15-11,,
6:08.0,,,15-13,2,K. Dunn makes 2-pt shot at rim
5:44.0,D. Jordan makes 2-pt shot from 4 ft,2,17-13,,
5:36.0,,,17-15,2,K. Dunn makes 2-pt shot from 16 ft
5:14.0,Turnover by T. Harris (out of bounds lost ball),,17-15,,
5:14.0,,,17-15,,C. Payne enters the game for K. Dunn
5:00.0,,,17-15,,C. Payne misses 2-pt shot from 8 ft
4:56.0,Defensive rebound by D. Jordan,,17-15,,
4:43.0,T. Harris misses 2-pt shot from 7 ft,,17-15,,
4:43.0,,,17-15,,Defensive rebound by D. Valentine
4:25.0,,,17-17,2,R. Lopez makes 2-pt shot from 7 ft
4:14.0,Turnover by L. Williams (bad pass; steal by C. Payne),,17-17,,
4:11.0,,,17-19,2,C. Payne makes 2-pt shot at rim
3:57.0,A. Rivers makes 3-pt shot from 25 ft,3,20-19,,
3:45.0,Personal foul by T. Harris (drawn by N. Vonleh),,20-19,,
3:45.0,,,20-19,,A. Blakeney enters the game for D. Nwaba
3:45.0,M. Teodosic enters the game for L. Williams,,20-19,,
3:38.0,,,20-19,,R. Lopez misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by D. Jordan,,20-19,,
3:26.0,Turnover by D. Jordan (lost ball; steal by A. Blakeney),,20-19,,
3:21.0,,,20-19,,D. Valentine misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by S. Thornwell,,20-19,,
3:13.0,,,20-19,,Personal foul by D. Valentine (drawn by A. Rivers)
3:13.0,,,20-19,,B. Portis enters the game for N. Vonleh
3:13.0,LA Clippers full timeout,,20-19,,
3:07.0,,,20-19,,Personal foul by B. Portis (drawn by T. Harris)
3:07.0,T. Harris makes free throw 1 of 2,1,21-19,,
3:07.0,T. Harris makes free throw 2 of 2,1,22-19,,
2:44.0,,,22-19,,B. Portis misses 2-pt shot from 17 ft
2:38.0,,,22-19,,Offensive rebound by R. Lopez
2:38.0,,,22-21,2,R. Lopez makes 2-pt shot at rim
2:16.0,A. Rivers makes 2-pt shot from 1 ft,2,24-21,,
2:03.0,,,24-21,,D. Valentine misses 2-pt shot from 22 ft
1:59.0,,,24-21,,Offensive rebound by R. Lopez
1:58.0,,,24-23,2,R. Lopez makes 2-pt shot from 1 ft
1:45.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,26-23,,
1:35.0,,,26-25,2,C. Payne makes 2-pt shot from 5 ft
1:21.0,A. Rivers misses 3-pt shot from 25 ft,,26-25,,
1:18.0,,,26-25,,Defensive rebound by B. Portis
1:08.0,,,26-27,2,R. Lopez makes 2-pt shot from 7 ft (assist by D. Valentine)
0:51.0,T. Harris makes 2-pt shot from 2 ft (assist by M. Teodosic),2,28-27,,
0:42.0,,,28-27,,R. Lopez misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by D. Jordan,,28-27,,
0:32.0,T. Harris makes 3-pt shot from 25 ft (assist by M. Teodosic),3,31-27,,
0:12.0,,,31-27,,B. Portis misses 2-pt shot from 4 ft (block by T. Harris)
0:12.0,,,31-27,,Offensive rebound by Team
0:12.0,J. Evans enters the game for S. Thornwell,,31-27,,
0:12.0,W. Johnson enters the game for M. Teodosic,,31-27,,
0:12.0,Technical foul by S. Thornwell (drawn by D. Valentine),,31-27,,
0:12.0,,,31-27,,D. Valentine misses free throw 1 of 1
0:12.0,,,31-27,,Offensive rebound by Team
0:00.0,,,31-27,,A. Blakeney misses 2-pt shot from 16 ft
0:00.0,,,31-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,31-27,,B. Portis misses 3-pt shot from 22 ft
11:45.0,Defensive rebound by J. Evans,,31-27,,
11:33.0,M. Harrell misses 2-pt shot from 1 ft,,31-27,,
11:32.0,Offensive rebound by Team,,31-27,,
11:32.0,,,31-27,,Loose ball foul by C. Payne (drawn by B. Marjanovic)
11:28.0,,,31-27,,Personal foul by B. Portis (drawn by M. Harrell)
11:21.0,M. Teodosic misses 3-pt shot from 25 ft,,31-27,,
11:14.0,,,31-27,,Defensive rebound by D. Valentine
11:04.0,,,31-27,,B. Portis misses 2-pt shot from 8 ft
11:04.0,Defensive rebound by B. Marjanovic,,31-27,,
10:44.0,Shooting foul by A. Blakeney (drawn by M. Harrell),,31-27,,
10:44.0,M. Harrell misses free throw 1 of 2,,31-27,,
10:44.0,Offensive rebound by Team,,31-27,,
10:44.0,M. Harrell misses free throw 2 of 2,,31-27,,
10:42.0,,,31-27,,Defensive rebound by B. Portis
10:35.0,,,31-27,,Turnover by D. Valentine (bad pass)
10:26.0,M. Teodosic misses 2-pt shot from 20 ft,,31-27,,
10:23.0,,,31-27,,Defensive rebound by B. Portis
10:16.0,,,31-29,2,C. Payne makes 2-pt shot from 1 ft
10:06.0,Turnover by B. Marjanovic (bad pass; steal by C. Payne),,31-29,,
10:04.0,,,31-32,3,B. Portis makes 3-pt shot from 24 ft (assist by C. Payne)
9:51.0,W. Johnson misses 3-pt shot from 22 ft,,31-32,,
9:46.0,,,31-32,,Defensive rebound by B. Portis
9:43.0,,,31-35,3,C. Payne makes 3-pt shot from 25 ft (assist by A. Blakeney)
9:33.0,Shooting foul by C. Felicio (drawn by M. Harrell),,31-35,,
9:33.0,M. Harrell makes free throw 1 of 2,1,32-35,,
9:33.0,M. Harrell makes free throw 2 of 2,1,33-35,,
9:16.0,,,33-35,,C. Payne misses 2-pt shot from 10 ft
9:16.0,,,33-35,,Offensive rebound by C. Felicio
9:13.0,,,33-35,,C. Felicio misses 2-pt shot at rim
9:13.0,Defensive rebound by B. Marjanovic,,33-35,,
9:07.0,J. Evans makes 2-pt shot from 3 ft,2,35-35,,
8:58.0,,,35-35,,A. Blakeney misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by B. Marjanovic,,35-35,,
8:40.0,B. Marjanovic misses 2-pt shot from 3 ft,,35-35,,
8:38.0,,,35-35,,Defensive rebound by D. Valentine
8:35.0,,,35-35,,Shooting foul by J. Evans (drawn by C. Payne)
8:35.0,,,35-35,,C. Payne misses free throw 1 of 2
8:35.0,,,35-35,,Offensive rebound by Team
8:35.0,,,35-36,1,C. Payne makes free throw 2 of 2
8:16.0,M. Harrell makes 2-pt shot from 4 ft (assist by J. Evans),2,37-36,,
8:03.0,,,37-39,3,B. Portis makes 3-pt shot from 25 ft (assist by C. Payne)
7:42.0,B. Marjanovic misses 2-pt shot from 5 ft,,37-39,,
7:40.0,,,37-39,,Defensive rebound by B. Portis
7:30.0,,,37-39,,A. Blakeney misses 2-pt shot from 21 ft
7:27.0,Defensive rebound by J. Evans,,37-39,,
7:24.0,M. Harrell makes 2-pt shot at rim (assist by J. Evans),2,39-39,,
7:05.0,,,39-41,2,B. Portis makes 2-pt shot from 19 ft (assist by C. Payne)
6:46.0,B. Marjanovic misses 2-pt shot from 4 ft,,39-41,,
6:46.0,,,39-41,,Defensive rebound by B. Portis
6:36.0,,,39-43,2,B. Portis makes 2-pt shot from 22 ft (assist by A. Blakeney)
6:27.0,LA Clippers full timeout,,39-43,,
6:27.0,,,39-43,,K. Dunn enters the game for C. Payne
6:27.0,,,39-43,,Z. LaVine enters the game for D. Valentine
6:27.0,L. Williams enters the game for W. Johnson,,39-43,,
6:27.0,D. Jordan enters the game for B. Marjanovic,,39-43,,
6:17.0,Shooting foul by B. Portis (drawn by D. Jordan),,39-43,,
6:17.0,D. Jordan makes free throw 1 of 2,1,40-43,,
6:17.0,,,40-43,,N. Vonleh enters the game for B. Portis
6:17.0,A. Rivers enters the game for J. Evans,,40-43,,
6:17.0,T. Harris enters the game for M. Harrell,,40-43,,
6:17.0,D. Jordan misses free throw 2 of 2,,40-43,,
6:12.0,,,40-43,,Defensive rebound by Z. LaVine
5:58.0,,,40-45,2,N. Vonleh makes 2-pt shot from 3 ft (assist by K. Dunn)
5:43.0,T. Harris misses 3-pt shot from 25 ft,,40-45,,
5:43.0,Offensive rebound by A. Rivers,,40-45,,
5:39.0,L. Williams misses 3-pt shot from 26 ft,,40-45,,
5:39.0,,,40-45,,Defensive rebound by N. Vonleh
5:21.0,,,40-45,,A. Blakeney misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by L. Williams,,40-45,,
5:11.0,Shooting foul by C. Felicio (drawn by D. Jordan),,40-45,,
5:11.0,D. Jordan misses free throw 1 of 2,,40-45,,
5:11.0,Offensive rebound by Team,,40-45,,
5:11.0,D. Jordan makes free throw 2 of 2,1,41-45,,
4:57.0,,,41-45,,Turnover by C. Felicio (bad pass; steal by A. Rivers)
4:54.0,Turnover by D. Jordan (out of bounds lost ball),,41-45,,
4:43.0,,,41-47,2,Z. LaVine makes 2-pt shot from 1 ft (assist by C. Felicio)
4:30.0,M. Teodosic makes 3-pt shot from 25 ft (assist by D. Jordan),3,44-47,,
4:22.0,,,44-50,3,A. Blakeney makes 3-pt shot from 25 ft (assist by K. Dunn)
3:59.0,M. Teodosic misses 3-pt shot from 24 ft,,44-50,,
3:56.0,,,44-50,,Defensive rebound by Z. LaVine
3:42.0,,,44-52,2,K. Dunn makes 2-pt shot from 13 ft
3:32.0,,,44-52,,Personal foul by A. Blakeney (drawn by L. Williams)
3:32.0,L. Williams makes free throw 1 of 2,1,45-52,,
3:32.0,,,45-52,,D. Nwaba enters the game for A. Blakeney
3:32.0,S. Thornwell enters the game for M. Teodosic,,45-52,,
3:32.0,L. Williams makes free throw 2 of 2,1,46-52,,
3:24.0,,,46-52,,Turnover by K. Dunn (bad pass; steal by D. Jordan)
3:15.0,L. Williams makes 2-pt shot from 1 ft (assist by A. Rivers),2,48-52,,
3:01.0,,,48-54,2,D. Nwaba makes 2-pt shot from 7 ft
2:49.0,S. Thornwell makes 2-pt shot from 1 ft (assist by D. Jordan),2,50-54,,
2:49.0,,,50-54,,Chicago full timeout
2:43.0,,,50-56,2,K. Dunn makes 2-pt shot at rim
2:32.0,,,50-56,,Personal foul by K. Dunn (drawn by A. Rivers)
2:32.0,A. Rivers makes free throw 1 of 2,1,51-56,,
2:32.0,A. Rivers misses free throw 2 of 2,,51-56,,
2:29.0,,,51-56,,Defensive rebound by N. Vonleh
2:20.0,,,51-58,2,C. Felicio makes 2-pt shot from 1 ft (assist by Z. LaVine)
2:01.0,T. Harris makes 2-pt shot from 1 ft,2,53-58,,
1:46.0,,,53-58,,Z. LaVine misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by D. Jordan,,53-58,,
1:36.0,T. Harris makes 3-pt shot from 22 ft (assist by A. Rivers),3,56-58,,
1:11.0,,,56-60,2,C. Felicio makes 2-pt shot from 20 ft (assist by N. Vonleh)
0:58.0,L. Williams misses 3-pt shot from 27 ft,,56-60,,
0:56.0,Offensive rebound by S. Thornwell,,56-60,,
0:46.0,D. Jordan makes 2-pt shot at rim (assist by S. Thornwell),2,58-60,,
0:32.0,,,58-60,,Z. LaVine misses 2-pt shot from 1 ft (block by S. Thornwell)
0:30.0,Defensive rebound by D. Jordan,,58-60,,
0:24.0,Shooting foul by K. Dunn (drawn by L. Williams),,58-60,,
0:24.0,,,58-60,,Technical foul by Z. LaVine
0:24.0,L. Williams makes technical free throw,1,59-60,,
0:24.0,L. Williams makes technical free throw,1,60-60,,
0:24.0,L. Williams makes free throw 1 of 2,1,61-60,,
0:24.0,,,61-60,,C. Payne enters the game for K. Dunn
0:24.0,J. Evans enters the game for S. Thornwell,,61-60,,
0:24.0,L. Williams makes free throw 2 of 2,1,62-60,,
0:00.0,,,62-60,,C. Payne misses 3-pt shot from 27 ft
0:00.0,,,62-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,62-60,,Turnover by Z. LaVine (bad pass; steal by A. Rivers)
11:31.0,A. Rivers misses 2-pt shot from 2 ft,,62-60,,
11:29.0,,,62-60,,Defensive rebound by C. Felicio
11:19.0,,,62-60,,Z. LaVine misses 2-pt shot from 18 ft
11:19.0,,,62-60,,Offensive rebound by N. Vonleh
11:19.0,,,62-60,,Shooting foul by T. Harris (drawn by N. Vonleh)
11:19.0,,,62-61,1,N. Vonleh makes free throw 1 of 2
11:19.0,,,62-62,1,N. Vonleh makes free throw 2 of 2
11:00.0,D. Jordan makes 2-pt shot at rim (assist by L. Williams),2,64-62,,
11:00.0,Shooting foul by N. Vonleh (drawn by D. Jordan),,64-62,,
11:00.0,D. Jordan makes free throw 1 of 1,1,65-62,,
10:40.0,,,65-62,,C. Felicio misses 2-pt shot from 5 ft
10:40.0,,,65-62,,Offensive rebound by Team
10:38.0,,,65-62,,Shooting foul by D. Jordan (drawn by Z. LaVine)
10:38.0,,,65-63,1,Z. LaVine makes free throw 1 of 2
10:38.0,,,65-64,1,Z. LaVine makes free throw 2 of 2
10:21.0,Shooting foul by C. Felicio (drawn by L. Williams),,65-64,,
10:21.0,L. Williams makes free throw 1 of 2,1,66-64,,
10:21.0,L. Williams makes free throw 2 of 2,1,67-64,,
10:05.0,,,67-64,,N. Vonleh misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by A. Rivers,,67-64,,
9:54.0,T. Harris makes 3-pt shot from 23 ft (assist by L. Williams),3,70-64,,
9:42.0,,,70-66,2,K. Dunn makes 2-pt shot from 8 ft
9:28.0,Turnover by S. Thornwell (step out of bounds),,70-66,,
9:18.0,,,70-66,,N. Vonleh misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by L. Williams,,70-66,,
9:10.0,Turnover by L. Williams (bad pass; steal by N. Vonleh),,70-66,,
8:47.0,,,70-68,2,D. Nwaba makes 2-pt shot from 3 ft (assist by C. Felicio)
8:33.0,T. Harris misses 3-pt shot from 24 ft,,70-68,,
8:30.0,,,70-68,,Defensive rebound by D. Nwaba
8:18.0,,,70-68,,C. Felicio misses 2-pt shot from 15 ft
8:15.0,Defensive rebound by D. Jordan,,70-68,,
8:08.0,A. Rivers misses 3-pt shot from 26 ft,,70-68,,
8:06.0,,,70-68,,Defensive rebound by D. Nwaba
8:05.0,Personal foul by T. Harris (drawn by D. Nwaba),,70-68,,
7:57.0,,,70-68,,Z. LaVine misses 2-pt shot from 5 ft (block by S. Thornwell)
7:54.0,Defensive rebound by S. Thornwell,,70-68,,
7:54.0,Shooting foul by K. Dunn (drawn by S. Thornwell),,70-68,,
7:54.0,S. Thornwell misses free throw 1 of 2,,70-68,,
7:54.0,Offensive rebound by Team,,70-68,,
7:54.0,,,70-68,,C. Payne enters the game for K. Dunn
7:54.0,S. Thornwell makes free throw 2 of 2,1,71-68,,
7:30.0,,,71-68,,Turnover by D. Nwaba (bad pass)
7:24.0,L. Williams makes 2-pt shot from 5 ft,2,73-68,,
7:08.0,,,73-68,,Turnover by Z. LaVine (traveling)
6:58.0,L. Williams misses 2-pt shot from 1 ft,,73-68,,
6:55.0,,,73-68,,Defensive rebound by N. Vonleh
6:49.0,,,73-70,2,N. Vonleh makes 2-pt shot from 7 ft (assist by D. Nwaba)
6:25.0,S. Thornwell misses 3-pt shot from 23 ft,,73-70,,
6:25.0,,,73-70,,Defensive rebound by N. Vonleh
6:11.0,,,73-70,,Offensive charge foul by N. Vonleh (drawn by S. Thornwell)
6:11.0,,,73-70,,Turnover by N. Vonleh (offensive foul)
6:11.0,,,73-70,,Chicago full timeout
6:11.0,,,73-70,,D. Valentine enters the game for C. Felicio
6:11.0,,,73-70,,B. Portis enters the game for Z. LaVine
5:56.0,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers),2,75-70,,
5:43.0,,,75-72,2,D. Nwaba makes 2-pt shot from 5 ft (assist by D. Valentine)
5:26.0,L. Williams makes 3-pt shot from 22 ft (assist by T. Harris),3,78-72,,
5:01.0,,,78-72,,B. Portis misses 2-pt shot from 9 ft
4:56.0,,,78-72,,Offensive rebound by N. Vonleh
4:55.0,,,78-74,2,N. Vonleh makes 2-pt shot at rim
4:40.0,A. Rivers makes 2-pt shot from 18 ft,2,80-74,,
4:27.0,,,80-74,,C. Payne misses 2-pt shot from 1 ft (block by S. Thornwell)
4:22.0,Defensive rebound by D. Jordan,,80-74,,
4:14.0,A. Rivers misses 3-pt shot from 25 ft,,80-74,,
4:10.0,,,80-74,,Defensive rebound by C. Payne
4:04.0,,,80-74,,N. Vonleh misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by T. Harris,,80-74,,
3:59.0,L. Williams makes 2-pt shot from 1 ft (assist by T. Harris),2,82-74,,
3:59.0,,,82-74,,Chicago full timeout
3:59.0,,,82-74,,A. Blakeney enters the game for D. Nwaba
3:59.0,M. Teodosic enters the game for L. Williams,,82-74,,
3:46.0,,,82-74,,Turnover by D. Valentine (bad pass; steal by T. Harris)
3:41.0,Shooting foul by N. Vonleh (drawn by A. Rivers),,82-74,,
3:41.0,A. Rivers makes free throw 1 of 2,1,83-74,,
3:41.0,A. Rivers makes free throw 2 of 2,1,84-74,,
3:20.0,,,84-76,2,B. Portis makes 2-pt shot from 13 ft
3:01.0,T. Harris misses 3-pt shot from 25 ft,,84-76,,
2:58.0,,,84-76,,Defensive rebound by C. Payne
2:48.0,,,84-76,,N. Vonleh misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by T. Harris,,84-76,,
2:29.0,D. Jordan makes 2-pt shot at rim (assist by S. Thornwell),2,86-76,,
2:29.0,Shooting foul by D. Valentine (drawn by D. Jordan),,86-76,,
2:29.0,D. Jordan makes free throw 1 of 1,1,87-76,,
2:10.0,,,87-76,,B. Portis misses 2-pt shot from 7 ft
2:08.0,Defensive rebound by D. Jordan,,87-76,,
1:49.0,A. Rivers misses 2-pt shot from 8 ft,,87-76,,
1:49.0,,,87-76,,Defensive rebound by C. Payne
1:49.0,Personal take foul by A. Rivers (drawn by C. Payne),,87-76,,
1:49.0,J. Evans enters the game for A. Rivers,,87-76,,
1:38.0,,,87-76,,C. Payne misses 2-pt shot at rim
1:37.0,,,87-76,,Offensive rebound by N. Vonleh
1:37.0,,,87-76,,N. Vonleh misses 2-pt shot from 3 ft (block by D. Jordan)
1:37.0,,,87-76,,Offensive rebound by Team
1:31.0,,,87-76,,B. Portis misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by D. Jordan,,87-76,,
1:13.0,T. Harris misses 2-pt shot from 20 ft,,87-76,,
1:13.0,,,87-76,,Defensive rebound by D. Valentine
0:57.0,,,87-76,,A. Blakeney misses 2-pt shot from 16 ft
0:57.0,Defensive rebound by M. Teodosic,,87-76,,
0:50.0,Turnover by M. Teodosic (bad pass; steal by A. Blakeney),,87-76,,
0:47.0,,,87-76,,A. Blakeney misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by M. Teodosic,,87-76,,
0:36.0,J. Evans makes 3-pt shot from 23 ft (assist by M. Teodosic),3,90-76,,
0:21.0,,,90-78,2,D. Valentine makes 2-pt shot from 1 ft (assist by A. Blakeney)
0:04.0,M. Teodosic misses 3-pt shot from 25 ft,,90-78,,
0:04.0,,,90-78,,Defensive rebound by C. Payne
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,L. Williams misses 3-pt shot from 26 ft,,90-78,,
11:41.0,,,90-78,,Defensive rebound by C. Felicio
11:25.0,,,90-78,,D. Valentine misses 2-pt shot from 5 ft
11:23.0,,,90-78,,Offensive rebound by B. Portis
11:23.0,,,90-78,,B. Portis misses 2-pt shot from 2 ft
11:21.0,,,90-78,,Offensive rebound by D. Valentine
11:19.0,,,90-78,,D. Valentine misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by Team,,90-78,,
11:07.0,M. Harrell makes 2-pt shot from 2 ft (assist by L. Williams),2,92-78,,
11:07.0,Shooting foul by C. Payne (drawn by M. Harrell),,92-78,,
11:07.0,M. Harrell misses free throw 1 of 1,,92-78,,
11:03.0,,,92-78,,Defensive rebound by D. Valentine
10:48.0,,,92-80,2,D. Valentine makes 2-pt shot from 1 ft (assist by C. Felicio)
10:37.0,J. Evans misses 3-pt shot from 24 ft,,92-80,,
10:37.0,,,92-80,,Defensive rebound by C. Payne
10:27.0,,,92-80,,C. Payne misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by M. Teodosic,,92-80,,
10:23.0,J. Evans misses 2-pt shot from 1 ft,,92-80,,
10:23.0,,,92-80,,Defensive rebound by Z. LaVine
10:15.0,Personal foul by L. Williams (drawn by B. Portis),,92-80,,
10:06.0,,,92-80,,B. Portis misses 2-pt shot from 4 ft
10:06.0,Defensive rebound by Team,,92-80,,
10:05.0,,,92-80,,Loose ball foul by B. Portis (drawn by S. Dekker)
9:48.0,L. Williams misses 2-pt shot from 20 ft,,92-80,,
9:44.0,,,92-80,,Defensive rebound by D. Valentine
9:32.0,,,92-80,,B. Portis misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by J. Evans,,92-80,,
9:28.0,Shooting foul by Z. LaVine (drawn by M. Harrell),,92-80,,
9:28.0,M. Harrell makes free throw 1 of 2,1,93-80,,
9:28.0,,,93-80,,D. Nwaba enters the game for C. Payne
9:28.0,,,93-80,,A. Blakeney enters the game for D. Valentine
9:28.0,M. Harrell makes free throw 2 of 2,1,94-80,,
9:28.0,,,94-80,,K. Dunn enters the game for Z. LaVine
9:16.0,,,94-80,,Shooting foul by J. Evans (drawn by K. Dunn)
9:16.0,,,94-81,1,K. Dunn makes free throw 1 of 2
9:16.0,,,94-82,1,K. Dunn makes free throw 2 of 2
9:02.0,M. Teodosic makes 2-pt shot from 14 ft (assist by M. Harrell),2,96-82,,
8:45.0,,,96-84,2,B. Portis makes 2-pt shot from 1 ft (assist by K. Dunn)
8:25.0,Shooting foul by K. Dunn (drawn by L. Williams),,96-84,,
8:25.0,L. Williams makes free throw 1 of 2,1,97-84,,
8:25.0,L. Williams makes free throw 2 of 2,1,98-84,,
8:05.0,,,98-86,2,B. Portis makes 2-pt shot at rim (assist by A. Blakeney)
7:52.0,Turnover by M. Harrell (lost ball; steal by C. Felicio),,98-86,,
7:47.0,,,98-86,,D. Nwaba misses 2-pt shot from 4 ft
7:45.0,Defensive rebound by M. Harrell,,98-86,,
7:40.0,S. Dekker makes 2-pt shot at rim,2,100-86,,
7:23.0,,,100-89,3,B. Portis makes 3-pt shot from 24 ft (assist by K. Dunn)
7:14.0,L. Williams misses 2-pt shot from 15 ft,,100-89,,
7:11.0,,,100-89,,Defensive rebound by B. Portis
7:08.0,,,100-91,2,D. Nwaba makes 2-pt shot from 1 ft (assist by C. Felicio)
7:07.0,LA Clippers full timeout,,100-91,,
7:07.0,T. Harris enters the game for J. Evans,,100-91,,
7:07.0,D. Jordan enters the game for S. Dekker,,100-91,,
7:07.0,A. Rivers enters the game for M. Harrell,,100-91,,
6:51.0,M. Teodosic misses 3-pt shot from 25 ft,,100-91,,
6:46.0,,,100-91,,Defensive rebound by D. Nwaba
6:34.0,,,100-93,2,K. Dunn makes 2-pt shot from 23 ft
6:13.0,T. Harris misses 2-pt shot from 11 ft,,100-93,,
6:12.0,Offensive rebound by D. Jordan,,100-93,,
6:12.0,D. Jordan makes 2-pt shot at rim,2,102-93,,
5:50.0,,,102-95,2,A. Blakeney makes 2-pt shot at rim (assist by B. Portis)
5:50.0,,,102-95,,Shooting foul by M. Teodosic (drawn by A. Blakeney)
5:50.0,,,102-95,,Z. LaVine enters the game for D. Nwaba
5:50.0,,,102-96,1,A. Blakeney makes free throw 1 of 1
5:38.0,T. Harris misses 2-pt shot from 17 ft,,102-96,,
5:38.0,,,102-96,,Defensive rebound by B. Portis
5:19.0,,,102-96,,Z. LaVine misses 2-pt shot from 17 ft
5:15.0,Defensive rebound by M. Teodosic,,102-96,,
4:53.0,M. Teodosic makes 2-pt shot from 10 ft (assist by D. Jordan),2,104-96,,
4:35.0,,,104-96,,K. Dunn misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by D. Jordan,,104-96,,
4:23.0,L. Williams makes 2-pt shot from 1 ft (assist by M. Teodosic),2,106-96,,
4:23.0,Shooting foul by Z. LaVine (drawn by L. Williams),,106-96,,
4:23.0,,,106-96,,D. Nwaba enters the game for A. Blakeney
4:23.0,S. Thornwell enters the game for M. Teodosic,,106-96,,
4:23.0,L. Williams makes free throw 1 of 1,1,107-96,,
