time,San Antonio,pts.away,score,pts.home,LA Lakers
3:01.0,,,14-12,,J. Clarkson enters the game for K. Caldwell-Pope
3:01.0,L. Aldridge makes free throw 2 of 2,1,15-12,,
2:45.0,P. Gasol enters the game for L. Aldridge,,15-12,,
2:40.0,,,15-12,,B. Ingram misses 3-pt shot from 25 ft
2:36.0,,,15-12,,Offensive rebound by L. Nance
2:21.0,Personal foul by B. Paul (drawn by B. Ingram),,15-12,,
2:13.0,,,15-12,,J. Clarkson misses 3-pt shot from 24 ft
2:09.0,,,15-12,,Offensive rebound by L. Nance
2:07.0,,,15-15,3,B. Ingram makes 3-pt shot from 26 ft (assist by T. Ennis)
1:54.0,Turnover by B. Paul (bad pass; steal by K. Kuzma),,15-15,,
1:51.0,,,15-15,,Shooting foul by D. Bertans (drawn by K. Kuzma)
1:51.0,,,15-16,1,K. Kuzma makes free throw 1 of 2
1:51.0,,,15-17,1,K. Kuzma makes free throw 2 of 2
1:40.0,P. Mills misses 3-pt shot from 25 ft,,15-17,,
1:38.0,,,15-17,,Defensive rebound by K. Kuzma
1:21.0,,,15-17,,J. Clarkson misses 2-pt shot from 2 ft
1:17.0,,,15-17,,Offensive rebound by L. Nance
1:17.0,,,15-19,2,L. Nance makes 2-pt shot at rim
1:08.0,P. Mills misses 3-pt shot from 25 ft,,15-19,,
1:06.0,,,15-19,,Defensive rebound by B. Ingram
0:58.0,,,15-19,,B. Ingram misses 2-pt shot from 12 ft
0:55.0,Defensive rebound by P. Gasol,,15-19,,
0:43.0,B. Paul misses 3-pt shot from 22 ft,,15-19,,
0:40.0,,,15-19,,Defensive rebound by K. Kuzma
0:33.0,,,15-19,,B. Ingram misses 3-pt shot from 24 ft
0:27.0,,,15-19,,Offensive rebound by J. Clarkson
0:27.0,,,15-19,,J. Clarkson misses 2-pt shot at rim
0:26.0,Defensive rebound by B. Paul,,15-19,,
0:08.0,M. Ginobili misses 2-pt shot from 22 ft,,15-19,,
0:05.0,,,15-19,,Defensive rebound by J. Clarkson
0:04.0,Personal foul by P. Mills (drawn by J. Clarkson),,15-19,,
0:04.0,,,15-19,,J. Clarkson misses free throw 1 of 2
0:04.0,,,15-19,,Offensive rebound by Team
0:04.0,,,15-19,,J. Hart enters the game for B. Ingram
0:04.0,,,15-20,1,J. Clarkson makes free throw 2 of 2
0:00.0,B. Paul misses 2-pt shot from 1 ft,,15-20,,
0:00.0,Offensive rebound by Team,,15-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Bertans misses 3-pt shot from 22 ft,,15-20,,
11:42.0,,,15-20,,Defensive rebound by L. Nance
11:35.0,,,15-20,,K. Kuzma misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by P. Mills,,15-20,,
11:26.0,M. Ginobili misses 3-pt shot from 25 ft,,15-20,,
11:20.0,Offensive rebound by P. Gasol,,15-20,,
11:20.0,P. Gasol misses 2-pt shot at rim,,15-20,,
11:19.0,Offensive rebound by P. Gasol,,15-20,,
11:19.0,P. Gasol misses 2-pt shot at rim,,15-20,,
11:18.0,,,15-20,,Defensive rebound by K. Kuzma
11:05.0,,,15-20,,K. Kuzma misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by B. Paul,,15-20,,
10:54.0,Turnover by D. Bertans (bad pass; steal by K. Kuzma),,15-20,,
10:52.0,Personal foul by B. Paul (drawn by J. Clarkson),,15-20,,
10:52.0,B. Forbes enters the game for B. Paul,,15-20,,
10:52.0,K. Anderson enters the game for M. Ginobili,,15-20,,
10:40.0,,,15-23,3,J. Hart makes 3-pt shot from 23 ft (assist by K. Kuzma)
10:16.0,Turnover by P. Mills (bad pass; steal by J. Clarkson),,15-23,,
10:12.0,,,15-25,2,J. Clarkson makes 2-pt shot from 1 ft
10:02.0,Turnover by P. Mills (bad pass; steal by L. Ball),,15-25,,
9:57.0,,,15-27,2,J. Clarkson makes 2-pt shot from 8 ft
9:57.0,San Antonio full timeout,,15-27,,
9:57.0,M. Ginobili enters the game for P. Mills,,15-27,,
9:57.0,L. Aldridge enters the game for P. Gasol,,15-27,,
9:57.0,D. Murray enters the game for D. Bertans,,15-27,,
9:44.0,Turnover by M. Ginobili (bad pass),,15-27,,
9:36.0,Personal foul by M. Ginobili (drawn by L. Ball),,15-27,,
9:24.0,,,15-29,2,L. Nance makes 2-pt shot from 1 ft (assist by L. Ball)
9:09.0,D. Murray misses 2-pt shot from 5 ft,,15-29,,
9:06.0,,,15-29,,Defensive rebound by J. Hart
9:02.0,,,15-29,,K. Kuzma misses 2-pt shot from 2 ft
9:00.0,Defensive rebound by K. Anderson,,15-29,,
8:56.0,M. Ginobili makes 2-pt shot from 1 ft,2,17-29,,
8:56.0,Shooting foul by L. Nance (drawn by M. Ginobili),,17-29,,
8:56.0,M. Ginobili makes free throw 1 of 1,1,18-29,,
8:44.0,,,18-29,,J. Clarkson misses 3-pt shot from 24 ft
8:41.0,,,18-29,,Offensive rebound by L. Nance
8:39.0,,,18-32,3,K. Kuzma makes 3-pt shot from 24 ft (assist by L. Ball)
8:19.0,L. Aldridge misses 2-pt shot from 12 ft,,18-32,,
8:16.0,,,18-32,,Defensive rebound by L. Ball
8:10.0,,,18-32,,Turnover by L. Ball (bad pass; steal by D. Murray)
8:02.0,L. Aldridge misses 2-pt shot from 18 ft,,18-32,,
7:59.0,,,18-32,,Defensive rebound by L. Nance
7:54.0,,,18-32,,Turnover by J. Clarkson (bad pass; steal by B. Forbes)
7:44.0,B. Forbes misses 3-pt shot from 28 ft,,18-32,,
7:44.0,,,18-32,,Defensive rebound by J. Clarkson
7:38.0,,,18-34,2,L. Ball makes 2-pt shot at rim (assist by J. Clarkson)
7:38.0,San Antonio full timeout,,18-34,,
7:38.0,P. Gasol enters the game for M. Ginobili,,18-34,,
7:31.0,Turnover by D. Murray (traveling),,18-34,,
7:16.0,,,18-37,3,L. Ball makes 3-pt shot from 25 ft (assist by K. Kuzma)
6:55.0,D. Murray makes 2-pt shot from 11 ft (assist by P. Gasol),2,20-37,,
6:30.0,,,20-37,,J. Hart misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by K. Anderson,,20-37,,
6:16.0,Turnover by K. Anderson (bad pass),,20-37,,
6:07.0,,,20-37,,K. Kuzma misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by D. Murray,,20-37,,
5:55.0,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol),2,22-37,,
5:54.0,,,22-37,,LA Lakers full timeout
5:54.0,,,22-37,,K. Caldwell-Pope enters the game for K. Kuzma
5:54.0,,,22-37,,B. Lopez enters the game for J. Hart
5:54.0,,,22-37,,B. Ingram enters the game for J. Clarkson
5:54.0,,,22-37,,J. Randle enters the game for L. Nance
5:34.0,,,22-40,3,L. Ball makes 3-pt shot from 24 ft (assist by B. Ingram)
5:04.0,D. Murray makes 2-pt shot from 9 ft,2,24-40,,
4:40.0,,,24-40,,B. Ingram misses 2-pt shot from 17 ft
4:40.0,Defensive rebound by D. Murray,,24-40,,
4:29.0,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol),2,26-40,,
4:06.0,,,26-40,,Turnover by J. Randle (traveling)
4:06.0,P. Mills enters the game for D. Murray,,26-40,,
3:58.0,B. Forbes makes 3-pt shot from 24 ft (assist by P. Mills),3,29-40,,
3:39.0,,,29-40,,B. Lopez misses 2-pt shot from 7 ft
3:37.0,Defensive rebound by L. Aldridge,,29-40,,
3:27.0,P. Mills misses 3-pt shot from 24 ft,,29-40,,
3:23.0,,,29-40,,Defensive rebound by B. Ingram
3:17.0,,,29-40,,Offensive foul by B. Lopez (drawn by P. Mills)
3:17.0,,,29-40,,Turnover by B. Lopez (offensive foul)
3:17.0,M. Ginobili enters the game for K. Anderson,,29-40,,
3:01.0,L. Aldridge misses 2-pt shot from 3 ft (block by B. Lopez),,29-40,,
3:01.0,Offensive rebound by L. Aldridge,,29-40,,
3:01.0,Shooting foul by B. Lopez (drawn by L. Aldridge),,29-40,,
3:01.0,L. Aldridge makes free throw 1 of 2,1,30-40,,
3:01.0,,,30-40,,LA Lakers full timeout
3:01.0,L. Aldridge makes free throw 2 of 2,1,31-40,,
2:50.0,,,31-40,,Shooting foul by P. Gasol (drawn by B. Ingram)
2:50.0,,,31-41,1,B. Ingram makes free throw 1 of 2
2:50.0,,,31-42,1,B. Ingram makes free throw 2 of 2
2:36.0,P. Gasol makes 2-pt shot from 1 ft (assist by M. Ginobili),2,33-42,,
2:12.0,,,33-42,,B. Ingram misses 3-pt shot from 26 ft
2:11.0,,,33-42,,Offensive rebound by L. Ball
2:11.0,,,33-42,,Turnover by Team (shot clock)
2:01.0,P. Gasol makes 3-pt shot from 23 ft (assist by P. Mills),3,36-42,,
1:47.0,,,36-45,3,B. Ingram makes 3-pt shot from 23 ft (assist by L. Ball)
1:30.0,Shooting foul by J. Randle (drawn by L. Aldridge),,36-45,,
1:30.0,L. Aldridge makes free throw 1 of 2,1,37-45,,
1:30.0,,,37-45,,L. Nance enters the game for J. Randle
1:30.0,L. Aldridge makes free throw 2 of 2,1,38-45,,
1:16.0,,,38-47,2,B. Ingram makes 2-pt shot from 15 ft
0:49.0,Turnover by P. Gasol (bad pass; steal by L. Ball),,38-47,,
0:46.0,Personal foul by P. Mills (drawn by L. Nance),,38-47,,
0:38.0,,,38-47,,Offensive foul by B. Lopez (drawn by B. Forbes)
0:38.0,,,38-47,,Turnover by B. Lopez (offensive foul)
0:30.0,P. Gasol misses 3-pt shot from 23 ft,,38-47,,
0:27.0,,,38-47,,Defensive rebound by L. Nance
0:06.0,,,38-49,2,B. Ingram makes 2-pt shot from 10 ft
0:00.0,B. Forbes misses 3-pt shot from 24 ft,,38-49,,
0:00.0,Offensive rebound by Team,,38-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Murray makes 2-pt shot from 5 ft (assist by P. Gasol),2,40-49,,
11:22.0,,,40-49,,Shooting foul by B. Forbes (drawn by B. Lopez)
11:22.0,,,40-49,,B. Lopez misses free throw 1 of 2
11:22.0,,,40-49,,Offensive rebound by Team
11:22.0,,,40-50,1,B. Lopez makes free throw 2 of 2
11:08.0,P. Gasol misses 2-pt shot from 3 ft (block by B. Lopez),,40-50,,
11:05.0,Offensive rebound by D. Murray,,40-50,,
11:04.0,D. Murray misses 2-pt shot from 2 ft,,40-50,,
11:04.0,,,40-50,,Defensive rebound by J. Randle
10:57.0,,,40-50,,Turnover by L. Ball (bad pass; steal by K. Anderson)
10:47.0,B. Forbes makes 3-pt shot from 26 ft (assist by D. Murray),3,43-50,,
10:30.0,,,43-50,,J. Randle misses 2-pt shot from 3 ft (block by D. Murray)
10:28.0,,,43-50,,Offensive rebound by J. Randle
10:27.0,,,43-50,,J. Randle misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by P. Gasol,,43-50,,
10:16.0,P. Gasol misses 2-pt shot from 1 ft,,43-50,,
10:16.0,,,43-50,,Defensive rebound by L. Ball
10:09.0,,,43-50,,Turnover by L. Ball (bad pass; steal by D. Murray)
10:04.0,D. Murray makes 2-pt shot from 1 ft,2,45-50,,
9:39.0,,,45-50,,L. Ball misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by K. Anderson,,45-50,,
9:33.0,D. Murray makes 2-pt shot from 1 ft (assist by K. Anderson),2,47-50,,
9:33.0,,,47-50,,LA Lakers full timeout
9:20.0,,,47-50,,K. Caldwell-Pope misses 2-pt shot from 21 ft
9:17.0,Defensive rebound by P. Gasol,,47-50,,
8:58.0,L. Aldridge misses 2-pt shot from 15 ft,,47-50,,
8:55.0,,,47-50,,Defensive rebound by K. Caldwell-Pope
8:42.0,,,47-50,,B. Lopez misses 3-pt shot from 27 ft
8:39.0,Defensive rebound by K. Anderson,,47-50,,
8:29.0,D. Murray misses 2-pt shot from 2 ft,,47-50,,
8:29.0,,,47-50,,Defensive rebound by Team
8:20.0,,,47-50,,L. Ball misses 2-pt shot from 2 ft (block by P. Gasol)
8:17.0,,,47-50,,Offensive rebound by L. Ball
8:09.0,,,47-52,2,B. Ingram makes 2-pt shot from 2 ft
7:42.0,K. Anderson misses 2-pt shot from 3 ft (block by B. Lopez),,47-52,,
7:40.0,,,47-52,,Defensive rebound by J. Randle
7:39.0,,,47-52,,J. Randle misses 2-pt shot from 5 ft (block by P. Gasol)
7:38.0,,,47-52,,Offensive rebound by L. Ball
7:35.0,,,47-52,,Turnover by L. Ball (bad pass)
7:16.0,L. Aldridge makes 3-pt shot from 24 ft (assist by D. Murray),3,50-52,,
6:56.0,,,50-52,,B. Ingram misses 2-pt shot from 15 ft
6:54.0,Defensive rebound by P. Gasol,,50-52,,
6:42.0,B. Forbes makes 3-pt shot from 25 ft (assist by P. Gasol),3,53-52,,
6:19.0,,,53-52,,J. Randle misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by P. Gasol,,53-52,,
6:06.0,,,53-52,,Personal foul by B. Lopez (drawn by L. Aldridge)
6:06.0,,,53-52,,L. Nance enters the game for B. Lopez
6:06.0,,,53-52,,K. Kuzma enters the game for J. Randle
5:54.0,L. Aldridge misses 2-pt shot from 14 ft,,53-52,,
5:50.0,,,53-52,,Defensive rebound by K. Caldwell-Pope
5:40.0,,,53-52,,Turnover by B. Ingram (bad pass)
5:25.0,B. Forbes misses 2-pt shot from 12 ft,,53-52,,
5:21.0,,,53-52,,Defensive rebound by L. Ball
5:07.0,,,53-52,,K. Kuzma misses 3-pt shot from 23 ft
5:04.0,,,53-52,,Offensive rebound by L. Nance
5:02.0,,,53-55,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by L. Nance)
5:02.0,San Antonio full timeout,,53-55,,
5:02.0,M. Ginobili enters the game for K. Anderson,,53-55,,
5:02.0,D. Bertans enters the game for D. Murray,,53-55,,
5:02.0,P. Mills enters the game for P. Gasol,,53-55,,
4:50.0,Turnover by M. Ginobili (bad pass; steal by K. Caldwell-Pope),,53-55,,
4:46.0,,,53-57,2,K. Caldwell-Pope makes 2-pt shot at rim
4:30.0,Turnover by D. Bertans (lost ball; steal by L. Ball),,53-57,,
4:28.0,,,53-57,,Turnover by L. Ball (bad pass)
4:12.0,L. Aldridge makes 2-pt shot from 15 ft,2,55-57,,
3:48.0,,,55-59,2,L. Nance makes 2-pt shot from 20 ft
3:29.0,Turnover by L. Aldridge (lost ball; steal by K. Caldwell-Pope),,55-59,,
3:18.0,,,55-59,,K. Caldwell-Pope misses 2-pt shot from 17 ft
3:15.0,,,55-59,,Offensive rebound by L. Ball
3:13.0,,,55-59,,K. Caldwell-Pope misses 3-pt shot from 25 ft
3:13.0,,,55-59,,Offensive rebound by Team
3:11.0,P. Gasol enters the game for L. Aldridge,,55-59,,
3:04.0,,,55-61,2,L. Ball makes 2-pt shot from 1 ft (assist by K. Kuzma)
2:54.0,,,55-61,,Personal foul by L. Ball (drawn by D. Bertans)
2:54.0,D. White enters the game for B. Forbes,,55-61,,
2:39.0,P. Mills misses 3-pt shot from 25 ft,,55-61,,
2:34.0,,,55-61,,Defensive rebound by K. Caldwell-Pope
2:26.0,,,55-63,2,B. Ingram makes 2-pt shot from 2 ft (assist by L. Ball)
2:26.0,San Antonio full timeout,,55-63,,
2:11.0,P. Gasol makes 2-pt shot from 1 ft,2,57-63,,
1:52.0,,,57-65,2,L. Nance makes 2-pt shot from 1 ft (assist by L. Ball)
1:34.0,P. Mills misses 2-pt shot from 17 ft,,57-65,,
1:34.0,,,57-65,,Defensive rebound by L. Nance
1:24.0,Personal foul by D. Bertans (drawn by K. Kuzma),,57-65,,
1:13.0,,,57-68,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by L. Ball)
1:13.0,,,57-68,,Shooting foul by P. Gasol (drawn by K. Caldwell-Pope)
1:13.0,,,57-68,,T. Ennis enters the game for L. Ball
1:13.0,,,57-68,,J. Clarkson enters the game for B. Ingram
1:13.0,,,57-68,,K. Caldwell-Pope misses free throw 1 of 1
1:09.0,Defensive rebound by P. Gasol,,57-68,,
0:59.0,M. Ginobili makes 2-pt shot from 1 ft,2,59-68,,
0:46.0,,,59-68,,Offensive foul by L. Nance (drawn by M. Ginobili)
0:46.0,,,59-68,,Turnover by L. Nance (offensive foul)
0:34.0,,,59-68,,Personal foul by K. Caldwell-Pope (drawn by M. Ginobili)
0:28.0,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills),3,62-68,,
0:04.0,,,62-68,,J. Clarkson misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by Team,,62-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,62-68,,J. Clarkson misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by M. Ginobili,,62-68,,
11:33.0,Turnover by K. Anderson (bad pass),,62-68,,
11:13.0,,,62-68,,T. Ennis misses 2-pt shot from 2 ft (block by P. Gasol)
11:09.0,,,62-68,,Offensive rebound by T. Ennis
11:07.0,,,62-70,2,K. Kuzma makes 2-pt shot from 17 ft (assist by T. Ennis)
10:50.0,B. Forbes misses 3-pt shot from 25 ft,,62-70,,
10:46.0,,,62-70,,Defensive rebound by K. Kuzma
10:36.0,,,62-72,2,L. Nance makes 2-pt shot at rim (assist by K. Kuzma)
10:14.0,K. Anderson makes 2-pt shot from 1 ft (assist by M. Ginobili),2,64-72,,
9:48.0,Personal block foul by M. Ginobili (drawn by J. Hart),,64-72,,
9:48.0,L. Aldridge enters the game for P. Gasol,,64-72,,
9:48.0,D. White enters the game for M. Ginobili,,64-72,,
9:41.0,,,64-72,,L. Nance misses 2-pt shot from 18 ft
9:38.0,Defensive rebound by D. Murray,,64-72,,
9:20.0,D. White makes 3-pt shot from 25 ft (assist by D. Murray),3,67-72,,
9:06.0,,,67-75,3,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Clarkson)
8:42.0,Shooting foul by J. Hart (drawn by D. White),,67-75,,
8:42.0,D. White misses free throw 1 of 2,,67-75,,
8:42.0,Offensive rebound by Team,,67-75,,
8:42.0,D. White makes free throw 2 of 2,1,68-75,,
8:32.0,,,68-75,,K. Kuzma misses 2-pt shot from 3 ft (block by L. Aldridge)
8:32.0,,,68-75,,Offensive rebound by Team
8:30.0,,,68-75,,K. Kuzma misses 3-pt shot from 22 ft
8:27.0,Defensive rebound by D. Murray,,68-75,,
8:15.0,B. Forbes makes 3-pt shot from 26 ft,3,71-75,,
8:14.0,,,71-75,,LA Lakers full timeout
8:14.0,,,71-75,,L. Ball enters the game for J. Clarkson
8:14.0,,,71-75,,B. Ingram enters the game for T. Ennis
8:14.0,P. Gasol enters the game for K. Anderson,,71-75,,
8:14.0,P. Mills enters the game for D. Murray,,71-75,,
8:14.0,K. Anderson enters the game for D. White,,71-75,,
7:59.0,,,71-75,,B. Ingram misses 2-pt shot from 12 ft
7:55.0,Defensive rebound by P. Mills,,71-75,,
7:48.0,K. Anderson makes 2-pt shot from 9 ft (assist by P. Mills),2,73-75,,
7:33.0,,,73-75,,L. Ball misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by K. Anderson,,73-75,,
7:24.0,Turnover by P. Gasol (bad pass; steal by L. Nance),,73-75,,
7:13.0,,,73-77,2,L. Ball makes 2-pt shot from 2 ft
6:49.0,Shooting foul by L. Nance (drawn by B. Forbes),,73-77,,
6:49.0,B. Forbes misses free throw 1 of 2,,73-77,,
6:49.0,Offensive rebound by Team,,73-77,,
6:49.0,,,73-77,,K. Caldwell-Pope enters the game for J. Hart
6:49.0,B. Forbes misses free throw 2 of 2,,73-77,,
6:46.0,,,73-77,,Defensive rebound by K. Kuzma
6:42.0,,,73-77,,K. Caldwell-Pope misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by K. Anderson,,73-77,,
6:23.0,B. Forbes makes 2-pt shot from 20 ft (assist by P. Mills),2,75-77,,
6:05.0,,,75-77,,L. Ball misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by K. Anderson,,75-77,,
5:50.0,Turnover by P. Mills (bad pass; steal by K. Caldwell-Pope),,75-77,,
5:48.0,,,75-79,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
5:27.0,Turnover by B. Forbes (bad pass; steal by L. Nance),,75-79,,
5:23.0,,,75-81,2,L. Nance makes 2-pt shot at rim (assist by K. Caldwell-Pope)
5:23.0,San Antonio full timeout,,75-81,,
5:23.0,D. Murray enters the game for P. Mills,,75-81,,
5:11.0,L. Aldridge misses 2-pt shot from 3 ft,,75-81,,
5:11.0,,,75-81,,Defensive rebound by Team
4:52.0,,,75-83,2,B. Ingram makes 2-pt shot from 3 ft
4:25.0,P. Gasol misses 2-pt shot from 2 ft (block by L. Nance),,75-83,,
4:25.0,Offensive rebound by Team,,75-83,,
4:25.0,M. Ginobili enters the game for D. Murray,,75-83,,
4:23.0,Turnover by Team (shot clock),,75-83,,
4:07.0,,,75-85,2,B. Ingram makes 2-pt shot from 16 ft
3:58.0,,,75-85,,Personal foul by K. Caldwell-Pope (drawn by M. Ginobili)
3:58.0,D. Bertans enters the game for K. Anderson,,75-85,,
3:53.0,Turnover by L. Aldridge (bad pass; steal by K. Caldwell-Pope),,75-85,,
3:45.0,,,75-85,,Shooting foul by D. Bertans (drawn by L. Nance)
3:45.0,,,75-86,1,L. Nance makes free throw 1 of 2
3:45.0,,,75-87,1,L. Nance makes free throw 2 of 2
3:32.0,D. Bertans misses 3-pt shot from 25 ft,,75-87,,
3:28.0,,,75-87,,Defensive rebound by L. Ball
3:11.0,,,75-90,3,L. Ball makes 3-pt shot from 24 ft (assist by B. Ingram)
2:57.0,Turnover by D. Bertans (bad pass; steal by L. Ball),,75-90,,
2:49.0,,,75-90,,L. Nance misses 2-pt shot from 3 ft
2:44.0,Defensive rebound by D. Bertans,,75-90,,
2:40.0,P. Gasol misses 2-pt shot from 6 ft,,75-90,,
2:37.0,Offensive rebound by L. Aldridge,,75-90,,
2:37.0,L. Aldridge misses 2-pt shot at rim,,75-90,,
2:37.0,,,75-90,,Defensive rebound by L. Nance
2:34.0,,,75-90,,LA Lakers full timeout
2:34.0,B. Paul enters the game for B. Forbes,,75-90,,
2:34.0,D. Murray enters the game for L. Aldridge,,75-90,,
