time,Memphis,pts.away,score,pts.home,Golden State
8:11.0,Personal foul by J. Green (drawn by K. Durant),,9-16,,
8:02.0,,,9-18,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson)
7:53.0,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison),3,12-18,,
7:31.0,,,12-18,,K. Thompson misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by M. Gasol,,12-18,,
7:21.0,M. Gasol makes 2-pt shot from 7 ft (assist by A. Harrison),2,14-18,,
7:21.0,Shooting foul by S. Curry (drawn by M. Gasol),,14-18,,
7:21.0,M. Gasol makes free throw 1 of 1,1,15-18,,
7:06.0,,,15-21,3,K. Durant makes 3-pt shot from 26 ft (assist by D. Green)
6:51.0,T. Evans makes 2-pt shot from 1 ft,2,17-21,,
6:38.0,,,17-21,,Turnover by K. Thompson (bad pass; steal by M. Gasol)
6:32.0,J. Green misses 3-pt shot from 22 ft,,17-21,,
6:28.0,,,17-21,,Defensive rebound by S. Curry
6:18.0,,,17-21,,S. Curry misses 3-pt shot from 29 ft
6:14.0,Defensive rebound by M. Gasol,,17-21,,
6:10.0,J. Ennis enters the game for J. Green,,17-21,,
6:10.0,J. Martin enters the game for A. Harrison,,17-21,,
6:07.0,M. Gasol misses 2-pt shot from 6 ft,,17-21,,
6:04.0,Offensive rebound by M. Gasol,,17-21,,
6:02.0,M. Gasol makes 2-pt shot from 2 ft,2,19-21,,
5:53.0,,,19-23,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant)
5:53.0,,,19-23,,Shooting foul by M. Gasol (drawn by Z. Pachulia)
5:53.0,,,19-24,1,Z. Pachulia makes free throw 1 of 1
5:39.0,M. Gasol makes 2-pt shot at rim (assist by T. Evans),2,21-24,,
5:28.0,,,21-26,2,S. Curry makes 2-pt shot from 1 ft
5:17.0,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans),3,24-26,,
5:05.0,,,24-29,3,K. Thompson makes 3-pt shot from 24 ft (assist by Z. Pachulia)
4:41.0,J. Martin misses 2-pt shot from 20 ft,,24-29,,
4:38.0,,,24-29,,Defensive rebound by Z. Pachulia
4:29.0,,,24-31,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
4:12.0,T. Evans makes 2-pt shot from 19 ft,2,26-31,,
4:11.0,,,26-31,,Golden State full timeout
4:11.0,,,26-31,,O. Casspi enters the game for D. Green
4:11.0,,,26-31,,A. Iguodala enters the game for Z. Pachulia
4:11.0,,,26-31,,J. McGee enters the game for S. Curry
4:11.0,K. Simmons enters the game for D. Brooks,,26-31,,
4:11.0,D. Davis enters the game for M. Gasol,,26-31,,
3:57.0,,,26-31,,Turnover by K. Durant (bad pass; steal by K. Simmons)
3:46.0,K. Simmons makes 2-pt shot from 1 ft,2,28-31,,
3:28.0,,,28-33,2,K. Durant makes 2-pt shot from 13 ft (assist by O. Casspi)
3:14.0,T. Evans misses 2-pt shot from 20 ft,,28-33,,
3:09.0,,,28-33,,Defensive rebound by J. McGee
3:03.0,,,28-33,,K. Thompson misses 2-pt shot from 15 ft
3:00.0,Defensive rebound by J. Ennis,,28-33,,
2:42.0,K. Simmons makes 3-pt shot from 26 ft (assist by T. Evans),3,31-33,,
2:18.0,,,31-33,,A. Iguodala misses 2-pt shot from 11 ft
2:15.0,Defensive rebound by J. Ennis,,31-33,,
2:03.0,J. Martin misses 2-pt shot from 20 ft,,31-33,,
1:59.0,,,31-33,,Defensive rebound by O. Casspi
1:51.0,,,31-33,,K. Durant misses 2-pt shot from 17 ft
1:48.0,Defensive rebound by T. Evans,,31-33,,
1:43.0,Turnover by T. Evans (bad pass; steal by K. Durant),,31-33,,
1:38.0,,,31-36,3,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant)
1:09.0,K. Simmons makes 2-pt shot from 1 ft,2,33-36,,
0:57.0,,,33-38,2,K. Durant makes 2-pt shot from 18 ft
0:40.0,K. Simmons makes 3-pt shot from 27 ft (assist by T. Evans),3,36-38,,
0:29.0,,,36-40,2,K. Thompson makes 2-pt shot from 19 ft (assist by A. Iguodala)
0:08.0,T. Evans makes 2-pt shot from 1 ft,2,38-40,,
0:02.0,,,38-40,,K. Durant misses 2-pt shot from 4 ft
0:01.0,Defensive rebound by D. Davis,,38-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Simmons misses 2-pt shot from 15 ft,,38-40,,
11:37.0,,,38-40,,Defensive rebound by D. West
11:36.0,,,38-40,,N. Young misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by J. Martin,,38-40,,
11:18.0,J. Martin misses 2-pt shot from 8 ft,,38-40,,
11:14.0,,,38-40,,Defensive rebound by D. West
11:01.0,,,38-42,2,N. Young makes 2-pt shot from 18 ft (assist by D. Green)
10:44.0,J. Martin makes 2-pt shot from 16 ft (assist by D. Davis),2,40-42,,
10:41.0,,,40-42,,Turnover by D. Green (turnover)
10:32.0,Shooting foul by D. Green (drawn by D. Davis),,40-42,,
10:32.0,,,40-42,,Technical foul by D. Green
10:32.0,M. Chalmers makes technical free throw,1,41-42,,
10:32.0,D. Davis makes free throw 1 of 2,1,42-42,,
10:32.0,D. Davis makes free throw 2 of 2,1,43-42,,
10:13.0,,,43-42,,S. Livingston misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by K. Simmons,,43-42,,
9:54.0,,,43-42,,Personal foul by N. Young (drawn by M. Chalmers)
9:45.0,Shooting foul by D. Green (drawn by D. Davis),,43-42,,
9:45.0,,,43-42,,Technical foul by D. Green
9:45.0,M. Chalmers makes technical free throw,1,44-42,,
9:45.0,,,44-42,,O. Casspi enters the game for D. Green
9:45.0,D. Davis makes free throw 1 of 2,1,45-42,,
9:45.0,D. Davis misses free throw 2 of 2,,45-42,,
9:39.0,,,45-42,,Defensive rebound by O. Casspi
9:36.0,,,45-44,2,S. Livingston makes 2-pt shot from 8 ft
9:36.0,,,45-44,,Shooting foul by M. Chalmers (drawn by S. Livingston)
9:36.0,,,45-45,1,S. Livingston makes free throw 1 of 1
9:22.0,K. Simmons makes 3-pt shot from 25 ft,3,48-45,,
9:04.0,,,48-45,,Shooting foul by D. Davis (drawn by D. West)
9:04.0,,,48-45,,D. West misses free throw 1 of 2
9:04.0,,,48-45,,Offensive rebound by Team
9:04.0,,,48-46,1,D. West makes free throw 2 of 2
8:50.0,J. Ennis misses 2-pt shot from 15 ft,,48-46,,
8:45.0,,,48-46,,Defensive rebound by S. Livingston
8:42.0,,,48-48,2,D. West makes 2-pt shot from 15 ft (assist by S. Livingston)
8:20.0,J. Martin makes 2-pt shot from 16 ft,2,50-48,,
8:06.0,,,50-50,2,S. Livingston makes 2-pt shot from 8 ft
7:41.0,J. Martin misses 2-pt shot from 16 ft,,50-50,,
7:38.0,Offensive rebound by J. Ennis,,50-50,,
7:38.0,J. Ennis misses 2-pt shot at rim,,50-50,,
7:35.0,,,50-50,,Defensive rebound by D. West
7:28.0,,,50-50,,N. Young misses 2-pt shot from 17 ft
7:28.0,,,50-50,,Offensive rebound by D. West
7:28.0,,,50-52,2,D. West makes 2-pt shot at rim
7:28.0,Memphis full timeout,,50-52,,
7:28.0,A. Harrison enters the game for K. Simmons,,50-52,,
7:18.0,M. Chalmers misses 2-pt shot from 2 ft,,50-52,,
7:16.0,Offensive rebound by D. Davis,,50-52,,
7:15.0,D. Davis makes 2-pt shot from 1 ft,2,52-52,,
6:59.0,Personal foul by M. Chalmers (drawn by A. Iguodala),,52-52,,
6:52.0,,,52-52,,S. Livingston misses 2-pt shot from 13 ft
6:46.0,,,52-52,,Offensive rebound by D. West
6:46.0,,,52-54,2,D. West makes 2-pt shot at rim
6:27.0,,,52-54,,Personal foul by S. Livingston (drawn by J. Martin)
6:27.0,,,52-54,,K. Thompson enters the game for N. Young
6:27.0,,,52-54,,K. Durant enters the game for O. Casspi
6:27.0,,,52-54,,N. Young enters the game for A. Iguodala
6:27.0,M. Gasol enters the game for M. Chalmers,,52-54,,
6:27.0,T. Evans enters the game for D. Davis,,52-54,,
6:21.0,Shooting foul by S. Livingston (drawn by A. Harrison),,52-54,,
6:21.0,A. Harrison misses free throw 1 of 2,,52-54,,
6:21.0,Offensive rebound by Team,,52-54,,
6:21.0,,,52-54,,S. Curry enters the game for N. Young
6:21.0,A. Harrison makes free throw 2 of 2,1,53-54,,
6:12.0,,,53-57,3,S. Curry makes 3-pt shot from 27 ft (assist by S. Livingston)
5:45.0,M. Gasol makes 2-pt shot from 12 ft (assist by T. Evans),2,55-57,,
5:38.0,D. Brooks enters the game for J. Martin,,55-57,,
5:38.0,J. Green enters the game for J. Ennis,,55-57,,
5:36.0,,,55-57,,K. Thompson misses 3-pt shot from 26 ft
5:33.0,Defensive rebound by J. Green,,55-57,,
5:14.0,T. Evans misses 3-pt shot from 26 ft,,55-57,,
5:10.0,,,55-57,,Defensive rebound by K. Durant
5:06.0,,,55-57,,Shooting foul by T. Evans (drawn by S. Livingston)
5:06.0,,,55-58,1,S. Livingston makes free throw 2 of 2
5:06.0,,,55-59,1,S. Livingston makes free throw 1 of 2
5:06.0,,,55-59,,Z. Pachulia enters the game for D. West
4:46.0,J. Green misses 2-pt shot from 18 ft,,55-59,,
4:44.0,,,55-59,,Defensive rebound by K. Durant
4:42.0,,,55-61,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
4:39.0,T. Evans misses 2-pt shot from 7 ft,,55-61,,
4:38.0,Offensive rebound by J. Green,,55-61,,
4:38.0,J. Green makes 2-pt shot at rim,2,57-61,,
4:21.0,,,57-64,3,S. Curry makes 3-pt shot from 26 ft (assist by Z. Pachulia)
4:02.0,M. Gasol misses 2-pt shot from 19 ft,,57-64,,
3:59.0,,,57-64,,Defensive rebound by S. Livingston
3:57.0,Personal foul by D. Brooks (drawn by S. Curry),,57-64,,
3:57.0,,,57-65,1,S. Curry makes free throw 1 of 2
3:57.0,,,57-65,,J. Bell enters the game for S. Livingston
3:57.0,,,57-66,1,S. Curry makes free throw 2 of 2
3:46.0,T. Evans misses 2-pt shot from 6 ft,,57-66,,
3:41.0,Offensive rebound by J. Green,,57-66,,
3:40.0,J. Green makes 2-pt shot from 2 ft,2,59-66,,
3:31.0,,,59-66,,S. Curry misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by D. Brooks,,59-66,,
3:25.0,J. Green misses 2-pt shot from 3 ft (block by K. Durant),,59-66,,
3:22.0,,,59-66,,Defensive rebound by J. Bell
3:18.0,K. Simmons enters the game for A. Harrison,,59-66,,
3:12.0,,,59-66,,Shooting foul by M. Gasol (drawn by J. Bell)
3:12.0,,,59-67,1,J. Bell makes free throw 1 of 2
3:12.0,,,59-68,1,J. Bell makes free throw 2 of 2
2:53.0,J. Green misses 2-pt shot from 6 ft,,59-68,,
2:49.0,,,59-68,,Defensive rebound by Z. Pachulia
2:37.0,,,59-71,3,S. Curry makes 3-pt shot from 23 ft (assist by Z. Pachulia)
2:19.0,D. Brooks makes 2-pt shot from 1 ft,2,61-71,,
2:09.0,,,61-74,3,S. Curry makes 3-pt shot from 26 ft (assist by J. Bell)
1:49.0,,,61-74,,Personal foul by K. Durant (drawn by D. Brooks)
1:49.0,,,61-74,,Golden State full timeout
1:49.0,D. Brooks makes free throw 1 of 2,1,62-74,,
1:49.0,D. Brooks makes free throw 2 of 2,1,63-74,,
1:40.0,,,63-76,2,J. Bell makes 2-pt shot at rim (assist by K. Thompson)
1:14.0,M. Gasol makes 2-pt shot from 12 ft (assist by D. Brooks),2,65-76,,
1:01.0,,,65-78,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Bell)
0:45.0,D. Brooks misses 2-pt shot from 3 ft (block by J. Bell),,65-78,,
0:42.0,,,65-78,,Defensive rebound by Z. Pachulia
0:35.0,,,65-78,,K. Thompson misses 2-pt shot from 19 ft
0:33.0,Defensive rebound by T. Evans,,65-78,,
0:29.0,T. Evans makes 2-pt shot from 1 ft,2,67-78,,
0:23.0,,,67-78,,Turnover by K. Thompson (out of bounds lost ball)
0:03.0,D. Brooks misses 2-pt shot from 11 ft,,67-78,,
0:01.0,Offensive rebound by J. Green,,67-78,,
0:00.0,J. Green misses 2-pt shot from 3 ft (block by J. Bell),,67-78,,
0:00.0,Offensive rebound by Team,,67-78,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Green misses 2-pt shot from 3 ft,,67-78,,
11:38.0,Offensive rebound by J. Green,,67-78,,
11:38.0,J. Green misses 2-pt shot at rim (block by J. Bell),,67-78,,
11:36.0,,,67-78,,Defensive rebound by S. Curry
11:24.0,,,67-80,2,S. Curry makes 2-pt shot from 18 ft
11:05.0,M. Gasol makes 2-pt shot from 19 ft (assist by T. Evans),2,69-80,,
10:58.0,Personal foul by A. Harrison (drawn by S. Curry),,69-80,,
10:55.0,,,69-82,2,K. Thompson makes 2-pt shot from 17 ft (assist by K. Durant)
10:43.0,M. Gasol makes 3-pt shot from 27 ft (assist by A. Harrison),3,72-82,,
10:28.0,,,72-85,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
10:27.0,Memphis full timeout,,72-85,,
10:27.0,J. Ennis enters the game for A. Harrison,,72-85,,
10:27.0,K. Simmons enters the game for D. Brooks,,72-85,,
10:16.0,M. Gasol makes 3-pt shot from 26 ft (assist by J. Green),3,75-85,,
9:45.0,,,75-85,,Turnover by J. Bell (lost ball; steal by M. Gasol)
9:24.0,J. Green misses 2-pt shot at rim (block by J. Bell),,75-85,,
9:20.0,Offensive rebound by J. Green,,75-85,,
9:18.0,J. Green makes 2-pt shot from 1 ft,2,77-85,,
9:06.0,,,77-88,3,S. Curry makes 3-pt shot from 26 ft (assist by Z. Pachulia)
8:54.0,,,77-88,,Personal foul by S. Curry (drawn by K. Simmons)
8:39.0,J. Green makes 2-pt shot from 3 ft (assist by T. Evans),2,79-88,,
8:21.0,,,79-88,,Turnover by K. Thompson (lost ball; steal by T. Evans)
8:16.0,K. Simmons misses 2-pt shot from 3 ft,,79-88,,
8:13.0,,,79-88,,Defensive rebound by S. Curry
8:08.0,,,79-90,2,J. Bell makes 2-pt shot from 1 ft (assist by K. Durant)
7:40.0,J. Green misses 2-pt shot from 20 ft,,79-90,,
7:37.0,,,79-90,,Defensive rebound by Z. Pachulia
7:30.0,,,79-90,,Shooting foul by J. Green (drawn by Z. Pachulia)
7:30.0,,,79-91,1,Z. Pachulia makes free throw 1 of 2
7:30.0,B. Wright enters the game for J. Green,,79-91,,
7:30.0,,,79-92,1,Z. Pachulia makes free throw 2 of 2
7:09.0,K. Simmons makes 2-pt shot from 10 ft (assist by M. Gasol),2,81-92,,
6:58.0,,,81-92,,K. Thompson misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by J. Ennis,,81-92,,
6:44.0,J. Ennis makes 3-pt shot from 25 ft (assist by B. Wright),3,84-92,,
6:24.0,,,84-92,,S. Curry misses 2-pt shot from 1 ft
6:24.0,,,84-92,,Offensive rebound by Team
6:24.0,Loose ball foul by B. Wright (drawn by S. Curry),,84-92,,
6:21.0,,,84-92,,K. Thompson misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by M. Gasol,,84-92,,
6:10.0,Turnover by M. Gasol (bad pass),,84-92,,
5:50.0,,,84-94,2,J. Bell makes 2-pt shot from 1 ft (assist by Z. Pachulia)
5:31.0,T. Evans makes 3-pt shot from 26 ft,3,87-94,,
5:15.0,,,87-97,3,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson)
4:57.0,K. Simmons misses 3-pt shot from 23 ft,,87-97,,
4:54.0,,,87-97,,Defensive rebound by K. Durant
4:51.0,,,87-97,,K. Thompson misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by B. Wright,,87-97,,
4:42.0,T. Evans misses 2-pt shot from 3 ft,,87-97,,
4:38.0,,,87-97,,Defensive rebound by Z. Pachulia
4:36.0,,,87-100,3,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant)
4:36.0,Memphis full timeout,,87-100,,
4:36.0,,,87-100,,A. Iguodala enters the game for J. Bell
4:36.0,,,87-100,,O. Casspi enters the game for K. Thompson
4:36.0,A. Harrison enters the game for K. Simmons,,87-100,,
4:36.0,M. Chalmers enters the game for T. Evans,,87-100,,
4:25.0,Turnover by M. Gasol (turnover),,87-100,,
4:08.0,,,87-103,3,S. Curry makes 3-pt shot from 22 ft
3:52.0,Turnover by B. Wright (turnover),,87-103,,
3:52.0,,,87-103,,J. McGee enters the game for Z. Pachulia
3:46.0,,,87-103,,S. Curry misses 3-pt shot from 28 ft
3:41.0,Defensive rebound by A. Harrison,,87-103,,
3:31.0,A. Harrison misses 3-pt shot from 26 ft,,87-103,,
3:25.0,,,87-103,,Defensive rebound by S. Curry
3:17.0,,,87-103,,O. Casspi misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by M. Gasol,,87-103,,
3:03.0,M. Gasol misses 2-pt shot from 15 ft,,87-103,,
2:59.0,,,87-103,,Defensive rebound by O. Casspi
2:55.0,,,87-103,,K. Durant misses 3-pt shot from 26 ft
2:55.0,,,87-103,,Offensive rebound by Team
2:55.0,Loose ball foul by M. Chalmers (drawn by A. Iguodala),,87-103,,
2:55.0,,,87-103,,N. Young enters the game for S. Curry
2:55.0,J. Martin enters the game for M. Gasol,,87-103,,
2:48.0,,,87-105,2,K. Durant makes 2-pt shot from 19 ft
2:27.0,M. Chalmers makes 2-pt shot from 2 ft,2,89-105,,
2:21.0,,,89-105,,K. Durant misses 2-pt shot from 10 ft
2:16.0,Defensive rebound by Team,,89-105,,
2:08.0,A. Harrison misses 2-pt shot from 2 ft,,89-105,,
2:04.0,Offensive rebound by B. Wright,,89-105,,
2:01.0,J. Ennis makes 3-pt shot from 26 ft (assist by M. Chalmers),3,92-105,,
1:51.0,,,92-105,,Shooting foul by B. Wright (drawn by K. Durant)
1:51.0,,,92-106,1,K. Durant makes free throw 1 of 2
1:51.0,,,92-107,1,K. Durant makes free throw 2 of 2
1:42.0,J. Ennis makes 3-pt shot from 27 ft (assist by M. Chalmers),3,95-107,,
1:30.0,,,95-107,,Shooting foul by A. Harrison (drawn by J. McGee)
1:30.0,,,95-108,1,J. McGee makes free throw 1 of 2
1:30.0,,,95-109,1,J. McGee makes free throw 2 of 2
1:08.0,A. Harrison misses 2-pt shot from 18 ft,,95-109,,
1:06.0,,,95-109,,Defensive rebound by N. Young
1:06.0,Personal foul by J. Martin (drawn by N. Young),,95-109,,
1:06.0,,,95-110,1,N. Young makes free throw 1 of 2
1:06.0,,,95-111,1,N. Young makes free throw 2 of 2
0:51.0,Shooting foul by J. McGee (drawn by A. Harrison),,95-111,,
0:51.0,A. Harrison misses free throw 1 of 2,,95-111,,
0:51.0,Offensive rebound by Team,,95-111,,
0:51.0,A. Harrison makes free throw 2 of 2,1,96-111,,
0:40.0,,,96-111,,Shooting foul by J. Ennis (drawn by K. Durant)
0:40.0,,,96-112,1,K. Durant makes free throw 1 of 2
0:40.0,K. Simmons enters the game for A. Harrison,,96-112,,
0:40.0,,,96-113,1,K. Durant makes free throw 2 of 2
0:24.0,B. Wright makes 2-pt shot from 2 ft,2,98-113,,
0:07.0,,,98-116,3,K. Durant makes 3-pt shot from 29 ft
0:00.0,M. Chalmers misses 2-pt shot from 18 ft,,98-116,,
0:00.0,Offensive rebound by Team,,98-116,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,98-116,,K. Thompson misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by J. Martin,,98-116,,
11:26.0,M. Chalmers misses 2-pt shot from 5 ft,,98-116,,
11:17.0,Offensive rebound by D. Davis,,98-116,,
11:17.0,D. Davis misses 2-pt shot at rim,,98-116,,
11:17.0,,,98-116,,Defensive rebound by D. West
11:14.0,,,98-118,2,O. Casspi makes 2-pt shot from 2 ft (assist by S. Livingston)
10:52.0,M. Chalmers misses 2-pt shot from 7 ft (block by O. Casspi),,98-118,,
10:49.0,Offensive rebound by M. Chalmers,,98-118,,
10:49.0,Shooting foul by O. Casspi (drawn by D. Davis),,98-118,,
10:49.0,D. Davis makes free throw 1 of 2,1,99-118,,
10:49.0,D. Davis misses free throw 2 of 2,,99-118,,
10:47.0,,,99-118,,Defensive rebound by D. West
10:35.0,,,99-118,,O. Casspi misses 2-pt shot from 10 ft
10:33.0,Defensive rebound by J. Martin,,99-118,,
10:29.0,K. Simmons makes 2-pt shot from 1 ft (assist by M. Chalmers),2,101-118,,
10:11.0,,,101-118,,A. Iguodala misses 3-pt shot from 22 ft
10:07.0,,,101-118,,Offensive rebound by D. West
10:04.0,,,101-120,2,K. Thompson makes 2-pt shot from 16 ft (assist by A. Iguodala)
9:44.0,D. Brooks misses 2-pt shot from 10 ft,,101-120,,
9:39.0,Offensive rebound by D. Davis,,101-120,,
9:39.0,D. Davis makes 2-pt shot at rim,2,103-120,,
9:32.0,Personal foul by K. Simmons (drawn by K. Thompson),,103-120,,
9:25.0,,,103-120,,K. Thompson misses 2-pt shot from 2 ft
9:22.0,,,103-120,,Offensive rebound by D. West
9:21.0,,,103-120,,D. West misses 2-pt shot at rim
9:20.0,Defensive rebound by D. Davis,,103-120,,
9:19.0,,,103-120,,Personal foul by D. West (drawn by M. Chalmers)
9:04.0,Shooting foul by A. Iguodala (drawn by D. Brooks),,103-120,,
9:04.0,D. Brooks misses free throw 1 of 2,,103-120,,
9:04.0,Offensive rebound by Team,,103-120,,
9:04.0,D. Brooks makes free throw 2 of 2,1,104-120,,
8:43.0,,,104-122,2,O. Casspi makes 2-pt shot from 1 ft (assist by K. Thompson)
8:21.0,J. Martin makes 2-pt shot from 4 ft (assist by D. Davis),2,106-122,,
8:12.0,,,106-122,,S. Livingston misses 2-pt shot from 14 ft
8:07.0,,,106-122,,Offensive rebound by D. West
8:00.0,,,106-124,2,S. Livingston makes 2-pt shot from 10 ft
7:36.0,Turnover by J. Martin (lost ball; steal by A. Iguodala),,106-124,,
7:29.0,,,106-126,2,A. Iguodala makes 2-pt shot at rim (assist by K. Thompson)
7:18.0,D. Davis makes 2-pt shot from 1 ft (assist by M. Chalmers),2,108-126,,
7:17.0,,,108-126,,Golden State full timeout
7:17.0,M. Gasol enters the game for J. Martin,,108-126,,
7:17.0,T. Evans enters the game for M. Chalmers,,108-126,,
7:17.0,,,108-126,,K. Durant enters the game for A. Iguodala
7:17.0,,,108-126,,J. Bell enters the game for O. Casspi
7:17.0,J. Green enters the game for D. Davis,,108-126,,
6:56.0,,,108-126,,K. Thompson misses 3-pt shot from 25 ft
6:53.0,,,108-126,,Offensive rebound by D. West
6:50.0,,,108-126,,K. Durant misses 3-pt shot from 26 ft
6:46.0,,,108-126,,Offensive rebound by K. Durant
6:46.0,,,108-128,2,J. Bell makes 2-pt shot from 1 ft (assist by K. Durant)
6:23.0,Turnover by J. Green (lost ball; steal by J. Bell),,108-128,,
6:07.0,,,108-128,,S. Livingston misses 2-pt shot from 16 ft
5:59.0,Defensive rebound by J. Green,,108-128,,
5:53.0,J. Green misses 2-pt shot from 2 ft,,108-128,,
5:51.0,Offensive rebound by J. Green,,108-128,,
5:49.0,J. Green makes 2-pt shot from 1 ft,2,110-128,,
5:35.0,,,110-128,,D. West misses 2-pt shot from 19 ft
5:31.0,Defensive rebound by M. Gasol,,110-128,,
5:27.0,Shooting foul by D. West (drawn by T. Evans),,110-128,,
5:27.0,T. Evans misses free throw 1 of 2,,110-128,,
5:27.0,Offensive rebound by Team,,110-128,,
5:27.0,,,110-128,,Z. Pachulia enters the game for D. West
5:27.0,T. Evans makes free throw 2 of 2,1,111-128,,
5:17.0,Personal foul by K. Simmons (drawn by K. Thompson),,111-128,,
5:05.0,,,111-128,,K. Thompson misses 2-pt shot from 17 ft
5:00.0,Defensive rebound by T. Evans,,111-128,,
4:53.0,T. Evans makes 3-pt shot from 26 ft (assist by K. Simmons),3,114-128,,
4:53.0,,,114-128,,S. Curry enters the game for S. Livingston
4:53.0,Shooting foul by S. Livingston (drawn by T. Evans),,114-128,,
4:53.0,T. Evans misses free throw 1 of 1,,114-128,,
4:53.0,,,114-128,,Defensive rebound by K. Durant
4:37.0,,,114-130,2,K. Durant makes 2-pt shot from 17 ft
4:25.0,T. Evans misses 2-pt shot from 20 ft,,114-130,,
4:25.0,,,114-130,,Defensive rebound by Team
4:25.0,Loose ball foul by M. Gasol (drawn by K. Durant),,114-130,,
4:10.0,,,114-132,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by K. Durant)
3:43.0,T. Evans makes 3-pt shot from 25 ft (assist by K. Simmons),3,117-132,,
3:28.0,,,117-132,,Shooting foul by M. Gasol (drawn by Z. Pachulia)
3:28.0,,,117-133,1,Z. Pachulia makes free throw 1 of 2
3:28.0,,,117-133,,N. Young enters the game for K. Thompson
3:28.0,J. Martin enters the game for J. Green,,117-133,,
3:28.0,,,117-134,1,Z. Pachulia makes free throw 2 of 2
3:07.0,T. Evans makes 2-pt shot from 2 ft,2,119-134,,
2:50.0,,,119-137,3,S. Curry makes 3-pt shot from 25 ft
2:36.0,D. Brooks misses 2-pt shot from 11 ft,,119-137,,
2:32.0,,,119-137,,Defensive rebound by Team
2:32.0,Memphis full timeout,,119-137,,
2:32.0,,,119-137,,J. McGee enters the game for Z. Pachulia
2:32.0,,,119-137,,P. McCaw enters the game for S. Curry
2:32.0,,,119-137,,O. Casspi enters the game for K. Durant
2:32.0,D. Davis enters the game for T. Evans,,119-137,,
