time,Minnesota,pts.away,score,pts.home,Orlando
3:43.0,,,17-14,,Personal foul by J. Simmons (drawn by T. Gibson)
3:43.0,,,17-14,,M. Hezonja enters the game for J. Simmons
3:43.0,G. Dieng enters the game for K. Towns,,17-14,,
3:37.0,J. Butler misses 2-pt shot from 3 ft (block by B. Biyombo),,17-14,,
3:32.0,,,17-14,,Defensive rebound by B. Biyombo
3:30.0,,,17-14,,E. Fournier misses 3-pt shot from 26 ft
3:25.0,Defensive rebound by T. Gibson,,17-14,,
3:18.0,J. Butler makes 2-pt shot from 17 ft,2,19-14,,
3:05.0,,,19-16,2,M. Hezonja makes 2-pt shot from 12 ft
2:46.0,J. Teague misses 2-pt shot from 17 ft,,19-16,,
2:42.0,,,19-16,,Defensive rebound by B. Biyombo
2:31.0,,,19-16,,Turnover by A. Gordon (bad pass; steal by T. Gibson)
2:25.0,A. Wiggins misses 2-pt shot from 5 ft (block by B. Biyombo),,19-16,,
2:20.0,,,19-16,,Defensive rebound by M. Hezonja
2:18.0,,,19-19,3,E. Fournier makes 3-pt shot from 23 ft (assist by M. Hezonja)
2:00.0,T. Gibson makes 2-pt shot from 5 ft (assist by J. Teague),2,21-19,,
1:45.0,,,21-19,,A. Gordon misses 3-pt shot from 22 ft
1:41.0,Defensive rebound by J. Butler,,21-19,,
1:31.0,T. Gibson makes 2-pt shot from 14 ft (assist by J. Butler),2,23-19,,
1:29.0,,,23-19,,Orlando full timeout
1:29.0,,,23-19,,D. Augustin enters the game for E. Payton
1:29.0,,,23-19,,W. Iwundu enters the game for E. Fournier
1:29.0,,,23-19,,K. Birch enters the game for B. Biyombo
1:29.0,T. Jones enters the game for J. Teague,,23-19,,
1:29.0,J. Crawford enters the game for J. Butler,,23-19,,
1:14.0,,,23-19,,A. Gordon misses 2-pt shot from 2 ft (block by T. Gibson)
1:09.0,,,23-19,,Offensive rebound by A. Gordon
1:00.0,,,23-21,2,A. Gordon makes 2-pt shot from 3 ft
0:49.0,A. Wiggins makes 2-pt shot from 7 ft,2,25-21,,
0:32.0,,,25-21,,M. Hezonja misses 2-pt shot from 6 ft
0:31.0,,,25-21,,Offensive rebound by K. Birch
0:31.0,,,25-21,,Shooting foul by G. Dieng (drawn by K. Birch)
0:31.0,,,25-22,1,K. Birch makes free throw 1 of 2
0:31.0,,,25-23,1,K. Birch makes free throw 2 of 2
0:15.0,A. Wiggins misses 2-pt shot from 17 ft,,25-23,,
0:12.0,,,25-23,,Defensive rebound by K. Birch
0:02.0,,,25-23,,Shooting foul by G. Dieng (drawn by K. Birch)
0:02.0,,,25-24,1,K. Birch makes free throw 1 of 2
0:02.0,,,25-24,,A. Afflalo enters the game for A. Gordon
0:02.0,K. Towns enters the game for G. Dieng,,25-24,,
0:02.0,,,25-25,1,K. Birch makes free throw 2 of 2
0:00.0,T. Gibson misses 2-pt shot from 21 ft,,25-25,,
0:00.0,Offensive rebound by Team,,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,G. Dieng misses 2-pt shot from 7 ft,,25-25,,
11:34.0,,,25-25,,Defensive rebound by A. Afflalo
11:30.0,,,25-25,,A. Afflalo misses 2-pt shot from 3 ft
11:30.0,,,25-25,,Offensive rebound by Team
11:23.0,,,25-25,,M. Hezonja misses 2-pt shot from 20 ft
11:23.0,,,25-25,,Offensive rebound by Team
11:23.0,Personal foul by N. Bjelica,,25-25,,
11:01.0,,,25-25,,M. Hezonja misses 3-pt shot from 22 ft
10:53.0,,,25-25,,Offensive rebound by K. Birch
10:53.0,,,25-25,,K. Birch misses 2-pt shot at rim
10:51.0,Defensive rebound by N. Bjelica,,25-25,,
10:47.0,J. Crawford makes 3-pt shot from 25 ft (assist by T. Jones),3,28-25,,
10:38.0,,,28-27,2,D. Augustin makes 2-pt shot from 2 ft
10:28.0,J. Crawford misses 2-pt shot from 21 ft,,28-27,,
10:27.0,Offensive rebound by Team,,28-27,,
10:27.0,,,28-27,,Personal foul by W. Iwundu (drawn by K. Towns)
10:20.0,Turnover by T. Jones (bad pass; steal by M. Hezonja),,28-27,,
10:13.0,,,28-27,,M. Hezonja misses 2-pt shot from 2 ft
10:07.0,,,28-27,,Offensive rebound by K. Birch
10:07.0,,,28-29,2,K. Birch makes 2-pt shot at rim
9:50.0,T. Jones misses 2-pt shot from 19 ft,,28-29,,
9:46.0,Offensive rebound by K. Towns,,28-29,,
9:45.0,K. Towns makes 2-pt shot from 2 ft,2,30-29,,
9:30.0,,,30-32,3,M. Hezonja makes 3-pt shot from 26 ft (assist by D. Augustin)
9:18.0,G. Dieng makes 2-pt shot from 2 ft (assist by J. Crawford),2,32-32,,
9:08.0,Personal block foul by N. Bjelica (drawn by D. Augustin),,32-32,,
8:56.0,,,32-32,,A. Afflalo misses 2-pt shot from 3 ft
8:53.0,Defensive rebound by K. Towns,,32-32,,
8:51.0,N. Bjelica makes 2-pt shot from 3 ft (assist by J. Crawford),2,34-32,,
8:28.0,,,34-32,,D. Augustin misses 2-pt shot from 2 ft
8:28.0,,,34-32,,Offensive rebound by K. Birch
8:28.0,,,34-34,2,K. Birch makes 2-pt shot at rim
8:18.0,,,34-34,,Personal foul by W. Iwundu (drawn by J. Crawford)
8:09.0,K. Towns makes 2-pt shot from 16 ft,2,36-34,,
7:51.0,,,36-34,,Turnover by M. Hezonja (traveling)
7:34.0,K. Towns misses 2-pt shot from 6 ft (block by K. Birch),,36-34,,
7:34.0,Offensive rebound by Team,,36-34,,
7:29.0,J. Crawford misses 2-pt shot from 22 ft,,36-34,,
7:28.0,,,36-34,,Defensive rebound by K. Birch
7:28.0,,,36-34,,J. Simmons enters the game for A. Afflalo
7:28.0,J. Butler enters the game for N. Bjelica,,36-34,,
7:12.0,,,36-34,,K. Birch misses 2-pt shot from 1 ft
7:09.0,,,36-34,,Offensive rebound by D. Augustin
6:57.0,,,36-37,3,D. Augustin makes 3-pt shot from 23 ft (assist by M. Hezonja)
6:38.0,G. Dieng makes 3-pt shot from 22 ft (assist by J. Butler),3,39-37,,
6:21.0,,,39-37,,M. Hezonja misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by J. Crawford,,39-37,,
6:05.0,G. Dieng misses 2-pt shot from 3 ft (block by K. Birch),,39-37,,
6:02.0,,,39-37,,Defensive rebound by D. Augustin
5:56.0,,,39-39,2,K. Birch makes 2-pt shot from 2 ft (assist by D. Augustin)
5:50.0,Minnesota full timeout,,39-39,,
5:50.0,,,39-39,,A. Gordon enters the game for M. Hezonja
5:50.0,,,39-39,,E. Fournier enters the game for W. Iwundu
5:50.0,J. Teague enters the game for T. Jones,,39-39,,
5:50.0,T. Gibson enters the game for G. Dieng,,39-39,,
5:36.0,Turnover by T. Gibson (turnover),,39-39,,
5:19.0,,,39-39,,J. Simmons misses 2-pt shot from 7 ft
5:16.0,,,39-39,,Offensive rebound by K. Birch
5:08.0,,,39-41,2,D. Augustin makes 2-pt shot from 3 ft
4:53.0,J. Teague misses 2-pt shot from 17 ft,,39-41,,
4:51.0,,,39-41,,Defensive rebound by D. Augustin
4:50.0,Personal foul by J. Teague (drawn by D. Augustin),,39-41,,
4:50.0,A. Wiggins enters the game for J. Crawford,,39-41,,
4:37.0,,,39-43,2,E. Fournier makes 2-pt shot from 5 ft (assist by K. Birch)
4:23.0,A. Wiggins makes 2-pt shot from 4 ft,2,41-43,,
4:15.0,,,41-43,,D. Augustin misses 3-pt shot from 26 ft
4:12.0,Defensive rebound by K. Towns,,41-43,,
4:00.0,K. Towns makes 2-pt shot from 21 ft (assist by A. Wiggins),2,43-43,,
3:37.0,,,43-43,,Turnover by K. Birch (turnover)
3:37.0,,,43-43,,B. Biyombo enters the game for D. Augustin
3:37.0,,,43-43,,E. Payton enters the game for K. Birch
3:24.0,J. Butler makes 3-pt shot from 25 ft,3,46-43,,
2:58.0,,,46-43,,A. Gordon misses 2-pt shot from 16 ft
2:55.0,Defensive rebound by A. Wiggins,,46-43,,
2:49.0,Turnover by K. Towns (bad pass),,46-43,,
2:49.0,,,46-43,,Orlando full timeout
2:27.0,,,46-45,2,E. Fournier makes 2-pt shot from 22 ft
2:04.0,J. Butler misses 2-pt shot from 20 ft,,46-45,,
2:03.0,,,46-45,,Defensive rebound by B. Biyombo
2:02.0,,,46-45,,Turnover by B. Biyombo (lost ball; steal by T. Gibson)
2:00.0,T. Gibson misses 2-pt shot from 2 ft,,46-45,,
1:59.0,,,46-45,,Defensive rebound by Team
1:59.0,Loose ball foul by T. Gibson (drawn by B. Biyombo),,46-45,,
1:47.0,,,46-45,,Turnover by A. Gordon (bad pass; steal by J. Butler)
1:37.0,J. Butler misses 2-pt shot from 13 ft,,46-45,,
1:35.0,Offensive rebound by Team,,46-45,,
1:23.0,A. Wiggins misses 2-pt shot from 6 ft,,46-45,,
1:22.0,Offensive rebound by J. Butler,,46-45,,
1:22.0,J. Butler makes 2-pt shot at rim,2,48-45,,
1:02.0,,,48-45,,E. Fournier misses 2-pt shot from 11 ft
0:59.0,Defensive rebound by K. Towns,,48-45,,
0:39.0,A. Wiggins misses 3-pt shot from 25 ft,,48-45,,
0:36.0,,,48-45,,Defensive rebound by E. Fournier
0:25.0,Personal foul by J. Butler (drawn by E. Fournier),,48-45,,
0:25.0,,,48-46,1,E. Fournier makes free throw 1 of 2
0:25.0,,,48-47,1,E. Fournier makes free throw 2 of 2
0:04.0,J. Butler misses 2-pt shot from 20 ft,,48-47,,
0:02.0,,,48-47,,Defensive rebound by E. Payton
0:00.0,,,48-47,,E. Fournier misses 3-pt shot from 26 ft (block by J. Butler)
0:00.0,,,48-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,K. Towns misses 2-pt shot from 12 ft,,48-47,,
11:36.0,,,48-47,,Defensive rebound by B. Biyombo
11:22.0,,,48-47,,B. Biyombo misses 2-pt shot from 4 ft
11:18.0,Defensive rebound by K. Towns,,48-47,,
11:07.0,Turnover by J. Teague (bad pass; steal by B. Biyombo),,48-47,,
10:52.0,Violation by J. Teague (kicked ball),,48-47,,
10:43.0,,,48-47,,J. Simmons misses 2-pt shot from 5 ft (block by K. Towns)
10:43.0,,,48-47,,Offensive rebound by Team
10:42.0,,,48-47,,Turnover by E. Payton (traveling)
10:28.0,J. Butler makes 2-pt shot from 17 ft,2,50-47,,
10:16.0,Personal foul by T. Gibson (drawn by B. Biyombo),,50-47,,
10:09.0,,,50-50,3,E. Fournier makes 3-pt shot from 25 ft (assist by J. Simmons)
9:55.0,J. Teague makes 2-pt shot from 10 ft,2,52-50,,
9:46.0,,,52-50,,E. Payton misses 2-pt shot from 3 ft
9:43.0,,,52-50,,Offensive rebound by B. Biyombo
9:39.0,,,52-50,,Turnover by J. Simmons (lost ball; steal by J. Teague)
9:34.0,A. Wiggins makes 2-pt shot at rim,2,54-50,,
9:17.0,,,54-52,2,J. Simmons makes 2-pt shot from 19 ft (assist by B. Biyombo)
9:03.0,T. Gibson makes 2-pt shot from 13 ft (assist by J. Butler),2,56-52,,
8:41.0,,,56-54,2,E. Fournier makes 2-pt shot from 4 ft
8:29.0,,,56-54,,Personal foul by B. Biyombo (drawn by K. Towns)
8:18.0,T. Gibson makes 2-pt shot from 12 ft (assist by J. Teague),2,58-54,,
8:00.0,,,58-54,,A. Gordon misses 3-pt shot from 23 ft
7:56.0,,,58-54,,Offensive rebound by A. Gordon
7:54.0,,,58-54,,A. Gordon misses 2-pt shot from 4 ft (block by K. Towns)
7:48.0,Defensive rebound by A. Wiggins,,58-54,,
7:36.0,J. Butler misses 3-pt shot from 26 ft,,58-54,,
7:33.0,,,58-54,,Defensive rebound by A. Gordon
7:28.0,,,58-56,2,A. Gordon makes 2-pt shot from 2 ft
7:28.0,,,58-56,,Shooting foul by T. Gibson (drawn by A. Gordon)
7:28.0,,,58-57,1,A. Gordon makes free throw 1 of 1
7:13.0,J. Teague misses 2-pt shot from 3 ft,,58-57,,
7:09.0,Offensive rebound by K. Towns,,58-57,,
7:07.0,J. Teague misses 2-pt shot from 4 ft (block by B. Biyombo),,58-57,,
7:07.0,Offensive rebound by J. Teague,,58-57,,
6:51.0,A. Wiggins misses 2-pt shot from 7 ft,,58-57,,
6:44.0,Offensive rebound by J. Butler,,58-57,,
6:44.0,J. Butler makes 2-pt shot at rim,2,60-57,,
6:36.0,,,60-57,,E. Fournier misses 3-pt shot from 26 ft
6:32.0,Defensive rebound by J. Butler,,60-57,,
6:30.0,J. Butler misses 2-pt shot from 2 ft (block by A. Gordon),,60-57,,
6:30.0,Offensive rebound by Team,,60-57,,
6:30.0,,,60-57,,Orlando full timeout
6:25.0,,,60-57,,Personal foul by E. Fournier (drawn by J. Butler)
6:10.0,T. Gibson misses 2-pt shot from 16 ft,,60-57,,
6:08.0,Offensive rebound by J. Butler,,60-57,,
6:05.0,J. Butler makes 2-pt shot from 7 ft,2,62-57,,
5:51.0,,,62-57,,Turnover by B. Biyombo (bad pass; steal by J. Butler)
5:45.0,J. Butler misses 2-pt shot from 3 ft,,62-57,,
5:37.0,Offensive rebound by T. Gibson,,62-57,,
5:37.0,T. Gibson makes 2-pt shot at rim,2,64-57,,
5:31.0,,,64-59,2,E. Fournier makes 2-pt shot from 4 ft (assist by E. Payton)
5:11.0,J. Teague misses 2-pt shot from 4 ft,,64-59,,
5:08.0,,,64-59,,Defensive rebound by J. Simmons
5:08.0,,,64-59,,J. Simmons misses 2-pt shot from 3 ft (block by A. Wiggins)
5:08.0,Defensive rebound by Team,,64-59,,
4:52.0,J. Butler misses 2-pt shot from 19 ft,,64-59,,
4:52.0,,,64-59,,Defensive rebound by Team
4:52.0,Loose ball foul by K. Towns (drawn by A. Gordon),,64-59,,
4:40.0,,,64-61,2,E. Fournier makes 2-pt shot from 4 ft (assist by B. Biyombo)
4:25.0,T. Gibson misses 2-pt shot from 18 ft,,64-61,,
4:21.0,,,64-61,,Defensive rebound by J. Simmons
4:15.0,Personal foul by J. Butler (drawn by A. Gordon),,64-61,,
4:15.0,G. Dieng enters the game for K. Towns,,64-61,,
3:59.0,,,64-61,,J. Simmons misses 2-pt shot from 6 ft (block by G. Dieng)
3:56.0,Defensive rebound by A. Wiggins,,64-61,,
3:50.0,Turnover by G. Dieng (lost ball; steal by E. Payton),,64-61,,
3:44.0,,,64-63,2,E. Payton makes 2-pt shot from 2 ft
3:28.0,A. Wiggins misses 2-pt shot from 5 ft,,64-63,,
3:23.0,Offensive rebound by T. Gibson,,64-63,,
3:23.0,T. Gibson makes 2-pt shot at rim,2,66-63,,
3:17.0,,,66-65,2,E. Payton makes 2-pt shot from 2 ft
3:06.0,J. Teague misses 3-pt shot from 24 ft,,66-65,,
3:02.0,,,66-65,,Defensive rebound by E. Payton
2:51.0,Minnesota full timeout,,66-65,,
2:51.0,,,66-65,,M. Hezonja enters the game for J. Simmons
2:51.0,J. Crawford enters the game for J. Butler,,66-65,,
2:40.0,,,66-65,,E. Fournier misses 3-pt shot from 26 ft
2:40.0,,,66-65,,Offensive rebound by Team
2:40.0,,,66-65,,Turnover by Team (shot clock)
2:29.0,J. Teague makes 2-pt shot from 7 ft,2,68-65,,
2:19.0,,,68-65,,Turnover by E. Payton (lost ball; steal by J. Teague)
2:14.0,A. Wiggins makes 2-pt shot from 3 ft (assist by J. Teague),2,70-65,,
1:53.0,,,70-65,,Shooting foul by J. Crawford (drawn by B. Biyombo)
1:53.0,,,70-66,1,B. Biyombo makes free throw 1 of 2
1:53.0,,,70-66,,D. Augustin enters the game for E. Payton
1:53.0,,,70-67,1,B. Biyombo makes free throw 2 of 2
1:38.0,A. Wiggins misses 2-pt shot from 17 ft,,70-67,,
1:35.0,,,70-67,,Defensive rebound by B. Biyombo
1:26.0,,,70-70,3,E. Fournier makes 3-pt shot from 25 ft (assist by D. Augustin)
1:02.0,J. Crawford makes 2-pt shot from 22 ft,2,72-70,,
0:49.0,,,72-70,,E. Fournier misses 2-pt shot from 7 ft (block by G. Dieng)
0:49.0,,,72-70,,Offensive rebound by Team
0:49.0,,,72-70,,K. Birch enters the game for B. Biyombo
0:49.0,Minnesota full timeout,,72-70,,
0:40.0,,,72-70,,A. Gordon misses 2-pt shot from 4 ft
0:40.0,Defensive rebound by Team,,72-70,,
0:33.0,J. Teague misses 2-pt shot from 6 ft,,72-70,,
0:30.0,,,72-70,,Defensive rebound by A. Gordon
0:28.0,,,72-73,3,E. Fournier makes 3-pt shot from 26 ft (assist by M. Hezonja)
0:11.0,,,72-73,,Personal take foul by E. Fournier (drawn by J. Crawford)
0:03.0,J. Crawford makes 3-pt shot from 25 ft,3,75-73,,
0:00.0,,,75-73,,M. Hezonja misses 3-pt shot from 33 ft
0:00.0,,,75-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,75-73,,M. Hezonja misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by J. Crawford,,75-73,,
11:39.0,J. Crawford misses 2-pt shot from 2 ft,,75-73,,
11:36.0,,,75-73,,Defensive rebound by W. Iwundu
11:29.0,,,75-73,,Offensive foul by K. Birch (drawn by J. Crawford)
11:29.0,,,75-73,,Turnover by K. Birch (offensive foul)
11:09.0,T. Jones makes 2-pt shot from 2 ft (assist by G. Dieng),2,77-73,,
10:56.0,,,77-73,,Turnover by W. Iwundu (lost ball; steal by J. Butler)
10:54.0,Shooting foul by M. Hezonja (drawn by T. Jones),,77-73,,
10:54.0,T. Jones makes free throw 1 of 2,1,78-73,,
10:54.0,T. Jones makes free throw 2 of 2,1,79-73,,
10:37.0,,,79-76,3,M. Hezonja makes 3-pt shot from 26 ft (assist by D. Augustin)
10:15.0,Turnover by J. Crawford (lost ball; steal by W. Iwundu),,79-76,,
10:11.0,,,79-78,2,W. Iwundu makes 2-pt shot from 2 ft
9:53.0,J. Butler makes 2-pt shot from 14 ft,2,81-78,,
9:41.0,,,81-80,2,D. Augustin makes 2-pt shot from 3 ft
9:41.0,Minnesota full timeout,,81-80,,
9:24.0,G. Dieng misses 2-pt shot from 2 ft (block by K. Birch),,81-80,,
9:20.0,Offensive rebound by G. Dieng,,81-80,,
9:19.0,G. Dieng misses 2-pt shot from 4 ft (block by K. Birch),,81-80,,
9:19.0,,,81-80,,Defensive rebound by S. Mack
9:12.0,,,81-80,,M. Hezonja misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by G. Dieng,,81-80,,
8:54.0,K. Towns misses 2-pt shot from 12 ft,,81-80,,
8:53.0,Offensive rebound by J. Butler,,81-80,,
8:53.0,Shooting foul by W. Iwundu (drawn by J. Butler),,81-80,,
8:53.0,J. Butler makes free throw 1 of 2,1,82-80,,
8:53.0,,,82-80,,A. Gordon enters the game for W. Iwundu
8:53.0,T. Gibson enters the game for G. Dieng,,82-80,,
8:53.0,J. Butler makes free throw 2 of 2,1,83-80,,
8:28.0,,,83-82,2,D. Augustin makes 2-pt shot from 10 ft
8:05.0,J. Crawford misses 2-pt shot from 18 ft,,83-82,,
8:01.0,,,83-82,,Defensive rebound by K. Birch
7:56.0,,,83-82,,Offensive foul by K. Birch (drawn by K. Towns)
7:56.0,,,83-82,,Turnover by K. Birch (offensive foul)
7:45.0,T. Jones misses 3-pt shot from 24 ft,,83-82,,
7:42.0,,,83-82,,Defensive rebound by K. Birch
7:35.0,,,83-84,2,M. Hezonja makes 2-pt shot from 3 ft (assist by S. Mack)
7:08.0,J. Crawford misses 3-pt shot from 23 ft,,83-84,,
7:06.0,,,83-84,,Defensive rebound by D. Augustin
7:05.0,,,83-84,,E. Fournier enters the game for S. Mack
7:05.0,,,83-84,,J. Simmons enters the game for M. Hezonja
7:05.0,J. Teague enters the game for T. Jones,,83-84,,
7:01.0,,,83-86,2,J. Simmons makes 2-pt shot from 2 ft (assist by E. Fournier)
6:42.0,J. Butler makes 2-pt shot from 5 ft,2,85-86,,
6:27.0,,,85-89,3,E. Fournier makes 3-pt shot from 23 ft (assist by D. Augustin)
6:06.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,87-89,,
5:48.0,,,87-89,,J. Simmons misses 3-pt shot from 23 ft
5:45.0,Defensive rebound by T. Gibson,,87-89,,
5:37.0,J. Teague misses 2-pt shot from 6 ft,,87-89,,
5:37.0,,,87-89,,Defensive rebound by D. Augustin
5:37.0,Personal foul by K. Towns (drawn by D. Augustin),,87-89,,
5:37.0,A. Wiggins enters the game for J. Crawford,,87-89,,
5:16.0,,,87-89,,Turnover by A. Gordon (lost ball; steal by T. Gibson)
5:04.0,K. Towns misses 2-pt shot from 5 ft,,87-89,,
5:02.0,,,87-89,,Defensive rebound by A. Gordon
4:38.0,,,87-91,2,K. Birch makes 2-pt shot from 1 ft (assist by D. Augustin)
4:21.0,J. Butler misses 2-pt shot from 12 ft,,87-91,,
4:18.0,,,87-91,,Defensive rebound by K. Birch
4:15.0,,,87-91,,E. Fournier misses 3-pt shot from 25 ft
4:15.0,,,87-91,,Offensive rebound by A. Gordon
4:07.0,,,87-94,3,D. Augustin makes 3-pt shot from 26 ft (assist by J. Simmons)
4:05.0,Minnesota full timeout,,87-94,,
4:05.0,,,87-94,,B. Biyombo enters the game for K. Birch
3:54.0,Shooting foul by A. Gordon (drawn by J. Butler),,87-94,,
3:54.0,J. Butler makes free throw 1 of 2,1,88-94,,
3:54.0,J. Butler makes free throw 2 of 2,1,89-94,,
3:41.0,Personal foul by J. Teague (drawn by B. Biyombo),,89-94,,
3:36.0,Violation by J. Teague (kicked ball),,89-94,,
3:31.0,,,89-94,,Shooting foul by T. Gibson (drawn by A. Gordon)
3:31.0,,,89-95,1,A. Gordon makes free throw 1 of 2
3:31.0,,,89-96,1,A. Gordon makes free throw 2 of 2
3:15.0,J. Butler makes 3-pt shot from 23 ft (assist by K. Towns),3,92-96,,
3:03.0,,,92-96,,E. Fournier misses 3-pt shot from 27 ft
3:02.0,,,92-96,,Offensive rebound by Team
3:02.0,Loose ball foul by T. Gibson (drawn by B. Biyombo),,92-96,,
2:51.0,,,92-98,2,E. Fournier makes 2-pt shot from 3 ft
2:25.0,J. Teague misses 3-pt shot from 27 ft,,92-98,,
2:25.0,Offensive rebound by Team,,92-98,,
2:25.0,Turnover by Team (shot clock),,92-98,,
2:10.0,,,92-98,,Shooting foul by J. Teague (drawn by D. Augustin)
2:10.0,,,92-99,1,D. Augustin makes free throw 1 of 3
2:10.0,,,92-100,1,D. Augustin makes free throw 2 of 3
2:10.0,,,92-101,1,D. Augustin makes free throw 3 of 3
2:05.0,J. Teague makes 3-pt shot from 25 ft,3,95-101,,
1:43.0,,,95-103,2,B. Biyombo makes 2-pt shot from 9 ft (assist by E. Fournier)
