time,Charlotte,pts.away,score,pts.home,Atlanta
1:18.0,D. Howard makes 2-pt shot from 20 ft (assist by N. Batum),2,55-52,,
1:04.0,,,55-52,,T. Dorsey misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by D. Howard,,55-52,,
0:51.0,D. Howard makes 2-pt shot from 1 ft (assist by M. Williams),2,57-52,,
0:37.0,,,57-52,,T. Dorsey misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by N. Batum,,57-52,,
0:28.0,N. Batum makes 3-pt shot from 24 ft,3,60-52,,
0:08.0,,,60-55,3,D. Lee makes 3-pt shot from 22 ft (assist by T. Dorsey)
0:01.0,K. Walker makes 3-pt shot from 25 ft,3,63-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,63-55,,D. Schroder misses 2-pt shot from 20 ft (block by D. Howard)
11:35.0,,,63-55,,Offensive rebound by Team
11:35.0,,,63-55,,Turnover by Team (shot clock)
11:16.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,65-55,,
11:07.0,,,65-55,,Offensive foul by D. Dedmon (drawn by K. Walker)
11:07.0,,,65-55,,Turnover by D. Dedmon (offensive foul)
10:48.0,D. Howard misses 2-pt shot from 21 ft,,65-55,,
10:44.0,,,65-55,,Defensive rebound by J. Collins
10:39.0,,,65-55,,Turnover by D. Schroder (bad pass; steal by K. Walker)
10:31.0,K. Walker misses 2-pt shot from 12 ft,,65-55,,
10:26.0,,,65-55,,Defensive rebound by J. Collins
10:21.0,,,65-55,,D. Schroder misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by D. Howard,,65-55,,
10:10.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,68-55,,
9:49.0,,,68-55,,T. Waller-Prince misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by D. Howard,,68-55,,
9:40.0,D. Howard makes 2-pt shot from 1 ft,2,70-55,,
9:40.0,,,70-55,,Atlanta full timeout
9:40.0,Technical foul by D. Howard,,70-55,,
9:40.0,,,70-56,1,D. Schroder makes technical free throw
9:20.0,,,70-56,,D. Schroder misses 2-pt shot at rim (block by D. Howard)
