time,Memphis,pts.away,score,pts.home,Chicago
2:45.0,Shooting foul by C. Felicio (drawn by M. Gasol),,16-22,,
2:45.0,,,16-22,,Chicago full timeout
2:45.0,,,16-22,,N. Vonleh enters the game for L. Markkanen
2:45.0,I. Rabb enters the game for J. Green,,16-22,,
2:45.0,M. Gasol makes free throw 1 of 2,1,17-22,,
2:45.0,M. Gasol makes free throw 2 of 2,1,18-22,,
2:26.0,,,18-22,,Turnover by Z. LaVine (bad pass; steal by K. Simmons)
2:23.0,K. Simmons makes 2-pt shot at rim,2,20-22,,
2:12.0,,,20-22,,N. Vonleh misses 3-pt shot from 26 ft
2:12.0,,,20-22,,Offensive rebound by Team
2:12.0,Loose ball foul by D. Brooks (drawn by D. Valentine),,20-22,,
2:12.0,D. Davis enters the game for W. Selden,,20-22,,
2:12.0,B. McLemore enters the game for M. Gasol,,20-22,,
2:12.0,,,20-22,,D. Nwaba enters the game for Z. LaVine
1:52.0,,,20-22,,N. Vonleh misses 2-pt shot from 2 ft
1:50.0,Defensive rebound by D. Davis,,20-22,,
1:40.0,Turnover by K. Simmons (bad pass),,20-22,,
1:30.0,,,20-25,3,N. Vonleh makes 3-pt shot from 24 ft (assist by D. Valentine)
1:20.0,Turnover by B. McLemore (bad pass; steal by N. Vonleh),,20-25,,
1:17.0,,,20-25,,D. Valentine misses 2-pt shot from 3 ft (block by D. Davis)
1:17.0,,,20-25,,Offensive rebound by Team
1:15.0,,,20-28,3,N. Vonleh makes 3-pt shot from 23 ft (assist by C. Payne)
0:51.0,D. Brooks makes 2-pt shot from 16 ft,2,22-28,,
0:46.0,Loose ball foul by K. Simmons (drawn by C. Payne),,22-28,,
0:46.0,J. Green enters the game for I. Rabb,,22-28,,
0:39.0,,,22-28,,D. Valentine misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by Team,,22-28,,
0:27.0,D. Brooks misses 2-pt shot from 2 ft,,22-28,,
0:25.0,,,22-28,,Defensive rebound by D. Valentine
0:05.0,,,22-30,2,C. Payne makes 2-pt shot from 2 ft (assist by D. Valentine)
0:00.0,D. Brooks misses 3-pt shot from 26 ft,,22-30,,
0:00.0,Offensive rebound by Team,,22-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,22-32,2,N. Vonleh makes 2-pt shot from 2 ft (assist by C. Payne)
11:22.0,B. McLemore makes 2-pt shot from 3 ft,2,24-32,,
11:06.0,,,24-32,,Turnover by C. Payne (lost ball; steal by D. Davis)
11:01.0,K. Simmons misses 2-pt shot from 3 ft,,24-32,,
10:55.0,Offensive rebound by J. Green,,24-32,,
10:54.0,J. Green makes 2-pt shot from 1 ft,2,26-32,,
10:41.0,,,26-32,,D. Valentine misses 2-pt shot from 17 ft
10:38.0,Defensive rebound by M. Henry,,26-32,,
10:29.0,D. Davis makes 2-pt shot from 1 ft (assist by J. Green),2,28-32,,
10:11.0,,,28-32,,D. Valentine misses 2-pt shot from 20 ft
10:11.0,,,28-32,,Offensive rebound by Team
10:11.0,Loose ball foul by B. McLemore (drawn by C. Felicio),,28-32,,
10:11.0,,,28-32,,B. Portis enters the game for C. Felicio
10:05.0,,,28-32,,Shooting foul by D. Davis (drawn by B. Portis)
10:05.0,,,28-33,1,B. Portis makes free throw 1 of 2
10:05.0,,,28-34,1,B. Portis makes free throw 2 of 2
9:48.0,M. Henry makes 2-pt shot from 1 ft,2,30-34,,
9:48.0,Shooting foul by B. Portis (drawn by M. Henry),,30-34,,
9:48.0,M. Henry makes free throw 1 of 1,1,31-34,,
9:35.0,Def 3 sec tech foul by B. McLemore,,31-34,,
9:35.0,,,31-35,1,D. Valentine makes technical free throw
9:29.0,,,31-37,2,C. Payne makes 2-pt shot from 16 ft
9:20.0,Turnover by K. Simmons (bad pass),,31-37,,
9:03.0,,,31-37,,Shooting foul by D. Davis (drawn by D. Nwaba)
9:03.0,,,31-38,1,D. Nwaba makes free throw 1 of 2
9:03.0,I. Rabb enters the game for D. Davis,,31-38,,
9:03.0,,,31-38,,D. Nwaba misses free throw 2 of 2
9:01.0,Defensive rebound by I. Rabb,,31-38,,
8:50.0,,,31-38,,Def 3 sec tech foul by N. Vonleh
8:50.0,B. McLemore misses technical free throw,,31-38,,
8:50.0,Offensive rebound by Team,,31-38,,
8:37.0,Turnover by B. McLemore (lost ball; steal by C. Payne),,31-38,,
8:35.0,,,31-38,,Shooting foul by K. Simmons (drawn by C. Payne)
8:35.0,,,31-39,1,C. Payne makes free throw 1 of 2
8:35.0,,,31-39,,C. Payne misses free throw 2 of 2
8:32.0,Defensive rebound by B. McLemore,,31-39,,
8:14.0,Shooting foul by C. Payne (drawn by B. McLemore),,31-39,,
8:14.0,B. McLemore makes free throw 1 of 2,1,32-39,,
8:14.0,,,32-39,,K. Dunn enters the game for C. Payne
8:14.0,X. Rathan-Mayes enters the game for K. Simmons,,32-39,,
8:14.0,B. McLemore makes free throw 2 of 2,1,33-39,,
7:53.0,,,33-39,,Offensive foul by B. Portis (drawn by I. Rabb)
7:53.0,,,33-39,,Turnover by B. Portis (offensive foul)
7:39.0,M. Henry misses 2-pt shot from 1 ft,,33-39,,
7:37.0,,,33-39,,Defensive rebound by B. Portis
7:22.0,,,33-41,2,B. Portis makes 2-pt shot from 4 ft
7:18.0,,,33-41,,Z. LaVine enters the game for N. Vonleh
7:18.0,,,33-41,,L. Markkanen enters the game for D. Valentine
7:11.0,X. Rathan-Mayes misses 2-pt shot from 20 ft,,33-41,,
7:06.0,Offensive rebound by B. McLemore,,33-41,,
7:04.0,B. McLemore misses 3-pt shot from 22 ft,,33-41,,
7:00.0,Offensive rebound by B. McLemore,,33-41,,
6:59.0,Turnover by B. McLemore (bad pass; steal by B. Portis),,33-41,,
6:56.0,Personal foul by X. Rathan-Mayes (drawn by K. Dunn),,33-41,,
6:56.0,,,33-41,,Chicago full timeout
6:56.0,W. Selden enters the game for M. Henry,,33-41,,
6:56.0,M. Gasol enters the game for I. Rabb,,33-41,,
6:56.0,,,33-41,,K. Dunn misses free throw 1 of 2
6:56.0,,,33-41,,Offensive rebound by Team
6:56.0,,,33-42,1,K. Dunn makes free throw 2 of 2
6:36.0,Shooting foul by L. Markkanen (drawn by M. Gasol),,33-42,,
6:36.0,M. Gasol makes free throw 1 of 2,1,34-42,,
6:36.0,M. Gasol misses free throw 2 of 2,,34-42,,
6:33.0,,,34-42,,Defensive rebound by B. Portis
6:17.0,,,34-42,,Z. LaVine misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by J. Green,,34-42,,
5:58.0,M. Gasol makes 2-pt shot from 7 ft,2,36-42,,
5:45.0,,,36-44,2,L. Markkanen makes 2-pt shot from 8 ft (assist by K. Dunn)
5:26.0,Turnover by W. Selden (bad pass; steal by L. Markkanen),,36-44,,
5:24.0,,,36-44,,L. Markkanen misses 2-pt shot from 1 ft
5:23.0,,,36-44,,Offensive rebound by B. Portis
5:22.0,,,36-46,2,B. Portis makes 2-pt shot at rim
5:05.0,Turnover by X. Rathan-Mayes (lost ball; steal by B. Portis),,36-46,,
5:03.0,,,36-48,2,D. Nwaba makes 2-pt shot at rim (assist by B. Portis)
5:03.0,Memphis full timeout,,36-48,,
5:03.0,D. Brooks enters the game for X. Rathan-Mayes,,36-48,,
4:51.0,B. McLemore makes 3-pt shot from 23 ft (assist by M. Gasol),3,39-48,,
4:36.0,,,39-50,2,K. Dunn makes 2-pt shot from 13 ft (assist by Z. LaVine)
4:31.0,Turnover by M. Gasol (bad pass),,39-50,,
4:12.0,,,39-50,,Z. LaVine misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by M. Gasol,,39-50,,
4:07.0,W. Selden makes 2-pt shot from 1 ft (assist by M. Gasol),2,41-50,,
4:05.0,,,41-50,,Turnover by K. Dunn (bad pass; steal by B. McLemore)
3:52.0,Shooting foul by D. Nwaba (drawn by D. Brooks),,41-50,,
3:52.0,D. Brooks makes free throw 1 of 2,1,42-50,,
3:52.0,,,42-50,,D. Valentine enters the game for D. Nwaba
3:52.0,D. Brooks makes free throw 2 of 2,1,43-50,,
3:37.0,,,43-53,3,B. Portis makes 3-pt shot from 25 ft (assist by Z. LaVine)
3:23.0,B. McLemore makes 2-pt shot from 13 ft (assist by M. Gasol),2,45-53,,
3:03.0,,,45-53,,Shooting foul by M. Gasol (drawn by Z. LaVine)
3:03.0,,,45-53,,Z. LaVine misses free throw 1 of 2
3:03.0,,,45-53,,Offensive rebound by Team
3:03.0,M. Henry enters the game for D. Brooks,,45-53,,
3:03.0,,,45-53,,Z. LaVine misses free throw 2 of 2
3:00.0,Defensive rebound by J. Green,,45-53,,
2:47.0,B. McLemore misses 2-pt shot from 2 ft,,45-53,,
2:45.0,,,45-53,,Defensive rebound by K. Dunn
2:43.0,,,45-55,2,Z. LaVine makes 2-pt shot at rim (assist by K. Dunn)
2:34.0,W. Selden misses 3-pt shot from 27 ft,,45-55,,
2:34.0,,,45-55,,Defensive rebound by L. Markkanen
2:11.0,,,45-55,,Z. LaVine misses 2-pt shot from 17 ft
2:08.0,Defensive rebound by J. Green,,45-55,,
2:01.0,,,45-55,,C. Felicio enters the game for B. Portis
2:01.0,,,45-55,,C. Payne enters the game for K. Dunn
1:52.0,M. Gasol misses 2-pt shot from 12 ft,,45-55,,
1:49.0,,,45-55,,Defensive rebound by Z. LaVine
1:43.0,,,45-57,2,Z. LaVine makes 2-pt shot at rim
1:37.0,W. Selden misses 2-pt shot from 3 ft,,45-57,,
1:37.0,Offensive rebound by J. Green,,45-57,,
1:32.0,J. Green makes 2-pt shot at rim,2,47-57,,
1:19.0,Personal foul by B. McLemore (drawn by Z. LaVine),,47-57,,
1:19.0,,,47-58,1,Z. LaVine makes free throw 1 of 2
1:19.0,X. Rathan-Mayes enters the game for B. McLemore,,47-58,,
1:19.0,,,47-59,1,Z. LaVine makes free throw 2 of 2
0:59.0,Turnover by X. Rathan-Mayes (step out of bounds),,47-59,,
0:46.0,,,47-61,2,L. Markkanen makes 2-pt shot at rim (assist by C. Payne)
0:33.0,W. Selden makes 2-pt shot from 1 ft (assist by X. Rathan-Mayes),2,49-61,,
0:19.0,,,49-61,,Shooting foul by M. Gasol (drawn by L. Markkanen)
0:19.0,,,49-62,1,L. Markkanen makes free throw 1 of 3
0:19.0,,,49-63,1,L. Markkanen makes free throw 2 of 3
0:19.0,,,49-63,,D. Nwaba enters the game for Z. LaVine
0:19.0,,,49-64,1,L. Markkanen makes free throw 3 of 3
0:06.0,X. Rathan-Mayes makes 2-pt shot from 1 ft,2,51-64,,
0:00.0,,,51-64,,D. Valentine misses 2-pt shot from 16 ft
0:00.0,,,51-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,51-64,,Turnover by K. Dunn (bad pass; steal by B. McLemore)
11:44.0,,,51-64,,Personal foul by B. Portis (drawn by B. McLemore)
11:28.0,M. Gasol misses 2-pt shot from 4 ft,,51-64,,
11:26.0,,,51-64,,Defensive rebound by J. Holiday
11:22.0,,,51-66,2,L. Markkanen makes 2-pt shot from 1 ft (assist by J. Holiday)
10:58.0,D. Brooks makes 3-pt shot from 25 ft (assist by M. Gasol),3,54-66,,
10:46.0,,,54-66,,Turnover by K. Dunn (out of bounds lost ball)
10:31.0,K. Simmons misses 2-pt shot from 18 ft,,54-66,,
10:27.0,,,54-66,,Defensive rebound by J. Holiday
10:20.0,,,54-66,,B. Portis misses 3-pt shot from 22 ft
10:18.0,Defensive rebound by B. McLemore,,54-66,,
10:10.0,Turnover by B. McLemore (bad pass; steal by K. Dunn),,54-66,,
10:05.0,,,54-66,,L. Markkanen misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by B. McLemore,,54-66,,
9:53.0,D. Brooks makes 2-pt shot at rim (assist by K. Simmons),2,56-66,,
9:39.0,,,56-68,2,Z. LaVine makes 2-pt shot at rim (assist by K. Dunn)
9:22.0,D. Brooks misses 2-pt shot at rim,,56-68,,
9:20.0,,,56-68,,Defensive rebound by B. Portis
9:13.0,,,56-68,,K. Dunn misses 2-pt shot from 13 ft
9:11.0,Defensive rebound by M. Gasol,,56-68,,
9:04.0,K. Simmons makes 2-pt shot from 3 ft,2,58-68,,
8:55.0,,,58-68,,Z. LaVine misses 2-pt shot from 3 ft
8:55.0,,,58-68,,Offensive rebound by B. Portis
8:54.0,,,58-68,,B. Portis misses 2-pt shot at rim
8:54.0,,,58-68,,Offensive rebound by B. Portis
8:54.0,,,58-68,,Offensive charge foul by B. Portis (drawn by B. McLemore)
8:54.0,,,58-68,,Turnover by B. Portis (offensive foul)
8:54.0,,,58-68,,C. Felicio enters the game for B. Portis
8:44.0,M. Gasol misses 3-pt shot from 26 ft,,58-68,,
8:44.0,,,58-68,,Defensive rebound by L. Markkanen
8:34.0,,,58-71,3,J. Holiday makes 3-pt shot from 23 ft (assist by Z. LaVine)
8:15.0,B. McLemore misses 3-pt shot from 24 ft,,58-71,,
8:15.0,,,58-71,,Defensive rebound by C. Felicio
7:58.0,,,58-71,,Shooting foul by M. Gasol (drawn by C. Felicio)
7:58.0,,,58-72,1,C. Felicio makes free throw 1 of 2
7:58.0,,,58-72,,C. Felicio misses free throw 2 of 2
7:55.0,Defensive rebound by M. Gasol,,58-72,,
7:45.0,,,58-72,,Personal foul by J. Holiday (drawn by D. Brooks)
7:40.0,J. Green misses 2-pt shot from 20 ft,,58-72,,
7:38.0,,,58-72,,Defensive rebound by Team
7:38.0,Loose ball foul by K. Simmons (drawn by K. Dunn),,58-72,,
7:32.0,,,58-75,3,L. Markkanen makes 3-pt shot from 26 ft (assist by K. Dunn)
7:07.0,M. Gasol misses 2-pt shot from 16 ft,,58-75,,
7:07.0,Offensive rebound by B. McLemore,,58-75,,
7:03.0,B. McLemore misses 2-pt shot from 19 ft,,58-75,,
7:01.0,,,58-75,,Defensive rebound by C. Felicio
6:53.0,,,58-77,2,K. Dunn makes 2-pt shot from 1 ft
6:53.0,Memphis full timeout,,58-77,,
6:53.0,M. Henry enters the game for J. Green,,58-77,,
6:53.0,X. Rathan-Mayes enters the game for K. Simmons,,58-77,,
6:53.0,I. Rabb enters the game for D. Brooks,,58-77,,
6:34.0,X. Rathan-Mayes misses 2-pt shot from 15 ft,,58-77,,
6:31.0,,,58-77,,Defensive rebound by J. Holiday
6:25.0,,,58-77,,Turnover by J. Holiday (bad pass; steal by X. Rathan-Mayes)
6:16.0,M. Gasol misses 3-pt shot from 26 ft,,58-77,,
6:13.0,Offensive rebound by I. Rabb,,58-77,,
6:00.0,B. McLemore makes 3-pt shot from 26 ft (assist by M. Gasol),3,61-77,,
5:45.0,,,61-79,2,L. Markkanen makes 2-pt shot at rim (assist by K. Dunn)
5:45.0,,,61-79,,Shooting foul by I. Rabb (drawn by L. Markkanen)
5:45.0,,,61-80,1,L. Markkanen makes free throw 1 of 1
5:27.0,M. Henry misses 3-pt shot from 22 ft,,61-80,,
5:23.0,,,61-80,,Defensive rebound by C. Felicio
5:13.0,,,61-82,2,J. Holiday makes 2-pt shot at rim (assist by K. Dunn)
4:54.0,,,61-82,,Personal foul by J. Holiday (drawn by X. Rathan-Mayes)
4:50.0,,,61-82,,Personal foul by C. Felicio (drawn by M. Gasol)
4:41.0,,,61-82,,Personal foul by Z. LaVine (drawn by M. Gasol)
4:41.0,M. Gasol makes free throw 1 of 2,1,62-82,,
4:41.0,M. Gasol makes free throw 2 of 2,1,63-82,,
4:31.0,,,63-82,,K. Dunn misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by M. Gasol,,63-82,,
4:20.0,Shooting foul by K. Dunn (drawn by B. McLemore),,63-82,,
4:20.0,B. McLemore makes free throw 1 of 2,1,64-82,,
4:20.0,B. McLemore makes free throw 2 of 2,1,65-82,,
4:03.0,,,65-82,,Turnover by K. Dunn (bad pass; steal by I. Rabb)
3:53.0,X. Rathan-Mayes misses 3-pt shot from 25 ft,,65-82,,
3:50.0,,,65-82,,Defensive rebound by Z. LaVine
3:39.0,,,65-82,,Turnover by J. Holiday (lost ball; steal by M. Henry)
3:19.0,M. Gasol misses 2-pt shot from 5 ft,,65-82,,
3:17.0,Offensive rebound by M. Gasol,,65-82,,
3:17.0,,,65-82,,Personal foul by C. Felicio (drawn by M. Gasol)
3:17.0,M. Gasol makes free throw 1 of 2,1,66-82,,
3:17.0,,,66-82,,D. Valentine enters the game for J. Holiday
3:17.0,W. Selden enters the game for B. McLemore,,66-82,,
3:17.0,M. Gasol makes free throw 2 of 2,1,67-82,,
2:59.0,,,67-85,3,L. Markkanen makes 3-pt shot from 25 ft (assist by D. Valentine)
2:45.0,M. Gasol makes 3-pt shot from 26 ft (assist by X. Rathan-Mayes),3,70-85,,
2:27.0,,,70-87,2,Z. LaVine makes 2-pt shot from 3 ft
2:15.0,M. Gasol misses 3-pt shot from 25 ft,,70-87,,
2:13.0,,,70-87,,Defensive rebound by C. Felicio
2:10.0,,,70-87,,K. Dunn misses 3-pt shot from 25 ft
2:05.0,,,70-87,,Offensive rebound by L. Markkanen
1:58.0,,,70-89,2,Z. LaVine makes 2-pt shot at rim
1:37.0,M. Henry makes 2-pt shot from 1 ft (assist by M. Gasol),2,72-89,,
1:27.0,Personal foul by X. Rathan-Mayes (drawn by K. Dunn),,72-89,,
1:27.0,,,72-89,,Chicago full timeout
1:27.0,,,72-89,,D. Nwaba enters the game for Z. LaVine
1:27.0,,,72-89,,C. Payne enters the game for L. Markkanen
1:27.0,,,72-89,,N. Vonleh enters the game for K. Dunn
1:27.0,D. Brooks enters the game for M. Henry,,72-89,,
1:27.0,D. Davis enters the game for M. Gasol,,72-89,,
1:18.0,,,72-89,,D. Valentine misses 3-pt shot from 24 ft
1:14.0,,,72-89,,Offensive rebound by C. Felicio
1:14.0,Personal foul by D. Brooks (drawn by N. Vonleh),,72-89,,
1:14.0,,,72-89,,N. Vonleh misses free throw 1 of 2
1:14.0,,,72-89,,Offensive rebound by Team
1:14.0,,,72-90,1,N. Vonleh makes free throw 2 of 2
1:01.0,W. Selden makes 3-pt shot from 24 ft (assist by D. Davis),3,75-90,,
0:42.0,,,75-90,,Turnover by C. Payne (step out of bounds)
0:29.0,X. Rathan-Mayes misses 2-pt shot from 7 ft,,75-90,,
0:27.0,,,75-90,,Defensive rebound by C. Felicio
0:03.0,,,75-90,,C. Payne misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by D. Brooks,,75-90,,
0:00.0,D. Brooks misses 3-pt shot from 52 ft,,75-90,,
0:00.0,Offensive rebound by Team,,75-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,X. Rathan-Mayes makes 2-pt shot from 21 ft,2,77-90,,
11:27.0,,,77-90,,D. Valentine misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by K. Simmons,,77-90,,
11:19.0,Shooting foul by N. Vonleh (drawn by D. Brooks),,77-90,,
11:19.0,D. Brooks makes free throw 1 of 2,1,78-90,,
11:19.0,D. Brooks makes free throw 2 of 2,1,79-90,,
11:05.0,,,79-90,,D. Nwaba misses 2-pt shot from 4 ft (block by X. Rathan-Mayes)
11:02.0,Defensive rebound by X. Rathan-Mayes,,79-90,,
11:02.0,Memphis full timeout,,79-90,,
10:57.0,Turnover by Team (turnover),,79-90,,
10:50.0,,,79-92,2,C. Payne makes 2-pt shot from 6 ft
10:32.0,K. Simmons misses 2-pt shot from 11 ft,,79-92,,
10:26.0,,,79-92,,Defensive rebound by N. Vonleh
10:19.0,,,79-92,,Turnover by C. Payne (step out of bounds)
10:07.0,D. Davis makes 2-pt shot from 2 ft (assist by B. McLemore),2,81-92,,
9:55.0,Personal foul by D. Davis (drawn by B. Portis),,81-92,,
9:52.0,,,81-92,,Turnover by D. Nwaba (bad pass; steal by K. Simmons)
9:48.0,K. Simmons makes 2-pt shot at rim,2,83-92,,
9:27.0,,,83-92,,C. Payne misses 2-pt shot from 7 ft (block by K. Simmons)
9:27.0,,,83-92,,Offensive rebound by C. Payne
9:25.0,,,83-92,,C. Payne misses 2-pt shot from 1 ft
9:25.0,,,83-92,,Offensive rebound by D. Nwaba
9:23.0,,,83-94,2,D. Nwaba makes 2-pt shot at rim
9:10.0,X. Rathan-Mayes makes 2-pt shot from 1 ft,2,85-94,,
8:58.0,,,85-94,,Turnover by D. Valentine (lost ball; steal by B. McLemore)
8:43.0,D. Brooks makes 2-pt shot from 21 ft,2,87-94,,
8:43.0,,,87-94,,Chicago full timeout
8:43.0,,,87-94,,K. Dunn enters the game for C. Payne
8:28.0,,,87-94,,D. Valentine misses 3-pt shot from 25 ft
8:27.0,,,87-94,,Offensive rebound by Team
8:27.0,Loose ball foul by X. Rathan-Mayes (drawn by D. Nwaba),,87-94,,
8:22.0,,,87-94,,B. Portis misses 3-pt shot from 26 ft
8:21.0,,,87-94,,Offensive rebound by Team
8:21.0,Loose ball foul by K. Simmons (drawn by D. Nwaba),,87-94,,
8:16.0,,,87-94,,Offensive foul by K. Dunn (drawn by D. Brooks)
8:16.0,,,87-94,,Turnover by K. Dunn (offensive foul)
8:00.0,K. Simmons misses 2-pt shot from 9 ft,,87-94,,
7:59.0,Offensive rebound by D. Davis,,87-94,,
7:55.0,D. Brooks makes 3-pt shot from 26 ft (assist by D. Davis),3,90-94,,
7:44.0,Personal foul by B. McLemore (drawn by K. Dunn),,90-94,,
7:44.0,,,90-94,,L. Markkanen enters the game for N. Vonleh
7:39.0,,,90-94,,K. Dunn misses 2-pt shot at rim
7:37.0,Defensive rebound by D. Davis,,90-94,,
7:29.0,D. Brooks makes 3-pt shot from 24 ft (assist by X. Rathan-Mayes),3,93-94,,
7:00.0,,,93-96,2,B. Portis makes 2-pt shot from 2 ft (assist by D. Valentine)
6:46.0,D. Brooks makes 2-pt shot from 13 ft,2,95-96,,
6:28.0,,,95-96,,K. Dunn misses 3-pt shot from 25 ft
6:28.0,,,95-96,,Offensive rebound by D. Nwaba
6:21.0,,,95-98,2,B. Portis makes 2-pt shot from 1 ft (assist by D. Nwaba)
6:09.0,X. Rathan-Mayes misses 2-pt shot from 7 ft (block by K. Dunn),,95-98,,
6:09.0,Offensive rebound by K. Simmons,,95-98,,
6:05.0,,,95-98,,Z. LaVine enters the game for D. Valentine
5:58.0,Turnover by B. McLemore (lost ball; steal by Z. LaVine),,95-98,,
5:49.0,,,95-98,,L. Markkanen misses 3-pt shot from 22 ft
5:45.0,Jump ball: B. Portis vs. K. Simmons (L. Markkanen gains possession),,,,Jump ball: B. Portis vs. K. Simmons (L. Markkanen gains possession)
5:45.0,,,95-98,,Offensive rebound by Team
5:36.0,,,95-98,,Shooting foul by D. Davis (drawn by K. Dunn)
5:36.0,,,95-98,,K. Dunn misses free throw 1 of 2
