time,New York,pts.away,score,pts.home,Orlando
6:13.0,,,45-56,2,S. Mack makes 2-pt shot from 2 ft (assist by A. Afflalo)
5:55.0,T. Burke makes 3-pt shot from 26 ft (assist by T. Hardaway),3,48-56,,
5:36.0,,,48-58,2,J. Simmons makes 2-pt shot from 6 ft
5:19.0,M. Beasley makes 2-pt shot from 21 ft (assist by L. Kornet),2,50-58,,
5:00.0,,,50-58,,J. Simmons misses 2-pt shot from 7 ft (block by M. Beasley)
5:00.0,Defensive rebound by Team,,50-58,,
4:52.0,T. Hardaway misses 2-pt shot from 18 ft,,50-58,,
4:50.0,Offensive rebound by L. Kornet,,50-58,,
4:50.0,L. Kornet misses 2-pt shot at rim,,50-58,,
4:50.0,Offensive rebound by Team,,50-58,,
4:50.0,,,50-58,,A. Gordon enters the game for A. Afflalo
4:48.0,T. Burke makes 2-pt shot from 16 ft (assist by T. Hardaway),2,52-58,,
4:35.0,,,52-58,,Turnover by S. Mack (lost ball; steal by M. Beasley)
4:29.0,F. Ntilikina makes 2-pt shot from 1 ft,2,54-58,,
4:12.0,,,54-58,,E. Fournier enters the game for S. Mack
4:12.0,,,54-58,,D. Augustin enters the game for M. Hezonja
4:12.0,,,54-58,,N. Vucevic enters the game for K. Birch
4:12.0,E. Mudiay enters the game for F. Ntilikina,,54-58,,
4:04.0,,,54-60,2,J. Simmons makes 2-pt shot from 8 ft
3:48.0,L. Kornet misses 3-pt shot from 27 ft,,54-60,,
3:48.0,,,54-60,,Defensive rebound by N. Vucevic
3:36.0,,,54-63,3,E. Fournier makes 3-pt shot from 22 ft (assist by J. Simmons)
3:35.0,New York full timeout,,54-63,,
3:20.0,M. Beasley makes 3-pt shot from 25 ft (assist by T. Burke),3,57-63,,
2:55.0,,,57-63,,A. Gordon misses 2-pt shot from 16 ft
2:54.0,Defensive rebound by Team,,57-63,,
2:44.0,L. Kornet misses 3-pt shot from 26 ft,,57-63,,
2:41.0,,,57-63,,Defensive rebound by D. Augustin
2:34.0,,,57-63,,N. Vucevic misses 2-pt shot from 15 ft
2:31.0,Defensive rebound by E. Mudiay,,57-63,,
2:17.0,L. Kornet misses 3-pt shot from 25 ft,,57-63,,
2:14.0,,,57-63,,Defensive rebound by A. Gordon
2:06.0,,,57-63,,A. Gordon misses 2-pt shot from 6 ft (block by M. Beasley)
2:03.0,Defensive rebound by E. Mudiay,,57-63,,
2:00.0,T. Hardaway makes 2-pt shot from 5 ft (assist by T. Burke),2,59-63,,
1:38.0,,,59-65,2,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Fournier)
1:25.0,T. Burke misses 2-pt shot from 13 ft,,59-65,,
1:20.0,Offensive rebound by L. Kornet,,59-65,,
1:20.0,L. Kornet misses 2-pt shot at rim,,59-65,,
1:19.0,Offensive rebound by E. Mudiay,,59-65,,
1:17.0,T. Burke misses 3-pt shot from 22 ft,,59-65,,
1:13.0,,,59-65,,Defensive rebound by E. Fournier
1:07.0,,,59-67,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier)
1:07.0,,,59-67,,Shooting foul by L. Kornet (drawn by N. Vucevic)
1:07.0,,,59-67,,N. Vucevic misses free throw 1 of 1
0:57.0,Defensive rebound by M. Beasley,,59-67,,
0:43.0,Turnover by M. Beasley (lost ball; steal by N. Vucevic),,59-67,,
0:39.0,,,59-69,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Fournier)
0:31.0,T. Burke makes 2-pt shot from 1 ft (assist by M. Beasley),2,61-69,,
