time,Brooklyn,pts.away,score,pts.home,Cleveland
3:28.0,R. Hollis-Jefferson makes free throw 1 of 2,1,20-15,,
3:28.0,R. Hollis-Jefferson misses free throw 2 of 2,,20-15,,
3:24.0,,,20-15,,Defensive rebound by L. Nance
3:08.0,,,20-15,,J. Clarkson misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by J. Harris,,20-15,,
2:53.0,D. Cunningham misses 2-pt shot from 21 ft,,20-15,,
2:50.0,,,20-15,,Defensive rebound by L. Nance
2:35.0,,,20-17,2,G. Hill makes 2-pt shot at rim (assist by L. James)
2:13.0,R. Hollis-Jefferson misses 2-pt shot from 14 ft,,20-17,,
2:13.0,,,20-17,,Defensive rebound by L. James
1:56.0,,,20-17,,R. Hood misses 2-pt shot from 9 ft
1:54.0,Defensive rebound by D. Cunningham,,20-17,,
1:37.0,A. Crabbe makes 2-pt shot from 6 ft (assist by S. Dinwiddie),2,22-17,,
1:22.0,,,22-19,2,R. Hood makes 2-pt shot from 15 ft (assist by G. Hill)
1:06.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,25-19,,
0:58.0,Personal foul by A. Crabbe (drawn by J. Clarkson),,25-19,,
0:58.0,,,25-19,,K. Korver enters the game for G. Hill
0:58.0,,,25-19,,C. Osman enters the game for L. James
0:58.0,D. Russell enters the game for S. Dinwiddie,,25-19,,
0:58.0,C. LeVert enters the game for A. Crabbe,,25-19,,
0:50.0,,,25-19,,C. Osman misses 2-pt shot from 1 ft
0:48.0,Defensive rebound by D. Cunningham,,25-19,,
0:42.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Harris),2,27-19,,
0:33.0,,,27-21,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
0:27.0,Shooting foul by J. Clarkson (drawn by R. Hollis-Jefferson),,27-21,,
0:27.0,R. Hollis-Jefferson makes free throw 1 of 2,1,28-21,,
0:27.0,R. Hollis-Jefferson misses free throw 2 of 2,,28-21,,
0:25.0,,,28-21,,Defensive rebound by C. Osman
0:06.0,,,28-23,2,J. Clarkson makes 2-pt shot from 13 ft
0:06.0,,,28-23,,Loose ball foul by L. Nance (drawn by D. Russell)
0:06.0,D. Russell makes free throw 1 of 2,1,29-23,,
0:06.0,D. Russell misses free throw 2 of 2,,29-23,,
0:05.0,,,29-23,,Defensive rebound by C. Osman
0:00.0,,,29-25,2,C. Osman makes 2-pt shot from 14 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,29-28,3,J. Clarkson makes 3-pt shot from 25 ft
11:20.0,Q. Acy misses 3-pt shot from 23 ft,,29-28,,
11:18.0,Offensive rebound by Team,,29-28,,
11:04.0,Turnover by D. Cunningham (turnover),,29-28,,
10:46.0,,,29-28,,R. Hood misses 2-pt shot from 11 ft
10:44.0,Defensive rebound by C. LeVert,,29-28,,
10:40.0,D. Russell makes 2-pt shot at rim,2,31-28,,
10:24.0,,,31-28,,K. Korver misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by D. Russell,,31-28,,
10:10.0,C. LeVert misses 3-pt shot from 26 ft,,31-28,,
10:07.0,,,31-28,,Defensive rebound by K. Korver
10:04.0,,,31-28,,Turnover by K. Korver (lost ball; steal by D. Russell)
10:02.0,Shooting foul by C. Osman (drawn by D. Russell),,31-28,,
10:02.0,D. Russell makes free throw 1 of 2,1,32-28,,
10:02.0,D. Russell makes free throw 2 of 2,1,33-28,,
9:53.0,,,33-28,,Shooting foul by D. Cunningham (drawn by R. Hood)
9:53.0,,,33-28,,R. Hood misses free throw 1 of 2
9:53.0,,,33-28,,Offensive rebound by Team
9:53.0,,,33-29,1,R. Hood makes free throw 2 of 2
9:47.0,Offensive foul by J. Harris (drawn by J. Clarkson),,33-29,,
9:47.0,Turnover by J. Harris (offensive foul),,33-29,,
9:33.0,,,33-29,,Turnover by C. Osman (lost ball; steal by Q. Acy)
9:33.0,Turnover by Q. Acy (lost ball; steal by C. Osman),,33-29,,
9:30.0,,,33-32,3,K. Korver makes 3-pt shot from 24 ft (assist by C. Osman)
9:16.0,Turnover by D. Russell (lost ball; steal by J. Clarkson),,33-32,,
9:16.0,Technical foul by Q. Acy (drawn by J. Clarkson),,33-32,,
9:16.0,,,33-32,,J. Clarkson misses flagrant free throw 1 of 2
9:16.0,,,33-32,,Offensive rebound by Team
9:16.0,,,33-32,,J. Clarkson misses flagrant free throw 2 of 2
9:16.0,,,33-32,,Offensive rebound by Team
9:08.0,,,33-34,2,J. Clarkson makes 2-pt shot from 13 ft
8:54.0,,,33-34,,Personal foul by R. Hood (drawn by J. Harris)
8:45.0,Shooting foul by C. Osman (drawn by C. LeVert),,33-34,,
8:45.0,C. LeVert makes free throw 1 of 2,1,34-34,,
8:45.0,,,34-34,,L. James enters the game for C. Osman
8:45.0,R. Hollis-Jefferson enters the game for Q. Acy,,34-34,,
8:45.0,C. LeVert makes free throw 2 of 2,1,35-34,,
8:30.0,,,35-34,,J. Clarkson misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by R. Hollis-Jefferson,,35-34,,
8:09.0,C. LeVert makes 2-pt shot from 1 ft,2,37-34,,
7:50.0,,,37-34,,L. Nance misses 2-pt shot from 2 ft
7:48.0,,,37-34,,Offensive rebound by L. Nance
7:46.0,,,37-37,3,K. Korver makes 3-pt shot from 25 ft (assist by L. Nance)
7:29.0,Shooting foul by R. Hood (drawn by C. LeVert),,37-37,,
7:29.0,C. LeVert makes free throw 1 of 2,1,38-37,,
7:29.0,J. Allen enters the game for D. Russell,,38-37,,
7:29.0,D. Carroll enters the game for D. Cunningham,,38-37,,
7:29.0,C. LeVert makes free throw 2 of 2,1,39-37,,
7:29.0,,,39-37,,J. Smith enters the game for R. Hood
7:18.0,,,39-40,3,K. Korver makes 3-pt shot from 26 ft (assist by J. Clarkson)
7:17.0,Brooklyn full timeout,,39-40,,
7:00.0,C. LeVert makes 2-pt shot at rim (assist by R. Hollis-Jefferson),2,41-40,,
6:44.0,,,41-43,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
6:28.0,Shooting foul by K. Korver (drawn by R. Hollis-Jefferson),,41-43,,
6:28.0,R. Hollis-Jefferson makes free throw 1 of 2,1,42-43,,
6:28.0,,,42-43,,T. Thompson enters the game for L. Nance
6:28.0,S. Dinwiddie enters the game for J. Harris,,42-43,,
6:28.0,R. Hollis-Jefferson makes free throw 2 of 2,1,43-43,,
6:28.0,Personal foul by S. Dinwiddie (drawn by T. Thompson),,43-43,,
6:28.0,Turnover by S. Dinwiddie (turnover),,43-43,,
6:21.0,,,43-43,,G. Hill enters the game for J. Clarkson
6:12.0,,,43-43,,K. Korver misses 2-pt shot from 18 ft
6:10.0,Defensive rebound by R. Hollis-Jefferson,,43-43,,
5:55.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,45-43,,
5:46.0,,,45-46,3,L. James makes 3-pt shot from 24 ft
5:31.0,C. LeVert misses 2-pt shot from 2 ft,,45-46,,
5:28.0,,,45-46,,Defensive rebound by T. Thompson
5:24.0,,,45-46,,Shooting foul by R. Hollis-Jefferson (drawn by T. Thompson)
5:24.0,,,45-46,,T. Thompson misses free throw 1 of 2
5:24.0,,,45-46,,Offensive rebound by Team
5:24.0,,,45-46,,T. Thompson misses free throw 2 of 2
5:22.0,Defensive rebound by J. Allen,,45-46,,
5:12.0,S. Dinwiddie misses 3-pt shot from 26 ft,,45-46,,
5:10.0,,,45-46,,Defensive rebound by L. James
5:04.0,,,45-46,,L. James misses 2-pt shot from 22 ft
5:01.0,Defensive rebound by C. LeVert,,45-46,,
4:57.0,Turnover by C. LeVert (bad pass; steal by G. Hill),,45-46,,
4:48.0,,,45-49,3,G. Hill makes 3-pt shot from 22 ft (assist by L. James)
4:46.0,Brooklyn full timeout,,45-49,,
4:46.0,A. Crabbe enters the game for C. LeVert,,45-49,,
4:26.0,S. Dinwiddie misses 2-pt shot from 11 ft,,45-49,,
4:23.0,,,45-49,,Defensive rebound by T. Thompson
4:18.0,,,45-49,,K. Korver misses 3-pt shot from 25 ft
4:16.0,Defensive rebound by A. Crabbe,,45-49,,
4:13.0,Turnover by A. Crabbe (lost ball; steal by G. Hill),,45-49,,
4:06.0,,,45-51,2,K. Korver makes 2-pt shot from 15 ft (assist by L. James)
3:51.0,,,45-51,,Personal foul by K. Korver (drawn by D. Carroll)
3:51.0,D. Carroll makes free throw 1 of 2,1,46-51,,
3:51.0,D. Russell enters the game for S. Dinwiddie,,46-51,,
3:51.0,D. Carroll misses free throw 2 of 2,,46-51,,
3:42.0,,,46-51,,Defensive rebound by J. Smith
3:41.0,,,46-51,,Turnover by J. Smith (lost ball; steal by R. Hollis-Jefferson)
3:30.0,D. Russell misses 3-pt shot from 27 ft,,46-51,,
3:27.0,,,46-51,,Defensive rebound by J. Smith
3:17.0,,,46-53,2,L. James makes 2-pt shot from 5 ft (assist by G. Hill)
3:17.0,,,46-53,,Shooting foul by R. Hollis-Jefferson (drawn by L. James)
3:17.0,,,46-54,1,L. James makes free throw 1 of 1
3:08.0,J. Allen makes 2-pt shot at rim (assist by D. Carroll),2,48-54,,
2:52.0,,,48-56,2,L. James makes 2-pt shot from 15 ft
2:40.0,,,48-56,,R. Hood enters the game for K. Korver
2:31.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Allen),2,50-56,,
2:17.0,,,50-56,,G. Hill misses 2-pt shot from 10 ft
2:17.0,,,50-56,,Offensive rebound by Team
2:17.0,,,50-56,,Turnover by G. Hill (traveling)
2:05.0,Shooting foul by J. Smith (drawn by A. Crabbe),,50-56,,
2:05.0,A. Crabbe makes free throw 1 of 3,1,51-56,,
2:05.0,A. Crabbe makes free throw 2 of 3,1,52-56,,
2:05.0,,,52-56,,J. Clarkson enters the game for J. Smith
2:05.0,A. Crabbe misses free throw 3 of 3,,52-56,,
2:03.0,,,52-56,,Defensive rebound by T. Thompson
1:52.0,,,52-56,,G. Hill misses 2-pt shot from 17 ft
1:50.0,Defensive rebound by R. Hollis-Jefferson,,52-56,,
1:46.0,D. Carroll misses 3-pt shot from 25 ft,,52-56,,
1:41.0,Offensive rebound by R. Hollis-Jefferson,,52-56,,
1:40.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,54-56,,
1:35.0,,,54-56,,G. Hill misses 2-pt shot from 3 ft
1:34.0,Defensive rebound by R. Hollis-Jefferson,,54-56,,
1:32.0,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Thompson),,54-56,,
1:27.0,,,54-58,2,G. Hill makes 2-pt shot from 1 ft (assist by J. Clarkson)
1:21.0,A. Crabbe misses 3-pt shot from 25 ft,,54-58,,
1:19.0,,,54-58,,Defensive rebound by T. Thompson
1:09.0,,,54-60,2,L. James makes 2-pt shot from 10 ft
0:59.0,D. Russell misses 2-pt shot from 19 ft,,54-60,,
0:57.0,Offensive rebound by D. Russell,,54-60,,
0:54.0,D. Russell makes 2-pt shot from 18 ft,2,56-60,,
0:54.0,Shooting foul by T. Thompson (drawn by D. Russell),,56-60,,
0:54.0,D. Russell makes free throw 1 of 1,1,57-60,,
0:36.0,,,57-60,,Turnover by R. Hood (bad pass)
0:34.0,,,57-60,,Personal foul by G. Hill (drawn by J. Allen)
0:34.0,J. Allen makes free throw 1 of 2,1,58-60,,
0:34.0,,,58-60,,J. Holland enters the game for G. Hill
0:34.0,J. Allen makes free throw 2 of 2,1,59-60,,
0:17.0,,,59-60,,L. James misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by A. Crabbe,,59-60,,
0:02.0,A. Crabbe makes 2-pt shot from 19 ft (assist by D. Russell),2,61-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,61-62,2,G. Hill makes 2-pt shot from 16 ft
11:24.0,J. Allen misses 2-pt shot from 2 ft,,61-62,,
11:21.0,,,61-62,,Defensive rebound by G. Hill
11:14.0,,,61-62,,Turnover by T. Thompson (out of bounds lost ball)
11:05.0,,,61-62,,Personal foul by C. Osman (drawn by J. Allen)
10:54.0,J. Allen misses 2-pt shot from 6 ft,,61-62,,
10:52.0,,,61-62,,Defensive rebound by T. Thompson
10:43.0,,,61-62,,T. Thompson misses 2-pt shot from 5 ft
10:41.0,Defensive rebound by D. Carroll,,61-62,,
10:34.0,D. Russell misses 2-pt shot from 7 ft,,61-62,,
10:34.0,,,61-62,,Defensive rebound by L. James
10:19.0,,,61-62,,L. James misses 2-pt shot from 7 ft
10:19.0,,,61-62,,Offensive rebound by T. Thompson
10:14.0,,,61-62,,Turnover by J. Smith (bad pass; steal by S. Dinwiddie)
10:09.0,D. Russell makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,63-62,,
10:01.0,,,63-64,2,C. Osman makes 2-pt shot from 1 ft
9:46.0,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,66-64,,
9:26.0,,,66-64,,J. Smith misses 2-pt shot from 18 ft
9:24.0,Defensive rebound by D. Carroll,,66-64,,
9:19.0,S. Dinwiddie misses 3-pt shot from 28 ft,,66-64,,
9:16.0,,,66-64,,Defensive rebound by L. James
9:13.0,,,66-66,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
9:13.0,,,66-66,,Shooting foul by A. Crabbe (drawn by T. Thompson)
9:13.0,,,66-66,,T. Thompson misses free throw 1 of 1
9:11.0,Defensive rebound by J. Allen,,66-66,,
8:57.0,J. Allen misses 2-pt shot from 1 ft,,66-66,,
8:55.0,,,66-66,,Defensive rebound by L. James
8:52.0,,,66-66,,L. James misses 2-pt shot from 1 ft
8:47.0,,,66-66,,Offensive rebound by T. Thompson
8:47.0,,,66-66,,T. Thompson misses 2-pt shot at rim
8:47.0,Defensive rebound by D. Carroll,,66-66,,
8:45.0,D. Russell makes 2-pt shot at rim (assist by J. Allen),2,68-66,,
8:45.0,,,68-66,,Cleveland full timeout
8:33.0,,,68-66,,J. Smith misses 2-pt shot from 21 ft
8:31.0,,,68-66,,Offensive rebound by G. Hill
8:29.0,,,68-66,,G. Hill misses 2-pt shot from 1 ft
8:29.0,,,68-66,,Offensive rebound by T. Thompson
8:29.0,,,68-66,,Shooting foul by J. Allen (drawn by T. Thompson)
8:29.0,,,68-67,1,T. Thompson makes free throw 1 of 2
8:29.0,,,68-67,,T. Thompson misses free throw 2 of 2
8:27.0,Defensive rebound by J. Allen,,68-67,,
8:12.0,A. Crabbe misses 3-pt shot from 26 ft,,68-67,,
8:09.0,,,68-67,,Defensive rebound by J. Smith
8:04.0,,,68-69,2,L. James makes 2-pt shot at rim
7:45.0,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie),2,70-69,,
7:36.0,,,70-69,,Shooting foul by S. Dinwiddie (drawn by G. Hill)
7:36.0,,,70-69,,G. Hill misses free throw 1 of 2
7:36.0,,,70-69,,Offensive rebound by Team
7:36.0,,,70-70,1,G. Hill makes free throw 2 of 2
7:20.0,D. Carroll misses 2-pt shot from 2 ft,,70-70,,
7:17.0,,,70-70,,Defensive rebound by G. Hill
7:12.0,,,70-73,3,C. Osman makes 3-pt shot from 24 ft (assist by G. Hill)
7:11.0,Brooklyn full timeout,,70-73,,
6:58.0,S. Dinwiddie makes 2-pt shot at rim,2,72-73,,
6:40.0,,,72-73,,J. Smith misses 2-pt shot from 1 ft
6:34.0,,,72-73,,Offensive rebound by J. Smith
6:34.0,,,72-73,,J. Smith misses 2-pt shot at rim
6:32.0,,,72-73,,Offensive rebound by J. Smith
6:27.0,,,72-76,3,G. Hill makes 3-pt shot from 23 ft (assist by L. James)
6:16.0,A. Crabbe misses 3-pt shot from 25 ft,,72-76,,
6:13.0,,,72-76,,Defensive rebound by T. Thompson
6:02.0,,,72-76,,L. James misses 3-pt shot from 26 ft
5:59.0,,,72-76,,Offensive rebound by L. James
5:56.0,,,72-76,,L. James misses 2-pt shot from 8 ft
5:54.0,Defensive rebound by A. Crabbe,,72-76,,
5:50.0,D. Carroll makes 2-pt shot at rim (assist by D. Russell),2,74-76,,
5:50.0,Shooting foul by C. Osman (drawn by D. Carroll),,74-76,,
5:50.0,,,74-76,,R. Hood enters the game for C. Osman
5:50.0,J. Harris enters the game for D. Russell,,74-76,,
5:50.0,D. Cunningham enters the game for J. Allen,,74-76,,
5:50.0,D. Carroll misses free throw 1 of 1,,74-76,,
5:48.0,,,74-76,,Defensive rebound by R. Hood
5:31.0,,,74-78,2,G. Hill makes 2-pt shot from 15 ft
5:10.0,S. Dinwiddie makes 2-pt shot from 7 ft,2,76-78,,
4:56.0,,,76-81,3,G. Hill makes 3-pt shot from 22 ft
4:28.0,J. Harris makes 3-pt shot from 26 ft (assist by D. Carroll),3,79-81,,
4:15.0,Personal foul by D. Carroll (drawn by G. Hill),,79-81,,
4:15.0,,,79-81,,L. Nance enters the game for T. Thompson
4:08.0,Personal foul by S. Dinwiddie (drawn by G. Hill),,79-81,,
4:08.0,,,79-81,,G. Hill misses free throw 1 of 2
4:08.0,,,79-81,,Offensive rebound by Team
4:08.0,,,79-82,1,G. Hill makes free throw 2 of 2
3:54.0,D. Carroll misses 3-pt shot from 25 ft,,79-82,,
3:51.0,,,79-82,,Defensive rebound by L. Nance
3:48.0,,,79-82,,Cleveland full timeout
3:48.0,,,79-82,,K. Korver enters the game for J. Smith
3:48.0,R. Hollis-Jefferson enters the game for D. Carroll,,79-82,,
3:37.0,,,79-84,2,L. James makes 2-pt shot from 2 ft (assist by K. Korver)
3:15.0,Turnover by D. Cunningham (bad pass),,79-84,,
2:59.0,,,79-86,2,K. Korver makes 2-pt shot from 17 ft (assist by L. James)
2:42.0,J. Harris makes 2-pt shot from 9 ft,2,81-86,,
2:25.0,Personal foul by A. Crabbe (drawn by K. Korver),,81-86,,
2:25.0,,,81-87,1,K. Korver makes free throw 1 of 2
2:25.0,D. Russell enters the game for S. Dinwiddie,,81-87,,
2:25.0,C. LeVert enters the game for A. Crabbe,,81-87,,
2:25.0,,,81-88,1,K. Korver makes free throw 2 of 2
2:07.0,D. Cunningham makes 3-pt shot from 25 ft (assist by D. Russell),3,84-88,,
1:51.0,,,84-90,2,L. James makes 2-pt shot from 11 ft (assist by G. Hill)
1:37.0,C. LeVert makes 3-pt shot from 25 ft (assist by J. Harris),3,87-90,,
1:23.0,,,87-92,2,G. Hill makes 2-pt shot from 14 ft
1:09.0,,,87-92,,Personal foul by L. James (drawn by R. Hollis-Jefferson)
1:09.0,,,87-92,,J. Clarkson enters the game for G. Hill
1:01.0,D. Cunningham makes 2-pt shot from 6 ft (assist by D. Russell),2,89-92,,
0:48.0,,,89-92,,J. Clarkson misses 2-pt shot from 15 ft
0:48.0,,,89-92,,Offensive rebound by J. Clarkson
0:48.0,,,89-92,,Shooting foul by D. Cunningham (drawn by J. Clarkson)
0:48.0,,,89-93,1,J. Clarkson makes free throw 1 of 2
0:48.0,,,89-94,1,J. Clarkson makes free throw 2 of 2
0:24.0,Turnover by Team (shot clock),,89-94,,
0:24.0,S. Dinwiddie enters the game for D. Russell,,89-94,,
0:06.0,,,89-94,,K. Korver misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by C. LeVert,,89-94,,
0:00.0,C. LeVert makes 2-pt shot from 19 ft,2,91-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,D. Russell misses 2-pt shot from 16 ft,,91-94,,
11:42.0,,,91-94,,Defensive rebound by L. Nance
11:28.0,,,91-96,2,R. Hood makes 2-pt shot from 9 ft
11:13.0,C. LeVert misses 2-pt shot from 6 ft,,91-96,,
11:11.0,,,91-96,,Defensive rebound by K. Korver
11:04.0,,,91-96,,G. Hill misses 2-pt shot from 20 ft
11:01.0,Defensive rebound by R. Hollis-Jefferson,,91-96,,
10:51.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,91-96,,
10:49.0,,,91-96,,Defensive rebound by L. Nance
10:43.0,,,91-98,2,R. Hood makes 2-pt shot from 10 ft
10:28.0,R. Hollis-Jefferson misses 3-pt shot from 22 ft,,91-98,,
10:26.0,,,91-98,,Defensive rebound by R. Hood
10:13.0,,,91-98,,Turnover by R. Hood (lost ball; steal by J. Harris)
10:12.0,,,91-98,,Personal foul by L. Nance (drawn by J. Harris)
9:50.0,Shooting foul by K. Korver (drawn by R. Hollis-Jefferson),,91-98,,
9:50.0,R. Hollis-Jefferson makes free throw 1 of 2,1,92-98,,
9:50.0,R. Hollis-Jefferson makes free throw 2 of 2,1,93-98,,
9:38.0,,,93-98,,R. Hood misses 2-pt shot from 9 ft
9:35.0,Defensive rebound by R. Hollis-Jefferson,,93-98,,
9:26.0,D. Cunningham makes 3-pt shot from 26 ft (assist by C. LeVert),3,96-98,,
9:02.0,,,96-98,,G. Hill misses 2-pt shot from 6 ft
9:00.0,Defensive rebound by D. Russell,,96-98,,
8:52.0,D. Russell makes 3-pt shot from 27 ft (assist by R. Hollis-Jefferson),3,99-98,,
8:51.0,,,99-98,,Cleveland full timeout
8:51.0,D. Carroll enters the game for R. Hollis-Jefferson,,99-98,,
8:35.0,,,99-98,,Shooting foul by C. LeVert (drawn by G. Hill)
8:35.0,,,99-98,,G. Hill misses free throw 1 of 2
8:35.0,,,99-98,,Offensive rebound by Team
8:35.0,,,99-99,1,G. Hill makes free throw 2 of 2
8:23.0,,,99-99,,Personal foul by K. Korver (drawn by J. Harris)
8:16.0,D. Russell makes 2-pt shot from 13 ft,2,101-99,,
7:56.0,,,101-99,,J. Clarkson misses 2-pt shot from 18 ft
7:54.0,Defensive rebound by J. Harris,,101-99,,
7:39.0,D. Cunningham misses 2-pt shot from 19 ft,,101-99,,
7:36.0,,,101-99,,Defensive rebound by J. Clarkson
7:24.0,,,101-99,,R. Hood misses 2-pt shot from 10 ft
7:18.0,,,101-99,,Offensive rebound by L. Nance
7:18.0,,,101-101,2,L. Nance makes 2-pt shot at rim
7:12.0,J. Harris misses 3-pt shot from 27 ft,,101-101,,
7:08.0,,,101-101,,Defensive rebound by L. Nance
7:02.0,,,101-103,2,J. Clarkson makes 2-pt shot from 1 ft
7:02.0,Brooklyn full timeout,,101-103,,
7:02.0,,,101-103,,L. James enters the game for G. Hill
7:02.0,S. Dinwiddie enters the game for D. Russell,,101-103,,
7:02.0,J. Allen enters the game for J. Harris,,101-103,,
7:02.0,A. Crabbe enters the game for D. Cunningham,,101-103,,
6:49.0,S. Dinwiddie misses 3-pt shot from 23 ft,,101-103,,
6:46.0,,,101-103,,Defensive rebound by L. James
6:37.0,,,101-105,2,R. Hood makes 2-pt shot from 11 ft (assist by L. James)
6:20.0,A. Crabbe misses 3-pt shot from 25 ft,,101-105,,
6:17.0,,,101-105,,Defensive rebound by R. Hood
6:13.0,,,101-107,2,R. Hood makes 2-pt shot from 2 ft
5:54.0,C. LeVert makes 3-pt shot from 24 ft (assist by D. Carroll),3,104-107,,
5:33.0,,,104-107,,J. Clarkson misses 2-pt shot from 20 ft
5:31.0,Defensive rebound by D. Carroll,,104-107,,
