time,LA Lakers,pts.away,score,pts.home,Dallas
1:29.0,,,64-59,2,M. Kleber makes 2-pt shot from 1 ft (assist by W. Matthews)
1:11.0,J. Randle makes 2-pt shot from 1 ft (assist by I. Thomas),2,66-59,,
0:58.0,Personal foul by K. Caldwell-Pope (drawn by W. Matthews),,66-59,,
0:58.0,,,66-60,1,W. Matthews makes free throw 1 of 2
0:58.0,J. Hart enters the game for K. Caldwell-Pope,,66-60,,
0:58.0,,,66-61,1,W. Matthews makes free throw 2 of 2
0:49.0,I. Thomas misses 3-pt shot from 27 ft,,66-61,,
0:46.0,,,66-61,,Defensive rebound by H. Barnes
0:32.0,,,66-64,3,D. Smith makes 3-pt shot from 25 ft
0:09.0,Turnover by I. Thomas (lost ball; steal by D. Smith),,66-64,,
0:00.0,,,66-64,,Shooting foul by B. Ingram (drawn by D. Smith)
0:00.0,,,66-65,1,D. Smith makes free throw 1 of 2
0:00.0,,,66-65,,D. Smith misses free throw 2 of 2
0:00.0,,,66-65,,Offensive rebound by M. Kleber
0:00.0,,,66-65,,M. Kleber misses 2-pt shot at rim
0:00.0,,,66-65,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,66-65,,Turnover by H. Barnes (step out of bounds)
11:36.0,B. Ingram misses 2-pt shot from 11 ft,,66-65,,
11:33.0,,,66-65,,Defensive rebound by D. Nowitzki
11:26.0,,,66-68,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
11:11.0,B. Ingram makes 2-pt shot from 21 ft,2,68-68,,
10:59.0,,,68-70,2,W. Matthews makes 2-pt shot from 14 ft
10:52.0,Turnover by B. Ingram (lost ball; steal by W. Matthews),,68-70,,
10:52.0,,,68-70,,Shooting foul by J. Randle (drawn by H. Barnes)
10:52.0,,,68-71,1,H. Barnes makes free throw 1 of 2
10:52.0,,,68-72,1,H. Barnes makes free throw 2 of 2
10:40.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Lopez),2,70-72,,
