time,Boston,pts.away,score,pts.home,Utah
5:47.0,Turnover by J. Tatum (traveling),,30-32,,
5:47.0,,,30-32,,J. Crowder enters the game for D. Favors
5:47.0,A. Baynes enters the game for J. Tatum,,30-32,,
5:47.0,J. Brown enters the game for G. Monroe,,30-32,,
5:33.0,,,30-32,,Turnover by D. Mitchell (lost ball; steal by A. Nader)
5:29.0,A. Nader makes 2-pt shot from 2 ft,2,32-32,,
5:16.0,Personal foul by S. Larkin (drawn by R. Rubio),,32-32,,
5:06.0,,,32-32,,R. Rubio misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by J. Brown,,32-32,,
4:52.0,A. Baynes makes 2-pt shot from 13 ft (assist by J. Brown),2,34-32,,
4:38.0,,,34-32,,D. Mitchell misses 2-pt shot from 11 ft
4:35.0,Defensive rebound by S. Ojeleye,,34-32,,
4:22.0,S. Larkin misses 2-pt shot at rim,,34-32,,
4:21.0,Offensive rebound by S. Larkin,,34-32,,
4:21.0,S. Larkin makes 2-pt shot at rim,2,36-32,,
4:21.0,,,36-32,,Utah full timeout
4:21.0,,,36-32,,J. Ingles enters the game for R. O'Neale
4:02.0,,,36-32,,R. Rubio misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by J. Brown,,36-32,,
3:47.0,J. Brown makes 3-pt shot from 26 ft (assist by S. Larkin),3,39-32,,
3:28.0,,,39-32,,R. Gobert misses 2-pt shot from 3 ft
3:25.0,Defensive rebound by S. Ojeleye,,39-32,,
3:17.0,J. Brown makes 2-pt shot from 2 ft,2,41-32,,
2:57.0,,,41-34,2,J. Ingles makes 2-pt shot from 15 ft
2:40.0,S. Larkin misses 3-pt shot from 25 ft,,41-34,,
2:38.0,,,41-34,,Defensive rebound by J. Ingles
2:26.0,,,41-34,,R. Rubio misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by S. Larkin,,41-34,,
2:26.0,,,41-34,,Personal foul by J. Crowder (drawn by J. Brown)
2:26.0,T. Rozier enters the game for A. Nader,,41-34,,
2:13.0,A. Baynes makes 2-pt shot from 17 ft (assist by S. Larkin),2,43-34,,
1:55.0,,,43-34,,J. Ingles misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by T. Rozier,,43-34,,
1:35.0,J. Brown makes 3-pt shot from 25 ft (assist by T. Rozier),3,46-34,,
1:14.0,,,46-36,2,J. Ingles makes 2-pt shot from 1 ft
1:14.0,,,46-36,,Shooting foul by J. Brown (drawn by J. Ingles)
1:14.0,,,46-37,1,J. Ingles makes free throw 1 of 1
1:01.0,A. Baynes misses 2-pt shot from 9 ft,,46-37,,
1:00.0,,,46-37,,Defensive rebound by J. Ingles
0:51.0,,,46-39,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Ingles)
0:51.0,Boston full timeout,,46-39,,
0:51.0,G. Monroe enters the game for S. Larkin,,46-39,,
0:51.0,J. Tatum enters the game for A. Baynes,,46-39,,
0:30.0,J. Tatum makes 2-pt shot from 10 ft,2,48-39,,
0:08.0,,,48-39,,D. Mitchell misses 2-pt shot from 19 ft
0:05.0,,,48-39,,Offensive rebound by R. Gobert
0:00.0,,,48-39,,R. Rubio misses 2-pt shot from 19 ft
0:00.0,,,48-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Shooting foul by D. Mitchell (drawn by J. Brown),,48-39,,
11:42.0,J. Brown makes free throw 1 of 2,1,49-39,,
11:42.0,J. Brown misses free throw 2 of 2,,49-39,,
11:39.0,Offensive rebound by J. Brown,,49-39,,
11:31.0,Turnover by G. Yabusele (traveling),,49-39,,
11:14.0,,,49-42,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio)
11:02.0,Turnover by J. Brown (turnover),,49-42,,
10:56.0,Personal foul by J. Brown (drawn by D. Mitchell),,49-42,,
10:50.0,,,49-42,,J. Ingles misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by Team,,49-42,,
10:32.0,G. Yabusele misses 3-pt shot from 25 ft,,49-42,,
10:28.0,Offensive rebound by J. Brown,,49-42,,
10:28.0,Turnover by J. Brown (step out of bounds),,49-42,,
10:06.0,,,49-42,,D. Mitchell misses 2-pt shot from 10 ft
10:05.0,,,49-42,,Offensive rebound by Team
10:05.0,Loose ball foul by A. Baynes (drawn by D. Mitchell),,49-42,,
