time,New Orleans,pts.away,score,pts.home,New York
4:54.0,,,32-43,2,E. Kanter makes 2-pt shot from 10 ft
4:46.0,R. Rondo makes 2-pt shot at rim,2,34-43,,
4:34.0,,,34-45,2,J. Jack makes 2-pt shot from 9 ft
4:25.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,36-45,,
4:16.0,,,36-45,,J. Jack misses 2-pt shot from 8 ft
4:14.0,,,36-45,,Offensive rebound by E. Kanter
4:12.0,,,36-47,2,E. Kanter makes 2-pt shot from 6 ft
3:50.0,Shooting foul by E. Kanter (drawn by D. Cousins),,36-47,,
3:50.0,,,36-47,,L. Thomas enters the game for C. Lee
3:50.0,D. Cousins misses free throw 1 of 2,,36-47,,
3:50.0,Offensive rebound by Team,,36-47,,
3:50.0,D. Cousins makes free throw 2 of 2,1,37-47,,
3:35.0,,,37-47,,Turnover by T. Hardaway (bad pass; steal by A. Davis)
3:27.0,E. Moore makes 2-pt shot from 6 ft,2,39-47,,
3:11.0,,,39-49,2,L. Thomas makes 2-pt shot at rim (assist by J. Jack)
3:06.0,New Orleans full timeout,,39-49,,
2:59.0,,,39-49,,Personal foul by T. Hardaway (drawn by D. Cousins)
2:59.0,D. Cousins makes free throw 1 of 2,1,40-49,,
2:59.0,D. Cousins misses free throw 2 of 2,,40-49,,
2:57.0,,,40-49,,Defensive rebound by L. Thomas
2:51.0,,,40-49,,Turnover by K. Porzingis (bad pass; steal by D. Cousins)
2:45.0,Turnover by D. Cousins (bad pass; steal by K. Porzingis),,40-49,,
2:41.0,,,40-49,,Shooting foul by D. Miller (drawn by T. Hardaway)
2:41.0,J. Holiday enters the game for D. Miller,,40-49,,
2:41.0,,,40-50,1,T. Hardaway makes free throw 1 of 2
2:41.0,,,40-51,1,T. Hardaway makes free throw 2 of 2
2:23.0,Turnover by D. Cousins (offensive goaltending),,40-51,,
2:12.0,,,40-53,2,K. Porzingis makes 2-pt shot from 19 ft (assist by T. Hardaway)
2:00.0,,,40-53,,Def 3 sec tech foul by J. Jack
2:00.0,A. Davis misses technical free throw,,40-53,,
2:00.0,Offensive rebound by Team,,40-53,,
1:53.0,Turnover by J. Holiday (bad pass; steal by J. Jack),,40-53,,
1:45.0,,,40-55,2,T. Hardaway makes 2-pt shot from 15 ft
1:34.0,Turnover by J. Holiday (bad pass),,40-55,,
1:31.0,,,40-55,,Turnover by J. Jack (bad pass; steal by D. Cousins)
1:29.0,Turnover by R. Rondo (traveling),,40-55,,
1:21.0,,,40-55,,K. Porzingis misses 3-pt shot from 27 ft
1:19.0,Defensive rebound by J. Holiday,,40-55,,
1:13.0,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday),3,43-55,,
0:56.0,,,43-55,,Offensive charge foul by K. Porzingis (drawn by D. Cousins)
0:56.0,,,43-55,,Turnover by K. Porzingis (offensive foul)
0:36.0,D. Cousins makes 2-pt shot from 8 ft,2,45-55,,
0:20.0,,,45-57,2,J. Jack makes 2-pt shot from 22 ft
0:00.0,A. Davis makes 3-pt shot from 24 ft (assist by J. Holiday),3,48-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by D. Cousins (bad pass; steal by J. Jack),,48-57,,
11:31.0,,,48-57,,E. Kanter misses 2-pt shot from 2 ft
11:29.0,Defensive rebound by A. Davis,,48-57,,
11:15.0,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday),2,50-57,,
11:13.0,,,50-57,,New York full timeout
11:02.0,,,50-57,,L. Thomas misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by A. Davis,,50-57,,
