time,Sacramento,pts.away,score,pts.home,Milwaukee
8:03.0,,,29-42,2,M. Brogdon makes 2-pt shot from 1 ft (assist by T. Maker)
7:48.0,Shooting foul by D. Liggins (drawn by W. Cauley-Stein),,29-42,,
7:48.0,W. Cauley-Stein misses free throw 1 of 2,,29-42,,
7:48.0,Offensive rebound by Team,,29-42,,
7:48.0,,,29-42,,J. Henson enters the game for T. Maker
7:48.0,,,29-42,,T. Snell enters the game for D. Liggins
7:48.0,V. Carter enters the game for J. Sampson,,29-42,,
7:48.0,W. Cauley-Stein makes free throw 2 of 2,1,30-42,,
7:38.0,,,30-44,2,K. Middleton makes 2-pt shot from 19 ft (assist by J. Henson)
7:27.0,B. Hield makes 3-pt shot from 26 ft (assist by W. Cauley-Stein),3,33-44,,
7:25.0,,,33-44,,Milwaukee full timeout
7:02.0,,,33-44,,T. Snell misses 2-pt shot from 18 ft
6:58.0,Defensive rebound by D. Fox,,33-44,,
6:38.0,,,33-44,,G. Antetokounmpo enters the game for J. Terry
6:38.0,,,33-44,,E. Bledsoe enters the game for K. Middleton
6:36.0,D. Fox misses 3-pt shot from 28 ft,,33-44,,
6:36.0,Offensive rebound by Team,,33-44,,
6:36.0,Turnover by Team (shot clock),,33-44,,
6:24.0,,,33-44,,G. Antetokounmpo misses 2-pt shot from 3 ft
6:15.0,Defensive rebound by B. Hield,,33-44,,
6:15.0,G. Temple misses 2-pt shot from 2 ft,,33-44,,
6:12.0,,,33-44,,Defensive rebound by J. Henson
6:04.0,,,33-44,,Turnover by J. Henson (turnover)
6:04.0,G. Hill enters the game for B. Hield,,33-44,,
5:54.0,D. Fox makes 2-pt shot from 11 ft,2,35-44,,
5:36.0,,,35-44,,M. Brogdon misses 2-pt shot from 3 ft
5:36.0,,,35-44,,Offensive rebound by G. Antetokounmpo
5:29.0,,,35-46,2,G. Antetokounmpo makes 2-pt shot at rim
5:27.0,W. Cauley-Stein misses 2-pt shot from 8 ft (block by J. Henson),,35-46,,
5:27.0,Offensive rebound by Team,,35-46,,
5:20.0,G. Temple makes 3-pt shot from 23 ft (assist by D. Fox),3,38-46,,
5:05.0,,,38-46,,M. Brogdon misses 3-pt shot from 22 ft
5:02.0,Defensive rebound by G. Temple,,38-46,,
4:57.0,Offensive foul by W. Cauley-Stein (drawn by E. Bledsoe),,38-46,,
4:57.0,Turnover by W. Cauley-Stein (offensive foul),,38-46,,
4:37.0,,,38-46,,Shooting foul by G. Temple (drawn by J. Henson)
4:37.0,,,38-47,1,J. Henson makes free throw 1 of 2
4:37.0,,,38-48,1,J. Henson makes free throw 2 of 2
4:24.0,,,38-48,,Personal foul by T. Snell (drawn by V. Carter)
4:13.0,V. Carter misses 2-pt shot from 2 ft,,38-48,,
4:11.0,,,38-48,,Defensive rebound by J. Henson
3:58.0,,,38-51,3,E. Bledsoe makes 3-pt shot from 27 ft (assist by M. Brogdon)
3:42.0,G. Hill makes 2-pt shot from 14 ft (assist by W. Cauley-Stein),2,40-51,,
3:25.0,,,40-53,2,E. Bledsoe makes 2-pt shot from 14 ft
3:04.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,42-53,,
3:02.0,,,42-53,,Shooting foul by V. Carter (drawn by G. Antetokounmpo)
3:02.0,,,42-54,1,G. Antetokounmpo makes free throw 1 of 2
3:02.0,,,42-55,1,G. Antetokounmpo makes free throw 2 of 2
2:55.0,Sacramento full timeout,,42-55,,
2:55.0,Z. Randolph enters the game for W. Cauley-Stein,,42-55,,
2:46.0,Z. Randolph makes 2-pt shot from 5 ft (assist by D. Fox),2,44-55,,
2:22.0,,,44-55,,T. Snell misses 3-pt shot from 26 ft
2:19.0,,,44-55,,Offensive rebound by G. Antetokounmpo
2:16.0,,,44-57,2,G. Antetokounmpo makes 2-pt shot from 1 ft
1:57.0,D. Fox makes 2-pt shot from 7 ft,2,46-57,,
1:43.0,,,46-57,,E. Bledsoe misses 3-pt shot from 26 ft
1:40.0,,,46-57,,Offensive rebound by G. Antetokounmpo
1:28.0,,,46-59,2,M. Brogdon makes 2-pt shot from 1 ft
1:04.0,G. Temple misses 2-pt shot from 20 ft,,46-59,,
1:02.0,,,46-59,,Defensive rebound by E. Bledsoe
1:00.0,,,46-61,2,E. Bledsoe makes 2-pt shot from 1 ft
0:39.0,Z. Randolph makes 2-pt shot from 2 ft,2,48-61,,
0:35.0,,,48-61,,Shooting foul by D. Fox (drawn by E. Bledsoe)
0:35.0,,,48-62,1,E. Bledsoe makes free throw 1 of 2
0:35.0,,,48-63,1,E. Bledsoe makes free throw 2 of 2
0:35.0,Shooting foul by E. Bledsoe (drawn by D. Fox),,48-63,,
0:35.0,D. Fox makes free throw 1 of 2,1,49-63,,
0:35.0,D. Fox makes free throw 2 of 2,1,50-63,,
0:11.0,,,50-63,,E. Bledsoe misses 2-pt shot from 15 ft
0:06.0,Defensive rebound by D. Fox,,50-63,,
0:04.0,,,50-63,,Personal foul by G. Antetokounmpo (drawn by G. Hill)
0:04.0,G. Hill makes free throw 1 of 2,1,51-63,,
0:04.0,G. Hill makes free throw 2 of 2,1,52-63,,
0:00.0,,,52-63,,M. Brogdon misses 2-pt shot from 10 ft
0:00.0,,,52-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,52-63,,Shooting foul by D. Fox (drawn by E. Bledsoe)
11:46.0,,,52-64,1,E. Bledsoe makes free throw 1 of 2
11:46.0,,,52-65,1,E. Bledsoe makes free throw 2 of 2
11:29.0,Shooting foul by G. Antetokounmpo (drawn by D. Fox),,52-65,,
11:29.0,D. Fox makes free throw 1 of 2,1,53-65,,
11:29.0,D. Fox misses free throw 2 of 2,,53-65,,
11:26.0,,,53-65,,Defensive rebound by J. Henson
11:13.0,,,53-67,2,G. Antetokounmpo makes 2-pt shot from 6 ft
10:54.0,G. Hill misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,53-67,,
10:51.0,,,53-67,,Defensive rebound by J. Henson
