time,Washington,pts.away,score,pts.home,New Orleans
7:01.0,M. Morris misses 3-pt shot from 26 ft,,12-7,,
6:57.0,,,12-7,,Defensive rebound by R. Rondo
6:51.0,,,12-9,2,R. Rondo makes 2-pt shot from 1 ft
6:38.0,O. Porter makes 2-pt shot from 17 ft (assist by M. Gortat),2,14-9,,
6:26.0,,,14-9,,E. Moore misses 2-pt shot from 15 ft
6:22.0,Defensive rebound by B. Beal,,14-9,,
6:03.0,M. Morris misses 2-pt shot from 1 ft (block by J. Holiday),,14-9,,
5:59.0,,,14-9,,Defensive rebound by J. Holiday
5:56.0,Violation by T. Satoransky (kicked ball),,14-9,,
5:56.0,,,14-9,,New Orleans full timeout
5:47.0,,,14-9,,J. Holiday misses 2-pt shot from 7 ft (block by M. Gortat)
5:43.0,Defensive rebound by T. Satoransky,,14-9,,
5:25.0,M. Morris makes 2-pt shot from 9 ft,2,16-9,,
5:09.0,,,16-9,,E. Moore misses 2-pt shot from 8 ft
5:05.0,Defensive rebound by B. Beal,,16-9,,
5:01.0,O. Porter misses 2-pt shot from 19 ft,,16-9,,
4:59.0,Offensive rebound by Team,,16-9,,
4:59.0,,,16-9,,D. Miller enters the game for E. Moore
4:59.0,,,16-9,,I. Clark enters the game for R. Rondo
4:56.0,,,16-9,,Violation by E. Okafor (kicked ball)
4:53.0,T. Satoransky makes 2-pt shot from 8 ft (assist by O. Porter),2,18-9,,
4:39.0,,,18-11,2,I. Clark makes 2-pt shot from 5 ft
4:17.0,O. Porter misses 2-pt shot from 15 ft,,18-11,,
4:14.0,,,18-11,,Defensive rebound by N. Mirotic
4:11.0,,,18-11,,Shooting foul by M. Morris (drawn by N. Mirotic)
4:11.0,,,18-12,1,N. Mirotic makes free throw 1 of 2
4:11.0,K. Oubre enters the game for O. Porter,,18-12,,
4:11.0,,,18-13,1,N. Mirotic makes free throw 2 of 2
3:55.0,Turnover by B. Beal (bad pass; steal by N. Mirotic),,18-13,,
3:44.0,,,18-15,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Holiday)
3:25.0,M. Morris misses 2-pt shot from 8 ft,,18-15,,
3:24.0,Offensive rebound by M. Gortat,,18-15,,
3:24.0,,,18-15,,Personal foul by N. Mirotic (drawn by M. Gortat)
3:13.0,B. Beal makes 2-pt shot from 14 ft,2,20-15,,
2:51.0,,,20-15,,I. Clark misses 2-pt shot from 7 ft
2:48.0,Defensive rebound by M. Gortat,,20-15,,
2:42.0,K. Oubre misses 2-pt shot from 17 ft,,20-15,,
2:38.0,,,20-15,,Defensive rebound by N. Mirotic
2:24.0,,,20-17,2,E. Okafor makes 2-pt shot at rim (assist by N. Mirotic)
2:22.0,Washington full timeout,,20-17,,
2:22.0,,,20-17,,D. Liggins enters the game for N. Mirotic
2:22.0,I. Mahinmi enters the game for M. Gortat,,20-17,,
2:22.0,R. Sessions enters the game for T. Satoransky,,20-17,,
2:21.0,Turnover by I. Mahinmi (bad pass),,20-17,,
2:07.0,,,20-17,,Turnover by J. Holiday (bad pass; steal by K. Oubre)
1:47.0,I. Mahinmi misses 2-pt shot from 2 ft,,20-17,,
1:41.0,Offensive rebound by M. Morris,,20-17,,
1:41.0,M. Morris makes 2-pt shot at rim,2,22-17,,
1:36.0,,,22-17,,D. Miller misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by I. Mahinmi,,22-17,,
1:21.0,M. Morris misses 2-pt shot from 5 ft (block by J. Holiday),,22-17,,
1:15.0,Offensive rebound by B. Beal,,22-17,,
1:02.0,K. Oubre misses 2-pt shot from 9 ft,,22-17,,
1:02.0,Offensive rebound by Team,,22-17,,
1:00.0,,,22-17,,C. Diallo enters the game for E. Okafor
1:00.0,J. Meeks enters the game for B. Beal,,22-17,,
0:58.0,J. Meeks misses 2-pt shot from 20 ft,,22-17,,
0:56.0,,,22-17,,Defensive rebound by D. Liggins
0:45.0,,,22-19,2,C. Diallo makes 2-pt shot from 3 ft (assist by D. Liggins)
0:28.0,M. Morris misses 2-pt shot from 5 ft,,22-19,,
0:21.0,,,22-19,,Defensive rebound by J. Holiday
0:05.0,,,22-19,,I. Clark misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by J. Meeks,,22-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,22-19,,D. Miller misses 3-pt shot from 26 ft
11:47.0,Defensive rebound by K. Oubre,,22-19,,
11:31.0,M. Scott makes 2-pt shot from 4 ft (assist by R. Sessions),2,24-19,,
11:17.0,,,24-21,2,E. Moore makes 2-pt shot from 7 ft
11:01.0,J. Meeks makes 2-pt shot from 1 ft (assist by M. Scott),2,26-21,,
11:01.0,,,26-21,,Violation by C. Diallo (def goaltending)
10:45.0,,,26-21,,E. Moore misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by Team,,26-21,,
10:43.0,,,26-21,,Loose ball foul by C. Diallo (drawn by M. Scott)
10:23.0,R. Sessions misses 2-pt shot from 1 ft,,26-21,,
10:20.0,,,26-21,,Defensive rebound by C. Diallo
10:20.0,Personal foul by M. Scott (drawn by C. Diallo),,26-21,,
10:06.0,,,26-23,2,D. Miller makes 2-pt shot from 20 ft (assist by D. Liggins)
9:47.0,Turnover by R. Sessions (bad pass),,26-23,,
9:42.0,,,26-23,,I. Clark misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by K. Oubre,,26-23,,
9:29.0,R. Sessions misses 2-pt shot from 1 ft,,26-23,,
9:28.0,Offensive rebound by R. Sessions,,26-23,,
9:25.0,R. Sessions misses 2-pt shot from 1 ft (block by D. Miller),,26-23,,
9:25.0,,,26-23,,Defensive rebound by Team
9:25.0,Jump ball: D. Miller vs. R. Sessions (I. Clark gains possession),,,,Jump ball: D. Miller vs. R. Sessions (I. Clark gains possession)
9:21.0,,,26-23,,D. Miller misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by I. Mahinmi,,26-23,,
8:59.0,I. Mahinmi misses 2-pt shot from 6 ft,,26-23,,
8:56.0,,,26-23,,Defensive rebound by C. Diallo
8:45.0,,,26-23,,Shooting foul by I. Mahinmi (drawn by D. Miller)
8:45.0,,,26-24,1,D. Miller makes free throw 1 of 2
8:45.0,,,26-25,1,D. Miller makes free throw 2 of 2
8:28.0,K. Oubre misses 2-pt shot from 4 ft (block by C. Diallo),,26-25,,
8:28.0,,,26-25,,Defensive rebound by Team
8:28.0,Loose ball foul by I. Mahinmi (drawn by I. Clark),,26-25,,
8:28.0,O. Porter enters the game for I. Mahinmi,,26-25,,
8:15.0,,,26-27,2,C. Diallo makes 2-pt shot at rim (assist by I. Clark)
8:15.0,Washington full timeout,,26-27,,
8:00.0,O. Porter makes 2-pt shot from 7 ft,2,28-27,,
8:00.0,Shooting foul by D. Miller (drawn by O. Porter),,28-27,,
8:00.0,O. Porter makes free throw 1 of 1,1,29-27,,
7:49.0,,,29-27,,Offensive foul by C. Diallo (drawn by R. Sessions)
7:49.0,,,29-27,,Turnover by C. Diallo (offensive foul)
7:49.0,,,29-27,,N. Mirotic enters the game for C. Diallo
7:49.0,,,29-27,,R. Rondo enters the game for D. Liggins
7:30.0,K. Oubre misses 2-pt shot from 3 ft,,29-27,,
7:29.0,Offensive rebound by M. Scott,,29-27,,
7:29.0,M. Scott makes 2-pt shot from 1 ft,2,31-27,,
7:29.0,Shooting foul by R. Rondo (drawn by M. Scott),,31-27,,
7:29.0,M. Scott misses free throw 1 of 1,,31-27,,
7:26.0,,,31-27,,Defensive rebound by N. Mirotic
7:22.0,Away from play foul by R. Sessions (drawn by I. Clark),,31-27,,
7:16.0,,,31-27,,Turnover by R. Rondo (lost ball; steal by K. Oubre)
7:12.0,M. Scott makes 2-pt shot at rim (assist by K. Oubre),2,33-27,,
6:58.0,,,33-27,,N. Mirotic misses 2-pt shot from 4 ft
6:58.0,,,33-27,,Offensive rebound by Team
6:58.0,,,33-27,,J. Holiday enters the game for E. Moore
6:58.0,T. Satoransky enters the game for R. Sessions,,33-27,,
6:55.0,,,33-27,,N. Mirotic misses 3-pt shot from 26 ft
6:50.0,Defensive rebound by O. Porter,,33-27,,
6:40.0,O. Porter makes 2-pt shot from 5 ft (assist by M. Scott),2,35-27,,
6:21.0,,,35-29,2,D. Miller makes 2-pt shot from 4 ft (assist by I. Clark)
6:05.0,M. Scott makes 2-pt shot from 2 ft (assist by T. Satoransky),2,37-29,,
6:05.0,Shooting foul by D. Miller (drawn by M. Scott),,37-29,,
6:05.0,B. Beal enters the game for J. Meeks,,37-29,,
6:05.0,M. Scott makes free throw 1 of 1,1,38-29,,
5:58.0,,,38-31,2,I. Clark makes 2-pt shot from 1 ft (assist by R. Rondo)
5:40.0,K. Oubre misses 3-pt shot from 25 ft,,38-31,,
5:40.0,,,38-31,,Defensive rebound by R. Rondo
5:32.0,,,38-31,,N. Mirotic misses 2-pt shot from 10 ft
5:32.0,Defensive rebound by O. Porter,,38-31,,
5:24.0,M. Morris enters the game for M. Scott,,38-31,,
5:13.0,M. Morris makes 2-pt shot from 4 ft (assist by B. Beal),2,40-31,,
4:53.0,,,40-31,,Turnover by N. Mirotic (lost ball; steal by K. Oubre)
4:46.0,B. Beal misses 3-pt shot from 26 ft,,40-31,,
4:42.0,,,40-31,,Defensive rebound by N. Mirotic
4:31.0,,,40-31,,J. Holiday misses 2-pt shot from 1 ft
4:28.0,Defensive rebound by O. Porter,,40-31,,
4:22.0,B. Beal makes 2-pt shot from 2 ft,2,42-31,,
4:14.0,,,42-31,,New Orleans full timeout
4:14.0,,,42-31,,E. Moore enters the game for I. Clark
4:02.0,,,42-31,,Turnover by D. Miller (bad pass; steal by B. Beal)
3:58.0,M. Morris makes 2-pt shot at rim (assist by B. Beal),2,44-31,,
3:54.0,,,44-31,,Turnover by R. Rondo (bad pass)
3:35.0,Turnover by M. Morris (bad pass; steal by R. Rondo),,44-31,,
3:28.0,,,44-31,,Turnover by D. Miller (lost ball; steal by M. Morris)
3:17.0,B. Beal misses 3-pt shot from 26 ft,,44-31,,
3:12.0,Offensive rebound by M. Morris,,44-31,,
3:11.0,K. Oubre makes 3-pt shot from 25 ft (assist by M. Morris),3,47-31,,
3:05.0,,,47-31,,New Orleans full timeout
3:05.0,,,47-31,,E. Okafor enters the game for D. Miller
2:59.0,Personal foul by K. Oubre (drawn by R. Rondo),,47-31,,
2:59.0,,,47-32,1,R. Rondo makes free throw 1 of 2
2:59.0,,,47-33,1,R. Rondo makes free throw 2 of 2
2:44.0,B. Beal misses 3-pt shot from 24 ft,,47-33,,
2:40.0,,,47-33,,Defensive rebound by E. Okafor
2:25.0,,,47-33,,Turnover by J. Holiday (out of bounds lost ball)
2:18.0,T. Satoransky misses 3-pt shot from 23 ft,,47-33,,
2:14.0,Offensive rebound by M. Morris,,47-33,,
2:12.0,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal),3,50-33,,
2:01.0,,,50-33,,N. Mirotic misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by T. Satoransky,,50-33,,
1:50.0,,,50-33,,Personal foul by J. Holiday (drawn by M. Morris)
1:50.0,M. Morris misses free throw 1 of 2,,50-33,,
1:50.0,Offensive rebound by Team,,50-33,,
1:50.0,M. Morris makes free throw 2 of 2,1,51-33,,
1:37.0,Personal foul by T. Satoransky (drawn by N. Mirotic),,51-33,,
1:37.0,,,51-34,1,N. Mirotic makes free throw 1 of 2
1:37.0,,,51-34,,N. Mirotic misses free throw 2 of 2
1:36.0,Defensive rebound by K. Oubre,,51-34,,
1:23.0,T. Satoransky makes 2-pt shot from 1 ft (assist by M. Morris),2,53-34,,
1:00.0,,,53-36,2,R. Rondo makes 2-pt shot at rim
0:41.0,Turnover by B. Beal (step out of bounds),,53-36,,
0:37.0,Personal foul by M. Morris (drawn by R. Rondo),,53-36,,
0:37.0,,,53-37,1,R. Rondo makes free throw 1 of 2
0:37.0,,,53-38,1,R. Rondo makes free throw 2 of 2
0:32.0,Turnover by T. Satoransky (bad pass),,53-38,,
0:10.0,,,53-38,,R. Rondo misses 2-pt shot from 1 ft
0:08.0,Defensive rebound by M. Morris,,53-38,,
0:05.0,O. Porter misses 2-pt shot from 9 ft,,53-38,,
0:02.0,,,53-38,,Defensive rebound by N. Mirotic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-40,2,E. Moore makes 2-pt shot from 6 ft
11:21.0,M. Morris misses 3-pt shot from 26 ft,,53-40,,
11:20.0,Offensive rebound by Team,,53-40,,
11:20.0,,,53-40,,Personal foul by R. Rondo (drawn by T. Satoransky)
11:08.0,Turnover by M. Gortat (turnover),,53-40,,
11:00.0,,,53-40,,New Orleans full timeout
10:46.0,,,53-40,,J. Holiday misses 2-pt shot from 5 ft
10:42.0,,,53-40,,Offensive rebound by N. Mirotic
10:42.0,,,53-40,,N. Mirotic misses 2-pt shot at rim
10:42.0,Defensive rebound by M. Gortat,,53-40,,
10:28.0,M. Gortat makes 2-pt shot from 8 ft,2,55-40,,
10:15.0,,,55-42,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
9:57.0,M. Morris makes 2-pt shot from 1 ft (assist by M. Gortat),2,57-42,,
9:49.0,,,57-42,,E. Moore misses 2-pt shot from 5 ft
9:47.0,Defensive rebound by M. Gortat,,57-42,,
9:41.0,Turnover by M. Morris (bad pass),,57-42,,
9:36.0,,,57-44,2,E. Okafor makes 2-pt shot from 1 ft (assist by J. Holiday)
9:17.0,T. Satoransky misses 2-pt shot from 20 ft,,57-44,,
9:13.0,,,57-44,,Defensive rebound by N. Mirotic
9:03.0,,,57-46,2,R. Rondo makes 2-pt shot from 1 ft
8:45.0,M. Morris makes 2-pt shot from 10 ft (assist by T. Satoransky),2,59-46,,
8:30.0,,,59-46,,Turnover by R. Rondo (bad pass)
8:15.0,B. Beal misses 2-pt shot from 8 ft (block by E. Okafor),,59-46,,
8:11.0,,,59-46,,Defensive rebound by E. Moore
8:08.0,,,59-46,,R. Rondo misses 2-pt shot from 1 ft (block by M. Gortat)
8:03.0,Defensive rebound by O. Porter,,59-46,,
7:51.0,M. Morris misses 2-pt shot from 1 ft,,59-46,,
7:48.0,,,59-46,,Defensive rebound by R. Rondo
7:46.0,,,59-46,,E. Moore misses 2-pt shot from 6 ft
7:42.0,Defensive rebound by M. Gortat,,59-46,,
7:39.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky),3,62-46,,
7:21.0,,,62-46,,N. Mirotic misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by M. Gortat,,62-46,,
7:14.0,B. Beal misses 3-pt shot from 24 ft,,62-46,,
7:10.0,Offensive rebound by O. Porter,,62-46,,
6:57.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Morris),2,64-46,,
6:57.0,Shooting foul by E. Moore (drawn by B. Beal),,64-46,,
6:57.0,,,64-46,,D. Miller enters the game for R. Rondo
6:57.0,,,64-46,,I. Clark enters the game for E. Moore
6:57.0,B. Beal misses free throw 1 of 1,,64-46,,
6:53.0,,,64-46,,Defensive rebound by N. Mirotic
6:48.0,,,64-46,,Shooting foul by T. Satoransky (drawn by E. Okafor)
6:48.0,,,64-47,1,E. Okafor makes free throw 1 of 2
6:48.0,,,64-48,1,E. Okafor makes free throw 2 of 2
6:34.0,T. Satoransky makes 2-pt shot from 10 ft,2,66-48,,
6:26.0,Away from play foul by T. Satoransky (drawn by I. Clark),,66-48,,
6:18.0,,,66-50,2,J. Holiday makes 2-pt shot from 7 ft
6:00.0,M. Gortat misses 2-pt shot from 10 ft,,66-50,,
5:58.0,,,66-50,,Defensive rebound by N. Mirotic
5:52.0,,,66-50,,Turnover by I. Clark (bad pass; steal by T. Satoransky)
5:46.0,M. Morris makes 2-pt shot at rim (assist by B. Beal),2,68-50,,
5:26.0,,,68-50,,Turnover by E. Okafor (bad pass; steal by O. Porter)
5:15.0,Offensive foul by M. Gortat (drawn by J. Holiday),,68-50,,
5:15.0,Turnover by M. Gortat (offensive foul),,68-50,,
5:15.0,,,68-50,,C. Diallo enters the game for E. Okafor
5:15.0,K. Oubre enters the game for M. Gortat,,68-50,,
5:05.0,,,68-50,,Turnover by D. Miller (bad pass; steal by K. Oubre)
5:05.0,,,68-50,,Personal foul by C. Diallo (drawn by K. Oubre)
4:56.0,T. Satoransky misses 2-pt shot from 12 ft,,68-50,,
4:54.0,,,68-50,,Defensive rebound by C. Diallo
4:49.0,,,68-50,,J. Holiday misses 2-pt shot from 14 ft
4:49.0,Defensive rebound by O. Porter,,68-50,,
4:24.0,Shooting foul by D. Miller (drawn by K. Oubre),,68-50,,
4:24.0,K. Oubre makes free throw 1 of 2,1,69-50,,
4:24.0,K. Oubre makes free throw 2 of 2,1,70-50,,
4:05.0,,,70-50,,I. Clark misses 3-pt shot from 26 ft (block by M. Morris)
4:01.0,Defensive rebound by K. Oubre,,70-50,,
3:50.0,O. Porter misses 3-pt shot from 25 ft,,70-50,,
3:45.0,,,70-50,,Defensive rebound by C. Diallo
3:36.0,,,70-50,,C. Diallo misses 2-pt shot from 4 ft
3:33.0,Defensive rebound by M. Morris,,70-50,,
3:23.0,M. Morris makes 2-pt shot from 1 ft (assist by B. Beal),2,72-50,,
3:04.0,,,72-50,,C. Diallo misses 2-pt shot from 7 ft
3:01.0,Defensive rebound by T. Satoransky,,72-50,,
2:58.0,B. Beal makes 3-pt shot from 26 ft (assist by T. Satoransky),3,75-50,,
2:57.0,,,75-50,,New Orleans full timeout
2:57.0,,,75-50,,D. Liggins enters the game for N. Mirotic
2:57.0,,,75-50,,E. Moore enters the game for J. Holiday
2:57.0,R. Sessions enters the game for M. Morris,,75-50,,
2:57.0,M. Scott enters the game for T. Satoransky,,75-50,,
2:36.0,,,75-50,,I. Clark misses 2-pt shot from 4 ft
2:33.0,Defensive rebound by O. Porter,,75-50,,
2:19.0,Shooting foul by I. Clark (drawn by B. Beal),,75-50,,
2:19.0,B. Beal makes free throw 1 of 2,1,76-50,,
2:19.0,J. Meeks enters the game for O. Porter,,76-50,,
2:19.0,B. Beal makes free throw 2 of 2,1,77-50,,
2:10.0,,,77-53,3,D. Miller makes 3-pt shot from 24 ft (assist by C. Diallo)
1:41.0,B. Beal makes 3-pt shot from 25 ft (assist by R. Sessions),3,80-53,,
1:32.0,,,80-55,2,I. Clark makes 2-pt shot from 1 ft (assist by E. Moore)
1:14.0,J. Meeks makes 2-pt shot from 2 ft (assist by M. Scott),2,82-55,,
1:06.0,,,82-58,3,D. Miller makes 3-pt shot from 25 ft (assist by C. Diallo)
0:49.0,M. Scott misses 2-pt shot from 5 ft,,82-58,,
0:46.0,,,82-58,,Defensive rebound by D. Liggins
0:41.0,Personal foul by K. Oubre (drawn by E. Moore),,82-58,,
0:30.0,,,82-60,2,E. Moore makes 2-pt shot from 1 ft
0:15.0,,,82-60,,Personal foul by D. Liggins (drawn by R. Sessions)
0:15.0,R. Sessions makes free throw 1 of 2,1,83-60,,
0:15.0,R. Sessions misses free throw 2 of 2,,83-60,,
0:14.0,,,83-60,,Defensive rebound by E. Moore
0:09.0,,,83-60,,Shooting foul by R. Sessions (drawn by D. Miller)
0:09.0,,,83-61,1,D. Miller makes free throw 1 of 2
0:09.0,,,83-62,1,D. Miller makes free throw 2 of 2
0:00.0,B. Beal misses 2-pt shot from 11 ft,,83-62,,
0:00.0,Offensive rebound by Team,,83-62,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Scott misses 3-pt shot from 25 ft,,83-62,,
11:42.0,,,83-62,,Defensive rebound by I. Clark
11:26.0,,,83-62,,D. Miller misses 3-pt shot from 28 ft
11:21.0,Defensive rebound by K. Oubre,,83-62,,
11:08.0,M. Scott makes 2-pt shot from 8 ft (assist by T. Satoransky),2,85-62,,
10:56.0,,,85-62,,I. Clark misses 2-pt shot from 16 ft
10:55.0,,,85-62,,Offensive rebound by Team
10:44.0,,,85-64,2,C. Diallo makes 2-pt shot at rim (assist by I. Clark)
10:28.0,"R. Sessions misses 2-pt shot from 5 ft (block by W. Lemon, Jr.)",,85-64,,
10:28.0,,,85-64,,Defensive rebound by I. Clark
10:19.0,,,85-67,3,"D. Liggins makes 3-pt shot from 23 ft (assist by W. Lemon, Jr.)"
10:03.0,K. Oubre makes 2-pt shot at rim,2,87-67,,
9:54.0,,,87-67,,C. Diallo misses 2-pt shot from 4 ft
9:51.0,Defensive rebound by M. Scott,,87-67,,
9:46.0,M. Scott makes 2-pt shot from 1 ft (assist by K. Oubre),2,89-67,,
9:46.0,Shooting foul by C. Diallo (drawn by M. Scott),,89-67,,
9:46.0,M. Scott makes free throw 1 of 1,1,90-67,,
9:30.0,,,90-67,,"W. Lemon, Jr. misses 2-pt shot from 1 ft"
9:27.0,Defensive rebound by M. Scott,,90-67,,
9:19.0,K. Oubre misses 3-pt shot from 29 ft,,90-67,,
9:14.0,,,90-67,,Defensive rebound by C. Diallo
9:05.0,,,90-69,2,"I. Clark makes 2-pt shot from 1 ft (assist by W. Lemon, Jr.)"
8:49.0,J. Meeks makes 3-pt shot from 26 ft (assist by R. Sessions),3,93-69,,
8:29.0,,,93-72,3,D. Liggins makes 3-pt shot from 26 ft (assist by I. Clark)
8:13.0,J. Meeks misses 2-pt shot from 4 ft,,93-72,,
8:10.0,,,93-72,,Defensive rebound by D. Liggins
8:06.0,,,93-74,2,D. Liggins makes 2-pt shot from 23 ft
8:05.0,Washington full timeout,,93-74,,
7:49.0,"Shooting foul by W. Lemon, Jr. (drawn by R. Sessions)",,93-74,,
7:49.0,R. Sessions misses free throw 1 of 2,,93-74,,
7:49.0,Offensive rebound by Team,,93-74,,
7:49.0,R. Sessions makes free throw 2 of 2,1,94-74,,
7:32.0,,,94-76,2,C. Diallo makes 2-pt shot from 1 ft (assist by D. Miller)
7:12.0,K. Oubre makes 2-pt shot at rim,2,96-76,,
6:46.0,,,96-76,,D. Liggins misses 2-pt shot from 15 ft
6:43.0,Defensive rebound by M. Scott,,96-76,,
6:40.0,R. Sessions makes 2-pt shot from 7 ft (assist by T. Satoransky),2,98-76,,
6:40.0,Shooting foul by D. Miller (drawn by R. Sessions),,98-76,,
6:40.0,R. Sessions makes free throw 1 of 1,1,99-76,,
6:29.0,,,99-76,,I. Clark misses 2-pt shot from 22 ft
6:24.0,Defensive rebound by T. Satoransky,,99-76,,
6:21.0,T. Satoransky makes 2-pt shot from 1 ft (assist by J. Meeks),2,101-76,,
6:21.0,,,101-76,,New Orleans full timeout
6:21.0,J. Smith enters the game for M. Scott,,101-76,,
6:21.0,T. Frazier enters the game for T. Satoransky,,101-76,,
6:03.0,,,101-76,,D. Miller misses 2-pt shot from 20 ft
5:59.0,,,101-76,,Offensive rebound by C. Diallo
5:58.0,,,101-78,2,C. Diallo makes 2-pt shot at rim
5:44.0,J. Meeks makes 3-pt shot from 25 ft (assist by R. Sessions),3,104-78,,
5:32.0,,,104-78,,I. Clark misses 2-pt shot from 18 ft
5:29.0,Defensive rebound by J. Meeks,,104-78,,
5:20.0,J. Smith misses 2-pt shot from 1 ft (block by C. Diallo),,104-78,,
5:17.0,,,104-78,,"Defensive rebound by W. Lemon, Jr."
5:15.0,,,104-80,2,"W. Lemon, Jr. makes 2-pt shot from 1 ft"
5:15.0,,,104-80,,"Shooting foul by T. Frazier (drawn by W. Lemon, Jr.)"
5:15.0,,,104-81,1,"W. Lemon, Jr. makes free throw 1 of 1"
4:56.0,Turnover by J. Smith (bad pass; steal by I. Clark),,104-81,,
4:50.0,,,104-81,,"Turnover by W. Lemon, Jr. (bad pass; steal by J. Meeks)"
4:38.0,R. Sessions misses 2-pt shot from 7 ft,,104-81,,
4:34.0,,,104-81,,Defensive rebound by C. Diallo
4:22.0,,,104-83,2,"W. Lemon, Jr. makes 2-pt shot from 5 ft"
4:03.0,J. Meeks misses 2-pt shot from 12 ft,,104-83,,
4:00.0,,,104-83,,Defensive rebound by C. Diallo
3:55.0,,,104-85,2,"W. Lemon, Jr. makes 2-pt shot at rim"
3:39.0,K. Oubre misses 3-pt shot from 26 ft,,104-85,,
3:35.0,,,104-85,,Defensive rebound by C. Diallo
3:24.0,,,104-85,,"W. Lemon, Jr. misses 2-pt shot from 8 ft"
3:20.0,Defensive rebound by T. Frazier,,104-85,,
3:15.0,"Shooting foul by W. Lemon, Jr. (drawn by R. Sessions)",,104-85,,
3:15.0,R. Sessions makes free throw 1 of 2,1,105-85,,
3:15.0,R. Sessions makes free throw 2 of 2,1,106-85,,
3:01.0,,,106-88,3,D. Miller makes 3-pt shot from 25 ft (assist by D. Liggins)
2:43.0,K. Oubre makes 2-pt shot from 1 ft,2,108-88,,
