time,Portland,pts.away,score,pts.home,Cleveland
6:37.0,Turnover by D. Lillard (offensive foul),,15-13,,
6:37.0,,,15-13,,Cleveland full timeout
6:17.0,,,15-15,2,L. James makes 2-pt shot from 14 ft
5:59.0,J. Nurkic misses 2-pt shot from 12 ft (block by K. Love),,15-15,,
5:55.0,,,15-15,,Defensive rebound by K. Love
5:52.0,,,15-15,,K. Love misses 3-pt shot from 29 ft
5:49.0,Defensive rebound by J. Nurkic,,15-15,,
5:38.0,E. Turner makes 2-pt shot from 1 ft (assist by J. Nurkic),2,17-15,,
5:23.0,,,17-15,,Turnover by K. Love (lost ball; steal by A. Aminu)
5:17.0,D. Lillard misses 2-pt shot from 18 ft,,17-15,,
5:12.0,,,17-15,,Defensive rebound by J. Crowder
5:09.0,,,17-17,2,L. James makes 2-pt shot from 1 ft (assist by J. Crowder)
4:49.0,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard),2,19-17,,
4:33.0,,,19-17,,Turnover by J. Crowder (out of bounds lost ball)
4:33.0,,,19-17,,I. Thomas enters the game for J. Calderon
4:33.0,P. Connaughton enters the game for C. McCollum,,19-17,,
4:33.0,E. Davis enters the game for J. Nurkic,,19-17,,
4:16.0,E. Turner makes 2-pt shot from 14 ft,2,21-17,,
4:05.0,,,21-19,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
3:56.0,A. Aminu misses 2-pt shot from 3 ft (block by J. Crowder),,21-19,,
3:56.0,Offensive rebound by Team,,21-19,,
3:54.0,Jump ball: J. Crowder vs. A. Aminu (P. Connaughton gains possession),,,,Jump ball: J. Crowder vs. A. Aminu (P. Connaughton gains possession)
3:51.0,D. Lillard makes 3-pt shot from 27 ft (assist by P. Connaughton),3,24-19,,
3:42.0,Personal foul by A. Aminu (drawn by I. Thomas),,24-19,,
3:36.0,,,24-19,,I. Thomas misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by E. Davis,,24-19,,
3:24.0,E. Turner makes 2-pt shot from 12 ft,2,26-19,,
3:12.0,,,26-19,,J. Crowder misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by A. Aminu,,26-19,,
2:58.0,P. Connaughton misses 3-pt shot from 29 ft,,26-19,,
2:55.0,,,26-19,,Defensive rebound by L. James
2:50.0,,,26-21,2,L. James makes 2-pt shot from 8 ft
2:50.0,Portland full timeout,,26-21,,
2:50.0,,,26-21,,D. Wade enters the game for K. Love
2:50.0,,,26-21,,T. Thompson enters the game for J. Smith
2:50.0,C. McCollum enters the game for D. Lillard,,26-21,,
2:50.0,S. Napier enters the game for P. Connaughton,,26-21,,
2:42.0,,,26-21,,Personal foul by J. Crowder (drawn by C. McCollum)
2:42.0,,,26-21,,J. Green enters the game for J. Crowder
2:42.0,M. Harkless enters the game for A. Aminu,,26-21,,
2:35.0,M. Harkless misses 2-pt shot from 1 ft,,26-21,,
2:33.0,,,26-21,,Defensive rebound by L. James
2:27.0,,,26-21,,L. James misses 2-pt shot at rim (block by E. Davis)
2:22.0,,,26-21,,Offensive rebound by L. James
2:21.0,,,26-21,,I. Thomas misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by S. Napier,,26-21,,
2:08.0,S. Napier misses 2-pt shot from 16 ft,,26-21,,
2:05.0,,,26-21,,Defensive rebound by J. Green
2:02.0,,,26-23,2,L. James makes 2-pt shot from 1 ft (assist by D. Wade)
1:50.0,Turnover by C. McCollum (bad pass; steal by L. James),,26-23,,
1:45.0,,,26-23,,J. Green misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by C. McCollum,,26-23,,
1:36.0,C. McCollum makes 2-pt shot from 1 ft,2,28-23,,
1:11.0,,,28-25,2,I. Thomas makes 2-pt shot from 13 ft (assist by L. James)
0:49.0,E. Turner misses 2-pt shot from 18 ft,,28-25,,
0:48.0,,,28-25,,Defensive rebound by Team
0:48.0,,,28-25,,K. Korver enters the game for L. James
0:48.0,P. Connaughton enters the game for E. Turner,,28-25,,
0:32.0,,,28-27,2,I. Thomas makes 2-pt shot from 1 ft
0:32.0,,,28-27,,Shooting foul by S. Napier (drawn by I. Thomas)
0:32.0,,,28-28,1,I. Thomas makes free throw 1 of 1
0:18.0,P. Connaughton misses 3-pt shot from 22 ft,,28-28,,
0:15.0,,,28-28,,Defensive rebound by D. Wade
0:00.0,,,28-28,,I. Thomas misses 3-pt shot from 26 ft
0:00.0,,,28-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-30,2,D. Wade makes 2-pt shot from 13 ft
11:29.0,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum),2,30-30,,
11:17.0,,,30-32,2,T. Thompson makes 2-pt shot from 1 ft (assist by D. Wade)
11:04.0,Shooting foul by D. Wade (drawn by P. Connaughton),,30-32,,
11:04.0,P. Connaughton makes free throw 1 of 2,1,31-32,,
11:04.0,P. Connaughton makes free throw 2 of 2,1,32-32,,
10:53.0,,,32-32,,J. Green misses 2-pt shot from 3 ft (block by M. Harkless)
10:53.0,,,32-32,,Offensive rebound by Team
10:43.0,,,32-34,2,D. Wade makes 2-pt shot from 20 ft (assist by J. Green)
10:28.0,C. McCollum misses 3-pt shot from 28 ft,,32-34,,
10:21.0,Offensive rebound by E. Davis,,32-34,,
10:20.0,M. Harkless misses 3-pt shot from 26 ft,,32-34,,
10:17.0,,,32-34,,Defensive rebound by T. Thompson
10:13.0,,,32-37,3,I. Thomas makes 3-pt shot from 25 ft
9:56.0,S. Napier misses 3-pt shot from 25 ft,,32-37,,
9:53.0,,,32-37,,Defensive rebound by T. Thompson
9:48.0,,,32-37,,D. Wade misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by P. Connaughton,,32-37,,
9:39.0,S. Napier misses 3-pt shot from 25 ft,,32-37,,
9:35.0,,,32-37,,Defensive rebound by T. Thompson
9:32.0,,,32-37,,Cleveland full timeout
9:32.0,,,32-37,,L. James enters the game for I. Thomas
9:32.0,E. Turner enters the game for S. Napier,,32-37,,
9:32.0,D. Lillard enters the game for P. Connaughton,,32-37,,
9:23.0,,,32-39,2,K. Korver makes 2-pt shot from 20 ft (assist by L. James)
9:01.0,C. McCollum makes 3-pt shot from 26 ft,3,35-39,,
8:45.0,,,35-39,,D. Wade misses 2-pt shot from 12 ft
8:41.0,,,35-39,,Offensive rebound by T. Thompson
8:34.0,,,35-39,,L. James misses 3-pt shot from 32 ft
8:31.0,Defensive rebound by E. Davis,,35-39,,
8:24.0,D. Lillard makes 2-pt shot from 21 ft,2,37-39,,
8:12.0,Personal foul by E. Davis (drawn by T. Thompson),,37-39,,
8:12.0,J. Nurkic enters the game for M. Harkless,,37-39,,
8:12.0,A. Aminu enters the game for E. Davis,,37-39,,
8:09.0,,,37-39,,T. Thompson misses 2-pt shot from 15 ft
8:06.0,Defensive rebound by A. Aminu,,37-39,,
8:00.0,C. McCollum misses 2-pt shot from 12 ft,,37-39,,
8:00.0,Offensive rebound by J. Nurkic,,37-39,,
7:50.0,J. Nurkic makes 2-pt shot at rim,2,39-39,,
7:42.0,,,39-39,,K. Korver misses 2-pt shot from 16 ft
7:42.0,,,39-39,,Offensive rebound by T. Thompson
7:33.0,,,39-39,,T. Thompson misses 2-pt shot at rim
7:32.0,Defensive rebound by J. Nurkic,,39-39,,
7:25.0,E. Turner makes 2-pt shot at rim (assist by J. Nurkic),2,41-39,,
7:07.0,,,41-39,,D. Wade misses 2-pt shot from 11 ft
7:03.0,,,41-39,,Offensive rebound by T. Thompson
7:00.0,,,41-39,,L. James misses 2-pt shot from 1 ft
6:56.0,Defensive rebound by J. Nurkic,,41-39,,
6:55.0,Turnover by D. Lillard (bad pass; steal by J. Green),,41-39,,
6:55.0,Shooting block foul by J. Nurkic (drawn by J. Green),,41-39,,
6:55.0,,,41-40,1,J. Green makes free throw 1 of 2
6:55.0,,,41-40,,K. Love enters the game for D. Wade
6:55.0,,,41-40,,J. Smith enters the game for T. Thompson
6:55.0,P. Connaughton enters the game for C. McCollum,,41-40,,
6:55.0,,,41-41,1,J. Green makes free throw 2 of 2
6:33.0,A. Aminu misses 3-pt shot from 25 ft,,41-41,,
6:32.0,Offensive rebound by Team,,41-41,,
6:32.0,,,41-41,,Loose ball foul by J. Green (drawn by J. Nurkic)
6:30.0,Turnover by D. Lillard (bad pass; steal by J. Smith),,41-41,,
6:24.0,,,41-44,3,K. Love makes 3-pt shot from 22 ft (assist by L. James)
6:06.0,,,41-44,,Personal foul by K. Korver (drawn by J. Nurkic)
5:59.0,J. Nurkic makes 2-pt shot from 10 ft (assist by D. Lillard),2,43-44,,
5:40.0,,,43-44,,L. James misses 2-pt shot from 13 ft
5:40.0,,,43-44,,Offensive rebound by Team
5:40.0,,,43-44,,J. Crowder enters the game for J. Green
5:38.0,,,43-44,,K. Korver misses 2-pt shot from 18 ft
5:34.0,Defensive rebound by A. Aminu,,43-44,,
5:20.0,D. Lillard makes 3-pt shot from 30 ft (assist by J. Nurkic),3,46-44,,
5:04.0,Personal foul by P. Connaughton (drawn by K. Love),,46-44,,
4:59.0,,,46-44,,Turnover by K. Love (lost ball; steal by D. Lillard)
4:52.0,Shooting foul by L. James (drawn by J. Nurkic),,46-44,,
4:52.0,J. Nurkic makes free throw 1 of 2,1,47-44,,
4:52.0,,,47-44,,I. Thomas enters the game for K. Korver
4:52.0,C. McCollum enters the game for P. Connaughton,,47-44,,
4:52.0,J. Nurkic misses free throw 2 of 2,,47-44,,
4:50.0,,,47-44,,Defensive rebound by K. Love
4:37.0,,,47-46,2,L. James makes 2-pt shot at rim (assist by I. Thomas)
4:16.0,C. McCollum makes 3-pt shot from 22 ft (assist by A. Aminu),3,50-46,,
3:59.0,,,50-46,,Turnover by L. James (traveling)
3:39.0,Turnover by D. Lillard (bad pass; steal by L. James),,50-46,,
3:39.0,Personal foul by E. Turner (drawn by K. Love),,50-46,,
3:18.0,,,50-46,,J. Crowder misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by E. Turner,,50-46,,
3:18.0,,,50-46,,Technical foul by I. Thomas
3:18.0,D. Lillard makes technical free throw,1,51-46,,
3:18.0,Portland full timeout,,51-46,,
3:06.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,53-46,,
2:39.0,,,53-46,,L. James misses 2-pt shot from 6 ft (block by E. Turner)
2:36.0,Defensive rebound by E. Turner,,53-46,,
2:30.0,D. Lillard makes 3-pt shot from 29 ft,3,56-46,,
2:06.0,,,56-46,,J. Crowder misses 2-pt shot from 2 ft
2:03.0,Defensive rebound by C. McCollum,,56-46,,
1:59.0,A. Aminu misses 3-pt shot from 23 ft,,56-46,,
1:56.0,,,56-46,,Defensive rebound by L. James
1:54.0,,,56-46,,Shooting foul by C. McCollum (drawn by L. James)
1:54.0,,,56-47,1,L. James makes free throw 1 of 2
1:54.0,,,56-48,1,L. James makes free throw 2 of 2
1:38.0,C. McCollum misses 2-pt shot from 8 ft,,56-48,,
1:36.0,,,56-48,,Defensive rebound by K. Love
1:31.0,,,56-51,3,J. Crowder makes 3-pt shot from 24 ft (assist by J. Smith)
1:08.0,E. Turner misses 2-pt shot from 10 ft,,56-51,,
1:06.0,Offensive rebound by J. Nurkic,,56-51,,
1:03.0,J. Nurkic misses 2-pt shot from 5 ft,,56-51,,
1:03.0,Offensive rebound by E. Turner,,56-51,,
1:01.0,E. Turner misses 2-pt shot at rim,,56-51,,
1:01.0,Offensive rebound by A. Aminu,,56-51,,
1:00.0,A. Aminu misses 2-pt shot from 1 ft,,56-51,,
0:59.0,,,56-51,,Defensive rebound by K. Love
0:57.0,,,56-51,,Offensive foul by L. James (drawn by J. Nurkic)
0:57.0,,,56-51,,Turnover by L. James (offensive foul)
0:57.0,,,56-51,,J. Green enters the game for L. James
0:46.0,Turnover by A. Aminu (traveling),,56-51,,
0:29.0,,,56-51,,J. Crowder misses 3-pt shot from 25 ft
0:27.0,,,56-51,,Offensive rebound by K. Love
0:25.0,,,56-53,2,J. Crowder makes 2-pt shot from 2 ft (assist by J. Green)
0:02.0,C. McCollum misses 3-pt shot from 24 ft,,56-53,,
0:02.0,,,56-53,,Defensive rebound by J. Green
0:00.0,,,56-53,,J. Green misses 3-pt shot from 54 ft
0:00.0,,,56-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,56-53,,Shooting foul by A. Aminu (drawn by K. Love)
11:44.0,,,56-54,1,K. Love makes free throw 1 of 2
11:44.0,,,56-55,1,K. Love makes free throw 2 of 2
11:28.0,E. Turner misses 2-pt shot from 7 ft,,56-55,,
11:25.0,,,56-55,,Defensive rebound by K. Love
11:20.0,,,56-58,3,J. Crowder makes 3-pt shot from 25 ft (assist by L. James)
11:03.0,C. McCollum misses 2-pt shot from 2 ft,,56-58,,
11:02.0,Offensive rebound by A. Aminu,,56-58,,
11:02.0,Shooting foul by J. Crowder (drawn by A. Aminu),,56-58,,
11:02.0,A. Aminu makes free throw 1 of 2,1,57-58,,
11:02.0,A. Aminu makes free throw 2 of 2,1,58-58,,
10:50.0,,,58-58,,J. Smith misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by E. Turner,,58-58,,
10:36.0,Turnover by C. McCollum (lost ball; steal by J. Crowder),,58-58,,
10:33.0,,,58-58,,Turnover by L. James (lost ball; steal by J. Nurkic)
10:28.0,C. McCollum makes 2-pt shot from 18 ft,2,60-58,,
10:23.0,Personal foul by D. Lillard (drawn by J. Calderon),,60-58,,
10:16.0,,,60-61,3,J. Crowder makes 3-pt shot from 25 ft (assist by L. James)
9:57.0,D. Lillard makes 2-pt shot from 17 ft (assist by E. Turner),2,62-61,,
9:42.0,Personal foul by E. Turner (drawn by L. James),,62-61,,
9:31.0,,,62-61,,L. James misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by J. Nurkic,,62-61,,
9:21.0,Turnover by D. Lillard (bad pass; steal by K. Love),,62-61,,
9:17.0,,,62-63,2,L. James makes 2-pt shot at rim (assist by J. Crowder)
8:58.0,,,62-63,,Personal foul by J. Smith (drawn by A. Aminu)
8:48.0,J. Nurkic makes 2-pt shot from 7 ft (assist by E. Turner),2,64-63,,
8:35.0,,,64-66,3,K. Love makes 3-pt shot from 25 ft (assist by J. Calderon)
8:14.0,E. Turner misses 2-pt shot from 1 ft (block by L. James),,64-66,,
8:11.0,,,64-66,,Defensive rebound by J. Crowder
8:09.0,,,64-66,,Turnover by J. Calderon (bad pass; steal by J. Nurkic)
8:07.0,Shooting foul by J. Calderon (drawn by J. Nurkic),,64-66,,
8:07.0,J. Nurkic misses free throw 1 of 2,,64-66,,
8:07.0,Offensive rebound by Team,,64-66,,
8:07.0,J. Nurkic makes free throw 2 of 2,1,65-66,,
7:49.0,Personal foul by A. Aminu (drawn by K. Love),,65-66,,
7:48.0,,,65-66,,Shooting foul by C. McCollum (drawn by K. Love)
7:48.0,,,65-66,,K. Love misses free throw 1 of 2
7:48.0,,,65-66,,Offensive rebound by Team
7:48.0,,,65-67,1,K. Love makes free throw 2 of 2
7:27.0,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard),2,67-67,,
7:20.0,,,67-70,3,K. Love makes 3-pt shot from 24 ft (assist by J. Calderon)
6:53.0,D. Lillard makes 3-pt shot from 25 ft,3,70-70,,
6:30.0,,,70-70,,J. Crowder misses 2-pt shot from 19 ft
6:28.0,Defensive rebound by A. Aminu,,70-70,,
6:10.0,E. Turner misses 3-pt shot from 25 ft,,70-70,,
6:08.0,Offensive rebound by A. Aminu,,70-70,,
6:04.0,D. Lillard misses 3-pt shot from 25 ft,,70-70,,
5:58.0,Offensive rebound by E. Turner,,70-70,,
5:58.0,E. Turner misses 2-pt shot at rim,,70-70,,
5:55.0,Offensive rebound by E. Turner,,70-70,,
5:55.0,E. Turner makes 2-pt shot at rim,2,72-70,,
5:43.0,,,72-70,,J. Calderon misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by C. McCollum,,72-70,,
5:36.0,,,72-70,,Personal foul by J. Calderon (drawn by C. McCollum)
5:36.0,,,72-70,,Cleveland full timeout
5:26.0,Turnover by A. Aminu (lost ball; steal by J. Crowder),,72-70,,
5:14.0,,,72-73,3,K. Love makes 3-pt shot from 22 ft (assist by J. Smith)
4:58.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,74-73,,
4:41.0,,,74-75,2,L. James makes 2-pt shot from 1 ft (assist by J. Crowder)
4:26.0,Turnover by D. Lillard (bad pass),,74-75,,
4:26.0,P. Connaughton enters the game for E. Turner,,74-75,,
4:26.0,M. Harkless enters the game for C. McCollum,,74-75,,
4:13.0,,,74-77,2,J. Smith makes 2-pt shot from 5 ft (assist by L. James)
3:48.0,Turnover by D. Lillard (traveling),,74-77,,
3:48.0,,,74-77,,D. Wade enters the game for J. Calderon
3:36.0,,,74-77,,Shooting foul by M. Harkless (drawn by J. Smith)
3:36.0,,,74-78,1,J. Smith makes free throw 1 of 2
3:36.0,,,74-79,1,J. Smith makes free throw 2 of 2
3:25.0,D. Lillard makes 3-pt shot from 26 ft (assist by M. Harkless),3,77-79,,
3:13.0,Personal foul by J. Nurkic (drawn by J. Crowder),,77-79,,
3:13.0,,,77-80,1,J. Crowder makes free throw 1 of 2
3:13.0,,,77-80,,I. Thomas enters the game for J. Smith
3:13.0,E. Davis enters the game for J. Nurkic,,77-80,,
3:13.0,,,77-80,,J. Crowder misses free throw 2 of 2
3:11.0,Defensive rebound by M. Harkless,,77-80,,
3:04.0,Shooting foul by I. Thomas (drawn by D. Lillard),,77-80,,
3:04.0,D. Lillard makes free throw 1 of 3,1,78-80,,
3:04.0,D. Lillard makes free throw 2 of 3,1,79-80,,
3:04.0,,,79-80,,J. Green enters the game for J. Crowder
3:04.0,D. Lillard misses free throw 3 of 3,,79-80,,
3:02.0,,,79-80,,Defensive rebound by L. James
2:51.0,,,79-82,2,D. Wade makes 2-pt shot at rim (assist by L. James)
2:30.0,P. Connaughton misses 2-pt shot from 8 ft,,79-82,,
2:28.0,,,79-82,,Defensive rebound by L. James
2:23.0,,,79-82,,Shooting foul by M. Harkless (drawn by J. Green)
2:23.0,Portland full timeout,,79-82,,
2:23.0,,,79-82,,T. Thompson enters the game for K. Love
2:23.0,E. Turner enters the game for D. Lillard,,79-82,,
2:23.0,C. McCollum enters the game for A. Aminu,,79-82,,
2:23.0,,,79-83,1,J. Green makes free throw 1 of 2
2:23.0,,,79-84,1,J. Green makes free throw 2 of 2
2:10.0,Turnover by E. Turner (lost ball; steal by L. James),,79-84,,
1:59.0,,,79-84,,I. Thomas misses 2-pt shot from 1 ft (block by P. Connaughton)
1:56.0,Defensive rebound by E. Turner,,79-84,,
1:53.0,Turnover by C. McCollum (bad pass; steal by L. James),,79-84,,
1:48.0,,,79-87,3,I. Thomas makes 3-pt shot from 23 ft (assist by J. Green)
1:24.0,E. Turner makes 3-pt shot from 24 ft,3,82-87,,
1:08.0,,,82-87,,Turnover by I. Thomas (lost ball; steal by E. Davis)
0:58.0,M. Harkless misses 2-pt shot from 3 ft,,82-87,,
0:58.0,Offensive rebound by Team,,82-87,,
0:56.0,,,82-87,,K. Korver enters the game for L. James
0:56.0,S. Napier enters the game for P. Connaughton,,82-87,,
0:47.0,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum),2,84-87,,
0:41.0,,,84-87,,Shooting foul by S. Napier (drawn by I. Thomas)
0:41.0,,,84-87,,I. Thomas misses free throw 1 of 3
0:41.0,,,84-87,,Offensive rebound by Team
0:41.0,,,84-88,1,I. Thomas makes free throw 2 of 3
0:41.0,,,84-88,,I. Thomas misses free throw 3 of 3
0:40.0,Defensive rebound by E. Turner,,84-88,,
0:33.0,C. McCollum makes 3-pt shot from 27 ft,3,87-88,,
0:25.0,,,87-88,,Shooting foul by E. Davis (drawn by D. Wade)
0:25.0,,,87-89,1,D. Wade makes free throw 1 of 2
0:25.0,D. Lillard enters the game for E. Turner,,87-89,,
0:25.0,,,87-89,,D. Wade misses free throw 2 of 2
0:22.0,Defensive rebound by Team,,87-89,,
0:18.0,Jump ball: J. Green vs. E. Davis (D. Lillard gains possession),,,,Jump ball: J. Green vs. E. Davis (D. Lillard gains possession)
0:15.0,D. Lillard misses 2-pt shot from 2 ft,,87-89,,
0:13.0,,,87-89,,Defensive rebound by K. Korver
0:02.0,,,87-91,2,T. Thompson makes 2-pt shot from 1 ft (assist by D. Wade)
0:00.0,M. Harkless misses 3-pt shot from 25 ft,,87-91,,
0:00.0,Offensive rebound by Team,,87-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by I. Thomas (drawn by E. Davis),,87-91,,
11:49.0,E. Davis misses free throw 1 of 2,,87-91,,
11:49.0,Offensive rebound by Team,,87-91,,
11:49.0,E. Davis makes free throw 2 of 2,1,88-91,,
11:36.0,,,88-91,,Offensive foul by I. Thomas (drawn by S. Napier)
11:36.0,,,88-91,,Turnover by I. Thomas (offensive foul)
11:22.0,M. Harkless makes 3-pt shot from 24 ft (assist by E. Turner),3,91-91,,
11:04.0,,,91-91,,I. Thomas misses 3-pt shot from 23 ft
11:03.0,,,91-91,,Offensive rebound by D. Wade
11:03.0,Personal foul by E. Turner (drawn by D. Wade),,91-91,,
11:03.0,A. Aminu enters the game for E. Turner,,91-91,,
10:55.0,,,91-93,2,D. Wade makes 2-pt shot from 18 ft
10:41.0,C. McCollum misses 2-pt shot from 15 ft,,91-93,,
10:39.0,,,91-93,,Defensive rebound by D. Wade
10:30.0,,,91-93,,D. Wade misses 2-pt shot from 13 ft
10:28.0,,,91-93,,Offensive rebound by D. Wade
10:28.0,,,91-93,,D. Wade misses 2-pt shot at rim
10:28.0,,,91-93,,Offensive rebound by T. Thompson
10:28.0,,,91-93,,Shooting foul by E. Davis (drawn by T. Thompson)
10:28.0,,,91-93,,T. Thompson misses free throw 1 of 2
10:28.0,,,91-93,,Offensive rebound by Team
10:28.0,,,91-93,,T. Thompson misses free throw 2 of 2
10:27.0,,,91-93,,Offensive rebound by Team
10:27.0,Loose ball foul by E. Davis (drawn by J. Green),,91-93,,
10:21.0,,,91-95,2,I. Thomas makes 2-pt shot from 15 ft
10:02.0,S. Napier misses 2-pt shot from 14 ft,,91-95,,
10:00.0,,,91-95,,Defensive rebound by K. Korver
9:54.0,,,91-97,2,D. Wade makes 2-pt shot from 1 ft (assist by I. Thomas)
9:54.0,Portland full timeout,,91-97,,
9:54.0,J. Nurkic enters the game for S. Napier,,91-97,,
9:54.0,D. Lillard enters the game for E. Davis,,91-97,,
9:35.0,C. McCollum misses 2-pt shot from 15 ft,,91-97,,
9:33.0,,,91-97,,Defensive rebound by D. Wade
9:21.0,,,91-100,3,I. Thomas makes 3-pt shot from 26 ft
9:08.0,D. Lillard misses 3-pt shot from 25 ft,,91-100,,
9:05.0,,,91-100,,Defensive rebound by D. Wade
9:00.0,,,91-102,2,D. Wade makes 2-pt shot from 12 ft
8:42.0,A. Aminu misses 3-pt shot from 25 ft,,91-102,,
8:40.0,,,91-102,,Defensive rebound by T. Thompson
8:26.0,,,91-102,,I. Thomas misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by J. Nurkic,,91-102,,
8:17.0,M. Harkless misses 2-pt shot from 18 ft,,91-102,,
8:15.0,,,91-102,,Defensive rebound by D. Wade
8:10.0,,,91-102,,Shooting foul by M. Harkless (drawn by D. Wade)
8:10.0,,,91-103,1,D. Wade makes free throw 1 of 2
8:10.0,,,91-103,,L. James enters the game for I. Thomas
8:10.0,E. Turner enters the game for M. Harkless,,91-103,,
8:10.0,,,91-104,1,D. Wade makes free throw 2 of 2
7:58.0,J. Nurkic makes 2-pt shot from 10 ft (assist by D. Lillard),2,93-104,,
7:58.0,Shooting foul by K. Korver (drawn by J. Nurkic),,93-104,,
7:58.0,J. Nurkic misses free throw 1 of 1,,93-104,,
7:54.0,,,93-104,,Defensive rebound by Team
7:50.0,Jump ball: K. Korver vs. A. Aminu (L. James gains possession),,,,Jump ball: K. Korver vs. A. Aminu (L. James gains possession)
7:43.0,,,93-106,2,L. James makes 2-pt shot from 12 ft
7:18.0,Shooting foul by J. Green (drawn by J. Nurkic),,93-106,,
7:18.0,J. Nurkic misses free throw 1 of 2,,93-106,,
7:18.0,Offensive rebound by Team,,93-106,,
7:18.0,J. Nurkic makes free throw 2 of 2,1,94-106,,
7:10.0,Personal foul by E. Turner (drawn by L. James),,94-106,,
7:10.0,,,94-107,1,L. James makes free throw 1 of 2
7:10.0,,,94-108,1,L. James makes free throw 2 of 2
6:46.0,C. McCollum misses 3-pt shot from 26 ft,,94-108,,
6:44.0,,,94-108,,Defensive rebound by D. Wade
6:43.0,,,94-108,,Shooting foul by E. Turner (drawn by J. Green)
6:43.0,Technical foul by E. Turner,,94-108,,
6:43.0,M. Harkless enters the game for E. Turner,,94-108,,
6:43.0,,,94-109,1,K. Korver makes technical free throw
6:43.0,,,94-110,1,J. Green makes free throw 1 of 2
6:43.0,,,94-111,1,J. Green makes free throw 2 of 2
6:34.0,,,94-111,,Personal foul by T. Thompson (drawn by D. Lillard)
6:27.0,D. Lillard makes 3-pt shot from 28 ft (assist by C. McCollum),3,97-111,,
6:13.0,,,97-111,,Shooting foul by C. McCollum (drawn by J. Green)
6:13.0,,,97-112,1,J. Green makes free throw 1 of 2
