time,Denver,pts.away,score,pts.home,New York
1:44.0,,,18-31,2,E. Kanter makes 2-pt shot from 12 ft (assist by T. Hardaway)
1:32.0,Shooting foul by E. Kanter (drawn by E. Mudiay),,18-31,,
1:32.0,E. Mudiay makes free throw 1 of 2,1,19-31,,
1:32.0,,,19-31,,D. Dotson enters the game for T. Hardaway
1:32.0,,,19-31,,K. O'Quinn enters the game for E. Kanter
1:32.0,E. Mudiay makes free throw 2 of 2,1,20-31,,
1:16.0,,,20-31,,Turnover by F. Ntilikina (bad pass; steal by E. Mudiay)
1:11.0,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton),2,22-31,,
1:11.0,Shooting foul by F. Ntilikina (drawn by M. Plumlee),,22-31,,
1:11.0,M. Plumlee misses free throw 1 of 1,,22-31,,
1:11.0,,,22-31,,Defensive rebound by K. O'Quinn
0:51.0,,,22-31,,F. Ntilikina misses 2-pt shot from 16 ft
0:50.0,,,22-31,,Offensive rebound by K. O'Quinn
0:50.0,,,22-31,,Shooting foul by M. Plumlee (drawn by K. O'Quinn)
0:50.0,,,22-31,,K. O'Quinn misses free throw 1 of 2
0:50.0,,,22-31,,Offensive rebound by Team
0:50.0,,,22-32,1,K. O'Quinn makes free throw 2 of 2
0:32.0,W. Barton misses 2-pt shot from 3 ft (block by K. O'Quinn),,22-32,,
0:28.0,,,22-32,,Defensive rebound by D. Dotson
0:14.0,,,22-32,,M. Beasley misses 3-pt shot from 25 ft
0:10.0,,,22-32,,Offensive rebound by D. Dotson
0:07.0,,,22-35,3,D. McDermott makes 3-pt shot from 25 ft (assist by D. Dotson)
0:01.0,E. Mudiay makes 3-pt shot from 31 ft,3,25-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,D. Arthur misses 3-pt shot from 25 ft,,25-35,,
11:41.0,,,25-35,,Defensive rebound by F. Ntilikina
11:27.0,,,25-35,,D. McDermott misses 2-pt shot at rim
11:27.0,,,25-35,,Offensive rebound by K. O'Quinn
11:27.0,Personal foul by M. Plumlee (drawn by K. O'Quinn),,25-35,,
11:18.0,,,25-35,,D. McDermott misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by M. Plumlee,,25-35,,
11:05.0,E. Mudiay makes 3-pt shot from 24 ft,3,28-35,,
10:51.0,,,28-37,2,M. Beasley makes 2-pt shot from 1 ft (assist by K. O'Quinn)
10:29.0,W. Barton misses 2-pt shot from 1 ft,,28-37,,
10:26.0,,,28-37,,Defensive rebound by D. Dotson
10:23.0,,,28-37,,D. McDermott misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by E. Mudiay,,28-37,,
10:17.0,,,28-37,,Personal foul by F. Ntilikina (drawn by E. Mudiay)
10:17.0,K. Faried enters the game for M. Plumlee,,28-37,,
10:11.0,E. Mudiay misses 2-pt shot from 2 ft (block by K. O'Quinn),,28-37,,
10:07.0,,,28-37,,Defensive rebound by K. O'Quinn
10:00.0,,,28-39,2,D. McDermott makes 2-pt shot from 3 ft (assist by D. Dotson)
9:42.0,M. Beasley misses 2-pt shot from 1 ft (block by K. O'Quinn),,28-39,,
9:38.0,,,28-39,,Defensive rebound by D. Dotson
9:34.0,,,28-39,,Shooting foul by M. Beasley (drawn by K. O'Quinn)
9:34.0,,,28-40,1,K. O'Quinn makes free throw 1 of 2
9:34.0,,,28-41,1,K. O'Quinn makes free throw 2 of 2
9:17.0,D. Arthur misses 3-pt shot from 23 ft,,28-41,,
9:14.0,,,28-41,,Defensive rebound by D. Dotson
9:10.0,,,28-41,,F. Ntilikina misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by W. Barton,,28-41,,
8:58.0,Turnover by D. Arthur (lost ball; steal by F. Ntilikina),,28-41,,
8:56.0,,,28-41,,Shooting foul by M. Beasley (drawn by K. O'Quinn)
8:56.0,,,28-42,1,K. O'Quinn makes free throw 1 of 2
8:56.0,N. Jokic enters the game for D. Arthur,,28-42,,
8:56.0,,,28-43,1,K. O'Quinn makes free throw 2 of 2
8:42.0,N. Jokic makes 2-pt shot from 10 ft,2,30-43,,
8:29.0,Personal foul by K. Faried (drawn by M. Beasley),,30-43,,
8:24.0,Personal foul by M. Beasley (drawn by K. O'Quinn),,30-43,,
8:24.0,,,30-44,1,K. O'Quinn makes free throw 1 of 2
8:24.0,G. Harris enters the game for M. Beasley,,30-44,,
8:24.0,,,30-45,1,K. O'Quinn makes free throw 2 of 2
8:09.0,Turnover by N. Jokic (lost ball; steal by F. Ntilikina),,30-45,,
8:04.0,,,30-45,,D. Dotson misses 3-pt shot from 22 ft
8:03.0,,,30-45,,Offensive rebound by Team
7:52.0,,,30-47,2,K. O'Quinn makes 2-pt shot from 12 ft
7:41.0,N. Jokic misses 3-pt shot from 26 ft,,30-47,,
7:37.0,,,30-47,,Defensive rebound by D. McDermott
7:31.0,,,30-47,,Offensive charge foul by F. Ntilikina (drawn by N. Jokic)
7:31.0,,,30-47,,Turnover by F. Ntilikina (offensive foul)
7:31.0,,,30-47,,J. Jack enters the game for F. Ntilikina
7:20.0,Shooting foul by K. O'Quinn (drawn by W. Barton),,30-47,,
7:20.0,W. Barton misses free throw 1 of 2,,30-47,,
7:20.0,Offensive rebound by Team,,30-47,,
7:20.0,,,30-47,,C. Lee enters the game for D. Dotson
7:20.0,W. Barton makes free throw 2 of 2,1,31-47,,
7:04.0,,,31-49,2,M. Beasley makes 2-pt shot from 3 ft
7:04.0,,,31-49,,Shooting foul by K. Faried (drawn by M. Beasley)
7:04.0,,,31-49,,M. Beasley misses free throw 1 of 1
6:59.0,Defensive rebound by K. Faried,,31-49,,
6:59.0,Shooting foul by D. McDermott (drawn by W. Barton),,31-49,,
6:59.0,,,31-49,,New York full timeout
6:59.0,,,31-49,,E. Kanter enters the game for K. O'Quinn
6:59.0,P. Millsap enters the game for K. Faried,,31-49,,
6:59.0,W. Barton makes free throw 1 of 2,1,32-49,,
6:59.0,W. Barton misses free throw 2 of 2,,32-49,,
6:56.0,,,32-49,,Defensive rebound by E. Kanter
6:41.0,,,32-49,,K. Porzingis enters the game for M. Beasley
6:41.0,W. Chandler enters the game for E. Mudiay,,32-49,,
6:36.0,,,32-51,2,C. Lee makes 2-pt shot from 20 ft
6:17.0,W. Barton misses 3-pt shot from 25 ft,,32-51,,
6:15.0,Offensive rebound by N. Jokic,,32-51,,
6:14.0,,,32-51,,Personal foul by C. Lee (drawn by N. Jokic)
6:00.0,Turnover by G. Harris (out of bounds lost ball),,32-51,,
5:48.0,,,32-51,,J. Jack misses 2-pt shot from 10 ft
5:45.0,Defensive rebound by N. Jokic,,32-51,,
5:36.0,G. Harris makes 3-pt shot from 22 ft (assist by P. Millsap),3,35-51,,
5:18.0,,,35-51,,D. McDermott misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by G. Harris,,35-51,,
5:09.0,P. Millsap misses 3-pt shot from 24 ft,,35-51,,
5:07.0,,,35-51,,Defensive rebound by E. Kanter
4:55.0,,,35-53,2,K. Porzingis makes 2-pt shot from 11 ft (assist by J. Jack)
4:42.0,N. Jokic makes 3-pt shot from 25 ft (assist by P. Millsap),3,38-53,,
4:23.0,,,38-53,,C. Lee misses 3-pt shot from 22 ft
4:20.0,Defensive rebound by N. Jokic,,38-53,,
4:05.0,N. Jokic misses 3-pt shot from 25 ft,,38-53,,
4:01.0,Offensive rebound by P. Millsap,,38-53,,
3:59.0,P. Millsap misses 2-pt shot from 7 ft,,38-53,,
3:58.0,,,38-53,,Defensive rebound by E. Kanter
3:55.0,,,38-56,3,D. McDermott makes 3-pt shot from 23 ft (assist by J. Jack)
3:54.0,Denver full timeout,,38-56,,
3:54.0,,,38-56,,T. Hardaway enters the game for D. McDermott
3:54.0,J. Murray enters the game for W. Barton,,38-56,,
3:37.0,Turnover by W. Chandler (bad pass; steal by T. Hardaway),,38-56,,
3:35.0,,,38-56,,C. Lee misses 2-pt shot at rim (block by W. Chandler)
3:35.0,,,38-56,,Offensive rebound by Team
3:20.0,,,38-58,2,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee)
3:08.0,J. Murray misses 3-pt shot from 23 ft,,38-58,,
3:07.0,Offensive rebound by N. Jokic,,38-58,,
3:07.0,Shooting foul by E. Kanter (drawn by N. Jokic),,38-58,,
3:07.0,N. Jokic makes free throw 1 of 2,1,39-58,,
3:07.0,,,39-58,,W. Hernangomez enters the game for E. Kanter
3:07.0,N. Jokic makes free throw 2 of 2,1,40-58,,
2:49.0,,,40-60,2,K. Porzingis makes 2-pt shot from 17 ft (assist by J. Jack)
2:35.0,Turnover by G. Harris (bad pass; steal by J. Jack),,40-60,,
2:30.0,,,40-60,,T. Hardaway misses 3-pt shot from 25 ft
2:30.0,,,40-60,,T. Hardaway misses 3-pt shot from 25 ft (block by N. Jokic)
2:30.0,,,40-60,,Offensive rebound by T. Hardaway
2:27.0,,,40-60,,Offensive rebound by K. Porzingis
2:16.0,Jump ball: T. Hardaway vs. P. Millsap (K. Porzingis gains possession),,,,Jump ball: T. Hardaway vs. P. Millsap (K. Porzingis gains possession)
2:14.0,,,40-60,,T. Hardaway misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by N. Jokic,,40-60,,
2:11.0,,,40-60,,Personal foul by K. Porzingis (drawn by N. Jokic)
2:11.0,N. Jokic misses free throw 1 of 2,,40-60,,
2:11.0,Offensive rebound by Team,,40-60,,
2:11.0,N. Jokic makes free throw 2 of 2,1,41-60,,
1:51.0,,,41-63,3,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Jack)
1:35.0,G. Harris misses 2-pt shot from 3 ft,,41-63,,
1:34.0,Offensive rebound by P. Millsap,,41-63,,
1:34.0,P. Millsap misses 2-pt shot from 3 ft (block by W. Hernangomez),,41-63,,
1:34.0,Offensive rebound by Team,,41-63,,
1:28.0,P. Millsap misses 2-pt shot from 8 ft,,41-63,,
1:18.0,,,41-63,,Defensive rebound by J. Jack
1:07.0,,,41-63,,Turnover by Team (shot clock)
1:06.0,,,41-63,,J. Jack misses 2-pt shot from 20 ft (block by G. Harris)
1:06.0,,,41-63,,Offensive rebound by Team
0:58.0,J. Murray misses 3-pt shot from 26 ft,,41-63,,
0:56.0,,,41-63,,Defensive rebound by T. Hardaway
0:39.0,,,41-63,,C. Lee misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by P. Millsap,,41-63,,
0:34.0,G. Harris makes 2-pt shot at rim (assist by P. Millsap),2,43-63,,
0:17.0,,,43-63,,T. Hardaway misses 3-pt shot from 23 ft
0:14.0,,,43-63,,Offensive rebound by Team
0:14.0,,,43-63,,New York full timeout
0:14.0,D. Arthur enters the game for N. Jokic,,43-63,,
0:04.0,,,43-65,2,K. Porzingis makes 2-pt shot from 13 ft
0:00.0,P. Millsap misses 2-pt shot from 1 ft (block by K. Porzingis),,43-65,,
0:00.0,Offensive rebound by Team,,43-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:23.0,N. Jokic makes 3-pt shot from 26 ft (assist by G. Harris),3,46-65,,
11:18.0,,,46-65,,K. Porzingis misses 2-pt shot from 6 ft
11:18.0,,,46-65,,Offensive rebound by E. Kanter
11:12.0,Jump ball: E. Kanter vs. P. Millsap (C. Lee gains possession),,,,Jump ball: E. Kanter vs. P. Millsap (C. Lee gains possession)
11:10.0,Personal foul by P. Millsap (drawn by J. Jack),,46-65,,
11:04.0,,,46-67,2,J. Jack makes 2-pt shot from 21 ft (assist by K. Porzingis)
10:41.0,Turnover by N. Jokic (lost ball; steal by T. Hardaway),,46-67,,
10:38.0,,,46-69,2,C. Lee makes 2-pt shot from 2 ft (assist by T. Hardaway)
10:37.0,Denver full timeout,,46-69,,
10:24.0,N. Jokic makes 2-pt shot from 20 ft (assist by J. Murray),2,48-69,,
10:06.0,,,48-69,,Turnover by C. Lee (lost ball; steal by G. Harris)
10:01.0,J. Murray makes 3-pt shot from 25 ft (assist by G. Harris),3,51-69,,
9:36.0,,,51-69,,Turnover by E. Kanter (turnover)
9:24.0,P. Millsap misses 2-pt shot from 1 ft,,51-69,,
9:23.0,Offensive rebound by P. Millsap,,51-69,,
9:23.0,Offensive foul by P. Millsap (drawn by K. Porzingis),,51-69,,
9:23.0,Turnover by P. Millsap (offensive foul),,51-69,,
9:04.0,,,51-69,,E. Kanter misses 2-pt shot from 10 ft
9:02.0,Defensive rebound by P. Millsap,,51-69,,
8:56.0,P. Millsap misses 2-pt shot from 4 ft (block by E. Kanter),,51-69,,
8:49.0,,,51-69,,Defensive rebound by Team
8:44.0,,,51-69,,Turnover by J. Jack (bad pass; steal by G. Harris)
8:43.0,G. Harris makes 2-pt shot at rim,2,53-69,,
8:43.0,,,53-69,,New York full timeout
8:27.0,,,53-69,,Turnover by T. Hardaway (turnover)
8:14.0,P. Millsap makes 3-pt shot from 25 ft (assist by W. Chandler),3,56-69,,
7:58.0,,,56-69,,T. Hardaway misses 3-pt shot from 22 ft
7:58.0,,,56-69,,Offensive rebound by Team
7:58.0,Loose ball foul by W. Chandler (drawn by K. Porzingis),,56-69,,
7:50.0,,,56-69,,E. Kanter misses 2-pt shot from 11 ft
7:47.0,Defensive rebound by P. Millsap,,56-69,,
7:33.0,G. Harris makes 3-pt shot from 23 ft (assist by N. Jokic),3,59-69,,
7:09.0,,,59-71,2,K. Porzingis makes 2-pt shot from 10 ft
6:54.0,G. Harris misses 3-pt shot from 26 ft,,59-71,,
6:48.0,Offensive rebound by W. Chandler,,59-71,,
6:48.0,W. Chandler makes 2-pt shot at rim,2,61-71,,
6:33.0,,,61-71,,Turnover by T. Hardaway (bad pass; steal by N. Jokic)
6:27.0,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler),3,64-71,,
6:26.0,,,64-71,,New York full timeout
6:15.0,,,64-71,,Offensive foul by K. Porzingis (drawn by J. Murray)
6:15.0,,,64-71,,Turnover by K. Porzingis (offensive foul)
6:01.0,Shooting foul by E. Kanter (drawn by G. Harris),,64-71,,
6:01.0,G. Harris makes free throw 1 of 2,1,65-71,,
6:01.0,,,65-71,,K. O'Quinn enters the game for E. Kanter
6:01.0,G. Harris makes free throw 2 of 2,1,66-71,,
5:43.0,,,66-71,,Turnover by K. Porzingis (lost ball; steal by J. Murray)
5:41.0,Shooting foul by T. Hardaway (drawn by J. Murray),,66-71,,
5:41.0,J. Murray makes free throw 1 of 2,1,67-71,,
5:41.0,J. Murray makes free throw 2 of 2,1,68-71,,
5:41.0,,,68-71,,D. McDermott enters the game for T. Hardaway
5:41.0,,,68-71,,F. Ntilikina enters the game for J. Jack
5:31.0,Personal foul by W. Chandler (drawn by K. O'Quinn),,68-71,,
5:21.0,,,68-71,,Turnover by F. Ntilikina (bad pass; steal by P. Millsap)
4:59.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Chandler),3,71-71,,
4:45.0,,,71-71,,Turnover by K. O'Quinn (bad pass; steal by G. Harris)
4:42.0,Shooting foul by C. Lee (drawn by W. Chandler),,71-71,,
4:42.0,W. Chandler makes free throw 1 of 2,1,72-71,,
4:42.0,W. Chandler makes free throw 2 of 2,1,73-71,,
4:23.0,,,73-71,,Turnover by K. O'Quinn (traveling)
4:10.0,N. Jokic misses 3-pt shot from 25 ft,,73-71,,
4:07.0,,,73-71,,Defensive rebound by C. Lee
4:01.0,,,73-71,,Shooting foul by W. Chandler (drawn by K. Porzingis)
4:01.0,,,73-72,1,K. Porzingis makes free throw 1 of 2
4:01.0,W. Barton enters the game for W. Chandler,,73-72,,
4:01.0,,,73-73,1,K. Porzingis makes free throw 2 of 2
3:36.0,J. Murray misses 3-pt shot from 31 ft,,73-73,,
3:32.0,,,73-73,,Defensive rebound by K. O'Quinn
3:18.0,,,73-73,,Turnover by K. Porzingis (lost ball; steal by P. Millsap)
3:15.0,Shooting foul by D. McDermott (drawn by P. Millsap),,73-73,,
3:15.0,P. Millsap misses free throw 1 of 2,,73-73,,
3:15.0,Offensive rebound by Team,,73-73,,
3:15.0,M. Plumlee enters the game for N. Jokic,,73-73,,
3:15.0,P. Millsap misses free throw 2 of 2,,73-73,,
3:12.0,,,73-73,,Defensive rebound by K. O'Quinn
3:01.0,,,73-73,,Turnover by C. Lee (out of bounds lost ball)
3:01.0,E. Mudiay enters the game for J. Murray,,73-73,,
2:43.0,G. Harris misses 3-pt shot from 28 ft,,73-73,,
2:41.0,Offensive rebound by P. Millsap,,73-73,,
2:41.0,,,73-73,,Personal foul by K. Porzingis (drawn by P. Millsap)
2:41.0,P. Millsap makes free throw 1 of 2,1,74-73,,
2:41.0,P. Millsap makes free throw 2 of 2,1,75-73,,
2:33.0,,,75-75,2,F. Ntilikina makes 2-pt shot from 1 ft
2:14.0,P. Millsap misses 2-pt shot from 3 ft (block by K. O'Quinn),,75-75,,
2:10.0,,,75-75,,Defensive rebound by D. McDermott
2:09.0,,,75-77,2,K. Porzingis makes 2-pt shot at rim (assist by C. Lee)
1:50.0,M. Plumlee misses 2-pt shot from 2 ft (block by K. Porzingis),,75-77,,
1:46.0,,,75-77,,Defensive rebound by C. Lee
1:42.0,,,75-77,,K. Porzingis misses 3-pt shot from 29 ft
1:38.0,Defensive rebound by W. Barton,,75-77,,
1:25.0,,,75-77,,Personal foul by K. O'Quinn (drawn by E. Mudiay)
1:25.0,E. Mudiay makes free throw 1 of 2,1,76-77,,
1:25.0,J. Murray enters the game for G. Harris,,76-77,,
1:25.0,E. Mudiay makes free throw 2 of 2,1,77-77,,
1:09.0,,,77-80,3,D. McDermott makes 3-pt shot from 25 ft (assist by F. Ntilikina)
0:57.0,J. Murray makes 2-pt shot at rim (assist by M. Plumlee),2,79-80,,
0:42.0,,,79-80,,D. McDermott misses 3-pt shot from 25 ft
0:39.0,,,79-80,,Offensive rebound by K. O'Quinn
0:38.0,,,79-80,,Shooting foul by P. Millsap (drawn by K. O'Quinn)
0:38.0,,,79-81,1,K. O'Quinn makes free throw 1 of 2
0:38.0,,,79-81,,M. Beasley enters the game for C. Lee
0:38.0,,,79-81,,T. Hardaway enters the game for K. Porzingis
0:38.0,D. Arthur enters the game for P. Millsap,,79-81,,
0:38.0,,,79-82,1,K. O'Quinn makes free throw 2 of 2
0:29.0,W. Barton misses 2-pt shot from 1 ft,,79-82,,
0:27.0,,,79-82,,Defensive rebound by K. O'Quinn
0:07.0,,,79-84,2,K. O'Quinn makes 2-pt shot from 1 ft
0:03.0,,,79-84,,Personal foul by D. McDermott (drawn by E. Mudiay)
0:03.0,E. Mudiay makes free throw 1 of 2,1,80-84,,
0:03.0,E. Mudiay makes free throw 2 of 2,1,81-84,,
0:00.0,,,81-84,,F. Ntilikina misses 3-pt shot from 40 ft
0:00.0,,,81-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,81-84,,M. Beasley misses 2-pt shot from 14 ft
11:43.0,,,81-84,,Offensive rebound by K. O'Quinn
11:42.0,,,81-86,2,K. O'Quinn makes 2-pt shot from 1 ft
11:28.0,J. Murray misses 3-pt shot from 26 ft,,81-86,,
11:25.0,,,81-86,,Defensive rebound by M. Beasley
11:15.0,,,81-86,,K. O'Quinn misses 2-pt shot from 1 ft (block by M. Plumlee)
11:12.0,Defensive rebound by D. Arthur,,81-86,,
11:10.0,W. Barton makes 3-pt shot from 25 ft (assist by E. Mudiay),3,84-86,,
10:47.0,,,84-86,,D. McDermott misses 2-pt shot from 1 ft
10:46.0,,,84-86,,Offensive rebound by D. McDermott
10:42.0,,,84-89,3,F. Ntilikina makes 3-pt shot from 25 ft (assist by D. McDermott)
10:25.0,E. Mudiay misses 2-pt shot from 3 ft,,84-89,,
10:22.0,,,84-89,,Defensive rebound by F. Ntilikina
10:19.0,,,84-89,,Offensive charge foul by K. O'Quinn (drawn by J. Murray)
10:19.0,,,84-89,,Turnover by K. O'Quinn (offensive foul)
10:07.0,J. Murray makes 2-pt shot from 1 ft,2,86-89,,
9:55.0,,,86-89,,Turnover by F. Ntilikina (lost ball; steal by W. Barton)
9:50.0,W. Barton makes 2-pt shot at rim,2,88-89,,
9:35.0,,,88-92,3,T. Hardaway makes 3-pt shot from 29 ft
9:20.0,M. Plumlee misses 2-pt shot from 4 ft,,88-92,,
9:16.0,,,88-92,,Defensive rebound by T. Hardaway
9:13.0,,,88-94,2,T. Hardaway makes 2-pt shot from 2 ft
9:01.0,,,88-94,,Personal foul by D. McDermott (drawn by W. Barton)
9:01.0,,,88-94,,J. Jack enters the game for F. Ntilikina
8:56.0,W. Barton misses 3-pt shot from 25 ft,,88-94,,
8:52.0,Offensive rebound by M. Plumlee,,88-94,,
8:42.0,J. Murray makes 3-pt shot from 23 ft (assist by M. Plumlee),3,91-94,,
8:32.0,,,91-97,3,T. Hardaway makes 3-pt shot from 24 ft (assist by D. McDermott)
8:16.0,,,91-97,,Personal foul by K. O'Quinn (drawn by M. Plumlee)
8:06.0,J. Murray makes 2-pt shot from 14 ft,2,93-97,,
7:45.0,,,93-97,,T. Hardaway misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by J. Murray,,93-97,,
7:39.0,J. Murray misses 3-pt shot from 25 ft,,93-97,,
7:35.0,,,93-97,,Defensive rebound by K. O'Quinn
7:31.0,,,93-100,3,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Jack)
7:29.0,Denver full timeout,,93-100,,
7:29.0,,,93-100,,E. Kanter enters the game for K. O'Quinn
7:09.0,Shooting foul by D. McDermott (drawn by M. Plumlee),,93-100,,
7:09.0,M. Plumlee misses free throw 1 of 2,,93-100,,
7:09.0,Offensive rebound by Team,,93-100,,
7:09.0,M. Plumlee misses free throw 2 of 2,,93-100,,
7:07.0,,,93-100,,Defensive rebound by E. Kanter
6:45.0,,,93-100,,Turnover by E. Kanter (bad pass; steal by E. Mudiay)
6:45.0,Turnover by E. Mudiay (bad pass),,93-100,,
6:45.0,,,93-100,,K. Porzingis enters the game for D. McDermott
6:45.0,,,93-100,,C. Lee enters the game for M. Beasley
6:45.0,P. Millsap enters the game for W. Barton,,93-100,,
6:45.0,W. Chandler enters the game for M. Plumlee,,93-100,,
6:45.0,N. Jokic enters the game for E. Mudiay,,93-100,,
6:45.0,G. Harris enters the game for D. Arthur,,93-100,,
6:41.0,,,93-102,2,K. Porzingis makes 2-pt shot from 2 ft (assist by T. Hardaway)
