time,Miami,pts.away,score,pts.home,Chicago
5:10.0,G. Dragic misses 2-pt shot from 4 ft,,15-19,,
5:08.0,,,15-19,,Defensive rebound by D. Valentine
5:04.0,,,15-19,,J. Holiday misses 2-pt shot from 1 ft (block by H. Whiteside)
5:03.0,Defensive rebound by T. Johnson,,15-19,,
4:53.0,T. Johnson misses 3-pt shot from 25 ft,,15-19,,
4:51.0,Offensive rebound by Team,,15-19,,
4:51.0,W. Ellington enters the game for J. Richardson,,15-19,,
4:43.0,J. Johnson misses 2-pt shot from 4 ft,,15-19,,
4:39.0,,,15-19,,Defensive rebound by R. Lopez
4:36.0,,,15-19,,K. Dunn misses 2-pt shot from 14 ft
4:33.0,Defensive rebound by H. Whiteside,,15-19,,
4:23.0,G. Dragic misses 3-pt shot from 25 ft,,15-19,,
4:23.0,,,15-19,,Defensive rebound by D. Valentine
4:18.0,,,15-21,2,D. Valentine makes 2-pt shot from 22 ft
4:08.0,Miami full timeout,,15-21,,
4:08.0,K. Olynyk enters the game for J. Johnson,,15-21,,
4:08.0,B. Adebayo enters the game for H. Whiteside,,15-21,,
3:50.0,K. Olynyk misses 3-pt shot from 25 ft,,15-21,,
3:47.0,,,15-21,,Defensive rebound by R. Lopez
3:41.0,,,15-21,,Offensive foul by R. Lopez (drawn by K. Olynyk)
3:41.0,,,15-21,,Turnover by R. Lopez (offensive foul)
3:41.0,,,15-21,,N. Mirotic enters the game for L. Markkanen
3:41.0,J. Richardson enters the game for G. Dragic,,15-21,,
3:33.0,B. Adebayo misses 2-pt shot from 18 ft,,15-21,,
3:29.0,,,15-21,,Defensive rebound by N. Mirotic
3:24.0,,,15-21,,Turnover by D. Valentine (out of bounds lost ball)
3:24.0,,,15-21,,B. Portis enters the game for R. Lopez
3:10.0,Turnover by W. Ellington (out of bounds lost ball),,15-21,,
2:57.0,,,15-24,3,J. Holiday makes 3-pt shot from 23 ft (assist by K. Dunn)
2:37.0,J. Richardson misses 3-pt shot from 26 ft,,15-24,,
2:34.0,,,15-24,,Defensive rebound by D. Valentine
2:27.0,,,15-24,,K. Dunn misses 2-pt shot from 2 ft
2:22.0,,,15-24,,Offensive rebound by J. Holiday
2:22.0,,,15-24,,J. Holiday misses 2-pt shot at rim
2:22.0,Defensive rebound by K. Olynyk,,15-24,,
2:12.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Richardson),2,17-24,,
1:54.0,,,17-26,2,B. Portis makes 2-pt shot from 13 ft (assist by J. Holiday)
1:29.0,T. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk),2,19-26,,
1:29.0,Shooting foul by B. Portis (drawn by T. Johnson),,19-26,,
1:29.0,,,19-26,,J. Grant enters the game for K. Dunn
1:29.0,T. Johnson makes free throw 1 of 1,1,20-26,,
1:17.0,,,20-26,,Turnover by J. Holiday (lost ball; steal by J. Richardson)
1:08.0,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson),3,23-26,,
0:51.0,,,23-26,,D. Valentine misses 2-pt shot from 10 ft
0:49.0,Defensive rebound by K. Olynyk,,23-26,,
0:39.0,W. Ellington makes 2-pt shot from 1 ft (assist by K. Olynyk),2,25-26,,
0:28.0,,,25-29,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
0:13.0,Turnover by K. Olynyk (step out of bounds),,25-29,,
0:13.0,J. Winslow enters the game for T. Johnson,,25-29,,
0:02.0,Personal foul by K. Olynyk (drawn by J. Grant),,25-29,,
0:00.0,,,25-32,3,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,W. Ellington misses 3-pt shot from 24 ft,,25-32,,
11:35.0,Offensive rebound by J. Winslow,,25-32,,
11:33.0,K. Olynyk misses 3-pt shot from 25 ft,,25-32,,
11:28.0,Offensive rebound by W. Ellington,,25-32,,
11:21.0,K. Olynyk misses 2-pt shot from 5 ft,,25-32,,
11:21.0,Offensive rebound by Team,,25-32,,
11:21.0,,,25-32,,Loose ball foul by J. Grant (drawn by J. Richardson)
11:15.0,W. Ellington misses 3-pt shot from 26 ft,,25-32,,
11:08.0,Offensive rebound by B. Adebayo,,25-32,,
11:08.0,B. Adebayo misses 2-pt shot at rim,,25-32,,
11:07.0,,,25-32,,Defensive rebound by Z. LaVine
11:05.0,,,25-32,,Shooting foul by J. Richardson (drawn by B. Portis)
11:05.0,,,25-32,,B. Portis misses free throw 1 of 2
11:05.0,,,25-32,,Offensive rebound by Team
11:05.0,,,25-33,1,B. Portis makes free throw 2 of 2
10:43.0,J. Richardson makes 3-pt shot from 25 ft (assist by K. Olynyk),3,28-33,,
10:25.0,,,28-33,,N. Mirotic misses 3-pt shot from 23 ft
10:22.0,Defensive rebound by K. Olynyk,,28-33,,
10:13.0,,,28-33,,Violation by B. Portis (kicked ball)
10:09.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Winslow),2,30-33,,
9:54.0,,,30-35,2,Z. LaVine makes 2-pt shot from 17 ft
9:41.0,K. Olynyk misses 3-pt shot from 23 ft,,30-35,,
9:39.0,,,30-35,,Defensive rebound by N. Mirotic
9:32.0,,,30-35,,B. Portis misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by J. Winslow,,30-35,,
9:19.0,Turnover by W. Ellington (out of bounds lost ball),,30-35,,
9:09.0,,,30-35,,Turnover by N. Mirotic (bad pass; steal by J. Winslow)
9:05.0,J. Richardson makes 3-pt shot from 26 ft (assist by J. Winslow),3,33-35,,
8:52.0,,,33-35,,N. Mirotic misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by W. Ellington,,33-35,,
8:45.0,,,33-35,,Violation by Z. LaVine (kicked ball)
8:34.0,,,33-35,,Personal foul by Z. LaVine (drawn by J. Winslow)
8:26.0,J. Winslow misses 2-pt shot from 8 ft,,33-35,,
8:23.0,,,33-35,,Defensive rebound by J. Grant
8:18.0,,,33-37,2,J. Grant makes 2-pt shot from 2 ft
8:04.0,J. Richardson makes 2-pt shot from 4 ft,2,35-37,,
7:52.0,,,35-37,,N. Mirotic misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by B. Adebayo,,35-37,,
7:40.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson),3,38-37,,
7:33.0,,,38-37,,Chicago full timeout
7:26.0,,,38-37,,Z. LaVine misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by J. Richardson,,38-37,,
7:09.0,W. Ellington misses 3-pt shot from 26 ft,,38-37,,
7:07.0,Offensive rebound by Team,,38-37,,
7:07.0,G. Dragic enters the game for J. Richardson,,38-37,,
6:45.0,K. Olynyk makes 2-pt shot from 17 ft (assist by J. Winslow),2,40-37,,
6:28.0,,,40-37,,J. Grant misses 2-pt shot from 7 ft
6:26.0,,,40-37,,Offensive rebound by J. Grant
6:25.0,,,40-37,,J. Grant misses 2-pt shot from 4 ft
6:25.0,,,40-37,,Offensive rebound by B. Portis
6:20.0,,,40-39,2,B. Portis makes 2-pt shot at rim
6:16.0,Turnover by B. Adebayo (bad pass),,40-39,,
6:16.0,,,40-39,,K. Dunn enters the game for J. Grant
6:16.0,,,40-39,,L. Markkanen enters the game for Z. LaVine
6:16.0,,,40-39,,D. Valentine enters the game for D. Nwaba
6:16.0,,,40-39,,J. Holiday enters the game for N. Mirotic
5:51.0,,,40-39,,Turnover by Team (shot clock)
5:51.0,J. Johnson enters the game for K. Olynyk,,40-39,,
5:51.0,H. Whiteside enters the game for B. Adebayo,,40-39,,
5:51.0,,,40-39,,R. Lopez enters the game for B. Portis
5:42.0,,,40-39,,Violation by J. Holiday (kicked ball)
5:31.0,Turnover by J. Winslow (bad pass; steal by K. Dunn),,40-39,,
5:27.0,,,40-39,,D. Valentine misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by H. Whiteside,,40-39,,
5:15.0,H. Whiteside makes 2-pt shot from 13 ft (assist by G. Dragic),2,42-39,,
4:47.0,,,42-39,,D. Valentine misses 3-pt shot from 24 ft
4:43.0,,,42-39,,Offensive rebound by L. Markkanen
4:42.0,,,42-39,,L. Markkanen misses 2-pt shot from 2 ft
4:40.0,Defensive rebound by H. Whiteside,,42-39,,
4:31.0,W. Ellington misses 3-pt shot from 25 ft,,42-39,,
4:28.0,,,42-39,,Defensive rebound by D. Valentine
4:21.0,,,42-39,,J. Holiday misses 3-pt shot from 22 ft
4:17.0,Defensive rebound by H. Whiteside,,42-39,,
4:06.0,G. Dragic misses 2-pt shot from 12 ft,,42-39,,
4:02.0,,,42-39,,Defensive rebound by D. Valentine
3:52.0,,,42-41,2,K. Dunn makes 2-pt shot from 6 ft
3:44.0,Miami full timeout,,42-41,,
3:44.0,T. Johnson enters the game for W. Ellington,,42-41,,
3:30.0,J. Winslow makes 2-pt shot from 3 ft (assist by T. Johnson),2,44-41,,
3:13.0,,,44-41,,R. Lopez misses 2-pt shot from 3 ft
3:11.0,Defensive rebound by J. Winslow,,44-41,,
3:04.0,T. Johnson makes 2-pt shot from 7 ft,2,46-41,,
2:43.0,,,46-41,,K. Dunn misses 2-pt shot from 21 ft
2:40.0,Defensive rebound by J. Winslow,,46-41,,
2:31.0,G. Dragic misses 3-pt shot from 25 ft,,46-41,,
2:28.0,,,46-41,,Defensive rebound by R. Lopez
2:22.0,,,46-41,,K. Dunn misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by J. Winslow,,46-41,,
2:05.0,Turnover by T. Johnson (bad pass; steal by L. Markkanen),,46-41,,
2:02.0,,,46-43,2,L. Markkanen makes 2-pt shot from 1 ft (assist by K. Dunn)
2:02.0,,,46-43,,Shooting foul by J. Johnson (drawn by L. Markkanen)
2:02.0,,,46-43,,Z. LaVine enters the game for D. Valentine
2:02.0,J. Richardson enters the game for J. Winslow,,46-43,,
2:02.0,,,46-44,1,L. Markkanen makes free throw 1 of 1
1:53.0,Shooting foul by Z. LaVine (drawn by H. Whiteside),,46-44,,
1:53.0,H. Whiteside makes free throw 1 of 2,1,47-44,,
1:53.0,H. Whiteside makes free throw 2 of 2,1,48-44,,
1:31.0,,,48-46,2,R. Lopez makes 2-pt shot from 3 ft (assist by Z. LaVine)
1:13.0,T. Johnson misses 3-pt shot from 23 ft,,48-46,,
1:10.0,,,48-46,,Defensive rebound by R. Lopez
1:01.0,,,48-48,2,R. Lopez makes 2-pt shot from 5 ft (assist by Z. LaVine)
0:43.0,Turnover by H. Whiteside (bad pass; steal by J. Holiday),,48-48,,
0:38.0,,,48-51,3,J. Holiday makes 3-pt shot from 25 ft (assist by K. Dunn)
0:23.0,H. Whiteside misses 2-pt shot from 13 ft (block by J. Holiday),,48-51,,
0:19.0,,,48-51,,Defensive rebound by J. Holiday
0:00.0,,,48-54,3,Z. LaVine makes 3-pt shot from 24 ft
0:00.0,,,48-54,,Shooting foul by J. Richardson (drawn by Z. LaVine)
0:00.0,,,48-55,1,Z. LaVine makes free throw 1 of 1
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Shooting foul by K. Dunn (drawn by G. Dragic),,48-55,,
11:43.0,G. Dragic makes free throw 1 of 2,1,49-55,,
11:43.0,G. Dragic misses free throw 2 of 2,,49-55,,
11:40.0,,,49-55,,Defensive rebound by Z. LaVine
11:26.0,Personal foul by G. Dragic (drawn by J. Holiday),,49-55,,
11:20.0,,,49-58,3,L. Markkanen makes 3-pt shot from 25 ft (assist by K. Dunn)
11:00.0,Turnover by T. Johnson (bad pass; steal by Z. LaVine),,49-58,,
10:54.0,,,49-58,,L. Markkanen misses 2-pt shot from 4 ft
10:52.0,Defensive rebound by H. Whiteside,,49-58,,
10:45.0,J. Richardson misses 3-pt shot from 24 ft,,49-58,,
10:41.0,,,49-58,,Defensive rebound by J. Holiday
10:34.0,,,49-60,2,R. Lopez makes 2-pt shot from 19 ft (assist by K. Dunn)
10:15.0,H. Whiteside misses 2-pt shot from 19 ft,,49-60,,
10:12.0,,,49-60,,Defensive rebound by R. Lopez
10:05.0,,,49-60,,K. Dunn misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by J. Richardson,,49-60,,
9:59.0,Turnover by H. Whiteside (traveling),,49-60,,
9:40.0,,,49-60,,L. Markkanen misses 3-pt shot from 26 ft
9:36.0,Defensive rebound by G. Dragic,,49-60,,
9:27.0,J. Johnson makes 3-pt shot from 24 ft (assist by T. Johnson),3,52-60,,
9:08.0,,,52-60,,L. Markkanen misses 2-pt shot from 2 ft (block by H. Whiteside)
9:06.0,Defensive rebound by G. Dragic,,52-60,,
9:03.0,J. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,54-60,,
8:45.0,,,54-63,3,L. Markkanen makes 3-pt shot from 25 ft (assist by Z. LaVine)
8:28.0,Shooting foul by K. Dunn (drawn by G. Dragic),,54-63,,
8:28.0,G. Dragic makes free throw 1 of 2,1,55-63,,
8:28.0,G. Dragic makes free throw 2 of 2,1,56-63,,
8:18.0,,,56-63,,Z. LaVine misses 2-pt shot from 8 ft (block by J. Richardson)
8:13.0,,,56-63,,Offensive rebound by Z. LaVine
8:10.0,,,56-65,2,Z. LaVine makes 2-pt shot from 12 ft
7:56.0,Turnover by J. Johnson (bad pass; steal by Z. LaVine),,56-65,,
7:53.0,,,56-65,,Turnover by K. Dunn (out of bounds lost ball)
7:35.0,T. Johnson makes 2-pt shot from 1 ft (assist by H. Whiteside),2,58-65,,
7:31.0,Personal take foul by J. Johnson (drawn by K. Dunn),,58-65,,
7:31.0,Miami full timeout,,58-65,,
7:31.0,W. Ellington enters the game for T. Johnson,,58-65,,
7:18.0,,,58-68,3,J. Holiday makes 3-pt shot from 24 ft (assist by L. Markkanen)
6:55.0,G. Dragic misses 2-pt shot from 12 ft,,58-68,,
6:53.0,,,58-68,,Defensive rebound by L. Markkanen
6:35.0,,,58-68,,K. Dunn misses 2-pt shot from 19 ft
6:32.0,Defensive rebound by W. Ellington,,58-68,,
6:27.0,J. Richardson misses 2-pt shot from 18 ft,,58-68,,
6:24.0,,,58-68,,Defensive rebound by L. Markkanen
6:20.0,,,58-70,2,Z. LaVine makes 2-pt shot from 1 ft (assist by K. Dunn)
5:59.0,H. Whiteside misses 2-pt shot from 13 ft,,58-70,,
5:57.0,,,58-70,,Defensive rebound by Z. LaVine
5:52.0,,,58-70,,Shooting foul by J. Richardson (drawn by Z. LaVine)
5:52.0,,,58-70,,Z. LaVine misses free throw 1 of 2
5:52.0,,,58-70,,Offensive rebound by Team
5:52.0,K. Olynyk enters the game for G. Dragic,,58-70,,
5:52.0,J. Winslow enters the game for H. Whiteside,,58-70,,
5:52.0,,,58-71,1,Z. LaVine makes free throw 2 of 2
5:50.0,,,58-71,,Personal take foul by L. Markkanen (drawn by J. Richardson)
5:50.0,,,58-71,,D. Valentine enters the game for Z. LaVine
5:34.0,Offensive foul by J. Richardson (drawn by K. Dunn),,58-71,,
5:34.0,Turnover by J. Richardson (offensive foul),,58-71,,
5:16.0,,,58-71,,Turnover by R. Lopez (bad pass; steal by J. Johnson)
5:10.0,J. Johnson misses 2-pt shot from 4 ft,,58-71,,
5:06.0,,,58-71,,Defensive rebound by L. Markkanen
4:58.0,,,58-74,3,J. Holiday makes 3-pt shot from 25 ft (assist by L. Markkanen)
4:58.0,Miami full timeout,,58-74,,
4:58.0,B. Adebayo enters the game for J. Richardson,,58-74,,
4:58.0,G. Dragic enters the game for J. Johnson,,58-74,,
4:46.0,Offensive foul by G. Dragic (drawn by K. Dunn),,58-74,,
4:46.0,Turnover by G. Dragic (offensive foul),,58-74,,
4:36.0,,,58-77,3,J. Holiday makes 3-pt shot from 24 ft (assist by K. Dunn)
4:21.0,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic),3,61-77,,
4:10.0,Personal foul by W. Ellington (drawn by J. Holiday),,61-77,,
3:52.0,,,61-79,2,D. Valentine makes 2-pt shot from 9 ft (assist by R. Lopez)
3:34.0,G. Dragic misses 3-pt shot from 25 ft,,61-79,,
3:34.0,,,61-79,,Defensive rebound by D. Valentine
3:20.0,,,61-79,,J. Holiday misses 3-pt shot from 22 ft
3:17.0,Defensive rebound by G. Dragic,,61-79,,
3:11.0,W. Ellington misses 3-pt shot from 25 ft,,61-79,,
3:09.0,,,61-79,,Defensive rebound by L. Markkanen
3:02.0,,,61-79,,L. Markkanen misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by W. Ellington,,61-79,,
2:48.0,,,61-79,,Personal foul by K. Dunn (drawn by G. Dragic)
2:48.0,,,61-79,,N. Mirotic enters the game for L. Markkanen
2:48.0,,,61-79,,B. Portis enters the game for K. Dunn
2:48.0,,,61-79,,J. Grant enters the game for R. Lopez
2:38.0,G. Dragic makes 2-pt shot from 10 ft (assist by W. Ellington),2,63-79,,
2:25.0,,,63-82,3,J. Holiday makes 3-pt shot from 25 ft (assist by N. Mirotic)
2:04.0,J. Winslow makes 2-pt shot at rim (assist by K. Olynyk),2,65-82,,
1:51.0,,,65-84,2,J. Grant makes 2-pt shot from 18 ft
1:37.0,K. Olynyk makes 3-pt shot from 25 ft (assist by G. Dragic),3,68-84,,
1:36.0,,,68-84,,Chicago full timeout
1:36.0,,,68-84,,Z. LaVine enters the game for J. Holiday
1:24.0,,,68-84,,Z. LaVine misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by Team,,68-84,,
1:02.0,G. Dragic makes 2-pt shot from 1 ft,2,70-84,,
0:43.0,,,70-84,,Turnover by Z. LaVine (step out of bounds)
0:27.0,B. Adebayo makes 2-pt shot from 2 ft (assist by K. Olynyk),2,72-84,,
0:06.0,,,72-84,,B. Portis misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by B. Adebayo,,72-84,,
0:00.0,B. Adebayo misses 3-pt shot from 26 ft,,72-84,,
0:00.0,Offensive rebound by Team,,72-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,72-86,2,N. Mirotic makes 2-pt shot from 20 ft (assist by D. Valentine)
11:27.0,Turnover by K. Olynyk (bad pass; steal by B. Portis),,72-86,,
11:18.0,,,72-86,,Turnover by B. Portis (lost ball; steal by B. Adebayo)
11:08.0,K. Olynyk misses 3-pt shot from 25 ft,,72-86,,
11:05.0,,,72-86,,Defensive rebound by N. Mirotic
10:47.0,,,72-86,,N. Mirotic misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by Team,,72-86,,
10:45.0,,,72-86,,Loose ball foul by B. Portis (drawn by J. Winslow)
10:33.0,K. Olynyk makes 2-pt shot from 1 ft (assist by G. Dragic),2,74-86,,
10:17.0,,,74-86,,N. Mirotic misses 3-pt shot from 26 ft
10:13.0,Defensive rebound by J. Winslow,,74-86,,
9:57.0,G. Dragic misses 3-pt shot from 25 ft,,74-86,,
9:49.0,,,74-86,,Defensive rebound by D. Nwaba
9:47.0,,,74-86,,D. Nwaba misses 2-pt shot from 3 ft
9:43.0,,,74-86,,Offensive rebound by D. Nwaba
9:42.0,,,74-86,,D. Nwaba misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by B. Adebayo,,74-86,,
9:29.0,W. Ellington misses 2-pt shot from 21 ft,,74-86,,
9:24.0,Offensive rebound by B. Adebayo,,74-86,,
9:21.0,,,74-86,,Personal foul by D. Valentine (drawn by G. Dragic)
9:17.0,,,74-86,,Personal foul by D. Valentine (drawn by G. Dragic)
9:13.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Winslow),2,76-86,,
9:04.0,,,76-86,,Shooting foul by B. Adebayo (drawn by N. Mirotic)
9:04.0,Technical foul by B. Adebayo,,76-86,,
9:04.0,,,76-87,1,N. Mirotic makes technical free throw
9:04.0,,,76-88,1,N. Mirotic makes free throw 1 of 2
9:04.0,,,76-89,1,N. Mirotic makes free throw 2 of 2
8:46.0,Shooting foul by N. Mirotic (drawn by B. Adebayo),,76-89,,
8:46.0,B. Adebayo makes free throw 1 of 2,1,77-89,,
8:46.0,B. Adebayo makes free throw 2 of 2,1,78-89,,
8:31.0,,,78-89,,Shooting foul by K. Olynyk (drawn by D. Valentine)
8:31.0,,,78-90,1,D. Valentine makes free throw 1 of 2
8:31.0,J. Johnson enters the game for B. Adebayo,,78-90,,
8:31.0,,,78-91,1,D. Valentine makes free throw 2 of 2
8:18.0,G. Dragic makes 2-pt shot from 2 ft (assist by K. Olynyk),2,80-91,,
8:18.0,Shooting foul by J. Grant (drawn by G. Dragic),,80-91,,
8:18.0,G. Dragic makes free throw 1 of 1,1,81-91,,
8:06.0,,,81-94,3,N. Mirotic makes 3-pt shot from 26 ft
7:49.0,G. Dragic makes 2-pt shot from 2 ft (assist by K. Olynyk),2,83-94,,
7:39.0,,,83-97,3,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Grant)
7:26.0,G. Dragic misses 2-pt shot from 14 ft,,83-97,,
7:23.0,,,83-97,,Defensive rebound by B. Portis
7:16.0,,,83-97,,N. Mirotic misses 3-pt shot from 27 ft
7:16.0,,,83-97,,Offensive rebound by D. Nwaba
7:14.0,,,83-97,,Shooting foul by G. Dragic (drawn by D. Nwaba)
7:14.0,,,83-97,,D. Nwaba misses free throw 1 of 2
7:14.0,,,83-97,,Offensive rebound by Team
7:14.0,J. Richardson enters the game for J. Winslow,,83-97,,
7:14.0,,,83-98,1,D. Nwaba makes free throw 2 of 2
7:03.0,K. Olynyk misses 2-pt shot from 15 ft,,83-98,,
7:03.0,Offensive rebound by Team,,83-98,,
7:03.0,,,83-98,,Loose ball foul by D. Valentine (drawn by J. Johnson)
7:03.0,J. Johnson misses free throw 1 of 2,,83-98,,
7:03.0,Offensive rebound by Team,,83-98,,
7:03.0,J. Johnson misses free throw 2 of 2,,83-98,,
6:59.0,,,83-98,,Defensive rebound by N. Mirotic
6:39.0,,,83-98,,J. Grant misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by G. Dragic,,83-98,,
6:37.0,K. Olynyk makes 2-pt shot at rim (assist by G. Dragic),2,85-98,,
6:37.0,Shooting foul by J. Grant (drawn by K. Olynyk),,85-98,,
6:37.0,,,85-98,,Chicago full timeout
6:37.0,,,85-98,,L. Markkanen enters the game for J. Grant
6:37.0,,,85-98,,K. Dunn enters the game for B. Portis
6:37.0,,,85-98,,J. Holiday enters the game for D. Valentine
6:37.0,K. Olynyk makes free throw 1 of 1,1,86-98,,
6:24.0,,,86-101,3,N. Mirotic makes 3-pt shot from 25 ft (assist by K. Dunn)
6:05.0,W. Ellington makes 3-pt shot from 26 ft (assist by G. Dragic),3,89-101,,
5:46.0,,,89-101,,J. Holiday misses 3-pt shot from 24 ft (block by J. Richardson)
5:42.0,Defensive rebound by J. Johnson,,89-101,,
5:40.0,K. Olynyk makes 2-pt shot at rim (assist by J. Richardson),2,91-101,,
5:20.0,,,91-101,,N. Mirotic misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by G. Dragic,,91-101,,
5:01.0,K. Olynyk makes 2-pt shot from 19 ft (assist by G. Dragic),2,93-101,,
4:46.0,,,93-101,,Shooting foul by K. Olynyk (drawn by N. Mirotic)
4:46.0,,,93-102,1,N. Mirotic makes free throw 1 of 2
4:46.0,,,93-102,,D. Valentine enters the game for D. Nwaba
4:46.0,,,93-103,1,N. Mirotic makes free throw 2 of 2
4:41.0,,,93-103,,Personal foul by N. Mirotic (drawn by G. Dragic)
4:41.0,G. Dragic makes free throw 1 of 2,1,94-103,,
4:41.0,G. Dragic makes free throw 2 of 2,1,95-103,,
4:27.0,,,95-103,,L. Markkanen misses 2-pt shot from 16 ft
4:25.0,Defensive rebound by W. Ellington,,95-103,,
4:18.0,G. Dragic makes 2-pt shot at rim,2,97-103,,
4:18.0,,,97-103,,Chicago full timeout
3:56.0,,,97-105,2,D. Valentine makes 2-pt shot from 1 ft (assist by L. Markkanen)
3:39.0,J. Johnson makes 3-pt shot from 25 ft (assist by K. Olynyk),3,100-105,,
