time,Memphis,pts.away,score,pts.home,Utah
5:02.0,J. Martin misses 2-pt shot from 19 ft,,35-41,,
4:59.0,,,35-41,,Defensive rebound by R. O'Neale
4:54.0,,,35-44,3,J. Jerebko makes 3-pt shot from 23 ft (assist by R. O'Neale)
4:47.0,Memphis full timeout,,35-44,,
4:47.0,,,35-44,,J. Ingles enters the game for D. Exum
4:47.0,D. Brooks enters the game for M. Brooks,,35-44,,
4:47.0,J. Green enters the game for B. McLemore,,35-44,,
4:33.0,M. Gasol makes 2-pt shot from 15 ft (assist by J. Martin),2,37-44,,
4:14.0,,,37-44,,Turnover by R. Gobert (lost ball; steal by M. Gasol)
4:11.0,,,37-44,,Personal foul by D. Mitchell (drawn by K. Simmons)
3:57.0,Turnover by J. Martin (bad pass),,37-44,,
3:42.0,,,37-44,,D. Mitchell misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by J. Martin,,37-44,,
3:32.0,J. Martin makes 2-pt shot from 1 ft,2,39-44,,
3:13.0,,,39-46,2,J. Jerebko makes 2-pt shot from 2 ft (assist by D. Mitchell)
2:59.0,,,39-46,,Personal foul by R. O'Neale (drawn by M. Gasol)
2:59.0,,,39-46,,D. Favors enters the game for J. Jerebko
2:59.0,M. Teague enters the game for K. Simmons,,39-46,,
2:53.0,Turnover by J. Green (bad pass),,39-46,,
2:34.0,,,39-46,,Utah full timeout
2:30.0,,,39-46,,D. Mitchell misses 2-pt shot from 12 ft
2:27.0,Defensive rebound by J. Green,,39-46,,
2:09.0,M. Gasol makes 3-pt shot from 24 ft (assist by M. Teague),3,42-46,,
1:54.0,,,42-46,,Shooting foul by M. Gasol (drawn by R. Gobert)
1:54.0,,,42-47,1,R. Gobert makes free throw 1 of 2
1:54.0,,,42-48,1,R. Gobert makes free throw 2 of 2
1:32.0,J. Martin makes 2-pt shot from 1 ft (assist by M. Gasol),2,44-48,,
1:13.0,,,44-48,,J. Ingles misses 2-pt shot from 18 ft
1:09.0,,,44-48,,Offensive rebound by D. Favors
1:09.0,,,44-50,2,D. Favors makes 2-pt shot at rim
1:01.0,M. Gasol makes 3-pt shot from 24 ft (assist by M. Teague),3,47-50,,
0:37.0,,,47-50,,J. Ingles misses 3-pt shot from 26 ft
0:34.0,Defensive rebound by D. Brooks,,47-50,,
0:31.0,D. Brooks misses 3-pt shot from 25 ft,,47-50,,
0:28.0,,,47-50,,Defensive rebound by D. Mitchell
0:08.0,,,47-50,,Shooting foul by J. Martin (drawn by D. Mitchell)
0:08.0,,,47-51,1,D. Mitchell makes free throw 1 of 2
0:08.0,,,47-52,1,D. Mitchell makes free throw 2 of 2
0:00.0,J. Martin misses 2-pt shot from 20 ft,,47-52,,
0:00.0,Offensive rebound by Team,,47-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,47-54,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
11:31.0,M. Gasol makes 3-pt shot from 22 ft (assist by K. Simmons),3,50-54,,
11:08.0,,,50-54,,R. O'Neale misses 2-pt shot from 2 ft
11:07.0,,,50-54,,Offensive rebound by R. Gobert
11:07.0,,,50-54,,Turnover by R. Gobert (bad pass)
10:52.0,Turnover by M. Gasol (bad pass; steal by D. Mitchell),,50-54,,
10:50.0,,,50-56,2,D. Mitchell makes 2-pt shot from 2 ft
10:34.0,D. Brooks makes 2-pt shot from 1 ft,2,52-56,,
10:06.0,,,52-56,,J. Ingles misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by M. Gasol,,52-56,,
9:58.0,D. Brooks misses 3-pt shot from 25 ft,,52-56,,
9:55.0,,,52-56,,Defensive rebound by D. Favors
9:42.0,,,52-56,,D. Mitchell misses 3-pt shot from 27 ft
9:39.0,Defensive rebound by J. Green,,52-56,,
9:25.0,D. Brooks misses 2-pt shot from 16 ft,,52-56,,
9:22.0,,,52-56,,Defensive rebound by R. O'Neale
9:14.0,Personal foul by K. Simmons (drawn by R. O'Neale),,52-56,,
9:05.0,,,52-56,,J. Ingles misses 2-pt shot from 4 ft
9:03.0,Defensive rebound by M. Gasol,,52-56,,
8:56.0,Offensive foul by M. Gasol (drawn by R. Gobert),,52-56,,
8:56.0,Turnover by M. Gasol (offensive foul),,52-56,,
8:47.0,,,52-56,,Shooting foul by M. Gasol (drawn by D. Mitchell)
8:47.0,,,52-56,,D. Mitchell misses free throw 1 of 2
8:47.0,,,52-56,,Offensive rebound by Team
8:47.0,,,52-57,1,D. Mitchell makes free throw 2 of 2
8:32.0,,,52-57,,Personal foul by R. Gobert (drawn by M. Gasol)
8:32.0,,,52-57,,J. Crowder enters the game for D. Favors
8:29.0,M. Gasol makes 2-pt shot from 20 ft (assist by J. Martin),2,54-57,,
8:06.0,,,54-60,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Mitchell)
7:54.0,M. Gasol misses 3-pt shot from 29 ft,,54-60,,
7:51.0,,,54-60,,Defensive rebound by J. Crowder
7:43.0,,,54-60,,R. Gobert misses 2-pt shot from 3 ft (block by J. Green)
7:40.0,Defensive rebound by D. Brooks,,54-60,,
7:38.0,J. Martin misses 2-pt shot from 2 ft (block by J. Ingles),,54-60,,
7:33.0,Offensive rebound by M. Gasol,,54-60,,
7:33.0,M. Gasol makes 2-pt shot from 1 ft,2,56-60,,
7:10.0,,,56-60,,J. Ingles misses 2-pt shot from 13 ft
7:07.0,Defensive rebound by J. Green,,56-60,,
7:07.0,,,56-60,,Personal foul by D. Mitchell (drawn by D. Brooks)
7:07.0,W. Selden enters the game for J. Green,,56-60,,
6:56.0,D. Brooks makes 2-pt shot from 12 ft,2,58-60,,
6:55.0,,,58-60,,Utah full timeout
6:46.0,,,58-60,,Turnover by J. Ingles (bad pass)
6:33.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Martin),3,61-60,,
6:17.0,,,61-60,,Offensive charge foul by R. Gobert (drawn by M. Gasol)
6:17.0,,,61-60,,Turnover by R. Gobert (offensive foul)
6:17.0,,,61-60,,D. Exum enters the game for R. O'Neale
6:17.0,,,61-60,,D. Favors enters the game for R. Gobert
6:05.0,M. Gasol makes 3-pt shot from 25 ft (assist by K. Simmons),3,64-60,,
6:04.0,,,64-60,,Utah full timeout
5:41.0,,,64-60,,J. Crowder misses 3-pt shot from 24 ft
5:38.0,Defensive rebound by D. Brooks,,64-60,,
5:15.0,Turnover by Team (shot clock),,64-60,,
5:05.0,Personal foul by K. Simmons (drawn by D. Mitchell),,64-60,,
5:05.0,M. Teague enters the game for K. Simmons,,64-60,,
5:05.0,B. McLemore enters the game for D. Brooks,,64-60,,
4:54.0,,,64-62,2,J. Ingles makes 2-pt shot from 11 ft
4:33.0,J. Martin misses 2-pt shot from 3 ft,,64-62,,
4:31.0,,,64-62,,Defensive rebound by Team
4:19.0,,,64-64,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
4:01.0,,,64-64,,Personal foul by J. Ingles (drawn by W. Selden)
4:01.0,D. Davis enters the game for J. Martin,,64-64,,
4:01.0,M. Brooks enters the game for M. Gasol,,64-64,,
3:50.0,B. McLemore makes 2-pt shot from 16 ft (assist by M. Teague),2,66-64,,
3:27.0,,,66-66,2,J. Ingles makes 2-pt shot from 1 ft
3:16.0,W. Selden makes 3-pt shot from 25 ft (assist by D. Davis),3,69-66,,
3:01.0,,,69-69,3,D. Exum makes 3-pt shot from 23 ft (assist by D. Favors)
2:49.0,,,69-69,,Personal foul by J. Crowder (drawn by M. Teague)
2:49.0,,,69-69,,R. O'Neale enters the game for J. Ingles
2:45.0,Turnover by D. Davis (bad pass; steal by R. O'Neale),,69-69,,
2:43.0,,,69-71,2,R. O'Neale makes 2-pt shot at rim
2:43.0,,,69-71,,Shooting foul by W. Selden (drawn by R. O'Neale)
2:43.0,,,69-72,1,R. O'Neale makes free throw 1 of 1
2:27.0,B. McLemore misses 3-pt shot from 25 ft,,69-72,,
2:24.0,,,69-72,,Defensive rebound by R. O'Neale
2:15.0,,,69-74,2,D. Exum makes 2-pt shot from 1 ft (assist by R. O'Neale)
2:15.0,Memphis full timeout,,69-74,,
2:15.0,,,69-74,,A. Burks enters the game for D. Mitchell
1:51.0,W. Selden misses 2-pt shot from 6 ft (block by D. Favors),,69-74,,
1:51.0,Offensive rebound by Team,,69-74,,
1:51.0,Turnover by Team (shot clock),,69-74,,
1:34.0,,,69-74,,Turnover by J. Crowder (bad pass)
1:21.0,M. Brooks makes 2-pt shot from 14 ft,2,71-74,,
1:11.0,,,71-77,2,J. Crowder makes 3-pt shot from 25 ft (assist by D. Exum)
0:58.0,M. Brooks makes 3-pt shot from 24 ft,3,74-77,,
0:43.0,,,74-77,,J. Crowder misses 3-pt shot from 22 ft
0:39.0,,,74-77,,Offensive rebound by D. Favors
0:31.0,,,74-80,3,D. Exum makes 3-pt shot from 24 ft (assist by R. O'Neale)
0:09.0,Shooting foul by J. Crowder (drawn by M. Brooks),,74-80,,
0:09.0,M. Brooks makes free throw 1 of 2,1,75-80,,
0:09.0,,,75-80,,D. Mitchell enters the game for A. Burks
0:09.0,M. Brooks makes free throw 2 of 2,1,76-80,,
0:03.0,,,76-80,,D. Mitchell misses 3-pt shot from 28 ft
0:03.0,,,76-80,,Offensive rebound by J. Crowder
0:00.0,,,76-80,,J. Crowder misses 2-pt shot at rim
0:00.0,,,76-80,,Offensive rebound by D. Favors
0:00.0,,,76-80,,D. Favors misses 2-pt shot at rim
0:00.0,,,76-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by M. Brooks (bad pass),,76-80,,
11:38.0,,,76-80,,Turnover by D. Exum (lost ball; steal by B. McLemore)
11:37.0,,,76-80,,Personal foul by J. Ingles (drawn by B. McLemore)
11:28.0,B. McLemore misses 2-pt shot from 19 ft,,76-80,,
11:24.0,,,76-80,,Defensive rebound by R. Gobert
11:16.0,,,76-83,3,J. Ingles makes 3-pt shot from 23 ft (assist by A. Burks)
11:04.0,Shooting foul by A. Burks (drawn by W. Selden),,76-83,,
11:04.0,W. Selden makes free throw 1 of 2,1,77-83,,
11:04.0,W. Selden makes free throw 2 of 2,1,78-83,,
10:55.0,,,78-85,2,D. Exum makes 2-pt shot from 3 ft
10:42.0,Offensive foul by D. Davis (drawn by A. Burks),,78-85,,
10:42.0,Turnover by D. Davis (offensive foul),,78-85,,
10:42.0,K. Simmons enters the game for M. Teague,,78-85,,
10:42.0,I. Rabb enters the game for D. Davis,,78-85,,
10:26.0,,,78-85,,Turnover by R. O'Neale (bad pass; steal by K. Simmons)
10:17.0,B. McLemore misses 2-pt shot from 9 ft,,78-85,,
10:13.0,Offensive rebound by I. Rabb,,78-85,,
10:10.0,B. McLemore makes 2-pt shot from 1 ft (assist by I. Rabb),2,80-85,,
9:55.0,Shooting block foul by B. McLemore (drawn by R. Gobert),,80-85,,
9:55.0,,,80-85,,R. Gobert misses free throw 1 of 2
9:55.0,,,80-85,,Offensive rebound by Team
9:55.0,,,80-85,,J. Crowder enters the game for R. O'Neale
9:55.0,,,80-85,,R. Gobert misses free throw 2 of 2
9:53.0,Defensive rebound by K. Simmons,,80-85,,
9:43.0,Shooting foul by J. Ingles (drawn by M. Brooks),,80-85,,
9:43.0,M. Brooks makes free throw 1 of 3,1,81-85,,
9:43.0,M. Brooks makes free throw 2 of 3,1,82-85,,
9:43.0,M. Brooks makes free throw 3 of 3,1,83-85,,
9:31.0,,,83-87,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
9:18.0,K. Simmons misses 2-pt shot from 19 ft,,83-87,,
9:15.0,,,83-87,,Defensive rebound by R. Gobert
9:08.0,,,83-87,,D. Exum misses 2-pt shot from 3 ft (block by B. McLemore)
9:08.0,,,83-87,,Offensive rebound by Team
9:08.0,D. Brooks enters the game for M. Brooks,,83-87,,
9:08.0,,,83-87,,D. Mitchell enters the game for D. Exum
8:56.0,,,83-87,,Shooting foul by K. Simmons (drawn by D. Mitchell)
8:56.0,,,83-88,1,D. Mitchell makes free throw 1 of 2
8:56.0,,,83-88,,D. Mitchell misses free throw 2 of 2
8:52.0,Defensive rebound by B. McLemore,,83-88,,
8:45.0,B. McLemore misses 2-pt shot from 1 ft,,83-88,,
8:43.0,,,83-88,,Defensive rebound by J. Crowder
8:40.0,Personal foul by D. Brooks (drawn by J. Crowder),,83-88,,
8:30.0,,,83-88,,Turnover by D. Mitchell (bad pass; steal by K. Simmons)
8:25.0,D. Brooks makes 2-pt shot from 1 ft (assist by W. Selden),2,85-88,,
8:06.0,,,85-90,2,D. Mitchell makes 2-pt shot from 2 ft
8:06.0,,,85-90,,Shooting foul by I. Rabb (drawn by D. Mitchell)
8:06.0,,,85-90,,D. Mitchell misses free throw 1 of 1
8:06.0,Defensive rebound by Team,,85-90,,
8:05.0,,,85-90,,Loose ball foul by R. Gobert (drawn by I. Rabb)
7:48.0,D. Brooks misses 2-pt shot from 15 ft,,85-90,,
7:45.0,,,85-90,,Defensive rebound by J. Ingles
7:36.0,Personal foul by B. McLemore,,85-90,,
7:36.0,Technical foul by B. McLemore,,85-90,,
7:36.0,,,85-91,1,D. Mitchell makes technical free throw
7:36.0,,,85-91,,R. Gobert misses free throw 1 of 2
7:36.0,,,85-91,,Offensive rebound by Team
7:36.0,,,85-92,1,R. Gobert makes free throw 2 of 2
7:24.0,K. Simmons misses 2-pt shot from 8 ft,,85-92,,
7:21.0,Offensive rebound by K. Simmons,,85-92,,
7:18.0,K. Simmons makes 2-pt shot from 4 ft,2,87-92,,
7:11.0,Personal foul by K. Simmons (drawn by D. Mitchell),,87-92,,
7:11.0,,,87-92,,D. Mitchell misses free throw 1 of 2
7:11.0,,,87-92,,Offensive rebound by Team
7:11.0,,,87-92,,D. Favors enters the game for R. Gobert
7:11.0,M. Teague enters the game for K. Simmons,,87-92,,
7:11.0,,,87-93,1,D. Mitchell makes free throw 2 of 2
6:56.0,I. Rabb misses 2-pt shot from 8 ft (block by D. Favors),,87-93,,
6:53.0,Offensive rebound by D. Brooks,,87-93,,
6:49.0,W. Selden misses 3-pt shot from 26 ft,,87-93,,
6:45.0,,,87-93,,Defensive rebound by A. Burks
6:37.0,,,87-93,,A. Burks misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by M. Teague,,87-93,,
6:30.0,D. Brooks makes 2-pt shot from 6 ft (assist by M. Teague),2,89-93,,
6:30.0,,,89-93,,Utah full timeout
6:30.0,,,89-93,,R. O'Neale enters the game for A. Burks
6:30.0,,,89-93,,D. Exum enters the game for J. Crowder
6:30.0,J. Martin enters the game for W. Selden,,89-93,,
6:08.0,,,89-93,,Turnover by D. Mitchell (bad pass; steal by M. Teague)
6:08.0,,,89-93,,Loose ball foul by J. Ingles (drawn by M. Teague)
6:08.0,M. Teague misses free throw 1 of 2,,89-93,,
6:08.0,Offensive rebound by Team,,89-93,,
6:08.0,M. Teague misses free throw 2 of 2,,89-93,,
6:05.0,,,89-93,,Defensive rebound by R. O'Neale
5:50.0,,,89-96,3,D. Mitchell makes 3-pt shot from 28 ft (assist by J. Ingles)
5:41.0,Memphis full timeout,,89-96,,
5:27.0,J. Martin misses 2-pt shot from 5 ft,,89-96,,
5:24.0,,,89-96,,Defensive rebound by D. Exum
5:11.0,,,89-96,,Turnover by J. Ingles (out of bounds lost ball)
5:11.0,D. Davis enters the game for I. Rabb,,89-96,,
5:11.0,W. Selden enters the game for D. Brooks,,89-96,,
4:52.0,B. McLemore makes 2-pt shot from 10 ft (assist by M. Teague),2,91-96,,
4:37.0,,,91-96,,D. Mitchell misses 2-pt shot from 7 ft (block by D. Davis)
4:34.0,Defensive rebound by D. Davis,,91-96,,
4:31.0,,,91-96,,Personal foul by J. Ingles (drawn by D. Davis)
4:31.0,D. Davis misses free throw 1 of 2,,91-96,,
4:31.0,Offensive rebound by Team,,91-96,,
4:31.0,D. Davis misses free throw 2 of 2,,91-96,,
4:29.0,,,91-96,,Defensive rebound by J. Ingles
4:10.0,,,91-98,2,D. Exum makes 2-pt shot from 6 ft (assist by D. Favors)
3:54.0,W. Selden misses 2-pt shot from 8 ft (block by D. Favors),,91-98,,
3:54.0,Offensive rebound by Team,,91-98,,
3:48.0,B. McLemore misses 3-pt shot from 25 ft,,91-98,,
3:44.0,,,91-98,,Defensive rebound by R. O'Neale
3:25.0,,,91-98,,D. Mitchell misses 3-pt shot from 26 ft
3:22.0,Defensive rebound by D. Davis,,91-98,,
3:14.0,B. McLemore misses 2-pt shot from 4 ft (block by D. Favors),,91-98,,
3:11.0,,,91-98,,Defensive rebound by D. Mitchell
3:01.0,,,91-100,2,D. Exum makes 2-pt shot from 5 ft
2:42.0,D. Davis misses 2-pt shot from 2 ft,,91-100,,
2:42.0,,,91-100,,Defensive rebound by D. Mitchell
2:38.0,,,91-102,2,J. Ingles makes 2-pt shot from 1 ft (assist by R. O'Neale)
2:38.0,Memphis full timeout,,91-102,,
2:38.0,M. Brooks enters the game for B. McLemore,,91-102,,
2:38.0,I. Rabb enters the game for D. Davis,,91-102,,
2:34.0,Turnover by J. Martin (bad pass; steal by D. Exum),,91-102,,
2:30.0,,,91-104,2,D. Exum makes 2-pt shot from 1 ft
2:17.0,M. Brooks makes 2-pt shot from 23 ft,2,93-104,,
2:01.0,,,93-104,,Shooting foul by M. Teague (drawn by D. Favors)
2:01.0,,,93-104,,D. Favors misses free throw 1 of 2
2:01.0,,,93-104,,Offensive rebound by Team
