time,Dallas,pts.away,score,pts.home,Detroit
11:00.0,,,29-22,,Detroit full timeout
10:50.0,,,29-22,,Shooting foul by D. Finney-Smith (drawn by H. Ellenson)
10:50.0,,,29-23,1,H. Ellenson makes free throw 1 of 2
10:50.0,,,29-24,1,H. Ellenson makes free throw 2 of 2
10:36.0,D. Finney-Smith misses 3-pt shot from 25 ft,,29-24,,
10:33.0,,,29-24,,Defensive rebound by E. Moreland
10:28.0,,,29-27,3,R. Jackson makes 3-pt shot from 25 ft
10:12.0,A. Harrison misses 2-pt shot from 17 ft,,29-27,,
10:08.0,Offensive rebound by M. Kleber,,29-27,,
10:01.0,Y. Ferrell misses 3-pt shot from 25 ft,,29-27,,
9:58.0,,,29-27,,Defensive rebound by E. Moreland
9:50.0,,,29-27,,J. Ennis misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by M. Kleber,,29-27,,
9:39.0,Y. Ferrell misses 2-pt shot from 14 ft,,29-27,,
9:36.0,,,29-27,,Defensive rebound by H. Ellenson
9:26.0,,,29-29,2,J. Ennis makes 2-pt shot from 1 ft (assist by L. Galloway)
9:04.0,M. Kleber makes 2-pt shot at rim (assist by D. McDermott),2,31-29,,
8:49.0,,,31-31,2,H. Ellenson makes 2-pt shot from 12 ft
8:28.0,Y. Ferrell makes 2-pt shot from 16 ft (assist by M. Kleber),2,33-31,,
8:11.0,,,33-31,,H. Ellenson misses 2-pt shot from 5 ft
8:09.0,Defensive rebound by D. Finney-Smith,,33-31,,
7:57.0,Turnover by Y. Ferrell (bad pass; steal by L. Galloway),,33-31,,
7:56.0,Personal foul by A. Harrison (drawn by J. Ennis),,33-31,,
7:56.0,,,33-31,,A. Drummond enters the game for E. Moreland
7:48.0,,,33-33,2,L. Galloway makes 2-pt shot from 10 ft (assist by A. Drummond)
7:29.0,D. Finney-Smith makes 2-pt shot from 5 ft (assist by Y. Ferrell),2,35-33,,
7:11.0,,,35-36,3,H. Ellenson makes 3-pt shot from 24 ft (assist by A. Drummond)
7:08.0,Dallas full timeout,,35-36,,
7:08.0,D. Powell enters the game for A. Harrison,,35-36,,
7:08.0,H. Barnes enters the game for D. Finney-Smith,,35-36,,
7:08.0,J. Motley enters the game for Y. Ferrell,,35-36,,
7:08.0,D. Smith enters the game for M. Kleber,,35-36,,
6:53.0,J. Motley misses 2-pt shot from 14 ft,,35-36,,
6:49.0,Offensive rebound by J. Motley,,35-36,,
6:36.0,Turnover by D. McDermott (traveling),,35-36,,
6:22.0,,,35-39,3,L. Galloway makes 3-pt shot from 26 ft (assist by R. Jackson)
6:10.0,,,35-39,,Personal foul by R. Jackson (drawn by D. Powell)
6:00.0,D. Powell makes 2-pt shot from 10 ft,2,37-39,,
5:43.0,,,37-41,2,H. Ellenson makes 2-pt shot from 8 ft
5:26.0,J. Motley makes 2-pt shot from 18 ft,2,39-41,,
5:11.0,,,39-41,,L. Galloway misses 3-pt shot from 23 ft
5:07.0,Defensive rebound by D. Smith,,39-41,,
5:01.0,D. Powell misses 3-pt shot from 25 ft,,39-41,,
4:57.0,,,39-41,,Defensive rebound by J. Ennis
4:52.0,,,39-43,2,R. Jackson makes 2-pt shot from 15 ft
4:36.0,,,39-43,,I. Smith enters the game for R. Jackson
4:36.0,,,39-43,,S. Johnson enters the game for L. Galloway
4:36.0,,,39-43,,L. Kennard enters the game for J. Ennis
4:24.0,D. Smith misses 2-pt shot from 19 ft (block by I. Smith),,39-43,,
4:20.0,Offensive rebound by D. Smith,,39-43,,
4:19.0,D. Smith misses 2-pt shot from 20 ft,,39-43,,
4:19.0,,,39-43,,Defensive rebound by H. Ellenson
4:04.0,,,39-45,2,L. Kennard makes 2-pt shot from 17 ft
3:43.0,D. Smith misses 2-pt shot from 4 ft (block by A. Drummond),,39-45,,
3:40.0,,,39-45,,Defensive rebound by H. Ellenson
3:36.0,,,39-45,,Turnover by H. Ellenson (lost ball; steal by D. Powell)
3:29.0,D. Powell misses 3-pt shot from 27 ft,,39-45,,
3:28.0,Offensive rebound by J. Motley,,39-45,,
3:28.0,J. Motley makes 2-pt shot from 2 ft,2,41-45,,
3:28.0,Shooting foul by I. Smith (drawn by J. Motley),,41-45,,
3:28.0,,,41-45,,A. Tolliver enters the game for H. Ellenson
3:28.0,A. Harrison enters the game for D. McDermott,,41-45,,
3:28.0,J. Motley makes free throw 1 of 1,1,42-45,,
3:06.0,,,42-45,,A. Tolliver misses 3-pt shot from 27 ft
3:02.0,Defensive rebound by Team,,42-45,,
3:02.0,M. Kleber enters the game for J. Motley,,42-45,,
2:45.0,H. Barnes misses 2-pt shot from 16 ft,,42-45,,
2:43.0,,,42-45,,Defensive rebound by L. Kennard
2:28.0,,,42-47,2,A. Tolliver makes 2-pt shot at rim (assist by S. Johnson)
2:14.0,A. Harrison makes 3-pt shot from 25 ft (assist by D. Smith),3,45-47,,
2:03.0,,,45-47,,Shooting foul by D. Powell (drawn by A. Drummond)
2:03.0,,,45-47,,A. Drummond misses free throw 1 of 2
2:03.0,,,45-47,,Offensive rebound by Team
2:03.0,,,45-47,,A. Drummond misses free throw 2 of 2
1:59.0,Defensive rebound by D. Smith,,45-47,,
1:50.0,H. Barnes misses 3-pt shot from 25 ft,,45-47,,
1:47.0,,,45-47,,Defensive rebound by A. Drummond
1:44.0,,,45-47,,Shooting foul by H. Barnes (drawn by S. Johnson)
1:44.0,,,45-47,,S. Johnson misses free throw 1 of 2
1:44.0,,,45-47,,Offensive rebound by Team
1:44.0,,,45-48,1,S. Johnson makes free throw 2 of 2
1:33.0,Shooting foul by A. Drummond (drawn by H. Barnes),,45-48,,
1:33.0,H. Barnes makes free throw 1 of 2,1,46-48,,
1:33.0,K. Collinsworth enters the game for A. Harrison,,46-48,,
1:33.0,H. Barnes makes free throw 2 of 2,1,47-48,,
1:15.0,,,47-50,2,A. Drummond makes 2-pt shot from 1 ft (assist by A. Tolliver)
0:59.0,M. Kleber makes 3-pt shot from 24 ft (assist by D. Smith),3,50-50,,
0:51.0,,,50-50,,Turnover by I. Smith (lost ball; steal by D. Smith)
0:36.0,D. Smith makes 2-pt shot from 1 ft,2,52-50,,
0:24.0,,,52-53,3,I. Smith makes 3-pt shot from 27 ft (assist by A. Drummond)
0:00.0,M. Kleber makes 2-pt shot from 15 ft (assist by K. Collinsworth),2,54-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,H. Barnes misses 2-pt shot from 7 ft,,54-53,,
11:40.0,,,54-53,,Defensive rebound by A. Drummond
11:20.0,,,54-55,2,S. Johnson makes 2-pt shot from 1 ft (assist by R. Jackson)
11:04.0,,,54-55,,Violation by R. Jackson (kicked ball)
10:55.0,H. Barnes misses 2-pt shot from 2 ft,,54-55,,
10:52.0,,,54-55,,Defensive rebound by A. Drummond
10:42.0,,,54-55,,S. Johnson misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by J. Motley,,54-55,,
10:28.0,Shooting foul by A. Tolliver (drawn by D. Powell),,54-55,,
10:28.0,D. Powell makes free throw 1 of 2,1,55-55,,
10:28.0,D. Powell makes free throw 2 of 2,1,56-55,,
10:12.0,Personal foul by D. Smith (drawn by A. Tolliver),,56-55,,
9:59.0,,,56-55,,R. Jackson misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by D. Powell,,56-55,,
9:47.0,D. Powell makes 3-pt shot from 26 ft (assist by D. Smith),3,59-55,,
9:27.0,,,59-55,,Turnover by L. Kennard (bad pass)
9:12.0,H. Barnes makes 2-pt shot from 15 ft,2,61-55,,
8:46.0,,,61-55,,S. Johnson misses 2-pt shot from 15 ft
8:42.0,Defensive rebound by D. Finney-Smith,,61-55,,
8:36.0,D. Finney-Smith misses 2-pt shot from 4 ft,,61-55,,
8:36.0,,,61-55,,Defensive rebound by Team
8:18.0,,,61-57,2,R. Jackson makes 2-pt shot from 11 ft
8:04.0,Offensive foul by J. Motley (drawn by S. Johnson),,61-57,,
8:04.0,Turnover by J. Motley (offensive foul),,61-57,,
7:54.0,,,61-59,2,R. Jackson makes 2-pt shot from 11 ft
7:40.0,D. Powell misses 3-pt shot from 25 ft,,61-59,,
7:35.0,,,61-59,,Defensive rebound by A. Drummond
7:31.0,,,61-62,3,A. Tolliver makes 3-pt shot from 25 ft (assist by S. Johnson)
7:16.0,D. Smith misses 3-pt shot from 26 ft,,61-62,,
7:13.0,,,61-62,,Defensive rebound by A. Drummond
7:10.0,,,61-62,,Offensive charge foul by A. Drummond (drawn by D. Powell)
7:10.0,,,61-62,,Turnover by A. Drummond (offensive foul)
7:01.0,Turnover by D. Smith (bad pass),,61-62,,
6:50.0,,,61-64,2,R. Jackson makes 2-pt shot from 1 ft
6:30.0,D. Smith makes 2-pt shot from 2 ft,2,63-64,,
6:15.0,,,63-64,,A. Tolliver misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by D. Finney-Smith,,63-64,,
5:56.0,Turnover by D. Finney-Smith (bad pass; steal by S. Johnson),,63-64,,
5:51.0,,,63-64,,Detroit full timeout
5:45.0,,,63-64,,Shooting foul by D. Smith (drawn by R. Jackson)
5:45.0,,,63-64,,R. Jackson misses free throw 1 of 2
5:45.0,,,63-64,,Offensive rebound by Team
5:45.0,,,63-65,1,R. Jackson makes free throw 2 of 2
5:26.0,J. Motley makes 2-pt shot from 19 ft (assist by D. Powell),2,65-65,,
5:19.0,,,65-65,,Turnover by R. Jackson (bad pass)
5:05.0,D. Smith misses 2-pt shot from 15 ft,,65-65,,
5:02.0,,,65-65,,Defensive rebound by A. Drummond
4:56.0,,,65-65,,S. Johnson misses 2-pt shot from 3 ft
4:55.0,,,65-65,,Offensive rebound by S. Johnson
4:53.0,,,65-67,2,S. Johnson makes 2-pt shot from 2 ft
4:38.0,H. Barnes makes 2-pt shot at rim (assist by D. Powell),2,67-67,,
4:12.0,,,67-69,2,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson)
3:54.0,D. Powell misses 3-pt shot from 27 ft,,67-69,,
3:51.0,,,67-69,,Defensive rebound by S. Johnson
3:48.0,,,67-69,,S. Johnson misses 2-pt shot from 7 ft (block by D. Powell)
3:48.0,,,67-69,,Offensive rebound by Team
3:48.0,,,67-69,,I. Smith enters the game for L. Kennard
3:48.0,,,67-69,,L. Galloway enters the game for R. Jackson
3:48.0,D. McDermott enters the game for D. Finney-Smith,,67-69,,
3:48.0,Dallas full timeout,,67-69,,
3:38.0,,,67-71,2,I. Smith makes 2-pt shot from 8 ft
3:24.0,,,67-71,,Personal foul by L. Galloway (drawn by D. McDermott)
3:17.0,H. Barnes misses 3-pt shot from 27 ft,,67-71,,
3:14.0,Offensive rebound by H. Barnes,,67-71,,
3:12.0,J. Motley misses 2-pt shot from 19 ft,,67-71,,
3:06.0,,,67-71,,Defensive rebound by L. Galloway
2:59.0,Personal foul by J. Motley (drawn by A. Drummond),,67-71,,
2:59.0,,,67-71,,H. Ellenson enters the game for A. Tolliver
2:51.0,,,67-71,,H. Ellenson misses 3-pt shot from 26 ft
2:48.0,,,67-71,,Offensive rebound by A. Drummond
2:46.0,,,67-73,2,A. Drummond makes 2-pt shot from 2 ft
2:33.0,D. Powell makes 2-pt shot from 3 ft (assist by D. Smith),2,69-73,,
2:33.0,Shooting foul by H. Ellenson (drawn by D. Powell),,69-73,,
2:33.0,D. Powell makes free throw 1 of 1,1,70-73,,
2:10.0,,,70-73,,I. Smith misses 3-pt shot from 27 ft
2:06.0,Defensive rebound by D. Powell,,70-73,,
1:57.0,D. Powell makes 3-pt shot from 26 ft (assist by D. Smith),3,73-73,,
1:43.0,,,73-75,2,I. Smith makes 2-pt shot from 1 ft
1:27.0,D. Powell misses 3-pt shot from 27 ft,,73-75,,
1:24.0,,,73-75,,Defensive rebound by A. Drummond
1:18.0,,,73-75,,S. Johnson misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by D. Powell,,73-75,,
1:13.0,J. Motley makes 2-pt shot from 2 ft (assist by D. Smith),2,75-75,,
0:57.0,,,75-75,,L. Galloway misses 2-pt shot from 12 ft
0:53.0,Defensive rebound by J. Motley,,75-75,,
0:32.0,J. Motley misses 2-pt shot from 8 ft,,75-75,,
0:29.0,,,75-75,,Defensive rebound by A. Drummond
0:19.0,,,75-78,3,L. Galloway makes 3-pt shot from 28 ft (assist by A. Drummond)
0:00.0,H. Barnes misses 3-pt shot from 28 ft,,75-78,,
0:00.0,Offensive rebound by Team,,75-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,75-78,,A. Drummond misses 2-pt shot from 3 ft
11:36.0,Defensive rebound by D. Finney-Smith,,75-78,,
11:24.0,Turnover by M. Kleber (bad pass),,75-78,,
11:12.0,,,75-78,,H. Ellenson misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by K. Collinsworth,,75-78,,
11:04.0,K. Collinsworth makes 2-pt shot from 4 ft,2,77-78,,
10:49.0,,,77-78,,L. Galloway misses 3-pt shot from 26 ft
10:49.0,,,77-78,,Offensive rebound by A. Drummond
10:49.0,Personal foul by M. Kleber (drawn by A. Drummond),,77-78,,
10:43.0,,,77-80,2,I. Smith makes 2-pt shot from 16 ft
10:24.0,D. Finney-Smith makes 2-pt shot at rim (assist by K. Collinsworth),2,79-80,,
10:16.0,,,79-80,,I. Smith misses 2-pt shot from 3 ft (block by Y. Ferrell)
10:16.0,Defensive rebound by Team,,79-80,,
10:16.0,,,79-80,,E. Moreland enters the game for A. Drummond
10:07.0,,,79-80,,Personal foul by I. Smith (drawn by D. Finney-Smith)
9:58.0,D. McDermott makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,82-80,,
9:48.0,,,82-80,,Turnover by H. Ellenson (lost ball; steal by D. Finney-Smith)
9:39.0,Y. Ferrell misses 3-pt shot from 25 ft,,82-80,,
9:37.0,Offensive rebound by D. Finney-Smith,,82-80,,
9:36.0,D. McDermott misses 2-pt shot from 3 ft,,82-80,,
9:36.0,,,82-80,,Defensive rebound by I. Smith
9:22.0,,,82-80,,J. Ennis misses 2-pt shot from 7 ft
9:19.0,Defensive rebound by D. Finney-Smith,,82-80,,
9:07.0,D. Finney-Smith makes 3-pt shot from 27 ft (assist by Y. Ferrell),3,85-80,,
9:06.0,,,85-80,,Detroit full timeout
9:06.0,A. Harrison enters the game for D. McDermott,,85-80,,
9:00.0,,,85-83,3,L. Galloway makes 3-pt shot from 26 ft (assist by I. Smith)
8:31.0,K. Collinsworth misses 2-pt shot from 7 ft,,85-83,,
8:27.0,,,85-83,,Defensive rebound by H. Ellenson
8:21.0,,,85-83,,Turnover by I. Smith (bad pass; steal by Y. Ferrell)
8:14.0,M. Kleber misses 3-pt shot from 27 ft,,85-83,,
8:09.0,,,85-83,,Defensive rebound by E. Moreland
7:54.0,,,85-85,2,H. Ellenson makes 2-pt shot from 6 ft (assist by I. Smith)
7:35.0,Y. Ferrell misses 2-pt shot from 4 ft,,85-85,,
7:33.0,,,85-85,,Defensive rebound by I. Smith
7:26.0,,,85-85,,E. Moreland misses 2-pt shot from 2 ft
7:23.0,,,85-85,,Offensive rebound by E. Moreland
7:22.0,,,85-85,,E. Moreland misses 2-pt shot from 1 ft (block by M. Kleber)
7:22.0,Defensive rebound by Y. Ferrell,,85-85,,
7:14.0,A. Harrison misses 3-pt shot from 23 ft,,85-85,,
7:11.0,,,85-85,,Defensive rebound by H. Ellenson
7:07.0,,,85-85,,Shooting foul by K. Collinsworth (drawn by J. Ennis)
7:07.0,,,85-86,1,J. Ennis makes free throw 1 of 2
7:07.0,,,85-86,,R. Jackson enters the game for H. Ellenson
7:07.0,,,85-86,,A. Drummond enters the game for I. Smith
7:07.0,,,85-86,,A. Tolliver enters the game for E. Moreland
7:07.0,J. Jones enters the game for D. Finney-Smith,,85-86,,
7:07.0,J. Motley enters the game for M. Kleber,,85-86,,
7:07.0,,,85-87,1,J. Ennis makes free throw 2 of 2
6:55.0,Y. Ferrell makes 3-pt shot from 22 ft (assist by K. Collinsworth),3,88-87,,
6:32.0,,,88-87,,L. Galloway misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by J. Motley,,88-87,,
6:23.0,J. Motley misses 3-pt shot from 25 ft,,88-87,,
6:19.0,,,88-87,,Defensive rebound by A. Tolliver
6:12.0,,,88-89,2,A. Drummond makes 2-pt shot from 8 ft (assist by R. Jackson)
5:47.0,J. Jones misses 2-pt shot from 7 ft (block by A. Drummond),,88-89,,
5:44.0,,,88-89,,Defensive rebound by L. Galloway
5:43.0,,,88-89,,L. Galloway misses 2-pt shot from 16 ft
5:42.0,,,88-89,,Offensive rebound by Team
5:42.0,,,88-89,,S. Johnson enters the game for L. Galloway
5:42.0,,,88-89,,L. Kennard enters the game for J. Ennis
5:31.0,Personal foul by Y. Ferrell (drawn by R. Jackson),,88-89,,
5:31.0,D. Finney-Smith enters the game for Y. Ferrell,,88-89,,
5:23.0,,,88-91,2,R. Jackson makes 2-pt shot from 15 ft
5:08.0,D. Finney-Smith makes 3-pt shot from 28 ft (assist by J. Motley),3,91-91,,
4:50.0,,,91-93,2,R. Jackson makes 2-pt shot from 10 ft
4:29.0,K. Collinsworth makes 2-pt shot from 10 ft (assist by J. Motley),2,93-93,,
4:12.0,,,93-93,,L. Kennard misses 2-pt shot from 19 ft
4:09.0,Defensive rebound by J. Motley,,93-93,,
3:50.0,J. Motley misses 2-pt shot from 8 ft,,93-93,,
3:46.0,,,93-93,,Defensive rebound by L. Kennard
3:35.0,,,93-93,,Turnover by A. Tolliver (bad pass; steal by J. Motley)
3:34.0,,,93-93,,Personal foul by R. Jackson (drawn by K. Collinsworth)
3:24.0,A. Harrison misses 3-pt shot from 26 ft,,93-93,,
3:19.0,,,93-93,,Defensive rebound by A. Drummond
3:05.0,,,93-95,2,R. Jackson makes 2-pt shot from 13 ft
2:49.0,D. Finney-Smith misses 3-pt shot from 25 ft,,93-95,,
2:46.0,,,93-95,,Defensive rebound by L. Kennard
2:40.0,,,93-95,,A. Tolliver misses 2-pt shot from 1 ft (block by K. Collinsworth)
2:37.0,,,93-95,,Offensive rebound by A. Tolliver
2:37.0,,,93-97,2,A. Tolliver makes 2-pt shot from 2 ft
2:37.0,Dallas full timeout,,93-97,,
2:25.0,J. Jones makes 3-pt shot from 26 ft,3,96-97,,
2:05.0,,,96-99,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
1:49.0,J. Motley makes 2-pt shot from 3 ft (assist by D. Finney-Smith),2,98-99,,
1:31.0,,,98-101,2,A. Drummond makes 2-pt shot from 7 ft (assist by A. Tolliver)
1:14.0,Turnover by J. Motley (lost ball; steal by A. Drummond),,98-101,,
1:08.0,,,98-101,,L. Kennard misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by J. Motley,,98-101,,
0:51.0,Turnover by K. Collinsworth (bad pass; steal by S. Johnson),,98-101,,
0:30.0,,,98-101,,R. Jackson misses 2-pt shot from 9 ft
0:26.0,Defensive rebound by J. Jones,,98-101,,
0:11.0,J. Motley makes 3-pt shot from 28 ft (assist by D. Finney-Smith),3,101-101,,
0:10.0,,,101-101,,Detroit full timeout
0:10.0,,,101-101,,L. Galloway enters the game for S. Johnson
0:05.0,Personal foul by K. Collinsworth (drawn by R. Jackson),,101-101,,
0:00.0,,,101-101,,R. Jackson misses 2-pt shot from 3 ft
0:00.0,,,101-101,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:36.0,,,101-103,2,A. Drummond makes 2-pt shot from 11 ft (assist by S. Johnson)
4:20.0,J. Jones misses 3-pt shot from 26 ft,,101-103,,
4:16.0,,,101-103,,Defensive rebound by L. Galloway
