time,Chicago,pts.away,score,pts.home,Miami
1:53.0,,,19-25,,B. Adebayo misses free throw 2 of 2
1:50.0,Defensive rebound by B. Portis,,19-25,,
1:42.0,Turnover by N. Vonleh (bad pass),,19-25,,
1:30.0,,,19-25,,W. Ellington misses 3-pt shot from 24 ft
1:28.0,Defensive rebound by N. Vonleh,,19-25,,
1:18.0,N. Vonleh makes 2-pt shot from 2 ft (assist by D. Valentine),2,21-25,,
1:04.0,,,21-25,,Shooting foul by J. Grant (drawn by J. Richardson)
1:04.0,,,21-26,1,J. Richardson makes free throw 1 of 2
1:04.0,,,21-27,1,J. Richardson makes free throw 2 of 2
0:45.0,B. Portis misses 2-pt shot from 11 ft,,21-27,,
0:42.0,,,21-27,,Defensive rebound by J. Winslow
0:38.0,,,21-29,2,J. Winslow makes 2-pt shot from 1 ft
0:28.0,N. Vonleh misses 3-pt shot from 25 ft,,21-29,,
0:25.0,Offensive rebound by B. Portis,,21-29,,
0:04.0,B. Portis misses 2-pt shot from 2 ft (block by J. Richardson),,21-29,,
0:04.0,,,21-29,,Defensive rebound by J. Winslow
0:00.0,,,21-29,,Turnover by J. Winslow (bad pass; steal by N. Vonleh)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,S. Kilpatrick misses 2-pt shot from 8 ft,,21-29,,
11:30.0,,,21-29,,Defensive rebound by J. Winslow
11:26.0,,,21-31,2,D. Wade makes 2-pt shot from 18 ft
11:17.0,D. Valentine makes 2-pt shot from 10 ft,2,23-31,,
10:59.0,,,23-33,2,B. Adebayo makes 2-pt shot from 1 ft (assist by D. Wade)
10:48.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant),2,25-33,,
10:23.0,,,25-33,,J. Richardson misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by D. Valentine,,25-33,,
10:14.0,D. Valentine misses 2-pt shot from 1 ft,,25-33,,
10:14.0,Offensive rebound by B. Portis,,25-33,,
10:14.0,Shooting foul by J. Winslow (drawn by B. Portis),,25-33,,
10:14.0,B. Portis misses free throw 1 of 2,,25-33,,
10:14.0,Offensive rebound by Team,,25-33,,
10:14.0,B. Portis makes free throw 2 of 2,1,26-33,,
9:54.0,,,26-33,,D. Wade misses 2-pt shot from 10 ft
9:52.0,Defensive rebound by R. Lopez,,26-33,,
9:42.0,,,26-33,,Personal foul by J. Richardson (drawn by B. Portis)
9:42.0,,,26-33,,J. Johnson enters the game for J. Richardson
9:35.0,Turnover by D. Valentine (step out of bounds),,26-33,,
9:12.0,Personal foul by D. Valentine (drawn by J. Winslow),,26-33,,
9:05.0,,,26-33,,B. Adebayo misses 2-pt shot from 10 ft
9:03.0,Defensive rebound by B. Portis,,26-33,,
8:58.0,J. Grant makes 2-pt shot from 1 ft,2,28-33,,
8:58.0,Shooting foul by B. Adebayo (drawn by J. Grant),,28-33,,
8:58.0,,,28-33,,K. Olynyk enters the game for B. Adebayo
8:58.0,J. Grant misses free throw 1 of 1,,28-33,,
8:55.0,,,28-33,,Defensive rebound by J. Johnson
8:51.0,Shooting block foul by J. Grant (drawn by J. Winslow),,28-33,,
8:51.0,,,28-34,1,J. Winslow makes free throw 1 of 2
8:51.0,C. Payne enters the game for J. Grant,,28-34,,
8:51.0,,,28-35,1,J. Winslow makes free throw 2 of 2
8:45.0,Turnover by B. Portis (bad pass; steal by J. Winslow),,28-35,,
8:42.0,,,28-35,,D. Wade misses 2-pt shot from 3 ft (block by R. Lopez)
8:42.0,,,28-35,,Offensive rebound by Team
8:41.0,Personal foul by R. Lopez (drawn by K. Olynyk),,28-35,,
8:33.0,,,28-35,,D. Wade misses 2-pt shot from 8 ft
8:31.0,Defensive rebound by R. Lopez,,28-35,,
8:20.0,C. Payne makes 2-pt shot from 1 ft,2,30-35,,
7:53.0,,,30-35,,J. Winslow misses 2-pt shot from 9 ft
7:49.0,Defensive rebound by D. Valentine,,30-35,,
7:37.0,D. Valentine misses 3-pt shot from 25 ft,,30-35,,
7:34.0,,,30-35,,Defensive rebound by W. Ellington
7:26.0,,,30-37,2,J. Winslow makes 2-pt shot from 1 ft (assist by D. Wade)
7:12.0,,,30-37,,Personal foul by J. Johnson (drawn by C. Payne)
7:12.0,,,30-37,,T. Johnson enters the game for D. Wade
7:12.0,,,30-37,,G. Dragic enters the game for J. Winslow
7:12.0,D. Nwaba enters the game for D. Valentine,,30-37,,
6:58.0,Turnover by B. Portis (traveling),,30-37,,
6:58.0,,,30-37,,Miami full timeout
6:35.0,,,30-37,,K. Olynyk misses 2-pt shot from 22 ft
6:31.0,Defensive rebound by B. Portis,,30-37,,
6:21.0,Shooting foul by W. Ellington (drawn by S. Kilpatrick),,30-37,,
6:21.0,S. Kilpatrick makes free throw 1 of 2,1,31-37,,
6:21.0,S. Kilpatrick makes free throw 2 of 2,1,32-37,,
6:07.0,,,32-39,2,T. Johnson makes 2-pt shot from 1 ft (assist by J. Johnson)
6:03.0,,,32-39,,Personal foul by G. Dragic (drawn by C. Payne)
6:03.0,C. Payne makes free throw 1 of 2,1,33-39,,
6:03.0,C. Payne makes free throw 2 of 2,1,34-39,,
5:50.0,,,34-41,2,G. Dragic makes 2-pt shot from 8 ft
5:38.0,S. Kilpatrick misses 3-pt shot from 25 ft,,34-41,,
5:37.0,Offensive rebound by Team,,34-41,,
5:37.0,,,34-41,,J. Richardson enters the game for W. Ellington
5:37.0,N. Vonleh enters the game for R. Lopez,,34-41,,
5:34.0,S. Kilpatrick misses 2-pt shot from 18 ft,,34-41,,
5:31.0,,,34-41,,Defensive rebound by K. Olynyk
5:23.0,,,34-43,2,T. Johnson makes 2-pt shot from 9 ft (assist by J. Richardson)
5:05.0,S. Kilpatrick misses 3-pt shot from 25 ft,,34-43,,
5:05.0,Offensive rebound by Team,,34-43,,
5:05.0,J. Holiday enters the game for S. Kilpatrick,,34-43,,
4:57.0,B. Portis misses 3-pt shot from 24 ft,,34-43,,
4:55.0,,,34-43,,Defensive rebound by J. Johnson
4:47.0,,,34-43,,Turnover by T. Johnson (bad pass; steal by J. Holiday)
4:42.0,C. Payne misses 3-pt shot from 24 ft,,34-43,,
4:40.0,,,34-43,,Defensive rebound by G. Dragic
4:37.0,,,34-45,2,G. Dragic makes 2-pt shot from 1 ft
4:37.0,Chicago full timeout,,34-45,,
4:37.0,,,34-45,,H. Whiteside enters the game for K. Olynyk
4:37.0,R. Arcidiacono enters the game for C. Payne,,34-45,,
4:21.0,D. Nwaba misses 2-pt shot from 4 ft,,34-45,,
4:19.0,,,34-45,,Defensive rebound by J. Richardson
4:05.0,,,34-45,,J. Johnson misses 3-pt shot from 26 ft
4:02.0,Defensive rebound by N. Vonleh,,34-45,,
3:56.0,N. Vonleh misses 3-pt shot from 25 ft,,34-45,,
3:52.0,,,34-45,,Defensive rebound by J. Richardson
3:39.0,,,34-45,,G. Dragic misses 2-pt shot from 1 ft
3:37.0,,,34-45,,Offensive rebound by G. Dragic
3:29.0,,,34-45,,G. Dragic misses 2-pt shot from 1 ft (block by B. Portis)
3:27.0,Defensive rebound by B. Portis,,34-45,,
3:22.0,R. Arcidiacono makes 2-pt shot from 1 ft (assist by D. Nwaba),2,36-45,,
3:09.0,,,36-47,2,J. Johnson makes 2-pt shot from 3 ft
2:58.0,N. Vonleh makes 3-pt shot from 25 ft (assist by D. Nwaba),3,39-47,,
2:44.0,,,39-47,,T. Johnson misses 3-pt shot from 26 ft
2:41.0,Defensive rebound by N. Vonleh,,39-47,,
2:26.0,D. Nwaba misses 2-pt shot from 10 ft (block by H. Whiteside),,39-47,,
2:26.0,,,39-47,,Defensive rebound by J. Johnson
2:23.0,,,39-47,,J. Richardson misses 2-pt shot from 8 ft
2:19.0,Defensive rebound by B. Portis,,39-47,,
2:14.0,Offensive charge foul by D. Nwaba (drawn by J. Johnson),,39-47,,
2:14.0,Turnover by D. Nwaba (offensive foul),,39-47,,
2:14.0,,,39-47,,J. Winslow enters the game for J. Richardson
2:14.0,,,39-47,,D. Wade enters the game for T. Johnson
2:14.0,,,39-47,,W. Ellington enters the game for J. Johnson
2:14.0,R. Lopez enters the game for B. Portis,,39-47,,
2:14.0,,,39-48,1,W. Ellington makes technical free throw
2:03.0,,,39-48,,W. Ellington misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by D. Nwaba,,39-48,,
1:49.0,N. Vonleh makes 2-pt shot from 5 ft,2,41-48,,
1:30.0,,,41-48,,H. Whiteside misses 2-pt shot from 12 ft
1:25.0,Defensive rebound by J. Holiday,,41-48,,
1:16.0,J. Holiday misses 3-pt shot from 24 ft,,41-48,,
1:13.0,,,41-48,,Defensive rebound by D. Wade
1:05.0,Personal foul by N. Vonleh (drawn by H. Whiteside),,41-48,,
0:55.0,,,41-48,,D. Wade misses 2-pt shot from 7 ft
0:52.0,Defensive rebound by N. Vonleh,,41-48,,
0:46.0,Shooting foul by G. Dragic (drawn by J. Holiday),,41-48,,
0:46.0,J. Holiday makes free throw 1 of 2,1,42-48,,
0:46.0,,,42-48,,R. McGruder enters the game for G. Dragic
0:46.0,J. Holiday makes free throw 2 of 2,1,43-48,,
0:32.0,,,43-48,,W. Ellington misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by R. Arcidiacono,,43-48,,
0:12.0,J. Holiday makes 3-pt shot from 25 ft (assist by R. Arcidiacono),3,46-48,,
0:00.0,,,46-51,3,W. Ellington makes 3-pt shot from 24 ft (assist by H. Whiteside)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,R. Lopez makes 2-pt shot from 2 ft (assist by C. Payne),2,48-51,,
11:21.0,,,48-51,,J. Richardson misses 2-pt shot from 10 ft
11:18.0,Defensive rebound by N. Vonleh,,48-51,,
10:57.0,N. Vonleh misses 3-pt shot from 25 ft,,48-51,,
10:55.0,,,48-51,,Defensive rebound by R. McGruder
10:49.0,,,48-53,2,G. Dragic makes 2-pt shot from 19 ft
10:25.0,C. Payne misses 2-pt shot from 13 ft (block by J. Richardson),,48-53,,
10:20.0,,,48-53,,Defensive rebound by R. McGruder
10:17.0,,,48-55,2,H. Whiteside makes 2-pt shot from 11 ft (assist by G. Dragic)
10:01.0,J. Holiday misses 2-pt shot from 1 ft,,48-55,,
9:58.0,,,48-55,,Defensive rebound by G. Dragic
9:52.0,,,48-57,2,J. Richardson makes 2-pt shot from 11 ft
9:52.0,Chicago full timeout,,48-57,,
9:39.0,R. Lopez misses 2-pt shot from 15 ft,,48-57,,
9:38.0,,,48-57,,Defensive rebound by J. Johnson
9:33.0,,,48-57,,Offensive foul by H. Whiteside (drawn by N. Vonleh)
9:33.0,,,48-57,,Turnover by H. Whiteside (offensive foul)
9:18.0,R. Lopez misses 2-pt shot from 7 ft,,48-57,,
9:16.0,,,48-57,,Defensive rebound by R. McGruder
9:11.0,,,48-57,,Turnover by G. Dragic (out of bounds lost ball)
8:57.0,J. Holiday makes 3-pt shot from 25 ft (assist by R. Lopez),3,51-57,,
8:38.0,,,51-57,,R. McGruder misses 2-pt shot from 10 ft
8:36.0,,,51-57,,Offensive rebound by H. Whiteside
8:34.0,,,51-57,,Turnover by H. Whiteside (lost ball; steal by N. Vonleh)
8:24.0,N. Vonleh misses 2-pt shot from 2 ft,,51-57,,
8:19.0,,,51-57,,Defensive rebound by J. Johnson
8:12.0,,,51-59,2,J. Richardson makes 2-pt shot from 7 ft
8:08.0,Shooting foul by R. McGruder (drawn by D. Nwaba),,51-59,,
8:08.0,D. Nwaba makes free throw 1 of 2,1,52-59,,
8:08.0,D. Nwaba makes free throw 2 of 2,1,53-59,,
7:50.0,,,53-59,,J. Richardson misses 2-pt shot from 10 ft
7:48.0,Defensive rebound by D. Nwaba,,53-59,,
7:35.0,Turnover by R. Lopez (lost ball; steal by G. Dragic),,53-59,,
7:29.0,,,53-61,2,R. McGruder makes 2-pt shot from 1 ft (assist by J. Richardson)
7:19.0,C. Payne misses 2-pt shot from 1 ft,,53-61,,
7:17.0,,,53-61,,Defensive rebound by H. Whiteside
7:08.0,,,53-61,,G. Dragic misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by R. Lopez,,53-61,,
6:59.0,Shooting foul by H. Whiteside (drawn by J. Holiday),,53-61,,
6:59.0,J. Holiday makes free throw 1 of 2,1,54-61,,
6:59.0,J. Holiday makes free throw 2 of 2,1,55-61,,
6:40.0,,,55-64,3,R. McGruder makes 3-pt shot from 24 ft (assist by H. Whiteside)
6:30.0,J. Holiday misses 3-pt shot from 23 ft,,55-64,,
6:30.0,,,55-64,,Defensive rebound by Team
6:10.0,,,55-66,2,J. Richardson makes 2-pt shot from 1 ft
5:51.0,J. Holiday misses 2-pt shot from 10 ft,,55-66,,
5:51.0,Offensive rebound by N. Vonleh,,55-66,,
5:51.0,N. Vonleh misses 2-pt shot from 1 ft (block by J. Johnson),,55-66,,
5:51.0,Offensive rebound by Team,,55-66,,
5:51.0,,,55-66,,W. Ellington enters the game for J. Richardson
5:51.0,B. Portis enters the game for N. Vonleh,,55-66,,
5:47.0,C. Payne makes 3-pt shot from 23 ft (assist by J. Holiday),3,58-66,,
5:32.0,,,58-68,2,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic)
5:19.0,R. Lopez makes 2-pt shot from 9 ft (assist by D. Nwaba),2,60-68,,
5:07.0,,,60-68,,H. Whiteside misses 2-pt shot from 13 ft
5:04.0,Defensive rebound by B. Portis,,60-68,,
5:01.0,Turnover by C. Payne (out of bounds lost ball),,60-68,,
5:01.0,D. Valentine enters the game for J. Holiday,,60-68,,
4:49.0,,,60-68,,H. Whiteside misses 2-pt shot from 1 ft (block by R. Lopez)
4:47.0,Defensive rebound by R. Lopez,,60-68,,
4:37.0,R. Lopez misses 2-pt shot from 1 ft,,60-68,,
4:35.0,,,60-68,,Defensive rebound by J. Johnson
4:25.0,,,60-68,,R. McGruder misses 3-pt shot from 23 ft
4:23.0,Defensive rebound by D. Nwaba,,60-68,,
4:18.0,C. Payne makes 2-pt shot from 8 ft,2,62-68,,
4:18.0,,,62-68,,Miami full timeout
4:18.0,,,62-68,,K. Olynyk enters the game for H. Whiteside
4:03.0,,,62-68,,W. Ellington misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by B. Portis,,62-68,,
3:46.0,B. Portis makes 2-pt shot from 1 ft (assist by D. Nwaba),2,64-68,,
3:23.0,,,64-70,2,K. Olynyk makes 2-pt shot from 5 ft
3:10.0,B. Portis misses 2-pt shot from 6 ft,,64-70,,
3:08.0,,,64-70,,Defensive rebound by K. Olynyk
2:50.0,,,64-72,2,G. Dragic makes 2-pt shot from 17 ft
2:29.0,D. Valentine misses 2-pt shot from 2 ft (block by J. Johnson),,64-72,,
2:24.0,Offensive rebound by R. Lopez,,64-72,,
2:21.0,R. Lopez misses 2-pt shot from 4 ft,,64-72,,
2:18.0,Offensive rebound by B. Portis,,64-72,,
2:18.0,B. Portis misses 2-pt shot at rim,,64-72,,
2:18.0,Offensive rebound by B. Portis,,64-72,,
2:16.0,B. Portis misses 2-pt shot at rim,,64-72,,
2:15.0,Offensive rebound by B. Portis,,64-72,,
2:10.0,Turnover by C. Payne (traveling),,64-72,,
2:10.0,,,64-72,,J. Winslow enters the game for G. Dragic
2:10.0,,,64-72,,D. Wade enters the game for J. Johnson
2:10.0,J. Grant enters the game for C. Payne,,64-72,,
2:10.0,N. Vonleh enters the game for R. Lopez,,64-72,,
1:50.0,,,64-72,,J. Winslow misses 3-pt shot from 25 ft
1:48.0,,,64-72,,Offensive rebound by K. Olynyk
1:46.0,,,64-74,2,W. Ellington makes 2-pt shot from 1 ft
1:40.0,Shooting foul by K. Olynyk (drawn by D. Nwaba),,64-74,,
1:40.0,D. Nwaba makes free throw 1 of 2,1,65-74,,
1:40.0,,,65-74,,J. Richardson enters the game for R. McGruder
1:40.0,D. Nwaba misses free throw 2 of 2,,65-74,,
1:40.0,Offensive rebound by Team,,65-74,,
1:40.0,,,65-74,,Loose ball foul by K. Olynyk (drawn by N. Vonleh)
1:40.0,,,65-74,,B. Adebayo enters the game for K. Olynyk
1:40.0,S. Kilpatrick enters the game for D. Nwaba,,65-74,,
1:40.0,N. Vonleh misses free throw 1 of 2,,65-74,,
1:40.0,Offensive rebound by Team,,65-74,,
1:40.0,N. Vonleh makes free throw 2 of 2,1,66-74,,
1:24.0,,,66-74,,Shooting foul by B. Portis (drawn by D. Wade)
1:24.0,,,66-75,1,D. Wade makes free throw 1 of 2
1:24.0,,,66-76,1,D. Wade makes free throw 2 of 2
1:12.0,B. Portis makes 2-pt shot at rim (assist by D. Valentine),2,68-76,,
0:52.0,Jump ball: D. Wade vs. D. Valentine (D. Valentine gains possession),,,,Jump ball: D. Wade vs. D. Valentine (D. Valentine gains possession)
0:52.0,,,68-76,,Turnover by D. Wade (turnover; steal by D. Valentine)
0:45.0,Turnover by J. Grant (lost ball; steal by D. Wade),,68-76,,
0:41.0,,,68-76,,Shooting foul by D. Valentine (drawn by D. Wade)
0:41.0,,,68-77,1,D. Wade makes free throw 1 of 2
0:41.0,,,68-78,1,D. Wade makes free throw 2 of 2
0:29.0,D. Valentine misses 2-pt shot from 17 ft,,68-78,,
0:29.0,Offensive rebound by Team,,68-78,,
0:06.0,S. Kilpatrick misses 3-pt shot from 25 ft,,68-78,,
0:04.0,Offensive rebound by B. Portis,,68-78,,
0:04.0,Turnover by B. Portis (lost ball; steal by D. Wade),,68-78,,
0:02.0,,,68-78,,Turnover by W. Ellington (bad pass; steal by S. Kilpatrick)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,68-78,,W. Ellington misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by D. Valentine,,68-78,,
11:32.0,D. Valentine makes 2-pt shot from 2 ft,2,70-78,,
11:13.0,,,70-78,,J. Richardson misses 2-pt shot from 10 ft (block by R. Lopez)
11:11.0,,,70-78,,Offensive rebound by J. Richardson
11:07.0,,,70-80,2,J. Richardson makes 2-pt shot from 9 ft
10:54.0,D. Valentine misses 3-pt shot from 25 ft,,70-80,,
10:50.0,Offensive rebound by J. Grant,,70-80,,
10:33.0,Turnover by B. Portis (bad pass; steal by D. Wade),,70-80,,
10:27.0,,,70-82,2,J. Richardson makes 2-pt shot from 1 ft (assist by D. Wade)
10:16.0,R. Lopez makes 2-pt shot from 3 ft (assist by D. Valentine),2,72-82,,
9:50.0,,,72-84,2,J. Richardson makes 2-pt shot from 15 ft (assist by D. Wade)
9:41.0,B. Portis misses 2-pt shot from 16 ft,,72-84,,
9:41.0,,,72-84,,Defensive rebound by D. Wade
9:34.0,Personal foul by D. Valentine (drawn by D. Wade),,72-84,,
9:30.0,,,72-84,,Shooting foul by R. Lopez (drawn by J. Richardson)
9:30.0,,,72-85,1,J. Richardson makes free throw 1 of 3
9:30.0,,,72-86,1,J. Richardson makes free throw 2 of 3
9:30.0,,,72-87,1,J. Richardson makes free throw 3 of 3
9:30.0,R. Arcidiacono enters the game for J. Grant,,72-87,,
9:17.0,Offensive foul by R. Lopez (drawn by B. Adebayo),,72-87,,
9:17.0,Turnover by R. Lopez (offensive foul),,72-87,,
9:02.0,,,72-87,,D. Wade misses 2-pt shot from 20 ft
9:00.0,Defensive rebound by S. Kilpatrick,,72-87,,
8:43.0,Offensive foul by R. Lopez,,72-87,,
8:43.0,Turnover by R. Lopez (offensive foul),,72-87,,
8:43.0,Technical foul by R. Lopez,,72-87,,
8:43.0,Technical foul by R. Lopez,,72-87,,
8:43.0,,,72-88,1,W. Ellington makes technical free throw
8:43.0,N. Vonleh enters the game for R. Lopez,,72-88,,
8:43.0,,,72-91,1,W. Ellington makes technical free throw
8:27.0,,,72-90,2,J. Winslow makes 2-pt shot from 7 ft
8:27.0,,,72-90,,Shooting foul by S. Kilpatrick (drawn by J. Winslow)
8:27.0,,,72-90,,J. Winslow misses free throw 1 of 1
8:27.0,Defensive rebound by B. Portis,,72-90,,
8:13.0,B. Portis misses 3-pt shot from 24 ft,,72-90,,
8:09.0,,,72-90,,Defensive rebound by D. Wade
7:59.0,,,72-90,,Turnover by J. Richardson (bad pass; steal by S. Kilpatrick)
7:56.0,S. Kilpatrick misses 2-pt shot from 1 ft,,72-90,,
7:55.0,,,72-90,,Defensive rebound by J. Winslow
7:53.0,,,72-90,,Offensive foul by J. Winslow (drawn by R. Arcidiacono)
7:53.0,,,72-90,,Turnover by J. Winslow (offensive foul)
7:37.0,N. Vonleh misses 2-pt shot from 2 ft,,72-90,,
